,PRGO
2001-02-08,716313000
2001-02-09,720721080
2001-02-12,725863840
2001-02-13,707496840
2001-02-14,734680000
2001-02-15,757455080
2001-02-16,733210640
2001-02-20,730271920
2001-02-21,748638920
2001-02-22,748638920
2001-02-23,734680000
2001-02-26,739088080
2001-02-27,739088080
2001-02-28,744230840
2001-03-01,734680000
2001-03-02,734680000
2001-03-05,730271920
2001-03-06,732475960
2001-03-07,707496840
2001-03-08,702354080
2001-03-09,704558120
2001-03-12,693537920
2001-03-13,748638920
2001-03-14,744230840
2001-03-15,732475960
2001-03-16,730271920
2001-03-19,739088080
2001-03-20,689129840
2001-03-21,693537920
2001-03-22,734680000
2001-03-23,732475960
2001-03-26,720721080
2001-03-27,739088080
2001-03-28,707496840
2001-03-29,714108960
2001-03-30,725863840
2001-04-02,719335500
2001-04-03,730879500
2001-04-04,735208500
2001-04-05,757575000
2001-04-06,725829000
2001-04-09,738094500
2001-04-10,750360000
2001-04-11,740259000
2001-04-12,745309500
2001-04-16,745309500
2001-04-17,751081500
2001-04-18,778498499
2001-04-19,808080000
2001-04-20,819624000
2001-04-23,813852000
2001-04-24,822510000
2001-04-25,865078500
2001-04-26,863635500
2001-04-27,826839000
2001-04-30,861471000
2001-05-01,873736500
2001-05-02,865800000
2001-05-03,857863500
2001-05-04,862192500
2001-05-07,877344000
2001-05-08,909811500
2001-05-09,919912500
2001-05-10,889609500
2001-05-11,904039500
2001-05-14,892495500
2001-05-15,887445000
2001-05-16,899710500
2001-05-17,935785500
2001-05-18,934342500
2001-05-21,925684500
2001-05-22,928570500
2001-05-23,928570500
2001-05-24,953823000
2001-05-25,950937000
2001-05-29,984847500
2001-05-30,989176500
2001-05-31,1005049500
2001-06-01,989176500
2001-06-04,998556000
2001-06-05,1002885000
2001-06-06,999999000
2001-06-07,1002885000
2001-06-08,1062048000
2001-06-11,1060605000
2001-06-12,1085136000
2001-06-13,1106781000
2001-06-14,1093072500
2001-06-15,1106781000
2001-06-18,1106781000
2001-06-19,1098844500
2001-06-20,1115439000
2001-06-21,1132033500
2001-06-22,1154400000
2001-06-25,1164501000
2001-06-26,1154400000
2001-06-27,1153678500
2001-06-28,1165222500
2001-06-29,1204183500
2001-07-02,1209088780
2001-07-03,1229153560
2001-07-05,1143692460
2001-07-06,1145921880
2001-07-09,1168216080
2001-07-10,1182335740
2001-07-11,1177133760
2001-07-12,1164500380
2001-07-13,1180849460
2001-07-16,1168216080
2001-07-17,1189024000
2001-07-18,1174161200
2001-07-19,1181592600
2001-07-20,1148151300
2001-07-23,1177876900
2001-07-24,1129572800
2001-07-25,1160784680
2001-07-26,1163757240
2001-07-27,1154839560
2001-07-30,1166729800
2001-07-31,1231382980
2001-08-01,1246988920
2001-08-02,1203886800
2001-08-03,1323532340
2001-08-06,1325018619
2001-08-07,1330220600
2001-08-08,1311642100
2001-08-09,1300495000
2001-08-10,1313128380
2001-08-13,1311642100
2001-08-14,1305696980
2001-08-15,1263338000
2001-08-16,1290091040
2001-08-17,1249961480
2001-08-20,1307183260
2001-08-21,1310898960
2001-08-22,1359203060
2001-08-23,1310155820
2001-08-24,1341367700
2001-08-27,1327991180
2001-08-28,1283402780
2001-08-29,1244759500
2001-08-30,1150380720
2001-08-31,1199427960
2001-09-04,1174161200
2001-09-05,1190510280
2001-09-06,1157068980
2001-09-07,1108021740
2001-09-10,1070864740
2001-09-17,1025533200
2001-09-18,1036680300
2001-09-19,1038909720
2001-09-20,1055258800
2001-09-21,1012899820
2001-09-24,1012899820
2001-09-25,1046341120
2001-09-26,1073837300
2001-09-27,1116196280
2001-09-28,1125857100
2001-10-01,1150018240
2001-10-02,1149284810
2001-10-03,1144884230
2001-10-04,1105279010
2001-10-05,987930210
2001-10-08,942457550
2001-10-09,880116000
2001-10-10,902118900
2001-10-11,939523830
2001-10-12,949791850
2001-10-15,938056969
2001-10-16,969594460
2001-10-17,935123250
2001-10-18,979129050
2001-10-19,973995040
2001-10-22,971794750
2001-10-23,993064219
2001-10-24,990130500
2001-10-25,1008466250
2001-10-26,1019467700
2001-10-29,997464800
2001-10-30,1029002290
2001-10-31,1084742970
2001-11-01,1045137750
2001-11-02,1016533980
2001-11-05,1018000840
2001-11-06,1021667990
2001-11-07,1012866830
2001-11-08,1019467700
2001-11-09,1006999390
2001-11-12,982796200
2001-11-13,932189530
2001-11-14,894784600
2001-11-15,909453200
2001-11-16,908719770
2001-11-19,910186630
2001-11-20,916787500
2001-11-21,946124700
2001-11-23,941724120
2001-11-26,924855230
2001-11-27,908719770
2001-11-28,902852330
2001-11-29,920454650
2001-11-30,914587210
2001-12-03,893317740
2001-12-04,946858130
2001-12-05,930722670
2001-12-06,941724120
2001-12-07,878649140
2001-12-10,885250010
2001-12-11,888183730
2001-12-12,931456100
2001-12-13,953459000
2001-12-14,974728469
2001-12-17,971061320
2001-12-18,968861030
2001-12-19,953459000
2001-12-20,932189530
2001-12-21,917520930
2001-12-24,913853780
2001-12-26,921921510
2001-12-27,908719770
2001-12-28,905786050
2001-12-31,866914260
2002-01-02,889725600
2002-01-03,911532599
2002-01-04,909351900
2002-01-07,911532599
2002-01-08,917347800
2002-01-09,920255400
2002-01-10,912259500
2002-01-11,917347800
2002-01-14,926797500
2002-01-15,920982300
2002-01-16,904263600
2002-01-17,918074700
2002-01-18,891906300
2002-01-22,857742000
2002-01-23,908625000
2002-01-24,927524400
2002-01-25,942062400
2002-01-28,926797500
2002-01-29,937701000
2002-01-30,938427900
2002-01-31,937701000
2002-02-01,891179400
2002-02-04,863557200
2002-02-05,859195800
2002-02-06,821397000
2002-02-07,809039700
2002-02-08,796682400
2002-02-11,821397000
2002-02-12,821397000
2002-02-13,835208100
2002-02-14,799590000
2002-02-15,799590000
2002-02-19,790867200
2002-02-20,799590000
2002-02-21,785052000
2002-02-22,798863100
2002-02-25,795955500
2002-02-26,795228600
2002-02-27,816308700
2002-02-28,813401100
2002-03-01,814128000
2002-03-04,818489400
2002-03-05,810493500
2002-03-06,797409300
2002-03-07,798136200
2002-03-08,820670099
2002-03-11,871553100
2002-03-12,892633200
2002-03-13,896267700
2002-03-14,894813900
2002-03-15,883183500
2002-03-18,885364200
2002-03-19,909351900
2002-03-20,894087000
2002-03-21,912986400
2002-03-22,879549000
2002-03-25,856288200
2002-03-26,865011000
2002-03-27,830846700
2002-03-28,868645500
2002-04-01,845945100
2002-04-02,837991770
2002-04-03,807624510
2002-04-04,821362080
2002-04-05,819916020
2002-04-08,817746930
2002-04-09,817023900
2002-04-10,863297820
2002-04-11,847391160
2002-04-12,874866300
2002-04-15,840160860
2002-04-16,880650540
2002-04-17,875589330
2002-04-18,875589330
2002-04-19,875589330
2002-04-22,871974180
2002-04-23,857513580
2002-04-24,850283280
2002-04-25,907402650
2002-04-26,911017800
2002-04-29,911017800
2002-04-30,902341440
2002-05-01,906679619
2002-05-02,874866300
2002-05-03,881373570
2002-05-06,864020850
2002-05-07,853898430
2002-05-08,885711750
2002-05-09,869082060
2002-05-10,864743880
2002-05-13,884265690
2002-05-14,931985670
2002-05-15,877758420
2002-05-16,899449320
2002-05-17,906679619
2002-05-20,887157810
2002-05-21,896557200
2002-05-22,908848710
2002-05-23,939939000
2002-05-24,892942050
2002-05-28,920417190
2002-05-29,968860200
2002-05-30,984766860
2002-05-31,1012242000
2002-06-03,994889280
2002-06-04,987658980
2002-06-05,990551100
2002-06-06,960183840
2002-06-07,1039717140
2002-06-10,1062131070
2002-06-11,994166250
2002-06-12,1024533510
2002-06-13,986935950
2002-06-14,998504430
2002-06-17,1003565640
2002-06-18,988382010
2002-06-19,966691110
2002-06-20,939939000
2002-06-21,950061420
2002-06-24,925478400
2002-06-25,893665080
2002-06-26,883542660
2002-06-27,916802040
2002-06-28,939939000
2002-07-01,898838490
2002-07-02,849335190
2002-07-03,842970480
2002-07-05,862771800
2002-07-08,840848910
2002-07-09,807610980
2002-07-10,794174370
2002-07-11,818926020
2002-07-12,816804450
2002-07-15,830948250
2002-07-16,830948250
2002-07-17,850749570
2002-07-18,834484200
2002-07-19,807610980
2002-07-22,803367840
2002-07-23,785688090
2002-07-24,800539080
2002-07-25,792052800
2002-07-26,780030570
2002-07-29,777909000
2002-07-30,809025360
2002-07-31,817511640
2002-08-01,824583540
2002-08-02,760229250
2002-08-05,669708930
2002-08-06,685974300
2002-08-07,697289340
2002-08-08,696582150
2002-08-09,706482810
2002-08-12,700825290
2002-08-13,711433140
2002-08-14,703654050
2002-08-15,710018759
2002-08-16,702946860
2002-08-19,700118100
2002-08-20,717797850
2002-08-21,746085450
2002-08-22,763765200
2002-08-23,726284130
2002-08-26,744671070
2002-08-27,722040990
2002-08-28,714261900
2002-08-29,788516850
2002-08-30,755986110
2002-09-03,717797850
2002-09-04,724869750
2002-09-05,708604380
2002-09-06,757400490
2002-09-09,767301150
2002-09-10,774373050
2002-09-11,780030570
2002-09-12,767301150
2002-09-13,772958670
2002-09-16,784980900
2002-09-17,777909000
2002-09-18,773665860
2002-09-19,755278920
2002-09-20,739013550
2002-09-23,736891980
2002-09-24,741135120
2002-09-25,777201810
2002-09-26,803367840
2002-09-27,763765200
2002-09-30,751742970
2002-10-01,777243060
2002-10-02,752997510
2002-10-03,766159380
2002-10-04,721131930
2002-10-07,724595580
2002-10-08,728751960
2002-10-09,731522880
2002-10-10,733601070
2002-10-11,730137420
2002-10-14,757846620
2002-10-15,776550330
2002-10-16,757153890
2002-10-17,793175850
2002-10-18,806337720
2002-10-21,827812350
2002-10-22,827812350
2002-10-23,816035940
2002-10-24,812572290
2002-10-25,804952260
2002-10-28,818806860
2002-10-29,819499590
2002-10-30,868683420
2002-10-31,872839800
2002-11-01,890850780
2002-11-04,883230750
2002-11-05,888772590
2002-11-06,879074370
2002-11-07,885308940
2002-11-08,890158050
2002-11-11,870068880
2002-11-12,869376150
2002-11-13,879767100
2002-11-14,906090840
2002-11-15,922716360
2002-11-18,891543510
2002-11-19,877688910
2002-11-20,886694400
2002-11-21,881845290
2002-11-22,886694400
2002-11-25,897778080
2002-11-26,892236240
2002-11-27,877688910
2002-11-29,873532530
2002-12-02,871454340
2002-12-03,860370660
2002-12-04,865912500
2002-12-05,866605230
2002-12-06,879074370
2002-12-09,854136090
2002-12-10,868683420
2002-12-11,875610720
2002-12-12,873532530
2002-12-13,858985200
2002-12-16,869376150
2002-12-17,851365170
2002-12-18,829197810
2002-12-19,836125110
2002-12-20,837510570
2002-12-23,830583270
2002-12-24,836125110
2002-12-26,840281490
2002-12-27,828505080
2002-12-30,847208790
2002-12-31,841666950
2003-01-02,866019130
2003-01-03,872952830
2003-01-06,888206970
2003-01-07,895834040
2003-01-08,888900340
2003-01-09,899300890
2003-01-10,887513600
2003-01-13,904154480
2003-01-14,899994260
2003-01-15,890980450
2003-01-16,901381000
2003-01-17,884046750
2003-01-21,879193160
2003-01-22,870872720
2003-01-23,881966640
2003-01-24,860472170
2003-01-27,840364440
2003-01-28,845911400
2003-01-29,866019130
2003-01-30,843137920
2003-01-31,871566090
2003-02-03,865325760
2003-02-04,854231840
2003-02-05,853538470
2003-02-06,844524660
2003-02-07,819563340
2003-02-10,841057810
2003-02-11,824416930
2003-02-12,800148980
2003-02-13,794602020
2003-02-14,780734620
2003-02-18,809162790
2003-02-19,813323010
2003-02-20,800842350
2003-02-21,821643450
2003-02-24,813323010
2003-02-25,825110300
2003-02-26,805695940
2003-02-27,824416930
2003-02-28,814709750
2003-03-03,794602020
2003-03-04,786974950
2003-03-05,778654510
2003-03-06,775187660
2003-03-07,789055060
2003-03-10,755773300
2003-03-11,750226340
2003-03-12,763400370
2003-03-13,789055060
2003-03-14,787668320
2003-03-17,823723560
2003-03-18,832044000
2003-03-19,841057810
2003-03-20,842444550
2003-03-21,856311950
2003-03-24,827190410
2003-03-25,841057810
2003-03-26,836204220
2003-03-27,837590960
2003-03-28,841057810
2003-03-31,823723560
2003-04-01,863245650
2003-04-02,873646200
2003-04-03,880579900
2003-04-04,894447300
2003-04-07,888206970
2003-04-08,900687630
2003-04-09,876419680
2003-04-10,884740120
2003-04-11,868792610
2003-04-14,895834040
2003-04-15,897220780
2003-04-16,855618580
2003-04-17,881273270
2003-04-21,879886530
2003-04-22,893753930
2003-04-23,932582650
2003-04-24,975571590
2003-04-25,963090930
2003-04-28,976958330
2003-04-29,1005386500
2003-04-30,1065016320
2003-05-01,1036588150
2003-05-02,1018560530
2003-05-05,1001226280
2003-05-06,1001226280
2003-05-07,983892030
2003-05-08,963784300
2003-05-09,978345070
2003-05-12,988745620
2003-05-13,1004693130
2003-05-14,997066060
2003-05-15,1017173790
2003-05-16,983892030
2003-05-19,964477670
2003-05-20,974184850
2003-05-21,988745620
2003-05-22,1002613020
2003-05-23,1008159980
2003-05-27,1006773240
2003-05-28,1016480420
2003-05-29,1024107490
2003-05-30,1014400310
2003-06-02,1010240090
2003-06-03,1039361630
2003-06-04,1059469360
2003-06-05,1063629580
2003-06-06,1028961080
2003-06-09,1004693130
2003-06-10,1040055000
2003-06-11,1052535660
2003-06-12,1080270460
2003-06-13,1064322950
2003-06-16,1117019070
2003-06-17,1127419620
2003-06-18,1121872660
2003-06-19,1095524600
2003-06-20,1087897530
2003-06-23,1064322950
2003-06-24,1068483170
2003-06-25,1067096430
2003-06-26,1093444490
2003-06-27,1096911340
2003-06-30,1084430680
2003-07-01,1078616000
2003-07-02,1086320400
2003-07-03,1104530800
2003-07-07,1117838400
2003-07-08,1103830400
2003-07-09,1124142000
2003-07-10,1112235200
2003-07-11,1150056800
2003-07-14,1145154000
2003-07-15,1145854400
2003-07-16,1130445600
2003-07-17,1108032800
2003-07-18,1125542800
2003-07-21,1101729200
2003-07-22,1093324400
2003-07-23,1113636000
2003-07-24,1095425600
2003-07-25,1108032800
2003-07-28,1115737200
2003-07-29,1117138000
2003-07-30,1139550800
2003-07-31,1148656000
2003-08-01,1117138000
2003-08-04,1108733200
2003-08-05,1084919600
2003-08-06,1086320400
2003-08-07,1089822400
2003-08-08,1074413600
2003-08-11,1049899600
2003-08-12,1023984800
2003-08-13,997369600
2003-08-14,1001572000
2003-08-15,984762400
2003-08-18,991066000
2003-08-19,973556000
2003-08-20,980560000
2003-08-21,1006474800
2003-08-22,989665200
2003-08-25,973556000
2003-08-26,986863600
2003-08-27,980560000
2003-08-28,981960800
2003-08-29,984062000
2003-09-02,1012778400
2003-09-03,1012778400
2003-09-04,1018381599
2003-09-05,1002272400
2003-09-08,1025385600
2003-09-09,1004373600
2003-09-10,979159200
2003-09-11,977758400
2003-09-12,966552000
2003-09-15,962349600
2003-09-16,961649200
2003-09-17,960948800
2003-09-18,974956800
2003-09-19,978458800
2003-09-22,970054000
2003-09-23,953244400
2003-09-24,925228400
2003-09-25,893010000
2003-09-26,903516000
2003-09-29,930131200
2003-09-30,891609200
2003-10-01,915168360
2003-10-02,923564400
2003-10-03,929161760
2003-10-06,921465390
2003-10-07,926363080
2003-10-08,905372980
2003-10-09,927762420
2003-10-10,913069350
2003-10-13,920765720
2003-10-14,947353179
2003-10-15,943155160
2003-10-16,946653510
2003-10-17,923564400
2003-10-20,927762420
2003-10-21,937557800
2003-10-22,902574300
2003-10-23,894877929
2003-10-24,946653510
2003-10-27,949452190
2003-10-28,957148560
2003-10-29,969742620
2003-10-30,950151860
2003-10-31,941056150
2003-11-03,966943940
2003-11-04,951551200
2003-11-05,930561100
2003-11-06,948052850
2003-11-07,973240970
2003-11-10,952250870
2003-11-11,945254170
2003-11-12,990033050
2003-11-13,980237670
2003-11-14,1007524800
2003-11-17,1030613910
2003-11-18,1032013250
2003-11-19,1045306980
2003-11-20,1035511600
2003-11-21,1057201370
2003-11-24,1060000050
2003-11-25,1053003350
2003-11-26,1060000050
2003-11-28,1061399390
2003-12-01,1057901040
2003-12-02,1073993450
2003-12-03,1078891140
2003-12-04,1065597410
2003-12-05,1076092460
2003-12-08,1085188170
2003-12-09,1101980250
2003-12-10,1106178270
2003-12-11,1129267380
2003-12-12,1112475300
2003-12-15,1118072660
2003-12-16,1133465400
2003-12-17,1117372990
2003-12-18,1119472000
2003-12-19,1106178270
2003-12-22,1126468700
2003-12-23,1127868040
2003-12-24,1122970350
2003-12-26,1122970350
2003-12-29,1129967050
2003-12-30,1120171670
2003-12-31,1099881240
2004-01-02,1116300480
2004-01-05,1108567920
2004-01-06,1128250800
2004-01-07,1135280400
2004-01-08,1147933679
2004-01-09,1139498160
2004-01-12,1157775120
2004-01-13,1152854400
2004-01-14,1171834320
2004-01-15,1176755040
2004-01-16,1195032000
2004-01-20,1202764560
2004-01-21,1220338560
2004-01-22,1216120800
2004-01-23,1214011920
2004-01-26,1221041520
2004-01-27,1197140880
2004-01-28,1192923120
2004-01-29,1212606000
2004-01-30,1173943200
2004-02-02,1190111280
2004-02-03,1204170480
2004-02-04,1214011920
2004-02-05,1265328000
2004-02-06,1289931600
2004-02-09,1318050000
2004-02-10,1229477040
2004-02-11,1264625040
2004-02-12,1274466480
2004-02-13,1298367120
2004-02-17,1313832240
2004-02-18,1366554240
2004-02-19,1315941120
2004-02-20,1286416800
2004-02-23,1284307920
2004-02-24,1287119760
2004-02-25,1331406240
2004-02-26,1367257200
2004-02-27,1373583840
2004-03-01,1405920000
2004-03-02,1379207520
2004-03-03,1408028880
2004-03-04,1412949600
2004-03-05,1412949600
2004-03-08,1393969679
2004-03-09,1367257200
2004-03-10,1332812160
2004-03-11,1296961200
2004-03-12,1348277280
2004-03-15,1321564800
2004-03-16,1308911520
2004-03-17,1350386160
2004-03-18,1347574320
2004-03-19,1358118720
2004-03-22,1339138800
2004-03-23,1367257200
2004-03-24,1330000320
2004-03-25,1367257200
2004-03-26,1365148320
2004-03-29,1384831200
2004-03-30,1403811120
2004-03-31,1409434800
2004-04-01,1405920000
2004-04-02,1443879840
2004-04-05,1441068000
2004-04-06,1428414720
2004-04-07,1449503520
2004-04-08,1436147280
2004-04-12,1452315360
2004-04-13,1372177920
2004-04-14,1383425280
2004-04-15,1371474960
2004-04-16,1394672640
2004-04-19,1400999280
2004-04-20,1362336480
2004-04-21,1431226560
2004-04-22,1454424240
2004-04-23,1540185360
2004-04-26,1616808000
2004-04-27,1630164240
2004-04-28,1575333360
2004-04-29,1505740320
2004-04-30,1509255120
2004-05-03,1529640960
2004-05-04,1550026800
2004-05-05,1558462320
2004-05-06,1529640960
2004-05-07,1489572240
2004-05-10,1361633520
2004-05-11,1375692720
2004-05-12,1391860800
2004-05-13,1379207520
2004-05-14,1360227600
2004-05-17,1344762480
2004-05-18,1359524640
2004-05-19,1340544720
2004-05-20,1334218080
2004-05-21,1338435840
2004-05-24,1363742400
2004-05-25,1388346000
2004-05-26,1412246640
2004-05-27,1423494000
2004-05-28,1438256160
2004-06-01,1438959120
2004-06-02,1435444320
2004-06-03,1381316400
2004-06-04,1405920000
2004-06-07,1454424240
2004-06-08,1429820640
2004-06-09,1377098640
2004-06-10,1383425280
2004-06-14,1318050000
2004-06-15,1312426320
2004-06-16,1346871360
2004-06-17,1330000320
2004-06-18,1302584880
2004-06-21,1286416800
2004-06-22,1291337520
2004-06-23,1295555280
2004-06-24,1322267760
2004-06-25,1327891440
2004-06-28,1322267760
2004-06-29,1342653600
2004-06-30,1333515120
2004-07-01,1312538000
2004-07-02,1282030360
2004-07-06,1271388160
2004-07-07,1258617520
2004-07-08,1245846880
2004-07-09,1249394280
2004-07-12,1269969200
2004-07-13,1268550240
2004-07-14,1243008960
2004-07-15,1247265839
2004-07-16,1201149640
2004-07-19,1247975320
2004-07-20,1279901920
2004-07-21,1221724560
2004-07-22,1215339240
2004-07-23,1195473800
2004-07-26,1173479920
2004-07-27,1198311720
2004-07-28,1198311720
2004-07-29,1206116000
2004-07-30,1181993680
2004-08-02,1167094600
2004-08-03,1238042600
2004-08-04,1246556360
2004-08-05,1242299480
2004-08-06,1245137400
2004-08-09,1233785720
2004-08-10,1254360640
2004-08-11,1271388160
2004-08-12,1273516600
2004-08-13,1272807120
2004-08-16,1308990600
2004-08-17,1319632800
2004-08-18,1362201600
2004-08-19,1345174080
2004-08-20,1394128200
2004-08-23,1381357560
2004-08-24,1392709240
2004-08-25,1408317800
2004-08-26,1375681720
2004-08-27,1406898839
2004-08-30,1368586920
2004-08-31,1393418720
2004-09-01,1402641960
2004-09-02,1430311680
2004-09-03,1408317800
2004-09-07,1424635839
2004-09-08,1402641960
2004-09-09,1424635839
2004-09-10,1426054800
2004-09-13,1444501280
2004-09-14,1456562440
2004-09-15,1470752040
2004-09-16,1474299440
2004-09-17,1454434000
2004-09-20,1462238280
2004-09-21,1478556320
2004-09-22,1435987520
2004-09-23,1433149600
2004-09-24,1427473760
2004-09-27,1414703120
2004-09-28,1433859080
2004-09-29,1431021160
2004-09-30,1457981400
2004-10-01,1473252140
2004-10-04,1508143080
2004-10-05,1508143080
2004-10-06,1529504880
2004-10-07,1464707420
2004-10-08,1454026520
2004-10-11,1476812440
2004-10-12,1459723000
2004-10-13,1429816479
2004-10-14,1428392360
2004-10-15,1463283300
2004-10-18,1469691840
2004-10-19,1447617979
2004-10-20,1475388320
2004-10-21,1493901880
2004-10-22,1464707420
2004-10-25,1475388320
2004-10-26,1324431600
2004-10-27,1318735120
2004-10-28,1296661260
2004-10-29,1294525080
2004-11-01,1281708000
2004-11-02,1269602979
2004-11-03,1278859760
2004-11-04,1309478340
2004-11-05,1325855720
2004-11-08,1308766280
2004-11-09,1330128080
2004-11-10,1336536620
2004-11-11,1332264260
2004-11-12,1327991900
2004-11-15,1307342160
2004-11-16,1346505460
2004-11-17,1352201940
2004-11-18,1350065760
2004-11-19,1338672800
2004-11-22,1330128080
2004-11-23,1336536620
2004-11-24,1327991900
2004-11-26,1302357740
