,PFE
2001-03-19,222830490000
2001-03-20,220581570000
2001-03-21,213272580000
2001-03-22,211398480000
2001-03-23,222455670000
2001-03-26,229639720000
2001-03-27,236948710000
2001-03-28,236636360000
2001-03-29,237011180000
2001-03-30,242695950000
2001-04-02,230937500000
2001-04-03,231375000000
2001-04-04,235687500000
2001-04-05,241937500000
2001-04-06,243624999999
2001-04-09,248875000000
2001-04-10,243125000000
2001-04-11,237187500000
2001-04-12,241312500000
2001-04-16,242499999999
2001-04-17,251500000000
2001-04-18,242499999999
2001-04-19,236000000000
2001-04-20,241687500000
2001-04-23,243125000000
2001-04-24,240250000000
2001-04-25,242562500000
2001-04-26,252000000000
2001-04-27,255687499999
2001-04-30,256750000000
2001-05-01,258687500000
2001-05-02,256124999999
2001-05-03,250562500000
2001-05-04,257687499999
2001-05-07,259562500000
2001-05-08,261000000000
2001-05-09,263562500000
2001-05-10,259375000000
2001-05-11,254999999999
2001-05-14,256812500000
2001-05-15,254812500000
2001-05-16,264562500000
2001-05-17,265437500000
2001-05-18,265937499999
2001-05-21,265437500000
2001-05-22,261125000000
2001-05-23,258250000000
2001-05-24,254500000000
2001-05-25,248250000000
2001-05-29,255187500000
2001-05-30,256187500000
2001-05-31,254312500000
2001-06-01,253874999999
2001-06-04,257750000000
2001-06-05,254687500000
2001-06-06,254062500000
2001-06-07,259437500000
2001-06-08,258000000000
2001-06-11,255625000000
2001-06-12,254562499999
2001-06-13,252937500000
2001-06-14,256437500000
2001-06-15,252812500000
2001-06-18,256312500000
2001-06-19,260937500000
2001-06-20,263875000000
2001-06-21,266062500000
2001-06-22,253750000000
2001-06-25,249187499999
2001-06-26,250312499999
2001-06-27,246500000000
2001-06-28,249937500000
2001-06-29,237500000000
2001-07-02,242158559999
2001-07-03,239474843999
2001-07-05,235418064000
2001-07-06,237165600000
2001-07-09,243656448000
2001-07-10,241659264000
2001-07-11,230050632000
2001-07-12,222623604000
2001-07-13,227554152000
2001-07-16,224246316000
2001-07-17,228427920000
2001-07-18,242845091999
2001-07-19,243531624000
2001-07-20,245279159999
2001-07-23,237352836000
2001-07-24,236042184000
2001-07-25,237477659999
2001-07-26,236791128000
2001-07-27,235917359999
2001-07-30,237477659999
2001-07-31,244093332000
2001-08-01,243594036000
2001-08-02,241222380000
2001-08-03,241222380000
2001-08-06,238850724000
2001-08-07,238413840000
2001-08-08,237477659999
2001-08-09,241284791999
2001-08-10,243344388000
2001-08-13,242345796000
2001-08-14,243219564000
2001-08-15,244030920000
2001-08-16,243906096000
2001-08-17,247213932000
2001-08-20,245216748000
2001-08-21,240660672000
2001-08-22,240910320000
2001-08-23,240910320000
2001-08-24,244717452000
2001-08-27,242470620000
2001-08-28,237727308000
2001-08-29,234481884000
2001-08-30,226805208000
2001-08-31,226867620000
2001-09-04,228490332000
2001-09-05,232921584000
2001-09-06,227678975999
2001-09-07,219066120000
2001-09-10,225993852000
2001-09-17,225869028000
2001-09-18,223809432000
2001-09-19,219190943999
2001-09-20,216382404000
2001-09-21,212013564000
2001-09-24,213324216000
2001-09-25,219003708000
2001-09-26,228240684000
2001-09-27,235355652000
2001-09-28,237477659999
2001-10-01,242428123000
2001-10-02,244790848999
2001-10-03,243360778000
2001-10-04,241992884000
2001-10-05,246531805000
2001-10-08,241868530000
2001-10-09,240314105000
2001-10-10,246283097000
2001-10-11,237516140000
2001-10-12,241060229000
2001-10-15,244044725000
2001-10-16,242428123000
2001-10-17,245723504000
2001-10-18,246967044000
2001-10-19,249702831999
2001-10-22,253682159999
2001-10-23,251568142000
2001-10-24,253433452000
2001-10-25,253744337000
2001-10-26,251879027000
2001-10-29,251132903000
2001-10-30,250448956000
2001-10-31,247153575000
2001-11-01,252127734999
2001-11-02,248956708000
2001-11-05,247526637000
2001-11-06,249578478000
2001-11-07,248583645999
2001-11-08,249516301000
2001-11-09,248521469000
2001-11-12,248148406999
2001-11-13,251195080000
2001-11-14,250013717000
2001-11-15,251568142000
2001-11-16,252065558000
2001-11-19,254739169000
2001-11-20,254739169000
2001-11-21,257350603000
2001-11-23,257474956999
2001-11-26,258967205000
2001-11-27,257226248999
2001-11-28,254676992000
2001-11-29,256480125000
2001-11-30,255485293000
2001-12-03,257723665000
2001-12-04,256231417000
2001-12-05,256791009999
2001-12-06,255609647000
2001-12-07,254241753000
2001-12-10,243858194000
2001-12-11,238013556000
2001-12-12,237391786000
2001-12-13,233039395999
2001-12-14,232666334000
2001-12-17,237889202000
2001-12-18,239754512000
2001-12-19,242428123000
2001-12-20,244231256000
2001-12-21,241868530000
2001-12-24,240500636000
2001-12-26,239630158000
2001-12-27,238013556000
2001-12-28,238324441000
2001-12-31,234629955000
2002-01-02,234940230000
2002-01-03,233761185000
2002-01-04,231961590000
2002-01-07,233761185000
2002-01-08,233078580000
2002-01-09,235809000000
2002-01-10,241456004999
2002-01-11,239035860000
2002-01-14,238539420000
2002-01-15,237918870000
2002-01-16,236863935000
2002-01-17,236243385000
2002-01-18,236119274999
2002-01-22,240214905000
2002-01-23,246110129999
2002-01-24,244310534999
2002-01-25,245489580000
2002-01-28,244744920000
2002-01-29,241269840000
2002-01-30,242883270000
2002-01-31,245365470000
2002-02-01,248157945000
2002-02-04,242262720000
2002-02-05,247227120000
2002-02-06,243069435000
2002-02-07,235871055000
2002-02-08,239594355000
2002-02-11,240835455000
2002-02-12,242448885000
2002-02-13,241890389999
2002-02-14,240214905000
2002-02-15,242014500000
2002-02-19,238353254999
2002-02-20,241083675000
2002-02-21,239035860000
2002-02-22,242014500000
2002-02-25,240339014999
2002-02-26,241518060000
2002-02-27,242883270000
2002-02-28,241145730000
2002-03-01,245179305000
2002-03-04,246606570000
2002-03-05,239035860000
2002-03-06,238663530000
2002-03-07,235374615000
2002-03-08,235560780000
2002-03-11,235809000000
2002-03-12,234629955000
2002-03-13,235809000000
2002-03-14,235188450000
2002-03-15,243565875000
2002-03-18,239408190000
2002-03-19,239780520000
2002-03-20,235995165000
2002-03-21,236367495000
2002-03-22,238477365000
2002-03-25,236677770000
2002-03-26,235126395000
2002-03-27,235002284999
2002-03-28,233947350000
2002-04-01,235404906000
2002-04-02,234229736999
2002-04-03,234724545000
2002-04-04,228848700000
2002-04-05,222972854999
2002-04-08,225756150000
2002-04-09,227116872000
2002-04-10,230827932000
2002-04-11,228292040999
2002-04-12,230580528000
2002-04-15,228848700000
2002-04-16,234167886000
2002-04-17,222106940999
2002-04-18,224271726000
2002-04-19,221797686000
2002-04-22,217777371000
2002-04-23,215365182000
2002-04-24,214128161999
2002-04-25,220498815000
2002-04-26,215736288000
2002-04-29,212829290999
2002-04-30,213324099000
2002-05-01,219818454000
2002-05-02,219323646000
2002-05-03,215674436999
2002-05-06,214499268000
2002-05-07,209798592000
2002-05-08,218148477000
2002-05-09,214190013000
2002-05-10,212520036000
2002-05-13,216973308000
2002-05-14,219323646000
2002-05-15,214128161999
2002-05-16,210169697999
2002-05-17,217653669000
2002-05-20,213757056000
2002-05-21,210664506000
2002-05-22,210664506000
2002-05-23,212458185000
2002-05-24,208252317000
2002-05-28,204170151000
2002-05-29,205901979000
2002-05-30,203427939000
2002-05-31,203056833000
2002-06-03,196191372000
2002-06-04,202933131000
2002-06-05,205716426000
2002-06-06,198974667000
2002-06-07,202438322999
2002-06-10,207448254000
2002-06-11,200211686999
2002-06-12,205530872999
2002-06-13,207386403000
2002-06-14,207386403000
2002-06-17,211530420000
2002-06-18,212458185000
2002-06-19,209798592000
2002-06-20,211715972999
2002-06-21,199716879000
2002-06-24,201077601000
2002-06-25,197057286000
2002-06-26,205407171000
2002-06-27,215674436999
2002-06-28,205407171000
2002-07-01,197021807999
2002-07-02,190650456000
2002-07-03,188873829000
2002-07-05,199901169000
2002-07-08,200023695000
2002-07-09,192365820000
2002-07-10,180358272000
2002-07-11,189486459000
2002-07-12,187158465000
2002-07-15,167309253000
2002-07-16,165961467000
2002-07-17,170066088000
2002-07-18,162653265000
2002-07-19,155914335000
2002-07-22,150645717000
2002-07-23,151442136000
2002-07-24,162101898000
2002-07-25,163143369000
2002-07-26,171230085000
2002-07-29,179316801000
2002-07-30,181154691000
2002-07-31,188016147000
2002-08-01,183115107000
2002-08-02,179623116000
2002-08-05,172945449000
2002-08-06,176988807000
2002-08-07,184095315000
2002-08-08,192733398000
2002-08-09,188935092000
2002-08-12,191018034000
2002-08-13,184707945000
2002-08-14,192365820000
2002-08-15,195245181000
2002-08-16,192488346000
2002-08-19,198002016000
2002-08-20,195796548000
2002-08-21,198920961000
2002-08-22,202964319000
2002-08-23,200758851000
2002-08-26,200820114000
2002-08-27,193223502000
2002-08-28,192427083000
2002-08-29,190711719000
2002-08-30,192304557000
2002-09-03,181828584000
2002-09-04,187648569000
2002-09-05,185565627000
2002-09-06,178704171000
2002-09-09,177969015000
2002-09-10,179868168000
2002-09-11,179316801000
2002-09-12,174109446000
2002-09-13,173006712000
2002-09-16,175518495000
2002-09-17,171536400000
2002-09-18,171168822000
2002-09-19,168840828000
2002-09-20,167064201000
2002-09-23,166451571000
2002-09-24,162775791000
2002-09-25,170311140000
2002-09-26,175824810000
2002-09-27,166145256000
2002-09-30,168128463000
2002-10-01,176739474000
2002-10-02,173746995000
2002-10-03,171731652000
2002-10-04,165441339000
2002-10-07,163975635000
2002-10-08,172098078000
2002-10-09,169472025000
2002-10-10,173685924000
2002-10-11,174724131000
2002-10-14,179243385000
2002-10-15,184190136000
2002-10-16,184922988000
2002-10-17,189747597000
2002-10-18,194022567000
2002-10-21,186266550000
2002-10-22,181380870000
2002-10-23,179793024000
2002-10-24,177105900000
2002-10-25,184861917000
2002-10-28,182846574000
2002-10-29,181075515000
2002-10-30,185716911000
2002-10-31,184067994000
2002-11-01,186205479000
2002-11-04,185716911000
2002-11-05,189014745000
2002-11-06,194938632000
2002-11-07,194572206000
2002-11-08,196221123000
2002-11-11,192007224000
2002-11-12,194511135000
2002-11-13,188892603000
2002-11-14,191518656000
2002-11-15,191518656000
2002-11-18,190724733000
2002-11-19,191213301000
2002-11-20,191701869000
2002-11-21,191213301000
2002-11-22,187549041000
2002-11-25,183151929000
2002-11-26,184312278000
2002-11-27,183396213000
2002-11-29,182663361000
2002-12-02,181380870000
2002-12-03,180648018000
2002-12-04,179243385000
2002-12-05,177899823000
2002-12-06,179609811000
2002-12-09,180953373000
2002-12-10,183823710000
2002-12-11,183151929000
2002-12-12,180342663000
2002-12-13,176739474000
2002-12-16,179915166000
2002-12-17,176617332000
2002-12-18,175456983000
2002-12-19,174418776000
2002-12-20,176678403000
2002-12-23,180525876000
2002-12-24,181808367000
2002-12-26,173930208000
2002-12-27,172586646000
2002-12-30,178510533000
2002-12-31,176940600000
2003-01-02,182492874000
2003-01-03,183957210000
2003-01-06,185238504000
2003-01-07,183103014000
2003-01-08,178893048000
2003-01-09,180235356000
2003-01-10,178282908000
2003-01-13,178893048000
2003-01-14,179564202000
2003-01-15,176269446000
2003-01-16,173401788000
2003-01-17,173889900000
2003-01-21,176574516000
2003-01-22,177794796000
2003-01-23,179503188000
2003-01-24,175110180000
2003-01-27,172547592000
2003-01-28,173645844000
2003-01-29,176818572000
2003-01-30,171998466000
2003-01-31,175720320000
2003-02-03,176147418000
2003-02-04,172730634000
2003-02-05,171815424000
2003-02-06,172364550000
2003-02-07,169618920000
2003-02-10,171205284000
2003-02-11,168947766000
2003-02-12,166446192000
2003-02-13,165408954000
2003-02-14,165347940000
2003-02-18,170168046000
2003-02-19,168398640000
2003-02-20,165775038000
2003-02-21,167544444000
2003-02-24,166019094000
2003-02-25,166080108000
2003-02-26,167300388000
2003-02-27,170168046000
2003-02-28,172608606000
2003-03-03,170046018000
2003-03-04,165775038000
2003-03-05,168947766000
2003-03-06,170107032000
2003-03-07,173523816000
2003-03-10,169618920000
2003-03-11,167849514000
2003-03-12,168825738000
2003-03-13,169496892000
2003-03-14,167605458000
2003-03-17,171937452000
2003-03-18,173767872000
2003-03-19,178221894000
2003-03-20,178282908000
2003-03-21,184994448000
2003-03-24,179381160000
2003-03-25,185238504000
2003-03-26,183591126000
2003-03-27,184018224000
2003-03-28,184140252000
2003-03-31,220322504000
2003-04-01,225539884000
2003-04-02,229713788000
2003-04-03,228446710000
2003-04-04,231949808000
2003-04-07,229788322000
2003-04-08,228670312000
2003-04-09,224198272000
2003-04-10,224421874000
2003-04-11,222856660000
2003-04-14,227105098000
2003-04-15,227775904000
2003-04-16,221738650000
2003-04-17,221738650000
2003-04-21,223452932000
2003-04-22,225018146000
2003-04-23,220247970000
2003-04-24,219129960000
2003-04-25,214732454000
2003-04-28,217117542000
2003-04-29,217788348000
2003-04-30,217415678000
2003-05-01,219129960000
2003-05-02,223080262000
2003-05-05,225688952000
2003-05-06,226583360000
2003-05-07,225241748000
2003-05-08,225614418000
2003-05-09,230906332000
2003-05-12,235154770000
2003-05-13,235378372000
2003-05-14,234856634000
2003-05-15,237092654000
2003-05-16,237688926000
2003-05-19,224869078000
2003-05-20,219949834000
2003-05-21,222782126000
2003-05-22,227403234000
2003-05-23,225465350000
2003-05-27,226061622000
2003-05-28,224496408000
2003-05-29,221216912000
2003-05-30,219353562000
2003-06-02,219279028000
2003-06-03,224123738000
2003-06-04,229117516000
2003-06-05,231577138000
2003-06-06,233962226000
2003-06-09,234558498000
2003-06-10,235527440000
2003-06-11,235303838000
2003-06-12,237018120000
2003-06-13,233962226000
2003-06-16,244695122000
2003-06-17,255875222000
2003-06-18,254906280000
2003-06-19,251775852000
2003-06-20,251552250000
2003-06-23,250210638000
2003-06-24,250359706000
2003-06-25,249837968000
2003-06-26,254608143999
2003-06-27,247527414000
2003-06-30,249826680000
2003-07-01,252602531999
2003-07-02,253450708999
2003-07-03,250443535999
2003-07-07,251677248000
2003-07-08,250983284999
2003-07-09,250366429000
2003-07-10,246279758000
2003-07-11,250212215000
2003-07-14,247590577000
2003-07-15,247744791000
2003-07-16,243966548000
2003-07-17,239648556000
2003-07-18,244274976000
2003-07-21,238029309000
2003-07-22,237258239000
2003-07-23,240882268000
2003-07-24,238106416000
2003-07-25,241730445000
2003-07-28,239802770000
2003-07-29,238260630000
2003-07-30,244274976000
2003-07-31,244043655000
2003-08-01,239108807000
2003-08-04,241961766000
2003-08-05,237720881000
2003-08-06,237412453000
2003-08-07,240959375000
2003-08-08,241190696000
2003-08-11,240728054000
2003-08-12,240496733000
2003-08-13,230858358000
2003-08-14,227619864000
2003-08-15,229855967000
2003-08-18,230241502000
2003-08-19,228776469000
2003-08-20,224921119000
2003-08-21,217904382000
2003-08-22,216208028000
2003-08-25,218521238000
2003-08-26,219523629000
2003-08-27,218829666000
2003-08-28,218058596000
2003-08-29,218906773000
2003-09-02,222839230000
2003-09-03,225923510000
2003-09-04,223841621000
2003-09-05,223224765000
2003-09-08,230241502000
2003-09-09,231783642000
2003-09-10,232400498000
2003-09-11,232940247000
2003-09-12,233402889000
2003-09-15,233094461000
2003-09-16,234019745000
2003-09-17,234867922000
2003-09-18,234482387000
2003-09-19,230087288000
2003-09-22,227774078000
2003-09-23,231166786000
2003-09-24,226077724000
2003-09-25,223378979000
2003-09-26,223533193000
2003-09-29,222360315000
2003-09-30,218642930000
2003-10-01,221677530000
2003-10-02,223498290000
2003-10-03,221525800000
2003-10-06,221298205000
2003-10-07,220615420000
2003-10-08,220691285000
2003-10-09,222815505000
2003-10-10,221298205000
2003-10-13,220767150000
2003-10-14,222284450000
2003-10-15,220236095000
2003-10-16,222284450000
2003-10-17,219932635000
2003-10-20,223118965000
2003-10-21,226760485000
2003-10-22,220387825000
2003-10-23,223194830000
2003-10-24,221980990000
2003-10-27,222891370000
2003-10-28,226760485000
2003-10-29,225091455000
2003-10-30,222284450000
2003-10-31,227443270000
2003-11-03,227519135000
2003-11-04,226381160000
2003-11-05,227822595000
2003-11-06,229339895000
2003-11-07,228657110000
2003-11-10,226608755000
2003-11-11,228884705000
2003-11-12,233209010000
2003-11-13,240795510000
2003-11-14,245271545000
2003-11-17,245195680000
2003-11-18,246030195000
2003-11-19,247775089999
2003-11-20,242236945000
2003-11-21,238823020000
2003-11-24,243905975000
2003-11-25,243147324999
2003-11-26,243526650000
2003-11-28,241630025000
2003-12-01,245954330000
2003-12-02,244968085000
2003-12-03,244361165000
2003-12-04,247395765000
2003-12-05,246181925000
2003-12-08,247850955000
2003-12-09,247547495000
2003-12-10,245423275000
2003-12-11,249595850000
2003-12-12,247623360000
2003-12-15,247926820000
2003-12-16,249064795000
2003-12-17,247244035000
2003-12-18,247926820000
2003-12-19,246637115000
2003-12-22,246864710000
2003-12-23,248457875000
2003-12-24,249899309999
2003-12-26,250126905000
2003-12-29,251947665000
2003-12-30,252402855000
2003-12-31,254282720000
2004-01-02,255875779999
2004-01-05,262703180000
2004-01-06,262551460000
2004-01-07,264827259999
2004-01-08,262323880000
2004-01-09,259517060000
2004-01-12,256330940000
2004-01-13,252917240000
2004-01-14,252993100000
2004-01-15,250641440000
2004-01-16,251931060000
2004-01-20,248517360000
2004-01-21,256406799999
2004-01-22,260123940000
2004-01-23,260123940000
2004-01-26,265130700000
2004-01-27,260579100000
2004-01-28,257999860000
2004-01-29,264220380000
2004-01-30,263613500000
2004-02-02,269227140000
2004-02-03,271427080000
2004-02-04,275447660000
2004-02-05,276357980000
2004-02-06,279619960000
2004-02-09,274158040000
2004-02-10,273778740000
2004-02-11,274613200000
2004-02-12,271578799999
2004-02-13,268999560000
2004-02-17,271730520000
2004-02-18,269227140000
2004-02-19,268316819999
2004-02-20,268240960000
2004-02-23,266647900000
2004-02-24,267558220000
2004-02-25,268089240000
2004-02-26,267254779999
2004-02-27,263765220000
2004-03-01,265585860000
2004-03-02,263765220000
2004-03-03,266041020000
2004-03-04,268999560000
2004-03-05,267558220000
2004-03-08,269985740000
2004-03-09,268468540000
2004-03-10,261792860000
2004-03-11,253599980000
2004-03-12,253979279999
2004-03-15,251551759999
2004-03-16,254965460000
2004-03-17,251172460000
2004-03-18,249731120000
2004-03-19,244345060000
2004-03-22,242524420000
2004-03-23,245710540000
2004-03-24,246013980000
2004-03-25,246924299999
2004-03-26,246772580000
2004-03-29,251687342999
2004-03-30,252520494000
2004-03-31,251838825000
2004-04-01,255777357000
2004-04-02,258731255999
2004-04-05,259640148000
2004-04-06,257292177000
2004-04-07,256307544000
2004-04-08,255853098000
2004-04-12,256307544000
2004-04-13,254338278000
2004-04-14,257367917999
2004-04-15,268350363000
2004-04-16,270319628999
2004-04-19,270016665000
2004-04-20,263730162000
2004-04-21,265169241000
2004-04-22,262594047000
2004-04-23,261685154999
2004-04-26,260776263000
2004-04-27,261836637000
2004-04-28,257822364000
2004-04-29,255625875000
2004-04-30,256989213000
2004-05-03,260246076000
2004-05-04,263048492999
2004-05-05,263199975000
2004-05-06,262669788000
2004-05-07,261306450000
2004-05-10,258731255999
2004-05-11,258049587000
2004-05-12,256610508000
2004-05-13,254414019000
2004-05-14,255853098000
2004-05-17,255095688000
2004-05-18,255474392999
2004-05-19,252747716999
2004-05-20,250702710000
2004-05-21,250172523000
2004-05-24,247597328999
2004-05-25,249642336000
2004-05-26,250702710000
2004-05-27,254414019000
2004-05-28,253959573000
2004-06-01,254716983000
2004-06-02,256837730999
2004-06-03,255474392999
2004-06-04,256004579999
2004-06-07,258806997000
2004-06-08,259715889000
2004-06-09,257443659000
2004-06-10,256231803000
2004-06-14,252596235000
2004-06-15,252141789000
2004-06-16,253126422000
2004-06-17,253429386000
2004-06-18,254565501000
2004-06-21,252974940000
2004-06-22,250778451000
2004-06-23,251232897000
2004-06-24,250172523000
2004-06-25,243052869000
2004-06-28,242357310000
2004-06-29,244382580000
2004-06-30,243932520000
2004-07-01,241457189999
2004-07-02,241532200000
2004-07-06,241007130000
2004-07-07,239956990000
2004-07-08,241532200000
2004-07-09,241982260000
2004-07-12,239281900000
2004-07-13,243107409999
2004-07-14,242057270000
2004-07-15,231855910000
2004-07-16,230430720000
2004-07-19,228480460000
2004-07-20,230055670000
2004-07-21,227730360000
2004-07-22,231330840000
2004-07-23,229905650000
2004-07-26,225855110000
2004-07-27,228480460000
2004-07-28,225030000000
2004-07-29,227205290000
2004-07-30,227430320000
2004-08-02,229155550000
2004-08-03,230955790000
2004-08-04,230580740000
2004-08-05,225255030000
2004-08-06,221879580000
2004-08-09,222029600000
2004-08-10,224054870000
2004-08-11,226080140000
2004-08-12,223679820000
2004-08-13,221654550000
2004-08-16,223454790000
2004-08-17,223304770000
2004-08-18,226680220000
2004-08-19,224054870000
2004-08-20,225855110000
2004-08-23,225255030000
