,KR
2002-04-17,17588740000
2002-04-18,17763200000
2002-04-19,17842500000
2002-04-22,18001100000
2002-04-23,18064540000
2002-04-24,18064540000
2002-04-25,17874220000
2002-04-26,17763200000
2002-04-29,17572880000
2002-04-30,18064540000
2002-05-01,18223140000
2002-05-02,18159700000
2002-05-03,18001100000
2002-05-06,18318300000
2002-05-07,18556200000
2002-05-08,18619640000
2002-05-09,18112120000
2002-05-10,18048680000
2002-05-13,18127980000
2002-05-14,17921800000
2002-05-15,17779060000
2002-05-16,17430140000
2002-05-17,17763200000
2002-05-20,17572880000
2002-05-21,17430140000
2002-05-22,17905940000
2002-05-23,17890080000
2002-05-24,17763200000
2002-05-28,17700720000
2002-05-29,17999400000
2002-05-30,17512080000
2002-05-31,17574960000
2002-06-03,17512080000
2002-06-04,17433480000
2002-06-05,17543520000
2002-06-06,16977600000
2002-06-07,17134800000
2002-06-10,17276280000
2002-06-11,16663200000
2002-06-12,15641399999
2002-06-13,15578520000
2002-06-14,15342720000
2002-06-17,15704280000
2002-06-18,15657120000
2002-06-19,15405600000
2002-06-20,15248399999
2002-06-21,15169800000
2002-06-24,14902560000
2002-06-25,14761080000
2002-06-26,15578520000
2002-06-27,15720000000
2002-06-28,15641399999
2002-07-01,15767159999
2002-07-02,15688560000
2002-07-03,15720000000
2002-07-05,15892920000
2002-07-08,15924360000
2002-07-09,15641399999
2002-07-10,15374159999
2002-07-11,15657120000
2002-07-12,15751440000
2002-07-15,15531360000
2002-07-16,15216960000
2002-07-17,15248399999
2002-07-18,15075480000
2002-07-19,14871120000
2002-07-22,14776800000
2002-07-23,14069399999
2002-07-24,14682480000
2002-07-25,14446680000
2002-07-26,15138360000
2002-07-29,15688560000
2002-07-30,15216960000
2002-07-31,15311280000
2002-08-01,15075480000
2002-08-02,14839680000
2002-08-05,14776800000
2002-08-06,15154080000
2002-08-07,15358440000
2002-08-08,15672840000
2002-08-09,15562800000
2002-08-12,15405600000
2002-08-13,15075480000
2002-08-14,15295560000
2002-08-15,15830040000
2002-08-16,15515639999
2002-08-19,15677200000
2002-08-20,15677200000
2002-08-21,15554000000
2002-08-22,15723400000
2002-08-23,15384600000
2002-08-26,15615600000
2002-08-27,15600200000
2002-08-28,15015000000
2002-08-29,14121800000
2002-08-30,13921599999
2002-09-03,13798400000
2002-09-04,13890800000
2002-09-05,14060200000
2002-09-06,13921599999
2002-09-09,13998600000
2002-09-10,14137200000
2002-09-11,13937000000
2002-09-12,13937000000
2002-09-13,14029400000
2002-09-16,13875400000
2002-09-17,12135200000
2002-09-18,11781000000
2002-09-19,11673200000
2002-09-20,11842600000
2002-09-23,11688600000
2002-09-24,10964800000
2002-09-25,10733800000
2002-09-26,11226600000
2002-09-27,10964800000
2002-09-30,10857000000
2002-10-01,10672200000
2002-10-02,10287200000
2002-10-03,10025400000
2002-10-04,9856000000
2002-10-07,9886800000
2002-10-08,9933000000
2002-10-09,8793400000
2002-10-10,9455600000
2002-10-11,10025400000
2002-10-14,10733800000
2002-10-15,11534600000
2002-10-16,11488400000
2002-10-17,11365200000
2002-10-18,11272800000
2002-10-21,11719400000
2002-10-22,11627000000
2002-10-23,11719400000
2002-10-24,11488400000
2002-10-25,11673200000
2002-10-28,11796400000
2002-10-29,11935000000
2002-10-30,11873400000
2002-10-31,11396000000
2002-11-01,11473000000
2002-11-04,11611600000
2002-11-05,11673200000
2002-11-06,11719400000
2002-11-07,11534600000
2002-11-08,10857000000
2002-11-11,10558480000
2002-11-12,10161200000
2002-11-13,10283440000
2002-11-14,10573760000
2002-11-15,10848800000
2002-11-18,11276640000
2002-11-19,11429440000
2002-11-20,11536400000
2002-11-21,11842000000
2002-11-22,12193440000
2002-11-25,11780880000
2002-11-26,11842000000
2002-11-27,11964240000
2002-11-29,12025360000
2002-12-02,12239280000
2002-12-03,11460000000
2002-12-04,11918400000
2002-12-05,11689200000
2002-12-06,11765600000
2002-12-09,11536400000
2002-12-10,11689200000
2002-12-11,11444720000
2002-12-12,11353040000
2002-12-13,11521120000
2002-12-16,11842000000
2002-12-17,11765600000
2002-12-18,11582240000
2002-12-19,11261360000
2002-12-20,11383600000
2002-12-23,11628080000
2002-12-24,11612800000
2002-12-26,11811440000
2002-12-27,11612800000
2002-12-30,11872560000
2002-12-31,11811440000
2003-01-02,12208720000
2003-01-03,12224000000
2003-01-06,12254560000
2003-01-07,12208720000
2003-01-08,12224000000
2003-01-09,12300400000
2003-01-10,12300400000
2003-01-13,12514320000
2003-01-14,12453200000
2003-01-15,12361520000
2003-01-16,12499040000
2003-01-17,12468480000
2003-01-21,12285119999
2003-01-22,12453200000
2003-01-23,12330960000
2003-01-24,12040640000
2003-01-27,11719760000
2003-01-28,11964240000
2003-01-29,11719760000
2003-01-30,11414160000
2003-01-31,11536400000
2003-02-03,11294920000
2003-02-04,11068720000
2003-02-05,10917920000
2003-02-06,10827440000
2003-02-07,10631400000
2003-02-10,10706800000
2003-02-11,10586160000
2003-02-12,10344880000
2003-02-13,10420280000
2003-02-14,10691720000
2003-02-18,10616320000
2003-02-19,10480600000
2003-02-20,10329800000
2003-02-21,10390120000
2003-02-24,10163920000
2003-02-25,10329800000
2003-02-26,10148840000
2003-02-27,10224240000
2003-02-28,9967880000
2003-03-03,9998040000
2003-03-04,9847240000
2003-03-05,9847240000
2003-03-06,9802000000
2003-03-07,9666280000
2003-03-10,9153560000
2003-03-11,9545640000
2003-03-12,9500400000
2003-03-13,9530560000
2003-03-14,9530560000
2003-03-17,10163920000
2003-03-18,10224240000
2003-03-19,10676640000
2003-03-20,10691720000
2003-03-21,10948080000
2003-03-24,10556000000
2003-03-25,10676640000
2003-03-26,10736960000
2003-03-27,10284560000
2003-03-28,10254400000
2003-03-31,9922640000
2003-04-01,10163920000
2003-04-02,10284560000
2003-04-03,10118680000
2003-04-04,10299640000
2003-04-07,10344880000
2003-04-08,10224240000
2003-04-09,10148840000
2003-04-10,10254400000
2003-04-11,10329800000
2003-04-14,10646480000
2003-04-15,10782200000
2003-04-16,10329800000
2003-04-17,10601240000
2003-04-21,10495680000
2003-04-22,10646480000
2003-04-23,10782200000
2003-04-24,10752040000
2003-04-25,10706800000
2003-04-28,10902840000
2003-04-29,10887760000
2003-04-30,10782200000
2003-05-01,11219520000
2003-05-02,11204440000
2003-05-05,10827440000
2003-05-06,10842520000
2003-05-07,10812360000
2003-05-08,10571080000
2003-05-09,10797280000
2003-05-12,10948080000
2003-05-13,11159200000
2003-05-14,11506040000
2003-05-15,11581440000
2003-05-16,11460800000
2003-05-19,11385400000
2003-05-20,11611600000
2003-05-21,11340160000
2003-05-22,11385400000
2003-05-23,11626680000
2003-05-27,11533680000
2003-05-28,11638260000
2003-05-29,11712960000
2003-05-30,11996819999
2003-06-02,12295620000
2003-06-03,12430080000
2003-06-04,12400200000
2003-06-05,11817540000
2003-06-06,11802600000
2003-06-09,11548620000
2003-06-10,11653200000
2003-06-11,11996819999
2003-06-12,11712960000
2003-06-13,11578500000
2003-06-16,11937060000
2003-06-17,12176100000
2003-06-18,12430080000
2003-06-19,12310560000
2003-06-20,11892240000
2003-06-23,11877300000
2003-06-24,12564540000
2003-06-25,12310560000
2003-06-26,12534660000
2003-06-27,12549600000
2003-06-30,12459960000
2003-07-01,12474900000
2003-07-02,12684060000
2003-07-03,12609360000
2003-07-07,12908160000
2003-07-08,13072500000
2003-07-09,13072500000
2003-07-10,12848400000
2003-07-11,13087440000
2003-07-14,12938040000
2003-07-15,12773700000
2003-07-16,12549600000
2003-07-17,12400200000
2003-07-18,12400200000
2003-07-21,12250799999
2003-07-22,12370319999
2003-07-23,12504779999
2003-07-24,12400200000
2003-07-25,12519720000
2003-07-28,12445020000
2003-07-29,12340440000
2003-07-30,12430080000
2003-07-31,12669120000
2003-08-01,12519720000
2003-08-04,12728880000
2003-08-05,12624299999
2003-08-06,12728880000
2003-08-07,12788640000
2003-08-08,12743819999
2003-08-11,12728880000
2003-08-12,12743819999
2003-08-13,13221900000
2003-08-14,13655160000
2003-08-15,13759740000
2003-08-18,13834660000
2003-08-19,13671199999
2003-08-20,14057560000
2003-08-21,14102140000
2003-08-22,14295319999
2003-08-25,14087280000
2003-08-26,13983260000
2003-08-27,14117000000
2003-08-28,14176439999
2003-08-29,14280460000
2003-09-02,14369620000
2003-09-03,14473640000
2003-09-04,14562800000
2003-09-05,14429060000
2003-09-08,14547939999
2003-09-09,14191300000
2003-09-10,14012980000
2003-09-11,14057560000
2003-09-12,14117000000
2003-09-15,13849520000
2003-09-16,13225400000
2003-09-17,13374000000
2003-09-18,13374000000
2003-09-19,13492880000
2003-09-22,13478020000
2003-09-23,13760360000
2003-09-24,13686060000
2003-09-25,13819800000
2003-09-26,13522600000
2003-09-29,13314560000
2003-09-30,13284840000
2003-10-01,13849520000
2003-10-02,13582040000
2003-10-03,13998120000
2003-10-06,14042699999
2003-10-07,14117000000
2003-10-08,14191300000
2003-10-09,14339900000
2003-10-10,14280460000
2003-10-13,14310180000
2003-10-14,14191300000
2003-10-15,13968400000
2003-10-16,13908960000
2003-10-17,13537460000
2003-10-20,13344280000
2003-10-21,12957920000
2003-10-22,12824180000
2003-10-23,13061939999
2003-10-24,13106520000
2003-10-27,13047080000
2003-10-28,12972780000
2003-10-29,12898480000
2003-10-30,12853900000
2003-10-31,12987640000
2003-11-03,13151100000
2003-11-04,12824180000
2003-11-05,13061939999
2003-11-06,13403720000
2003-11-07,13478020000
2003-11-10,13412100000
2003-11-11,13234260000
2003-11-12,13293540000
2003-11-13,13308360000
2003-11-14,13397279999
2003-11-17,13204620000
2003-11-18,13263899999
2003-11-19,13412100000
2003-11-20,13471380000
2003-11-21,13812240000
2003-11-24,13812240000
2003-11-25,14004899999
2003-11-26,14064180000
2003-11-28,13975260000
2003-12-01,13738140000
2003-12-02,13545480000
2003-12-03,13471380000
2003-12-04,13278720000
2003-12-05,13115700000
2003-12-08,13263899999
2003-12-09,12819300000
2003-12-10,12848940000
2003-12-11,12848940000
2003-12-12,12834120000
2003-12-15,12804480000
2003-12-16,12834120000
2003-12-17,12789660000
2003-12-18,12937860000
2003-12-19,13115700000
2003-12-22,13426920000
2003-12-23,13441740000
2003-12-24,13412100000
2003-12-26,13441740000
2003-12-29,13634399999
2003-12-30,13649220000
2003-12-31,13723320000
2004-01-02,13693680000
2004-01-05,13782600000
2004-01-06,13693680000
2004-01-07,13915980000
2004-01-08,13841880000
2004-01-09,13871520000
2004-01-12,13782600000
2004-01-13,13782600000
2004-01-14,13827060000
2004-01-15,13841880000
2004-01-16,14064180000
2004-01-20,13930800000
2004-01-21,13901160000
2004-01-22,13827060000
2004-01-23,13812240000
2004-01-26,13886339999
2004-01-27,13812240000
2004-01-28,13664040000
2004-01-29,14079000000
2004-01-30,13738140000
2004-02-02,13901160000
2004-02-03,14108640000
2004-02-04,14108640000
2004-02-05,13960440000
2004-02-06,14153100000
2004-02-09,13886339999
2004-02-10,14004899999
2004-02-11,14049360000
2004-02-12,14182740000
2004-02-13,14019720000
2004-02-17,14019720000
2004-02-18,14034540000
2004-02-19,14271660000
2004-02-20,14330940000
2004-02-23,14419860000
2004-02-24,14093820000
2004-02-25,14182740000
2004-02-26,14419860000
2004-02-27,14242020000
2004-03-01,14405040000
2004-03-02,14138279999
2004-03-03,14360580000
2004-03-04,14271660000
2004-03-05,14227200000
2004-03-08,14019720000
2004-03-09,13752960000
2004-03-10,12834120000
2004-03-11,12419160000
2004-03-12,12419160000
2004-03-15,12211680000
2004-03-16,12211680000
2004-03-17,12389520000
2004-03-18,12522899999
2004-03-19,12463620000
2004-03-22,12582180000
2004-03-23,12004200000
2004-03-24,12107940000
2004-03-25,12285779999
2004-03-26,11974560000
2004-03-29,12093120000
2004-03-30,12182040000
2004-03-31,12330240000
2004-04-01,12389520000
2004-04-02,12270960000
2004-04-05,12419160000
2004-04-06,12552540000
2004-04-07,12552540000
2004-04-08,12671100000
2004-04-12,12804480000
2004-04-13,12685920000
2004-04-14,12567360000
2004-04-15,12597000000
2004-04-16,12611820000
2004-04-19,12582180000
2004-04-20,12567360000
2004-04-21,12937860000
2004-04-22,13100880000
2004-04-23,13160160000
2004-04-26,12967500000
2004-04-27,12967500000
2004-04-28,12819300000
2004-04-29,12863760000
2004-04-30,12967500000
2004-05-03,12893399999
2004-05-04,12997140000
2004-05-05,12923040000
2004-05-06,12863760000
2004-05-07,12582180000
2004-05-10,12626640000
2004-05-11,12700740000
2004-05-12,12493260000
2004-05-13,12448800000
2004-05-14,12256140000
2004-05-17,12137580000
2004-05-18,12300600000
2004-05-19,12122760000
2004-05-20,12182040000
2004-05-21,12078300000
2004-05-24,11939400000
2004-05-25,12160500000
2004-05-26,12145760000
2004-05-27,12160500000
2004-05-28,12307900000
2004-06-01,12219459999
2004-06-02,12396340000
2004-06-03,12381600000
2004-06-04,12322640000
2004-06-07,12396340000
2004-06-08,12587959999
2004-06-09,12529000000
2004-06-10,12529000000
2004-06-14,12529000000
2004-06-15,12705879999
2004-06-16,12750100000
2004-06-17,12602700000
2004-06-18,13089120000
2004-06-21,12809060000
2004-06-22,13148080000
2004-06-23,13251260000
2004-06-24,13398660000
2004-06-25,13207040000
2004-06-28,13280740000
2004-06-29,13310220000
2004-06-30,13413400000
2004-07-01,13266000000
2004-07-02,13103860000
2004-07-06,13162820000
2004-07-07,12691140000
2004-07-08,12691140000
2004-07-09,12632180000
2004-07-12,12617440000
2004-07-13,12676400000
2004-07-14,12617440000
2004-07-15,12573220000
2004-07-16,12352120000
2004-07-19,12396340000
2004-07-20,12455299999
2004-07-21,12204720000
2004-07-22,12116280000
2004-07-23,11998360000
2004-07-26,11806740000
2004-07-27,11762520000
2004-07-28,11674080000
2004-07-29,11570900000
2004-07-30,11644600000
2004-08-02,11688820000
2004-08-03,11688820000
2004-08-04,11777260000
2004-08-05,11408760000
2004-08-06,11040260000
2004-08-09,11172920000
2004-08-10,11290840000
2004-08-11,11276100000
2004-08-12,11246620000
2004-08-13,11055000000
2004-08-16,11349120000
2004-08-17,11584640000
2004-08-18,11702400000
2004-08-19,11908480000
2004-08-20,11996800000
2004-08-23,11952639999
2004-08-24,12085120000
