,TFC
2000-10-10,11584491747
2000-10-11,11379891045
2000-10-12,11203934441
2000-10-13,11613135845
2000-10-16,11715436196
2000-10-17,11433087227
2000-10-18,11457639312
2000-10-19,11739988280
2000-10-20,11817736547
2000-10-23,11764540365
2000-10-24,12046889333
2000-10-25,12251490035
2000-10-26,12226937951
2000-10-27,12505194906
2000-10-30,12865292141
2000-10-31,13045340759
2000-11-01,12889844226
2000-11-02,13274493545
2000-11-03,13401345981
2000-11-06,13352241812
2000-11-07,13323597714
2000-11-08,13274493545
2000-11-09,13503646332
2000-11-10,13249941461
2000-11-13,12914396310
2000-11-14,12943040408
2000-11-15,12787543875
2000-11-16,12762991790
2000-11-17,12607495257
2000-11-20,12402894555
2000-11-21,12660691439
2000-11-22,12431538653
2000-11-24,12558391088
2000-11-27,12812095959
2000-11-28,13118997012
2000-11-29,13503646332
2000-11-30,13659142865
2000-12-01,13785995300
2000-12-04,13556842514
2000-12-05,13708247034
2000-12-06,13454542163
2000-12-07,13912847736
2000-12-08,14244300873
2000-12-11,14346601224
2000-12-12,14117448438
2000-12-13,14039700171
2000-12-14,13732799118
2000-12-15,13810547385
2000-12-18,14346601224
2000-12-19,14579846024
2000-12-20,14784446726
2000-12-21,15115899863
2000-12-22,15447353001
2000-12-26,15549653352
2000-12-27,15651953703
2000-12-28,15549653352
2000-12-29,15267304383
2001-01-02,14784446726
2001-01-03,15320500565
2001-01-04,15500549183
2001-01-05,15193648130
2001-01-08,15038151597
2001-01-09,14579846024
2001-01-10,15115899863
2001-01-11,15115899863
2001-01-12,14784446726
2001-01-16,14989047428
2001-01-17,15193648130
2001-01-18,15140451948
2001-01-19,14960403330
2001-01-22,15013599512
2001-01-23,15267304383
2001-01-24,14731250544
2001-01-25,14833550895
2001-01-26,15013599512
2001-01-29,15087255765
2001-01-30,15124083891
2001-01-31,14989047428
2001-02-01,14944035274
2001-02-02,15058611667
2001-02-05,15083163751
2001-02-06,14911299161
2001-02-07,14948127288
2001-02-08,14980863400
2001-02-09,15083163751
2001-02-12,15193648130
2001-02-13,15124083891
2001-02-14,15152727990
2001-02-15,15042243611
2001-02-16,15214108200
2001-02-20,14984955414
2001-02-21,14964495344
2001-02-22,14588030052
2001-02-23,14653502277
2001-02-26,14784446726
2001-02-27,14972679372
2001-02-28,14784446726
2001-03-01,14878563049
2001-03-02,15021783540
2001-03-05,14829458880
2001-03-06,14792630754
2001-03-07,14960403330
2001-03-08,15001323470
2001-03-09,14600306094
2001-03-12,14011056072
2001-03-13,14322049140
2001-03-14,13937399820
2001-03-15,14473453659
2001-03-16,14281128999
2001-03-19,14391613378
2001-03-20,14068344269
2001-03-21,13552750500
2001-03-22,12857108113
2001-03-23,13601854668
2001-03-26,13835099469
2001-03-27,14121540452
2001-03-28,14137908508
2001-03-29,14207472746
2001-03-30,14391613378
2001-04-02,15981582659
2001-04-03,15805414846
2001-04-04,15471147713
2001-04-05,15909308685
2001-04-06,15742175118
2001-04-09,15764760735
2001-04-10,15796380599
2001-04-11,15642798403
2001-04-12,15615695662
2001-04-16,15529870317
2001-04-17,15715072378
2001-04-18,16089993622
2001-04-19,16099027868
2001-04-20,16121613485
2001-04-23,16049339511
2001-04-24,16108062115
2001-04-25,16184853213
2001-04-26,16053856634
2001-04-27,16302298422
2001-04-30,15999651153
2001-05-01,16117096362
2001-05-02,16261644312
2001-05-03,16446846372
2001-05-04,16568808704
2001-05-07,16532671717
2001-05-08,16351986780
2001-05-09,16351986780
2001-05-10,16266161435
2001-05-11,16225507324
2001-05-14,16193887460
2001-05-15,16361021027
2001-05-16,16713356654
2001-05-17,16636565555
2001-05-18,16528154593
2001-05-21,16464914865
2001-05-22,16717873777
2001-05-23,16550740210
2001-05-24,16410709384
2001-05-25,16311332669
2001-05-29,16243575818
2001-05-30,16211955954
2001-05-31,16329401163
2001-06-01,16266161435
2001-06-04,16410709384
2001-06-05,16442329248
2001-06-06,16379089520
2001-06-07,16306815546
2001-06-08,16062890881
2001-06-11,16040305264
2001-06-12,15995134030
2001-06-13,16004168277
2001-06-14,15909308685
2001-06-15,15837034710
2001-06-18,15995134030
2001-06-19,16058373758
2001-06-20,16257127188
2001-06-21,16668185419
2001-06-22,16419743631
2001-06-25,16311332669
2001-06-26,16347469656
2001-06-27,16406192261
2001-06-28,16537188840
2001-06-29,16577842951
2001-07-02,16706335770
2001-07-03,16719966177
2001-07-05,16597292512
2001-07-06,16406466811
2001-07-09,16547314352
2001-07-10,16188380296
2001-07-11,16038445817
2001-07-12,16197467234
2001-07-13,16365575590
2001-07-16,16283793146
2001-07-17,16533683945
2001-07-18,16688161894
2001-07-19,16697248832
2001-07-20,16606379450
2001-07-23,16506423131
2001-07-24,16401923342
2001-07-25,16533683945
2001-07-26,16688161894
2001-07-27,16697248832
2001-07-30,16656357610
2001-07-31,16769944337
2001-08-01,16878987595
2001-08-02,16933509223
2001-08-03,17065269826
2001-08-06,17024378605
2001-08-07,17060726357
2001-08-08,16997117790
2001-08-09,17147052270
2001-08-10,17265182466
2001-08-13,17274269404
2001-08-14,17265182466
2001-08-15,17256095527
2001-08-16,17415116945
2001-08-17,17356051847
2001-08-20,17401486538
2001-08-21,17392399599
2001-08-22,17483268981
2001-08-23,17260638996
2001-08-24,17183400022
2001-08-27,16951683100
2001-08-28,16842639842
2001-08-29,16683618425
2001-08-30,16665444548
2001-08-31,16710879239
2001-09-04,16747226992
2001-09-05,16620009858
2001-09-06,16451901502
2001-09-07,16156576012
2001-09-10,16142945605
2001-09-17,15470512183
2001-09-18,15738576858
2001-09-19,15847620116
2001-09-20,15470512183
2001-09-21,15252425667
2001-09-24,15747663796
2001-09-25,15820359301
2001-09-26,15929402559
2001-09-27,16433727626
2001-09-28,16560944760
2001-10-01,16895928256
2001-10-02,17108863242
2001-10-03,17090347156
2001-10-04,16590412840
2001-10-05,16067333418
2001-10-08,15303544880
2001-10-09,15363722159
2001-10-10,15368351180
2001-10-11,15484076716
2001-10-12,15289657816
2001-10-15,15238738580
2001-10-16,15335948030
2001-10-17,15062835765
2001-10-18,14896190993
2001-10-19,14900820015
2001-10-22,15058206744
2001-10-23,15021174572
2001-10-24,15229480537
2001-10-25,15391496288
2001-10-26,15497963781
2001-10-29,15173932280
2001-10-30,15030432615
2001-10-31,14859158822
2001-11-01,15160045216
2001-11-02,15183190323
2001-11-05,15525737909
2001-11-06,15715527788
2001-11-07,15743301917
2001-11-08,15710898767
2001-11-09,15724785831
2001-11-12,15641463445
2001-11-13,15868285496
2001-11-14,15872914517
2001-11-15,15845140389
2001-11-16,15868285496
2001-11-19,15997898096
2001-11-20,15988640053
2001-11-21,15872914517
2001-11-23,16062704396
2001-11-26,16034930268
2001-11-27,15984011032
2001-11-28,15766447024
2001-11-29,15965494946
2001-11-30,15808108217
2001-12-03,15669237574
2001-12-04,15914575710
2001-12-05,16095107546
2001-12-06,16196946018
2001-12-07,16257123297
2001-12-10,16108994611
2001-12-11,16127510696
2001-12-12,16159913847
2001-12-13,16021043203
2001-12-14,16150655804
2001-12-17,16303413511
2001-12-18,16442284154
2001-12-19,16710767398
2001-12-20,16882041191
2001-12-21,16780202720
2001-12-24,16757057612
2001-12-26,16789460762
2001-12-27,16720025441
2001-12-28,16743170548
2001-12-31,16715396419
2002-01-02,16581154798
2002-01-03,16701509355
2002-01-04,16770944677
2002-01-07,16858896084
2002-01-08,16544122626
2002-01-09,16386735897
2002-01-10,16382106876
2002-01-11,16155284825
2002-01-14,15984011032
2002-01-15,16257123297
2002-01-16,16113623632
2002-01-17,16229349168
2002-01-18,16169171889
2002-01-22,16150655804
2002-01-23,16289526447
2002-01-24,16409881004
2002-01-25,16428397090
2002-01-28,16409881004
2002-01-29,15956236903
2002-01-30,16122881675
2002-01-31,16312671554
2002-02-01,16451542197
2002-02-04,15979382010
2002-02-05,16039559289
2002-02-06,15970123968
2002-02-07,16011785160
2002-02-08,16294155468
2002-02-11,16553380669
2002-02-12,16595041862
2002-02-13,16821863912
2002-02-14,16886670213
2002-02-15,16780202720
2002-02-19,16437655133
2002-02-20,16581154798
2002-02-21,16497832412
2002-02-22,16655219141
2002-02-25,16923702384
2002-02-26,17053314984
2002-02-27,17062573027
2002-02-28,17132008349
2002-03-01,17298653121
2002-03-04,17585652450
2002-03-05,17502330064
2002-03-06,17696748965
2002-03-07,17599539514
2002-03-08,17631942664
2002-03-11,17840248629
2002-03-12,17821732544
2002-03-13,17682861900
2002-03-14,17807845479
2002-03-15,18057812637
2002-03-18,18104102851
2002-03-19,18094844808
2002-03-20,17905054929
2002-03-21,17747668200
2002-03-22,17793958415
2002-03-25,17497701043
2002-03-26,17622684622
2002-03-27,17821732544
2002-03-28,17641200707
2002-04-01,18144725270
2002-04-02,18163850145
2002-04-03,17924789206
2002-04-04,17953476518
2002-04-05,17982163831
2002-04-08,18049100894
2002-04-09,18111256738
2002-04-10,18149506488
2002-04-11,17848289705
2002-04-12,17757446548
2002-04-15,17661822173
2002-04-16,18044319675
2002-04-17,18101694301
2002-04-18,18006069925
2002-04-19,18144725270
2002-04-22,18096913082
2002-04-23,18144725270
2002-04-24,18221224770
2002-04-25,18178193801
2002-04-26,18010851144
2002-04-29,17929570425
2002-04-30,18206881114
2002-05-01,18460285709
2002-05-02,18670659335
2002-05-03,18756721273
2002-05-06,18469848147
2002-05-07,18426817178
2002-05-08,18512879116
2002-05-09,18269036958
2002-05-10,18025194800
2002-05-13,18259474520
2002-05-14,18460285709
2002-05-15,18402911084
2002-05-16,18426817178
2002-05-17,18474629365
2002-05-20,18120819176
2002-05-21,18073006988
2002-05-22,18039538456
2002-05-23,18135162832
2002-05-24,17991726269
2002-05-28,17819602393
2002-05-29,17757446548
2002-05-30,17872195799
2002-05-31,17967820175
2002-06-03,17762227767
2002-06-04,17647478516
2002-06-05,17790915080
2002-06-06,17499260734
2002-06-07,17614009985
2002-06-10,17762227767
2002-06-11,17590103891
2002-06-12,17757446548
2002-06-13,17532729266
2002-06-14,17690509486
2002-06-17,18192537457
2002-06-18,18283380614
2002-06-19,18020413581
2002-06-20,18120819176
2002-06-21,17910445549
2002-06-24,17934351643
2002-06-25,17867414580
2002-06-26,17714415579
2002-06-27,18139944051
2002-06-28,18455504490
2002-07-01,18273392434
2002-07-02,18010980793
2002-07-03,17882160533
2002-07-05,18321103641
2002-07-08,18321103641
2002-07-09,17977582948
2002-07-10,17428904063
2002-07-11,17762882515
2002-07-12,17362108372
2002-07-15,17319168286
2002-07-16,16980418713
2002-07-17,17018587679
2002-07-18,16164557067
2002-07-19,15868747581
2002-07-22,15596793699
2002-07-23,15353466541
2002-07-24,16102532497
2002-07-25,16374486379
2002-07-26,16746633797
2002-07-29,17524326478
2002-07-30,17271457078
2002-07-31,17662688979
2002-08-01,17557724323
2002-08-02,17304854923
2002-08-05,16598729054
2002-08-06,17114010094
2002-08-07,17395506218
2002-08-08,17939413982
2002-08-09,17920329499
2002-08-12,17843991567
2002-08-13,17634062255
2002-08-14,18101632087
2002-08-15,18158885536
2002-08-16,18020523034
2002-08-19,18249536830
2002-08-20,17948956223
2002-08-21,18096860966
2002-08-22,18168427777
2002-08-23,17886931654
2002-08-26,18192283381
2002-08-27,18158885536
2002-08-28,17829678205
2002-08-29,18049149759
2002-08-30,18154114415
2002-09-03,17648375617
2002-09-04,18039607517
2002-09-05,18015751914
2002-09-06,18149343294
2002-09-09,18273392434
2002-09-10,18139801053
2002-09-11,18073005363
2002-09-12,17700857945
2002-09-13,17829678205
2002-09-16,17729484669
2002-09-17,17419361821
2002-09-18,17214203629
2002-09-19,16770489401
2002-09-20,16880225178
2002-09-23,16770489401
2002-09-24,16374486379
2002-09-25,16770489401
2002-09-26,17261914837
2002-09-27,16803887246
2002-09-30,16487348739
2002-10-01,17028457502
2002-10-02,16327368757
2002-10-03,15616869425
2002-10-04,15381604745
2002-10-07,14708747762
2002-10-08,15522763553
2002-10-09,14831085395
2002-10-10,15546290021
2002-10-11,16082693490
2002-10-14,16195620536
2002-10-15,16750845180
2002-10-16,16449706390
2002-10-17,16797898116
2002-10-18,16849656345
2002-10-21,16967288685
2002-10-22,16892003988
2002-10-23,17028457502
2002-10-24,16873182813
2002-10-25,17141384548
2002-10-28,17155500429
2002-10-29,17103742199
2002-10-30,17268427475
2002-10-31,17056689263
2002-11-01,17498986861
2002-11-04,17569566265
2002-11-05,17644850962
2002-11-06,17348417466
2002-11-07,16797898116
2002-11-08,16581454611
2002-11-11,16445001097
2002-11-12,16600275785
2002-11-13,16689676363
2002-11-14,17113152786
2002-11-15,17249606300
2002-11-18,16934351630
2002-11-19,17014341621
2002-11-20,17621324494
2002-11-21,17814241531
2002-11-22,17767188595
2002-11-25,17865999761
2002-11-26,17602503320
2002-11-27,17978926807
2002-11-29,17875410348
2002-12-02,17837767999
2002-12-03,17724840953
2002-12-04,17668377430
2002-12-05,17480165686
2002-12-06,17691903898
2002-12-09,17550745090
2002-12-10,17856589174
2002-12-11,17988337394
2002-12-12,17828357412
2002-12-13,17809536238
2002-12-16,17941284458
2002-12-17,17833062706
2002-12-18,17654261549
2002-12-19,17564860971
2002-12-20,17776599183
2002-12-23,17691903898
2002-12-24,17621324494
2002-12-26,17607208613
2002-12-27,17343712172
2002-12-30,17447228631
2002-12-31,17404880989
2003-01-02,17875410348
2003-01-03,17833062706
2003-01-06,18176549138
2003-01-07,18049506211
2003-01-08,17903642109
2003-01-09,18143612083
2003-01-10,17997747981
2003-01-13,17903642109
2003-01-14,18021274449
2003-01-15,17531923916
2003-01-16,17531923916
2003-01-17,17583682145
2003-01-21,16205031123
2003-01-22,15856839398
2003-01-23,16059167022
2003-01-24,15612164131
2003-01-27,15668627654
2003-01-28,15725091177
2003-01-29,15687448829
2003-01-30,15475710617
2003-01-31,15790965288
2003-02-03,15894481747
2003-02-04,15550995314
2003-02-05,15353372984
2003-02-06,15306320048
2003-02-07,15169866534
2003-02-10,15325141222
2003-02-11,15047528900
2003-02-12,14944012441
2003-02-13,14953423029
2003-02-14,15325141222
2003-02-18,15480415911
2003-02-19,15391015332
2003-02-20,15315730635
2003-02-21,15461594736
2003-02-24,15127518891
2003-02-25,15367488864
2003-02-26,15198098295
2003-02-27,15471005323
2003-02-28,15447478855
2003-03-03,15301614754
2003-03-04,15080465955
2003-03-05,15334551809
2003-03-06,15273382993
2003-03-07,15456889443
2003-03-10,14991065377
2003-03-11,14746390111
2003-03-12,14656989532
2003-03-13,15132224185
2003-03-14,15099287130
2003-03-17,15489826498
2003-03-18,15485121204
2003-03-19,15471005323
2003-03-20,15386310039
2003-03-21,15687448829
2003-03-24,15160455946
2003-03-25,15329846516
2003-03-26,15146340066
2003-03-27,15108697717
2003-03-28,15099287130
2003-03-31,14825953733
2003-04-01,15099547534
2003-04-02,15349555663
2003-04-03,15146718879
2003-04-04,15410878411
2003-04-07,15330687125
2003-04-08,15368424201
2003-04-09,14976902037
2003-04-10,15189173090
2003-04-11,15165587417
2003-04-14,15255212973
2003-04-15,15354272797
2003-04-16,15099547534
2003-04-17,15189173090
2003-04-21,15113698938
2003-04-22,15467484025
2003-04-23,15410878411
2003-04-24,15349555663
2003-04-25,15236344434
2003-04-28,15467484025
2003-04-29,15462766891
2003-04-30,15377858470
2003-05-01,15495786832
2003-05-02,15844854785
2003-05-05,15675037943
2003-05-06,15722209288
2003-05-07,15604280926
2003-05-08,15358989932
2003-05-09,15608998060
2003-05-12,15778814902
2003-05-13,15731643557
2003-05-14,15627866598
2003-05-15,15594846657
2003-05-16,15557109580
2003-05-19,15255212973
2003-05-20,15278798645
2003-05-21,15377858470
2003-05-22,15354272797
2003-05-23,15396727008
2003-05-27,15651452271
2003-05-28,15717492154
2003-05-29,15684472212
2003-05-30,16127882855
2003-06-02,16231659814
2003-06-03,16368456715
2003-06-04,16693938995
2003-06-05,16722241802
2003-06-06,16552424960
2003-06-09,16354305311
2003-06-10,16481667942
2003-06-11,16684504726
2003-06-12,16774130282
2003-06-13,16646767650
2003-06-16,16934512855
2003-06-17,16807150223
2003-06-18,16745827475
2003-06-19,16458082270
2003-06-20,16476950808
2003-06-23,16269396890
2003-06-24,16226942680
2003-06-25,16113731451
2003-06-26,16250528352
2003-06-27,16118448586
2003-06-30,18899951151
2003-07-01,19291174629
2003-07-02,19335256148
2003-07-03,19274644060
2003-07-07,19379337667
2003-07-08,19351786718
2003-07-09,19120358744
2003-07-10,19147909694
2003-07-11,19252603300
2003-07-14,19373827477
2003-07-15,19208521782
2003-07-16,18910971530
2003-07-17,18607911089
2003-07-18,18955053049
2003-07-21,18855869632
2003-07-22,19114848554
2003-07-23,19026685517
2003-07-24,18971583619
2003-07-25,19357296907
2003-07-28,19296684819
2003-07-29,19153419883
2003-07-30,19219542161
2003-07-31,19230562541
2003-08-01,19142399504
2003-08-04,19236072731
2003-08-05,18916481720
2003-08-06,19103828175
2003-08-07,19313215389
2003-08-08,19423419186
2003-08-11,19379337667
2003-08-12,19561173932
2003-08-13,19428929375
2003-08-14,19792601905
2003-08-15,19836683424
2003-08-18,19946887220
2003-08-19,19831173234
2003-08-20,19825663044
2003-08-21,19776071335
2003-08-22,19362807097
2003-08-25,19484031274
2003-08-26,19660357349
2003-08-27,19654847159
2003-08-28,19946887220
2003-08-29,20123213295
2003-09-02,20541987723
2003-09-03,20453824686
2003-09-04,20641171140
2003-09-05,20856068544
2003-09-08,21021374239
2003-09-09,20811987025
2003-09-10,20321580129
2003-09-11,20343620889
2003-09-12,20327090319
2003-09-15,20283008801
2003-09-16,20387702408
2003-09-17,20332600509
2003-09-18,20475865445
2003-09-19,20580559052
2003-09-22,20415253357
2003-09-23,20343620889
2003-09-24,20013009498
2003-09-25,19847703803
2003-09-26,19726479627
2003-09-29,19990968739
2003-09-30,19627561540
2003-10-01,20130411905
2003-10-02,19982836255
2003-10-03,19960973195
2003-10-06,20185069554
2003-10-07,20283453321
2003-10-08,20152274965
2003-10-09,20261590261
2003-10-10,20256124497
2003-10-13,20513015444
2003-10-14,20540344268
2003-10-15,20146809200
2003-10-16,20097617316
2003-10-17,20103083081
2003-10-20,20201466848
2003-10-21,20310782145
2003-10-22,20223329908
2003-10-23,20332645204
2003-10-24,20403700147
2003-10-27,20622330741
2003-10-28,20846427099
2003-10-29,20901084748
2003-10-30,20999468515
2003-10-31,21136112636
2003-11-03,21453126997
2003-11-04,21447661232
2003-11-05,21349277465
2003-11-06,21376606289
2003-11-07,21349277465
2003-11-10,21229030638
2003-11-11,21272756757
2003-11-12,21436729702
2003-11-13,21414866643
2003-11-14,21398469348
2003-11-17,21354743229
2003-11-18,21212633344
2003-11-19,21365674759
2003-11-20,21250893697
2003-11-21,21403935113
2003-11-24,21551510764
2003-11-25,21535113469
2003-11-26,21600702647
2003-11-28,21513250410
2003-12-01,21677223355
2003-12-02,21365674759
2003-12-03,21316482876
2003-12-04,21097852282
2003-12-05,20950276631
2003-12-08,21108783812
2003-12-09,20977605455
2003-12-10,20775372156
2003-12-11,20955742396
2003-12-12,20862824394
2003-12-15,20381837088
2003-12-16,20441960501
2003-12-17,20441960501
2003-12-18,20578604622
2003-12-19,20627796506
2003-12-22,20704317213
2003-12-23,20830029805
2003-12-24,20813632510
2003-12-26,20835495570
2003-12-29,20988536985
2003-12-30,21075989223
2003-12-31,21119715341
2004-01-02,20933879337
2004-01-05,20933879337
2004-01-06,20819098275
2004-01-07,20709782978
2004-01-08,20660591095
2004-01-09,20649659565
2004-01-12,20655125330
2004-01-13,20021096608
2004-01-14,19917247076
2004-01-15,20053891197
2004-01-16,19993767784
2004-01-20,19753274131
2004-01-21,19944575901
2004-01-22,19868055193
2004-01-23,19775137191
2004-01-26,20381837088
2004-01-27,20502083914
2004-01-28,20310782145
2004-01-29,20261590261
2004-01-30,20277987556
2004-02-02,20529412739
2004-02-03,20343576734
2004-02-04,20168672259
2004-02-05,20141343435
2004-02-06,20288919086
2004-02-09,20223329908
2004-02-10,20447426266
2004-02-11,20496618150
2004-02-12,20463823560
2004-02-13,20425563207
2004-02-17,20540344268
2004-02-18,20441960501
2004-02-19,20409165912
2004-02-20,20212398378
2004-02-23,20103083081
2004-02-24,20048425433
2004-02-25,20135877670
2004-02-26,20124946140
2004-02-27,20305316380
2004-03-01,20299850615
2004-03-02,20217864143
2004-03-03,20354508264
2004-03-04,20447426266
2004-03-05,20556741563
2004-03-08,20551275798
2004-03-09,20425563207
2004-03-10,20141343435
2004-03-11,19873520958
2004-03-12,20119480376
2004-03-15,19786068720
2004-03-16,19900849782
2004-03-17,20021096608
2004-03-18,19889918252
2004-03-19,19305081414
2004-03-22,19015395878
2004-03-23,18982601289
2004-03-24,18938875170
2004-03-25,19223094942
2004-03-26,19070053526
2004-03-29,19168437293
2004-03-30,19310547179
2004-03-31,19557674481
2004-04-01,19707265758
2004-04-02,19507810721
2004-04-05,19502270304
2004-04-06,19613078658
2004-04-07,19413623620
2004-04-08,19430244873
2004-04-12,19336057773
2004-04-13,19131062318
2004-04-14,18732152243
2004-04-15,18809718091
2004-04-16,18914986027
2004-04-19,18704450155
2004-04-20,18466212194
2004-04-21,18565939712
2004-04-22,19081198558
2004-04-23,19236330254
2004-04-26,19225249419
2004-04-27,19347138608
2004-04-28,19142143153
2004-04-29,19031334799
2004-04-30,19108900647
2004-05-03,19369300279
2004-05-04,19363759861
2004-05-05,19446866127
2004-05-06,19208628165
2004-05-07,18837420180
2004-05-10,18582560965
2004-05-11,18687828902
2004-05-12,18926066863
2004-05-13,19131062318
2004-05-14,19153223988
2004-05-17,18975930622
2004-05-18,19142143153
2004-05-19,19097819811
2004-05-20,19358219443
2004-05-21,19463487380
2004-05-24,19579836151
2004-05-25,19945503720
2004-05-26,20926157652
2004-05-27,20416439224
2004-05-28,20876293893
2004-06-01,20588192173
2004-06-02,20654677185
2004-06-03,20549409249
2004-06-04,20577111337
2004-06-07,20704540944
2004-06-08,20793187628
2004-06-09,20527247578
2004-06-10,20494005072
2004-06-14,20244686275
2004-06-15,20244686275
2004-06-16,20250226693
2004-06-17,20494005072
2004-06-18,20577111337
2004-06-21,20649136767
2004-06-22,20687919691
2004-06-23,20748864286
2004-06-24,20643596350
2004-06-25,20427520059
2004-06-28,20521707160
2004-06-29,20449681730
2004-06-30,20479311232
2004-07-01,20285430818
2004-07-02,20495929554
2004-07-06,20290970258
2004-07-07,20252194175
2004-07-08,20274351937
2004-07-09,20318667460
2004-07-12,20706428289
2004-07-13,20639955004
2004-07-14,20490390113
2004-07-15,20595639481
2004-07-16,20739664932
2004-07-19,20977860870
2004-07-20,21138504642
2004-07-21,21171741285
2004-07-22,21216056808
2004-07-23,21254832891
2004-07-26,21382240021
2004-07-27,21542883793
2004-07-28,21415476663
2004-07-29,21448713306
2004-07-30,21454252746
2004-08-02,21797698052
2004-08-03,21437634425
2004-08-04,21448713306
2004-08-05,21049873596
2004-08-06,20756283253
2004-08-09,20928005906
2004-08-10,21243754010
2004-08-11,21393318902
2004-08-12,21293608974
2004-08-13,21365621699
2004-08-16,21598278197
2004-08-17,21587199316
2004-08-18,21681369803
2004-08-19,21664751482
2004-08-20,21842013576
2004-08-23,21725685327
