,CR
2001-01-25,1614434250
2001-01-26,1584328250
2001-01-29,1607660460
2001-01-30,1639572760
2001-01-31,1654023579
2001-02-01,1669076579
2001-02-02,1635960040
2001-02-05,1632347380
2001-02-06,1634755800
2001-02-07,1652217340
2001-02-08,1624519760
2001-02-09,1611273120
2001-02-12,1606456160
2001-02-13,1630540960
2001-02-14,1623315459
2001-02-15,1657034240
2001-02-16,1637766460
2001-02-20,1619702800
2001-02-21,1598026540
2001-02-22,1588392499
2001-02-23,1550459000
2001-02-26,1613681539
2001-02-27,1595015880
2001-02-28,1604649800
2001-03-01,1595618000
2001-03-02,1637164340
2001-03-05,1610671000
2001-03-06,1632347380
2001-03-07,1663055500
2001-03-08,1678108500
2001-03-09,1643787539
2001-03-12,1626928240
2001-03-13,1620304920
2001-03-14,1605854040
2001-03-15,1617294380
2001-03-16,1594413760
2001-03-19,1607058340
2001-03-20,1582371420
2001-03-21,1534803880
2001-03-22,1502289460
2001-03-23,1553469539
2001-03-26,1566114120
2001-03-27,1557684500
2001-03-28,1529384800
2001-03-29,1537212420
2001-03-30,1568522539
2001-04-02,1546905509
2001-04-03,1493851600
2001-04-04,1499216650
2001-04-05,1575518730
2001-04-06,1536771639
2001-04-09,1573134230
2001-04-10,1593402030
2001-04-11,1564192640
2001-04-12,1588633150
2001-04-16,1594594250
2001-04-17,1612477490
2001-04-18,1666127509
2001-04-19,1664339120
2001-04-20,1633937510
2001-04-23,1610689220
2001-04-24,1621419259
2001-04-25,1656589749
2001-04-26,1666127509
2001-04-27,1681030259
2001-04-30,1677453480
2001-05-01,1707258980
2001-05-02,1698913500
2001-05-03,1681626250
2001-05-04,1723354010
2001-05-07,1711431750
2001-05-08,1690568019
2001-05-09,1664935230
2001-05-10,1721565620
2001-05-11,1720373519
2001-05-14,1678049650
2001-05-15,1691760120
2001-05-16,1746602240
2001-05-17,1766273870
2001-05-18,1774023360
2001-05-21,1766273870
2001-05-22,1777600020
2001-05-23,1751967230
2001-05-24,1738256760
2001-05-25,1734680100
2001-05-29,1720373519
2001-05-30,1710239649
2001-05-31,1729315110
2001-06-01,1743025640
2001-06-04,1794291100
2001-06-05,1824096600
2001-06-06,1825884870
2001-06-07,1834230470
2001-06-08,1855094379
2001-06-11,1842576010
2001-06-12,1846748780
2001-06-13,1850921490
2001-06-14,1805021139
2001-06-15,1805021139
2001-06-18,1821712100
2001-06-19,1810982120
2001-06-20,1836018740
2001-06-21,1799059980
2001-06-22,1799656149
2001-06-25,1782965010
2001-06-26,1779388350
2001-06-27,1746602240
2001-06-28,1774619470
2001-06-29,1847941000
2001-07-02,1798628400
2001-07-03,1818911440
2001-07-05,1823683920
2001-07-06,1824280480
2001-07-09,1854108480
2001-07-10,1852318740
2001-07-11,1829052960
2001-07-12,1882146740
2001-07-13,1876777700
2001-07-16,1897060740
2001-07-17,1887515780
2001-07-18,1897060740
2001-07-19,1897060740
2001-07-20,1892288260
2001-07-23,1833825440
2001-07-24,1793855920
2001-07-25,1835018560
2001-07-26,1831439259
2001-07-27,1820701120
2001-07-30,1813542400
2001-07-31,1822490740
2001-08-01,1832035700
2001-08-02,1832035700
2001-08-03,1835018560
2001-08-06,1813542400
2001-08-07,1822490740
2001-08-08,1802804260
2001-08-09,1764624480
2001-08-10,1795645600
2001-08-13,1789083440
2001-08-14,1783714400
2001-08-15,1770590080
2001-08-16,1791469739
2001-08-17,1770590080
2001-08-20,1782521220
2001-08-21,1768800400
2001-08-22,1775959120
2001-08-23,1770590080
2001-08-24,1807576740
2001-08-27,1786697259
2001-08-28,1740762080
2001-08-29,1709740960
2001-08-30,1684685440
2001-08-31,1675737040
2001-09-04,1681106080
2001-09-05,1668578260
2001-09-06,1632188219
2001-09-07,1590428960
2001-09-10,1610115440
2001-09-17,1394757220
2001-09-18,1434726740
2001-09-19,1368508699
2001-09-20,1307659520
2001-09-21,1222351440
2001-09-24,1300500740
2001-09-25,1318397600
2001-09-26,1248003520
2001-09-27,1233089520
2001-09-28,1307659520
2001-10-01,1260779579
2001-10-02,1261973380
2001-10-03,1290030619
2001-10-04,1291224420
2001-10-05,1262570400
2001-10-08,1268540000
2001-10-09,1239885920
2001-10-10,1271524740
2001-10-11,1387932000
2001-10-12,1376589700
2001-10-15,1364053600
2001-10-16,1369426299
2001-10-17,1307939360
2001-10-18,1319281600
2001-10-19,1316296740
2001-10-22,1358680960
2001-10-23,1346741700
2001-10-24,1349726619
2001-10-25,1361068740
2001-10-26,1341966080
2001-10-29,1308536320
2001-10-30,1236304100
2001-10-31,1222574080
2001-11-01,1223768000
2001-11-02,1227349700
2001-11-05,1228543680
2001-11-06,1262570400
2001-11-07,1258988640
2001-11-08,1282867040
2001-11-09,1282270080
2001-11-12,1274509600
2001-11-13,1319281600
2001-11-14,1321669380
2001-11-15,1344950939
2001-11-16,1343160000
2001-11-19,1364053600
2001-11-20,1361665700
2001-11-21,1374798939
2001-11-23,1386738080
2001-11-26,1388528960
2001-11-27,1415392100
2001-11-28,1421958720
2001-11-29,1425540420
2001-11-30,1414795259
2001-12-03,1406437700
2001-12-04,1414198299
2001-12-05,1465536740
2001-12-06,1450015899
2001-12-07,1446434080
2001-12-10,1428525280
2001-12-11,1445837060
2001-12-12,1438076640
2001-12-13,1420764740
2001-12-14,1434494939
2001-12-17,1442852320
2001-12-18,1500757380
2001-12-19,1491803040
2001-12-20,1480460740
2001-12-21,1496578720
2001-12-24,1512099680
2001-12-26,1518666299
2001-12-27,1567616960
2001-12-28,1562244320
2001-12-31,1532912980
2002-01-02,1532315120
2002-01-03,1557425240
2002-01-04,1559218880
2002-01-07,1547859480
2002-01-08,1545468100
2002-01-09,1547261620
2002-01-10,1492258500
2002-01-11,1455789100
2002-01-14,1405568860
2002-01-15,1378067240
2002-01-16,1338010620
2002-01-17,1366110100
2002-01-18,1380458740
2002-01-22,1354152900
2002-01-23,1394209520
2002-01-24,1411547519
2002-01-25,1426494019
2002-01-28,1431276899
2002-01-29,1396003100
2002-01-30,1405568860
2002-01-31,1412145379
2002-02-01,1421711139
2002-02-04,1379263020
2002-02-05,1360131500
2002-02-06,1357142259
2002-02-07,1343391360
2002-02-08,1339206400
2002-02-11,1374480140
2002-02-12,1382252379
2002-02-13,1400785980
2002-02-14,1386437399
2002-02-15,1385839480
2002-02-19,1372088759
2002-02-20,1369099400
2002-02-21,1382850120
2002-02-22,1417526000
2002-02-25,1458778400
2002-02-26,1461767759
2002-02-27,1457582620
2002-02-28,1460571980
2002-03-01,1459376260
2002-03-04,1530521600
2002-03-05,1511987999
2002-03-06,1544272380
2002-03-07,1577752480
2002-03-08,1589709740
2002-03-11,1578350400
2002-03-12,1564001760
2002-03-13,1558023100
2002-03-14,1565795399
2002-03-15,1578350400
2002-03-18,1593894760
2002-03-19,1623189900
2002-03-20,1614819860
2002-03-21,1588514020
2002-03-22,1580143980
2002-03-25,1577154620
2002-03-26,1614819860
2002-03-27,1616613499
2002-03-28,1634549240
2002-04-01,1619002560
2002-04-02,1618404420
2002-04-03,1606442939
2002-04-04,1621993019
2002-04-05,1644720000
2002-04-08,1662064379
2002-04-09,1662064379
2002-04-10,1711705019
2002-04-11,1695556800
2002-04-12,1699145280
2002-04-15,1704528000
2002-04-16,1731441659
2002-04-17,1703331840
2002-04-18,1705126080
2002-04-19,1706322299
2002-04-22,1663260420
2002-04-23,1644121920
2002-04-24,1641729659
2002-04-25,1619600640
2002-04-26,1629169920
2002-04-29,1608835200
2002-04-30,1649504640
2002-05-01,1662662340
2002-05-02,1688379840
2002-05-03,1666849019
2002-05-06,1602256379
2002-05-07,1605844800
2002-05-08,1642925700
2002-05-09,1644720000
2002-05-10,1619600640
2002-05-13,1628571840
2002-05-14,1659073920
2002-05-15,1657279620
2002-05-16,1665652800
2002-05-17,1687781700
2002-05-20,1684791360
2002-05-21,1678212420
2002-05-22,1687183620
2002-05-23,1707518340
2002-05-24,1698547200
2002-05-28,1670437440
2002-05-29,1653691200
2002-05-30,1646514299
2002-05-31,1658475840
2002-06-03,1617208379
2002-06-04,1618404420
2002-06-05,1642327620
2002-06-06,1598069700
2002-06-07,1596275579
2002-06-10,1601060160
2002-06-11,1577137019
2002-06-12,1573548420
2002-06-13,1543046340
2002-06-14,1531084800
2002-06-17,1563979200
2002-06-18,1563979200
2002-06-19,1548429060
2002-06-20,1540654080
2002-06-21,1507161659
2002-06-24,1499984640
2002-06-25,1480846080
2002-06-26,1476061440
2002-06-27,1501180800
2002-06-28,1517926980
2002-07-01,1489393500
2002-07-02,1461280450
2002-07-03,1432569309
2002-07-05,1487599109
2002-07-08,1466663800
2002-07-09,1443335890
2002-07-10,1399072790
2002-07-11,1385315400
2002-07-12,1375745000
2002-07-15,1357800559
2002-07-16,1314135490
2002-07-17,1317724509
2002-07-18,1300378100
2002-07-19,1247142750
2002-07-22,1234581540
2002-07-23,1253722340
2002-07-24,1335668950
2002-07-25,1354809750
2002-07-26,1343444840
2002-07-29,1424793300
2002-07-30,1399072790
2002-07-31,1374548700
2002-08-01,1370361650
2002-08-02,1315930000
2002-08-05,1270470600
2002-08-06,1330883750
2002-08-07,1345239350
2002-08-08,1369165290
2002-08-09,1387708059
2002-08-12,1383520890
2002-08-13,1345837500
2002-08-14,1366772750
2002-08-15,1366772750
2002-08-16,1357800559
2002-08-19,1399671000
2002-08-20,1374548700
2002-08-21,1390100600
2002-08-22,1408643190
2002-08-23,1375146850
2002-08-26,1373950490
2002-08-27,1390100600
2002-08-28,1363781940
2002-08-29,1348828190
2002-08-30,1366772750
2002-09-03,1315930000
2002-09-04,1357800559
2002-09-05,1330883750
2002-09-06,1336267100
2002-09-09,1345239350
2002-09-10,1345837500
2002-09-11,1350622700
2002-09-12,1307555959
2002-09-13,1274059440
2002-09-16,1283629840
2002-09-17,1247740959
2002-09-18,1230992700
2002-09-19,1189720290
2002-09-20,1201683350
2002-09-23,1190916650
2002-09-24,1128709109
2002-09-25,1169383190
2002-09-26,1208861090
2002-09-27,1183140759
2002-09-30,1173744000
2002-10-01,1217700000
2002-10-02,1188000000
2002-10-03,1182060000
2002-10-04,1174338000
2002-10-07,1171367940
2002-10-08,1207008000
2002-10-09,1143450000
2002-10-10,1192158000
2002-10-11,1184436059
2002-10-14,1168398000
2002-10-15,1220669940
2002-10-16,1202850000
2002-10-17,1258686059
2002-10-18,1087019940
2002-10-21,1084644000
2002-10-22,1073952000
2002-10-23,1107810000
2002-10-24,1092365940
2002-10-25,1100088000
2002-10-28,1078110000
2002-10-29,1085238000
2002-10-30,1090584059
2002-10-31,1091178059
2002-11-01,1118502000
2002-11-04,1141667940
2002-11-05,1152360000
2002-11-06,1176119940
2002-11-07,1175526059
2002-11-08,1164834059
2002-11-11,1147608000
2002-11-12,1167210000
2002-11-13,1168398000
2002-11-14,1164834059
2002-11-15,1152360000
2002-11-18,1142262000
2002-11-19,1139292000
2002-11-20,1148202000
2002-11-21,1152360000
2002-11-22,1188000000
2002-11-25,1204632059
2002-11-26,1185623940
2002-11-27,1226610000
2002-11-29,1221858000
2002-12-02,1242648000
2002-12-03,1240271940
2002-12-04,1233144000
2002-12-05,1195128059
2002-12-06,1196315940
2002-12-09,1185623940
2002-12-10,1189782059
2002-12-11,1177902000
2002-12-12,1183842000
2002-12-13,1163646000
2002-12-16,1212948000
2002-12-17,1205819940
2002-12-18,1189782059
2002-12-19,1177308000
2002-12-20,1181465940
2002-12-23,1186217940
2002-12-24,1184436059
2002-12-26,1189188000
2002-12-27,1172556000
2002-12-30,1188000000
2002-12-31,1183842000
2003-01-02,1220669940
2003-01-03,1205819940
2003-01-06,1215917940
2003-01-07,1208790000
2003-01-08,1188000000
2003-01-09,1199286059
2003-01-10,1198098000
2003-01-13,1193346000
2003-01-14,1207008000
2003-01-15,1171962000
2003-01-16,1195128059
2003-01-17,1185623940
2003-01-21,1165428059
2003-01-22,1124442000
2003-01-23,1152360000
2003-01-24,965250000
2003-01-27,904662000
2003-01-28,959309999
2003-01-29,945648000
2003-01-30,938520000
2003-01-31,957528059
2003-02-03,962280059
2003-02-04,974159999
2003-02-05,974159999
2003-02-06,968813940
2003-02-07,969408000
2003-02-10,970596000
2003-02-11,979505999
2003-02-12,968813940
2003-02-13,973565940
2003-02-14,992573940
2003-02-18,1019304000
2003-02-19,1012769940
2003-02-20,1006236059
2003-02-21,1016334059
2003-02-24,1015740000
2003-02-25,1022273940
2003-02-26,1016334059
2003-02-27,1028808000
2003-02-28,1026432059
2003-03-03,1021680059
2003-03-04,993762000
2003-03-05,1001484059
2003-03-06,987228059
2003-03-07,996732059
2003-03-10,975348000
2003-03-11,954558000
2003-03-12,956340000
2003-03-13,994355999
2003-03-14,996138000
2003-03-17,1047221940
2003-03-18,1039500000
2003-03-19,1028808000
2003-03-20,1027026059
2003-03-21,1077515940
2003-03-24,1031778059
2003-03-25,1046034059
2003-03-26,1034154000
2003-03-27,1040688000
2003-03-28,1029401999
2003-03-31,1032779540
2003-04-01,1047008420
2003-04-02,1063015910
2003-04-03,1061830170
2003-04-04,1060644370
2003-04-07,1068351740
2003-04-08,1035150960
2003-04-09,1019736459
2003-04-10,1023293620
2003-04-11,1012029090
2003-04-14,1042858330
2003-04-15,1044044129
2003-04-16,1020922080
2003-04-17,1081394880
2003-04-21,1079023459
2003-04-22,1113409919
2003-04-23,1112224120
2003-04-24,1122895839
2003-04-25,1107481160
2003-04-28,1150760670
2003-04-29,1137124660
2003-04-30,1157875169
2003-05-01,1137717589
2003-05-02,1163210999
2003-05-05,1147203450
2003-05-06,1175068340
2003-05-07,1178032749
2003-05-08,1162025200
2003-05-09,1193447250
2003-05-12,1208861870
2003-05-13,1200561750
2003-05-14,1185740000
2003-05-15,1194040120
2003-05-16,1183961330
2003-05-19,1153724960
2003-05-20,1155503630
2003-05-21,1162025200
2003-05-22,1175661210
2003-05-23,1183368460
2003-05-27,1201154620
2003-05-28,1194040120
2003-05-29,1188704290
2003-05-30,1237912500
2003-06-02,1263405910
2003-06-03,1252141499
2003-06-04,1275263370
2003-06-05,1288306510
2003-06-06,1313207050
2003-06-09,1276449169
2003-06-10,1289492250
2003-06-11,1315578589
2003-06-12,1329214540
2003-06-13,1287713580
2003-06-16,1338107590
2003-06-17,1323285840
2003-06-18,1322100040
2003-06-19,1302535330
2003-06-20,1311428499
2003-06-23,1290085120
2003-06-24,1325064450
2003-06-25,1297792370
2003-06-26,1333957500
2003-06-27,1339886200
2003-06-30,1342072090
2003-07-01,1356305409
2003-07-02,1362235790
2003-07-03,1350374850
2003-07-07,1376468990
2003-07-08,1404342400
2003-07-09,1405528559
2003-07-10,1394853600
2003-07-11,1415610409
2003-07-14,1425099209
2003-07-15,1407900700
2003-07-16,1399004950
2003-07-17,1388923100
2003-07-18,1416203340
2003-07-21,1400191109
2003-07-22,1421540790
2003-07-23,1429250500
2003-07-24,1401377090
2003-07-25,1461868250
2003-07-28,1447042000
2003-07-29,1444669859
2003-07-30,1461868250
2003-07-31,1471356990
2003-08-01,1492113800
2003-08-04,1484997259
2003-08-05,1451193290
2003-08-06,1423320000
2003-08-07,1423320000
2003-08-08,1438146250
2003-08-11,1439925459
2003-08-12,1457123850
2003-08-13,1452972500
2003-08-14,1461275140
2003-08-15,1479659809
2003-08-18,1505753890
2003-08-19,1521766300
2003-08-20,1514649759
2003-08-21,1533034250
2003-08-22,1515835740
2003-08-25,1503974859
2003-08-26,1500416440
2003-08-27,1508719259
2003-08-28,1515242690
2003-08-29,1517614950
2003-09-02,1557942350
2003-09-03,1557942350
2003-09-04,1536592550
2003-09-05,1511684450
2003-09-08,1523545509
2003-09-09,1487369400
2003-09-10,1459496050
2003-09-11,1468984850
2003-09-12,1471357050
2003-09-15,1474322300
2003-09-16,1482031950
2003-09-17,1468984850
2003-09-18,1480252800
2003-09-19,1487369400
2003-09-22,1453565550
2003-09-23,1462461300
2003-09-24,1452972500
2003-09-25,1443483700
2003-09-26,1384178700
2003-09-29,1390702250
2003-09-30,1389102580
2003-10-01,1416991440
2003-10-02,1443693540
2003-10-03,1474549300
2003-10-06,1460901560
2003-10-07,1485230140
2003-10-08,1482856620
2003-10-09,1478109580
2003-10-10,1500064640
2003-10-13,1487010280
2003-10-14,1506591820
2003-10-15,1524986600
2003-10-16,1530920400
2003-10-17,1508371960
2003-10-20,1516679280
2003-10-21,1510152100
2003-10-22,1482856620
2003-10-23,1466835360
2003-10-24,1585511360
2003-10-27,1624674440
2003-10-28,1637728800
2003-10-29,1643662600
2003-10-30,1671551460
2003-10-31,1667397800
2003-11-03,1697066800
2003-11-04,1713088060
2003-11-05,1691133000
2003-11-06,1701220460
2003-11-07,1689352860
2003-11-10,1656716960
2003-11-11,1640695700
2003-11-12,1669771320
2003-11-13,1656716960
2003-11-14,1641882460
2003-11-17,1616960500
2003-11-18,1600345860
2003-11-19,1615773740
2003-11-20,1650189780
2003-11-21,1661464000
2003-11-24,1682232300
2003-11-25,1717835100
2003-11-26,1726142420
2003-11-28,1726142420
2003-12-01,1775986340
2003-12-02,1775986340
2003-12-03,1783106900
2003-12-04,1787853940
2003-12-05,1772426060
2003-12-08,1798534780
2003-12-09,1769459160
2003-12-10,1749284240
2003-12-11,1779546620
2003-12-12,1799128160
2003-12-15,1789040700
2003-12-16,1794381120
2003-12-17,1789040700
2003-12-18,1815742800
2003-12-19,1805061960
2003-12-22,1811589140
2003-12-23,1818709700
2003-12-24,1815149420
2003-12-26,1812775900
2003-12-29,1818709700
2003-12-30,1824643500
2003-12-31,1830382560
2004-01-02,1800015120
2004-01-05,1826214480
2004-01-06,1814305680
2004-01-07,1822641840
2004-01-08,1839909600
2004-01-09,1864322640
2004-01-12,1875040560
2004-01-13,1880399520
2004-01-14,1888735680
2004-01-15,1878017760
2004-01-16,1892308320
2004-01-20,1858963680
2004-01-21,1884567600
2004-01-22,1897071840
2004-01-23,1839314160
2004-01-26,1860750000
2004-01-27,1785129120
2004-01-28,1777983840
2004-01-29,1780365600
2004-01-30,1788701760
2004-02-02,1785724560
2004-02-03,1789892640
2004-02-04,1775006640
2004-02-05,1795847040
2004-02-06,1815496560
2004-02-09,1822641840
2004-02-10,1847054880
2004-02-11,1876231440
2004-02-12,1900049040
2004-02-13,1885163040
2004-02-17,1898262720
2004-02-18,1896476400
2004-02-19,1886949360
2004-02-20,1883972160
2004-02-23,1870277040
2004-02-24,1855391040
2004-02-25,1901239920
2004-02-26,1901239920
2004-02-27,1913744160
2004-03-01,1907194320
2004-03-02,1886353920
2004-03-03,1911957840
2004-03-04,1905408000
2004-03-05,1920889440
2004-03-08,1902430800
2004-03-09,1898858160
2004-03-10,1869681600
2004-03-11,1842886800
2004-03-12,1869681600
2004-03-15,1867299840
2004-03-16,1870872480
2004-03-17,1911362400
2004-03-18,1906598880
2004-03-19,1903621680
2004-03-22,1872063360
2004-03-23,1854795600
2004-03-24,1862536320
2004-03-25,1893499200
2004-03-26,1886949360
2004-03-29,1928630160
2004-03-30,1944111600
2004-03-31,1954062000
2004-04-01,1980116159
2004-04-02,2013868140
2004-04-05,2013276000
2004-04-06,1985445420
2004-04-07,1981300440
2004-04-08,1962944100
2004-04-12,1975971179
2004-04-13,1943403480
2004-04-14,1971234060
2004-04-15,1982484719
2004-04-16,2009131020
2004-04-19,2005578179
2004-04-20,1965312659
2004-04-21,1983669000
2004-04-22,2032816620
2004-04-23,1922086440
2004-04-26,1924455000
2004-04-27,1914980760
2004-04-28,1886558040
2004-04-29,1843923960
2004-04-30,1824383340
2004-05-03,1829712600
2004-05-04,1840371120
2004-05-05,1842147540
2004-05-06,1835041860
2004-05-07,1795368480
2004-05-10,1768722180
2004-05-11,1762208640
2004-05-12,1766945760
2004-05-13,1765761480
2004-05-14,1756287240
2004-05-17,1729048800
2004-05-18,1744444440
2004-05-19,1736154480
2004-05-20,1731417360
2004-05-21,1746220860
2004-05-24,1758063660
2004-05-25,1785302100
2004-05-26,1782933540
2004-05-27,1798329180
2004-05-28,1787670660
2004-06-01,1781749260
2004-06-02,1808987700
2004-06-03,1767537900
2004-06-04,1785302100
2004-06-07,1829120460
2004-06-08,1829712600
2004-06-09,1818461940
2004-06-10,1830896880
2004-06-14,1811356260
2004-06-15,1819054080
2004-06-16,1815501240
2004-06-17,1818461940
2004-06-18,1825567620
2004-06-21,1815501240
2004-06-22,1806027000
2004-06-23,1836226140
2004-06-24,1835634000
2004-06-25,1843923960
2004-06-28,1840371120
2004-06-29,1855174620
2004-06-30,1852135560
2004-07-01,1831484160
2004-07-02,1810832760
2004-07-06,1787821200
2004-07-07,1789001280
2004-07-08,1758319200
2004-07-09,1776610440
2004-07-12,1776020400
2004-07-13,1796671800
2004-07-14,1760679360
2004-07-15,1763629560
2004-07-16,1761859440
2004-07-19,1747108440
2004-07-20,1754778960
2004-07-21,1711116000
2004-07-22,1693414800
2004-07-23,1659192480
2004-07-26,1652702040
2004-07-27,1663322760
2004-07-28,1594288080
2004-07-29,1619069760
2004-07-30,1641491280
2004-08-02,1619069760
2004-08-03,1611399240
2004-08-04,1620839880
2004-08-05,1583077320
2004-08-06,1553575320
2004-08-09,1559475720
2004-08-10,1575406800
2004-08-11,1568326320
2004-08-12,1537644240
2004-08-13,1531153800
2004-08-16,1563606000
2004-08-17,1553575320
2004-08-18,1579537080
2004-08-19,1554165360
2004-08-20,1577766960
2004-08-23,1577766960
2004-08-24,1581307200
2004-08-25,1602548640
2004-08-26,1592517960
