,CRL
2001-04-06,918013145
2001-04-09,948144868
2001-04-10,964616876
2001-04-11,865784786
2001-04-12,913995582
2001-04-16,930065834
2001-04-17,966223861
2001-04-18,964215120
2001-04-19,964215120
2001-04-20,964215120
2001-04-23,970241464
2001-04-24,982294193
2001-04-25,962206378
2001-04-26,978276590
2001-04-27,970241464
2001-04-30,996355583
2001-05-01,1034522472
2001-05-02,1032513731
2001-05-03,1026889062
2001-05-04,1044566380
2001-05-07,1130943984
2001-05-08,1136970288
2001-05-09,1108847388
2001-05-10,1104829825
2001-05-11,1134961547
2001-05-14,1185181085
2001-05-15,1169110833
2001-05-16,1205268900
2001-05-17,1251470874
2001-05-18,1257497178
2001-05-21,1239418185
2001-05-22,1285218403
2001-05-23,1312136075
2001-05-24,1362355613
2001-05-25,1308118552
2001-05-29,1325795790
2001-05-30,1285620160
2001-05-31,1273567511
2001-06-01,1281200800
2001-06-04,1282004353
2001-06-05,1248256824
2001-06-06,1177145918
2001-06-07,1138979110
2001-06-08,1201251337
2001-06-11,1181967034
2001-06-12,1189198648
2001-06-13,1205268900
2001-06-14,1153040621
2001-06-15,1249462093
2001-06-18,1293655326
2001-06-19,1285620160
2001-06-20,1363962678
2001-06-21,1363560842
2001-06-22,1253479696
2001-06-25,1245444530
2001-06-26,1230579506
2001-06-27,1245444530
2001-06-28,1251470874
2001-06-29,1365971420
2001-07-02,1473324280
2001-07-03,1460407807
2001-07-05,1382048657
2001-07-06,1373437848
2001-07-09,1341577534
2001-07-10,1302397959
2001-07-11,1343299756
2001-07-12,1382048657
2001-07-13,1461699571
2001-07-16,1463852252
2001-07-17,1378604385
2001-07-18,1283023401
2001-07-19,1303689636
2001-07-20,1259343481
2001-07-23,1265801653
2001-07-24,1321772517
2001-07-25,1313161579
2001-07-26,1341146989
2001-07-27,1243413281
2001-07-30,1278718039
2001-07-31,1304550640
2001-08-01,1376451618
2001-08-02,1323925198
2001-08-03,1343299756
2001-08-06,1353202243
2001-08-07,1373868392
2001-08-08,1384201553
2001-08-09,1422089365
2001-08-10,1463852252
2001-08-13,1476768552
2001-08-14,1483226810
2001-08-15,1510351174
2001-08-16,1519823030
2001-08-17,1495712651
2001-08-20,1503892916
2001-08-21,1511642765
2001-08-22,1532739330
2001-08-23,1521975711
2001-08-24,1545655846
2001-08-27,1534892226
2001-08-28,1545655846
2001-08-29,1532739330
2001-08-30,1537475366
2001-08-31,1537044907
2001-09-04,1534892226
2001-09-05,1450935951
2001-09-06,1436297429
2001-09-07,1369132357
2001-09-10,1386354234
2001-09-17,1343299756
2001-09-18,1276565272
2001-09-19,1248579862
2001-09-20,1238677332
2001-09-21,1250732542
2001-09-24,1394965173
2001-09-25,1420797774
2001-09-26,1401423215
2001-09-27,1455241313
2001-09-28,1522836843
2001-10-01,1523525566
2001-10-02,1573278645
2001-10-03,1555349678
2001-10-04,1501562326
2001-10-05,1517250200
2001-10-08,1540109940
2001-10-09,1562521318
2001-10-10,1658441972
2001-10-11,1676371164
2001-10-12,1647236283
2001-10-15,1624824905
2001-10-16,1631548408
2001-10-17,1591207838
2001-10-18,1479150948
2001-10-19,1501562326
2001-10-22,1479150948
2001-10-23,1409675721
2001-10-24,1411020358
2001-10-25,1441051695
2001-10-26,1440603333
2001-10-29,1434328192
2001-10-30,1445982018
2001-10-31,1506044511
2001-11-01,1430294143
2001-11-02,1438810377
2001-11-05,1478254492
2001-11-06,1503803418
2001-11-07,1472427444
2001-11-08,1421329547
2001-11-09,1396228849
2001-11-12,1416399089
2001-11-13,1432087099
2001-11-14,1380092702
2001-11-15,1389057208
2001-11-16,1411916814
2001-11-19,1405193400
2001-11-20,1441947970
2001-11-21,1465704166
2001-11-23,1492597729
2001-11-26,1517250200
2001-11-27,1489908499
2001-11-28,1474668762
2001-11-29,1508285829
2001-11-30,1485874451
2001-12-03,1501562326
2001-12-04,1483633133
2001-12-05,1523525566
2001-12-06,1490356637
2001-12-07,1461221755
2001-12-10,1407434538
2001-12-11,1389953663
2001-12-12,1400711125
2001-12-13,1416399089
2001-12-14,1414157906
2001-12-17,1371576333
2001-12-18,1402504080
2001-12-19,1415054406
2001-12-20,1382782022
2001-12-21,1389505436
2001-12-24,1378299747
2001-12-26,1445085743
2001-12-27,1506941011
2001-12-28,1523973704
2001-12-31,1481653884
2002-01-02,1437841627
2002-01-03,1354199787
2002-01-04,1333399942
2002-01-07,1332514932
2002-01-08,1349331748
2002-01-09,1349774297
2002-01-10,1402880215
2002-01-11,1422794962
2002-01-14,1393144094
2002-01-15,1374114445
2002-01-16,1318795826
2002-01-17,1323221360
2002-01-18,1323221360
2002-01-22,1327646850
2002-01-23,1356412531
2002-01-24,1328089398
2002-01-25,1314370425
2002-01-28,1300651319
2002-01-29,1240022157
2002-01-30,1322336218
2002-01-31,1351986997
2002-02-01,1371901745
2002-02-04,1318795826
2002-02-05,1334285084
2002-02-06,1348889199
2002-02-07,1314370425
2002-02-08,1368361353
2002-02-11,1383408017
2002-02-12,1396241892
2002-02-13,1382965468
2002-02-14,1369689044
2002-02-15,1371901745
2002-02-19,1352429546
2002-02-20,1363935863
2002-02-21,1370131504
2002-02-22,1356412531
2002-02-25,1332072339
2002-02-26,1333842491
2002-02-27,1343136063
2002-02-28,1312600185
2002-03-01,1270115530
2002-03-04,1274540931
2002-03-05,1234711570
2002-03-06,1267902741
2002-03-07,1278966465
2002-03-08,1279851563
2002-03-11,1316583126
2002-03-12,1296668379
2002-03-13,1319680968
2002-03-14,1328089398
2002-03-15,1323663909
2002-03-18,1330302099
2002-03-19,1357740178
2002-03-20,1332957481
2002-03-21,1361723119
2002-03-22,1370574053
2002-03-25,1345348808
2002-03-26,1366591113
2002-03-27,1366591113
2002-03-28,1371901745
2002-04-01,1369786863
2002-04-02,1364932548
2002-04-03,1368021630
2002-04-04,1361843511
2002-04-05,1356547900
2002-04-08,1368462927
2002-04-09,1351252376
2002-04-10,1360078278
2002-04-11,1332276592
2002-04-12,1360519575
2002-04-15,1332276592
2002-04-16,1349487143
2002-04-17,1344632828
2002-04-18,1322567963
2002-04-19,1309329089
2002-04-22,1299620592
2002-04-23,1276673088
2002-04-24,1257697305
2002-04-25,1234749845
2002-04-26,1226806449
2002-04-29,1286381629
2002-04-30,1321685457
2002-05-01,1322567963
2002-05-02,1477022107
2002-05-03,1487171945
2002-05-06,1467313522
2002-05-07,1449661542
2002-05-08,1467313522
2002-05-09,1446131252
2002-05-10,1454957242
2002-05-13,1476139512
2002-05-14,1601909154
2002-05-15,1650893199
2002-05-16,1654864875
2002-05-17,1668103749
2002-05-20,1693257695
2002-05-21,1654864875
2002-05-22,1612500378
2002-05-23,1613382972
2002-05-24,1657071317
2002-05-28,1659277759
2002-05-29,1648245327
2002-05-30,1632800010
2002-05-31,1621767577
2002-06-03,1595731036
2002-06-04,1562192530
2002-06-05,1571018299
2002-06-06,1539245026
2002-06-07,1526888569
2002-06-10,1553366540
2002-06-11,1548953434
2002-06-12,1617354692
2002-06-13,1589111489
2002-06-14,1655747469
2002-06-17,1714439922
2002-06-18,1683549287
2002-06-19,1716205155
2002-06-20,1649127965
2002-06-21,1593083164
2002-06-24,1588229070
2002-06-25,1546746992
2002-06-26,1561751100
2002-06-27,1531301675
2002-06-28,1546746992
2002-07-01,1500559070
2002-07-02,1464401066
2002-07-03,1475248345
2002-07-05,1505078736
2002-07-08,1532197408
2002-07-09,1527677516
2002-07-10,1435022561
2002-07-11,1466660899
2002-07-12,1504174784
2002-07-15,1453101676
2002-07-16,1466208833
2002-07-17,1541236739
2002-07-18,1491519513
2002-07-19,1459881175
2002-07-22,1355474854
2002-07-23,1351407073
2002-07-24,1414231728
2002-07-25,1430502805
2002-07-26,1452649565
2002-07-29,1581914635
2002-07-30,1631631861
2002-07-31,1722026983
2002-08-01,1654230642
2002-08-02,1621236467
2002-08-05,1593214025
2002-08-06,1642931251
2002-08-07,1657846537
2002-08-08,1708467760
2002-08-09,1715247485
2002-08-12,1722026983
2002-08-13,1703948094
2002-08-14,1780783993
2002-08-15,1735134321
2002-08-16,1741914046
2002-08-19,1733326373
2002-08-20,1717507318
2002-08-21,1703948094
2002-08-22,1717055432
2002-08-23,1742365931
2002-08-26,1758185213
2002-08-27,1740106098
2002-08-28,1762252993
2002-08-29,1789823325
2002-08-30,1787563492
2002-09-03,1760445046
2002-09-04,1772648387
2002-09-05,1759992980
2002-09-06,1672309757
2002-09-09,1682705196
2002-09-10,1685868980
2002-09-11,1667790091
2002-09-12,1666886094
2002-09-13,1699880314
2002-09-16,1739202147
2002-09-17,1725190812
2002-09-18,1755925154
2002-09-19,1728806708
2002-09-20,1677733419
2002-09-23,1643835248
2002-09-24,1654230642
2002-09-25,1734682436
2002-09-26,1774004269
2002-09-27,1740106098
2002-09-30,2229400000
2002-10-01,2218039943
2002-10-02,2165215943
2002-10-03,2226560056
2002-10-04,2166920113
2002-10-07,2215200000
2002-10-08,2195320113
2002-10-09,2178279886
2002-10-10,2237920113
2002-10-11,2232808056
2002-10-14,2247008056
2002-10-15,2199864000
2002-10-16,2242464000
2002-10-17,2269160056
2002-10-18,2258936000
2002-10-21,2272000000
2002-10-22,2304944113
2002-10-23,2327664000
2002-10-24,2229967886
2002-10-25,2272000000
2002-10-28,2249279886
2002-10-29,2257232113
2002-10-30,2090239943
2002-10-31,2087400000
2002-11-01,2084560056
2002-11-04,2106144113
2002-11-05,2130000000
2002-11-06,2155560056
2002-11-07,2174872056
2002-11-08,2172600000
2002-11-11,2101600000
2002-11-12,2127160056
2002-11-13,2144767886
2002-11-14,2178279886
2002-11-15,2185096056
2002-11-18,2215200000
2002-11-19,2164079886
2002-11-20,2166920113
2002-11-21,2178279886
2002-11-22,2149879886
2002-11-25,2141360056
2002-11-26,2093079886
2002-11-27,2118072056
2002-11-29,2076039943
2002-12-02,2118639943
2002-12-03,2107279886
2002-12-04,2130000000
2002-12-05,2193615943
2002-12-06,2207815943
2002-12-09,2169760056
2002-12-10,2189639943
2002-12-11,2235079886
2002-12-12,2243600000
2002-12-13,2172600000
2002-12-16,2182255886
2002-12-17,2206679886
2002-12-18,2203839943
2002-12-19,2156127943
2002-12-20,2214632113
2002-12-23,2212360056
2002-12-24,2192479886
2002-12-26,2199296056
2002-12-27,2172032113
2002-12-30,1723562383
2002-12-31,1738471219
2003-01-02,1741633674
2003-01-03,1719496267
2003-01-06,1522517719
2003-01-07,1502639014
2003-01-08,1466044511
2003-01-09,1478694465
2003-01-10,1434419470
2003-01-13,1445714112
2003-01-14,1355356980
2003-01-15,1344062338
2003-01-16,1389240904
2003-01-17,1382464119
2003-01-21,1386982021
2003-01-22,1355808765
2003-01-23,1359874836
2003-01-24,1339544481
2003-01-27,1321924841
2003-01-28,1346321221
2003-01-29,1325539126
2003-01-30,1332767697
2003-01-31,1345417740
2003-02-03,1305660557
2003-02-04,1343158767
2003-02-05,1348580195
2003-02-06,1344062338
2003-02-07,1355356980
2003-02-10,1371169478
2003-02-11,1356712382
2003-02-12,1333219482
2003-02-13,1314696270
2003-02-14,1322376626
2003-02-18,1353098096
2003-02-19,1354001577
2003-02-20,1348580195
2003-02-21,1355356980
2003-02-24,1325990912
2003-02-25,1348580195
2003-02-26,1344062338
2003-02-27,1343158767
2003-02-28,1351290909
2003-03-03,1307919530
2003-03-04,1278101677
2003-03-05,1277198060
2003-03-06,1268162347
2003-03-07,1202201686
2003-03-10,1185937357
2003-03-11,1181419500
2003-03-12,1160185574
2003-03-13,1149794549
2003-03-14,1152053433
2003-03-17,1154312316
2003-03-18,1208526640
2003-03-19,1190003428
2003-03-20,1213044497
2003-03-21,1227953423
2003-03-24,1184130169
2003-03-25,1190455214
2003-03-26,1188196240
2003-03-27,1167414145
2003-03-28,1179612403
2003-03-31,1166037152
2003-04-01,1199391663
2003-04-02,1222694130
2003-04-03,1204417731
2003-04-04,1167407840
2003-04-07,1153700552
2003-04-08,1144562284
2003-04-09,1142277775
2003-04-10,1134053375
2003-04-11,1132225776
2003-04-14,1130854997
2003-04-15,1151416042
2003-04-16,1174261598
2003-04-17,1201676173
2003-04-21,1208529931
2003-04-22,1242341353
2003-04-23,1254221042
2003-04-24,1222237219
2003-04-25,1233659997
2003-04-28,1241427485
2003-04-29,1256505552
2003-04-30,1240513663
2003-05-01,1168321708
2003-05-02,1200305485
2003-05-05,1224521729
2003-05-06,1196193285
2003-05-07,1176089197
2003-05-08,1236401417
2003-05-09,1290773885
2003-05-12,1285290906
2003-05-13,1285747817
2003-05-14,1333266618
2003-05-15,1373017839
2003-05-16,1375302441
2003-05-19,1331895885
2003-05-20,1318188552
2003-05-21,1309050330
2003-05-22,1319559239
2003-05-23,1314990220
2003-05-27,1373017839
2003-05-28,1376216309
2003-05-29,1384897528
2003-05-30,1451606596
2003-06-02,1468512261
2003-06-03,1427847218
2003-06-04,1459374131
2003-06-05,1484961107
2003-06-06,1495927065
2003-06-09,1461201729
2003-06-10,1468969310
2003-06-11,1512375682
2003-06-12,1523798460
2003-06-13,1507806663
2003-06-16,1516944930
2003-06-17,1553040954
2003-06-18,1539790486
2003-06-19,1511005040
2003-06-20,1521513950
2003-06-23,1480392087
2003-06-24,1468969310
2003-06-25,1478564397
2003-06-26,1492728504
2003-06-27,1490900997
2003-06-30,1466135763
2003-07-01,1450189600
2003-07-02,1454745647
2003-07-03,1462946576
2003-07-07,1477981439
2003-07-08,1492105228
2003-07-09,1503039831
2003-07-10,1470691764
2003-07-11,1475247902
2003-07-14,1523086344
2003-07-15,1528553555
2003-07-16,1511696228
2003-07-17,1505317809
2003-07-18,1523997599
2003-07-21,1489371555
2003-07-22,1503950858
2003-07-23,1497572438
2003-07-24,1492105228
2003-07-25,1464769040
2003-07-28,1475703415
2003-07-29,1490282764
2003-07-30,1691660111
2003-07-31,1693026879
2003-08-01,1654756088
2003-08-04,1611929297
2003-08-05,1571836042
2003-08-06,1567735600
2003-08-07,1569558064
2003-08-08,1573202810
2003-08-11,1577758948
2003-08-12,1596894252
2003-08-13,1578670203
2003-08-14,1575480970
2003-08-15,1554523020
2003-08-18,1588693368
2003-08-19,1588693368
2003-08-20,1596894252
2003-08-21,1600083485
2003-08-22,1571836042
2003-08-25,1588237855
2003-08-26,1609195623
2003-08-27,1578670203
2003-08-28,1609195623
2003-08-29,1628786623
2003-09-02,1661590204
2003-09-03,1435154647
2003-09-04,1451100810
2003-09-05,1426042508
2003-09-08,1431509810
2003-09-09,1435154647
2003-09-10,1446544763
2003-09-11,1449278391
2003-09-12,1448822787
2003-09-15,1457934880
2003-09-16,1471603019
2003-09-17,1496661275
2003-09-18,1503039740
2003-09-19,1516707879
2003-09-22,1493016438
2003-09-23,1467502577
2003-09-24,1428776182
2003-09-25,1419664089
2003-09-26,1407818368
2003-09-29,1557875000
2003-09-30,1580535000
2003-10-01,1602680000
2003-10-02,1614525000
2003-10-03,1601650000
2003-10-06,1609375000
2003-10-07,1617100000
2003-10-08,1624825000
2003-10-09,1639245000
2003-10-10,1642850000
2003-10-13,1652120000
2003-10-14,1683535000
2003-10-15,1699500000
2003-10-16,1719070000
2003-10-17,1712890000
2003-10-20,1725765000
2003-10-21,1735550000
2003-10-22,1699500000
2003-10-23,1720614999
2003-10-24,1745850000
2003-10-27,1724219999
2003-10-28,1767995000
2003-10-29,1803015000
2003-10-30,1639760000
2003-10-31,1660360000
2003-11-03,1673235000
2003-11-04,1625340000
2003-11-05,1616585000
2003-11-06,1640790000
2003-11-07,1650060000
2003-11-10,1631005000
2003-11-11,1611435000
2003-11-12,1622250000
2003-11-13,1675810000
2003-11-14,1677870000
2003-11-17,1648000000
2003-11-18,1629460000
2003-11-19,1633580000
2003-11-20,1648000000
2003-11-21,1645940000
2003-11-24,1674780000
2003-11-25,1659330000
2003-11-26,1663449999
2003-11-28,1671175000
2003-12-01,1706710000
2003-12-02,1704650000
2003-12-03,1703620000
2003-12-04,1689199999
2003-12-05,1704650000
2003-12-08,1699500000
2003-12-09,1702074999
2003-12-10,1689199999
2003-12-11,1735550000
2003-12-12,1704650000
2003-12-15,1701560000
2003-12-16,1700015000
2003-12-17,1687655000
2003-12-18,1697440000
2003-12-19,1692804999
2003-12-22,1707739999
2003-12-23,1699500000
2003-12-24,1740699999
2003-12-26,1730915000
2003-12-29,1567327830
2003-12-30,1567327830
2003-12-31,1574206097
2004-01-02,1560908114
2004-01-05,1548527233
2004-01-06,1548527233
2004-01-07,1554488398
2004-01-08,1552654193
2004-01-09,1553571296
2004-01-12,1614100048
2004-01-13,1624188173
2004-01-14,1628315133
2004-01-15,1648491384
2004-01-16,1700307664
2004-01-20,1708103033
2004-01-21,1758543660
2004-01-22,1752123944
2004-01-23,1770007439
2004-01-26,1783763973
2004-01-27,1825033576
2004-01-28,1789266587
2004-01-29,1808984286
2004-01-30,1841082867
2004-02-02,1849795339
2004-02-03,1838790111
2004-02-04,1795227752
2004-02-05,1786056729
2004-02-06,1786973831
2004-02-09,1797061956
2004-02-10,1788349485
2004-02-11,1879601163
2004-02-12,1976355456
2004-02-13,1974979803
2004-02-17,1976355456
2004-02-18,1999283014
2004-02-19,1996990258
2004-02-20,1978648212
2004-02-23,1941505569
2004-02-24,1951593694
2004-02-25,1963974575
2004-02-26,1958013410
2004-02-27,1974521251
2004-03-01,2032298696
2004-03-02,2056143356
2004-03-03,2034591452
2004-03-04,1998365911
2004-03-05,2007536934
2004-03-08,2004785627
2004-03-09,1984150826
2004-03-10,1934627301
2004-03-11,1935085853
2004-03-12,1955720654
2004-03-15,1949300938
2004-03-16,1916743806
2004-03-17,1952969347
2004-03-18,1961681819
2004-03-19,1968560086
2004-03-22,1937378608
2004-03-23,1920412216
2004-03-24,1888313635
2004-03-25,1925456278
2004-03-26,1949300938
2004-03-29,1939740356
2004-03-30,1939278952
2004-03-31,1977114040
2004-04-01,2032943865
2004-04-02,2048631584
2004-04-05,2074931584
2004-04-06,2066164917
2004-04-07,2075392987
2004-04-08,2080929830
2004-04-12,2117380707
2004-04-13,2100308777
2004-04-14,2107229830
2004-04-15,2115073689
2004-04-16,2099385970
2004-04-19,2108152637
2004-04-20,2100308777
2004-04-21,2106768426
2004-04-22,2121994742
2004-04-23,2109536847
2004-04-26,2156138602
2004-04-27,2173210532
2004-04-28,2148294742
2004-04-29,2122456146
2004-04-30,2122456146
2004-05-03,2116919303
2004-05-04,2140912286
2004-05-05,2145526321
2004-05-06,2124763163
2004-05-07,2092464917
2004-05-10,2055091233
2004-05-11,2060628075
2004-05-12,2030175444
2004-05-13,2065703514
2004-05-14,2055552637
2004-05-17,2036173689
2004-05-18,2030175444
2004-05-19,2033405268
2004-05-20,2021408777
2004-05-21,2027407022
2004-05-24,2030175444
2004-05-25,2025561408
2004-05-26,2060166672
2004-05-27,2076315795
2004-05-28,2080007023
2004-06-01,2105384216
2004-06-02,2097540356
2004-06-03,2060166672
2004-06-04,2072624566
2004-06-07,2087850882
2004-06-08,2091542110
2004-06-09,2087389479
2004-06-10,2100308777
2004-06-14,2094771935
2004-06-15,2094771935
2004-06-16,2131222812
2004-06-17,2100308777
2004-06-18,2083698251
2004-06-21,2064319303
2004-06-22,2089235093
2004-06-23,2135836847
2004-06-24,2147371935
2004-06-25,2180131584
2004-06-28,2143604109
2004-06-29,2195707198
2004-06-30,2253343360
2004-07-01,1992827911
2004-07-02,2016343465
2004-07-06,2050925161
2004-07-07,2037553572
2004-07-08,2008043857
2004-07-09,1985911572
2004-07-12,2015882375
2004-07-13,2042164465
2004-07-14,2061069126
2004-07-15,2048158626
2004-07-16,2030637233
2004-07-19,2007121679
2004-07-20,2022337625
2004-07-21,1996055536
2004-07-22,1982222857
2004-07-23,1965162553
2004-07-26,1966084732
2004-07-27,1995133357
2004-07-28,1971156714
2004-07-29,2079973787
2004-07-30,2078129430
2004-08-02,2097956269
2004-08-03,2051847340
2004-08-04,2027870697
2004-08-05,1988678107
2004-08-06,1949485518
2004-08-09,1927814321
2004-08-10,1953635321
2004-08-11,1972078893
2004-08-12,1932425214
2004-08-13,1925508875
2004-08-16,1949485518
2004-08-17,1962396018
2004-08-18,1972078893
2004-08-19,1983606125
2004-08-20,2001127518
2004-08-23,1996977714
2004-08-24,2007121679
2004-08-25,2005277322
2004-08-26,1994672268
2004-08-27,2035248126
2004-08-30,1997899893
2004-08-31,2008043857
2004-09-01,2032020501
2004-09-02,2046314269
2004-09-03,2028792876
2004-09-07,2049541894
2004-09-08,2049080804
2004-09-09,2028792876
2004-09-10,2035709215
2004-09-13,2041242286
2004-09-14,2044931001
2004-09-15,2082279233
2004-09-16,2121010734
2004-09-17,2139915394
2004-09-20,2159281145
2004-09-21,2178646895
2004-09-22,2145448466
2004-09-23,2134382323
2004-09-24,2121471823
2004-09-27,3061900000
2004-09-28,3078650000
2004-09-29,3067260000
2004-09-30,3068600000
2004-10-01,3124880000
2004-10-04,3107460000
2004-10-05,3092720000
2004-10-06,3106120000
2004-10-07,3039120000
2004-10-08,3044480000
2004-10-11,3120860000
2004-10-12,3110810000
2004-10-13,3098750000
2004-10-14,3105450000
2004-10-15,3179150000
2004-10-18,3202600000
2004-10-19,3263570000
2004-10-20,3268930000
2004-10-21,3236100000
2004-10-22,3159050000
2004-10-25,3151680000
2004-10-26,3147660000
2004-10-27,3209300000
2004-10-28,3189870000
2004-10-29,3134930000
2004-11-01,3135600000
2004-11-02,3079320000
2004-11-03,3098750000
2004-11-04,3115500000
2004-11-05,3149000000
2004-11-08,3124210000
2004-11-09,3141630000
2004-11-10,3072620000
2004-11-11,3015000000
2004-11-12,3015000000
2004-11-15,3008970000
2004-11-16,3000930000
2004-11-17,3023710000
2004-11-18,3082000000
2004-11-19,3086020000
2004-11-22,3128230000
2004-11-23,3165750000
2004-11-24,3179150000
2004-11-26,3174460000
2004-11-29,3152350000
2004-11-30,3132250000
2004-12-01,3175800000
2004-12-02,3213990000
2004-12-03,3203270000
2004-12-06,3209970000
2004-12-07,3196570000
2004-12-08,3216000000
2004-12-09,3246150000
2004-12-10,3199920000
2004-12-13,3152350000
2004-12-14,3132250000
2004-12-15,2968770000
2004-12-16,3088700000
2004-12-17,3118180000
2004-12-20,3140290000
2004-12-21,3130240000
2004-12-22,3158380000
2004-12-23,3118850000
2004-12-27,3015807812
2004-12-28,3043475773
2004-12-29,3050722144
2004-12-30,3059944798
2004-12-31,3030959314
2005-01-03,2987481089
2005-01-04,2922263751
2005-01-05,2902500921
2005-01-06,2955201801
2005-01-07,2924898795
2005-01-10,2962448172
2005-01-11,2924898795
2005-01-12,2945320386
2005-01-13,2926216317
2005-01-14,2982869762
2005-01-18,3015807812
2005-01-19,3001315070
2005-01-20,2994727460
2005-01-21,2935438971
2005-01-24,2938074015
2005-01-25,2963765694
2005-01-26,3021077900
2005-01-27,3097494174
2005-01-28,3088930282
2005-01-31,3121209570
2005-02-01,3145583727
2005-02-02,3104081784
2005-02-03,3096176653
2005-02-04,3139654878
2005-02-07,3141631161
2005-02-08,3183133103
2005-02-09,3135702312
2005-02-10,3115280721
2005-02-11,3142289922
2005-02-14,3092224087
2005-02-15,3359681049
2005-02-16,3285241057
2005-02-17,3145583727
2005-02-18,3160735230
2005-02-22,3064556125
2005-02-23,3076413823
2005-02-24,3092882848
2005-02-25,3050063383
2005-02-28,3036888163
2005-03-01,3040181968
2005-03-02,3043475773
2005-03-03,3043475773
2005-03-04,3053357188
2005-03-07,3036888163
