,RSG
2000-06-15,2527683000
2000-06-16,2474913000
2000-06-19,2527683000
2000-06-20,2517129000
2000-06-21,2527683000
2000-06-22,2474913000
2000-06-23,2461720500
2000-06-26,2506575000
2000-06-27,2496021000
2000-06-28,2527683000
2000-06-29,2780979000
2000-06-30,2812078500
2000-07-03,2833162500
2000-07-05,2812078500
2000-07-06,2822620500
2000-07-07,2888508000
2000-07-10,2767275000
2000-07-11,2722471500
2000-07-12,2888508000
2000-07-13,2854246500
2000-07-14,2909592000
2000-07-17,2943853500
2000-07-18,2999199000
2000-07-19,2812078500
2000-07-20,2801536500
2000-07-21,2867424000
2000-07-24,2788359000
2000-07-25,2943853500
2000-07-26,3009741000
2000-07-27,2899050000
2000-07-28,2943853500
2000-07-31,2943853500
2000-08-01,2943853500
2000-08-02,2933311500
2000-08-03,2746191000
2000-08-04,2722471500
2000-08-07,2964937500
2000-08-08,2899050000
2000-08-09,2877966000
2000-08-10,2899050000
2000-08-11,2986021500
2000-08-14,3030825000
2000-08-15,2954395500
2000-08-16,2954395500
2000-08-17,2920134000
2000-08-18,2722471500
2000-08-21,2899050000
2000-08-22,2843704500
2000-08-23,2788359000
2000-08-24,2788359000
2000-08-25,2767275000
2000-08-28,2722471500
2000-08-29,2711929500
2000-08-30,2656584000
2000-08-31,2569612500
2000-09-01,2701387500
2000-09-05,2711929500
2000-09-06,2746191000
2000-09-07,2833162500
2000-09-08,2867424000
2000-09-11,2888508000
2000-09-12,2899050000
2000-09-13,2801536500
2000-09-14,2701387500
2000-09-15,2635500000
2000-09-18,2603874000
2000-09-19,2590696500
2000-09-20,2614416000
2000-09-21,2614416000
2000-09-22,2458921500
2000-09-25,2448379500
2000-09-26,2382492000
2000-09-27,2250717000
2000-09-28,2274436500
2000-09-29,2306062500
2000-10-02,2288376000
2000-10-03,2329608000
2000-10-04,2329608000
2000-10-05,2329608000
2000-10-06,2339916000
2000-10-09,2234259000
2000-10-10,2244567000
2000-10-11,2254875000
2000-10-12,2146641000
2000-10-13,2136332999
2000-10-16,2095101000
2000-10-17,2095101000
2000-10-18,2007483000
2000-10-19,1943058000
2000-10-20,2051292000
2000-10-23,2061600000
2000-10-24,2082216000
2000-10-25,2082216000
2000-10-26,1953366000
2000-10-27,1976559000
2000-10-30,2040984000
2000-10-31,2308992000
2000-11-01,2319300000
2000-11-02,2339916000
2000-11-03,2373417000
2000-11-06,2363109000
2000-11-07,2481651000
2000-11-08,2546076000
2000-11-09,2556384000
2000-11-10,2512575000
2000-11-13,2522883000
2000-11-14,2522883000
2000-11-15,2597616000
2000-11-16,2641425000
2000-11-17,2620809000
2000-11-20,2577000000
2000-11-21,2651733000
2000-11-22,2587308000
2000-11-24,2631117000
2000-11-27,2587308000
2000-11-28,2522883000
2000-11-29,2481651000
2000-11-30,2502267000
2000-12-01,2556384000
2000-12-04,2641425000
2000-12-05,2695542000
2000-12-06,2662041000
2000-12-07,2651733000
2000-12-08,2641425000
2000-12-11,2597616000
2000-12-12,2556384000
2000-12-13,2546076000
2000-12-14,2502267000
2000-12-15,2512575000
2000-12-18,2620809000
2000-12-19,2695542000
2000-12-20,2620809000
2000-12-21,2749659000
2000-12-22,2749659000
2000-12-26,2685234000
2000-12-27,2759967000
2000-12-28,2855316000
2000-12-29,2953242000
2001-01-02,2845008000
2001-01-03,2770275000
2001-01-04,2814084000
2001-01-05,2888817000
2001-01-08,2942934000
2001-01-09,2845008000
2001-01-10,2803776000
2001-01-11,2749659000
2001-01-12,2726466000
2001-01-16,2790891000
2001-01-17,2705850000
2001-01-18,2739351000
2001-01-19,2716158000
2001-01-22,2716158000
2001-01-23,2695542000
2001-01-24,2726466000
2001-01-25,2716158000
2001-01-26,2705850000
2001-01-29,2726466000
2001-01-30,2499690000
2001-01-31,2363109000
2001-02-01,2430111000
2001-02-02,2517729000
2001-02-05,2543499000
2001-02-06,2662041000
2001-02-07,2662041000
2001-02-08,2595039000
2001-02-09,2672349000
2001-02-12,2729043000
2001-02-13,2749659000
2001-02-14,2747082000
2001-02-15,2749659000
2001-02-16,2747082000
2001-02-20,2778006000
2001-02-21,2770275000
2001-02-22,2780583000
2001-02-23,2778006000
2001-02-26,2790891000
2001-02-27,2790891000
2001-02-28,2857893000
2001-03-01,2904279000
2001-03-02,2940357000
2001-03-05,2971281000
2001-03-06,2968704000
2001-03-07,3002205000
2001-03-08,3159402000
2001-03-09,3161979000
2001-03-12,3223827000
2001-03-13,3239289000
2001-03-14,3169710000
2001-03-15,3092400000
2001-03-16,3136209000
2001-03-19,3123324000
2001-03-20,3154248000
2001-03-21,3100131000
2001-03-22,2927472000
2001-03-23,3007359000
2001-03-26,3058899000
2001-03-27,3002205000
2001-03-28,3084669000
2001-03-29,3265059000
2001-03-30,3221250000
2001-04-02,3128907000
2001-04-03,3049206000
2001-04-04,3085200000
2001-04-05,3103197000
2001-04-06,3110910000
2001-04-09,3154617000
2001-04-10,3170043000
2001-04-11,3190611000
2001-04-12,3231747000
2001-04-16,3226605000
2001-04-17,3154617000
2001-04-18,3136620000
2001-04-19,3144333000
2001-04-20,3059490000
2001-04-23,3085200000
2001-04-24,3077487000
2001-04-25,3103197000
2001-04-26,3221463000
2001-04-27,3267741000
2001-04-30,3085200000
2001-05-01,3257457000
2001-05-02,3190611000
2001-05-03,3159759000
2001-05-04,3087771000
2001-05-07,3128907000
2001-05-08,3154617000
2001-05-09,3188040000
2001-05-10,3195753000
2001-05-11,3175185000
2001-05-14,3177756000
2001-05-15,3288309000
2001-05-16,3339729000
2001-05-17,3278025000
2001-05-18,3257457000
2001-05-21,3213750000
2001-05-22,3164901000
2001-05-23,3077487000
2001-05-24,3077487000
2001-05-25,3036351000
2001-05-29,3067203000
2001-05-30,3051777000
2001-05-31,3149475000
2001-06-01,3221463000
2001-06-04,3257457000
2001-06-05,3265170000
2001-06-06,3200895000
2001-06-07,3247173000
2001-06-08,3229176000
2001-06-11,3262599000
2001-06-12,3239460000
2001-06-13,3290880000
2001-06-14,3283167000
2001-06-15,3252315000
2001-06-18,3254886000
2001-06-19,3308877000
2001-06-20,3350013000
2001-06-21,3350013000
2001-06-22,3308877000
2001-06-25,3252315000
2001-06-26,3249744000
2001-06-27,3283167000
2001-06-28,3370581000
2001-06-29,3401433000
2001-07-02,3387780000
2001-07-03,3380080500
2001-07-05,3413445000
2001-07-06,3405745500
2001-07-09,3464775000
2001-07-10,3426277500
2001-07-11,3495573000
2001-07-12,3534070500
2001-07-13,3559735500
2001-07-16,3457075500
2001-07-17,3436543500
2001-07-18,3431410500
2001-07-19,3421144500
2001-07-20,3421144500
2001-07-23,3405745500
2001-07-24,3185026500
2001-07-25,3231223500
2001-07-26,3226090500
2001-07-27,3251755500
2001-07-30,3318484500
2001-07-31,3405745500
2001-08-01,3413445000
2001-08-02,3328750500
2001-08-03,3421144500
2001-08-06,3387780000
2001-08-07,3369814500
2001-08-08,3372381000
2001-08-09,3341583000
2001-08-10,3446809500
2001-08-13,3482740500
2001-08-14,3457075500
2001-08-15,3421144500
2001-08-16,3416011500
2001-08-17,3387780000
2001-08-20,3410878500
2001-08-21,3421144500
2001-08-22,3395479500
2001-08-23,3374947500
2001-08-24,3349282500
2001-08-27,3421144500
2001-08-28,3431410500
2001-08-29,3462208500
2001-08-30,3405745500
2001-08-31,3395479500
2001-09-04,3421144500
2001-09-05,3433977000
2001-09-06,3413445000
2001-09-07,3292819500
2001-09-10,3267154500
2001-09-17,3061834500
2001-09-18,2946342000
2001-09-19,2882179500
2001-09-20,2782086000
2001-09-21,2823150000
2001-09-24,2897578500
2001-09-25,2918110500
2001-09-26,2758987500
2001-09-27,2874480000
2001-09-28,2771820000
2001-10-01,2719128000
2001-10-02,2807905500
2001-10-03,2873854500
2001-10-04,2889073500
2001-10-05,2853562500
2001-10-08,2810442000
2001-10-09,2851026000
2001-10-10,2909365500
2001-10-11,2965168500
2001-10-12,2944876500
2001-10-15,2858635500
2001-10-16,3005752500
2001-10-17,2985460500
2001-10-18,2995606500
2001-10-19,2934730500
2001-10-22,2866245000
2001-10-23,2873854500
2001-10-24,2899219500
2001-10-25,2944876500
2001-10-26,2967705000
2001-10-29,2863708500
2001-10-30,2833270500
2001-10-31,2769858000
2001-11-01,2714055000
2001-11-02,2612595000
2001-11-05,2673471000
2001-11-06,2797759500
2001-11-07,2868781500
2001-11-08,2833270500
2001-11-09,2878927500
2001-11-12,2815515000
2001-11-13,2873854500
2001-11-14,2922048000
2001-11-15,3020971500
2001-11-16,3097066500
2001-11-19,3086920500
2001-11-20,3076774500
2001-11-21,3005752500
2001-11-23,3026044500
2001-11-26,3013362000
2001-11-27,2960095500
2001-11-28,2924584500
2001-11-29,2873854500
2001-11-30,2916975000
2001-12-03,2924584500
2001-12-04,2876391000
2001-12-05,2884000500
2001-12-06,3132577500
2001-12-07,3157942500
2001-12-10,3102139500
2001-12-11,3048873000
2001-12-12,3010825500
2001-12-13,3221355000
2001-12-14,3272085000
2001-12-17,3340570500
2001-12-18,3355789500
2001-12-19,3272085000
2001-12-20,3297450000
2001-12-21,3442030500
2001-12-24,3442030500
2001-12-26,3396373500
2001-12-27,3406519500
2001-12-28,3424275000
2001-12-31,3374394297
2002-01-02,3379464762
2002-01-03,3333830579
2002-01-04,3288196396
2002-01-07,3328760114
2002-01-08,3300872558
2002-01-09,3265379305
2002-01-10,3212139425
2002-01-11,3262844073
2002-01-14,3283125932
2002-01-15,3295802094
2002-01-16,3303407791
2002-01-17,3293266861
2002-01-18,3267914537
2002-01-22,3278055467
2002-01-23,3275520234
2002-01-24,3267914537
2002-01-25,3288196396
2002-01-28,3212139425
2002-01-29,3212139425
2002-01-30,3098053968
2002-01-31,2940869560
2002-02-01,2869883054
2002-02-04,2831854568
2002-02-05,2854671659
2002-02-06,2852136427
2002-02-07,2864812589
2002-02-08,2869883054
2002-02-11,2872418286
2002-02-12,2852136427
2002-02-13,2844530730
2002-02-14,2923122934
2002-02-15,2958616187
2002-02-19,2933263863
2002-02-20,2948475257
2002-02-21,2940869560
2002-02-22,2973827581
2002-02-25,2935799096
2002-02-26,2938334328
2002-02-27,3062560715
2002-02-28,3034673158
2002-03-01,3065095947
2002-03-04,3141152918
2002-03-05,3118335827
2002-03-06,3143688151
2002-03-07,3136082454
2002-03-08,3060025482
2002-03-11,3054955017
2002-03-12,2978898046
2002-03-13,2940869560
2002-03-14,2961151419
2002-03-15,2935799096
2002-03-18,2930728631
2002-03-19,3143688151
2002-03-20,3143688151
2002-03-21,3110730130
2002-03-22,3158899545
2002-03-25,3176646172
2002-03-26,3270449770
2002-03-27,3171575707
2002-03-28,3156364313
2002-04-01,3198412500
2002-04-02,3183337500
2002-04-03,3193387500
2002-04-04,3155700000
2002-04-05,3165750000
2002-04-08,3236100000
2002-04-09,3153187500
2002-04-10,3228562500
2002-04-11,3213487500
2002-04-12,3216000000
2002-04-15,3238612500
2002-04-16,3248662500
2002-04-17,3203437500
2002-04-18,3178312500
2002-04-19,3198412500
2002-04-22,3198412500
2002-04-23,3210975000
2002-04-24,3188362500
2002-04-25,3178312500
2002-04-26,3183337500
2002-04-29,3148162500
2002-04-30,3316500000
2002-05-01,3248662500
2002-05-02,3266250000
2002-05-03,3266250000
2002-05-06,3243637500
2002-05-07,3253687500
2002-05-08,3313987500
2002-05-09,3296400000
2002-05-10,3374287500
2002-05-13,3404437500
2002-05-14,3459712500
2002-05-15,3499912500
2002-05-16,3444637500
2002-05-17,3492375000
2002-05-20,3474787500
2002-05-21,3454687500
2002-05-22,3356700000
2002-05-23,3482325000
2002-05-24,3417000000
2002-05-28,3542625000
2002-05-29,3525037500
2002-05-30,3537600000
2002-05-31,3520012500
2002-06-03,3522525000
2002-06-04,3439612500
2002-06-05,3514987500
2002-06-06,3535087500
2002-06-07,3577800000
2002-06-10,3582825000
2002-06-11,3542625000
2002-06-12,3612975000
2002-06-13,3545137500
2002-06-14,3459712500
2002-06-17,3542625000
2002-06-18,3537600000
2002-06-19,3477300000
2002-06-20,3434587500
2002-06-21,3434587500
2002-06-24,3374287500
2002-06-25,3316500000
2002-06-26,3243637500
2002-06-27,3221025000
2002-06-28,3193387500
2002-07-01,3176520000
2002-07-02,3127080000
2002-07-03,3132024000
2002-07-05,3255624000
2002-07-08,3181464000
2002-07-09,3161688000
2002-07-10,3114720000
2002-07-11,3025728000
2002-07-12,3003480000
2002-07-15,3040560000
2002-07-16,3107304000
2002-07-17,3154272000
2002-07-18,3082584000
2002-07-19,2998536000
2002-07-22,2874936000
2002-07-23,2746392000
2002-07-24,2830440000
2002-07-25,2803248000
2002-07-26,2803248000
2002-07-29,2912016000
2002-07-30,2899656000
2002-07-31,2899656000
2002-08-01,3062808000
2002-08-02,3104832000
2002-08-05,3013368000
2002-08-06,3122136000
2002-08-07,3188880000
2002-08-08,3337200000
2002-08-09,3379224000
2002-08-12,3334728000
2002-08-13,3322368000
2002-08-14,3334728000
2002-08-15,3423720000
2002-08-16,3403944000
2002-08-19,3411360000
2002-08-20,3423720000
2002-08-21,3458328000
2002-08-22,3455856000
2002-08-23,3369336000
2002-08-26,3431136000
2002-08-27,3394056000
2002-08-28,3329784000
2002-08-29,3394056000
2002-08-30,3394056000
2002-09-03,3270456000
2002-09-04,3317424000
2002-09-05,3198768000
2002-09-06,3270456000
2002-09-09,3290232000
2002-09-10,3310008000
2002-09-11,3287760000
2002-09-12,3181464000
2002-09-13,3171576000
2002-09-16,3216072000
2002-09-17,3203712000
2002-09-18,3166632000
2002-09-19,3122136000
2002-09-20,3132024000
2002-09-23,3129552000
2002-09-24,3072696000
2002-09-25,3161688000
2002-09-26,3151800000
2002-09-27,3112248000
2002-09-30,3069223500
2002-10-01,3245587500
2002-10-02,3206395500
2002-10-03,3262734000
2002-10-04,3142708500
2002-10-07,3069223500
2002-10-08,3157405500
2002-10-09,3125562000
2002-10-10,3206395500
2002-10-11,3216193500
2002-10-14,3221092500
2002-10-15,3267633000
2002-10-16,3169653000
2002-10-17,3181900500
2002-10-18,3211294500
2002-10-21,3208845000
2002-10-22,3181900500
2002-10-23,3174552000
2002-10-24,3208845000
2002-10-25,3225991500
2002-10-28,3233340000
2002-10-29,3380310000
2002-10-30,3363163500
2002-10-31,3360714000
2002-11-01,3458694000
2002-11-04,3473391000
2002-11-05,3412153500
2002-11-06,3495436500
2002-11-07,3502785000
2002-11-08,3502785000
2002-11-11,3510133500
2002-11-12,3505234500
2002-11-13,3510133500
2002-11-14,3527280000
2002-11-15,3600765000
2002-11-18,3610563000
2002-11-19,3488088000
2002-11-20,3421951500
2002-11-21,3436648500
2002-11-22,3470941500
2002-11-25,3461143500
2002-11-26,3363163500
2002-11-27,3507684000
2002-11-29,3510133500
2002-12-02,3495436500
2002-12-03,3399906000
2002-12-04,3431749500
2002-12-05,3451345500
2002-12-06,3478290000
2002-12-09,3372961500
2002-12-10,3306825000
2002-12-11,3297027000
2002-12-12,3348466500
2002-12-13,3289678500
2002-12-16,3348466500
2002-12-17,3429300000
2002-12-18,3429300000
2002-12-19,3348466500
2002-12-20,3399906000
2002-12-23,3475840500
2002-12-24,3429300000
2002-12-26,3397456500
2002-12-27,3387658500
2002-12-30,3404805000
2002-12-31,3401668500
2003-01-02,3401668500
2003-01-03,3411394500
2003-01-06,3384648000
2003-01-07,3350607000
2003-01-08,3289819500
2003-01-09,3362764500
2003-01-10,3348175500
2003-01-13,3336018000
2003-01-14,3353038500
2003-01-15,3338449500
2003-01-16,3379785000
2003-01-17,3294682500
2003-01-21,3265504500
2003-01-22,3343312500
2003-01-23,3377353500
2003-01-24,3367627500
2003-01-27,3280093500
2003-01-28,3250915500
2003-01-29,3260641500
2003-01-30,3306840000
2003-01-31,3318997500
2003-02-03,3221737500
2003-02-04,3117183000
2003-02-05,3109888500
2003-02-06,3124477500
2003-02-07,3175539000
2003-02-10,3134203500
2003-02-11,3139066500
2003-02-12,3143929500
2003-02-13,3129340500
2003-02-14,3160950000
2003-02-18,3212011500
2003-02-19,3233895000
2003-02-20,3129340500
2003-02-21,3160950000
2003-02-24,3090436500
2003-02-25,3109888500
2003-02-26,3066121500
2003-02-27,3102594000
2003-02-28,3090436500
2003-03-03,3063690000
2003-03-04,3046669500
2003-03-05,3112320000
2003-03-06,3141498000
2003-03-07,3105025500
2003-03-10,3056395500
2003-03-11,3039375000
2003-03-12,3095299500
2003-03-13,3192559500
2003-03-14,3216874500
2003-03-17,3202285500
2003-03-18,3207148500
2003-03-19,3170676000
2003-03-20,3177970500
2003-03-21,3219306000
2003-03-24,3158518500
2003-03-25,3185265000
2003-03-26,3190128000
2003-03-27,3231463500
2003-03-28,3289819500
2003-03-31,3224812500
2003-04-01,3258937500
2003-04-02,3312562500
2003-04-03,3249187500
2003-04-04,3241875000
2003-04-07,3266250000
2003-04-08,3258937500
2003-04-09,3268687500
2003-04-10,3368625000
2003-04-11,3363750000
2003-04-14,3395437500
2003-04-15,3395437500
2003-04-16,3395437500
2003-04-17,3371062500
2003-04-21,3380812500
2003-04-22,3346687500
2003-04-23,3322312500
2003-04-24,3217500000
2003-04-25,3215062500
2003-04-28,3344250000
2003-04-29,3283312500
2003-04-30,3488062500
2003-05-01,3439312500
2003-05-02,3446625000
2003-05-05,3449062500
2003-05-06,3488062500
2003-05-07,3514875000
2003-05-08,3539250000
2003-05-09,3531937500
2003-05-12,3534375000
2003-05-13,3534375000
2003-05-14,3534375000
2003-05-15,3551437500
2003-05-16,3609937500
2003-05-19,3551437500
2003-05-20,3575812500
2003-05-21,3595312500
2003-05-22,3627000000
2003-05-23,3663562500
2003-05-27,3729375000
2003-05-28,3705000000
2003-05-29,3712312500
2003-05-30,3885375000
2003-06-02,3868312500
2003-06-03,3856125000
2003-06-04,3902437500
2003-06-05,3868312500
2003-06-06,3848812500
2003-06-09,3841500000
2003-06-10,3780562500
2003-06-11,3785437500
2003-06-12,3822000000
2003-06-13,3819562500
2003-06-16,3929250000
2003-06-17,3931687499
2003-06-18,3917062500
2003-06-19,3826875000
2003-06-20,3800062500
2003-06-23,3687937500
2003-06-24,3700125000
2003-06-25,3722062500
2003-06-26,3729375000
2003-06-27,3692812500
2003-06-30,3676263000
2003-07-01,3710325000
2003-07-02,3778449000
2003-07-03,3812511000
2003-07-07,3802779000
2003-07-08,3887934000
2003-07-09,3858738000
2003-07-10,3853872000
2003-07-11,3907397999
2003-07-14,3926862000
2003-07-15,3958491000
2003-07-16,3904965000
2003-07-17,3768717000
2003-07-18,3839274000
2003-07-21,3831975000
2003-07-22,3892800000
2003-07-23,3856305000
2003-07-24,3849006000
2003-07-25,3890367000
2003-07-28,3887934000
2003-07-29,3883068000
2003-07-30,3890367000
2003-07-31,3924428999
2003-08-01,3917130000
2003-08-04,3885501000
2003-08-05,3958491000
2003-08-06,3909831000
2003-08-07,3914697000
2003-08-08,3948759000
2003-08-11,3939027000
2003-08-12,3992553000
2003-08-13,3912263999
2003-08-14,3931728000
2003-08-15,3953625000
2003-08-18,3977955000
2003-08-19,3924428999
2003-08-20,3939027000
2003-08-21,3963357000
2003-08-22,3919563000
2003-08-25,3885501000
2003-08-26,3824676000
2003-08-27,3856305000
2003-08-28,3914697000
2003-08-29,3992553000
2003-09-02,3673830000
2003-09-03,3685995000
2003-09-04,3720057000
2003-09-05,3720057000
2003-09-08,3754119000
2003-09-09,3695727000
2003-09-10,3627603000
2003-09-11,3617871000
2003-09-12,3598407000
2003-09-15,3583809000
2003-09-16,3642201000
2003-09-17,3632469000
2003-09-18,3751686000
2003-09-19,3724923000
2003-09-22,3744387000
2003-09-23,3741954000
2003-09-24,3710325000
2003-09-25,3698160000
2003-09-26,3637335000
2003-09-29,3715191000
2003-09-30,3531060000
2003-10-01,3510000000
2003-10-02,3493620000
2003-10-03,3517020000
2003-10-06,3587220000
2003-10-07,3619980000
2003-10-08,3634020000
2003-10-09,3657420000
2003-10-10,3652740000
2003-10-13,3645720000
2003-10-14,3687840000
2003-10-15,3690180000
2003-10-16,3701880000
2003-10-17,3694860000
2003-10-20,3664440000
2003-10-21,3655080000
2003-10-22,3612960000
2003-10-23,3629340000
2003-10-24,3643380000
2003-10-27,3629340000
2003-10-28,3617640000
2003-10-29,3648060000
2003-10-30,3629340000
2003-10-31,3627000000
2003-11-03,3666780000
2003-11-04,3697200000
2003-11-05,3699540000
2003-11-06,3711240000
2003-11-07,3704220000
2003-11-10,3727620000
2003-11-11,3718260000
2003-11-12,3727620000
2003-11-13,3779099999
2003-11-14,3811860000
2003-11-17,3816539999
2003-11-18,3814200000
2003-11-19,3851640000
2003-11-20,3837599999
2003-11-21,3863340000
2003-11-24,3912479999
2003-11-25,3933539999
2003-11-26,3985020000
2003-11-28,3970979999
2003-12-01,4041180000
2003-12-02,4043520000
2003-12-03,4017780000
2003-12-04,4003740000
2003-12-05,3994380000
2003-12-08,4048200000
2003-12-09,3985020000
2003-12-10,3973320000
2003-12-11,3985020000
2003-12-12,3985020000
2003-12-15,3985020000
2003-12-16,3954599999
2003-12-17,3898440000
2003-12-18,4008420000
2003-12-19,4003740000
2003-12-22,4024800000
2003-12-23,4008420000
2003-12-24,3996719999
2003-12-26,3970979999
2003-12-29,4036500000
2003-12-30,4001400000
2003-12-31,3999060000
2004-01-02,4064580000
2004-01-05,4055219999
2004-01-06,4006080000
2004-01-07,4052880000
2004-01-08,4083300000
2004-01-09,4027140000
2004-01-12,4050539999
2004-01-13,4036500000
2004-01-14,4001400000
2004-01-15,3978000000
2004-01-16,3945240000
2004-01-20,3947580000
2004-01-21,3947580000
2004-01-22,3994380000
2004-01-23,3980340000
2004-01-26,3985020000
2004-01-27,3889080000
2004-01-28,3910140000
2004-01-29,3872700000
2004-01-30,3891420000
2004-02-02,3910140000
2004-02-03,3942900000
2004-02-04,3968640000
2004-02-05,4080960000
2004-02-06,4071599999
2004-02-09,4087979999
2004-02-10,4111380000
2004-02-11,4118400000
2004-02-12,4113719999
2004-02-13,4062240000
2004-02-17,4155840000
2004-02-18,4181580000
2004-02-19,4158180000
2004-02-20,4167539999
2004-02-23,4144140000
2004-02-24,4076280000
2004-02-25,4087979999
2004-02-26,4092659999
2004-02-27,4092659999
2004-03-01,4148820000
2004-03-02,4146479999
2004-03-03,4151159999
2004-03-04,4176900000
2004-03-05,4176900000
2004-03-08,4167539999
2004-03-09,4209659999
2004-03-10,4144140000
2004-03-11,4120740000
2004-03-12,4148820000
2004-03-15,4087979999
2004-03-16,4137120000
2004-03-17,4214340000
2004-03-18,4216680000
2004-03-19,4132440000
2004-03-22,4045860000
2004-03-23,4052880000
2004-03-24,3994380000
2004-03-25,4099680000
2004-03-26,4087979999
2004-03-29,4146479999
2004-03-30,4202640000
2004-03-31,4145182500
2004-04-01,4223263500
2004-04-02,4278379500
2004-04-05,4269193500
2004-04-06,4278379500
2004-04-07,4271490000
2004-04-08,4315123500
2004-04-12,4294455000
2004-04-13,4269193500
2004-04-14,4241635499
2004-04-15,4246228499
2004-04-16,4278379500
2004-04-19,4324309500
2004-04-20,4305937500
2004-04-21,4289862000
2004-04-22,4333495500
2004-04-23,4347274500
2004-04-26,4324309500
2004-04-27,4340385000
2004-04-28,4305937500
2004-04-29,4517215500
2004-04-30,4411576500
2004-05-03,4418466000
2004-05-04,4436838000
2004-05-05,4466692500
2004-05-06,4425355500
2004-05-07,4381722000
2004-05-10,4319716500
2004-05-11,4305937500
2004-05-12,4294455000
2004-05-13,4253118000
2004-05-14,4287565500
2004-05-17,4287565500
2004-05-18,4269193500
2004-05-19,4406983500
2004-05-20,4344978000
2004-05-21,4333495500
2004-05-24,4317420000
2004-05-25,4354164000
2004-05-26,4379425500
2004-05-27,4393204500
2004-05-28,4416169500
2004-06-01,4384018500
2004-06-02,4393204500
2004-06-03,4322013000
2004-06-04,4349571000
2004-06-07,4402390500
2004-06-08,4402390500
2004-06-09,4388611500
2004-06-10,4397797500
2004-06-14,4358757000
2004-06-15,4411576500
2004-06-16,4402390500
2004-06-17,4393204500
2004-06-18,4361053500
2004-06-21,4324309500
2004-06-22,4347274500
2004-06-23,4370239500
2004-06-24,4354164000
2004-06-25,4266896999
2004-06-28,4331199000
2004-06-29,4384018500
2004-06-30,4377865500
2004-07-01,4409638500
2004-07-02,4380135000
2004-07-06,4375596000
2004-07-07,4391482500
2004-07-08,4359709500
2004-07-09,4355170500
2004-07-12,4391482500
2004-07-13,4396021500
2004-07-14,4386943500
2004-07-15,4386943500
2004-07-16,4346092500
2004-07-19,4364248500
2004-07-20,4425525000
2004-07-21,4409638500
2004-07-22,4375596000
2004-07-23,4341553500
2004-07-26,4396021500
2004-07-27,4359709500
2004-07-28,4296163500
2004-07-29,4291624500
2004-07-30,4327936500
2004-08-02,4337014500
2004-08-03,4221270000
2004-08-04,4178149500
2004-08-05,4096447500
2004-08-06,4060135500
2004-08-09,4128220500
2004-08-10,4162263000
2004-08-11,4187227500
2004-08-12,4157724000
2004-08-13,4159993499
2004-08-16,4214461500
2004-08-17,4205383500
2004-08-18,4250773500
2004-08-19,4225809000
2004-08-20,4278007500
2004-08-23,4266660000
