,KLAC
2000-10-26,6077954070
2000-10-27,5766739110
2000-10-30,5742657000
2000-10-31,6263201070
2000-11-01,6077954070
2000-11-02,6205774500
2000-11-03,5963100930
2000-11-06,5927904000
2000-11-07,5650033500
2000-11-08,5186916000
2000-11-09,5279539500
2000-11-10,4862733750
2000-11-13,5175801180
2000-11-14,5650033500
2000-11-15,5881592250
2000-11-16,5372163000
2000-11-17,5522213070
2000-11-20,5303621610
2000-11-21,5268424680
2000-11-22,5418474750
2000-11-24,6077954070
2000-11-27,5788968750
2000-11-28,5099849910
2000-11-29,5546295180
2000-11-30,5094292500
2000-12-01,5140604250
2000-12-04,5407359930
2000-12-05,6090921360
2000-12-06,5835280500
2000-12-07,5638918680
2000-12-08,6657777180
2000-12-11,6818942070
2000-12-12,6044609610
2000-12-13,5638918680
2000-12-14,5546295180
2000-12-15,5627803860
2000-12-18,5731542180
2000-12-19,5707460070
2000-12-20,5442556860
2000-12-21,5372163000
2000-12-22,5892707070
2000-12-26,5696345250
2000-12-27,6229856610
2000-12-28,6494759820
2000-12-29,6240971430
2001-01-02,6297326300
2001-01-03,7876731900
2001-01-04,7345343100
2001-01-05,6861926900
2001-01-08,7450513800
2001-01-09,7657165000
2001-01-10,7288145000
2001-01-11,7898873100
2001-01-12,7369329400
2001-01-16,6861926900
2001-01-17,7450513800
2001-01-18,8498530600
2001-01-19,8291879400
2001-01-22,7865661300
2001-01-23,8129510600
2001-01-24,8245751900
2001-01-25,8072312500
2001-01-26,7945000600
2001-01-29,8072312500
2001-01-30,8476389400
2001-01-31,8465318800
2001-02-01,8441332500
2001-02-02,7760490600
2001-02-05,7483725600
2001-02-06,7345343100
2001-02-07,7081493800
2001-02-08,6734615000
2001-02-09,6620218800
2001-02-12,7173748800
2001-02-13,6850856300
2001-02-14,7957916300
2001-02-15,8175638100
2001-02-16,7692221900
2001-02-20,7437598100
2001-02-21,7369329400
2001-02-22,7564910000
2001-02-23,8004043800
2001-02-26,7806618100
2001-02-27,7380400000
2001-02-28,6596232500
2001-03-01,7277074400
2001-03-02,7358258800
2001-03-05,7703292500
2001-03-06,8302950000
2001-03-07,8419191300
2001-03-08,8373063800
2001-03-09,7692221900
2001-03-12,7611037500
2001-03-13,8083383100
2001-03-14,8291879400
2001-03-15,7599966900
2001-03-16,7114705600
2001-03-19,7703292500
2001-03-20,7081493800
2001-03-21,7369329400
2001-03-22,8419191300
2001-03-23,8291879400
2001-03-26,8291879400
2001-03-27,8373063800
2001-03-28,7841675000
2001-03-29,7692221900
2001-03-30,7266003800
2001-04-02,6402924317
2001-04-03,6518806027
2001-04-04,6024009520
2001-04-05,6840699666
2001-04-06,6621811992
2001-04-09,6255772940
2001-04-10,6776320938
2001-04-11,7548865670
2001-04-12,8100683336
2001-04-16,7993998588
2001-04-17,7859722956
2001-04-18,8659858571
2001-04-19,9711990921
2001-04-20,9585072858
2001-04-23,9307324633
2001-04-24,9239267121
2001-04-25,9669684900
2001-04-26,9261339827
2001-04-27,9682560646
2001-04-30,10109299641
2001-05-01,10181035937
2001-05-02,9930878595
2001-05-03,9391936675
2001-05-04,9347791262
2001-05-07,9064524860
2001-05-08,9526212307
2001-05-09,9110509665
2001-05-10,9219033806
2001-05-11,9349630654
2001-05-14,9147297510
2001-05-15,9036933976
2001-05-16,10092745111
2001-05-17,10066993620
2001-05-18,10201269252
2001-05-21,11144877460
2001-05-22,10867129235
2001-05-23,10212305605
2001-05-24,10497411399
2001-05-25,10412799357
2001-05-29,9895930143
2001-05-30,9119706626
2001-05-31,9494942639
2001-06-01,9699115176
2001-06-04,9601627388
2001-06-05,10295078255
2001-06-06,10484535654
2001-06-07,11155913814
2001-06-08,10806429292
2001-06-11,10458784162
2001-06-12,10633526423
2001-06-13,10501090183
2001-06-14,9908805889
2001-06-15,10050439090
2001-06-18,10208626821
2001-06-19,10022848206
2001-06-20,10105620856
2001-06-21,9941914949
2001-06-22,10043081521
2001-06-25,10423835710
2001-06-26,10328187315
2001-06-27,10094584503
2001-06-28,10570987088
2001-06-29,10754926310
2001-07-02,10973935820
2001-07-03,11079057340
2001-07-05,10758061270
2001-07-06,9697460220
2001-07-09,9451550950
2001-07-10,8760752390
2001-07-11,9002907320
2001-07-12,9704968900
2001-07-13,9517251900
2001-07-16,8758875220
2001-07-17,9235676400
2001-07-18,9168098280
2001-07-19,9590461530
2001-07-20,9605478890
2001-07-23,9237553570
2001-07-24,9115537520
2001-07-25,9346429430
2001-07-26,9573567000
2001-07-27,10119823470
2001-07-30,10369487080
2001-07-31,10209927630
2001-08-01,10718640700
2001-08-02,11159775650
2001-08-03,10973935820
2001-08-06,10878200150
2001-08-07,10243716690
2001-08-08,9436533590
2001-08-09,9430902080
2001-08-10,9860774010
2001-08-13,10095420260
2001-08-14,9811967590
2001-08-15,9526637750
2001-08-16,9322026220
2001-08-17,9006661660
2001-08-20,9143695070
2001-08-21,8700682950
2001-08-22,9158712430
2001-08-23,9119291860
2001-08-24,9680565690
2001-08-27,9810090420
2001-08-28,9646776630
2001-08-29,9338920750
2001-08-30,9224413380
2001-08-31,9224413380
2001-09-04,8706314460
2001-09-05,8482931230
2001-09-06,8304600080
2001-09-07,8319617440
2001-09-10,8297091400
2001-09-17,7760220780
2001-09-18,7063790710
2001-09-19,6590743870
2001-09-20,6341080260
2001-09-21,6365483469
2001-09-24,6455587630
2001-09-25,6701496900
2001-09-26,6134591560
2001-09-27,5926225690
2001-09-28,5928102860
2001-10-01,5753580000
2001-10-02,5457522000
2001-10-03,6003088000
2001-10-04,6247009999
2001-10-05,6220941999
2001-10-08,6770232000
2001-10-09,6129704000
2001-10-10,6267491999
2001-10-11,7235732000
2001-10-12,7293454000
2001-10-15,6820506000
2001-10-16,7170562000
2001-10-17,6556102000
2001-10-18,6494656000
2001-10-19,6798162000
2001-10-22,7308350000
2001-10-23,7299040000
2001-10-24,7608132000
2001-10-25,8425550000
2001-10-26,8222591999
2001-10-29,7704956000
2001-10-30,7384691999
2001-10-31,7608132000
2001-11-01,8192800000
2001-11-02,8382724000
2001-11-05,8621060000
2001-11-06,9012080000
2001-11-07,8980426000
2001-11-08,8665748000
2001-11-09,8794226000
2001-11-12,8969254000
2001-11-13,9410548000
2001-11-14,9239244000
2001-11-15,9207590000
2001-11-16,9306276000
2001-11-19,9261588000
2001-11-20,8535408000
2001-11-21,8775606000
2001-11-23,8868706000
2001-11-26,9319310000
2001-11-27,9714054000
2001-11-28,9276484000
2001-11-29,9823912000
2001-11-30,9352826000
2001-12-03,9296966000
2001-12-04,9987768000
2001-12-05,10605952000
2001-12-06,10503542000
2001-12-07,10296860000
2001-12-10,10214932000
2001-12-11,10365754000
2001-12-12,10484922000
2001-12-13,9689848000
2001-12-14,9840670000
2001-12-17,10334100000
2001-12-18,10365754000
2001-12-19,9795982000
2001-12-20,9185246000
2001-12-21,9315586000
2001-12-24,9242968000
2001-12-26,9313724000
2001-12-27,9414272000
2001-12-28,9553922000
2001-12-31,9289675080
2002-01-02,9803268900
2002-01-03,10403086500
2002-01-04,10401212070
2002-01-07,10421830800
2002-01-08,10768600350
2002-01-09,10957917780
2002-01-10,10882940580
2002-01-11,10654260120
2002-01-14,10448072820
2002-01-15,10367472330
2002-01-16,9374024430
2002-01-17,9587709450
2002-01-18,9357154560
2002-01-22,8971021980
2002-01-23,9653314500
2002-01-24,9668309940
2002-01-25,10195024770
2002-01-28,10270001970
2002-01-29,9896990400
2002-01-30,10496808000
2002-01-31,10736735040
2002-02-01,10624269240
2002-02-04,10732986180
2002-02-05,10836079830
2002-02-06,11040392700
2002-02-07,10198773630
2002-02-08,10427454090
2002-02-11,10811712240
2002-02-12,10761102630
2002-02-13,11488381470
2002-02-14,11488381470
2002-02-15,11297189610
2002-02-19,10959792210
2002-02-20,11203468110
2002-02-21,10577408490
2002-02-22,10468691550
2002-02-25,11135988630
2002-02-26,11240956710
2002-02-27,11032894980
2002-02-28,10854824130
2002-03-01,12037589460
2002-03-04,12489327090
2002-03-05,12543685560
2002-03-06,12406852170
2002-03-07,12605541750
2002-03-08,13021665210
2002-03-11,12601792890
2002-03-12,12391856730
2002-03-13,11855769750
2002-03-14,11825778870
2002-03-15,12275642069
2002-03-18,12344995980
2002-03-19,12515569110
2002-03-20,12174422850
2002-03-21,12371238000
2002-03-22,12232530180
2002-03-25,12067580340
2002-03-26,12208162590
2002-03-27,12056333759
2002-03-28,12464959500
2002-04-01,12881554440
2002-04-02,12343883020
2002-04-03,12144606199
2002-04-04,12353282869
2002-04-05,12338243110
2002-04-08,12405922029
2002-04-09,11986688720
2002-04-10,12011128330
2002-04-11,11997968540
2002-04-12,11977288870
2002-04-15,12255524430
2002-04-16,12830795250
2002-04-17,12907874020
2002-04-18,12334483170
2002-04-19,12219805000
2002-04-22,12107006800
2002-04-23,11883290370
2002-04-24,11338099070
2002-04-25,11402018050
2002-04-26,10668829750
2002-04-29,10888786240
2002-04-30,11086183090
2002-05-01,11084303120
2002-05-02,10379314370
2002-05-03,9922481660
2002-05-06,9899922020
2002-05-07,10149958030
2002-05-08,10997824500
2002-05-09,10809827500
2002-05-10,10227036800
2002-05-13,10804187590
2002-05-14,11334339130
2002-05-15,11283579940
2002-05-16,11477216850
2002-05-17,11300499670
2002-05-20,11291099820
2002-05-21,11007224350
2002-05-22,10980904770
2002-05-23,10732748730
2002-05-24,10232676710
2002-05-28,10341714970
2002-05-29,9963841000
2002-05-30,9930001540
2002-05-31,9800283610
2002-06-03,9296451650
2002-06-04,9617926520
2002-06-05,9775844000
2002-06-06,9392330120
2002-06-07,9285171830
2002-06-10,9358490660
2002-06-11,9031375880
2002-06-12,9230652700
2002-06-13,9144174080
2002-06-14,9108454650
2002-06-17,9478808740
2002-06-18,9381050300
2002-06-19,8912937770
2002-06-20,8388426139
2002-06-21,8279387880
2002-06-24,8668541670
2002-06-25,8159069800
2002-06-26,8198549170
2002-06-27,8486184580
2002-06-28,8269988030
2002-07-01,7821008280
2002-07-02,7609015800
2002-07-03,8038679130
2002-07-05,8678442150
2002-07-08,8438057820
2002-07-09,7921326150
2002-07-10,7671477870
2002-07-11,8292312990
2002-07-12,8290420199
2002-07-15,8763617700
2002-07-16,8466449669
2002-07-17,8447521770
2002-07-18,8195780699
2002-07-19,8103033990
2002-07-22,8190102330
2002-07-23,7745296680
2002-07-24,8012180070
2002-07-25,7277777550
2002-07-26,7058213910
2002-07-29,7364845889
2002-07-30,7635514860
2002-07-31,7455699810
2002-08-01,7056321120
2002-08-02,7009001370
2002-08-05,6634228949
2002-08-06,7037393220
2002-08-07,6982502310
2002-08-08,7211529900
2002-08-09,6899219550
2002-08-12,6963574410
2002-08-13,6702369389
2002-08-14,7061999490
2002-08-15,6956003250
2002-08-16,7397023320
2002-08-19,7726368780
2002-08-20,7332668460
2002-08-21,7609015800
2002-08-22,7398916110
2002-08-23,6948432090
2002-08-26,6876506070
2002-08-27,6473341800
2002-08-28,6302990699
2002-08-29,6363559979
2002-08-30,6229171889
2002-09-03,5897933640
2002-09-04,5943360600
2002-09-05,5670798840
2002-09-06,6064499160
2002-09-09,6073963110
2002-09-10,6350310449
2002-09-11,6329489760
2002-09-12,5967966870
2002-09-13,5990680350
2002-09-16,5827900410
2002-09-17,5511804480
2002-09-18,5640514200
2002-09-19,5352810120
2002-09-20,5303597580
2002-09-23,5040499770
2002-09-24,5292240840
2002-09-25,5680262790
2002-09-26,5377416390
2002-09-27,5432307300
2002-09-30,5281162920
2002-10-01,5524996140
2002-10-02,5566580100
2002-10-03,5182873560
2002-10-04,5088364560
2002-10-07,4991965380
2002-10-08,5048670780
2002-10-09,4940930520
2002-10-10,5146960140
2002-10-11,5439938040
2002-10-14,5557129200
2002-10-15,6006992040
2002-10-16,5543897940
2002-10-17,6105281399
2002-10-18,6216802020
2002-10-21,6426612000
2002-10-22,5770719540
2002-10-23,6184668960
2002-10-24,6010772400
2002-10-25,6354785159
2002-10-28,6615630000
2002-10-29,6530571899
2002-10-30,6857573040
2002-10-31,6730930980
2002-11-01,7067383020
2002-11-04,7163782200
2002-11-05,7082504460
2002-11-06,7384933260
2002-11-07,6923729340
2002-11-08,7003116899
2002-11-11,6609959460
2002-11-12,6704468460
2002-11-13,6700688100
2002-11-14,7110857159
2002-11-15,7186464360
2002-11-18,7074943740
2002-11-19,6953972220
2002-11-20,7526696760
2002-11-21,8099421300
2002-11-22,8099421300
2002-11-25,8343254520
2002-11-26,8084299860
2002-11-27,8657024400
2002-11-29,8348925060
2002-12-02,8456665320
2002-12-03,7991681040
2002-12-04,7577731620
2002-12-05,7437858300
2002-12-06,7466211000
2002-12-09,7052261580
2002-12-10,7345239480
2002-12-11,7392493980
2002-12-12,7258291200
2002-12-13,7001226720
2002-12-16,7401944879
2002-12-17,7161892020
2002-12-18,6785746200
2002-12-19,6885925740
2002-12-20,6842451600
2002-12-23,7086284820
2002-12-24,7052261580
2002-12-26,6927509700
2002-12-27,6842451600
2002-12-30,6723370260
2002-12-31,6722563679
2003-01-02,7100791040
2003-01-03,7412496000
2003-01-06,7762213760
2003-01-07,7689989440
2003-01-08,7484720320
2003-01-09,7689989440
2003-01-10,7870550239
2003-01-13,7688088800
2003-01-14,7536037600
2003-01-15,7307960800
2003-01-16,7190121120
2003-01-17,6846105280
2003-01-21,6790986719
2003-01-22,6880316800
2003-01-23,6920230239
2003-01-24,6549605440
2003-01-27,6561009280
2003-01-28,6589518880
2003-01-29,6813794400
2003-01-30,6414660000
2003-01-31,6203688960
2003-02-03,6125762719
2003-02-04,6139067199
2003-02-05,6232198560
2003-02-06,6125762719
2003-02-07,6013624960
2003-02-10,6137166560
2003-02-11,6101054400
2003-02-12,6089650560
2003-02-13,6114358880
2003-02-14,6521095840
2003-02-18,6673147040
2003-02-19,6585717600
2003-02-20,6711159840
2003-02-21,6661743199
2003-02-24,6716861760
2003-02-25,6654140640
2003-02-26,6471679199
2003-02-27,6676948320
2003-02-28,6794788000
2003-03-03,6528698400
2003-03-04,6502089440
2003-03-05,6477381120
2003-03-06,6446970880
2003-03-07,6427964480
2003-03-10,6144769120
2003-03-11,6148570400
2003-03-12,6384249760
2003-03-13,6722563679
2003-03-14,6667445120
2003-03-17,7096989760
2003-03-18,7247140320
2003-03-19,7463813280
2003-03-20,7555044000
2003-03-21,7600659360
2003-03-24,7283252480
2003-03-25,7254742880
2003-03-26,7288954400
2003-03-27,7296556960
2003-03-28,7174916000
2003-03-31,6811025340
2003-04-01,6858403090
2003-04-02,7265851740
2003-04-03,7347341470
2003-04-04,7231739759
2003-04-07,7294278390
2003-04-08,7099082060
2003-04-09,6975899910
2003-04-10,7095291840
2003-04-11,6909571060
2003-04-14,7047914090
2003-04-15,7080130960
2003-04-16,7298068610
2003-04-17,7570964450
2003-04-21,7739629240
2003-04-22,7932930460
2003-04-23,7754790120
2003-04-24,7750999900
2003-04-25,7379558340
2003-04-28,7601286210
2003-04-29,7807853200
2003-04-30,7769951000
2003-05-01,7777531440
2003-05-02,7968937549
2003-05-05,8042846840
2003-05-06,8167924100
2003-05-07,7967042440
2003-05-08,7781321660
2003-05-09,8052322390
2003-05-12,8268364930
2003-05-13,8101595250
2003-05-14,7872286940
2003-05-15,7953776670
2003-05-16,7696041710
2003-05-19,7406089880
2003-05-20,7474313840
2003-05-21,7457257850
2003-05-22,7606971540
2003-05-23,7565279120
2003-05-27,7980308210
2003-05-28,7984098430
2003-05-29,8395337299
2003-05-30,8761093530
2003-06-02,8617065170
2003-06-03,8975240960
2003-06-04,9306885210
2003-06-05,9354262960
2003-06-06,9306885210
2003-06-09,9096528000
2003-06-10,9121164430
2003-06-11,9151486190
2003-06-12,9020723600
2003-06-13,8636016270
2003-06-16,8939233870
2003-06-17,8956289860
2003-06-18,9179912840
2003-06-19,8977136070
2003-06-20,8935443650
2003-06-23,8880485460
2003-06-24,8700450010
2003-06-25,8702345120
2003-06-26,8876695240
2003-06-27,8798995730
2003-06-30,8952795540
2003-07-01,9027948150
2003-07-02,9093465810
2003-07-03,8960503500
2003-07-07,9554016420
2003-07-08,9538600500
2003-07-09,9488498760
2003-07-10,9369025380
2003-07-11,9230282100
2003-07-14,9702394650
2003-07-15,9885458700
2003-07-16,9977954220
2003-07-17,9712029600
2003-07-18,9686978730
2003-07-21,9569432340
2003-07-22,10078157700
2003-07-23,10292053590
2003-07-24,10045398870
2003-07-25,10105135560
2003-07-28,10261221750
2003-07-29,10097427600
2003-07-30,9871969770
2003-07-31,9952903350
2003-08-01,10060814790
2003-08-04,10130186430
2003-08-05,9746715420
2003-08-06,9690832710
2003-08-07,9588702240
2003-08-08,9257259960
2003-08-11,9467301870
2003-08-12,9557870400
2003-08-13,10060814790
2003-08-14,10022274990
2003-08-15,10020348000
2003-08-18,10532927340
2003-08-19,10536781320
2003-08-20,10473190650
2003-08-21,10800778950
2003-08-22,10993477950
2003-08-25,10978062030
2003-08-26,11060922600
2003-08-27,11274818490
2003-08-28,11309504310
2003-08-29,11455955550
2003-09-02,11245913640
2003-09-03,10893274470
2003-09-04,11159199090
2003-09-05,11143783170
2003-09-08,11309504310
2003-09-09,11138002200
2003-09-10,10708283430
2003-09-11,10879785540
2003-09-12,10904836410
2003-09-15,10694794500
2003-09-16,11087900460
2003-09-17,11062849590
2003-09-18,10939522230
2003-09-19,10920252330
2003-09-22,10617714900
2003-09-23,10742969250
2003-09-24,10211120010
2003-09-25,10176434190
2003-09-26,9979881210
2003-09-29,10203412050
2003-09-30,10055395200
2003-10-01,10285344160
2003-10-02,10256113360
2003-10-03,10908934560
2003-10-06,10854370400
2003-10-07,10949857680
2003-10-08,11082370640
2003-10-09,11318165760
2003-10-10,11419499200
2003-10-13,11324011920
2003-10-14,11460422320
2003-10-15,11698166160
2003-10-16,11791704720
2003-10-17,11419499200
2003-10-20,11540319840
2003-10-21,11692320000
2003-10-22,11312319600
2003-10-23,10423703280
2003-10-24,10400318640
2003-10-27,10495805920
2003-10-28,11271396480
2003-10-29,11253858000
2003-10-30,11053139840
2003-10-31,11160319440
2003-11-03,11534473680
2003-11-04,11493550560
2003-11-05,11583191680
2003-11-06,11863807360
2003-11-07,11600730160
2003-11-10,11337652960
2003-11-11,11497448000
2003-11-12,11707909760
2003-11-13,11516935200
2003-11-14,11121345040
2003-11-17,10998575680
2003-11-18,10786165200
2003-11-19,10829037040
2003-11-20,10641959920
2003-11-21,10727703600
2003-11-24,11138883520
2003-11-25,11324011920
2003-11-26,11185652800
2003-11-28,11405858160
2003-12-01,11495499280
2003-12-02,11464319760
2003-12-03,11353242720
2003-12-04,11187601520
2003-12-05,10838780640
2003-12-08,10811498560
2003-12-09,10367190400
2003-12-10,10466575120
2003-12-11,10912832000
2003-12-12,11078473200
2003-12-15,10873857600
2003-12-16,10733549760
2003-12-17,10591293200
2003-12-18,10864114000
2003-12-19,10825139600
2003-12-22,10947908960
2003-12-23,11041447520
2003-12-24,11021960320
2003-12-26,11025857760
2003-12-29,11228524640
2003-12-30,11368832480
2003-12-31,11483147860
2004-01-02,11071213960
2004-01-05,11620459160
2004-01-06,11563573050
2004-01-07,11490994220
2004-01-08,11661652550
2004-01-09,11928428790
2004-01-12,12279553400
2004-01-13,11938236740
2004-01-14,11889196990
2004-01-15,12099087120
2004-01-16,12181473900
2004-01-20,12263860680
2004-01-21,12063778500
2004-01-22,11928428790
2004-01-23,11494917400
2004-01-26,11730308200
2004-01-27,11396837900
2004-01-28,11214410030
2004-01-29,11179101410
2004-01-30,11184986180
2004-02-02,10937825840
2004-02-03,11100637810
2004-02-04,10877016550
2004-02-05,11008443080
2004-02-06,11279142500
2004-02-09,11031982160
2004-02-10,10943710610
2004-02-11,11100637810
2004-02-12,10929979480
2004-02-13,10659280060
2004-02-17,10908401990
2004-02-18,10873093370
2004-02-19,10902517220
2004-02-20,10826015210
2004-02-23,10545507840
2004-02-24,10521968760
2004-02-25,10588662820
2004-02-26,10608278720
2004-02-27,10339540890
2004-03-01,10510199220
2004-03-02,10494506500
2004-03-03,10219883900
2004-03-04,10445466750
2004-03-05,10445466750
2004-03-08,10223807080
2004-03-09,10325809760
2004-03-10,10280693190
2004-03-11,10200268000
2004-03-12,10414081310
2004-03-15,10176728920
2004-03-16,10202229590
2004-03-17,10337579300
2004-03-18,10229691850
2004-03-19,9739294350
2004-03-22,9733409580
2004-03-23,9703985730
2004-03-24,9913875860
2004-03-25,10068841470
2004-03-26,10023724900
2004-03-29,10053148750
2004-03-30,9943299710
2004-03-31,9860410800
2004-04-01,10023182100
2004-04-02,10525223700
2004-04-05,10566406800
2004-04-06,10391868900
2004-04-07,10297736100
2004-04-08,10301658300
2004-04-12,10454624100
2004-04-13,10287930600
2004-04-14,10225175400
2004-04-15,9948660300
2004-04-16,9597623400
2004-04-19,9825111000
2004-04-20,9356408100
2004-04-21,9476035200
2004-04-22,9048515400
2004-04-23,9136764900
2004-04-26,8856327600
2004-04-27,8715128400
2004-04-28,8495485200
2004-04-29,8217009000
2004-04-30,8177787000
2004-05-03,8222892300
2004-05-04,8464107599
2004-05-05,8424885600
2004-05-06,8444496600
2004-05-07,8436652200
2004-05-10,8499407400
2004-05-11,8740622700
2004-05-12,8550396000
2004-05-13,8587656900
2004-05-14,8571968100
2004-05-17,8542551600
2004-05-18,8744544900
2004-05-19,8834755500
2004-05-20,8830833300
2004-05-21,8752389300
2004-05-24,8783766900
2004-05-25,9015176700
2004-05-26,9126959400
2004-05-27,9287769600
2004-05-28,9448579800
2004-06-01,9356408100
2004-06-02,9032826600
2004-06-03,8981838000
2004-06-04,9081854100
2004-06-07,9391707900
2004-06-08,9340719300
2004-06-09,9062243100
2004-06-10,9038709900
2004-06-14,8897510700
2004-06-15,9052437600
2004-06-16,9021060000
2004-06-17,8762194800
2004-06-18,8793572400
2004-06-21,8697478500
2004-06-22,9009293400
2004-06-23,9315225000
2004-06-24,9232858800
2004-06-25,9407396700
2004-06-28,9264236400
2004-06-29,9634884300
2004-06-30,9683911800
2004-07-01,9248547600
2004-07-02,9079893000
2004-07-06,8756311500
2004-07-07,8819066700
2004-07-08,8879860800
2004-07-09,9028904400
2004-07-12,8748467100
2004-07-13,8497446300
2004-07-14,7844400000
2004-07-15,7824789000
2004-07-16,7718889600
2004-07-19,7897349700
2004-07-20,8203281300
2004-07-21,7826750099
2004-07-22,7918921800
2004-07-23,7601223600
2004-07-26,7546312799
2004-07-27,7548273900
2004-07-28,7414919100
2004-07-29,7611029100
2004-07-30,8085615299
2004-08-02,7973832599
2004-08-03,7765956000
2004-08-04,7926766200
2004-08-05,7820866800
2004-08-06,7526701800
2004-08-09,7491402000
2004-08-10,7528662900
2004-08-11,7161937200
2004-08-12,6999165900
2004-08-13,7016815800
2004-08-16,7099182000
2004-08-17,7167820499
2004-08-18,7424724600
2004-08-19,7301175299
2004-08-20,7354125000
2004-08-23,7407074700
