,SE
2018-03-15,3736893565
2018-03-16,3750299461
2018-03-19,3606186077
2018-03-20,3592780181
2018-03-21,3629646396
2018-03-22,3622943448
2018-03-23,3612889025
2018-03-26,3686621455
2018-03-27,3643052292
2018-03-28,3663161136
2018-03-29,3777111254
2018-04-02,3770408306
2018-04-03,3723487669
2018-04-04,3716784721
2018-04-05,3689972929
2018-04-06,3572671337
2018-04-09,3616240499
2018-04-10,3586077233
2018-04-11,3519047752
2018-04-12,3508993330
2018-04-13,3468775641
2018-04-16,3529102174
2018-04-17,3643052292
2018-04-18,3991605593
2018-04-19,3884358423
2018-04-20,3813977468
2018-04-23,3616240499
2018-04-24,3676567032
2018-04-25,3559265441
2018-04-26,3515696278
2018-04-27,3555913967
2018-04-30,3515696278
2018-05-01,3512344804
2018-05-02,3653106714
2018-05-03,3649755240
2018-05-04,3626294922
2018-05-07,3512344804
2018-05-08,3482181537
2018-05-09,3465424167
2018-05-10,3673215558
2018-05-11,3525750700
2018-05-14,3502290382
2018-05-15,3565968389
2018-05-16,4015065911
2018-05-17,3934630534
2018-05-18,4380376583
2018-05-21,4561356182
2018-05-22,4480920804
2018-05-23,4779201995
2018-05-24,4896503587
2018-05-25,4879746216
2018-05-29,4993696334
2018-05-30,4896503587
2018-05-31,4956830119
2018-06-01,5466254175
2018-06-04,5131106770
2018-06-05,5496417442
2018-06-06,5362358480
2018-06-07,5335546687
2018-06-08,5362358480
2018-06-11,5318789317
2018-06-12,5496417442
2018-06-13,5007102230
2018-06-14,5348952583
2018-06-15,5198136251
2018-06-18,5214893621
2018-06-19,5060725815
2018-06-20,5070780237
2018-06-21,4966884542
2018-06-22,5157918562
2018-06-25,4976938964
2018-06-26,5100943504
2018-06-27,4966884542
2018-06-28,4909909483
2018-06-29,5027211075
2018-07-02,4901548533
2018-07-03,5023158283
2018-07-05,5269755831
2018-07-06,5583914352
2018-07-09,5489328991
2018-07-10,5296780220
2018-07-11,5232597296
2018-07-12,5431902164
2018-07-13,5374475338
2018-07-16,5276511928
2018-07-17,5290024123
2018-07-18,5256243637
2018-07-19,5320426560
2018-07-20,5171792421
2018-07-23,5151524130
2018-07-24,4830609512
2018-07-25,4884658290
2018-07-26,4847499755
2018-07-27,4546853429
2018-07-30,4577255866
2018-07-31,4763048540
2018-08-01,4938707067
2018-08-02,5023158283
2018-08-03,4901548533
2018-08-06,4982621699
2018-08-07,4884658290
2018-08-08,4844121706
2018-08-09,4830609512
2018-08-10,4675219276
2018-08-13,4793450977
2018-08-14,4712377810
2018-08-15,4533341234
2018-08-16,4550231477
2018-08-17,4587390012
2018-08-20,4675219276
2018-08-21,4817097317
2018-08-22,4584011963
2018-08-23,4847499755
2018-08-24,4979243651
2018-08-27,5121121692
2018-08-28,5100853401
2018-08-29,5036670477
2018-08-30,4688731470
2018-08-31,4813719269
2018-09-04,4675219276
2018-09-05,4556987574
2018-09-06,4611036352
2018-09-07,4556987574
2018-09-10,4313768074
2018-09-11,4192158325
2018-09-12,4472536359
2018-09-13,4702243665
2018-09-14,4604280255
2018-09-17,4614414401
2018-09-18,4614414401
2018-09-19,4540097331
2018-09-20,4702243665
2018-09-21,4931950970
2018-09-24,4810341220
2018-09-25,4888036338
2018-09-26,4803585123
2018-09-27,4783316831
2018-09-28,4671841227
2018-10-01,4932360702
2018-10-02,4731526139
2018-10-03,4728122163
2018-10-04,4363896770
2018-10-05,4397936526
2018-10-08,4312837135
2018-10-09,4319645087
2018-10-10,4054134987
2018-10-11,4050731011
2018-10-12,4346876892
2018-10-15,4455804112
2018-10-16,4653234699
2018-10-17,4660042651
2018-10-18,4489843869
2018-10-19,4404744478
2018-10-22,4459208088
2018-10-23,4438784234
2018-10-24,4258373525
2018-10-25,4340068941
2018-10-26,4295817257
2018-10-29,4118810524
2018-10-30,4217525817
2018-10-31,4442188210
2018-11-01,4431976283
2018-11-02,4377512673
2018-11-05,4156254256
2018-11-06,4306029184
2018-11-07,4489843869
2018-11-08,4442188210
2018-11-09,4197101964
2018-11-12,4350280867
2018-11-13,4234545696
2018-11-14,4166466183
2018-11-15,4241353647
2018-11-16,4258373525
2018-11-19,4323049062
2018-11-20,4122214500
2018-11-21,4357088819
2018-11-23,4391128575
2018-11-26,4299221233
2018-11-27,4537499528
2018-11-28,4510267723
2018-11-29,4391128575
2018-11-30,4540903503
2018-12-03,4523883625
2018-12-04,4237949671
2018-12-06,4234545696
2018-12-07,4118810524
2018-12-10,4020095230
2018-12-11,4084770768
2018-12-12,4163062207
2018-12-13,4139234378
2018-12-14,4040519084
2018-12-17,3986055474
2018-12-18,3969035596
2018-12-19,3883936205
2018-12-20,3740969228
2018-12-21,3655869837
2018-12-24,3655869837
2018-12-26,3877128253
2018-12-27,3880532229
2018-12-28,3795432838
2018-12-31,3853300424
2019-01-02,4096502012
2019-01-03,3974163038
2019-01-04,4285571335
2019-01-07,4430153759
2019-01-08,4559907217
2019-01-09,4634052050
2019-01-10,4660002741
2019-01-11,4660002741
2019-01-14,4467226176
2019-01-15,4515420317
2019-01-16,4589565150
2019-01-17,4593272391
2019-01-18,4671124466
2019-01-22,4837950340
2019-01-23,4711904124
2019-01-24,4863901031
2019-01-25,5052970355
2019-01-28,5008483455
2019-01-29,4986240005
2019-01-30,5027019663
2019-01-31,5193845537
2019-02-01,5683201434
2019-02-04,5546033493
2019-02-05,5568276943
2019-02-06,5486717627
2019-02-07,5468181419
2019-02-08,5597934876
2019-02-11,5749931783
2019-02-12,5931586624
2019-02-13,5887099724
2019-02-14,5931586624
2019-02-15,5931586624
2019-02-19,5931586624
2019-02-20,5872270757
2019-02-21,5824076616
2019-02-22,5927879382
2019-02-25,5894514207
2019-02-26,6005731456
2019-02-27,8104030225
2019-02-28,7970569526
2019-03-01,8600800604
2019-03-04,8530363013
2019-03-05,8919623385
2019-03-06,8482168872
2019-03-07,8689774404
2019-03-08,8786162686
2019-03-11,8645287504
2019-03-12,8563728188
2019-03-13,8482168872
2019-03-14,8489583355
2019-03-15,8715725095
2019-03-18,8978939252
2019-03-19,8912208902
2019-03-20,9034547876
2019-03-21,9138350642
2019-03-22,8952988560
2019-03-25,8886258211
2019-03-26,9030840635
2019-03-27,8823235103
2019-03-28,8723139578
2019-03-29,8719432337
2019-04-01,10816762624
2019-04-02,10793600391
2019-04-03,10798232838
2019-04-04,10191382344
2019-04-05,10654626996
2019-04-08,10353517972
2019-04-09,10237706809
2019-04-10,10432269563
2019-04-11,10844557303
2019-04-12,10946471126
2019-04-15,10955736019
2019-04-16,10863087089
2019-04-17,10585140298
2019-04-18,10640729656
2019-04-22,10969633359
2019-04-23,11312434401
2019-04-24,11349493974
2019-04-25,11280007276
2019-04-26,11835900858
2019-04-29,11747884374
2019-04-30,11530159388
2019-05-01,11567218960
2019-05-02,11442142904
2019-05-03,11673765230
2019-05-06,11669132783
2019-05-07,11256845043
2019-05-08,11391185992
2019-05-09,11460672690
2019-05-10,11900755109
2019-05-13,11293904615
2019-05-14,11544056727
2019-05-15,11859063091
2019-05-16,12475178478
2019-05-17,12354734868
2019-05-20,11951712021
2019-05-21,11761781714
2019-05-22,14592206538
2019-05-23,14170653904
2019-05-24,13892707113
2019-05-28,13522111391
2019-05-29,13123720991
2019-05-30,13142250777
2019-05-31,13174677902
2019-06-03,12956952916
2019-06-04,13309018851
2019-06-05,13540641177
2019-06-06,13776895950
2019-06-07,14291097514
2019-06-10,14267935281
2019-06-11,14124329439
2019-06-12,14462498035
2019-06-13,14249405495
2019-06-14,13878809773
2019-06-17,13874177327
2019-06-18,14481027821
2019-06-19,14587574091
2019-06-20,14962802259
2019-06-21,15958778261
2019-06-24,15838334651
2019-06-25,15481636269
2019-06-26,15662301684
2019-06-27,15643771898
2019-06-28,15388987339
2019-07-01,15875394224
2019-07-02,16278417071
2019-07-03,16533201629
2019-07-05,16542466522
2019-07-08,16380330894
2019-07-09,16477612271
2019-07-10,16713867044
2019-07-11,16676807472
2019-07-12,16292314410
2019-07-15,16292314410
2019-07-16,16310844196
2019-07-17,15893924010
2019-07-18,15944880921
2019-07-19,16051427191
2019-07-22,16329373983
2019-07-23,16245989945
2019-07-24,16593423434
2019-07-25,16852840439
2019-07-26,17320717538
2019-07-29,17014976067
2019-07-30,16542466522
2019-07-31,16259887285
2019-08-01,16347903769
2019-08-02,17468955826
2019-08-05,15759583061
2019-08-06,15722523488
2019-08-07,15991205387
2019-08-08,16482244718
2019-08-09,16069956977
2019-08-12,15676199023
2019-08-13,16037529852
2019-08-14,15463106483
2019-08-15,15930983582
2019-08-16,16408125573
2019-08-19,16723131937
2019-08-20,15287073516
2019-08-21,14772871952
2019-08-22,14925742687
2019-08-23,14300362407
2019-08-26,14694120361
2019-08-27,14772871952
2019-08-28,14958169813
2019-08-29,15018391617
2019-08-30,14879418222
2019-09-03,14304994853
2019-09-04,14782136845
2019-09-05,14638531003
2019-09-06,14643163449
2019-09-09,13915869346
2019-09-10,14054842741
2019-09-11,14443968249
2019-09-12,14513454947
2019-09-13,14374481551
2019-09-16,14323524639
2019-09-17,14300362407
2019-09-18,14406908677
2019-09-19,14800666631
2019-09-20,14948904920
2019-09-23,15027656510
2019-09-24,14481027821
2019-09-25,15027656510
2019-09-26,15041553850
2019-09-27,14091902313
2019-09-30,14337421979
2019-10-01,14403589870
2019-10-02,13841992566
2019-10-03,14339144277
2019-10-04,14270095429
2019-10-07,14058345625
2019-10-08,12820069603
2019-10-09,13174520360
2019-10-10,12820069603
2019-10-11,12852292399
2019-10-14,12658955622
2019-10-15,13018009636
2019-10-16,12930547761
2019-10-17,12810863089
2019-10-18,12419586279
2019-10-21,12534667694
2019-10-22,12290695095
2019-10-23,12548477464
2019-10-24,12912134734
2019-10-25,13119281281
2019-10-28,13404683190
2019-10-29,13510558091
2019-10-30,13713101381
2019-10-31,13699291611
2019-11-01,13763737204
2019-11-04,14219459606
2019-11-05,14062948882
2019-11-06,14108981448
2019-11-07,14247079146
2019-11-08,14592323390
2019-11-11,14270095429
2019-11-12,16921571224
2019-11-13,16194256683
2019-11-14,16995223330
2019-11-15,16746647474
2019-11-18,16861728889
2019-11-19,17036652639
2019-11-20,17156337310
2019-11-21,17133321027
2019-11-22,17156337310
2019-11-25,17193163363
2019-11-26,17377293627
2019-11-27,17391103397
2019-11-29,17050462409
2019-12-02,16834109349
2019-12-03,16926174481
2019-12-04,17073478692
2019-12-05,17418722936
2019-12-06,17404913166
2019-12-09,16912364711
2019-12-10,16861728889
2019-12-11,16926174481
2019-12-12,17170147080
2019-12-13,16939984251
2019-12-16,17492375042
2019-12-17,17492375042
2019-12-18,17312848034
2019-12-19,17869842082
2019-12-20,17957303957
2019-12-23,17883651852
2019-12-24,18007939780
2019-12-26,17989526753
2019-12-27,18090798398
2019-12-30,18049369089
2019-12-31,18514298004
2020-01-02,18506249842
2020-01-03,18714237165
2020-01-06,18709615224
2020-01-07,18954578072
2020-01-08,18561713128
2020-01-09,18732724927
2020-01-10,18293640578
2020-01-13,18497005961
2020-01-14,18460030436
2020-01-15,18681883581
2020-01-16,18931468369
2020-01-17,19079370466
2020-01-21,19093236288
2020-01-22,20502928146
2020-01-23,20683183827
2020-01-24,20951256377
2020-01-27,20498306206
2020-01-28,20812598161
2020-01-29,20863439507
2020-01-30,21071426830
2020-01-31,20909658912
2020-02-03,21431938191
2020-02-04,21639925514
2020-02-05,21173109522
2020-02-06,21131512057
2020-02-07,21353365202
2020-02-10,20872683388
2020-02-11,21418072369
2020-02-12,21690766860
2020-02-13,22162204793
2020-02-14,22411789581
2020-02-18,23035751551
2020-02-19,23664335462
2020-02-20,24265187730
2020-02-21,23964761596
2020-02-24,22277753306
2020-02-25,21584462228
2020-02-26,21455047893
2020-02-27,20831085923
2020-02-28,20826463983
2020-03-02,22203802258
2020-03-03,22624398845
2020-03-04,24274431611
2020-03-05,24292919373
2020-03-06,23271470518
2020-03-09,21219328927
2020-03-10,23428616495
2020-03-11,22194558377
2020-03-12,19241138384
2020-03-13,20572257254
2020-03-16,18986931656
2020-03-17,20456708741
2020-03-18,19393662421
2020-03-19,18349103864
2020-03-20,17563373976
2020-03-23,17771361299
2020-03-24,19800393187
2020-03-25,20355026050
2020-03-26,21140755938
2020-03-27,20304184704
2020-03-30,20549147551
2020-03-31,20479818444
2020-04-01,20138640694
2020-04-02,20796400328
2020-04-03,19639489767
2020-04-06,20899029491
2020-04-07,21094957892
2020-04-08,21202252017
2020-04-09,21024983463
2020-04-13,21920656156
2020-04-14,23427438862
2020-04-15,23222180537
2020-04-16,25167469666
2020-04-17,24733628205
2020-04-20,25293423638
2020-04-21,24248472164
2020-04-22,25209454323
2020-04-23,25018190884
2020-04-24,25372727991
2020-04-27,25815899375
2020-04-28,24864247140
2020-04-29,25899868690
2020-04-30,25927858462
2020-05-01,25554661507
2020-05-04,25764584794
2020-05-05,27024124518
2020-05-06,28778150207
2020-05-07,28162375231
2020-05-08,29151347163
2020-05-11,29347275564
2020-05-12,29249311363
2020-05-13,28913434104
2020-05-14,28731500588
2020-05-15,28904104180
2020-05-18,32416820521
2020-05-19,31847695164
2020-05-20,33774324445
2020-05-21,36298068855
2020-05-22,36853199326
2020-05-26,38793823493
2020-05-27,36811214668
2020-05-28,35295102038
2020-05-29,37226396281
2020-06-01,38471941119
2020-06-02,40519859410
2020-06-03,41084319805
2020-06-04,39796790310
2020-06-05,41844708601
2020-06-08,42395174110
2020-06-09,42348524491
2020-06-10,42992289239
2020-06-11,41322232864
2020-06-12,43374816118
2020-06-15,45366754866
2020-06-16,47022816355
2020-06-17,49826458481
2020-06-18,49672514737
2020-06-19,49887102986
2020-06-22,52896003437
2020-06-23,51827727153
2020-06-24,48347665546
2020-06-25,48664882958
2020-06-26,49075399608
2020-06-29,50740791021
2020-06-30,50027051844
2020-07-01,55563063964
2020-07-02,57097043364
2020-07-06,55538792138
2020-07-07,54805782995
2020-07-08,60417429154
2020-07-09,59732963662
2020-07-10,58737818799
2020-07-13,55169860384
2020-07-14,54999957602
2020-07-15,54956268315
2020-07-16,52912580571
2020-07-17,52931998031
2020-07-20,55946558814
2020-07-21,56043646118
2020-07-22,55655296903
2020-07-23,52888308745
2020-07-24,51999959915
2020-07-27,55427141739
2020-07-28,56310636204
2020-07-29,57616460440
2020-07-30,59364031908
2020-07-31,59320342621
2020-08-03,64441697897
2020-08-04,66752375727
2020-08-05,70616450418
2020-08-06,67092181290
2020-08-07,62621310951
2020-08-10,59563060881
2020-08-11,58427139426
2020-08-12,61611602991
2020-08-13,62135874432
2020-08-14,61407719653
2020-08-17,65184415771
2020-08-18,70864023043
2020-08-19,73087322300
2020-08-20,74097030260
2020-08-21,71563051630
2020-08-24,73014506822
2020-08-25,74820330673
2020-08-26,77184406521
2020-08-27,74344602884
2020-08-28,74111593355
2020-08-31,74179554468
2020-09-01,78543628774
2020-09-02,76320329517
2020-09-03,71631012743
2020-09-04,69975674213
2020-09-08,66990239622
2020-09-09,68946548793
2020-09-10,67718394400
2020-09-11,67723248765
2020-09-14,71757226238
2020-09-15,72810623484
2020-09-16,71640721474
2020-09-17,72368876252
2020-09-18,71626158378
2020-09-21,73155283413
2020-09-22,73844603270
2020-09-23,71786352429
2020-09-24,72844604041
2020-09-25,75383437035
2020-09-28,77655279944
2020-09-29,75315475922
2020-09-30,74776641386
2020-10-01,79168814400
2020-10-02,76872918782
2020-10-05,77971386082
2020-10-06,80870943909
2020-10-07,82840268167
2020-10-08,83765553686
2020-10-09,85165852090
2020-10-12,82721514946
2020-10-13,85304397516
2020-10-14,82944177236
2020-10-15,83770501737
2020-10-16,81741800868
2020-10-19,80574060855
2020-10-20,82568125368
2020-10-21,83315281054
2020-10-22,79975346696
2020-10-23,80633437466
2020-10-26,80336554412
2020-10-27,85249968956
2020-10-28,80771982891
2020-10-29,82642346131
2020-10-30,78030762693
2020-11-02,79005528720
2020-11-03,82330618925
2020-11-04,87560708726
2020-11-05,91350915715
2020-11-06,92424642761
2020-11-09,83661644617
2020-11-10,77451840737
2020-11-11,83686384871
2020-11-12,88456305939
2020-11-13,89777435529
2020-11-16,88184163139
2020-11-17,84423644455
2020-11-18,81722008664
2020-11-19,85833838962
2020-11-20,90603760029
2020-11-23,90509747062
2020-11-24,87540916522
2020-11-25,87926864493
2020-11-27,90326669179
2020-11-30,89247994083
2020-12-01,87768526864
2020-12-02,90984759949
2020-12-03,90811578167
2020-12-04,98357355790
2020-12-07,98253446721
2020-12-08,101865523878
2020-12-09,100287095641
2020-12-10,98441472655
2020-12-11,95685408304
2020-12-14,94141616423
2020-12-15,93067889378
2020-12-16,95492434319
2020-12-17,97996148074
2020-12-18,99134199781
2020-12-21,97427122221
2020-12-22,99282641308
2020-12-23,96521628906
2020-12-24,95586447286
2020-12-28,89203461625
2020-12-29,93196538701
2020-12-30,97352901457
2020-12-31,98490953164
2021-01-04,100927942665
2021-01-05,104464487428
2021-01-06,100057962949
2021-01-07,104984416134
2021-01-08,108186353313
2021-01-11,107620094326
2021-01-12,112469330376
2021-01-13,116742011821
2021-01-14,118224580805
2021-01-15,116366221766
2021-01-19,119243846981
2021-01-20,120021166135
2021-01-21,120438138662
2021-01-22,121740534331
2021-01-25,117720095525
2021-01-26,111820706446
2021-01-27,105931612984
2021-01-28,113138545542
2021-01-29,111558168188
2021-02-01,120216782876
2021-02-02,122795835170
2021-02-03,125369739655
2021-02-04,125585947632
2021-02-05,132175143113
2021-02-08,135624175123
2021-02-09,141389721170
2021-02-10,139490179660
2021-02-11,141374277743
2021-02-12,142141301279
2021-02-16,143181158691
2021-02-17,138074532193
2021-02-18,137703889947
2021-02-19,144138651160
2021-02-22,130218975705
2021-02-23,129626977673
2021-02-24,127686253691
2021-02-25,121153684108
2021-02-26,121328709613
2021-03-01,127928200713
2021-03-02,128695224250
2021-03-03,129354143798
2021-03-04,118234876422
2021-03-05,118276058894
2021-03-08,106070603826
2021-03-09,117611991537
2021-03-10,111815558637
2021-03-11,121894968600
2021-03-12,120968362986
2021-03-15,119089412711
2021-03-16,120180748213
2021-03-17,115491094241
2021-03-18,108752612300
2021-03-19,110626414765
2021-03-22,112139870602
2021-03-23,111522133526
2021-03-24,101669227157
2021-03-25,104299757541
2021-03-26,107712754888
2021-03-29,105143998212
2021-03-30,110343285271
2021-03-31,114914539637
2021-04-01,123721905660
2021-04-05,122910871810
2021-04-06,129257865744
2021-04-07,128310787506
2021-04-08,132439211425
2021-04-09,131298531559
2021-04-12,128373577224
2021-04-13,127777074909
2021-04-14,128488691706
2021-04-15,130864236014
2021-04-16,132078170550
2021-04-19,130811911250
2021-04-20,123716673183
2021-04-21,126149774733
2021-04-22,128975312016
2021-04-23,135306608520
2021-04-26,142328591916
2021-04-27,139780375885
2021-04-28,139011201847
2021-04-29,134385692665
2021-04-30,132140960268
2021-05-03,133229315369
2021-05-04,127400336604
2021-05-05,128143348260
2021-05-06,124663751421
2021-05-07,125725944140
2021-05-10,116448763394
2021-05-11,119703363746
2021-05-12,111671512395
2021-05-13,105873928489
2021-05-14,113382532195
2021-05-17,114507514631
2021-05-18,119300463060
2021-05-19,118599311215
2021-05-20,128797407816
2021-05-21,128891592392
2021-05-24,132904901830
2021-05-25,130571217333
2021-05-26,128839267628
2021-05-27,136368801239
2021-05-28,132507233619
2021-06-01,134757198493
2021-06-02,135181029085
2021-06-03,130602612192
2021-06-04,134380460188
2021-06-07,134642084011
2021-06-08,138189703044
2021-06-09,137655990446
2021-06-10,141862901512
2021-06-11,145300638540
2021-06-14,144976225000
2021-06-15,141899528847
2021-06-16,143777987893
2021-06-17,148204662969
2021-06-18,147812227236
2021-06-21,147063983103
2021-06-22,146964566051
2021-06-23,146969798527
2021-06-24,151438333415
2021-06-25,148262220210
2021-06-28,147095377962
2021-06-29,150271491167
2021-06-30,143683803317
2021-07-01,146684324720
2021-07-02,147433071410
2021-07-06,148499631445
2021-07-07,144287257976
2021-07-08,143824004628
2021-07-09,148510404778
2021-07-12,148596591448
2021-07-13,151333018202
2021-07-14,148445764776
2021-07-15,144809764659
2021-07-16,144147204638
2021-07-19,146969818062
2021-07-20,150632751513
2021-07-21,158324911761
2021-07-22,158254885092
2021-07-23,160344911826
2021-07-26,156062511688
2021-07-27,145935578029
2021-07-28,148424218109
2021-07-29,153525391606
2021-07-30,148758191453
2021-08-02,151521551542
2021-08-03,152426511571
2021-08-04,158104058420
2021-08-05,163754671936
2021-08-06,163065178580
2021-08-09,165446085323
2021-08-10,159957071813
2021-08-11,159984005148
2021-08-12,164961285308
2021-08-13,165214458649
2021-08-16,156477285035
2021-08-17,166054778676
2021-08-18,171624592189
2021-08-19,172976645566
2021-08-20,166625765361
2021-08-23,169803898797
2021-08-24,168064005408
2021-08-25,172421818881
2021-08-26,173326778910
2021-08-27,172928165564
2021-08-30,178740379084
2021-08-31,182241712530
2021-09-01,183189765894
2021-09-02,182608005876
2021-09-03,190343259458
2021-09-07,189082779417
2021-09-08,185193605959
2021-09-09,173773872258
2021-09-10,175336005642
2021-09-13,174021658933
2021-09-14,179672272448
2021-09-15,181864645852
2021-09-16,184714192610
2021-09-17,183044325890
2021-09-20,177555312380
2021-09-21,177431419042
2021-09-22,181697659180
2021-09-23,184611845940
2021-09-24,183367525900
2021-09-27,181132059161
2021-09-28,170606512156
2021-09-29,167945498737
2021-09-30,171689232191
2021-10-01,176919753669
2021-10-04,176000718774
2021-10-05,177683770630
2021-10-06,174583411947
2021-10-07,179516304065
2021-10-08,178979277651
2021-10-11,174987565847
2021-10-12,179876167127
2021-10-13,193412554588
2021-10-14,191209085382
2021-10-15,196263777305
2021-10-18,197697693196
2021-10-19,203178684438
2021-10-20,199640953727
2021-10-21,201135769520
2021-10-22,196706685688
2021-10-25,192842310045
2021-10-26,190212541520
2021-10-27,188330180891
2021-10-28,195283842507
2021-10-29,190212541520
2021-11-01,196009104985
2021-11-02,199436108600
2021-11-03,195798723503
2021-11-04,197620184229
2021-11-05,198079701676
2021-11-08,190500431969
2021-11-09,188739871145
2021-11-10,185633976108
2021-11-11,184526705150
2021-11-12,188950252627
2021-11-15,189908042006
2021-11-16,182649880876
2021-11-17,174068530952
2021-11-18,172036688744
2021-11-19,171621462135
2021-11-22,165608980833
2021-11-23,159181272922
2021-11-24,160327298363
2021-11-26,164330082876
2021-11-29,164961227322
2021-11-30,159485772435
2021-12-01,144947304756
2021-12-02,144559759921
2021-12-03,140313375797
2021-12-06,136675990700
2021-12-07,139593649675
2021-12-08,145611667331
2021-12-09,141066320049
2021-12-10,131732025873
2021-12-13,127911941068
2021-12-14,124412964840
2021-12-15,125398435993
2021-12-16,118765882955
2021-12-17,117813629931
2021-12-20,113871745320
2021-12-21,126190134728
2021-12-22,123394275559
2021-12-23,122934758111
2021-12-27,121578351188
2021-12-28,120077999040
2021-12-29,118428165312
2021-12-30,124185974294
2021-12-31,123853793007
2022-01-03,124208911613
2022-01-04,110042053977
2022-01-05,102744481452
2022-01-06,107216469493
2022-01-07,104068278907
2022-01-10,104068278907
2022-01-11,110053178325
2022-01-12,111577214050
2022-01-13,100425054819
2022-01-14,97354734672
2022-01-18,94823945420
2022-01-19,93349969262
2022-01-20,94590334105
2022-01-21,85885531513
2022-01-24,83054384855
2022-01-25,80607028216
2022-01-26,75428644054
2022-01-27,71351570381
2022-01-28,75990423647
2022-01-31,83605040099
2022-02-01,88405196416
2022-02-02,82008696109
2022-02-03,80673774306
2022-02-04,86224824138
2022-02-07,86836663298
2022-02-08,90390892599
2022-02-09,96754019861
2022-02-10,91586760047
2022-02-11,88038092921
2022-02-14,71846603883
2022-02-15,83182314861
2022-02-16,78749262040
2022-02-17,76563327587
2022-02-18,71023402104
2022-02-22,69927653790
2022-02-23,67035323217
2022-02-24,68275688059
2022-02-25,76457646278
2022-02-28,80985256060
2022-03-01,70361503377
2022-03-02,65494600969
2022-03-03,61206164676
2022-03-04,54197825209
2022-03-07,50054005445
2022-03-08,50910580269
2022-03-09,55065524382
2022-03-10,55037713511
2022-03-11,50638033734
2022-03-14,48824764952
2022-03-15,52156507285
2022-03-16,61940371668
2022-03-17,63536715658
2022-03-18,68158882401
2022-03-21,63536715658
2022-03-22,69249068541
2022-03-23,70539492950
2022-03-24,68592731987
2022-03-25,64587966578
2022-03-28,65066313557
2022-03-29,70839850356
2022-03-30,68659478077
2022-03-31,66629284502
2022-04-01,67506604758
2022-04-04,73984117122
2022-04-05,69602598432
2022-04-06,67322647867
2022-04-07,64802995897
2022-04-08,63782871316
2022-04-11,63509723205
2022-04-12,60650029708
2022-04-13,63086064909
2022-04-14,60527391781
2022-04-18,57991016457
2022-04-19,59942074398
2022-04-20,55839278271
2022-04-21,50850144393
2022-04-22,48843341940
2022-04-25,49902487679
2022-04-26,46440753447
2022-04-27,46000371797
2022-04-28,47215602172
2022-04-29,46134158627
2022-05-02,49439808224
2022-05-03,48826618586
2022-05-04,50264827011
2022-05-05,45660330270
2022-05-06,42477318601
2022-05-09,36022104042
2022-05-10,35776828186
2022-05-11,31835691145
2022-05-12,34255002992
2022-05-13,42031362500
2022-05-16,39205115711
2022-05-17,44712673556
2022-05-18,41362428349
2022-05-19,42861955738
2022-05-20,44406078737
2022-05-23,43062635983
2022-05-24,39768135288
2022-05-25,42204170489
2022-05-26,44344759773
2022-05-27,46189903140
2022-05-31,46078414115
2022-06-01,44456248798
2022-06-02,46290243263
2022-06-03,43904378123
2022-06-06,45292416487
2022-06-07,48096365471
2022-06-08,49506701640
