,AM
2019-05-23,6608880640
2019-05-24,6542994560
2019-05-28,6390949760
2019-05-29,6289586560
2019-05-30,6223700480
2019-05-31,6193291520
2019-06-03,6284518400
2019-06-04,6441631360
2019-06-05,6441631360
2019-06-06,6472040320
2019-06-07,6492312960
2019-06-10,6466972160
2019-06-11,6441631360
2019-06-12,6142609920
2019-06-13,6188223360
2019-06-14,5863861120
2019-06-17,5955088000
2019-06-18,6046314880
2019-06-19,5914542720
2019-06-20,5960156160
2019-06-21,5934815360
2019-06-24,5732088960
2019-06-25,5574976000
2019-06-26,5640862080
2019-06-27,5727020800
2019-06-28,5808111360
2019-07-01,5930166490
2019-07-02,5869396210
2019-07-03,5980808390
2019-07-05,6036514480
2019-07-08,5996000960
2019-07-09,6061835430
2019-07-10,6122605710
2019-07-11,6097284760
2019-07-12,5920038110
2019-07-15,5844075260
2019-07-16,5752919840
2019-07-17,5676956990
2019-07-18,5580737380
2019-07-19,5560480620
2019-07-22,5646571850
2019-07-23,5560480620
2019-07-24,5631379280
2019-07-25,5276885980
2019-07-26,4785659550
2019-07-29,4456487200
2019-07-30,4578027760
2019-07-31,4618541280
2019-08-01,4269112170
2019-08-02,4218470270
2019-08-05,4005774290
2019-08-06,3950068200
2019-08-07,3955132390
2019-08-08,3884233730
2019-08-09,3671537750
2019-08-12,3570253950
2019-08-13,3656345180
2019-08-14,3494291100
2019-08-15,3717115460
2019-08-16,3808270880
2019-08-19,3919683060
2019-08-20,3924747250
2019-08-21,3863976970
2019-08-22,3777885740
2019-08-23,3646216800
2019-08-26,3590510710
2019-08-27,3443649200
2019-08-28,3519612050
2019-08-29,3646216800
2019-08-30,3600639090
2019-09-03,3519612050
2019-09-04,3651280990
2019-09-05,3620895850
2019-09-06,3382878920
2019-09-09,3666473560
2019-09-10,3651280990
2019-09-11,3772821550
2019-09-12,3595574900
2019-09-13,3651280990
2019-09-16,3924747250
2019-09-17,3828527640
2019-09-18,3899426300
2019-09-19,3646216800
2019-09-20,3722179650
2019-09-23,3696858700
2019-09-24,3565189760
2019-09-25,3676601940
2019-09-26,3757628980
2019-09-27,3757628980
2019-09-30,3700318200
2019-10-01,3580307880
2019-10-02,3580307880
2019-10-03,3520302720
2019-10-04,3540304440
2019-10-07,3560306160
2019-10-08,3390291540
