,FLT
2011-11-01,2254024500
2011-11-02,2297783950
2011-11-03,2334112550
2011-11-04,2309343050
2011-11-07,2315948250
2011-11-08,2299435250
2011-11-09,2221824150
2011-11-10,2347322950
2011-11-11,2439795750
2011-11-14,2372918100
2011-11-15,2391908050
2011-11-16,2378697650
2011-11-17,2325030400
2011-11-18,2330809950
2011-11-21,2303563500
2011-11-22,2291178750
2011-11-23,2244942350
2011-11-25,2227603700
2011-11-28,2259804050
2011-11-29,2289527450
2011-11-30,2344846000
2011-12-01,2345671650
2011-12-02,2367964200
2011-12-05,2390256750
2011-12-06,2389431100
2011-12-07,2386954150
2011-12-08,2372918100
2011-12-09,2415851900
2011-12-12,2388605450
2011-12-13,2428236650
2011-12-14,2473647400
2011-12-15,2348148600
2011-12-16,2407595400
2011-12-19,2354753800
2011-12-20,2435667500
2011-12-21,2434016200
2011-12-22,2437318800
2011-12-23,2434841850
2011-12-27,2446400950
2011-12-28,2430713600
2011-12-29,2450529200
2011-12-30,2466216550
2012-01-03,2523186400
2012-01-04,2522360750
2012-01-05,2571899750
2012-01-06,2574376700
2012-01-09,2606577050
2012-01-10,2643731300
2012-01-11,2675106000
2012-01-12,2685839450
2012-01-13,2668500800
2012-01-17,2687490750
2012-01-18,2705655050
2012-01-19,2744460600
2012-01-20,2741158000
2012-01-23,2767578800
2012-01-24,2779137899
2012-01-25,2804733050
2012-01-26,2787394400
2012-01-27,2816292150
2012-01-30,2792348300
2012-01-31,2806384350
2012-02-01,2836107750
2012-02-02,2846015550
2012-02-03,2868308100
2012-02-06,2908764949
2012-02-07,2907113650
2012-02-08,2950873100
2012-02-09,3034263750
2012-02-10,3012796850
2012-02-13,2922801000
2012-02-14,2983899100
2012-02-15,2983899100
2012-02-16,3007017300
2012-02-17,3026832899
2012-02-21,2988853000
2012-02-22,3019402050
2012-02-23,3068941050
2012-02-24,3087931000
2012-02-27,3053253699
2012-02-28,3054079350
2012-02-29,3057381950
2012-03-01,3096187500
2012-03-02,3050776750
2012-03-05,3064812800
2012-03-06,2963257850
2012-03-07,3011145550
2012-03-08,3044171550
2012-03-09,3074720600
2012-03-12,3071418000
2012-03-13,3112700500
2012-03-14,3054905000
2012-03-15,3186183350
2012-03-16,3187834650
2012-03-19,3189485950
2012-03-20,3198568100
2012-03-21,3216732400
2012-03-22,3222511950
2012-03-23,3253886649
2012-03-26,3280307449
2012-03-27,3294343500
2012-03-28,3272050950
2012-03-29,3263794450
2012-03-30,3201045050
2012-04-02,3245134240
2012-04-03,3266790680
2012-04-04,3263458920
2012-04-05,3269289500
2012-04-09,3224310740
2012-04-10,3153510840
2012-04-11,3194324900
2012-04-12,3223477800
2012-04-13,3210983700
2012-04-16,3171835520
2012-04-17,3258461280
2012-04-18,3220978980
2012-04-19,3205986060
2012-04-20,3216814280
2012-04-23,3217647220
2012-04-24,3254296580
2012-04-25,3337590580
2012-04-26,3331760000
2012-04-27,3338423520
2012-04-30,3294277700
2012-05-01,3397562260
2012-05-02,3370908180
2012-05-03,3385901100
2012-05-04,3354249380
2012-05-07,3353416440
2012-05-08,3377571700
2012-05-09,3404225780
2012-05-10,3292611820
2012-05-11,3305105920
2012-05-14,3276785960
2012-05-15,3265957740
2012-05-16,3249298940
2012-05-17,3247633060
2012-05-18,3143515560
2012-05-21,3165172000
2012-05-22,3135186160
2012-05-23,3152677900
2012-05-24,3210150760
2012-05-25,3203487240
2012-05-29,3222644860
2012-05-30,3181830800
2012-05-31,3156842600
2012-06-01,3016075740
2012-06-04,3055223920
2012-06-05,3084376820
2012-06-06,3210150760
2012-06-07,3215148400
2012-06-08,3054390980
2012-06-11,3046894520
2012-06-12,3081045060
2012-06-13,3101035619
2012-06-14,3105200320
2012-06-15,3119360300
2012-06-18,3159341420
2012-06-19,3184329619
2012-06-20,3131021460
2012-06-21,3036899240
2012-06-22,2915290000
2012-06-25,2867812420
2012-06-26,2864480660
2012-06-27,2839492460
2012-06-28,2832828940
2012-06-29,2918621760
2012-07-02,2935869900
2012-07-03,2990471200
2012-07-05,2964430580
2012-07-06,2926629680
2012-07-09,2971150740
2012-07-10,2964430580
2012-07-11,2997191360
2012-07-12,3035832280
2012-07-13,3063552940
2012-07-16,3020711920
2012-07-17,3061032880
2012-07-18,3047592560
2012-07-19,3052632680
2012-07-20,3024912020
2012-07-23,2980390959
2012-07-24,2979550940
2012-07-25,3004751540
2012-07-26,3067753040
2012-07-27,3130754540
2012-07-30,3106393959
2012-07-31,3101353840
2012-08-01,3056832780
2012-08-02,3005591560
2012-08-03,3029952140
2012-08-06,3023231980
2012-08-07,3071113120
2012-08-08,3082873400
2012-08-09,3366800160
2012-08-10,3414681300
2012-08-13,3359239980
2012-08-14,3419721420
2012-08-15,3524723920
2012-08-16,3593605560
2012-08-17,3573445080
2012-08-20,3649046880
2012-08-21,3644846780
2012-08-22,3626366340
2012-08-23,3592765540
2012-08-24,3592765540
2012-08-27,3620486200
2012-08-28,3611245980
2012-08-29,3640646680
2012-08-30,3601165740
2012-08-31,3627206360
2012-09-04,3617126120
2012-09-05,3611245980
2012-09-06,3734728920
2012-09-07,3706168240
2012-09-10,3697768040
2012-09-11,3679287599
2012-09-12,3693567940
2012-09-13,3717088500
2012-09-14,3749009260
2012-09-17,3679287599
2012-09-18,3692727920
2012-09-19,3747329220
2012-09-20,3692727920
2012-09-21,3830491200
2012-09-24,3798570440
2012-09-25,3693567940
2012-09-26,3694407959
2012-09-27,3728848780
2012-09-28,3763289599
2012-10-01,3700315640
2012-10-02,3735334400
2012-10-03,3772020720
2012-10-04,3797034120
2012-10-05,3806205700
2012-10-08,3777857180
2012-10-09,3805371920
2012-10-10,3807039479
2012-10-11,3835388000
2012-10-12,3802036800
2012-10-15,3822047520
2012-10-16,3820379960
2012-10-17,3862068960
2012-10-18,3935441600
2012-10-19,3924602460
2012-10-22,3962122560
2012-10-23,3893752600
2012-10-24,3885414800
2012-10-25,3862068960
2012-10-26,3888749920
2012-10-31,3952950979
2012-11-01,3971294140
2012-11-02,3953784760
2012-11-05,3936275380
2012-11-06,3962956340
2012-11-07,3853731160
2012-11-08,3847060920
2012-11-09,3992138640
2012-11-12,4055505920
2012-11-13,4045500560
2012-11-14,4027991180
2012-11-15,4041331660
2012-11-16,4056339700
2012-11-19,4124709660
2012-11-20,4214757900
2012-11-21,4262283360
2012-11-23,4311476380
2012-11-26,4268953600
2012-11-27,4394020600
2012-11-28,4351497820
2012-11-29,4301471020
2012-11-30,4351497820
2012-12-03,4329819540
2012-12-04,4308141260
2012-12-05,4373176100
2012-12-06,4373176100
2012-12-07,4397355720
2012-12-10,4310642600
2012-12-11,4276457620
2012-12-12,4281460300
2012-12-13,4213090340
2012-12-14,4203918760
2012-12-17,4230599720
2012-12-18,4295634560
2012-12-19,4327318200
2012-12-20,4379012560
2012-12-21,4427371800
2012-12-24,4459889220
2012-12-26,4442379840
2012-12-27,4429873140
2012-12-28,4406527300
2012-12-31,4357560300
2013-01-02,4481829960
2013-01-03,4458275580
