,CNP
2000-10-26,9781776900
2000-10-27,9873035460
2000-10-30,10038441600
2000-10-31,9932923890
2000-11-01,10038441600
2000-11-02,10021330620
2000-11-03,9841665330
2000-11-06,9585000630
2000-11-07,9422446320
2000-11-08,9345446910
2000-11-09,9616370760
2000-11-10,9827406180
2000-11-13,10126848330
2000-11-14,9405335340
2000-11-15,9570741480
2000-11-16,9781776900
2000-11-17,9961442190
2000-11-20,9992812320
2000-11-21,9630629910
2000-11-22,9707629320
2000-11-24,9585000630
2000-11-27,9482334750
2000-11-28,9647740890
2000-11-29,9602111610
2000-11-30,9436705470
2000-12-01,9707629320
2000-12-04,9525112200
2000-12-05,9376817040
2000-12-06,9151522470
2000-12-07,9316928610
2000-12-08,9496593900
2000-12-11,9585000630
2000-12-12,9810295200
2000-12-13,9915812910
2000-12-14,9630629910
2000-12-15,9556482330
2000-12-18,9841665330
2000-12-19,9932923890
2000-12-20,10232366040
2000-12-21,10352142900
2000-12-22,10306513620
2000-12-26,10608807600
2000-12-27,10608807600
2000-12-28,10489030740
2000-12-29,10412031330
2001-01-02,10341222640
2001-01-03,9476341280
2001-01-04,9082690960
2001-01-05,8870062320
2001-01-08,9022350400
2001-01-09,8735014400
2001-01-10,8599966480
2001-01-11,7855766240
2001-01-12,8235049760
2001-01-16,8068394879
2001-01-17,8022421120
2001-01-18,8249416560
2001-01-19,8174709200
2001-01-22,8522385760
2001-01-23,8508018960
2001-01-24,8780988160
2001-01-25,8962009840
2001-01-26,9099931120
2001-01-29,9168891760
2001-01-30,9053957360
2001-01-31,9131538080
2001-02-01,8987870080
2001-02-02,9117171280
2001-02-05,9203372080
2001-02-06,9289572880
2001-02-07,9674603120
2001-02-08,9959065759
2001-02-09,9990672720
2001-02-12,9947572320
2001-02-13,9861371520
2001-02-14,9795284240
2001-02-15,9829764560
2001-02-16,9944698960
2001-02-20,10151580880
2001-02-21,10148707520
2001-02-22,10174567759
2001-02-23,10002166160
2001-02-26,10108480480
2001-02-27,10266515280
2001-02-28,10174567759
2001-03-01,10076873520
2001-03-02,10117100560
2001-03-05,10056760000
2001-03-06,10033773120
2001-03-07,10019406320
2001-03-08,10096987040
2001-03-09,10154454240
2001-03-12,10137214080
2001-03-13,10257895200
2001-03-14,10197554640
2001-03-15,10312489040
2001-03-16,10174567759
2001-03-19,10243528400
2001-03-20,10197554640
2001-03-21,9996419440
2001-03-22,9594149040
2001-03-23,9519441680
2001-03-26,9927458800
2001-03-27,10260768560
2001-03-28,10387196400
2001-03-29,10602698400
2001-03-30,10961868400
2001-04-02,11149310640
2001-04-03,11450643360
2001-04-04,11279694990
2001-04-05,11076874890
2001-04-06,10636465530
2001-04-09,10943593110
2001-04-10,11192772090
2001-04-11,11114541480
2001-04-12,11123233770
2001-04-16,11479617660
2001-04-17,11949001320
2001-04-18,12024334500
2001-04-19,11989565340
2001-04-20,12018539640
2001-04-23,11946103890
2001-04-24,11969283330
2001-04-25,11969283330
2001-04-26,12186590580
2001-04-27,11827309260
2001-04-30,12102565110
2001-05-01,12218462310
2001-05-02,11688232620
2001-05-03,11465130510
2001-05-04,11401387050
2001-05-07,11410079340
2001-05-08,11198566950
2001-05-09,11262310410
2001-05-10,11210156670
2001-05-11,11271002700
2001-05-14,11349233310
2001-05-15,11152208070
2001-05-16,11407181910
2001-05-17,11302874430
2001-05-18,11334746160
2001-05-21,11554950840
2001-05-22,11511489390
2001-05-23,11595514860
2001-05-24,11653463460
2001-05-25,11282592420
2001-05-29,11065285170
2001-05-30,11076874890
2001-05-31,11256515550
2001-06-01,11126131200
2001-06-04,11114541480
2001-06-05,10442337720
2001-06-06,10126517850
2001-06-07,10169979300
2001-06-08,10282979070
2001-06-11,10514773470
2001-06-12,10500286320
2001-06-13,9158776230
2001-06-14,8773418040
2001-06-15,8518444200
2001-06-18,8254778070
2001-06-19,8144675730
2001-06-20,7817266140
2001-06-21,7582574310
2001-06-22,7678189500
2001-06-25,7460882250
2001-06-26,7449292530
2001-06-27,7669497210
2001-06-28,7695574080
2001-06-29,7866522450
2001-07-02,7829876460
2001-07-03,7722458800
2001-07-05,7719555620
2001-07-06,7928584580
2001-07-09,7951810020
2001-07-10,8004067260
2001-07-11,7847295540
2001-07-12,7620847500
2001-07-13,7638266580
2001-07-16,7565687080
2001-07-17,7464075780
2001-07-18,7353754939
2001-07-19,7292788160
2001-07-20,7194080040
2001-07-23,6944406560
2001-07-24,6851504800
2001-07-25,7464075780
2001-07-26,7905359140
2001-07-27,7928584580
2001-07-30,7780522400
2001-07-31,7707942900
2001-08-01,7757296960
2001-08-02,7786328760
2001-08-03,7734071520
2001-08-06,7574396620
2001-08-07,7635363400
2001-08-08,7600525240
2001-08-09,7661492020
2001-08-10,7722458800
2001-08-13,7594718880
2001-08-14,7551171180
2001-08-15,7440850340
2001-08-16,7406012180
2001-08-17,7327626320
2001-08-20,7295691340
2001-08-21,7281175439
2001-08-22,7307304060
2001-08-23,7391496280
2001-08-24,7443753520
2001-08-27,7562783900
2001-08-28,7615041140
2001-08-29,7432140800
2001-08-30,7391496280
2001-08-31,7356658120
2001-09-04,7461172600
2001-09-05,7318916780
2001-09-06,7379883560
2001-09-07,7362464480
2001-09-10,7333432680
2001-09-17,7194080040
2001-09-18,7051824220
2001-09-19,6935697020
2001-09-20,7046017860
2001-09-21,6839892080
2001-09-24,6752796680
2001-09-25,6764409400
2001-09-26,6569896340
2001-09-27,6381189640
2001-09-28,6442156420
2001-10-01,6363770560
2001-10-02,6436350060
2001-10-03,6720861700
2001-10-04,6828279360
2001-10-05,6938600200
2001-10-08,6857311160
2001-10-09,6866020700
2001-10-10,6744087140
2001-10-11,6973438360
2001-10-12,6918277939
2001-10-15,6976341540
2001-10-16,7069243300
2001-10-17,7031501960
2001-10-18,6839892080
2001-10-19,6932793840
2001-10-22,7054727400
2001-10-23,6866020700
2001-10-24,6651185380
2001-10-25,6926987480
2001-10-26,6987954260
2001-10-29,6839892080
2001-10-30,6805053920
2001-10-31,6839892080
2001-11-01,6828279360
2001-11-02,6738280780
2001-11-05,6912471580
2001-11-06,6857311160
2001-11-07,6819569820
2001-11-08,6819569820
2001-11-09,6787634840
2001-11-12,6720861700
2001-11-13,6656991740
2001-11-14,6601831320
2001-11-15,6532155000
2001-11-16,6616347220
2001-11-19,6662798100
2001-11-20,6677314000
2001-11-21,6610540860
2001-11-23,6677314000
2001-11-26,6578605880
2001-11-27,6671507640
2001-11-28,6352157840
2001-11-29,6314416500
2001-11-30,6253449720
2001-12-03,6172160680
2001-12-04,6140225700
2001-12-05,6276675160
2001-12-06,6273771980
2001-12-07,6331835580
2001-12-10,6053130300
2001-12-11,5995066700
2001-12-12,6131516160
2001-12-13,6224417920
2001-12-14,5995066700
2001-12-17,5786037740
2001-12-18,5937003100
2001-12-19,6195386120
2001-12-20,6352157840
2001-12-21,6337641939
2001-12-24,6349254660
2001-12-26,6427640520
2001-12-27,6546670900
2001-12-28,6561186800
2001-12-31,6623523920
2002-01-02,6691654980
2002-01-03,6703503860
2002-01-04,6579090620
2002-01-07,6703503860
2002-01-08,6611675040
2002-01-09,6516884000
2002-01-10,6552430640
2002-01-11,6448752940
2002-01-14,6525770660
2002-01-15,6623523920
2002-01-16,6567241740
2002-01-17,6490224020
2002-01-18,6537619540
2002-01-22,6380621880
2002-01-23,6392470759
2002-01-24,6398395200
2002-01-25,6350999680
2002-01-28,6380621880
2002-01-29,6229548660
2002-01-30,6220662000
2002-01-31,6262133080
2002-02-01,6276944180
2002-02-04,6223624220
2002-02-05,5728933480
2002-02-06,5284600480
2002-02-07,5435673700
2002-02-08,5524540300
2002-02-11,5592671360
2002-02-12,5660802420
2002-02-13,5782253440
2002-02-14,5512691420
2002-02-15,5394202620
2002-02-19,5331996000
2002-02-20,5240167180
2002-02-21,5240167180
2002-02-22,5112791720
2002-02-25,5083169520
2002-02-26,5243129400
2002-02-27,5243129400
2002-02-28,5192771660
2002-03-01,5269789380
2002-03-04,5506766980
2002-03-05,5743744580
2002-03-06,5915553340
2002-03-07,6125870960
2002-03-08,6164379820
2002-03-11,6353961900
2002-03-12,6194002020
2002-03-13,6229548660
2002-03-14,6093286540
2002-03-15,6182153140
2002-03-18,6244359759
2002-03-19,6371735220
2002-03-20,6318415259
2002-03-21,6466526259
2002-03-22,6493186240
2002-03-25,6401357420
2002-03-26,6330264140
2002-03-27,6454677380
2002-03-28,6439866280
2002-04-01,6421302720
2002-04-02,6340924800
2002-04-03,6308178240
2002-04-04,6275431679
2002-04-05,6248639040
2002-04-08,6224823360
2002-04-09,6174215040
2002-04-10,6206961600
2002-04-11,6114675840
2002-04-12,6147422400
2002-04-15,6064067520
2002-04-16,6105744960
2002-04-17,6254592960
2002-04-18,6323063040
2002-04-19,6337947840
2002-04-22,6388556160
2002-04-23,6507634560
2002-04-24,6427256640
2002-04-25,6275431679
2002-04-26,6266500800
2002-04-29,6349855679
2002-04-30,6370694400
2002-05-01,6451072320
2002-05-02,6474888000
2002-05-03,6489772800
2002-05-06,6498703679
2002-05-07,6406417920
2002-05-08,6281385600
2002-05-09,6174215040
2002-05-10,5394251520
2002-05-13,4414831680
2002-05-14,3983172480
2002-05-15,3995080320
2002-05-16,3637845120
2002-05-17,3587236800
2002-05-20,3831347520
2002-05-21,3884932800
2002-05-22,3995080320
2002-05-23,4355292480
2002-05-24,4578564480
2002-05-28,4367200320
2002-05-29,4146905280
2002-05-30,4242168000
2002-05-31,4268960640
2002-06-03,4179651839
2002-06-04,4319568960
2002-06-05,4292776320
2002-06-06,4245144960
2002-06-07,4254075839
2002-06-10,4263006720
2002-06-11,4340407680
2002-06-12,4307661120
2002-06-13,4367200320
2002-06-14,4322545920
2002-06-17,4477347840
2002-06-18,4441624320
2002-06-19,4301707200
2002-06-20,4265983680
2002-06-21,3977218560
2002-06-24,3759900480
2002-06-25,3983172480
2002-06-26,3998057280
2002-06-27,4087366080
2002-06-28,4242168000
2002-07-01,4060610460
2002-07-02,3869382300
2002-07-03,3982924020
2002-07-05,4042682820
2002-07-08,4281718020
2002-07-09,4066586340
2002-07-10,3854442600
2002-07-11,3979936080
2002-07-12,3764804400
2002-07-15,3842490840
2002-07-16,3702057660
2002-07-17,3705045600
2002-07-18,3678154140
2002-07-19,3495889800
2002-07-22,3442106880
2002-07-23,1989968040
2002-07-24,1359512700
2002-07-25,2217051480
2002-07-26,2240955000
2002-07-29,2318641440
2002-07-30,2656278660
2002-07-31,2533773120
2002-08-01,2527797240
2002-08-02,2333581140
2002-08-05,2414255520
2002-08-06,2494929900
2002-08-07,2533773120
2002-08-08,2677194240
2002-08-09,2751892740
2002-08-12,2910253560
2002-08-13,2671218360
2002-08-14,2766832440
2002-08-15,2695121880
2002-08-16,2518833420
2002-08-19,2632375140
2002-08-20,2620423380
2002-08-21,2838543000
2002-08-22,3068614380
2002-08-23,2868422400
2002-08-26,3110445540
2002-08-27,3071602320
2002-08-28,3023795280
2002-08-29,3035747040
2002-08-30,2984952060
2002-09-03,2859458580
2002-09-04,3002879700
2002-09-05,2996903820
2002-09-06,3059650560
2002-09-09,3056662620
2002-09-10,2880374160
2002-09-11,2999891759
2002-09-12,2898301800
2002-09-13,2871410340
2002-09-16,2922205320
2002-09-17,2716037460
2002-09-18,2784760080
2002-09-19,2593531920
2002-09-20,2548712820
2002-09-23,2411267580
2002-09-24,2166256500
2002-09-25,2205099720
2002-09-26,2491941960
2002-09-27,2348520840
2002-09-30,2522044901
2002-10-01,2674443349
2002-10-02,2659502325
2002-10-03,2689384374
2002-10-04,2629620276
2002-10-07,2599738228
2002-10-08,2106684426
2002-10-09,2127601860
2002-10-10,2241153645
2002-10-11,2166448523
2002-10-14,1987156231
2002-10-15,2136566474
2002-10-16,1981179822
2002-10-17,1831769579
2002-10-18,1712241384
2002-10-21,1733158818
2002-10-22,1688335745
2002-10-23,1718217794
2002-10-24,1789934711
2002-10-25,1846710603
2002-10-28,1942333159
2002-10-29,1984168027
2002-10-30,2151507499
2002-10-31,2115649040
2002-11-01,2184377752
2002-11-04,2285976717
2002-11-05,1897510086
2002-11-06,1852687013
2002-11-07,2151507499
2002-11-08,1900498290
2002-11-11,1927392134
2002-11-12,1972215207
2002-11-13,1981179822
2002-11-14,2026002895
2002-11-15,2085766992
2002-11-18,2121625450
2002-11-19,2094731606
2002-11-20,2130590065
2002-11-21,2169436728
2002-11-22,2247130054
2002-11-25,2229200825
2002-11-26,2285976717
2002-11-27,2268047488
2002-11-29,2285976717
2002-12-02,2274023898
2002-12-03,2235177235
2002-12-04,2049908533
2002-12-05,2082778787
2002-12-06,2046920329
2002-12-09,2037955714
2002-12-10,2157483908
2002-12-11,2241153645
2002-12-12,2241153645
2002-12-13,2232189030
2002-12-16,2384587478
2002-12-17,2387575683
2002-12-18,2384587478
2002-12-19,2390563888
2002-12-20,2498139262
2002-12-23,2525033106
2002-12-24,2566867974
2002-12-26,2539974131
2002-12-27,2554915155
2002-12-30,2539974131
2002-12-31,2556557146
2003-01-02,2556557146
2003-01-03,2571595717
2003-01-06,2571595717
2003-01-07,2424217717
2003-01-08,2448279432
2003-01-09,2481364289
2003-01-10,2526480003
2003-01-13,2481364289
2003-01-14,2466325717
2003-01-15,2436248574
2003-01-16,2496402860
2003-01-17,2418202289
2003-01-21,2370078860
2003-01-22,2282855146
2003-01-23,2255785717
2003-01-24,2285862860
2003-01-27,2045245717
2003-01-28,2135477145
2003-01-29,2090361431
2003-01-30,2090361431
2003-01-31,2096376860
2003-02-03,2237739431
2003-02-04,2135477145
2003-02-05,2030207145
2003-02-06,2039230288
2003-02-07,1840721145
2003-02-10,1858767431
2003-02-11,1789590002
2003-02-12,1714397145
2003-02-13,1564011430
2003-02-14,1518895716
2003-02-18,1515888002
2003-02-19,1443702859
2003-02-20,1398587144
2003-02-21,1368510001
2003-02-24,1365502287
2003-02-25,1353471430
2003-02-26,1398587144
2003-02-27,1428664287
2003-02-28,1398587144
2003-03-03,1744474288
2003-03-04,1714397145
2003-03-05,1795605431
2003-03-06,1804628574
2003-03-07,1924937145
2003-03-10,1819667145
2003-03-11,1828690288
2003-03-12,1831698002
2003-03-13,1834705716
2003-03-14,1870798288
2003-03-17,1891852288
2003-03-18,1894860002
2003-03-19,1939975717
2003-03-20,2030207145
2003-03-21,2066299717
2003-03-24,2021184002
2003-03-25,2120438574
2003-03-26,2060284288
2003-03-27,2024191717
2003-03-28,2069307431
2003-03-31,2122486430
2003-04-01,2236889954
2003-04-02,2218826239
2003-04-03,2254953668
2003-04-04,2270006763
2003-04-07,2260974906
2003-04-08,2276028001
2003-04-09,2282049239
2003-04-10,2285059858
2003-04-11,2257964287
2003-04-14,2288070478
2003-04-15,2288070478
2003-04-16,2227858097
2003-04-17,2285059858
2003-04-21,2276028001
2003-04-22,2342261620
2003-04-23,2363335954
2003-04-24,2438601430
2003-04-25,2450643906
2003-04-28,2447633287
2003-04-29,2399463382
2003-04-30,2378389049
2003-05-01,2363335954
2003-05-02,2468707621
2003-05-05,2435590811
2003-05-06,2414516478
2003-05-07,2438601430
2003-05-08,2414516478
2003-05-09,2399463382
2003-05-12,2408495240
2003-05-13,2324197906
2003-05-14,2492792573
2003-05-15,2706546525
2003-05-16,2745684573
2003-05-19,2664397859
2003-05-20,2619238573
2003-05-21,2574079287
2003-05-22,2543973097
2003-05-23,2721599621
2003-05-27,2860088097
2003-05-28,2932342954
2003-05-29,2823960668
2003-05-30,2875141192
2003-06-02,2920300478
2003-06-03,2908258002
2003-06-04,2908258002
2003-06-05,2905247383
2003-06-06,2790843859
2003-06-09,2742673954
2003-06-10,2760737668
2003-06-11,2724610240
2003-06-12,2805896954
2003-06-13,2679450954
2003-06-16,2796865097
2003-06-17,2763748287
2003-06-18,2709557145
2003-06-19,2724610240
2003-06-20,2619238573
2003-06-23,2574079287
2003-06-24,2510856287
2003-06-25,2510856287
2003-06-26,2507845668
2003-06-27,2444622668
2003-06-30,2468431250
2003-07-01,2441172500
2003-07-02,2471460000
2003-07-03,2459345000
2003-07-07,2453287500
2003-07-08,2468431250
2003-07-09,2498718750
2003-07-10,2465402500
2003-07-11,2507805000
2003-07-14,2459345000
2003-07-15,2423000000
2003-07-16,2371511250
2003-07-17,2335166250
2003-07-18,2459345000
2003-07-21,2368482500
2003-07-22,2462373750
2003-07-23,2413913750
2003-07-24,2435114999
2003-07-25,2468431250
2003-07-28,2456316250
2003-07-29,2498718750
2003-07-30,2453287500
2003-07-31,2444201250
2003-08-01,2423000000
2003-08-04,2474488750
2003-08-05,2468431250
2003-08-06,2462373750
2003-08-07,2450258750
2003-08-08,2483575000
2003-08-11,2486603750
2003-08-12,2535063750
2003-08-13,2477517500
2003-08-14,2532035000
2003-08-15,2483575000
2003-08-18,2504776250
2003-08-19,2501747500
2003-08-20,2535063750
2003-08-21,2568380000
2003-08-22,2492661250
2003-08-25,2504776250
2003-08-26,2498718750
2003-08-27,2550207500
2003-08-28,2577466250
2003-08-29,2571408750
2003-09-02,2659242500
2003-09-03,2689530000
2003-09-04,2737989999
2003-09-05,2698616250
2003-09-08,2762220000
2003-09-09,2771306250
2003-09-10,2716788750
2003-09-11,2710731250
2003-09-12,2750105000
2003-09-15,2686501250
2003-09-16,2695587500
2003-09-17,2647127500
2003-09-18,2719817500
2003-09-19,2741018750
2003-09-22,2689530000
2003-09-23,2786450000
2003-09-24,2756162500
2003-09-25,2750105000
2003-09-26,2765248750
2003-09-29,2840967500
2003-09-30,2795975915
2003-10-01,2820368290
2003-10-02,2805123056
2003-10-03,2823417336
2003-10-06,2838662570
2003-10-07,2832564477
2003-10-08,2817319243
2003-10-09,2878300179
2003-10-10,2957575396
2003-10-13,2981967770
2003-10-14,2997213004
2003-10-15,2896594460
2003-10-16,2875251132
2003-10-17,2881349226
2003-10-20,2887447319
2003-10-21,3033801566
2003-10-22,3042948706
2003-10-23,2975869676
2003-10-24,3024654425
2003-10-27,3015507285
2003-10-28,2957575396
2003-10-29,3045997753
2003-10-30,3042948706
2003-10-31,2991114910
2003-11-03,3082586314
2003-11-04,2985016817
2003-11-05,3049046800
2003-11-06,3049046800
2003-11-07,3042948706
2003-11-10,3049046800
2003-11-11,3003311098
2003-11-12,3000262051
2003-11-13,2972820630
2003-11-14,2948428255
2003-11-17,2951477302
2003-11-18,2896594460
2003-11-19,2908790647
2003-11-20,2924035881
2003-11-21,2890496366
2003-11-24,2924035881
2003-11-25,2975869676
2003-11-26,2942330162
2003-11-28,2957575396
2003-12-01,2988065864
2003-12-02,3006360144
2003-12-03,2991114910
2003-12-04,3024654425
2003-12-05,2902692553
2003-12-08,2896594460
2003-12-09,2866103992
2003-12-10,2817319243
2003-12-11,2789877822
2003-12-12,2850858758
2003-12-15,2817319243
2003-12-16,2875251132
2003-12-17,2890496366
2003-12-18,2893545413
2003-12-19,2860005898
2003-12-22,2863054945
2003-12-23,2890496366
2003-12-24,2917937787
2003-12-26,2930133974
2003-12-29,2960624442
2003-12-30,2948428255
2003-12-31,2971075125
2004-01-02,2980273500
2004-01-05,3020133125
2004-01-06,3044662125
2004-01-07,3059992750
2004-01-08,3066125000
2004-01-09,3139712000
2004-01-12,3158108750
2004-01-13,3145844250
2004-01-14,3173439375
2004-01-15,3136645875
2004-01-16,3136645875
2004-01-20,3142778125
2004-01-21,3204100625
2004-01-22,3182637750
2004-01-23,3148910375
2004-01-26,3118249125
2004-01-27,3164241000
2004-01-28,3158108750
2004-01-29,3151976500
2004-01-30,3219431250
2004-02-02,3161174875
2004-02-03,3173439375
2004-02-04,3139712000
2004-02-05,3093720125
2004-02-06,3099852375
2004-02-09,3121315250
2004-02-10,3182637750
2004-02-11,3142778125
2004-02-12,3188770000
2004-02-13,3164241000
2004-02-17,3204100625
2004-02-18,3219431250
2004-02-19,3216365125
2004-02-20,3158108750
2004-02-23,3151976500
2004-02-24,3158108750
2004-02-25,3188770000
2004-02-26,3191836125
2004-02-27,3207166750
2004-03-01,3268489250
2004-03-02,3314481125
2004-03-03,3354340750
2004-03-04,3440192250
2004-03-05,3501514750
2004-03-08,3446324500
2004-03-09,3449390625
2004-03-10,3311415000
2004-03-11,3280753750
2004-03-12,3329811750
2004-03-15,3280753750
2004-03-16,3293018250
2004-03-17,3388068125
2004-03-18,3406464875
2004-03-19,3332877874
2004-03-22,3342076250
2004-03-23,3342076250
2004-03-24,3320613375
2004-03-25,3326745625
2004-03-26,3412597125
2004-03-29,3464721250
2004-03-30,3480051875
2004-03-31,3468222947
2004-04-01,3568355369
2004-04-02,3604767158
2004-04-05,3544080842
2004-04-06,3595664211
2004-04-07,3525874947
2004-04-08,3510703369
2004-04-12,3419673895
2004-04-13,3352918947
2004-04-14,3304369895
2004-04-15,3328644421
2004-04-16,3380227790
2004-04-19,3401468000
2004-04-20,3368090526
2004-04-21,3380227790
2004-04-22,3456085684
2004-04-23,3434845474
2004-04-26,3413605263
2004-04-27,3443948421
2004-04-28,3389330737
2004-04-29,3301335579
2004-04-30,3274026737
2004-05-03,3413605263
2004-05-04,3404502316
2004-05-05,3431811158
2004-05-06,3307404211
2004-05-07,3213340421
2004-05-10,3128379579
2004-05-11,3110173684
2004-05-12,3134448211
2004-05-13,3192100211
2004-05-14,3216374737
2004-05-17,3170860000
2004-05-18,3216374737
2004-05-19,3192100211
2004-05-20,3189065895
2004-05-21,3173894316
2004-05-24,3179962947
2004-05-25,3237614947
2004-05-26,3283129684
2004-05-27,3258855158
2004-05-28,3289198316
2004-06-01,3222443368
2004-06-02,3270992421
2004-06-03,3207271790
2004-06-04,3225477684
2004-06-07,3304369895
2004-06-08,3270992421
2004-06-09,3237614947
2004-06-10,3274026737
2004-06-14,3237614947
2004-06-15,3246717895
2004-06-16,3210306105
2004-06-17,3234580632
2004-06-18,3398433684
2004-06-21,3419673895
2004-06-22,3413605263
2004-06-23,3456085684
2004-06-24,3498566105
2004-06-25,3477325895
2004-06-28,3465188632
2004-06-29,3425742526
2004-06-30,3540379408
2004-07-01,3472650411
2004-07-02,3512672091
2004-07-06,3509593500
2004-07-07,3515750682
2004-07-08,3558850953
2004-07-09,3583479679
2004-07-12,3601951224
2004-07-13,3595794042
2004-07-14,3589636861
2004-07-15,3629658541
2004-07-16,3678915994
2004-07-19,3703544720
2004-07-20,3758959354
2004-07-21,3694308948
2004-07-22,3512672091
2004-07-23,3494200546
2004-07-26,3451100275
2004-07-27,3518829272
2004-07-28,3472650411
2004-07-29,3512672091
2004-07-30,3574243907
2004-08-02,3546536590
2004-08-03,3586558270
2004-08-04,3571165316
2004-08-05,3497279137
2004-08-06,3438785912
2004-08-09,3386449869
2004-08-10,3472650411
2004-08-11,3441864503
2004-08-12,3395685641
2004-08-13,3367978324
2004-08-16,3438785912
2004-08-17,3444943094
2004-08-18,3475729001
2004-08-19,3401842822
2004-08-20,3435707321
2004-08-23,3374135505
