,RHI
2002-12-06,2445048000
2002-12-09,2322795600
2002-12-10,2352679520
2002-12-11,2295628400
2002-12-12,2284761520
2002-12-13,2245369080
2002-12-16,2207335000
2002-12-17,2193751400
2002-12-18,2188317960
2002-12-19,2172017640
2002-12-20,2153000600
2002-12-23,2139417000
2002-12-24,2140775360
2002-12-26,2181526160
2002-12-27,2131266840
2002-12-30,2124475040
2002-12-31,2770114500
2003-01-02,2883601500
2003-01-03,2875004000
2003-01-06,2850930999
2003-01-07,2832016500
2003-01-08,2752919500
2003-01-09,2746041500
2003-01-10,2749480500
2003-01-13,2696176000
2003-01-14,2699615000
2003-01-15,2692737000
2003-01-16,2680700500
2003-01-17,2627396000
2003-01-21,2594725500
2003-01-22,2570652500
2003-01-23,2639432500
2003-01-24,2544860000
2003-01-27,2548299000
2003-01-28,2558616000
2003-01-29,2579250000
2003-01-30,2570652500
2003-01-31,2606762000
2003-02-03,2603323000
2003-02-04,2543140500
2003-02-05,2548299000
2003-02-06,2527665000
2003-02-07,2474360500
2003-02-10,2443409500
2003-02-11,2381507500
2003-02-12,2264581500
2003-02-13,2261142500
2003-02-14,2309288500
2003-02-18,2355715000
2003-02-19,2341959000
2003-02-20,2341959000
2003-02-21,2443409500
2003-02-24,2323044500
2003-02-25,2350556500
2003-02-26,2353995500
2003-02-27,2311008000
2003-02-28,2302410500
2003-03-03,2353995500
2003-03-04,2259423000
2003-03-05,2209557500
2003-03-06,2144216500
2003-03-07,2159692000
2003-03-10,2041046499
2003-03-11,2053083000
2003-03-12,2018693000
2003-03-13,2063400000
2003-03-14,2151094500
2003-03-17,2300691000
2003-03-18,2348837000
2003-03-19,2410739000
2003-03-20,2446848500
2003-03-21,2515628500
2003-03-24,2355715000
2003-03-25,2419336500
2003-03-26,2378068500
2003-03-27,2367751500
2003-03-28,2340239500
2003-03-31,2288654500
2003-04-01,2302410500
2003-04-02,2386666000
2003-04-03,2366032000
2003-04-04,2347117500
2003-04-07,2390105000
2003-04-08,2352276000
2003-04-09,2302410500
2003-04-10,2352276000
2003-04-11,2343678500
2003-04-14,2429653500
2003-04-15,2453726500
2003-04-16,2417617000
2003-04-17,2470921500
2003-04-21,2427934000
2003-04-22,2548299000
2003-04-23,2579250000
2003-04-24,2515628500
2003-04-25,2503592000
2003-04-28,2603323000
2003-04-29,2696176000
2003-04-30,2799346000
2003-05-01,2813102000
2003-05-02,2869845500
2003-05-05,2933467000
2003-05-06,2954101000
2003-05-07,2923150000
2003-05-08,2933467000
2003-05-09,3019442000
2003-05-12,3079624500
2003-05-13,3052112500
2003-05-14,2928308500
2003-05-15,3031478500
2003-05-16,2991929999
2003-05-19,2862967499
2003-05-20,2778712000
2003-05-21,2758078000
2003-05-22,2802785000
2003-05-23,2845772500
2003-05-27,2912833000
2003-05-28,2914552500
2003-05-29,2881882000
2003-05-30,2914552500
2003-06-02,2978174000
2003-06-03,2981613000
2003-06-04,3021161500
2003-06-05,3005686000
2003-06-06,3088222000
2003-06-09,3258452500
2003-06-10,3279086500
2003-06-11,3344427500
2003-06-12,3311757000
2003-06-13,3303159500
2003-06-16,3440719500
2003-06-17,3377098000
2003-06-18,3340988500
