,LUMN
2000-07-12,4189072500
2000-07-13,4189072500
2000-07-14,4215363750
2000-07-17,4140871875
2000-07-18,4215363750
2000-07-19,4162781250
2000-07-20,4250418750
2000-07-21,4066380000
2000-07-24,4092671250
2000-07-25,4127726250
2000-07-26,4127726250
2000-07-27,4031325000
2000-07-28,4040088750
2000-07-31,4110198750
2000-08-01,4180308750
2000-08-02,4338056250
2000-08-03,4259182500
2000-08-04,4338056250
2000-08-07,4294237500
2000-08-08,4145253750
2000-08-09,4092671250
2000-08-10,4224127500
2000-08-11,4215363750
2000-08-14,4189072500
2000-08-15,4294237500
2000-08-16,4189072500
2000-08-17,4118962500
2000-08-18,4118962500
2000-08-21,4083907500
2000-08-22,4031325000
2000-08-23,3978742500
2000-08-24,3961215000
2000-08-25,4066380000
2000-08-28,4022561250
2000-08-29,4022561250
2000-08-30,3987506250
2000-08-31,4040088750
2000-09-01,4154017500
2000-09-05,4066380000
2000-09-06,3934923750
2000-09-07,3961215000
2000-09-08,3996270000
2000-09-11,4057616250
2000-09-12,4110198750
2000-09-13,4022561250
2000-09-14,3917396250
2000-09-15,3873577500
2000-09-18,3803467500
2000-09-19,3794703750
2000-09-20,3593137500
2000-09-21,3636956250
2000-09-22,3689538750
2000-09-25,3768412500
2000-09-26,3698302500
2000-09-27,3715830000
2000-09-28,3891105000
2000-09-29,3820995000
2000-10-02,3797112312
2000-10-03,4025114437
2000-10-04,4305732437
2000-10-05,4551273187
2000-10-06,4630197000
2000-10-09,4542503875
2000-10-10,4481118687
2000-10-11,4332040375
2000-10-12,4182962062
2000-10-13,4402194875
2000-10-16,4419733500
2000-10-17,4279424500
2000-10-18,4296963125
2000-10-19,4463580062
2000-10-20,4481118687
2000-10-23,4507426625
2000-10-24,4744198062
2000-10-25,4402194875
2000-10-26,4393425562
2000-10-27,4779275312
2000-10-30,5007277437
2000-10-31,5401896500
2000-11-01,5217740937
2000-11-02,5051124000
2000-11-03,5208971625
2000-11-06,5147586437
2000-11-07,5086201250
2000-11-08,5112509187
2000-11-09,5042354687
2000-11-10,4998508125
2000-11-13,5138817125
2000-11-14,5112509187
2000-11-15,5112509187
2000-11-16,5130047812
2000-11-17,5007277437
2000-11-20,4928353625
2000-11-21,4937122937
2000-11-22,4831891187
2000-11-24,4875737750
2000-11-27,5016046750
2000-11-28,4919584312
2000-11-29,4998508125
2000-11-30,4937122937
2000-12-01,4928353625
2000-12-04,4972200187
2000-12-05,5059893312
2000-12-06,5147586437
2000-12-07,5173894375
2000-12-08,5112509187
2000-12-11,5121278500
2000-12-12,5182663687
2000-12-13,5182663687
2000-12-14,5200202312
2000-12-15,5147586437
2000-12-18,5051124000
2000-12-19,4849429812
2000-12-20,4691582187
2000-12-21,4735428750
2000-12-22,4796813937
2000-12-26,4840660500
2000-12-27,4928353625
2000-12-28,4980969500
2000-12-29,5016046750
2001-01-02,5051806250
2001-01-03,5315378750
2001-01-04,5359307500
2001-01-05,5271450000
2001-01-08,5262664250
2001-01-09,5324164500
2001-01-10,5359307500
2001-01-11,5482308000
2001-01-12,5464736500
2001-01-16,5403236250
2001-01-17,5482308000
2001-01-18,5482308000
2001-01-19,5412022000
2001-01-22,5201164000
2001-01-23,5209949750
2001-01-24,5139663750
2001-01-25,5157235250
2001-01-26,5104520750
2001-01-29,5129472561
2001-01-30,5090111979
2001-01-31,4411149219
2001-02-01,4353514699
2001-02-02,4280417540
2001-02-05,4357732000
2001-02-06,4322589000
2001-02-07,4212942699
2001-02-08,4197480060
2001-02-09,4090645200
2001-02-12,4210131540
2001-02-13,4118759459
2001-02-14,4047068020
2001-02-15,4076588000
2001-02-16,4083616459
2001-02-20,4076588000
2001-02-21,4013330459
2001-02-22,4076588000
2001-02-23,4076588000
2001-02-26,4222783020
2001-02-27,4179205560
2001-02-28,4051285040
2001-03-01,3954290219
2001-03-02,4009113440
2001-03-05,4013330459
2001-03-06,4055502200
2001-03-07,4013330459
2001-03-08,4062530800
2001-03-09,3964130540
2001-03-12,3907901459
2001-03-13,3921958800
2001-03-14,3830587000
2001-03-15,3865730000
2001-03-16,3787009820
2001-03-19,3848861219
2001-03-20,3743432219
2001-03-21,3680174960
2001-03-22,3718129540
2001-03-23,3924770240
2001-03-26,4024576219
2001-03-27,4160931200
2001-03-28,3937421720
2001-03-29,4062530800
2001-03-30,4041445000
2001-04-02,4059772000
2001-04-03,3893722400
2001-04-04,3854320659
2001-04-05,4003484140
2001-04-06,3940160000
2001-04-09,4024592000
2001-04-10,4103395200
2001-04-11,4083694400
2001-04-12,4123095859
2001-04-16,4052735859
2001-04-17,4109024140
2001-04-18,4151240000
2001-04-19,4109024140
2001-04-20,4037256940
2001-04-23,3942974400
2001-04-24,3881057599
2001-04-25,3944381740
2001-04-26,3854320659
2001-04-27,3855728000
2001-04-30,3824769600
2001-05-01,3910608940
2001-05-02,3986597599
2001-05-03,3938752800
2001-05-04,3958453459
2001-05-07,3966896940
2001-05-08,3900758259
2001-05-09,3861356940
2001-05-10,3912015859
2001-05-11,3864171059
2001-05-14,3868392800
2001-05-15,3866985600
2001-05-16,3940160000
2001-05-17,3903572800
2001-05-18,3948603059
2001-05-21,3944381740
2001-05-22,3968304140
2001-05-23,3881057599
2001-05-24,3857135200
2001-05-25,3920459340
2001-05-29,3964082400
2001-05-30,3902165600
2001-05-31,4002076940
2001-06-01,3948603059
2001-06-04,3972525600
2001-06-05,4065400659
2001-06-06,4066808000
2001-06-07,4066808000
2001-06-08,4075251059
2001-06-11,4101988000
2001-06-12,4094952000
2001-06-13,4054143059
2001-06-14,3989412000
2001-06-15,3945788940
2001-06-18,3921866540
2001-06-19,3947195859
2001-06-20,4080880000
2001-06-21,4130132000
2001-06-22,4130132000
2001-06-25,4123095859
2001-06-26,4125910400
2001-06-27,4135760659
2001-06-28,4232857599
2001-06-29,4263815859
2001-07-02,4362524280
2001-07-03,4362524280
2001-07-05,4359708699
2001-07-06,4335777459
2001-07-09,4358300979
2001-07-10,4372378179
2001-07-11,4418832939
2001-07-12,4490626800
2001-07-13,4487811219
2001-07-16,4490626800
2001-07-17,4553973918
2001-07-18,4451210780
2001-07-19,4524411939
2001-07-20,4439949020
2001-07-23,4441356459
2001-07-24,4338593040
2001-07-25,4489218939
2001-07-26,4506111438
2001-07-27,4394901699
2001-07-30,4345631780
2001-07-31,4358300979
2001-08-01,4432910280
2001-08-02,4410386760
2001-08-03,4372378179
2001-08-06,4340000760
2001-08-07,4330146720
2001-08-08,4228791020
2001-08-09,4199228759
2001-08-10,4289322699
2001-08-13,4289322699
2001-08-14,4310438780
2001-08-15,4886195979
2001-08-16,4914350519
2001-08-17,4912943081
2001-08-20,4950950958
2001-08-21,4983329081
2001-08-22,4919981540
2001-08-23,4905903918
2001-08-24,4927020000
2001-08-27,4952358960
2001-08-28,4911534939
2001-08-29,4908719499
2001-08-30,4905903918
2001-08-31,4934058459
2001-09-04,4919981540
2001-09-05,4946727939
2001-09-06,4841148939
2001-09-07,4805955939
2001-09-10,4796102040
2001-09-17,4539897000
2001-09-18,4566643539
2001-09-19,4392086540
2001-09-20,4237237200
2001-09-21,4218936699
2001-09-24,4390678820
2001-09-25,4497665540
2001-09-26,4420240800
2001-09-27,4601836539
2001-09-28,4715862000
2001-10-01,4693145970
2001-10-02,4748094240
2001-10-03,4804451018
2001-10-04,4769227768
2001-10-05,4801633721
2001-10-08,4797406509
2001-10-09,4829811899
2001-10-10,4888987240
2001-10-11,4818540740
2001-10-12,4776272981
2001-10-15,4684692250
2001-10-16,4610019100
2001-10-17,4445174009
2001-10-18,4381772300
2001-10-19,4428266990
2001-10-22,4370500860
2001-10-23,4335277610
2001-10-24,4404315180
2001-10-25,4425449130
2001-10-26,4473352750
2001-10-29,4428266990
2001-10-30,4416995550
2001-10-31,4452218800
2001-11-01,4646651140
2001-11-02,4700190620
2001-11-05,4674829740
2001-11-06,4719915500
2001-11-07,4669193879
2001-11-08,4745276240
2001-11-09,4755138750
2001-11-12,4762183259
2001-11-13,4804451018
2001-11-14,4894623101
2001-11-15,4938299509
2001-11-16,4896031750
2001-11-19,4910120768
2001-11-20,4846719481
2001-11-21,4746685029
2001-11-23,4763592470
2001-11-26,4829811899
2001-11-27,4738231730
2001-11-28,4704417129
2001-11-29,4741049731
2001-11-30,4762183259
2001-12-03,4818540740
2001-12-04,4846719481
2001-12-05,4917165981
2001-12-06,5015790518
2001-12-07,4872080221
2001-12-10,4748094240
2001-12-11,4712870990
2001-12-12,4698781268
2001-12-13,4635379981
2001-12-14,4579022500
2001-12-17,4618472399
2001-12-18,4628334768
2001-12-19,4615654398
2001-12-20,4664967370
2001-12-21,4621290259
2001-12-24,4638197278
2001-12-26,4621290259
2001-12-27,4628334768
2001-12-28,4628334768
2001-12-31,4626472658
2002-01-02,4637757021
2002-01-03,4640578182
2002-01-04,4581336480
2002-01-07,4527736817
2002-01-08,4429001400
2002-01-09,4407843750
2002-01-10,4386686100
2002-01-11,4393738650
2002-01-14,4366938818
2002-01-15,4330265841
2002-01-16,4232940510
2002-01-17,4271024421
2002-01-18,4283719011
2002-01-22,4324623660
2002-01-23,4355654738
2002-01-24,4513632000
2002-01-25,4396559670
2002-01-28,4259740341
2002-01-29,4062268658
2002-01-30,4210372350
2002-01-31,4341549921
2002-02-01,4496705738
2002-02-04,4375402020
2002-02-05,4320391988
2002-02-06,4237172181
2002-02-07,4347191820
2002-02-08,4434643581
2002-02-11,4486832168
2002-02-12,4485421658
2002-02-13,4485421658
2002-02-14,4421948850
2002-02-15,4506579591
2002-02-19,4464264150
2002-02-20,4540431548
2002-02-21,4489653330
2002-02-22,4605315432
2002-02-25,4653272772
2002-02-26,4613778068
2002-02-27,4570052682
2002-02-28,4682893341
2002-03-01,4651861980
2002-03-04,4732260908
2002-03-05,4780218248
2002-03-06,4915627067
2002-03-07,4807018362
2002-03-08,4936785000
2002-03-11,4960763387
2002-03-12,4964995341
2002-03-13,4867669727
2002-03-14,4781629182
2002-03-15,4760471250
2002-03-18,4799965388
2002-03-19,4732260908
2002-03-20,4732260908
2002-03-21,4729439888
2002-03-22,4732260908
2002-03-25,4732260908
2002-03-26,4756239861
2002-03-27,4712513909
2002-03-28,4795734000
2002-04-01,4829098028
2002-04-02,4833335601
2002-04-03,4827685740
2002-04-04,4840397610
2002-04-05,4814973870
2002-04-08,4733052647
2002-04-09,4661019000
2002-04-10,4662431147
2002-04-11,4689267741
2002-04-12,4682205732
2002-04-15,4673730870
2002-04-16,4810736721
2002-04-17,4772601111
2002-04-18,4724578491
2002-04-19,4646894982
2002-04-22,4555086750
2002-04-23,4560736611
2002-04-24,4555086750
2002-04-25,4611584232
2002-04-26,4468928378
2002-04-29,4251414300
2002-04-30,3912431241
2002-05-01,3966103439
2002-05-02,3992939610
2002-05-03,4088984991
2002-05-06,4021188068
2002-05-07,4025425500
2002-05-08,4131357750
2002-05-09,4131357750
2002-05-10,4104521438
2002-05-13,4083335130
2002-05-14,4187854950
2002-05-15,4231640138
2002-05-16,4302261638
2002-05-17,4300849491
2002-05-20,4237290000
2002-05-21,4194917241
2002-05-22,4166668500
2002-05-23,4221753128
2002-05-24,4240114860
2002-05-28,4211866260
2002-05-29,4357346550
2002-05-30,4347459681
2002-05-31,4378533000
2002-06-03,4252826871
2002-06-04,4364408700
2002-06-05,4307911500
2002-06-06,4209041258
2002-06-07,4336160241
2002-06-10,4282487760
2002-06-11,4159606491
2002-06-12,4216103550
2002-06-13,4118645880
2002-06-14,4137007611
2002-06-17,4378533000
2002-06-18,4300849491
2002-06-19,4151131628
2002-06-20,4108758870
2002-06-21,4107346439
2002-06-24,4117233450
2002-06-25,4115820878
2002-06-26,4067798258
2002-06-27,4135595181
2002-06-28,4166668500
2002-07-01,4028303560
2002-07-02,3940454378
2002-07-03,4012717440
2002-07-05,4179914000
2002-07-08,4160077261
2002-07-09,4104817098
2002-07-10,4033971098
2002-07-11,4094898800
2002-07-12,4012717440
2002-07-15,3861107000
2002-07-16,4016968200
2002-07-17,3971626901
2002-07-18,3752004160
2002-07-19,3522463261
2002-07-22,3257499080
2002-07-23,3142728560
2002-07-24,3351015800
2002-07-25,3372269458
2002-07-26,3275919181
2002-07-29,3451617261
2002-07-30,3556469200
2002-07-31,3769007200
2002-08-01,3726499458
2002-08-02,3726499458
2002-08-05,3553635359
2002-08-06,3584807458
2002-08-07,3640067621
2002-08-08,3784593178
2002-08-09,3771841181
2002-08-12,3743502640
2002-08-13,3740668800
2002-08-14,3967376000
2002-08-15,4007049901
2002-08-16,4024052800
2002-08-19,4267763181
2002-08-20,3953206800
2002-08-21,3937620821
2002-08-22,3992880560
2002-08-23,3973043821
2002-08-26,4082146378
2002-08-27,4038222000
2002-08-28,3941871440
2002-08-29,3988629800
2002-08-30,3832768458
2002-09-03,3661321280
2002-09-04,3669822800
2002-09-05,3620230458
2002-09-06,3712330541
2002-09-09,3695327359
2002-09-10,3804430200
2002-09-11,3845520738
2002-09-12,3804430200
2002-09-13,3742085720
2002-09-16,3691076458
2002-09-17,3659904359
2002-09-18,3634399800
2002-09-19,3482789359
2002-09-20,3485623200
2002-09-23,3414777200
2002-09-24,3322677541
2002-09-25,3410526440
2002-09-26,3434614080
2002-09-27,3297172840
2002-09-30,3195826400
2002-10-01,3355403857
2002-10-02,3420944800
2002-10-03,3618992000
2002-10-04,3584796800
2002-10-07,3476512000
2002-10-08,3438042257
2002-10-09,3312660000
2002-10-10,3405272000
2002-10-11,3403847057
2002-10-14,3510707057
2002-10-15,3571973600
2002-10-16,3537778399
2002-10-17,3661736142
2002-10-18,3661736142
2002-10-21,3715878399
2002-10-22,3798516800
2002-10-23,3818463857
2002-10-24,4003688000
2002-10-25,4029334542
2002-10-28,4193186400
2002-10-29,3976616800
2002-10-30,4167540000
2002-10-31,4036458399
2002-11-01,4204584800
2002-11-04,4210283857
2002-11-05,4194611342
2002-11-06,4196036142
2002-11-07,4087751342
2002-11-08,4076352942
2002-11-11,3906801600
2002-11-12,3983740657
2002-11-13,4039308000
2002-11-14,4153292000
2002-11-15,4217408000
2002-11-18,4237355200
2002-11-19,4254452942
2002-11-20,4307170400
2002-11-21,4495243857
2002-11-22,4412605457
2002-11-25,4399782257
2002-11-26,4261576800
2002-11-27,4398357742
2002-11-29,4399782257
2002-12-02,4476721600
2002-12-03,4378410400
2002-12-04,4314294542
2002-12-05,4233080657
2002-12-06,4327117742
2002-12-09,4131920000
2002-12-10,4144743200
2002-12-11,4156141600
2002-12-12,4137619342
2002-12-13,4161840657
2002-12-16,4238780000
2002-12-17,4274400000
2002-12-18,4290072942
2002-12-19,4298621600
2002-12-20,4385534542
2002-12-23,4367012000
2002-12-24,4265851342
2002-12-26,4271550400
2002-12-27,4190336800
2002-12-30,4190336800
2002-12-31,4198431237
2003-01-02,4331329167
2003-01-03,4309894160
2003-01-06,4441363080
2003-01-07,4435647182
2003-01-08,4404208820
2003-01-09,4454224170
2003-01-10,4454224170
2003-01-13,4501381500
2003-01-14,4512813580
2003-01-15,4484233237
2003-01-16,4401350657
2003-01-17,4352764317
2003-01-21,4244159842
2003-01-22,4347048420
2003-01-23,4205576430
2003-01-24,4108403750
2003-01-27,4065533592
2003-01-28,4079823407
2003-01-29,4089826762
2003-01-30,4179854250
2003-01-31,4334187330
2003-02-03,4169851180
2003-02-04,4132696920
2003-02-05,4065533592
2003-02-06,4019804987
2003-02-07,3985508747
2003-02-10,3929777500
2003-02-11,3852610817
2003-02-12,3731145252
2003-02-13,3749722240
2003-02-14,3872617100
2003-02-18,3949783497
2003-02-19,3858327000
2003-02-20,3741148180
2003-02-21,3912629237
2003-02-24,3926919480
2003-02-25,3939780570
2003-02-26,3872617100
2003-02-27,3886907342
2003-02-28,3915487400
2003-03-03,3896910270
2003-03-04,3932635520
2003-03-05,3962644730
2003-03-06,3781160317
2003-03-07,3782589327
2003-03-10,3676842730
2003-03-11,3645404510
2003-03-12,3681129760
2003-03-13,3824030760
2003-03-14,3851182092
2003-03-17,3956928832
2003-03-18,3966931760
2003-03-19,3999798990
2003-03-20,4019804987
2003-03-21,4175567077
2003-03-24,4002657010
2003-03-25,4051243350
2003-03-26,4052672502
2003-03-27,4038382260
2003-03-28,4006944182
2003-03-31,3955880400
2003-04-01,3997445666
2003-04-02,4083443210
2003-04-03,4013212000
2003-04-04,4013212000
2003-04-07,4017512013
2003-04-08,4036144640
2003-04-09,3971646446
2003-04-10,3987412780
2003-04-11,3953013819
2003-04-14,4053344263
2003-04-15,4120708750
2003-04-16,4130741780
2003-04-17,4200972846
2003-04-21,4157974290
2003-04-22,4113542443
2003-04-23,4243971833
2003-04-24,4165140596
2003-04-25,4110675720
2003-04-28,4228205500
2003-04-29,4206706150
2003-04-30,4221039193
2003-05-01,4357201600
2003-05-02,4490497570
2003-05-05,4464698350
2003-05-06,4491930860
2003-05-07,4479031250
2003-05-08,4500530600
2003-05-09,4612327220
2003-05-12,4656759496
2003-05-13,4685424866
2003-05-14,4658192500
2003-05-15,4718390393
2003-05-16,4729857000
2003-05-19,4653892773
2003-05-20,4672525113
2003-05-21,4775722280
2003-05-22,4794355193
2003-05-23,4924784583
2003-05-27,4868886273
2003-05-28,4782888586
2003-05-29,4715524386
2003-05-30,4825887143
2003-06-02,4880352306
2003-06-03,4887518613
2003-06-04,4939117196
2003-06-05,4959183113
2003-06-06,4877485726
2003-06-09,4787188886
2003-06-10,4790054893
2003-06-11,4880352306
2003-06-12,4843087053
2003-06-13,4804388080
2003-06-16,4941983920
2003-06-17,4920484856
2003-06-18,4993582360
2003-06-19,4982115753
2003-06-20,5013648420
2003-06-23,5046613946
2003-06-24,5096779383
2003-06-25,4972082866
2003-06-26,5010781696
2003-06-27,4973516443
2003-06-30,5014810162
2003-07-01,5026322210
2003-07-02,5062296460
2003-07-03,5007615456
2003-07-07,5070930567
2003-07-08,5079563956
2003-07-09,5047907047
2003-07-10,4937106213
2003-07-11,5024882952
2003-07-14,4914082837
2003-07-15,4860840516
2003-07-16,4863718456
2003-07-17,4796087297
2003-07-18,4849329043
2003-07-21,4741406293
2003-07-22,4873791246
2003-07-23,4803282003
2003-07-24,4728455563
2003-07-25,4768746436
2003-07-28,4762990412
2003-07-29,4731333503
2003-07-30,4722699540
2003-07-31,4934228273
2003-08-01,4892498000
2003-08-04,5007615456
2003-08-05,4829183463
2003-08-06,4952934452
2003-08-07,4928472250
2003-08-08,4935666956
2003-08-11,4961568560
2003-08-12,4996103983
2003-08-13,4870913162
2003-08-14,4878108587
2003-08-15,4837816996
2003-08-18,4935666956
2003-08-19,4932789016
2003-08-20,4947179003
2003-08-21,4965885182
2003-08-22,4921277543
2003-08-25,4921277543
2003-08-26,4921277543
2003-08-27,4885303293
2003-08-28,4987470019
2003-08-29,5001859432
2003-09-02,5017688246
2003-09-03,5083881297
2003-09-04,5122732912
2003-09-05,5127050253
2003-09-08,4980275313
2003-09-09,4922716226
2003-09-10,4960129733
2003-09-11,4921277543
2003-09-12,4961568560
2003-09-15,4865157713
2003-09-16,4865157713
2003-09-17,4868035797
2003-09-18,4996103983
2003-09-19,4960129733
2003-09-22,4955812536
2003-09-23,4931350190
2003-09-24,4896814766
2003-09-25,4880985952
2003-09-26,4928472250
2003-09-29,4937106213
2003-09-30,4832205507
2003-10-01,4932015150
2003-10-02,4997604107
2003-10-03,5028972950
2003-10-06,5044657442
2003-10-07,5070322742
2003-10-08,5051786550
2003-10-09,5090284642
2003-10-10,5090284642
2003-10-13,5047509285
2003-10-14,5026121250
2003-10-15,4977642349
2003-10-16,5004733214
2003-10-17,5095988185
2003-10-20,5222888692
2003-10-21,5095988185
2003-10-22,5084581099
2003-10-23,5070322742
2003-10-24,5110246400
2003-10-27,5068896607
2003-10-28,5104542857
2003-10-29,5044657442
2003-10-30,5113098242
2003-10-31,5097413750
2003-11-03,5101691157
2003-11-04,4976216785
2003-11-05,4840760892
2003-11-06,4709582407
2003-11-07,4776597500
2003-11-10,4758061307
2003-11-11,4745228657
2003-11-12,4813669314
2003-11-13,4766616550
2003-11-14,4758061307
2003-11-17,4666807050
2003-11-18,4549887350
2003-11-19,4548461500
2003-11-20,4482872542
2003-11-21,4566997407
2003-11-24,4604069792
2003-11-25,4656826099
2003-11-26,4655400535
2003-11-28,4662529642
2003-12-01,4712434107
2003-12-02,4678213992
2003-12-03,4518518792
2003-12-04,4574127085
2003-12-05,4537054700
2003-12-08,4408728200
2003-12-09,4301789450
2003-12-10,4377359642
2003-12-11,4492853350
2003-12-12,4498556607
2003-12-15,4477169000
2003-12-16,4384488750
2003-12-17,4424412692
2003-12-18,4497131042
2003-12-19,4499982457
2003-12-22,4569849107
2003-12-23,4548461500
2003-12-24,4512815250
2003-12-26,4494279200
2003-12-29,4595514550
2003-12-30,4646845150
2003-12-31,4651122557
2004-01-02,4668233185
2004-01-05,4748080357
2004-01-06,4719563214
2004-01-07,4702453300
2004-01-08,4696749757
2004-01-09,4591237142
2004-01-12,4648270714
2004-01-13,4598366250
2004-01-14,4512815250
2004-01-15,4484298392
2004-01-16,4468613900
2004-01-20,4528499600
2004-01-21,4525647900
2004-01-22,4534202857
2004-01-23,4509963407
2004-01-26,4501408450
2004-01-27,4447226292
2004-01-28,4462910357
2004-01-29,3992380000
2004-01-30,3764244000
2004-02-02,3852646700
2004-02-03,3754263049
2004-02-04,3909680700
2004-02-05,3888292950
2004-02-06,3925365192
2004-02-09,3896848049
2004-02-10,3852646700
2004-02-11,3849795000
2004-02-12,3886867100
2004-02-13,3905403007
2004-02-17,3962437292
2004-02-18,4107873707
2004-02-19,4134965000
2004-02-20,4184869750
2004-02-23,4146371799
2004-02-24,4115003242
2004-02-25,4040858900
2004-02-26,4063672500
2004-02-27,4073653450
2004-03-01,4164907707
2004-03-02,4241903750
2004-03-03,4193424850
2004-03-04,4144945950
2004-03-05,4193424850
2004-03-08,4127835892
2004-03-09,4126410042
2004-03-10,4033729792
2004-03-11,3992380000
2004-03-12,4095041057
2004-03-15,4080782842
2004-03-16,4124984050
2004-03-17,4142094107
2004-03-18,4110725549
2004-03-19,4045136592
2004-03-22,3935346000
2004-03-23,3893996207
2004-03-24,3846943300
2004-03-25,3915383957
2004-03-26,3886867100
2004-03-29,3921087500
2004-03-30,3908254850
2004-03-31,3795434340
2004-04-01,3748491900
2004-04-02,3751253220
2004-04-05,3765059820
2004-04-06,3731924118
2004-04-07,3671174940
2004-04-08,3660129660
2004-04-12,3672555600
2004-04-13,3809240940
2004-04-14,3798195660
2004-04-15,3777485898
2004-04-16,3755395338
2004-04-19,3783008400
2004-04-20,3754014678
2004-04-21,3693265500
2004-04-22,3734685161
2004-04-23,3730543320
2004-04-26,3713975400
2004-04-27,3690504180
2004-04-28,3720878838
2004-04-29,4006675320
2004-04-30,3987345941
2004-05-03,4048095120
2004-05-04,4079850161
2004-05-05,4106082840
2004-05-06,4106082840
2004-05-07,4100560338
2004-05-10,4027385220
2004-05-11,4041191820
2004-05-12,4045333661
2004-05-13,4128173400
2004-05-14,4157167398
2004-05-17,4119889440
2004-05-18,4063282380
2004-05-19,4071566340
2004-05-20,4063282380
2004-05-21,4093656900
2004-05-24,4135076838
2004-05-25,4164070560
2004-05-26,4107463500
2004-05-27,4103321381
2004-05-28,4126792601
2004-06-01,4101940721
2004-06-02,4148883161
2004-06-03,4089515058
2004-06-04,4141980000
2004-06-07,4133696178
2004-06-08,4114366661
2004-06-09,4045333661
2004-06-10,4071566340
2004-06-14,4066043838
2004-06-15,4056378941
2004-06-16,4038430500
2004-06-17,4078469778
2004-06-18,4112986278
2004-06-21,4093656900
2004-06-22,4110224820
2004-06-23,4146122118
2004-06-24,4132315380
2004-06-25,4128173400
2004-06-28,4100560338
2004-06-29,4136457221
2004-06-30,4051945534
2004-07-01,4062736334
2004-07-02,4076224565
2004-07-06,4069480450
2004-07-07,4127481000
2004-07-08,4053294115
2004-07-09,4099155015
2004-07-12,4181435000
2004-07-13,4193574650
2004-07-14,4197621334
2004-07-15,4234040015
2004-07-16,4197621334
2004-07-19,4174690884
2004-07-20,4169295350
2004-07-21,4149062600
2004-07-22,4105899534
2004-07-23,4045201150
2004-07-26,4050596684
2004-07-27,4095108734
2004-07-28,4068131600
2004-07-29,4192225800
2004-07-30,4180086150
2004-08-02,4185481684
2004-08-03,4093759750
2004-08-04,4138271800
2004-08-05,4054642965
2004-08-06,4034410350
2004-08-09,4134225250
2004-08-10,4181435000
2004-08-11,4150411450
2004-08-12,4128829984
2004-08-13,4159853400
2004-08-16,4201667750
2004-08-17,4204365450
2004-08-18,4255621615
2004-08-19,4217853950
2004-08-20,4201667750
2004-08-23,4166597515
