,GL
2000-10-03,3608186529
2000-10-04,3599676655
2000-10-05,3639389400
2000-10-06,3599676655
2000-10-09,3554290661
2000-10-10,3568473784
2000-10-11,3576983658
2000-10-12,3420969303
2000-10-13,3545780787
2000-10-16,3599676655
2000-10-17,3537270913
2000-10-18,3491884919
2000-10-19,3625206277
2000-10-20,3664919021
2000-10-23,3585493532
2000-10-24,3806750253
2000-10-25,3971274482
2000-10-26,3971274482
2000-10-27,3971274482
2000-10-30,4263446818
2000-10-31,4201041077
2000-11-01,4263446818
2000-11-02,4277629942
2000-11-03,4135798710
2000-11-06,4121615587
2000-11-07,4135798710
2000-11-08,4161328332
2000-11-09,4317342686
2000-11-10,4277629942
2000-11-13,4232243947
2000-11-14,4317342686
2000-11-15,4308832812
2000-11-16,4578312152
2000-11-17,4853464741
2000-11-20,4720143384
2000-11-21,4742836381
2000-11-22,4609515023
2000-11-24,4671920765
2000-11-27,4697450387
2000-11-28,4680430639
2000-11-29,4734326507
2000-11-30,4791059000
2000-12-01,4791059000
2000-12-04,4822261871
2000-12-05,4893177486
2000-12-06,4947073354
2000-12-07,5066211589
2000-12-08,5137127204
2000-12-11,5154146952
2000-12-12,5074721463
2000-12-13,5017988970
2000-12-14,4844954868
2000-12-15,4799568873
2000-12-18,4932890231
2000-12-19,4774039252
2000-12-20,4711633510
2000-12-21,4844954868
2000-12-22,4791059000
2000-12-26,4697450387
2000-12-27,4697450387
2000-12-28,4853464741
2000-12-29,4844954868
2001-01-02,4636337257
2001-01-03,4747064234
2001-01-04,4409204997
2001-01-05,4289960560
2001-01-08,4352421932
2001-01-09,4400687537
2001-01-10,4440435683
2001-01-11,4275764794
2001-01-12,4210464269
2001-01-16,4306995480
2001-01-17,4289960560
2001-01-18,4275764794
2001-01-19,4196268503
2001-01-22,4321191246
2001-01-23,4400687537
2001-01-24,4480183828
2001-01-25,4488701288
2001-01-26,4511414514
2001-01-29,4460309755
2001-01-30,4485862135
2001-01-31,4377974311
2001-02-01,4341065319
2001-02-02,4377974311
2001-02-05,4426239916
2001-02-06,4261569028
2001-02-07,4318352093
2001-02-08,4318352093
2001-02-09,4289960560
2001-02-12,4474505522
2001-02-13,4474505522
2001-02-14,4437596529
2001-02-15,4352421932
2001-02-16,4417722457
2001-02-20,4301317173
2001-02-21,4253051568
2001-02-22,4272925641
2001-02-23,4247373262
2001-02-26,4332547859
2001-02-27,4488701288
2001-02-28,4389330924
2001-03-01,4474505522
2001-03-02,4576715039
2001-03-05,4565358425
2001-03-06,4596589111
2001-03-07,4582393345
2001-03-08,4579554192
2001-03-09,4568197579
2001-03-12,4539806046
2001-03-13,4539806046
2001-03-14,4465988062
2001-03-15,4536966893
2001-03-16,4491540441
2001-03-19,4525610280
2001-03-20,4508575361
2001-03-21,4519931974
2001-03-22,4497218748
2001-03-23,4554001813
2001-03-26,4639176410
2001-03-27,4712994395
2001-03-28,4730029314
2001-03-29,4775455766
2001-03-30,4900378509
2001-04-02,4890988005
2001-04-03,4746217031
2001-04-04,4794474022
2001-04-05,4910858531
2001-04-06,4788796729
2001-04-09,4820021841
2001-04-10,4896665298
2001-04-11,4828537781
2001-04-12,4859762893
2001-04-16,4879633419
2001-04-17,5041436272
2001-04-18,5030081686
2001-04-19,4743378385
2001-04-20,4712153273
2001-04-23,4646864402
2001-04-24,4649703048
2001-04-25,4768926204
2001-04-26,4791635376
2001-04-27,4820021841
2001-04-30,4780280790
2001-05-01,4800151316
2001-05-02,4703637333
2001-05-03,4666734928
2001-05-04,4695121393
2001-05-07,4652541695
2001-05-08,4683766807
2001-05-09,4644025755
2001-05-10,4661057635
2001-05-11,4652541695
2001-05-14,4612800643
2001-05-15,4686605454
2001-05-16,4680928160
2001-05-17,4655380342
2001-05-18,4638348462
2001-05-21,4706475979
2001-05-22,4723507859
2001-05-23,4703637333
2001-05-24,4734862445
2001-05-25,4732023798
2001-05-29,4794474022
2001-05-30,4763248910
2001-05-31,4783119436
2001-06-01,4780280790
2001-06-04,4828537781
2001-06-05,4882472066
2001-06-06,4859762893
2001-06-07,4862601540
2001-06-08,4871117479
2001-06-11,4862601540
2001-06-12,4871117479
2001-06-13,4871117479
2001-06-14,4856924247
2001-06-15,4862601540
2001-06-18,4910858531
2001-06-19,4947760936
2001-06-20,4987501988
2001-06-21,5041436272
2001-06-22,4964792815
2001-06-25,4950599583
2001-06-26,5001695221
2001-06-27,5032920333
2001-06-28,5049952212
2001-06-29,5072661384
2001-07-02,5088185786
2001-07-03,5068485952
2001-07-05,5085371524
2001-07-06,5003757924
2001-07-09,5031900545
2001-07-10,5003757924
2001-07-11,5000943662
2001-07-12,5057228903
2001-07-13,5116328406
2001-07-16,5133213979
2001-07-17,5116328406
2001-07-18,5124771193
2001-07-19,5113514144
2001-07-20,5015014973
2001-07-23,4955915470
2001-07-24,4975615304
2001-07-25,5031900545
2001-07-26,5048786117
2001-07-27,5071300214
2001-07-30,5068485952
2001-07-31,5192313482
2001-08-01,5203570530
2001-08-02,5181056434
2001-08-03,5164170861
2001-08-06,5102257096
2001-08-07,5138842503
2001-08-08,5186684958
2001-08-09,5161356599
2001-08-10,5217641840
2001-08-13,5254227247
2001-08-14,5265484295
2001-08-15,5302069702
2001-08-16,5333026584
2001-08-17,5316141012
2001-08-20,5333026584
2001-08-21,5347097895
2001-08-22,5302069702
2001-08-23,5333026584
2001-08-24,5383683301
2001-08-27,5302069702
2001-08-28,5268298557
2001-08-29,5240155937
2001-08-30,5299255440
2001-08-31,5282369867
2001-09-04,5237341675
2001-09-05,5181056434
2001-09-06,5088185786
2001-09-07,4936215635
2001-09-10,4995315138
2001-09-17,4778616960
2001-09-18,4705446147
2001-09-19,4573175831
2001-09-20,4466233873
2001-09-21,4452162563
2001-09-24,4660417954
2001-09-25,4674489265
2001-09-26,4677303527
2001-09-27,4767359912
2001-09-28,4877116132
2001-10-01,4837716463
2001-10-02,4924958587
2001-10-03,4998129400
2001-10-04,4986872352
2001-10-05,4902444491
2001-10-08,4764545650
2001-10-09,4820830891
2001-10-10,4913701539
2001-10-11,4882744656
2001-10-12,4868673346
2001-10-15,4874301870
2001-10-16,4894001704
2001-10-17,4851787774
2001-10-18,4784245485
2001-10-19,4770174174
2001-10-22,4891187442
2001-10-23,4815202367
2001-10-24,4635089596
2001-10-25,4722331719
2001-10-26,4789874009
2001-10-29,4727960244
2001-10-30,4682932051
2001-10-31,4632275334
2001-11-01,4713888933
2001-11-02,4823645153
2001-11-05,4936215635
2001-11-06,4953101208
2001-11-07,4919330063
2001-11-08,4941844159
2001-11-09,4882744656
2001-11-12,4877116132
2001-11-13,4941844159
2001-11-14,4936215635
2001-11-15,4936215635
2001-11-16,4930587111
2001-11-19,4947472683
2001-11-20,4953101208
2001-11-21,4916515801
2001-11-23,4944658421
2001-11-26,4930587111
2001-11-27,4930587111
2001-11-28,4922144325
2001-11-29,4967172518
2001-11-30,4933401373
2001-12-03,4902444491
2001-12-04,4930587111
2001-12-05,4899630229
2001-12-06,4851787774
2001-12-07,4891187442
2001-12-10,4792688271
2001-12-11,4787059747
2001-12-12,4801131057
2001-12-13,4778616960
2001-12-14,4795502533
2001-12-17,4812388105
2001-12-18,4851787774
2001-12-19,4860230560
2001-12-20,4894001704
2001-12-21,4863044822
2001-12-24,4857416298
2001-12-26,4848973512
2001-12-27,4837716463
2001-12-28,4865859084
2001-12-31,4825496025
2002-01-02,4759242075
2002-01-03,4737157425
2002-01-04,4775805562
2002-01-07,4715072775
2002-01-08,4695748706
2002-01-09,4706791031
2002-01-10,4734396843
2002-01-11,4681945800
2002-01-14,4643297662
2002-01-15,4690227543
2002-01-16,4654339987
2002-01-17,4673664056
2002-01-18,4654339987
2002-01-22,4632255337
2002-01-23,4676424637
2002-01-24,4695748706
2002-01-25,4717833356
2002-01-28,4615691850
2002-01-29,4524592668
2002-01-30,4566001387
2002-01-31,4659861150
2002-02-01,4643297662
2002-02-04,4568761968
2002-02-05,4549437900
2002-02-06,4538395575
2002-02-07,4538395575
2002-02-08,4599128362
2002-02-11,4593607200
2002-02-12,4593607200
2002-02-13,4709551612
2002-02-14,4726115100
2002-02-15,4698509287
2002-02-19,4687466962
2002-02-20,4717833356
2002-02-21,4651579406
2002-02-22,4687466962
2002-02-25,4836538350
2002-02-26,4880707650
2002-02-27,4916595206
2002-02-28,4930398112
2002-03-01,4985609737
2002-03-04,5134681125
2002-03-05,5104314731
2002-03-06,5126399381
2002-03-07,5043581943
2002-03-08,5054624268
2002-03-11,5018736712
2002-03-12,5002173225
2002-03-13,4958003925
2002-03-14,4991130900
2002-03-15,5029779037
2002-03-18,5004933806
2002-03-19,4988370318
2002-03-20,4955243343
2002-03-21,4955243343
2002-03-22,4924876950
2002-03-25,4875186487
2002-03-26,4839298931
2002-03-27,4930398112
2002-03-28,4944201018
2002-04-01,4794754500
2002-04-02,4827316500
2002-04-03,4821889500
2002-04-04,4827316500
2002-04-05,4892440500
2002-04-08,4895154000
2002-04-09,4957564500
2002-04-10,5036256000
2002-04-11,4960278000
2002-04-12,5006407500
2002-04-15,4946710500
2002-04-16,4990126500
2002-04-17,5022688500
2002-04-18,4938570000
2002-04-19,4981986000
2002-04-22,4965705000
2002-04-23,4892440500
2002-04-24,4938570000
2002-04-25,4884300000
2002-04-26,4897867500
2002-04-29,4900581000
2002-04-30,4930429500
2002-05-01,4976559000
2002-05-02,4957564500
2002-05-03,4957564500
2002-05-06,4900581000
2002-05-07,4857165000
2002-05-08,4895154000
2002-05-09,4859878500
2002-05-10,4827316500
2002-05-13,4903294500
2002-05-14,4895154000
2002-05-15,4887013500
2002-05-16,4922289000
2002-05-17,4968418500
2002-05-20,4876159500
2002-05-21,4873446000
2002-05-22,4897867500
2002-05-23,4919575500
2002-05-24,4916862000
2002-05-28,4895154000
2002-05-29,4900581000
2002-05-30,4851738000
2002-05-31,4868019000
2002-06-03,4846311000
2002-06-04,4794754500
2002-06-05,4887013500
2002-06-06,4835457000
2002-06-07,4859878500
2002-06-10,4887013500
2002-06-11,4764906000
2002-06-12,4756765500
2002-06-13,4678074000
2002-06-14,4694355000
2002-06-17,4770333000
2002-06-18,4748625000
2002-06-19,4705209000
2002-06-20,4656366000
2002-06-21,4645512000
2002-06-24,4558680000
2002-06-25,4539685500
2002-06-26,4515264000
2002-06-27,4547826000
2002-06-28,4607523000
2002-07-01,4468142577
2002-07-02,4379637952
2002-07-03,4334044661
2002-07-05,4449368869
2002-07-08,4422549286
2002-07-09,4280405494
2002-07-10,4157035411
2002-07-11,4216038494
2002-07-12,4202628703
2002-07-15,4205310661
2002-07-16,4143625619
2002-07-17,4089986453
2002-07-18,3958570495
2002-07-19,3918341120
2002-07-22,3695738578
2002-07-23,3727922078
2002-07-24,3864701953
2002-07-25,3853974120
2002-07-26,3963934411
2002-07-29,4245540036
2002-07-30,4229448286
2002-07-31,4320634869
2002-08-01,4226766328
2002-08-02,4130215828
2002-08-05,4020255536
2002-08-06,4079258619
2002-08-07,4130215828
2002-08-08,4250903953
2002-08-09,4328680744
2002-08-12,4317952911
2002-08-13,4207992619
2002-08-14,4374274036
2002-08-15,4376955994
2002-08-16,4379637952
2002-08-19,4441322994
2002-08-20,4409139494
2002-08-21,4435959077
2002-08-22,4511053911
2002-08-23,4409139494
2002-08-26,4457414744
2002-08-27,4444004952
2002-08-28,4387683827
2002-08-29,4435959077
2002-08-30,4452050827
2002-09-03,4317952911
2002-09-04,4331362702
2002-09-05,4325998786
2002-09-06,4344772494
2002-09-09,4398411661
2002-09-10,4385001869
2002-09-11,4376955994
2002-09-12,4272359619
2002-09-13,4323316827
2002-09-16,4296497244
2002-09-17,4173127161
2002-09-18,4173127161
2002-09-19,4100714286
2002-09-20,4098032328
2002-09-23,4124851911
2002-09-24,4012209661
2002-09-25,4135579744
2002-09-26,4248221994
2002-09-27,4111442119
2002-09-30,4047768144
2002-10-01,4273677726
2002-10-02,4119527659
2002-10-03,4031821586
2002-10-04,3880329278
2002-10-07,3819200803
2002-10-08,4034479346
2002-10-09,3835147362
2002-10-10,4039794865
2002-10-11,4103581100
2002-10-14,4106238860
2002-10-15,4271019966
2002-10-16,4228495809
2002-10-17,4326832921
2002-10-18,4281651005
2002-10-21,4146105256
2002-10-22,4191287173
2002-10-23,4223180290
2002-10-24,4263046687
2002-10-25,4334806201
2002-10-28,4294939804
2002-10-29,4223180290
2002-10-30,4225838050
2002-10-31,4228495809
2002-11-01,4252415648
2002-11-04,4332148441
2002-11-05,4318859642
2002-11-06,4372014838
2002-11-07,4271019966
2002-11-08,4257731167
2002-11-11,4209891491
2002-11-12,4215207011
2002-11-13,4249757888
2002-11-14,4345437240
2002-11-15,4379988117
2002-11-18,4300255324
2002-11-19,4337463960
2002-11-20,4411881234
2002-11-21,4483640748
2002-11-22,4454405391
2002-11-25,4411881234
2002-11-26,4313544122
2002-11-27,4433143313
2002-11-29,4387961396
2002-12-02,4409223475
2002-12-03,4441116592
2002-12-04,4457063151
2002-12-05,4390619156
2002-12-06,4409223475
2002-12-09,4318859642
2002-12-10,4403907955
2002-12-11,4465036430
2002-12-12,4414538994
2002-12-13,4419854514
2002-12-16,4422512273
2002-12-17,4427827793
2002-12-18,4358726039
2002-12-19,4316201882
2002-12-20,4342779480
2002-12-23,4342779480
2002-12-24,4345437240
2002-12-26,4377330357
2002-12-27,4305570843
2002-12-30,4342779480
2002-12-31,4275732354
2003-01-02,4378413119
2003-01-03,4381045959
2003-01-06,4438968442
2003-01-07,4388944480
2003-01-08,4375780279
2003-01-09,4460031163
2003-01-10,4417905721
2003-01-13,4457398323
2003-01-14,4504789445
2003-01-15,4433702762
2003-01-16,4404741520
2003-01-17,4407374360
2003-01-21,4359983238
2003-01-22,4309959276
2003-01-23,4315224956
2003-01-24,4215177032
2003-01-27,4178317270
2003-01-28,4215177032
2003-01-29,4241505433
2003-01-30,4120394787
2003-01-31,4202012831
2003-02-03,4202012831
2003-02-04,4109863427
2003-02-05,4125660468
2003-02-06,4059839465
2003-02-07,4175684430
2003-02-10,4159887389
2003-02-11,4099332066
2003-02-12,4038776744
2003-02-13,4057206624
2003-02-14,4159887389
2003-02-18,4209911351
2003-02-19,4204645671
2003-02-20,4212544192
2003-02-21,4265200994
2003-02-24,4225708392
2003-02-25,4220442712
2003-02-26,4136191828
2003-02-27,4238872593
2003-02-28,4249403953
2003-03-03,4254669633
2003-03-04,4173051590
2003-03-05,4188848630
2003-03-06,4133558988
2003-03-07,4170418750
2003-03-10,4046675264
2003-03-11,3899236217
2003-03-12,3938728819
2003-03-13,4059839465
2003-03-14,4115129107
2003-03-17,4278365195
2003-03-18,4267833834
2003-03-19,4304693596
2003-03-20,4294162235
2003-03-21,4386311639
2003-03-24,4223075552
2003-03-25,4286263715
2003-03-26,4259935314
2003-03-27,4233606912
2003-03-28,4217809872
2003-03-31,4129599600
2003-04-01,4197085200
2003-04-02,4261975200
2003-04-03,4248997200
2003-04-04,4303504800
2003-04-07,4293122400
2003-04-08,4277548800
2003-04-09,4261975200
2003-04-10,4287931200
2003-04-11,4326865200
2003-04-14,4433284800
2003-04-15,4474814400
2003-04-16,4378777200
2003-04-17,4402137600
2003-04-21,4355416800
2003-04-22,4511152800
2003-04-23,4511152800
2003-04-24,4438476000
2003-04-25,4378777200
2003-04-28,4474814400
2003-04-29,4454049600
2003-04-30,4469623200
2003-05-01,4480005600
2003-05-02,4526726400
2003-05-05,4461836400
2003-05-06,4508557200
2003-05-07,4472218800
2003-05-08,4430689200
2003-05-09,4490388000
2003-05-12,4542300000
2003-05-13,4529322000
2003-05-14,4516344000
2003-05-15,4498174800
2003-05-16,4513748400
2003-05-19,4446262800
2003-05-20,4321674000
2003-05-21,4339843200
2003-05-22,4308696000
2003-05-23,4303504800
2003-05-27,4363203600
2003-05-28,4389159600
2003-05-29,4324269600
2003-05-30,4454049600
2003-06-02,4498174800
2003-06-03,4399542000
2003-06-04,4425498000
2003-06-05,4425498000
2003-06-06,4482601200
2003-06-09,4396946400
2003-06-10,4409924400
2003-06-11,4487792400
2003-06-12,4480005600
2003-06-13,4433284800
2003-06-16,4529322000
2003-06-17,4490388000
2003-06-18,4443667200
2003-06-19,4373586000
2003-06-20,4350225600
2003-06-23,4298313600
2003-06-24,4321674000
2003-06-25,4261975200
2003-06-26,4303504800
2003-06-27,4241210400
2003-06-30,4231245599
2003-07-01,4244021100
2003-07-02,4290012900
2003-07-03,4277237399
2003-07-07,4328339400
2003-07-08,4376886300
2003-07-09,4338559800
2003-07-10,4302788400
2003-07-11,4353890400
2003-07-14,4387106700
2003-07-15,4404992400
2003-07-16,4392216900
2003-07-17,4420323000
2003-07-18,4445874000
2003-07-21,4440763800
2003-07-22,4417767900
2003-07-23,4440763800
2003-07-24,4502086200
2003-07-25,4632396300
2003-07-28,4632396300
2003-07-29,4614510600
2003-07-30,4617065700
2003-07-31,4614510600
2003-08-01,4563408600
2003-08-04,4558298400
2003-08-05,4553188200
2003-08-06,4568518800
2003-08-07,4581294300
2003-08-08,4611955500
2003-08-11,4583849400
2003-08-12,4665612600
2003-08-13,4619620800
2003-08-14,4655392200
2003-08-15,4647726900
2003-08-18,4678388100
2003-08-19,4668167700
2003-08-20,4665612600
2003-08-21,4617065700
2003-08-22,4571073900
2003-08-25,4563408600
2003-08-26,4604290200
2003-08-27,4558298400
2003-08-28,4573629000
2003-08-29,4583849400
2003-09-02,4749930900
2003-09-03,4729490100
2003-09-04,4752486000
2003-09-05,4744820700
2003-09-08,4765261500
2003-09-09,4775481900
2003-09-10,4752486000
2003-09-11,4747375800
2003-09-12,4749930900
2003-09-15,4760151300
2003-09-16,4757596200
2003-09-17,4701384000
2003-09-18,4739710500
2003-09-19,4732045200
2003-09-22,4686053400
2003-09-23,4701384000
2003-09-24,4675833000
2003-09-25,4637506500
2003-09-26,4619620800
2003-09-29,4637506500
2003-09-30,4540860276
2003-10-01,4643947359
2003-10-02,4643947359
2003-10-03,4656518954
2003-10-06,4671604869
2003-10-07,4686690783
2003-10-08,4679147826
2003-10-09,4671604869
2003-10-10,4694233741
2003-10-13,4747034441
2003-10-14,4762120356
2003-10-15,4782234909
2003-10-16,4769663313
2003-10-17,4767148994
2003-10-20,4714348293
2003-10-21,4719376931
2003-10-22,4643947359
2003-10-23,4762120356
2003-10-24,4817435376
2003-10-27,4857664481
2003-10-28,4897893587
2003-10-29,4905436544
2003-10-30,4855150162
2003-10-31,4902922225
2003-11-03,4943151330
2003-11-04,4897893587
2003-11-05,4865207439
2003-11-06,4865207439
2003-11-07,4872750396
2003-11-10,4880293353
2003-11-11,4887836310
2003-11-12,4923036778
2003-11-13,4950694288
2003-11-14,4930579735
2003-11-17,4923036778
2003-11-18,4882807672
2003-11-19,4918008140
2003-11-20,4887836310
2003-11-21,4890350630
2003-11-24,4877779034
2003-11-25,4923036778
2003-11-26,4935608373
2003-11-28,4928065416
2003-12-01,4993437712
2003-12-02,4978351798
2003-12-03,4988409074
2003-12-04,4978351798
2003-12-05,4945665650
2003-12-08,4973323160
2003-12-09,4943151330
2003-12-10,4950694288
2003-12-11,5016066584
2003-12-12,5023609541
2003-12-15,4948179969
2003-12-16,5016066584
2003-12-17,4993437712
2003-12-18,5023609541
2003-12-19,5028638180
2003-12-22,4988409074
2003-12-23,5003494989
2003-12-24,5000980670
2003-12-26,4983380436
2003-12-29,5038695456
2003-12-30,5078924561
2003-12-31,5118696000
2004-01-02,5121225000
2004-01-05,5143986000
2004-01-06,5131341000
2004-01-07,5126283000
2004-01-08,5126283000
2004-01-09,5121225000
2004-01-12,5108580000
2004-01-13,5070645000
2004-01-14,5103522000
2004-01-15,5078232000
2004-01-16,5098464000
2004-01-20,5136399000
2004-01-21,5229972000
2004-01-22,5257791000
2004-01-23,5260320000
2004-01-26,5295726000
2004-01-27,5285610000
2004-01-28,5232501000
2004-01-29,5283081000
2004-01-30,5331132000
2004-02-02,5381712000
2004-02-03,5417118000
2004-02-04,5381712000
2004-02-05,5386770000
2004-02-06,5452524000
2004-02-09,5467698000
2004-02-10,5609322000
2004-02-11,5654844000
2004-02-12,5637141000
2004-02-13,5624496000
2004-02-17,5748417000
2004-02-18,5796468000
2004-02-19,5743359000
2004-02-20,5768649000
2004-02-23,5786352000
2004-02-24,5798997000
2004-02-25,5806584000
2004-02-26,5829345000
2004-02-27,5857164000
2004-03-01,5867280000
2004-03-02,5890041000
2004-03-03,5968440000
2004-03-04,5958324000
2004-03-05,5955795000
2004-03-08,5986143000
2004-03-09,5983614000
2004-03-10,5884983000
2004-03-11,5778765000
2004-03-12,5867280000
2004-03-15,5826816000
2004-03-16,5912802000
2004-03-17,5978556000
2004-03-18,5986143000
2004-03-19,5938092000
2004-03-22,5917860000
2004-03-23,5912802000
2004-03-24,5841990000
2004-03-25,5955795000
2004-03-26,5940621000
2004-03-29,5991201000
2004-03-30,6031665000
2004-03-31,5972086082
2004-04-01,6042022682
2004-04-02,6044520418
2004-04-05,6094475132
2004-04-06,6086981925
2004-04-07,6042022682
2004-04-08,6039524946
2004-04-12,6049515889
2004-04-13,5954601932
2004-04-14,5904647218
2004-04-15,5879669861
2004-04-16,5919633632
2004-04-19,5829715147
2004-04-20,5724810247
2004-04-21,5677353268
2004-04-22,5687344211
2004-04-23,5699832890
2004-04-26,5649878176
2004-04-27,5727307983
2004-04-28,5644882704
2004-04-29,5649878176
2004-04-30,5777262697
2004-05-03,5797244582
2004-05-04,5777262697
2004-05-05,5774764961
2004-05-06,5752285340
2004-05-07,5552466483
2004-05-10,5527489126
2004-05-11,5500014033
2004-05-12,5654873647
2004-05-13,5707326097
2004-05-14,5747289868
2004-05-17,5692339683
2004-05-18,5752285340
2004-05-19,5704828361
2004-05-20,5669860061
2004-05-21,5694837418
2004-05-24,5739796661
2004-05-25,5749787604
2004-05-26,5789751375
2004-05-27,5912140425
2004-05-28,6014547589
2004-06-01,6014547589
2004-06-02,6074493246
2004-06-03,5997063439
2004-06-04,6017045325
2004-06-07,6067000039
2004-06-08,6099470603
2004-06-09,5979579289
2004-06-10,6002058911
2004-06-14,5927126839
2004-06-15,5949606461
2004-06-16,5924629104
2004-06-17,5937117782
2004-06-18,5887163068
2004-06-21,5884665332
2004-06-22,5884665332
2004-06-23,5922131368
2004-06-24,5919633632
2004-06-25,5899651747
2004-06-28,5909642689
2004-06-29,5949606461
2004-06-30,5857887068
2004-07-01,5862787016
2004-07-02,5840737253
2004-07-06,5796637726
2004-07-07,5862787016
2004-07-08,5848087174
2004-07-09,5852987121
2004-07-12,5865236989
2004-07-13,5830937358
2004-07-14,5781937884
2004-07-15,5703538727
2004-07-16,5661889174
2004-07-19,5686388911
2004-07-20,5674139042
2004-07-21,5693738832
2004-07-22,5654539253
2004-07-23,5615339674
2004-07-26,5505090858
2004-07-27,5571240148
2004-07-28,5622689595
2004-07-29,5691288858
2004-07-30,5693738832
2004-08-02,5713338621
2004-08-03,5737838358
2004-08-04,5705988700
2004-08-05,5622689595
2004-08-06,5532040569
2004-08-09,5483041095
2004-08-10,5541840464
2004-08-11,5507540832
2004-08-12,5497740937
2004-08-13,5505090858
2004-08-16,5568790174
2004-08-17,5566340200
2004-08-18,5647189332
2004-08-19,5607989753
2004-08-20,5625139569
2004-08-23,5595739885
2004-08-24,5583490016
