,S
2021-11-30,14343979346
2021-12-01,12908784081
2021-12-02,13299476126
2021-12-03,12286866133
2021-12-06,11962618314
2021-12-07,13565253027
2021-12-08,12916757388
2021-12-09,12786526707
2021-12-10,13368578120
2021-12-13,12534038651
2021-12-14,12350652589
2021-12-15,13312764971
2021-12-16,12589851800
2021-12-17,12749317940
2021-12-20,13062934684
2021-12-21,13368578120
2021-12-22,13738008012
2021-12-23,13714088091
2021-12-27,14139331133
2021-12-28,13878869770
2021-12-29,13456284497
2021-12-30,13902789691
2021-12-31,13419075731
2022-01-03,12656296025
2022-01-04,12374572510
2022-01-05,11590530652
2022-01-06,11518770889
2022-01-07,11781890021
2022-01-10,12191186448
2022-01-11,12991174920
2022-01-12,12488856577
2022-01-13,11218442991
2022-01-14,11343358134
2022-01-18,10950008321
2022-01-19,10997848163
2022-01-20,11120105537
2022-01-21,10660311499
2022-01-24,11027083622
2022-01-25,10434401133
2022-01-26,10612471656
2022-01-27,10216464074
2022-01-28,10774595566
2022-01-31,12064356783
2022-02-01,12641289152
2022-02-02,11832505457
2022-02-03,11026417708
2022-02-04,11552127110
2022-02-07,11773194653
2022-02-08,11684228447
2022-02-09,12552322946
2022-02-10,12517275652
2022-02-11,12153322990
2022-02-14,11916079773
2022-02-15,12398654044
2022-02-16,12099404077
2022-02-17,11123471751
2022-02-18,10511492089
2022-02-22,10112492133
2022-02-23,9190478720
2022-02-24,10549235328
2022-02-25,10465661013
2022-02-28,11188174447
2022-03-01,11328363621
2022-03-02,11530559545
2022-03-03,11066856893
2022-03-04,9904904318
2022-03-07,9144647644
2022-03-08,8705208503
2022-03-09,9338755731
2022-03-10,9500512470
2022-03-11,8872357134
2022-03-14,7966519395
2022-03-15,8327776112
2022-03-16,9449289503
2022-03-17,10155627263
2022-03-18,10937451502
2022-03-21,10373998861
2022-03-22,11126167697
2022-03-23,11242093360
2022-03-24,11425417664
2022-03-25,10913187991
2022-03-28,10907796099
2022-03-29,10994066360
2022-03-30,10479140741
2022-03-31,10444093448
2022-04-01,10481836687
2022-04-04,11198958230
2022-04-05,10303904274
2022-04-06,9557127329
2022-04-07,9511296253
2022-04-08,9171607101
2022-04-11,9179694938
2022-04-12,9176998992
2022-04-13,10338951567
2022-04-14,10007350252
2022-04-18,9837505676
2022-04-19,10225721850
2022-04-20,9767411089
2022-04-21,9039505764
2022-04-22,8810350384
2022-04-25,9538255709
2022-04-26,9195870612
2022-04-27,8977499014
2022-04-28,9416938155
2022-04-29,8969411177
2022-05-02,9373928100
2022-05-03,9007737360
2022-05-04,9099285045
2022-05-05,8125550578
2022-05-06,7243363796
2022-05-09,6086533960
2022-05-10,6022727998
2022-05-11,5448474338
2022-05-12,5967244552
2022-05-13,6671884309
2022-05-16,6219694229
2022-05-17,6369499531
2022-05-18,5989437930
2022-05-19,6516530662
2022-05-20,6871624712
2022-05-23,6669110137
2022-05-24,6128146544
2022-05-25,6552594901
2022-05-26,6866076368
2022-05-27,7481942612
2022-05-31,6599755830
2022-06-01,6835560473
2022-06-02,6985365775
2022-06-03,6633045897
2022-06-06,6400015426
2022-06-07,6727367754
2022-06-08,7126848561
2022-06-09,6771754511
2022-06-10,6250210124
2022-06-13,5864600178
2022-06-14,6047695548
2022-06-15,6130920716
2022-06-16,6031050514
2022-06-17,6455498872
2022-06-21,6563691590
2022-06-22,6472143905
2022-06-23,7101881011
2022-06-24,7348782343
2022-06-27,7040849221
2022-06-28,6857753851
2022-06-29,6838334645
2022-06-30,6472143905
2022-07-01,6513756489
2022-07-05,6988139948
2022-07-06,6963172397
2022-07-07,7265557175
2022-07-08,7437555855
2022-07-11,7290524725
2022-07-12,6605304174
2022-07-13,6602530002
2022-07-14,6239113435
2022-07-15,6613626691
2022-07-18,6802270406
2022-07-19,6940979019
2022-07-20,7282202208
2022-07-21,7346008170
2022-07-22,7090784322
2022-07-25,6832786301
2022-07-26,6383370393
2022-07-27,6805044578
2022-07-28,6960398225
2022-07-29,6893818090
2022-08-01,6962554895
2022-08-02,7072002554
2022-08-03,7605209096
2022-08-04,7369475677
2022-08-05,7397539179
2022-08-08,7650110699
2022-08-09,7046745402
2022-08-10,7888650468
2022-08-11,7650110699
2022-08-12,7869006016
2022-08-15,8110352135
2022-08-16,8031774329
2022-08-17,7784815510
2022-08-18,7810072662
2022-08-19,7403151880
2022-08-22,7355443926
2022-08-23,7796040911
2022-08-24,7970034624
2022-08-25,8085094983
2022-08-26,7790428210
2022-08-29,7835329814
2022-08-30,7821298063
2022-08-31,7664142450
2022-09-01,7212320065
2022-09-02,7097259706
2022-09-06,7015875550
2022-09-07,7212320065
2022-09-08,7473310635
2022-09-09,7871812367
2022-09-12,8231025195
2022-09-13,7784815510
2022-09-14,7860586966
2022-09-15,7818491712
2022-09-16,7428409032
2022-09-19,7711850404
2022-09-20,7563113842
2022-09-21,7504180488
2022-09-22,6985005697
2022-09-23,6956942195
2022-09-26,7091647005
2022-09-27,7229158166
2022-09-28,7445247133
2022-09-29,7299316922
2022-09-30,7173031162
2022-10-03,7304929622
2022-10-04,7753945657
2022-10-05,7770783759
2022-10-06,7767977408
2022-10-07,7448053483
2022-10-10,6760497679
2022-10-11,6482669008
2022-10-12,6300256243
2022-10-13,6112230779
2022-10-14,5814757655
2022-10-17,6322707045
2022-10-18,6434961054
2022-10-19,6075748226
2022-10-20,6364802298
2022-10-21,6353576898
2022-10-24,6274999091
2022-10-25,6653856371
2022-10-26,6617373818
2022-10-27,6535989662
2022-10-28,6572472215
2022-10-31,6476168896
2022-11-01,6294700065
2022-11-02,5911914250
2022-11-03,5665230059
2022-11-04,5001734646
2022-11-07,4718189598
2022-11-08,4817430365
2022-11-09,4383606442
2022-11-10,5047101854
2022-11-11,5401533164
2022-11-14,5166190774
2022-11-15,5472419426
2022-11-16,4942190186
2022-11-17,4794746761
2022-11-18,4718189598
2022-11-21,4587758876
2022-11-22,4630290633
2022-11-23,4672822391
2022-11-25,4627455183
2022-11-28,4553733470
2022-11-29,4380770991
2022-11-30,4111403196
2022-12-01,4261682071
2022-12-02,4190795809
2022-12-05,4040516934
2022-12-06,3997985176
2022-12-07,3961124320
2022-12-08,4321226531
2022-12-09,4358087387
2022-12-12,4502695362
2022-12-13,4431809100
2022-12-14,4261682071
2022-12-15,4094390493
2022-12-16,3963959771
2022-12-19,3734288282
2022-12-20,3876060806
2022-12-21,3861883553
2022-12-22,3810845445
2022-12-23,3762642786
2022-12-27,3708769227
2022-12-28,3751300985
2022-12-29,4071706889
2022-12-30,4136922250
2023-01-03,4131251349
2023-01-04,4250340269
2023-01-05,3759807336
2023-01-06,3765478237
2023-01-09,3867554454
2023-01-10,4040516934
2023-01-11,4080213240
2023-01-12,4026339681
2023-01-13,4060365087
2023-01-17,4114238646
2023-01-18,3972466122
2023-01-19,3915757112
2023-01-20,4077377790
2023-01-23,4202137611
2023-01-24,4111403196
2023-01-25,4077377790
2023-01-26,4117074096
2023-01-27,4258846620
2023-01-30,4136922250
2023-01-31,4350457638
2023-02-01,4560917153
2023-02-02,4826153801
2023-02-03,4529204075
2023-02-06,4344691624
2023-02-07,4632992329
2023-02-08,4540736103
2023-02-09,4598396244
2023-02-10,4396585751
2023-02-13,4477309948
2023-02-14,4800206738
2023-02-15,4967421147
2023-02-16,4728131562
2023-02-17,4595513237
2023-02-21,4416766800
2023-02-22,4549385124
2023-02-23,4566683167
2023-02-24,4457128899
2023-02-27,4537853096
2023-02-28,4609928272
2023-03-01,4416766800
2023-03-02,4514789040
2023-03-03,4742546597
2023-03-06,4656056385
2023-03-07,4500374005
2023-03-08,4474426941
2023-03-09,4206307285
2023-03-10,4010262806
2023-03-13,4024677841
2023-03-14,4171711201
2023-03-15,4480192955
2023-03-16,4387936730
2023-03-17,4344691624
2023-03-20,4238020363
2023-03-21,4315861553
2023-03-22,4119817074
2023-03-23,4344691624
2023-03-24,4220722321
2023-03-27,4379287708
2023-03-28,4266850434
2023-03-29,4292797497
2023-03-30,4399468758
2023-03-31,4716599533
2023-04-03,4748312611
2023-04-04,4863632893
2023-04-05,4690652470
2023-04-06,4800206738
2023-04-10,4733897576
2023-04-11,4759844639
2023-04-12,4903994992
2023-04-13,5056794365
2023-04-14,5151933598
2023-04-17,5094273457
2023-04-18,5151933598
2023-04-19,5065443386
2023-04-20,5160582619
2023-04-21,5356627098
2023-04-24,5039496323
2023-04-25,4780025688
2023-04-26,4837685829
2023-04-27,4912644013
2023-04-28,4632992329
2023-05-01,4810926280
2023-05-02,4611570407
2023-05-03,4550004623
2023-05-04,4643819151
2023-05-05,4951648072
2023-05-08,5124618609
2023-05-09,5107028385
2023-05-10,5262408697
2023-05-11,5338633002
2023-05-12,5151003945
2023-05-15,5353291522
2023-05-16,5323974482
2023-05-17,5379676858
2023-05-18,5614213179
2023-05-19,5496945018
2023-05-22,5605418067
2023-05-23,5576101027
2023-05-24,5828227571
2023-05-25,5901520172
2023-05-26,6053968780
2023-05-30,6191758869
2023-05-31,6267983173
2023-06-01,6074490708
2023-06-02,3940210189
2023-06-05,3743786020
2023-06-06,4013502789
2023-06-07,4010571085
2023-06-08,4374102382
2023-06-09,4265629334
2023-06-12,4614502111
2023-06-13,4629160631
2023-06-14,4720043456
2023-06-15,4881287176
2023-06-16,4717111752
2023-06-20,4476712023
2023-06-21,4429804759
2023-06-22,4467916911
2023-06-23,4529482695
2023-06-26,4377034086
2023-06-27,4564663143
2023-06-28,4362375566
2023-06-29,4356512158
2023-06-30,4426873055
2023-07-03,4435668167
2023-07-05,4406351127
2023-07-06,4224585478
2023-07-07,4189405030
2023-07-10,4277356150
2023-07-11,4382897494
2023-07-12,4286151262
2023-07-13,4429804759
2023-07-14,4239243998
2023-07-17,4294946374
2023-07-18,4382897494
2023-07-19,4547072919
2023-07-20,4274424446
2023-07-21,4379965790
2023-07-24,4280287854
2023-07-25,4324263414
2023-07-26,4514824175
2023-07-27,4330126822
2023-07-28,4538277807
2023-07-31,4945169636
2023-08-01,5028231873
2023-08-02,4749380076
2023-08-03,4737514042
2023-08-04,4648518788
2023-08-07,4627753228
2023-08-08,4417131126
2023-08-09,4488327330
2023-08-10,4446796211
2023-08-11,4485360821
2023-08-14,4497226855
2023-08-15,4381533024
2023-08-16,4363733974
2023-08-17,4224308075
2023-08-18,4295504279
2023-08-21,4989667263
2023-08-22,4817609771
2023-08-23,4945169636
2023-08-24,4758279601
2023-08-25,4915504551
2023-08-28,4909571534
2023-08-29,4933303602
2023-08-30,4829475805
2023-08-31,4933303602
2023-09-01,5105361094
2023-09-05,5307083670
2023-09-06,5140959195
2023-09-07,5054930449
2023-09-08,5025265365
2023-09-11,5241820484
2023-09-12,5054930449
2023-09-13,4965935195
2023-09-14,5105361094
2023-09-15,4983734246
2023-09-18,4912538042
2023-09-19,4921437568
2023-09-20,4909571534
2023-09-21,4719714991
2023-09-22,4687083398
2023-09-25,4645552279
2023-09-26,4695982923
2023-09-27,4790911195
2023-09-28,4847274856
2023-09-29,5001533297
2023-10-02,5004499805
2023-10-03,4826509296
2023-10-04,4924404076
2023-10-05,4829475805
2023-10-06,5016365839
2023-10-09,4989667263
2023-10-10,5057896958
2023-10-11,5126126653
2023-10-12,5001533297
2023-10-13,4894738992
2023-10-16,5143925704
2023-10-17,5206222382
2023-10-18,5007466314
2023-10-19,4939236619
2023-10-20,4740480551
2023-10-23,4761246110
2023-10-24,4835408822
2023-10-25,4571389567
2023-10-26,4547657499
2023-10-27,4544690991
2023-10-30,4544690991
2023-10-31,4710197828
2023-11-01,4689102892
2023-11-02,4565546839
2023-11-03,4854848816
2023-11-06,4664994393
2023-11-07,4803618258
2023-11-08,4713211390
2023-11-09,4607736710
2023-11-10,4725265639
2023-11-13,4836767443
2023-11-14,5162232168
2023-11-15,5225516976
2023-11-16,5071825300
2023-11-17,5177299979
2023-11-20,5246611912
2023-11-21,5222503413
2023-11-22,5270720410
2023-11-24,5400303587
2023-11-27,5355100153
2023-11-28,5346059466
2023-11-29,5752890373
2023-11-30,5752890373
2023-12-01,5975893981
2023-12-04,6099450034
2023-12-05,6027124540
2023-12-06,7027627213
2023-12-07,7057762836
2023-12-08,7232549448
2023-12-11,7386241123
2023-12-12,7654448165
2023-12-13,7808139841
2023-12-14,7784031343
2023-12-15,7943750143
2023-12-18,8055251947
2023-12-19,8281269117
2023-12-20,7985940015
2023-12-21,8305377616
2023-12-22,8329486114
2023-12-26,8395784484
2023-12-27,8356608174
2023-12-28,8401811608
2023-12-29,8269214868
2024-01-02,7796085592
2024-01-03,7175291764
2024-01-04,7081871334
2024-01-05,7133101893
2024-01-08,7069817085
2024-01-09,7280766444
2024-01-10,7392268248
2024-01-11,7322956316
2024-01-12,7633353229
2024-01-16,7473634429
2024-01-17,7392268248
2024-01-18,7449525931
2024-01-19,7485688678
2024-01-22,7922655207
2024-01-23,8001007826
2024-01-24,7793072030
2024-01-25,7762936407
2024-01-26,7937723019
2024-01-29,8492218476
2024-01-30,8323458989
2024-01-31,8076346883
2024-02-01,8284282680
2024-02-02,8302364053
2024-02-05,8305377616
2024-02-06,8275241993
2024-02-07,8510299850
2024-02-08,8751384832
2024-02-09,8950279941
2024-02-12,8950279941
2024-02-13,8736317020
2024-02-14,9040686810
2024-02-15,9040686810
2024-02-16,8896035821
2024-02-20,8784534017
2024-02-21,7714719411
2024-02-22,7940736581
2024-02-23,8202916498
2024-02-26,8444001480
2024-02-27,8588652469
2024-02-28,8504272725
2024-02-29,8489204914
2024-03-01,8407838733
2024-03-04,8160726627
2024-03-05,7684583788
2024-03-06,8064292634
2024-03-07,8178808000
2024-03-08,8272228431
2024-03-11,8127577442
2024-03-12,8422906544
2024-03-13,8419892982
2024-03-14,7018586526
2024-03-15,6656959054
2024-03-18,6979410217
2024-03-19,6885989786
2024-03-20,7024613651
2024-03-21,7042695024
2024-03-22,6864894851
2024-03-25,6774487982
2024-03-26,6696135363
2024-03-27,6834759228
2024-03-28,7024613651
2024-04-01,6934206783
2024-04-02,6795582918
2024-04-03,6735311673
2024-04-04,6587647122
2024-04-05,6810650730
2024-04-08,6904071160
2024-04-09,6756406609
2024-04-10,6675040428
2024-04-11,6777501545
2024-04-12,6545457250
2024-04-15,6229033212
2024-04-16,6295331582
2024-04-17,6216978963
2024-04-18,6210951838
2024-04-19,6042192351
2024-04-22,6168761966
2024-04-23,6382724887
2024-04-24,6500253816
2024-04-25,6388752012
2024-04-26,6497240254
2024-04-29,6539430125
2024-04-30,6367657076
2024-05-01,6461077506
2024-05-02,6479158880
2024-05-03,6403819823
2024-05-06,6536416563
2024-05-07,6530389439
2024-05-08,6316426517
2024-05-09,6391765574
2024-05-10,6361629951
2024-05-13,6497240254
2024-05-14,6506280940
2024-05-15,6723257424
2024-05-16,6681067552
2024-05-17,6596687809
2024-05-20,6831745666
2024-05-21,6795582918
2024-05-22,6687094677
2024-05-23,6545457250
2024-05-24,6515321627
2024-05-28,6469546783
2024-05-29,6413828198
2024-05-30,6011416198
2024-05-31,5209687673
2024-06-03,5330411273
2024-06-04,5327315796
2024-06-05,5367556996
2024-06-06,5336602227
2024-06-07,5318029365
2024-06-10,5475898689
2024-06-11,5410893673
2024-06-12,5602813243
2024-06-13,5698773028
2024-06-14,5714250412
2024-06-17,5704963981
2024-06-18,5621386104
2024-06-20,5559476566
2024-06-21,5674009212
2024-06-24,5816401151
2024-06-25,5825687582
2024-06-26,5934029274
2024-06-27,6420019152
2024-06-28,6515978937
2024-07-01,6302391029
2024-07-02,6333345798
2024-07-03,6237386013
2024-07-05,6299295552
2024-07-08,6302391029
2024-07-09,6116662413
2024-07-10,6187858383
2024-07-11,6262149829
2024-07-12,6296200075
2024-07-15,6723375891
2024-07-16,6772903522
2024-07-17,6531456322
2024-07-18,6234290537
2024-07-19,6723375891
2024-07-22,7175315523
2024-07-23,7562250139
2024-07-24,7246511493
2024-07-25,7153647185
2024-07-26,7131978846
2024-07-29,6998873338
2024-07-30,6980300477
2024-07-31,7088642169
2024-08-01,6695516599
2024-08-02,6537647276
2024-08-05,6324059367
2024-08-06,6410732722
2024-08-07,6364300568
2024-08-08,6605747768
2024-08-09,6745044230
