,GEHC
2023-06-07,36618400000
2023-06-08,35376250000
2023-06-09,35080500000
2023-06-12,35612850000
2023-06-13,35394450000
2023-06-14,35731150000
2023-06-15,35990500000
2023-06-16,35785750000
2023-06-20,35899500000
2023-06-21,36227100000
2023-06-22,36495550000
2023-06-23,36318100000
2023-06-26,35399000000
2023-06-27,35066850000
2023-06-28,35121450000
2023-06-29,35799400000
2023-06-30,36964200000
2023-07-03,36713950000
2023-07-05,36695750000
2023-07-06,35999600000
2023-07-07,36227100000
2023-07-10,36700300000
2023-07-11,36973300000
2023-07-12,37168950000
2023-07-13,37037000000
2023-07-14,37228100000
2023-07-17,36941450000
2023-07-18,37523850000
2023-07-19,37196250000
2023-07-20,37241750000
2023-07-21,37596650000
2023-07-24,36686650000
2023-07-25,36495550000
2023-07-26,35230650000
2023-07-27,34971300000
2023-07-28,35430850000
2023-07-31,35490000000
2023-08-01,35348950000
2023-08-02,34848450000
2023-08-03,34589100000
2023-08-04,34534500000
2023-08-07,34393450000
2023-08-08,33638150000
2023-08-09,33633600000
2023-08-10,32896500000
2023-08-11,32573450000
2023-08-14,32669000000
2023-08-15,32095700000
2023-08-16,32154850000
2023-08-17,31117450000
2023-08-18,31103800000
2023-08-21,31381350000
2023-08-22,31363150000
2023-08-23,31390449999
2023-08-24,31135650000
2023-08-25,31208450000
2023-08-28,31536050000
2023-08-29,32068400000
2023-08-30,32027450000
2023-08-31,32054750000
2023-09-01,31508750000
2023-09-05,30785300000
2023-09-06,30475900000
2023-09-07,29984500000
2023-09-08,29529500000
2023-09-11,30312100000
2023-09-12,29757000000
2023-09-13,29361150000
2023-09-14,30030000000
2023-09-15,30225650000
2023-09-18,30157400000
2023-09-19,30084600000
2023-09-20,29579550000
2023-09-21,29069950000
2023-09-22,29270150000
2023-09-25,30248400000
2023-09-26,30125549999
2023-09-27,31067400000
2023-09-28,31749900000
2023-09-29,30958200000
2023-10-02,30867200000
2023-10-03,30475900000
2023-10-04,30885399999
2023-10-05,30757999999
2023-10-06,31149299999
2023-10-09,30849000000
2023-10-10,31026450000
2023-10-11,30839900000
2023-10-12,30262050000
2023-10-13,30539600000
2023-10-16,30430399999
2023-10-17,30394000000
2023-10-18,29679650000
2023-10-19,29779750000
2023-10-20,29142750000
2023-10-23,29115450000
2023-10-24,29424850000
2023-10-25,29352050000
2023-10-26,29079050000
2023-10-27,28710500000
2023-10-30,28742350000
2023-10-31,30289349999
2023-11-01,31067400000
2023-11-02,31508750000
2023-11-03,32564349999
2023-11-06,32345950000
2023-11-07,32168500000
2023-11-08,31845449999
2023-11-09,31081050000
2023-11-10,31631600000
2023-11-13,31854550000
2023-11-14,32855549999
2023-11-15,32541600000
2023-11-16,32723600000
2023-11-17,33215000000
2023-11-20,33365150000
2023-11-21,33387899999
2023-11-22,33487999999
2023-11-24,33538049999
2023-11-27,32368700000
2023-11-28,30999149999
2023-11-29,30808049999
2023-11-30,31149299999
2023-12-01,31581550000
2023-12-04,31563350000
2023-12-05,30908150000
2023-12-06,30962750000
2023-12-07,30662450000
2023-12-08,31176600000
2023-12-11,32364149999
2023-12-12,32782750000
2023-12-13,33751900000
2023-12-14,34543600000
2023-12-15,34129550000
2023-12-18,34152300000
2023-12-19,34438950000
2023-12-20,34325200000
2023-12-21,35121450000
2023-12-22,35298900000
2023-12-26,35553700000
2023-12-27,35339850000
2023-12-28,35280700000
2023-12-29,35180600000
2024-01-02,34824720000
2024-01-03,34706160000
2024-01-04,34915920000
2024-01-05,34938720000
2024-01-08,35276160000
2024-01-09,34956960000
2024-01-10,34733520000
2024-01-11,34770000000
2024-01-12,34733520000
2024-01-16,34186320000
2024-01-17,33174000000
2024-01-18,33525120000
2024-01-19,33794160000
2024-01-22,34035840000
2024-01-23,33593520000
2024-01-24,32626800000
2024-01-25,33228720000
2024-01-26,33356400000
2024-01-29,33917279999
2024-01-30,33744000000
2024-01-31,33452160000
2024-02-01,33903599999
2024-02-02,33702960000
2024-02-05,33474960000
2024-02-06,37373760000
2024-02-07,37314480000
2024-02-08,37419360000
2024-02-09,37091040000
2024-02-12,37925520000
2024-02-13,37533360000
2024-02-14,37925520000
2024-02-15,39047280000
2024-02-16,39225120000
2024-02-20,39393840000
2024-02-21,38750880000
2024-02-22,39963840000
2024-02-23,40615920000
2024-02-26,41322720000
2024-02-27,42189120000
2024-02-28,42417120000
2024-02-29,41623680000
2024-03-01,42280320000
2024-03-04,42284880000
2024-03-05,41865360000
2024-03-06,42453600000
2024-03-07,42252960000
2024-03-08,42804720000
2024-03-11,42408000000
2024-03-12,41869920000
2024-03-13,40346880000
2024-03-14,40278480000
2024-03-15,40770960000
2024-03-18,41318160000
2024-03-19,41395680000
2024-03-20,41445840000
2024-03-21,41587200000
2024-03-22,40916880000
2024-03-25,40255680000
2024-03-26,40615920000
2024-03-27,41181360000
2024-03-28,41454960000
2024-04-01,40825680000
2024-04-02,40178160000
2024-04-03,40597680000
2024-04-04,40109760000
2024-04-05,40342320000
2024-04-08,39995760000
2024-04-09,39644640000
2024-04-10,38937840000
2024-04-11,40223760000
2024-04-12,39343680000
2024-04-15,39275280000
2024-04-16,39161280000
2024-04-17,38846640000
2024-04-18,38746320000
2024-04-19,38527440000
2024-04-22,38445360000
2024-04-23,39325440000
2024-04-24,39544320000
2024-04-25,39193200000
2024-04-26,39325440000
2024-04-29,40556640000
2024-04-30,34765440000
2024-05-01,35686560000
2024-05-02,35490480000
2024-05-03,36238320000
2024-05-06,36388800000
2024-05-07,37132080000
2024-05-08,36986160000
2024-05-09,37724880000
2024-05-10,38030400000
2024-05-13,36949680000
2024-05-14,36717120000
2024-05-15,37350960000
2024-05-16,37077360000
2024-05-17,37328160000
2024-05-20,37278000000
2024-05-21,37364640000
2024-05-22,36762720000
2024-05-23,36174480000
2024-05-24,36411600000
2024-05-28,35910000000
2024-05-29,35773200000
2024-05-30,35827920000
2024-05-31,35568000000
2024-06-03,35180400000
2024-06-04,35349120000
2024-06-05,35093760000
2024-06-06,35112000000
2024-06-07,34811040000
2024-06-10,34555680000
2024-06-11,34081439999
2024-06-12,34642320000
2024-06-13,35107440000
2024-06-14,34879440000
2024-06-17,35362800000
2024-06-18,35691120000
2024-06-20,36224640000
2024-06-21,36101520000
2024-06-24,35955600000
2024-06-25,35937360000
2024-06-26,35568000000
2024-06-27,35941920000
2024-06-28,35531520000
2024-07-01,34774560000
2024-07-02,34806480000
2024-07-03,35221440000
2024-07-05,35139360000
2024-07-08,34815600000
2024-07-09,35052720000
2024-07-10,36087840000
2024-07-11,36452640000
2024-07-12,36607680000
2024-07-15,36566640000
2024-07-16,37683840000
2024-07-17,37606320000
2024-07-18,36926880000
2024-07-19,36680640000
2024-07-22,37040880000
2024-07-23,36853920000
2024-07-24,36338640000
2024-07-25,36443520000
2024-07-26,36708000000
2024-07-29,37496850000
2024-07-30,37771050000
2024-07-31,38675910000
2024-08-01,38113800000
2024-08-02,38132080000
2024-08-05,37254640000
2024-08-06,37268350000
2024-08-07,36258380000
2024-08-08,37620240000
2024-08-09,38113800000
