,LMT
2001-04-27,15247058832
2001-04-30,14891294125
2001-05-01,15725647067
2001-05-02,15607058832
2001-05-03,15238588243
2001-05-04,15247058832
2001-05-07,15247058832
2001-05-08,15310588243
2001-05-09,15374117655
2001-05-10,15247058832
2001-05-11,15509647067
2001-05-14,15873882361
2001-05-15,15806117655
2001-05-16,16009411773
2001-05-17,16221176479
2001-05-18,16242352950
2001-05-21,16555764715
2001-05-22,16623529421
2001-05-23,16517647068
2001-05-24,16454117656
2001-05-25,16094117656
2001-05-29,16208470597
2001-05-30,16665882362
2001-05-31,16216941185
2001-06-01,16331294126
2001-06-04,16242352950
2001-06-05,16390588244
2001-06-06,16259294126
2001-06-07,16081411773
2001-06-08,15827294126
2001-06-11,15992470597
2001-06-12,15979764714
2001-06-13,15886588244
2001-06-14,15319058832
2001-06-15,15742588244
2001-06-18,15585882361
2001-06-19,15564705891
2001-06-20,15751058832
2001-06-21,15552000008
2001-06-22,15115764714
2001-06-25,15310588243
2001-06-26,15247058832
2001-06-27,15094588243
2001-06-28,15522352949
2001-06-29,15691764714
2001-07-02,15515000000
2001-07-03,15437960000
2001-07-05,15579200000
2001-07-06,15622000000
2001-07-09,15322399999
2001-07-10,15617720000
2001-07-11,15472200000
2001-07-12,15793200000
2001-07-13,15720439999
2001-07-16,15634840000
2001-07-17,15733280000
2001-07-18,15878800000
2001-07-19,16216920000
2001-07-20,16045720000
2001-07-23,15895920000
2001-07-24,15938720000
2001-07-25,15985800000
2001-07-26,16627800000
2001-07-27,16777600000
2001-07-30,16687720000
2001-07-31,16957359999
2001-08-01,17030120000
2001-08-02,16692000000
2001-08-03,16542200000
2001-08-06,16349600000
2001-08-07,16460880000
2001-08-08,16221200000
2001-08-09,16281120000
2001-08-10,16687720000
2001-08-13,16734800000
2001-08-14,16957359999
2001-08-15,16777600000
2001-08-16,16931680000
2001-08-17,16756200000
2001-08-20,16880319999
2001-08-21,16970200000
2001-08-22,16692000000
2001-08-23,16867479999
2001-08-24,17051520000
2001-08-27,16837520000
2001-08-28,16970200000
2001-08-29,17068640000
2001-08-30,16850359999
2001-08-31,17060080000
2001-09-04,17162800000
2001-09-05,16991600000
2001-09-06,16713399999
2001-09-07,16473720000
2001-09-10,16400960000
2001-09-17,18810600000
2001-09-18,19088800000
2001-09-19,18369760000
2001-09-20,18172880000
2001-09-21,18061600000
2001-09-24,17976000000
2001-09-25,18130080000
2001-09-26,17976000000
2001-09-27,18532400000
2001-09-28,18725000000
2001-10-01,18861325000
2001-10-02,19462500000
2001-10-03,19635500000
2001-10-04,19722000000
2001-10-05,20643225000
2001-10-08,21240075000
2001-10-09,20565375000
2001-10-10,20483200000
2001-10-11,20063675000
2001-10-12,19657125000
2001-10-15,20457250000
2001-10-16,20695125000
2001-10-17,20106925000
2001-10-18,20003125000
2001-10-19,20612950000
2001-10-22,20915700000
2001-10-23,20526450000
2001-10-24,21495250000
2001-10-25,21149250000
2001-10-26,21590400000
2001-10-29,21192500000
2001-10-30,20760000000
2001-10-31,21093025000
2001-11-01,20976250000
2001-11-02,20924350000
2001-11-05,21188175000
2001-11-06,20695125000
2001-11-07,20561050000
2001-11-08,20651875000
2001-11-09,20543750000
2001-11-12,20500500000
2001-11-13,19665775000
2001-11-14,19051625000
2001-11-15,19042975000
2001-11-16,19354375000
2001-11-19,19851750000
2001-11-20,19674425000
2001-11-21,19722000000
2001-11-23,19466825000
2001-11-26,19726325000
2001-11-27,20016100000
2001-11-28,19726325000
2001-11-29,20003125000
2001-11-30,20089625000
2001-12-03,20323175000
2001-12-04,20279925000
2001-12-05,19890675000
2001-12-06,19981500000
2001-12-07,19782550000
2001-12-10,19877700000
2001-12-11,19713350000
2001-12-12,20068000000
2001-12-13,19873375000
2001-12-14,19916625000
2001-12-17,20128550000
2001-12-18,19851750000
2001-12-19,19769575000
2001-12-20,19851750000
2001-12-21,19895000000
2001-12-24,19977175000
2001-12-26,19964200000
2001-12-27,20068000000
2001-12-28,20236675000
2001-12-31,20348120000
2002-01-02,20160640000
2002-01-03,20304520000
2002-01-04,20605360000
2002-01-07,20483280000
2002-01-08,20775400000
2002-01-09,20570480000
2002-01-10,20914920000
2002-01-11,20378640000
2002-01-14,20753600000
2002-01-15,21146000000
2002-01-16,21098040000
2002-01-17,21028280000
2002-01-18,21215760000
2002-01-22,21298600000
2002-01-23,20928000000
2002-01-24,21542760000
2002-01-25,21800000000
2002-01-28,22236000000
2002-01-29,21974400000
2002-01-30,22000560000
2002-01-31,23094920000
2002-02-01,22859480000
2002-02-04,23238800000
2002-02-05,23199560000
2002-02-06,23369600000
2002-02-07,23530920000
2002-02-08,23709680000
2002-02-11,23565800000
2002-02-12,23108000000
2002-02-13,23086200000
2002-02-14,23282400000
2002-02-15,23923320000
2002-02-19,23456800000
2002-02-20,24285200000
2002-02-21,24067200000
2002-02-22,23639920000
2002-02-25,24634000000
2002-02-26,24350600000
2002-02-27,24812760000
2002-02-28,24594760000
2002-03-01,24882520000
2002-03-04,24852000000
2002-03-05,23871000000
2002-03-06,25096160000
2002-03-07,24599120000
2002-03-08,24738640000
2002-03-11,25179000000
2002-03-12,24895600000
2002-03-13,24843280000
2002-03-14,24987160000
2002-03-15,25205160000
2002-03-18,25218240000
2002-03-19,25466760000
2002-03-20,25305440000
2002-03-21,25135400000
2002-03-22,24525000000
2002-03-25,24437800000
2002-03-26,24952280000
2002-03-27,25353400000
2002-03-28,25104880000
2002-04-01,26357250024
2002-04-02,26276960551
2002-04-03,26107460550
2002-04-04,26361710551
2002-04-05,26357250024
2002-04-08,26807763183
2002-04-09,26584736867
2002-04-10,27222592130
2002-04-11,26919276341
2002-04-12,27450078973
2002-04-15,26856828972
2002-04-16,27432236868
2002-04-17,26798842130
2002-04-18,26740855288
2002-04-19,26696250025
2002-04-22,26370631603
2002-04-23,27744473710
2002-04-24,27262736867
2002-04-25,28003184236
2002-04-26,27441157920
2002-04-29,27454539499
2002-04-30,28056710552
2002-05-01,28079013184
2002-05-02,27789078973
2002-05-03,28034407921
2002-05-06,27396552657
2002-05-07,27543750026
2002-05-08,27878289500
2002-05-09,27766776342
2002-05-10,27441157920
2002-05-13,27668644762
2002-05-14,27610657920
2002-05-15,27106618446
2002-05-16,27320723710
2002-05-17,27521447394
2002-05-20,27191368446
2002-05-21,27686486868
2002-05-22,28056710552
2002-05-23,28137000026
2002-05-24,27824763184
2002-05-28,27954118447
2002-05-29,27922894763
2002-05-30,28163763184
2002-05-31,27677565815
2002-06-03,28021026342
2002-06-04,27677565815
2002-06-05,28458157921
2002-06-06,28368947395
2002-06-07,28279736868
2002-06-10,28502763184
2002-06-11,28315421079
2002-06-12,29220907922
2002-06-13,29372565817
2002-06-14,29113855290
2002-06-17,29778473712
2002-06-18,30443092134
2002-06-19,30420789502
2002-06-20,31223684240
2002-06-21,31384263187
2002-06-24,31000657924
2002-06-25,30264671081
2002-06-26,30554605292
2002-06-27,31861539503
2002-06-28,31000657924
2002-07-01,30583846143
2002-07-02,30226923066
2002-07-03,30900615373
2002-07-05,30650769220
2002-07-08,30561538451
2002-07-09,30780153835
2002-07-10,29642461528
2002-07-11,29446153836
2002-07-12,27746307682
2002-07-15,26122307683
2002-07-16,25876923068
2002-07-17,26769230760
2002-07-18,27036923067
2002-07-19,25029230760
2002-07-22,24069999991
2002-07-23,24136923068
2002-07-24,25876923068
2002-07-25,26947692298
2002-07-26,26822769221
2002-07-29,28018461528
2002-07-30,28183538451
2002-07-31,28602923067
2002-08-01,28272769221
2002-08-02,27563384605
2002-08-05,26568461529
2002-08-06,28018461528
2002-08-07,28870615374
2002-08-08,29602307682
2002-08-09,29267692297
2002-08-12,29196307682
2002-08-13,28187999990
2002-08-14,28442307682
2002-08-15,28553846144
2002-08-16,29187384605
2002-08-19,28571692297
2002-08-20,28348615374
2002-08-21,28308461528
2002-08-22,27732923067
2002-08-23,26639846144
2002-08-26,27193076913
2002-08-27,27759692298
2002-08-28,27657076913
2002-08-29,27884615375
2002-08-30,28250461528
2002-09-03,27831076913
2002-09-04,28562769220
2002-09-05,28486923067
2002-09-06,28852769220
2002-09-09,29678153835
2002-09-10,29334615374
2002-09-11,29111538451
2002-09-12,29437230759
2002-09-13,29325692297
2002-09-16,29334615374
2002-09-17,28562769220
2002-09-18,29084769220
2002-09-19,28745692297
2002-09-20,29102615374
2002-09-23,29312307682
2002-09-24,29312307682
2002-09-25,28509230759
2002-09-26,29223076913
2002-09-27,29245384605
2002-09-30,28870535686
2002-10-01,28928571400
2002-10-02,28209821401
2002-10-03,27593749973
2002-10-04,27232142831
2002-10-07,27428571402
2002-10-08,25937499975
2002-10-09,25897321403
2002-10-10,27178571402
2002-10-11,27879464258
2002-10-14,26830357117
2002-10-15,26308035689
2002-10-16,26562499974
2002-10-17,26026785689
2002-10-18,26508928545
2002-10-21,26406249974
2002-10-22,26116071403
2002-10-23,26915178545
2002-10-24,26383928546
2002-10-25,25281249975
2002-10-28,24754464261
2002-10-29,25642857118
2002-10-30,26227678546
2002-10-31,25848214260
2002-11-01,25169642832
2002-11-04,22424107121
2002-11-05,23950892834
2002-11-06,24531249976
2002-11-07,24508928547
2002-11-08,25191964261
2002-11-11,24374999976
2002-11-12,24343749976
2002-11-13,23763392834
2002-11-14,22558035692
2002-11-15,22477678549
2002-11-18,22008928550
2002-11-19,22879464263
2002-11-20,23232142834
2002-11-21,23258928549
2002-11-22,23142857120
2002-11-25,22870535692
2002-11-26,22973214263
2002-11-27,23745535691
2002-11-29,23303571406
2002-12-02,23401785691
2002-12-03,22736607121
2002-12-04,23098214263
2002-12-05,22767857121
2002-12-06,23321428549
2002-12-09,22991071406
2002-12-10,23035714263
2002-12-11,23218749977
2002-12-12,22924107120
2002-12-13,22187499978
2002-12-16,22508928549
2002-12-17,22589285692
2002-12-18,23450892834
2002-12-19,24241071405
2002-12-20,24383928548
2002-12-23,25517857118
2002-12-24,25374999975
2002-12-26,25401785689
2002-12-27,25758928546
2002-12-30,25446428547
2002-12-31,25781249975
2003-01-02,26272321403
2003-01-03,26209821403
2003-01-06,26116071403
2003-01-07,24999999976
2003-01-08,24754464261
2003-01-09,24629464262
2003-01-10,25441964261
2003-01-13,24674107119
2003-01-14,24553571405
2003-01-15,24017857119
2003-01-16,23995535691
2003-01-17,23437499977
2003-01-21,22906249978
2003-01-22,22767857121
2003-01-23,23339285691
2003-01-24,22723214263
2003-01-27,22651785692
2003-01-28,22812499978
2003-01-29,22544642835
2003-01-30,22165178550
2003-01-31,22790178549
2003-02-03,22120535693
2003-02-04,22888392835
2003-02-05,22575892835
2003-02-06,22388392835
2003-02-07,22366071407
2003-02-10,22383928549
2003-02-11,21785714264
2003-02-12,21316964265
2003-02-13,21321428550
2003-02-14,21160714265
2003-02-18,20892857122
2003-02-19,21285714265
2003-02-20,20473214266
2003-02-21,20343749980
2003-02-24,19888392838
2003-02-25,20272321409
2003-02-26,20491071408
2003-02-27,20450892837
2003-02-28,20410714266
2003-03-03,20437499980
2003-03-04,20571428551
2003-03-05,20124999980
2003-03-06,19897321409
2003-03-07,19446428552
2003-03-10,18892857124
2003-03-11,18361607125
2003-03-12,18526785696
2003-03-13,19290178552
2003-03-14,20174107123
2003-03-17,20959821408
2003-03-18,21124999979
2003-03-19,21562499979
2003-03-20,20915178551
2003-03-21,20272321409
2003-03-24,20718749980
2003-03-25,20517857123
2003-03-26,20647321408
2003-03-27,21093749979
2003-03-28,21491071407
2003-03-31,21309444437
2003-04-01,21354259252
2003-04-02,21358740733
2003-04-03,21457333326
2003-04-04,20883703696
2003-04-07,20413148141
2003-04-08,20206999993
2003-04-09,20323518511
2003-04-10,20054629623
2003-04-11,19767814808
2003-04-14,19942592586
2003-04-15,19938111104
2003-04-16,19875370363
2003-04-17,20327999993
2003-04-21,20278703697
2003-04-22,21757592585
2003-04-23,21788962955
2003-04-24,22026481474
2003-04-25,22142999992
2003-04-28,22622518511
2003-04-29,22519444437
2003-04-30,22429814807
2003-05-01,21914444437
2003-05-02,22505999992
2003-05-05,22183333326
2003-05-06,22322259251
2003-05-07,22030962955
2003-05-08,21757592585
2003-05-09,21887555548
2003-05-12,21923407400
2003-05-13,22201259251
2003-05-14,22214703696
2003-05-15,22138518511
2003-05-16,21959259252
2003-05-19,21363222215
2003-05-20,21228777770
2003-05-21,21228777770
2003-05-22,21381148141
2003-05-23,21479740733
2003-05-27,21694851844
2003-05-28,21107777770
2003-05-29,20865777770
2003-05-30,20803037030
2003-06-02,20941962956
2003-06-03,20592407400
2003-06-04,20525185178
2003-06-05,20368333326
2003-06-06,20798555548
2003-06-09,20838888882
2003-06-10,20838888882
2003-06-11,21551444437
2003-06-12,21699333326
2003-06-13,21466296289
2003-06-16,21838259252
2003-06-17,21990629622
2003-06-18,22250555548
2003-06-19,22030962955
2003-06-20,21793444437
2003-06-23,21605222215
2003-06-24,21717259252
2003-06-25,21564888881
2003-06-26,21443888881
2003-06-27,21295999992
2003-06-30,21066714292
2003-07-01,21456428578
2003-07-02,21615857149
2003-07-03,21434285721
2003-07-07,21292571435
2003-07-08,21270428578
2003-07-09,21208428578
2003-07-10,21545000006
2003-07-11,21868285721
2003-07-14,21545000006
2003-07-15,21832857149
2003-07-16,22182714292
2003-07-17,22240285721
2003-07-18,23050714293
2003-07-21,23161428578
2003-07-22,23648571436
2003-07-23,23639714293
2003-07-24,22829285721
2003-07-25,23471428579
2003-07-28,23675142864
2003-07-29,23272142864
2003-07-30,23227857150
2003-07-31,23179142864
2003-08-01,22816000007
2003-08-04,22895714293
2003-08-05,22218142864
2003-08-06,22541428578
2003-08-07,22010000007
2003-08-08,22404142864
2003-08-11,22399714292
2003-08-12,22576857150
2003-08-13,22315571435
2003-08-14,22359857150
2003-08-15,22413000007
2003-08-18,23019714293
2003-08-19,23006428578
2003-08-20,22603428578
2003-08-21,22390857150
2003-08-22,22089714292
2003-08-25,22284571435
2003-08-26,22749571435
2003-08-27,22785000007
2003-08-28,22762857150
2003-08-29,22687571435
2003-09-02,22762857150
2003-09-03,23059571436
2003-09-04,22851428578
2003-09-05,23033000007
2003-09-08,23134857150
2003-09-09,23117142864
2003-09-10,22696428578
2003-09-11,22767285721
2003-09-12,22634428578
2003-09-15,22572428578
2003-09-16,22142857150
2003-09-17,22036571435
2003-09-18,21979000007
2003-09-19,21567142864
2003-09-22,21177428578
2003-09-23,20358142863
2003-09-24,19972857149
2003-09-25,19986142863
2003-09-26,20119000006
2003-09-29,20331571435
2003-09-30,20347954549
2003-10-01,20471409095
2003-10-02,20286227276
2003-10-03,20149545458
2003-10-06,20039318185
2003-10-07,20176000004
2003-10-08,20228909095
2003-10-09,20167181822
2003-10-10,20370000004
2003-10-13,20546363640
2003-10-14,20383227276
2003-10-15,20343545458
2003-10-16,20162772731
2003-10-17,20237727276
2003-10-20,20290636367
2003-10-21,20295045458
2003-10-22,19973181822
2003-10-23,20136318185
2003-10-24,20511090913
2003-10-27,20409681822
2003-10-28,20065772731
2003-10-29,20696272731
2003-10-30,20687454549
2003-10-31,20440545458
2003-11-03,20312681822
2003-11-04,20149545458
2003-11-05,20202454549
2003-11-06,20414090913
2003-11-07,20299454549
2003-11-10,20136318185
2003-11-11,20127500004
2003-11-12,20299454549
2003-11-13,20202454549
2003-11-14,19929090913
2003-11-17,20198045458
2003-11-18,20061363640
2003-11-19,20202454549
2003-11-20,20325909095
2003-11-21,20458181822
2003-11-24,20480227276
2003-11-25,20224500004
2003-11-26,20259772731
2003-11-28,20255363640
2003-12-01,20422909095
2003-12-02,20339136367
2003-12-03,20506681822
2003-12-04,21053409095
2003-12-05,20907909095
2003-12-08,21353227277
2003-12-09,21348818186
2003-12-10,21340000004
2003-12-11,21520772731
2003-12-12,21560454549
2003-12-15,21428181822
2003-12-16,21604545459
2003-12-17,22001363640
2003-12-18,22080727277
2003-12-19,22155681822
2003-12-22,22023409095
2003-12-23,22071909095
2003-12-24,22336454550
2003-12-26,22354090913
2003-12-29,22380545459
2003-12-30,22354090913
2003-12-31,22662727277
2004-01-02,22354090913
2004-01-05,22085136368
2004-01-06,22023409095
2004-01-07,22089545459
2004-01-08,22596590913
2004-01-09,22728863641
2004-01-12,22433454550
2004-01-13,22442272731
2004-01-14,22698000004
2004-01-15,22574545459
2004-01-16,22711227277
2004-01-20,22371727277
2004-01-21,22653909095
2004-01-22,22473136368
2004-01-23,22389363640
2004-01-26,22750909095
2004-01-27,22133636368
2004-01-28,21935227277
2004-01-29,21723590913
2004-01-30,21437000004
2004-02-02,21454636368
2004-02-03,21326772731
2004-02-04,21516363640
2004-02-05,21913181822
2004-02-06,21776500004
2004-02-09,21723590913
2004-02-10,21683909095
2004-02-11,21736818186
2004-02-12,21745636368
2004-02-13,21780909095
2004-02-17,21608954549
2004-02-18,21494318186
2004-02-19,21366454549
2004-02-20,21384090913
2004-02-23,21040181822
2004-02-24,20564000004
2004-02-25,20718318186
2004-02-26,20519909095
2004-02-27,20405272731
2004-03-01,20383227276
2004-03-02,20123090913
2004-03-03,19959954549
2004-03-04,19840909095
2004-03-05,19862954549
2004-03-08,19933500004
2004-03-09,19832090913
2004-03-10,19646909094
2004-03-11,19677772731
2004-03-12,19611636367
2004-03-15,19549909094
2004-03-16,19320636367
2004-03-17,19607227276
2004-03-18,19624863640
2004-03-19,19444090913
2004-03-22,19624863640
2004-03-23,19796818185
2004-03-24,20105454549
2004-03-25,20189227276
2004-03-26,20198045458
2004-03-29,20079000004
2004-03-30,20136318185
2004-03-31,20163343293
2004-04-01,20322388070
2004-04-02,20627223891
2004-04-05,20613970159
2004-04-06,20905552249
2004-04-07,21099940309
2004-04-08,21002746279
2004-04-12,20724417920
2004-04-13,20521194040
2004-04-14,20662567174
2004-04-15,20666985085
2004-04-16,20764179115
2004-04-19,20733253741
2004-04-20,20203104487
2004-04-21,20317970159
2004-04-22,20454925383
2004-04-23,20415164189
2004-04-26,20543283592
2004-04-27,20711164189
2004-04-28,20918805980
2004-04-29,20932059712
2004-04-30,21073432846
2004-05-03,20998328368
2004-05-04,21148537324
2004-05-05,21338507473
2004-05-06,21594746279
2004-05-07,21457791055
2004-05-10,21099940309
2004-05-11,20998328368
2004-05-12,21166208965
2004-05-13,21038089562
2004-05-14,20954149264
2004-05-17,20697910458
2004-05-18,20803940309
2004-05-19,20949731353
2004-05-20,20591880607
2004-05-21,20702328368
2004-05-24,21011582100
2004-05-25,21307582100
2004-05-26,21440119413
2004-05-27,22036537324
2004-05-28,21886328369
2004-06-01,21696358219
2004-06-02,22071880608
2004-06-03,21873074637
2004-06-04,21780298518
2004-06-07,22001194041
2004-06-08,22261850757
2004-06-09,22124895533
2004-06-10,22509253742
2004-06-14,22288358220
2004-06-15,22018865682
2004-06-16,22297194041
2004-06-17,21824477623
2004-06-18,22389970160
2004-06-21,22310447772
2004-06-22,22504835832
2004-06-23,22889194041
2004-06-24,23021731354
2004-06-25,22959880608
2004-06-28,22438567175
2004-06-29,22906865683
2004-06-30,23171826074
2004-07-01,22882623176
2004-07-02,22944913031
2004-07-06,23047246364
2004-07-07,23598956509
2004-07-08,23714637668
2004-07-09,24021637668
2004-07-12,24177362306
2004-07-13,24257449262
2004-07-14,24030536219
2004-07-15,23879260857
2004-07-16,24337536219
2004-07-19,24315289842
2004-07-20,24515507233
2004-07-21,24159565204
2004-07-22,23723536219
2004-07-23,23679043465
2004-07-26,23225217379
2004-07-27,23314202886
2004-07-28,23621202886
2004-07-29,23727985494
2004-07-30,23576710132
2004-08-02,23914855060
2004-08-03,24026086944
2004-08-04,24061681146
2004-08-05,23661246364
2004-08-06,23474376799
2004-08-09,23447681147
2004-08-10,23679043465
2004-08-11,23585608683
2004-08-12,23265260857
2004-08-13,23572260857
2004-08-16,24070579697
2004-08-17,24043884045
2004-08-18,23945999987
2004-08-19,24048333320
2004-08-20,24141768103
2004-08-23,23972695639
