,HP
2000-05-11,3321257000
2000-05-12,3364879480
2000-05-15,3569112000
2000-05-16,3513592480
2000-05-17,3600837440
2000-05-18,3469970000
2000-05-19,3438244560
2000-05-22,3352982440
2000-05-23,3452124440
2000-05-24,3388673560
2000-05-25,3376776520
2000-05-26,3420399000
2000-05-30,3438244560
2000-05-31,3694030920
2000-06-01,3644459920
2000-06-02,3452124440
2000-06-05,3309359960
2000-06-06,3507643960
2000-06-07,3475918520
2000-06-08,3662305480
2000-06-09,3501695440
2000-06-12,3694030920
2000-06-13,3624631520
2000-06-14,3575060520
2000-06-15,3618683000
2000-06-16,3662305480
2000-06-19,3594888920
2000-06-20,3569112000
2000-06-21,3743601920
2000-06-22,3586957560
2000-06-23,3680151039
2000-06-26,3519541000
2000-06-27,3513592480
2000-06-28,3376776520
2000-06-29,3452124440
2000-06-30,1863193200
2000-07-03,1777506240
2000-07-05,1652961240
2000-07-06,1652961240
2000-07-07,1641004920
2000-07-10,1628052240
2000-07-11,1743630000
2000-07-12,1668903000
2000-07-13,1646983080
2000-07-14,1677870240
2000-07-17,1607128680
2000-07-18,1656946680
2000-07-19,1646983080
2000-07-20,1638015840
2000-07-21,1594176000
2000-07-24,1544358000
2000-07-25,1488561840
2000-07-26,1497529080
2000-07-27,1535390760
2000-07-28,1572256080
2000-07-31,1594176000
2000-08-01,1632037680
2000-08-02,1656946680
2000-08-03,1668903000
2000-08-04,1671892080
2000-08-07,1706764680
2000-08-08,1709753760
2000-08-09,1740640920
2000-08-10,1734662760
2000-08-11,1752597240
2000-08-14,1812378840
2000-08-15,1759571760
2000-08-16,1917993000
2000-08-17,1799426159
2000-08-18,1774517159
2000-08-21,1781491680
2000-08-22,1806400680
2000-08-23,1862196840
2000-08-24,1799426159
2000-08-25,1806400680
2000-08-28,1831309680
2000-08-29,1846255080
2000-08-30,1834298760
2000-08-31,1840276920
2000-09-01,1862196840
2000-09-05,1840276920
2000-09-06,1909025760
2000-09-07,1893084000
2000-09-08,1868175000
2000-09-11,1884116760
2000-09-12,1887105840
2000-09-13,1784480760
2000-09-14,1834298760
2000-09-15,1865185920
2000-09-18,1793448000
2000-09-19,1765549920
2000-09-20,1721710080
2000-09-21,1643994000
2000-09-22,1684844760
2000-09-25,1696801080
2000-09-26,1706764680
2000-09-27,1759571760
2000-09-28,1756582680
2000-09-29,1799426159
2000-10-02,1827324240
2000-10-03,1815367920
2000-10-04,1709753760
2000-10-05,1681855680
2000-10-06,1706764680
2000-10-09,1718721000
2000-10-10,1768539000
2000-10-11,1809389760
2000-10-12,1868175000
2000-10-13,1802415240
2000-10-16,1690822920
2000-10-17,1712742840
2000-10-18,1693812000
2000-10-19,1696801080
2000-10-20,1756582680
2000-10-23,1693812000
2000-10-24,1646983080
2000-10-25,1557310680
2000-10-26,1635026760
2000-10-27,1582219680
2000-10-30,1560299760
2000-10-31,1566277920
2000-11-01,1677870240
2000-11-02,1610117760
2000-11-03,1585208760
2000-11-06,1507492680
2000-11-07,1594176000
2000-11-08,1607128680
2000-11-09,1544358000
2000-11-10,1500518160
2000-11-13,1441732920
2000-11-14,1541368920
2000-11-15,1622074080
2000-11-16,1656946680
2000-11-17,1619085000
2000-11-20,1619085000
2000-11-21,1656946680
2000-11-22,1600154159
2000-11-24,1671892080
2000-11-27,1652961240
2000-11-28,1635026760
2000-11-29,1566277920
2000-11-30,1485572760
2000-12-01,1519449000
2000-12-04,1566277920
2000-12-05,1572256080
2000-12-06,1610117760
2000-12-07,1677870240
2000-12-08,1743630000
2000-12-11,1821346080
2000-12-12,1818357000
2000-12-13,1812378840
2000-12-14,1746619080
2000-12-15,1796437080
2000-12-18,1909025760
2000-12-19,1920982080
2000-12-20,1902051240
2000-12-21,1939912920
2000-12-22,1992720000
2000-12-26,2151141240
2000-12-27,2170072080
2000-12-28,2200959240
2000-12-29,2186013840
2001-01-02,4405288720
2001-01-03,4222571640
2001-01-04,4098083080
2001-01-05,4092059440
2001-01-08,4134224920
2001-01-09,4178398279
2001-01-10,4328989280
2001-01-11,4405288720
2001-01-12,4343044440
2001-01-16,4292847440
2001-01-17,4122177640
2001-01-18,3977610279
2001-01-19,3991665440
2001-01-22,4104106720
2001-01-23,4266745000
2001-01-24,4379186280
2001-01-25,4674344640
2001-01-26,4656273720
2001-01-29,4806864720
2001-01-30,4748636200
2001-01-31,4800841080
2001-02-01,4678360400
2001-02-02,4818912000
2001-02-05,5021707880
2001-02-06,5047810320
2001-02-07,5312850480
2001-02-08,5220488000
2001-02-09,5296787440
2001-02-12,5300803200
2001-02-13,5429307520
2001-02-14,5421276000
2001-02-15,5232535280
2001-02-16,5310842600
2001-02-20,5427299640
2001-02-21,5403205080
2001-02-22,5112062480
2001-02-23,5154227960
2001-02-26,5290763800
2001-02-27,5314858360
2001-02-28,5210448600
2001-03-01,5248598320
2001-03-02,5461433600
2001-03-05,5561827600
2001-03-06,5690331920
2001-03-07,5873049000
2001-03-08,5822852000
2001-03-09,5772655000
2001-03-12,5529701520
2001-03-13,5256629840
2001-03-14,5154227960
2001-03-15,4985566040
2001-03-16,4909266600
2001-03-19,5114070360
2001-03-20,5252614080
2001-03-21,5204424960
2001-03-22,5043794560
2001-03-23,5188361920
2001-03-26,5196393440
2001-03-27,5142180680
2001-03-28,4895211440
2001-03-29,4618124000
2001-03-30,4648242200
2001-04-02,2254865560
2001-04-03,2184211760
2001-04-04,2272024340
2001-04-05,2371949000
2001-04-06,2380023720
2001-04-09,2430490720
2001-04-10,2507200560
2001-04-11,2443612140
2001-04-12,2490041780
2001-04-16,2548583500
2001-04-17,2528396700
2001-04-18,2459761580
2001-04-19,2382042400
2001-04-20,2386079760
2001-04-23,2511237920
2001-04-24,2498116500
2001-04-25,2462789600
2001-04-26,2570788980
2001-04-27,2573817000
2001-04-30,2585929080
2001-05-01,2488023100
2001-05-02,2244772160
2001-05-03,2264958960
2001-05-04,2276061700
2001-05-07,2218529320
2001-05-08,2196323840
2001-05-09,2287164440
2001-05-10,2244772160
2001-05-11,2198342520
2001-05-14,2271015000
2001-05-15,2307351240
2001-05-16,2295239160
2001-05-17,2321482000
2001-05-18,2342678140
2001-05-21,2335612760
2001-05-22,2208435920
2001-05-23,2132735420
2001-05-24,2054006900
2001-05-25,2043913500
2001-05-29,2050978880
2001-05-30,2031801420
2001-05-31,1995465180
2001-06-01,1982343760
2001-06-04,1993446500
2001-06-05,1997483860
2001-06-06,1941970159
2001-06-07,1900587219
2001-06-08,1919764680
2001-06-11,1903615240
2001-06-12,1897559200
2001-06-13,1907652599
2001-06-14,1863241640
2001-06-15,1868288340
2001-06-18,1797634539
2001-06-19,1799653219
2001-06-20,1771391700
2001-06-21,1670457700
2001-06-22,1672476380
2001-06-25,1670457700
2001-06-26,1720924700
2001-06-27,1638158820
2001-06-28,1559430300
2001-06-29,1555392940
2001-07-02,1523911040
2001-07-03,1534852960
2001-07-05,1564694560
2001-07-06,1571657600
2001-07-09,1504016640
2001-07-10,1502027200
2001-07-11,1511974400
2001-07-12,1451296480
2001-07-13,1482132800
2001-07-16,1408523520
2001-07-17,1454280640
2001-07-18,1448312320
2001-07-19,1487106400
2001-07-20,1492080000
2001-07-23,1520926880
2001-07-24,1493074720
2001-07-25,1583594240
2001-07-26,1598515040
2001-07-27,1630346080
2001-07-30,1593541440
2001-07-31,1549773760
2001-08-01,1514958560
2001-08-02,1527889920
2001-08-03,1493074720
2001-08-06,1479148640
2001-08-07,1485116960
2001-08-08,1415486560
2001-08-09,1432396800
2001-08-10,1475169760
2001-08-13,1450301760
2001-08-14,1481138080
2001-08-15,1585583680
2001-08-16,1550768480
2001-08-17,1574641760
2001-08-20,1571657600
2001-08-21,1586578400
2001-08-22,1591552000
2001-08-23,1579615360
2001-08-24,1546789600
2001-08-27,1598515040
2001-08-28,1549773760
2001-08-29,1553752640
2001-08-30,1505011360
2001-08-31,1519932160
2001-09-04,1569668160
2001-09-05,1523911040
2001-09-06,1558726240
2001-09-07,1523911040
2001-09-10,1522916320
2001-09-17,1509984960
2001-09-18,1407528800
2001-09-19,1300099040
2001-09-20,1268268000
2001-09-21,1294130720
2001-09-24,1238426400
2001-09-25,1201621760
2001-09-26,1180732640
2001-09-27,1233452800
2001-09-28,1298109600
2001-10-01,2532557120
2001-10-02,2574335360
2001-10-03,2628050240
2001-10-04,2757363840
2001-10-05,2763332160
2001-10-08,2753384960
2001-10-09,2850867520
2001-10-10,2930445120
2001-10-11,2846888640
2001-10-12,2828983680
2001-10-15,2681765120
2001-10-16,2795163200
2001-10-17,2844899200
2001-10-18,2727522240
2001-10-19,2807099840
2001-10-22,2846888640
2001-10-23,2825004800
2001-10-24,2868772480
2001-10-25,3023948800
2001-10-26,3212945599
2001-10-29,3216924480
2001-10-30,3051800960
2001-10-31,3017980480
2001-11-01,3021959360
2001-11-02,2936413440
2001-11-05,2870761920
2001-11-06,2898614080
2001-11-07,2918508480
2001-11-08,2916519040
2001-11-09,3010022720
2001-11-12,2998086080
2001-11-13,2940392320
2001-11-14,2781237120
2001-11-15,2500726080
2001-11-16,2592240320
2001-11-19,2610145280
2001-11-20,2749406080
2001-11-21,2707627840
2001-11-23,2801131520
2001-11-26,2711606720
2001-11-27,2826994240
2001-11-28,2747416640
2001-11-29,2803120960
2001-11-30,2803120960
2001-12-03,2823015360
2001-12-04,2872751360
2001-12-05,2936413440
2001-12-06,2862804160
2001-12-07,2826994240
2001-12-10,2789194880
2001-12-11,2870761920
2001-12-12,2880709120
2001-12-13,2886677440
2001-12-14,2994107200
2001-12-17,2960286720
2001-12-18,2946360640
2001-12-19,3029917120
2001-12-20,3063737600
2001-12-21,3145304640
2001-12-24,3193051200
2001-12-26,3308438720
2001-12-27,3296502080
2001-12-28,3350216960
2001-12-31,1661923440
2002-01-02,1603173600
2002-01-03,1595207520
2002-01-04,1613131200
2002-01-07,1604169360
2002-01-08,1569317760
2002-01-09,1551394080
2002-01-10,1525504320
2002-01-11,1452813840
2002-01-14,1418958000
2002-01-15,1452813840
2002-01-16,1409000400
2002-01-17,1416966480
2002-01-18,1422941040
2002-01-22,1397051280
2002-01-23,1450822320
2002-01-24,1513555200
2002-01-25,1503597600
2002-01-28,1473724800
2002-01-29,1470737520
2002-01-30,1489656960
2002-01-31,1513555200
2002-02-01,1511563680
2002-02-04,1469741760
2002-02-05,1455801120
2002-02-06,1466754480
2002-02-07,1410991920
2002-02-08,1449826560
2002-02-11,1489656960
2002-02-12,1468746000
2002-02-13,1455801120
2002-02-14,1493640000
2002-02-15,1496627280
2002-02-19,1495631520
2002-02-20,1491648480
2002-02-21,1561351680
2002-02-22,1624084559
2002-02-25,1679847120
2002-02-26,1659931920
2002-02-27,1658936160
2002-02-28,1679847120
2002-03-01,1742580000
2002-03-04,1828215360
2002-03-05,1822240800
2002-03-06,1827219600
2002-03-07,1857092399
2002-03-08,1819253520
2002-03-11,1867050000
2002-03-12,1911859200
2002-03-13,1924804079
2002-03-14,1899910079
2002-03-15,1938744720
2002-03-18,1986541200
2002-03-19,2057240160
2002-03-20,2011435200
2002-03-21,2005460640
2002-03-22,1916838000
2002-03-25,1891944000
2002-03-26,1908871920
2002-03-27,1984549680
2002-03-28,1996498800
2002-04-01,2052031799
2002-04-02,2062002800
2002-04-03,1986223200
2002-04-04,1965284100
2002-04-05,1907452300
2002-04-08,1957307300
2002-04-09,1907452300
2002-04-10,1926397200
2002-04-11,1930385600
2002-04-12,1842640800
2002-04-15,1921411700
2002-04-16,1958304400
2002-04-17,2012147800
2002-04-18,2041063700
2002-04-19,2044055000
2002-04-22,2032089800
2002-04-23,2066988300
2002-04-24,2032089800
2002-04-25,2090918700
2002-04-26,2091915800
2002-04-29,2064994100
2002-04-30,2055023100
2002-05-01,2139776600
2002-05-02,2134791100
2002-05-03,2124820099
2002-05-06,2030095600
2002-05-07,2014142000
2002-05-08,2093910000
2002-05-09,2049040500
2002-05-10,2104878100
2002-05-13,2116843300
2002-05-14,2101886799
2002-05-15,2036078200
2002-05-16,2045052100
2002-05-17,1969272500
2002-05-20,1962292800
2002-05-21,1925400099
2002-05-22,1949330500
2002-05-23,1943347899
2002-05-24,1940356600
2002-05-28,1919417500
2002-05-29,1908449400
2002-05-30,1843637899
2002-05-31,1904461000
2002-06-03,1812727800
2002-06-04,1801759700
2002-06-05,1739939500
2002-06-06,1776832200
2002-06-07,1803753900
2002-06-10,1771846700
2002-06-11,1703046799
2002-06-12,1733956900
2002-06-13,1769852500
2002-06-14,1757887300
2002-06-17,1833666900
2002-06-18,1821701700
2002-06-19,1789794500
2002-06-20,1792785800
2002-06-21,1769852500
2002-06-24,1802756799
2002-06-25,1789794500
2002-06-26,1789794500
2002-06-27,1771846700
2002-06-28,1780820600
2002-07-01,1735783980
2002-07-02,1705908180
2002-07-03,1724829520
2002-07-05,1780597680
2002-07-08,1690970280
2002-07-09,1712879200
2002-07-10,1700928879
2002-07-11,1643169000
2002-07-12,1609309760
2002-07-15,1588396700
2002-07-16,1643169000
2002-07-17,1629226960
2002-07-18,1659102760
2002-07-19,1609309760
2002-07-22,1538603700
2002-07-23,1488810700
2002-07-24,1557525040
2002-07-25,1569475360
2002-07-26,1555533320
2002-07-29,1669061360
2002-07-30,1650140020
2002-07-31,1651135879
2002-08-01,1593376000
2002-08-02,1526653380
2002-08-05,1485823120
2002-08-06,1548562300
2002-08-07,1543583000
2002-08-08,1639185560
2002-08-09,1724829520
2002-08-12,1775618379
2002-08-13,1740763280
2002-08-14,1790556280
2002-08-15,1875204379
2002-08-16,1844332720
2002-08-19,1865245780
2002-08-20,1809477620
2002-08-21,1818440360
2002-08-22,1883171260
2002-08-23,1846324440
2002-08-26,1877196100
2002-08-27,1823419659
2002-08-28,1797527300
2002-08-29,1776614240
2002-08-30,1815452780
2002-09-03,1709891620
2002-09-04,1717858500
2002-09-05,1640181420
2002-09-06,1674040659
2002-09-09,1685990980
2002-09-10,1728812960
2002-09-11,1733792260
2002-09-12,1680015820
2002-09-13,1708895760
2002-09-16,1747734300
2002-09-17,1683003399
2002-09-18,1693957860
2002-09-19,1649144159
2002-09-20,1613293200
2002-09-23,1605326320
2002-09-24,1582421540
2002-09-25,1602338740
2002-09-26,1690970280
2002-09-27,1704912320
2002-09-30,3420562760
2002-10-01,2604905480
2002-10-02,2622897920
2002-10-03,2660881960
2002-10-04,2586913040
2002-10-07,2478958400
2002-10-08,2508945800
2002-10-09,2428979400
2002-10-10,2504947480
2002-10-11,2488954200
2002-10-14,2628895400
2002-10-15,2754842480
2002-10-16,2670877760
2002-10-17,2804821480
2002-10-18,2864796280
2002-10-21,2892784520
2002-10-22,2846803840
2002-10-23,2942763520
2002-10-24,2852801320
2002-10-25,2684871880
2002-10-28,2726854240
2002-10-29,2684871880
2002-10-30,2842805520
2002-10-31,2830810560
2002-11-01,2982746720
2002-11-04,2838807200
2002-11-05,2862797120
2002-11-06,2932767720
2002-11-07,2830810560
2002-11-08,2820814760
2002-11-11,2778832400
2002-11-12,2700865160
2002-11-13,2500949160
2002-11-14,2594909680
2002-11-15,2578916400
2002-11-18,2610902960
2002-11-19,2588912200
2002-11-20,2664880280
2002-11-21,2758840800
2002-11-22,2718857600
2002-11-25,2726854240
2002-11-26,2662881120
2002-11-27,2714859280
2002-11-29,2730852560
2002-12-02,2888786200
2002-12-03,2864796280
2002-12-04,2770835760
2002-12-05,2750844160
2002-12-06,2830810560
2002-12-09,2780831560
2002-12-10,2808819800
2002-12-11,2796824840
2002-12-12,2980747560
2002-12-13,2932767720
2002-12-16,2994741680
2002-12-17,2912776120
2002-12-18,2878790400
2002-12-19,2876791240
2002-12-20,2968752600
2002-12-23,2962755120
2002-12-24,2956757640
2002-12-26,2904779480
2002-12-27,2826812240
2002-12-30,2754842480
2002-12-31,1396642160
2003-01-02,1433659180
2003-01-03,1411649060
2003-01-06,1364627440
2003-01-07,1325609500
2003-01-08,1299597540
2003-01-09,1319606740
2003-01-10,1321607660
2003-01-13,1271584660
2003-01-14,1268583280
2003-01-15,1321607660
2003-01-16,1342617320
2003-01-17,1311603060
2003-01-21,1278587880
2003-01-22,1210556600
2003-01-23,1240570400
2003-01-24,1228564880
2003-01-27,1179542340
2003-01-28,1181543260
2003-01-29,1200552000
2003-01-30,1221561660
2003-01-31,1250575000
2003-02-03,1254576840
2003-02-04,1282589720
2003-02-05,1254576840
2003-02-06,1252575920
2003-02-07,1252575920
2003-02-10,1290593400
2003-02-11,1287592020
2003-02-12,1260579600
2003-02-13,1211557060
2003-02-14,1223562580
2003-02-18,1295595700
2003-02-19,1284590640
2003-02-20,1298597080
2003-02-21,1352621920
2003-02-24,1381635260
2003-02-25,1370630200
2003-02-26,1397642620
2003-02-27,1344618240
2003-02-28,1375632500
2003-03-03,1361626060
2003-03-04,1354622840
2003-03-05,1343617780
2003-03-06,1364627440
2003-03-07,1354622840
2003-03-10,1339615940
2003-03-11,1296596160
2003-03-12,1270584200
2003-03-13,1270584200
2003-03-14,1265581900
2003-03-17,1263580980
2003-03-18,1316605360
2003-03-19,1297596620
2003-03-20,1321607660
2003-03-21,1300598000
2003-03-24,1268583280
2003-03-25,1289592940
2003-03-26,1272585120
2003-03-27,1293594780
2003-03-28,1322608120
2003-03-31,1282152900
2003-04-01,1276147500
2003-04-02,1296165500
2003-04-03,1283153800
2003-04-04,1289159200
2003-04-07,1271143000
2003-04-08,1253126800
2003-04-09,1264136700
2003-04-10,1305173600
2003-04-11,1317184400
2003-04-14,1314181700
2003-04-15,1292161900
2003-04-16,1275146600
2003-04-17,1289159200
2003-04-21,1294163700
2003-04-22,1307175400
2003-04-23,1328194300
2003-04-24,1310178100
2003-04-25,1291161000
2003-04-28,1268140300
2003-04-29,1248122300
2003-04-30,1288158300
2003-05-01,1289159200
2003-05-02,1324190700
2003-05-05,1320187100
2003-05-06,1311179000
2003-05-07,1376237500
2003-05-08,1398257300
2003-05-09,1431287000
2003-05-12,1439294200
2003-05-13,1471323000
2003-05-14,1488338300
2003-05-15,1493342800
2003-05-16,1503351800
2003-05-19,1476327500
2003-05-20,1456309500
2003-05-21,1519366200
2003-05-22,1508356300
2003-05-23,1505353600
2003-05-27,1543387800
2003-05-28,1506354500
2003-05-29,1491341000
2003-05-30,1545389600
2003-06-02,1527373400
2003-06-03,1511359000
2003-06-04,1508356300
2003-06-05,1521368000
2003-06-06,1489339200
2003-06-09,1498347300
2003-06-10,1506354500
2003-06-11,1618455300
2003-06-12,1577418400
2003-06-13,1546390500
2003-06-16,1514361700
2003-06-17,1514361700
2003-06-18,1489339200
2003-06-19,1522368900
2003-06-20,1501350000
2003-06-23,1478329300
2003-06-24,1489339200
2003-06-25,1526372500
2003-06-26,1483333800
2003-06-27,1485335600
2003-06-30,1460467200
2003-07-01,1443461760
2003-07-02,1460467200
2003-07-03,1455465600
2003-07-07,1408450560
2003-07-08,1405449600
2003-07-09,1435459200
2003-07-10,1388444160
2003-07-11,1385443200
2003-07-14,1345430400
2003-07-15,1331425920
2003-07-16,1299415680
2003-07-17,1324423680
2003-07-18,1373439360
2003-07-21,1377440640
2003-07-22,1329425280
2003-07-23,1318421760
2003-07-24,1300416000
2003-07-25,1310419200
2003-07-28,1329425280
2003-07-29,1318421760
2003-07-30,1308418560
2003-07-31,1338428160
2003-08-01,1346430720
2003-08-04,1320422400
2003-08-05,1327424640
2003-08-06,1355433600
2003-08-07,1403448960
2003-08-08,1401448320
2003-08-11,1422455040
2003-08-12,1444462080
2003-08-13,1449463680
2003-08-14,1441461120
2003-08-15,1445462400
2003-08-18,1472471040
2003-08-19,1485475200
2003-08-20,1482474240
2003-08-21,1494478080
2003-08-22,1458466560
2003-08-25,1450464000
2003-08-26,1431457920
2003-08-27,1440460800
2003-08-28,1471470720
2003-08-29,1463468160
2003-09-02,1451464320
2003-09-03,1450464000
2003-09-04,1438460160
2003-09-05,1444462080
2003-09-08,1443461760
2003-09-09,1410451200
2003-09-10,1369438080
2003-09-11,1361435520
2003-09-12,1376440320
2003-09-15,1345430400
2003-09-16,1349431680
2003-09-17,1325424000
2003-09-18,1324423680
2003-09-19,1338428160
2003-09-22,1329425280
2003-09-23,1330425600
2003-09-24,1358434560
2003-09-25,1350432000
2003-09-26,1319422080
2003-09-29,1312419840
2003-09-30,1311025560
2003-10-01,1347136440
2003-10-02,1362182640
2003-10-03,1354158000
2003-10-06,1352151840
2003-10-07,1354158000
2003-10-08,1339111800
2003-10-09,1336102560
2003-10-10,1357167240
2003-10-13,1359173400
2003-10-14,1351148760
2003-10-15,1320053280
2003-10-16,1329081000
2003-10-17,1339111800
2003-10-20,1322059440
2003-10-21,1337105640
2003-10-22,1311025560
2003-10-23,1309019400
2003-10-24,1287954720
2003-10-27,1313031720
2003-10-28,1307013240
2003-10-29,1309019400
2003-10-30,1305007080
2003-10-31,1330084080
2003-11-03,1311025560
2003-11-04,1300994760
2003-11-05,1304004000
2003-11-06,1311025560
2003-11-07,1312028640
2003-11-10,1291967040
2003-11-11,1282939320
2003-11-12,1273911600
2003-11-13,1286951640
2003-11-14,1293973200
2003-11-17,1257862320
2003-11-18,1243819200
2003-11-19,1237800720
2003-11-20,1223757600
2003-11-21,1206705240
2003-11-24,1192662120
2003-11-25,1201689840
2003-11-26,1204699080
2003-11-28,1208711400
2003-12-01,1220748360
2003-12-02,1220748360
2003-12-03,1214729880
2003-12-04,1268896200
2003-12-05,1293973200
2003-12-08,1312028640
2003-12-09,1310022480
2003-12-10,1301997840
2003-12-11,1296982440
2003-12-12,1336102560
2003-12-15,1328077920
2003-12-16,1308016320
2003-12-17,1335099480
2003-12-18,1402305840
2003-12-19,1379235000
2003-12-22,1393278120
2003-12-23,1367198040
2003-12-24,1384250400
2003-12-26,1389265800
2003-12-29,1405315080
2003-12-30,1423370520
2003-12-31,1404348220
2004-01-02,1412390300
2004-01-05,1427469200
2004-01-06,1411385040
2004-01-07,1373185160
2004-01-08,1401332440
2004-01-09,1428474460
2004-01-12,1397311400
2004-01-13,1395300880
2004-01-14,1394295620
2004-01-15,1344032620
2004-01-16,1383237760
2004-01-20,1425458680
2004-01-21,1441542840
2004-01-22,1425458680
2004-01-23,1479742720
2004-01-26,1478737460
2004-01-27,1479742720
2004-01-28,1466674340
2004-01-29,1462653300
2004-01-30,1458632260
2004-02-02,1476726940
2004-02-03,1471700640
2004-02-04,1463658560
2004-02-05,1426463940
2004-02-06,1423448160
2004-02-09,1470695380
2004-02-10,1495826880
2004-02-11,1498842660
2004-02-12,1490800580
2004-02-13,1481753240
2004-02-17,1500853180
2004-02-18,1474716420
2004-02-19,1472705900
2004-02-20,1474716420
2004-02-23,1463658560
2004-02-24,1489795320
2004-02-25,1491805840
2004-02-26,1512916300
2004-02-27,1493816360
2004-03-01,1520958380
2004-03-02,1535032020
2004-03-03,1539053060
2004-03-04,1534026760
2004-03-05,1532016240
2004-03-08,1513921560
2004-03-09,1492811100
2004-03-10,1454611220
2004-03-11,1428474460
2004-03-12,1452600700
2004-03-15,1469690120
2004-03-16,1443553360
2004-03-17,1462653300
2004-03-18,1466674340
2004-03-19,1431490240
2004-03-22,1406358740
2004-03-23,1387258800
2004-03-24,1358106260
2004-03-25,1387258800
2004-03-26,1391279840
2004-03-29,1391279840
2004-03-30,1422442900
2004-03-31,1444578640
2004-04-01,1419376640
2004-04-02,1424417040
2004-04-05,1417360480
2004-04-06,1414336240
2004-04-07,1427441280
2004-04-08,1440546320
2004-04-12,1466756400
2004-04-13,1428449360
2004-04-14,1423408960
2004-04-15,1444578640
2004-04-16,1489942240
2004-04-19,1478853360
2004-04-20,1430465520
2004-04-21,1414336240
2004-04-22,1438530160
2004-04-23,1415344320
2004-04-26,1406271600
2004-04-27,1424417040
2004-04-28,1401231200
2004-04-29,1353851440
2004-04-30,1360908000
2004-05-03,1375021120
2004-05-04,1368972640
2004-05-05,1338730240
2004-05-06,1322600960
2004-05-07,1299415120
2004-05-10,1263124240
2004-05-11,1266148480
2004-05-12,1269172720
2004-05-13,1270180800
2004-05-14,1268164640
2004-05-17,1268164640
2004-05-18,1239938400
2004-05-19,1239938400
2004-05-20,1229857600
2004-05-21,1222801040
2004-05-24,1272196960
2004-05-25,1276229280
2004-05-26,1265140400
2004-05-27,1230865680
2004-05-28,1258083840
2004-06-01,1267156560
2004-06-02,1258083840
2004-06-03,1227841440
2004-06-04,1240946480
2004-06-07,1242962640
2004-06-08,1251027280
2004-06-09,1248003040
2004-06-10,1261108080
2004-06-14,1243970720
2004-06-15,1271188880
2004-06-16,1307479760
2004-06-17,1324617120
2004-06-18,1322600960
2004-06-21,1303447440
2004-06-22,1310504000
2004-06-23,1353851440
2004-06-24,1321592880
2004-06-25,1303447440
2004-06-28,1288326240
2004-06-29,1303447440
2004-06-30,1319222640
2004-07-01,1320231220
2004-07-02,1340402820
2004-07-06,1334351340
2004-07-07,1326282700
2004-07-08,1315188320
2004-07-09,1346454300
2004-07-12,1328299860
2004-07-13,1320231220
2004-07-14,1350488620
2004-07-15,1392848980
2004-07-16,1383771760
2004-07-19,1376711700
2004-07-20,1379737440
2004-07-21,1340402820
2004-07-22,1319222640
2004-07-23,1302076780
2004-07-26,1260725000
2004-07-27,1287956660
2004-07-28,1280896600
2004-07-29,1285939500
2004-07-30,1276862280
2004-08-02,1251647780
2004-08-03,1268793640
2004-08-04,1248622040
2004-08-05,1235510500
2004-08-06,1220381800
2004-08-09,1234501920
2004-08-10,1244587720
2004-08-11,1238536240
2004-08-12,1211304580
2004-08-13,1236519080
2004-08-16,1250639200
2004-08-17,1220381800
2004-08-18,1233493340
2004-08-19,1239544820
2004-08-20,1285939500
2004-08-23,1255682100
2004-08-24,1265767900
