,CARR
2020-08-11,25550136000
2020-08-12,25810056000
2020-08-13,25593456000
2020-08-14,25576128000
2020-08-17,25853376000
2020-08-18,25524144000
2020-08-19,25342200000
2020-08-20,25134264000
2020-08-21,25576128000
2020-08-24,26321232000
2020-08-25,26399208000
2020-08-26,26884392000
2020-08-27,26234592000
2020-08-28,26251920000
2020-08-31,25862040000
2020-09-01,26251920000
2020-09-02,26667792000
2020-09-03,25411512000
2020-09-04,25992000000
2020-09-08,25619448000
2020-09-09,26104632000
2020-09-10,25246896000
2020-09-11,25333536000
2020-09-14,25255560000
2020-09-15,25723416000
2020-09-16,26208600000
2020-09-17,26563824000
2020-09-18,26676456000
2020-09-21,25567464000
2020-09-22,26217264000
2020-09-23,25220904000
2020-09-24,25888032000
2020-09-25,26416536000
2020-09-28,26633136000
2020-09-29,26425200000
2020-09-30,26459856000
2020-10-01,26659128000
2020-10-02,27057672000
2020-10-05,27794112000
2020-10-06,27300264000
2020-10-07,27828767999
2020-10-08,27681480000
2020-10-09,27924071999
2020-10-12,28591200000
2020-10-13,28149336000
2020-10-14,28166664000
2020-10-15,28244640000
2020-10-16,28383264000
2020-10-19,28002048000
2020-10-20,28790471999
2020-10-21,28894440000
2020-10-22,29362296000
2020-10-23,30263352000
2020-10-26,29206344000
2020-10-27,29111040000
2020-10-28,28851119999
2020-10-29,29518248000
2020-10-30,28929096000
2020-11-02,30410640000
2020-11-03,32013480000
2020-11-04,31866192000
2020-11-05,33096480000
2020-11-06,33746280000
2020-11-09,33616319999
2020-11-10,32758584000
2020-11-11,32975184000
2020-11-12,32888544000
2020-11-13,33174456000
2020-11-16,35089200000
2020-11-17,34967904000
2020-11-18,34127496000
2020-11-19,33902232000
2020-11-20,33391056000
2020-11-23,33590328000
2020-11-24,34110167999
2020-11-25,33451704000
2020-11-27,32758584000
2020-11-30,32983848000
2020-12-01,32576640000
2020-12-02,31909512000
2020-12-03,31788215999
2020-12-04,32663280000
2020-12-07,31918176000
2020-12-08,32316719999
2020-12-09,32784576000
2020-12-10,32524656000
2020-12-11,32195423999
2020-12-14,31727567999
2020-12-15,32637288000
2020-12-16,32923200000
2020-12-17,33529680000
2020-12-18,33607656000
2020-12-21,33373728000
2020-12-22,32949192000
2020-12-23,33061823999
2020-12-24,32827896000
2020-12-28,32715264000
2020-12-29,32204088000
2020-12-30,32689271999
2020-12-31,32789996000
2021-01-04,32190179000
2021-01-05,32981241999
2021-01-06,34815465000
2021-01-07,35719537000
2021-01-08,35371817000
2021-01-11,36136801000
2021-01-12,36284582000
2021-01-13,35971634000
2021-01-14,35467440000
2021-01-15,35102334000
2021-01-19,35093641000
2021-01-20,34806772000
2021-01-21,34545982000
2021-01-22,34346043000
2021-01-25,33807077000
2021-01-26,32442276000
2021-01-27,31494738999
2021-01-28,33207260000
2021-01-29,33468050000
2021-02-01,33607137999
2021-02-02,33450663999
2021-02-03,33163795000
2021-02-04,33320269000
2021-02-05,34033095000
2021-02-08,34511210000
2021-02-09,32381425000
2021-02-10,32329266999
2021-02-11,32337960000
2021-02-12,32407504000
2021-02-16,32520512999
2021-02-17,32372732000
2021-02-18,31859845000
2021-02-19,32720452000
2021-02-22,32424889999
2021-02-23,32251030000
2021-02-24,32555285000
2021-02-25,31416502000
2021-02-26,31755529000
2021-03-01,32337960000
2021-03-02,32285802000
2021-03-03,32268415999
2021-03-04,30877536000
2021-03-05,32111941999
2021-03-08,32216258000
2021-03-09,32268415999
2021-03-10,33711454000
2021-03-11,34102638999
2021-03-12,34415587000
2021-03-15,34424280000
2021-03-16,33528901000
2021-03-17,34206955000
2021-03-18,35641300000
2021-03-19,35563063000
2021-03-22,35997713000
2021-03-23,35024097000
2021-03-24,34893702000
2021-03-25,35076255000
2021-03-26,35719537000
2021-03-29,36806162000
2021-03-30,36823548000
2021-03-31,36676514000
2021-04-01,36502774000
2021-04-05,36989246000
2021-04-06,37189047000
2021-04-07,37084803000
2021-04-08,36945811000
2021-04-09,37136925000
2021-04-12,37006620000
2021-04-13,37493092000
2021-04-14,37467031000
2021-04-15,37866633000
2021-04-16,38118556000
2021-04-19,38109869000
2021-04-20,36937124000
2021-04-21,37406222000
2021-04-22,37432283000
2021-04-23,38631089000
2021-04-26,38309670000
2021-04-27,39056752000
2021-04-28,38648463000
2021-04-29,38353105000
2021-04-30,37857946000
2021-05-03,37753702000
2021-05-04,37467031000
2021-05-05,37588649000
2021-05-06,38361792000
2021-05-07,38952508000
2021-05-10,39447667000
2021-05-11,38657150000
2021-05-12,36858941000
2021-05-13,37571275000
2021-05-14,37910068000
2021-05-17,38370479000
2021-05-18,37927442000
2021-05-19,37736328000
2021-05-20,38127243000
2021-05-21,38118556000
2021-05-24,38552906000
2021-05-25,38848264000
2021-05-26,38848264000
2021-05-27,39360797000
2021-05-28,39899391000
2021-06-01,40698595000
2021-06-02,40003635000
2021-06-03,39725651000
2021-06-04,39864643000
2021-06-07,40012322000
2021-06-08,40272932000
2021-06-09,40125253000
2021-06-10,39838582000
2021-06-11,40047070000
2021-06-14,40142627000
2021-06-15,40420611000
2021-06-16,40750717000
2021-06-17,40073131000
2021-06-18,39134935000
2021-06-21,40394550000
2021-06-22,40055757000
2021-06-23,40047070000
2021-06-24,40151314000
2021-06-25,40881022000
2021-06-28,41593356000
2021-06-29,42314377000
2021-06-30,42165360000
2021-07-01,42295500000
2021-07-02,42095952000
2021-07-06,41792292000
2021-07-07,42364908000
2021-07-08,41688180000
2021-07-09,41879052000
2021-07-12,42694596000
2021-07-13,42711948000
2021-07-14,42512400000
2021-07-15,42998256000
2021-07-16,42581808000
2021-07-19,41861700000
2021-07-20,43293240000
2021-07-21,43770420000
2021-07-22,44082756000
2021-07-23,45028440000
2021-07-26,44690076000
2021-07-27,45080496000
2021-07-28,44742132000
2021-07-29,46798344000
2021-07-30,47934900000
2021-08-02,47379636000
2021-08-03,49609368000
2021-08-04,49487904000
2021-08-05,48863232000
2021-08-06,48915288000
2021-08-09,48793824000
2021-08-10,49114836000
2021-08-11,49357764000
2021-08-12,48568248000
2021-08-13,48715740000
2021-08-16,49106160000
2021-08-17,47848140000
2021-08-18,47865492000
2021-08-19,47934900000
2021-08-20,48039012000
2021-08-23,48481488000
2021-08-24,49114836000
2021-08-25,50095224000
2021-08-26,49782888000
2021-08-27,50598432000
2021-08-30,50346828000
2021-08-31,49973760000
2021-09-01,50225364000
2021-09-02,50251392000
2021-09-03,49808916000
2021-09-07,48776472000
2021-09-08,49158216000
2021-09-09,49218948000
2021-09-10,48958668000
2021-09-13,48360024000
2021-09-14,47700648000
2021-09-15,48377376000
2021-09-16,47778732000
2021-09-17,47718000000
2021-09-20,46694232000
2021-09-21,44846244000
2021-09-22,45627084000
2021-09-23,46407924000
2021-09-24,46086912000
2021-09-27,45436212000
2021-09-28,45080496000
2021-09-29,45852660000
2021-09-30,44782752000
2021-10-01,45388392000
2021-10-04,45275916000
2021-10-05,45699864000
2021-10-06,45518172000
2021-10-07,46158420000
2021-10-08,44557800000
2021-10-11,44341500000
2021-10-12,43519560000
2021-10-13,43891596000
2021-10-14,45864252000
2021-10-15,46227636000
2021-10-18,46703496000
2021-10-19,46694844000
2021-10-20,46738104000
2021-10-21,46997664000
2021-10-22,47291832000
2021-10-25,47239920000
2021-10-26,46487196000
2021-10-27,45994032000
2021-10-28,47084184000
2021-10-29,45189396000
2021-11-01,45137484000
2021-11-02,45336480000
2021-11-03,44964444000
2021-11-04,45829644000
2021-11-05,45673908000
2021-11-08,46149768000
2021-11-09,47421612000
2021-11-10,47265876000
2021-11-11,47153400000
2021-11-12,48555024000
2021-11-15,48191640000
2021-11-16,48676152000
2021-11-17,48555024000
2021-11-18,49333704000
2021-11-19,49446180000
2021-11-22,48805932000
2021-11-23,47473524000
2021-11-24,48182988000
2021-11-26,47914776000
2021-11-29,48433896000
2021-11-30,46824624000
2021-12-01,46374720000
2021-12-02,48035904000
2021-12-03,48555024000
2021-12-06,48321420000
2021-12-07,49004928000
2021-12-08,48831888000
2021-12-09,48442548000
2021-12-10,48027252000
2021-12-13,47525436000
2021-12-14,46331460000
2021-12-15,46331460000
2021-12-16,46608324000
2021-12-17,45215352000
2021-12-20,44047332000
2021-12-21,45102876000
2021-12-22,45440304000
2021-12-23,45699864000
2021-12-27,46314156000
2021-12-28,46270896000
2021-12-29,46495848000
2021-12-30,46331460000
2021-12-31,46282992000
2022-01-03,44815316000
2022-01-04,45924606000
2022-01-05,44687321000
2022-01-06,45651550000
2022-01-07,44235072000
2022-01-10,44644656000
2022-01-11,44832382000
2022-01-12,45224900000
2022-01-13,44542260000
2022-01-14,43603630000
2022-01-18,42366345000
2022-01-19,41632507000
2022-01-20,40983999000
2022-01-21,40787740000
2022-01-24,40668278000
2022-01-25,40284293000
2022-01-26,39823511000
2022-01-27,39328597000
2022-01-28,39635785000
2022-01-31,40685344000
2022-02-01,40147765000
2022-02-02,40540283000
2022-02-03,39456592000
2022-02-04,39115272000
2022-02-07,39012876000
2022-02-08,39302998000
2022-02-09,40941334000
2022-02-10,40233095000
2022-02-11,38825150000
2022-02-14,38219307000
2022-02-15,39038475000
2022-02-16,38953145000
2022-02-17,38040114000
2022-02-18,37613464000
2022-02-22,38645957000
2022-02-23,37408672000
2022-02-24,38151043000
2022-02-25,38594759000
2022-02-28,38296104000
2022-03-01,37306276000
2022-03-02,38321703000
2022-03-03,39149404000
2022-03-04,38398500000
2022-03-07,37135616000
2022-03-08,37186814000
2022-03-09,38048647000
2022-03-10,37383073000
2022-03-11,36879626000
2022-03-14,36615103000
2022-03-15,38569160000
2022-03-16,40002704000
2022-03-17,40207496000
2022-03-18,40770674000
2022-03-21,40514684000
2022-03-22,40523217000
2022-03-23,39695516000
2022-03-24,39396861000
2022-03-25,39584587000
2022-03-28,40011237000
2022-03-29,41026664000
2022-03-30,40591481000
2022-03-31,38792259000
2022-04-01,38936028000
2022-04-04,38267925000
2022-04-05,37667478000
2022-04-06,37109316000
2022-04-07,36948633000
2022-04-08,36686466000
2022-04-11,35891508000
2022-04-12,35333346000
2022-04-13,35612427000
2022-04-14,34910496000
2022-04-18,34918953000
2022-04-19,35942250000
2022-04-20,36745665000
2022-04-21,36212874000
2022-04-22,35240319000
2022-04-25,35485572000
2022-04-26,33870284999
2022-04-27,34047882000
2022-04-28,33329036999
2022-04-29,32364939000
2022-05-02,32644020000
2022-05-03,32457966000
2022-05-04,33329036999
2022-05-05,32102772000
2022-05-06,31950546000
2022-05-09,32246541000
2022-05-10,32212713000
2022-05-11,31789863000
2022-05-12,33066870000
2022-05-13,33988682999
2022-05-16,33709602000
2022-05-17,33980226000
2022-05-18,31595352000
2022-05-19,31637636999
2022-05-20,32102772000
2022-05-23,32364939000
2022-05-24,32085857999
2022-05-25,32381853000
2022-05-26,33261381000
2022-05-27,34022510999
2022-05-31,33244467000
2022-06-01,32931557999
2022-06-02,33895656000
2022-06-03,33481263000
2022-06-06,33464349000
2022-06-07,33819543000
2022-06-08,33312123000
2022-06-09,32855445000
2022-06-10,31578438000
2022-06-13,30859593000
2022-06-14,30394457999
2022-06-15,31096389000
2022-06-16,29244306000
2022-06-17,29100536999
2022-06-21,29607957000
2022-06-22,29413446000
2022-06-23,29447274000
2022-06-24,30698909999
2022-06-27,30538227000
2022-06-28,30436743000
2022-06-29,30267603000
2022-06-30,29940135999
2022-07-01,30225600000
2022-07-05,30284372000
2022-07-06,30376728000
2022-07-07,30561440000
2022-07-08,30284372000
2022-07-11,30670588000
2022-07-12,30334748000
2022-07-13,29998907999
2022-07-14,29898156000
2022-07-15,30225600000
2022-07-18,29847779999
2022-07-19,31207932000
2022-07-20,31392644000
2022-07-21,32131492000
2022-07-22,32324600000
2022-07-25,32097907999
2022-07-26,31980364000
2022-07-27,33197784000
2022-07-28,33147407999
2022-07-29,34028988000
2022-08-01,34062572000
2022-08-02,33928235999
2022-08-03,34222096000
2022-08-04,35103676000
2022-08-05,35162448000
2022-08-08,35212824000
2022-08-09,35061696000
2022-08-10,35985256000
2022-08-11,36144780000
2022-08-12,36917212000
2022-08-15,37286636000
2022-08-16,37269844000
2022-08-17,37051548000
2022-08-18,37194280000
2022-08-19,35666208000
2022-08-22,34944152000
2022-08-23,34809816000
2022-08-24,34977736000
2022-08-25,35254804000
2022-08-26,33785504000
2022-08-29,33365704000
2022-08-30,33004676000
2022-08-31,32845151999
2022-09-01,33407684000
2022-09-02,33231368000
2022-09-06,33835879999
2022-09-07,34843400000
2022-09-08,35363952000
2022-09-09,35405932000
2022-09-12,35506684000
2022-09-13,34322848000
2022-09-14,33735128000
2022-09-15,33919840000
2022-09-16,32274223999
2022-09-19,32593272000
2022-09-20,31745276000
2022-09-21,31493396000
2022-09-22,30393520000
2022-09-23,30317956000
2022-09-26,29621088000
2022-09-27,29847779999
2022-09-28,30981240000
2022-09-29,29906551999
2022-09-30,29713936000
2022-10-03,30758436000
2022-10-04,32237448000
2022-10-05,31919920000
2022-10-06,31092676000
2022-10-07,29521748000
2022-10-10,29747360000
2022-10-11,29371340000
2022-10-12,29145728000
2022-10-13,29120660000
2022-10-14,28886692000
2022-10-17,29705579999
2022-10-18,30348992000
2022-10-19,29154084000
2022-10-20,28460536000
2022-10-21,29404764000
2022-10-24,29956260000
2022-10-25,31159524000
2022-10-26,31034184000
2022-10-27,31652528000
2022-10-28,33382220000
2022-10-31,33223456000
2022-11-01,33181676000
2022-11-02,32688671999
2022-11-03,32897571999
2022-11-04,33657968000
2022-11-07,34293024000
2022-11-08,34602196000
2022-11-09,33708104000
2022-11-10,36331888000
2022-11-11,37134064000
2022-11-14,36440516000
2022-11-15,37058860000
2022-11-16,36649416000
2022-11-17,35964224000
2022-11-18,36699552000
2022-11-21,36674484000
2022-11-22,36799824000
2022-11-23,36900096000
2022-11-25,36941876000
2022-11-28,36189836000
2022-11-29,36365312000
2022-11-30,37033792000
2022-12-01,37543508000
2022-12-02,37334608000
2022-12-05,36565856000
2022-12-06,35947512000
2022-12-07,35997648000
2022-12-08,36323532000
2022-12-09,35947512000
2022-12-12,36148056000
2022-12-13,37033792000
2022-12-14,36599280000
2022-12-15,35479576000
2022-12-16,34886300000
2022-12-19,34677400000
2022-12-20,34568772000
2022-12-21,35170404000
2022-12-22,34827808000
2022-12-23,34919724000
2022-12-27,34986572000
2022-12-28,34226176000
2022-12-29,34969860000
2022-12-30,34468500000
2023-01-03,34744350000
2023-01-04,35095050000
2023-01-05,34677550000
2023-01-06,36013550000
2023-01-09,36322500000
2023-01-10,36740000000
2023-01-11,37733650000
2023-01-12,37783750000
2023-01-13,38301450000
2023-01-17,37934050000
2023-01-18,36339200000
2023-01-19,34994850000
2023-01-20,35545950000
2023-01-23,36138800000
2023-01-24,36489500000
2023-01-25,36330850000
2023-01-26,36447750000
2023-01-27,36422700000
2023-01-30,36389300000
2023-01-31,38017550000
2023-02-01,38526900000
2023-02-02,39353550000
2023-02-03,39153150000
2023-02-06,38535250000
2023-02-07,37065650000
2023-02-08,37625100000
2023-02-09,37508200000
2023-02-10,37433050000
2023-02-13,37942400000
2023-02-14,37683550000
2023-02-15,37975800000
2023-02-16,37767050000
2023-02-17,37758700000
2023-02-21,36598050000
2023-02-22,36406000000
2023-02-23,37115750000
2023-02-24,36948750000
2023-02-27,37541600000
2023-02-28,37600050000
2023-03-01,38067650000
2023-03-02,38485150000
2023-03-03,39904650000
2023-03-06,40397300000
2023-03-07,39704250000
2023-03-08,39570650000
2023-03-09,38535250000
2023-03-10,38109400000
2023-03-13,37366250000
2023-03-14,38201250000
2023-03-15,36163850000
2023-03-16,37140800000
2023-03-17,36531250000
2023-03-20,37566650000
2023-03-21,37742000000
2023-03-22,36890300000
2023-03-23,36990500000
2023-03-24,36673200000
2023-03-27,36990500000
2023-03-28,37366250000
2023-03-29,37892300000
2023-03-30,37650150000
2023-03-31,38247000000
2023-04-03,38196840000
2023-04-04,35856040000
2023-04-05,35195600000
2023-04-06,34944800000
2023-04-10,35362800000
2023-04-11,36382720000
2023-04-12,36666960000
2023-04-13,36867600000
2023-04-14,37034800000
2023-04-17,37427720000
2023-04-18,37461160000
2023-04-19,37603280000
2023-04-20,37937680000
2023-04-21,37803920000
2023-04-24,35053480000
2023-04-25,35379520000
2023-04-26,33983400000
2023-04-27,34660560000
2023-04-28,34961520000
2023-05-01,34418120000
2023-05-02,34961520000
2023-05-03,34351240000
2023-05-04,34359600000
2023-05-05,35429680000
2023-05-08,35613600000
2023-05-09,35764080000
2023-05-10,36014880000
2023-05-11,35805880000
2023-05-12,35446400000
2023-05-15,35789160000
2023-05-16,35237400000
2023-05-17,35864400000
2023-05-18,36173720000
2023-05-19,35772440000
2023-05-22,35471480000
2023-05-23,34702360000
2023-05-24,34526800000
2023-05-25,34443200000
2023-05-26,34184040000
2023-05-30,34903000000
2023-05-31,34192400000
2023-06-01,34694000000
2023-06-02,36315840000
2023-06-05,36115200000
2023-06-06,36658600000
2023-06-07,38121600000
2023-06-08,38121600000
2023-06-09,37870800000
2023-06-12,38313880000
2023-06-13,39099720000
2023-06-14,38589760000
2023-06-15,38907440000
2023-06-16,39191680000
2023-06-20,39801960000
2023-06-21,40311920000
2023-06-22,40010960000
2023-06-23,40169800000
2023-06-26,40654680000
2023-06-27,41373640000
2023-06-28,41231520000
2023-06-29,41373640000
2023-06-30,41691777000
2023-07-03,41968548000
2023-07-05,41297588000
2023-07-06,41155009000
2023-07-07,41373071000
2023-07-10,42991762000
2023-07-11,44451100000
2023-07-12,44551744000
2023-07-13,44551744000
2023-07-14,45155608000
2023-07-17,45759472000
2023-07-18,46329788000
2023-07-19,46321401000
2023-07-20,45851729000
2023-07-21,45080125000
2023-07-24,45130447000
2023-07-25,45214317000
2023-07-26,45650441000
2023-07-27,47596225000
2023-07-28,49474913000
2023-07-31,49944585000
2023-08-01,50154260000
2023-08-02,49466526000
2023-08-03,48728470000
2023-08-04,47872996000
2023-08-07,48728470000
2023-08-08,48132993000
2023-08-09,47101392000
2023-08-10,46463980000
2023-08-11,46581398000
2023-08-14,46983974000
2023-08-15,46472367000
2023-08-16,45683989000
2023-08-17,44493035000
2023-08-18,44778193000
2023-08-21,44929159000
2023-08-22,45122060000
2023-08-23,46321401000
2023-08-24,45231091000
2023-08-25,46145274000
2023-08-28,46606559000
2023-08-29,47604612000
2023-08-30,47956866000
2023-08-31,48183315000
2023-09-01,48594278000
2023-09-05,47319454000
2023-09-06,47302680000
2023-09-07,48015575000
2023-09-08,49198142000
2023-09-11,49432978000
2023-09-12,47453646000
2023-09-13,46329788000
2023-09-14,45927212000
2023-09-15,45675602000
2023-09-18,45616893000
2023-09-19,45163995000
2023-09-20,45147221000
2023-09-21,44082072000
2023-09-22,44342069000
2023-09-25,44937546000
2023-09-26,44216264000
2023-09-27,46195596000
2023-09-28,46916878000
2023-09-29,46296240000
2023-10-02,45808576000
2023-10-03,44935392000
2023-10-04,45850556000
2023-10-05,44926996000
2023-10-06,45573488000
2023-10-09,46194792000
2023-10-10,46530632000
2023-10-11,47051184000
2023-10-12,45741408000
2023-10-13,44129376000
2023-10-16,44624740000
2023-10-17,44414840000
2023-10-18,42105940000
2023-10-19,41140400000
2023-10-20,40535888000
2023-10-23,40720600000
2023-10-24,40426740000
2023-10-25,39494784000
2023-10-26,38957440000
2023-10-27,39041400000
2023-10-30,39771852000
2023-10-31,40015336000
2023-11-01,41694536000
2023-11-02,41954812000
2023-11-03,42424988000
2023-11-06,42206692000
2023-11-07,42357820000
2023-11-08,42777620000
2023-11-09,42341028000
2023-11-10,43239400000
2023-11-13,42769224000
2023-11-14,44339276000
2023-11-15,43953060000
2023-11-16,44230128000
2023-11-17,44683512000
2023-11-20,44994164000
2023-11-21,44272108000
2023-11-22,44288900000
2023-11-24,44482008000
2023-11-27,43776744000
2023-11-28,43348548000
2023-11-29,43835516000
2023-11-30,43625616000
2023-12-01,44683512000
2023-12-04,44885016000
2023-12-05,44137772000
2023-12-06,44507196000
2023-12-07,44406444000
2023-12-08,46404692000
2023-12-11,46975620000
2023-12-12,47294668000
2023-12-13,46849680000
2023-12-14,49376876000
2023-12-15,48134268000
2023-12-18,47655696000
2023-12-19,47848804000
2023-12-20,47017600000
2023-12-21,47790032000
2023-12-22,47941160000
2023-12-26,48226624000
2023-12-27,48512088000
2023-12-28,48394544000
2023-12-29,48235020000
2024-01-02,50759840000
2024-01-03,49366080000
2024-01-04,49887616000
2024-01-05,50103424000
2024-01-08,50732864000
2024-01-09,51074560000
2024-01-10,51290368000
2024-01-11,51128512000
2024-01-12,50481088000
2024-01-16,50220320000
2024-01-17,49509952000
2024-01-18,49815680000
2024-01-19,50247296000
2024-01-22,50642944000
2024-01-23,50274272000
2024-01-24,49429024000
2024-01-25,50633952000
2024-01-26,49914592000
2024-01-29,50633952000
2024-01-30,50651936000
2024-01-31,49195232000
2024-02-01,49986528000
2024-02-02,51056576000
2024-02-05,50588992000
2024-02-06,48835552000
2024-02-07,48403936000
2024-02-08,49509952000
2024-02-09,50364192000
2024-02-12,50391168000
2024-02-13,48529824000
2024-02-14,49456000000
2024-02-15,50400160000
2024-02-16,48556800000
2024-02-20,48044256000
2024-02-21,48349984000
2024-02-22,48421920000
2024-02-23,48736640000
2024-02-26,48556800000
2024-02-27,49491968000
2024-02-28,49240192000
2024-02-29,49977536000
2024-03-01,50768832000
2024-03-04,51389280000
2024-03-05,50885728000
2024-03-06,51901824000
2024-03-07,53547360000
2024-03-08,52198560000
2024-03-11,51380288000
2024-03-12,52063680000
2024-03-13,52027712000
2024-03-14,51533152000
2024-03-15,51299360000
2024-03-18,51344320000
2024-03-19,52585216000
2024-03-20,52648160000
2024-03-21,53790144000
2024-03-22,52027712000
2024-03-25,51587104000
2024-03-26,51739968000
2024-03-27,51865856000
2024-03-28,52270496000
2024-04-01,51614080000
2024-04-02,51074560000
2024-04-03,51200448000
2024-04-04,50220320000
2024-04-05,50750848000
2024-04-08,52009728000
2024-04-09,52252512000
2024-04-10,51155488000
2024-04-11,50912704000
2024-04-12,51110528000
2024-04-15,49869632000
2024-04-16,49240192000
2024-04-17,48781600000
2024-04-18,47999296000
2024-04-19,48134176000
2024-04-22,48215104000
2024-04-23,49581888000
2024-04-24,49249184000
2024-04-25,53781152000
2024-04-26,54401600000
2024-04-29,56388832000
2024-04-30,55291808000
2024-05-01,54959104000
2024-05-02,54797248000
2024-05-03,55831328000
2024-05-06,57602752000
2024-05-07,57782592000
2024-05-08,57827552000
2024-05-09,58663807999
2024-05-10,58897600000
2024-05-13,57845536000
2024-05-14,58412031999
2024-05-15,59167360000
2024-05-16,58448000000
2024-05-17,58654816000
2024-05-20,59329216000
2024-05-21,59545024000
2024-05-22,58762719999
2024-05-23,57863519999
2024-05-24,59032480000
2024-05-28,58151264000
2024-05-29,56712544000
2024-05-30,56955328000
2024-05-31,56820448000
2024-06-03,55741408000
2024-06-04,55093984000
2024-06-05,56802464000
2024-06-06,56182016000
2024-06-07,56388832000
2024-06-10,56235968000
2024-06-11,55750400000
2024-06-12,57890495999
2024-06-13,57539808000
2024-06-14,57863519999
2024-06-17,58555904000
2024-06-18,59095424000
2024-06-20,57746624000
2024-06-21,56541696000
2024-06-24,58115295999
2024-06-25,57485856000
2024-06-26,56523712000
2024-06-27,56856416000
2024-06-28,56721536000
2024-07-01,55660480000
2024-07-02,56496736000
2024-07-03,57063232000
2024-07-05,56865408000
2024-07-08,56766496000
2024-07-09,56011168000
2024-07-10,57189120000
2024-07-11,59715872000
2024-07-12,59347200000
2024-07-15,60570112000
2024-07-16,62836095999
2024-07-17,60767936000
2024-07-18,60291360000
2024-07-19,59563007999
2024-07-22,61363200000
2024-07-23,61606848000
2024-07-24,59549375999
2024-07-25,58502592000
2024-07-26,60253248000
2024-07-29,61020288000
2024-07-30,60848832000
2024-07-31,61462464000
2024-08-01,59612544000
2024-08-02,57744576000
2024-08-05,57347520000
2024-08-06,57879936000
2024-08-07,56950464000
2024-08-08,58186752000
2024-08-09,58096511999
