,HFC
2000-10-03,91555572
2000-10-04,91555572
2000-10-05,91555572
2000-10-06,93443927
2000-10-09,92500354
2000-10-10,93443927
2000-10-11,92500354
2000-10-12,92971536
2000-10-13,96275854
2000-10-16,100051354
2000-10-17,99106572
2000-10-18,99106572
2000-10-19,96275854
2000-10-20,96275854
2000-10-23,95803463
2000-10-24,95331072
2000-10-25,91555572
2000-10-26,92027963
2000-10-27,94387500
2000-10-30,94387500
2000-10-31,94387500
2000-11-01,96275854
2000-11-02,95331072
2000-11-03,98163000
2000-11-06,98163000
2000-11-07,99106572
2000-11-08,100051354
2000-11-09,100051354
2000-11-10,100051354
2000-11-13,100051354
2000-11-14,100051354
2000-11-15,100994927
2000-11-16,101938500
2000-11-17,100994927
2000-11-20,98635390
2000-11-21,103354463
2000-11-22,101938500
2000-11-24,100522536
2000-11-27,99106572
2000-11-28,102882072
2000-11-29,102410890
2000-11-30,100994927
2000-12-01,99106572
2000-12-04,99106572
2000-12-05,98163000
2000-12-06,96275854
2000-12-07,96747036
2000-12-08,98163000
2000-12-11,100051354
2000-12-12,96747036
2000-12-13,96275854
2000-12-14,96747036
2000-12-15,113265000
2000-12-18,128064960
2000-12-19,131689440
2000-12-20,129273120
2000-12-21,130481280
2000-12-22,130481280
2000-12-26,131689440
2000-12-27,134105760
2000-12-28,137730240
2000-12-29,141354720
2001-01-02,136522080
2001-01-03,132897600
2001-01-04,128064960
2001-01-05,126856800
2001-01-08,115153354
2001-01-09,111377854
2001-01-10,117984072
2001-01-11,122024160
2001-01-12,124440480
2001-01-16,129273120
2001-01-17,131689440
2001-01-18,122024160
2001-01-19,124440480
2001-01-22,128064960
2001-01-23,129273120
2001-01-24,130481280
2001-01-25,134105760
2001-01-26,134105760
2001-01-29,135313920
2001-01-30,137730240
2001-01-31,136522080
2001-02-01,137930880
2001-02-02,139140800
2001-02-05,140350720
2001-02-06,139140800
2001-02-07,137930880
2001-02-08,136720960
2001-02-09,141560640
2001-02-12,145190400
2001-02-13,145190400
2001-02-14,147610240
2001-02-15,148820160
2001-02-16,153659840
2001-02-20,162129280
2001-02-21,159709440
2001-02-22,162129280
2001-02-23,156079680
2001-02-26,166968960
2001-02-27,166968960
2001-02-28,157289600
2001-03-01,159709440
2001-03-02,164549120
2001-03-05,182697920
2001-03-06,186327680
2001-03-07,182697920
2001-03-08,182697920
2001-03-09,180278080
2001-03-12,191167360
2001-03-13,186327680
2001-03-14,181488000
2001-03-15,165759040
2001-03-16,165759040
2001-03-19,170598720
2001-03-20,180278080
2001-03-21,174228480
2001-03-22,174228480
2001-03-23,174228480
2001-03-26,170598720
2001-03-27,169388800
2001-03-28,173018560
2001-03-29,175438400
2001-03-30,176648320
2001-04-02,185117760
2001-04-03,186327680
2001-04-04,186327680
2001-04-05,188747520
2001-04-06,186327680
2001-04-09,193587200
2001-04-10,206896320
2001-04-11,209316160
2001-04-12,214155840
2001-04-16,225045120
2001-04-17,245613759
2001-04-18,256503040
2001-04-19,255293119
2001-04-20,232304640
2001-04-23,233514560
2001-04-24,243193919
2001-04-25,257712960
2001-04-26,267392320
2001-04-27,272232000
2001-04-30,263762560
2001-05-01,271700160
2001-05-02,250609280
2001-05-03,261775039
2001-05-04,263015680
2001-05-07,266737600
2001-05-08,277903360
2001-05-09,279144000
2001-05-10,276662720
2001-05-11,282865920
2001-05-14,294031680
2001-05-15,286587840
2001-05-16,269218880
2001-05-17,272940800
2001-05-18,282865920
2001-05-21,298994240
2001-05-22,306438080
2001-05-23,297753600
2001-05-24,307678720
2001-05-25,310160000
2001-05-29,317603840
2001-05-30,344897920
2001-05-31,332491520
2001-06-01,349860480
2001-06-04,361026240
2001-06-05,387079680
2001-06-06,368470080
2001-06-07,330010240
2001-06-08,338694720
2001-06-11,359785600
2001-06-12,364748160
2001-06-13,351101120
2001-06-14,352341760
2001-06-15,341176000
2001-06-18,354823040
2001-06-19,333732160
2001-06-20,302716160
2001-06-21,306438080
2001-06-22,308919360
2001-06-25,300234880
2001-06-26,295272320
2001-06-27,267978240
2001-06-28,253090560
2001-06-29,285347200
2001-07-02,282865920
2001-07-03,279144000
2001-07-05,298994240
2001-07-06,286587840
2001-07-09,295272320
2001-07-10,280384640
2001-07-11,274181440
2001-07-12,264256320
2001-07-13,254331199
2001-07-16,253090560
2001-07-17,254331199
2001-07-18,251849919
2001-07-19,256812479
2001-07-20,272940800
2001-07-23,266737600
2001-07-24,244406080
2001-07-25,238202880
2001-07-26,245646720
2001-07-27,253090560
2001-07-30,250609280
2001-07-31,253090560
2001-08-01,264256320
2001-08-02,276662720
2001-08-03,272940800
2001-08-06,271700160
2001-08-07,269218880
2001-08-08,272940800
2001-08-09,271700160
2001-08-10,282865920
2001-08-13,279144000
2001-08-14,282865920
2001-08-15,282865920
2001-08-16,287828480
2001-08-17,281625280
2001-08-20,281625280
2001-08-21,271700160
2001-08-22,276662720
2001-08-23,280384640
2001-08-24,282865920
2001-08-27,281625280
2001-08-28,282865920
2001-08-29,300234880
2001-08-30,308919360
2001-08-31,327528960
2001-09-04,313881920
2001-09-05,302716160
2001-09-06,282865920
2001-09-07,285347200
2001-09-10,290309760
2001-09-17,287828480
2001-09-18,279144000
2001-09-19,245646720
2001-09-20,255571840
2001-09-21,256812479
2001-09-24,264256320
2001-09-25,265496960
2001-09-26,269218880
2001-09-27,270459520
2001-09-28,280384640
2001-10-01,294031680
2001-10-02,298994240
2001-10-03,296512960
2001-10-04,296512960
2001-10-05,292791040
2001-10-08,290309760
2001-10-09,302716160
2001-10-10,300234880
2001-10-11,302716160
2001-10-12,296512960
2001-10-15,296512960
2001-10-16,296512960
2001-10-17,297753600
2001-10-18,289069120
2001-10-19,289069120
2001-10-22,282865920
2001-10-23,281625280
2001-10-24,284106560
2001-10-25,289069120
2001-10-26,289069120
2001-10-29,286587840
2001-10-30,286587840
2001-10-31,285347200
2001-11-01,294998640
2001-11-02,293753920
2001-11-05,293753920
2001-11-06,299977520
2001-11-07,298732800
2001-11-08,309935280
2001-11-09,309935280
2001-11-12,306201120
2001-11-13,317403600
2001-11-14,316158880
2001-11-15,308690560
2001-11-16,298732800
2001-11-19,298732800
2001-11-20,296243360
2001-11-21,287530320
2001-11-23,294998640
2001-11-26,288775040
2001-11-27,288775040
2001-11-28,287530320
2001-11-29,292509200
2001-11-30,292509200
2001-12-03,292509200
2001-12-04,291264480
2001-12-05,291264480
2001-12-06,282551440
2001-12-07,280062000
2001-12-10,260146479
2001-12-11,250188719
2001-12-12,241475680
2001-12-13,252678159
2001-12-14,265125360
2001-12-17,261391200
2001-12-18,268859520
2001-12-19,272593680
2001-12-20,272593680
2001-12-21,286285600
2001-12-24,287530320
2001-12-26,294998640
2001-12-27,309935280
2001-12-28,303711680
2001-12-31,299977520
2002-01-02,306201120
2002-01-03,306201120
2002-01-04,296243360
2002-01-07,299977520
2002-01-08,311180000
2002-01-09,307445840
2002-01-10,311180000
2002-01-11,311180000
2002-01-14,307445840
2002-01-15,309935280
2002-01-16,306201120
2002-01-17,303711680
2002-01-18,299977520
2002-01-22,296243360
2002-01-23,298732800
2002-01-24,304956400
2002-01-25,303711680
2002-01-28,303711680
2002-01-29,303711680
2002-01-30,307445840
2002-01-31,317403600
2002-02-01,315359440
2002-02-04,307880560
2002-02-05,304141120
2002-02-06,320345360
2002-02-07,309127040
2002-02-08,311620000
2002-02-11,314112960
2002-02-12,311620000
2002-02-13,306634080
2002-02-14,310373520
2002-02-15,301648160
2002-02-19,296662240
2002-02-20,294169280
2002-02-21,282950960
2002-02-22,286690400
2002-02-25,285443920
2002-02-26,285443920
2002-02-27,284197440
2002-02-28,292922800
2002-03-01,295415760
2002-03-04,294169280
2002-03-05,291676320
2002-03-06,294169280
2002-03-07,295415760
2002-03-08,266746720
2002-03-11,271732640
2002-03-12,279211520
2002-03-13,284197440
2002-03-14,299155200
2002-03-15,299155200
2002-03-18,304141120
2002-03-19,302894640
2002-03-20,302894640
2002-03-21,301648160
2002-03-22,296662240
2002-03-25,296662240
2002-03-26,300401680
2002-03-27,299155200
2002-03-28,289183360
2002-04-01,294169280
2002-04-02,301648160
2002-04-03,296662240
2002-04-04,297908720
2002-04-05,296662240
2002-04-08,292922800
2002-04-09,296662240
2002-04-10,295415760
2002-04-11,294169280
2002-04-12,292922800
2002-04-15,280458000
2002-04-16,284197440
2002-04-17,272979120
2002-04-18,275472080
2002-04-19,276718560
2002-04-22,279211520
2002-04-23,280458000
2002-04-24,274225600
2002-04-25,275472080
2002-04-26,277965040
2002-04-29,266746720
2002-04-30,270486160
2002-05-01,281879520
2002-05-02,276912480
2002-05-03,273187200
2002-05-06,271945440
2002-05-07,271945440
2002-05-08,273187200
2002-05-09,265736640
2002-05-10,257044319
2002-05-13,259527839
2002-05-14,263253120
2002-05-15,265736640
2002-05-16,264494880
2002-05-17,264494880
2002-05-20,262011359
2002-05-21,260769600
2002-05-22,253319040
2002-05-23,243384960
2002-05-24,234692640
2002-05-28,227242080
2002-05-29,232209120
2002-05-30,233450880
2002-05-31,232209120
2002-06-03,233450880
2002-06-04,233450880
2002-06-05,233450880
2002-06-06,230967360
2002-06-07,233450880
2002-06-10,234692640
2002-06-11,237176160
2002-06-12,237176160
2002-06-13,233450880
2002-06-14,233450880
2002-06-17,233450880
2002-06-18,238417920
2002-06-19,237176160
2002-06-20,240901440
2002-06-21,240901440
2002-06-24,247110240
2002-06-25,255802560
2002-06-26,254560799
2002-06-27,257044319
2002-06-28,259527839
2002-07-01,259527839
2002-07-02,250835520
2002-07-03,248352000
2002-07-05,253319040
2002-07-08,252077279
2002-07-09,260769600
2002-07-10,263253120
2002-07-11,259527839
2002-07-12,259527839
2002-07-15,258286080
2002-07-16,254560799
2002-07-17,248352000
2002-07-18,243384960
2002-07-19,258286080
2002-07-22,250835520
2002-07-23,249593759
2002-07-24,258286080
2002-07-25,255802560
2002-07-26,255802560
2002-07-29,257044319
2002-07-30,255802560
2002-07-31,260769600
2002-08-01,255802560
2002-08-02,252077279
2002-08-05,247110240
2002-08-06,248352000
2002-08-07,245868480
2002-08-08,248352000
2002-08-09,242143200
2002-08-12,247110240
2002-08-13,238417920
2002-08-14,262011359
2002-08-15,265736640
2002-08-16,265736640
2002-08-19,264494880
2002-08-20,268220160
2002-08-21,268220160
2002-08-22,270703680
2002-08-23,266978400
2002-08-26,269461920
2002-08-27,269461920
2002-08-28,258286080
2002-08-29,264494880
2002-08-30,265736640
2002-09-03,260769600
2002-09-04,268220160
2002-09-05,266978400
2002-09-06,271945440
2002-09-09,270703680
2002-09-10,270703680
2002-09-11,270703680
2002-09-12,269461920
2002-09-13,271945440
2002-09-16,269461920
2002-09-17,268220160
2002-09-18,276912480
2002-09-19,268220160
2002-09-20,269461920
2002-09-23,265736640
2002-09-24,263253120
2002-09-25,264494880
2002-09-26,263253120
2002-09-27,260769600
2002-09-30,263253120
2002-10-01,271945440
2002-10-02,259527839
2002-10-03,263253120
2002-10-04,253319040
2002-10-07,252077279
2002-10-08,242143200
2002-10-09,234692640
2002-10-10,233450880
2002-10-11,234692640
2002-10-14,234692640
2002-10-15,253319040
2002-10-16,240901440
2002-10-17,248352000
2002-10-18,250835520
2002-10-21,264494880
2002-10-22,264494880
2002-10-23,265736640
2002-10-24,265736640
2002-10-25,265736640
2002-10-28,264494880
2002-10-29,266978400
2002-10-30,274428960
2002-10-31,274428960
2002-11-01,274269840
2002-11-04,274269840
2002-11-05,276751920
2002-11-06,279234000
2002-11-07,273028800
2002-11-08,277992960
2002-11-11,271787760
2002-11-12,279234000
2002-11-13,276751920
2002-11-14,286680240
2002-11-15,285439200
2002-11-18,321429360
2002-11-19,322670400
2002-11-20,328875600
2002-11-21,333839760
2002-11-22,336321840
2002-11-25,340044960
2002-11-26,338803920
2002-11-27,340044960
2002-11-29,338803920
2002-12-02,337562880
2002-12-03,327634560
2002-12-04,325152480
2002-12-05,326393520
2002-12-06,338803920
2002-12-09,340044960
2002-12-10,356178480
2002-12-11,346250160
2002-12-12,320188320
2002-12-13,321429360
2002-12-16,330116640
2002-12-17,321429360
2002-12-18,315224160
2002-12-19,301572720
2002-12-20,309018960
2002-12-23,332598720
2002-12-24,338803920
2002-12-26,351214320
2002-12-27,345009120
2002-12-30,347491200
2002-12-31,338803920
2003-01-02,336321840
2003-01-03,333839760
2003-01-06,336321840
2003-01-07,323911440
2003-01-08,318947280
2003-01-09,340044960
2003-01-10,337562880
2003-01-13,338803920
2003-01-14,341286000
2003-01-15,348732240
2003-01-16,340044960
2003-01-17,337562880
2003-01-21,335080800
2003-01-22,332598720
2003-01-23,331357680
2003-01-24,317706240
2003-01-27,315224160
2003-01-28,322670400
2003-01-29,321429360
2003-01-30,318947280
2003-01-31,323911440
2003-02-03,321014960
2003-02-04,329691040
2003-02-05,322254400
2003-02-06,322254400
2003-02-07,323493840
2003-02-10,321014960
2003-02-11,314817760
2003-02-12,313578320
2003-02-13,309860000
2003-02-14,313578320
2003-02-18,314817760
2003-02-19,313578320
2003-02-20,316057200
2003-02-21,327212160
2003-02-24,330930480
2003-02-25,333409360
2003-02-26,337127680
2003-02-27,347043200
2003-02-28,344564320
2003-03-03,339606560
2003-03-04,339606560
2003-03-05,340846000
2003-03-06,342085440
2003-03-07,344564320
2003-03-10,344564320
2003-03-11,350761520
2003-03-12,350761520
2003-03-13,344564320
2003-03-14,342085440
2003-03-17,348282640
2003-03-18,335888240
2003-03-19,335888240
2003-03-20,337127680
2003-03-21,335888240
2003-03-24,338367120
2003-03-25,340846000
2003-03-26,339606560
2003-03-27,338367120
2003-03-28,342085440
2003-03-31,443719520
2003-04-01,456113920
2003-04-02,464790000
2003-04-03,459832240
2003-04-04,462311120
2003-04-07,457353360
2003-04-08,443719520
2003-04-09,444958960
2003-04-10,447437840
2003-04-11,444958960
2003-04-14,444958960
2003-04-15,442480080
2003-04-16,443719520
2003-04-17,447437840
2003-04-21,444958960
2003-04-22,440001200
2003-04-23,442480080
2003-04-24,443719520
2003-04-25,442480080
2003-04-28,446198400
2003-04-29,442480080
2003-04-30,441240640
2003-05-01,437889440
2003-05-02,434168000
2003-05-05,431687040
2003-05-06,425484640
2003-05-07,436648960
2003-05-08,424244160
2003-05-09,425484640
2003-05-12,432927520
2003-05-13,440370400
2003-05-14,436648960
2003-05-15,434168000
2003-05-16,431687040
2003-05-19,431687040
2003-05-20,440370400
2003-05-21,442851360
2003-05-22,444091840
2003-05-23,446572800
2003-05-27,450294240
2003-05-28,450294240
2003-05-29,450294240
2003-05-30,451534720
2003-06-02,449053760
2003-06-03,451534720
2003-06-04,447813280
2003-06-05,446572800
2003-06-06,439129920
2003-06-09,441610880
2003-06-10,439129920
2003-06-11,445332320
2003-06-12,441610880
2003-06-13,436648960
2003-06-16,444091840
2003-06-17,437889440
2003-06-18,439129920
2003-06-19,439129920
2003-06-20,437889440
2003-06-23,437889440
2003-06-24,435408480
2003-06-25,432927520
2003-06-26,427965600
2003-06-27,429206080
2003-06-30,427965600
2003-07-01,430446560
2003-07-02,431687040
2003-07-03,434168000
2003-07-07,434168000
2003-07-08,434168000
2003-07-09,435408480
2003-07-10,432927520
2003-07-11,435408480
2003-07-14,439129920
2003-07-15,437889440
2003-07-16,436648960
2003-07-17,432927520
2003-07-18,429206080
2003-07-21,429206080
2003-07-22,423003680
2003-07-23,429206080
2003-07-24,429206080
2003-07-25,430446560
2003-07-28,432927520
2003-07-29,430446560
2003-07-30,430446560
2003-07-31,434168000
2003-08-01,431687040
2003-08-04,424244160
2003-08-05,421763200
2003-08-06,421763200
2003-08-07,423003680
2003-08-08,423003680
2003-08-11,426725120
2003-08-12,425484640
2003-08-13,429206080
2003-08-14,430446560
2003-08-15,431687040
2003-08-18,435408480
2003-08-19,437889440
2003-08-20,409358400
2003-08-21,395713120
2003-08-22,391991680
2003-08-25,387029760
2003-08-26,384548800
2003-08-27,383308320
2003-08-28,383308320
2003-08-29,380827360
2003-09-02,380827360
2003-09-03,390751200
2003-09-04,388270240
2003-09-05,390751200
2003-09-08,390751200
2003-09-09,388270240
2003-09-10,388270240
2003-09-11,395713120
2003-09-12,394472640
2003-09-15,391991680
2003-09-16,390751200
2003-09-17,388270240
2003-09-18,389510720
2003-09-19,387029760
2003-09-22,388270240
2003-09-23,389510720
2003-09-24,387029760
2003-09-25,384548800
2003-09-26,378346400
2003-09-29,383308320
2003-09-30,384548800
2003-10-01,390774240
2003-10-02,392022720
2003-10-03,393271200
2003-10-06,397016640
2003-10-07,398265120
2003-10-08,397016640
2003-10-09,398265120
2003-10-10,392022720
2003-10-13,390774240
2003-10-14,389525760
2003-10-15,387028800
2003-10-16,379537920
2003-10-17,385780320
2003-10-20,388277280
2003-10-21,392022720
2003-10-22,383283360
2003-10-23,379537920
2003-10-24,384531840
2003-10-27,389525760
2003-10-28,387028800
2003-10-29,382034880
2003-10-30,384531840
2003-10-31,389525760
2003-11-03,400762080
2003-11-04,404507520
2003-11-05,408252960
2003-11-06,408252960
2003-11-07,405756000
2003-11-10,399513600
2003-11-11,397016640
2003-11-12,397016640
2003-11-13,394519680
2003-11-14,393271200
2003-11-17,387028800
2003-11-18,385780320
2003-11-19,393271200
2003-11-20,399513600
2003-11-21,403259040
2003-11-24,410749920
2003-11-25,414495360
2003-11-26,415743840
2003-11-28,414495360
2003-12-01,421986240
2003-12-02,415743840
2003-12-03,418240800
2003-12-04,421986240
2003-12-05,418240800
2003-12-08,423234720
2003-12-09,415743840
2003-12-10,414495360
2003-12-11,418240800
2003-12-12,421986240
2003-12-15,413246880
2003-12-16,418240800
2003-12-17,428228640
2003-12-18,429477120
2003-12-19,428228640
2003-12-22,426980160
2003-12-23,424483200
2003-12-24,425731680
2003-12-26,426980160
2003-12-29,428228640
2003-12-30,431974080
2003-12-31,429477120
2004-01-02,430725600
2004-01-05,433222560
2004-01-06,430725600
2004-01-07,425731680
2004-01-08,424483200
2004-01-09,424483200
2004-01-12,428228640
2004-01-13,429477120
2004-01-14,431974080
2004-01-15,433222560
2004-01-16,430725600
2004-01-20,431974080
2004-01-21,430725600
2004-01-22,430725600
2004-01-23,433222560
2004-01-26,430725600
2004-01-27,435719520
2004-01-28,433222560
2004-01-29,433222560
2004-01-30,435719520
2004-02-02,429477120
2004-02-03,429477120
2004-02-04,425731680
2004-02-05,425731680
2004-02-06,428228640
2004-02-09,425731680
2004-02-10,428228640
2004-02-11,431974080
2004-02-12,429477120
2004-02-13,428228640
2004-02-17,430725600
2004-02-18,425731680
2004-02-19,425731680
2004-02-20,426980160
2004-02-23,426980160
2004-02-24,428228640
2004-02-25,441961920
2004-02-26,449452800
2004-02-27,456943680
2004-03-01,458192160
2004-03-02,456943680
2004-03-03,454446720
2004-03-04,460689120
2004-03-05,456943680
2004-03-08,460689120
2004-03-09,460689120
2004-03-10,453198240
2004-03-11,459440640
2004-03-12,466931520
2004-03-15,489404160
2004-03-16,489404160
2004-03-17,484410240
2004-03-18,478167840
2004-03-19,470676960
2004-03-22,469428480
2004-03-23,470676960
2004-03-24,469428480
2004-03-25,470676960
2004-03-26,473173920
2004-03-29,490652640
2004-03-30,490652640
2004-03-31,496895040
2004-04-01,505696000
2004-04-02,505696000
2004-04-05,509488720
2004-04-06,505696000
2004-04-07,506960240
2004-04-08,506960240
2004-04-12,513281439
2004-04-13,518338399
2004-04-14,510752960
2004-04-15,520866880
2004-04-16,523395359
2004-04-19,527188080
2004-04-20,525923840
2004-04-21,525923840
2004-04-22,530980800
2004-04-23,532245040
2004-04-26,538566240
2004-04-27,538566240
2004-04-28,538566240
2004-04-29,537302000
2004-04-30,530980800
2004-05-03,530980800
2004-05-04,533509279
2004-05-05,538566240
2004-05-06,538566240
2004-05-07,530980800
2004-05-10,504431760
2004-05-11,509488720
2004-05-12,524659600
2004-05-13,519602640
2004-05-14,532245040
2004-05-17,525923840
2004-05-18,529716560
2004-05-19,525923840
2004-05-20,518338399
2004-05-21,525923840
2004-05-24,541094720
2004-05-25,555001360
2004-05-26,549944400
2004-05-27,548680160
2004-05-28,548680160
2004-06-01,568908000
2004-06-02,567643760
2004-06-03,558794080
2004-06-04,553737120
2004-06-07,558794080
2004-06-08,555001360
2004-06-09,551208640
2004-06-10,552472880
2004-06-14,549944400
2004-06-15,552472880
2004-06-16,557529840
2004-06-17,560058320
2004-06-18,560058320
2004-06-21,568908000
2004-06-22,572700720
2004-06-23,575229200
2004-06-24,579021920
2004-06-25,600514000
2004-06-28,584078880
2004-06-29,581550400
2004-06-30,591664320
2004-07-01,589923360
2004-07-02,591183880
2004-07-06,587402320
2004-07-07,600007520
2004-07-08,598747000
2004-07-09,603789080
2004-07-12,603789080
2004-07-13,603789080
2004-07-14,603789080
2004-07-15,598747000
2004-07-16,605049600
2004-07-19,616394280
2004-07-20,621436360
2004-07-21,621436360
2004-07-22,618915320
2004-07-23,615133760
2004-07-26,608831160
2004-07-27,607570640
2004-07-28,611352200
2004-07-29,622696880
2004-07-30,621436360
2004-08-02,622696880
2004-08-03,634041560
2004-08-04,608831160
2004-08-05,593704920
2004-08-06,596225960
2004-08-09,603789080
2004-08-10,594965440
2004-08-11,602528560
2004-08-12,598747000
2004-08-13,605049600
2004-08-16,620175840
2004-08-17,615133760
2004-08-18,618915320
2004-08-19,634041560
2004-08-20,640344160
2004-08-23,632781040
2004-08-24,631520520
2004-08-25,640344160
2004-08-26,637823120
2004-08-27,640344160
2004-08-30,642865200
2004-08-31,645386240
2004-09-01,660512480
2004-09-02,652949360
2004-09-03,651688840
2004-09-07,652949360
2004-09-08,664294040
2004-09-09,659251960
2004-09-10,668075600
2004-09-13,679420280
2004-09-14,688243920
2004-09-15,690764960
2004-09-16,697067560
2004-09-17,695807040
2004-09-20,707151720
2004-09-21,728580560
2004-09-22,723538480
2004-09-23,727320040
2004-09-24,750009400
2004-09-27,751269920
2004-09-28,779001360
2004-09-29,775219800
2004-09-30,804211760
2004-10-01,818103440
2004-10-04,828187920
2004-10-05,837011840
2004-10-06,863483600
2004-10-07,845835760
2004-10-08,842054080
2004-10-11,844575200
2004-10-12,842054080
2004-10-13,772723280
2004-10-14,784068320
2004-10-15,777765520
2004-10-18,763899360
2004-10-19,729864240
2004-10-20,757596560
2004-10-21,780286640
2004-10-22,781547200
2004-10-25,789110560
2004-10-26,775244400
2004-10-27,765159920
2004-10-28,757596560
2004-10-29,773983840
2004-11-01,751293760
2004-11-02,753814880
2004-11-03,776504960
2004-11-04,786589440
2004-11-05,785328880
2004-11-08,780286640
2004-11-09,808018960
2004-11-10,815582320
2004-11-11,825666800
2004-11-12,835751280
2004-11-15,814321760
2004-11-16,815582320
2004-11-17,838272400
2004-11-18,829448480
2004-11-19,840793520
2004-11-22,852138560
2004-11-23,863483600
2004-11-24,863483600
2004-11-26,881131440
2004-11-29,886173680
2004-11-30,887434240
2004-12-01,881131440
2004-12-02,842054080
2004-12-03,863483600
2004-12-06,850878000
2004-12-07,844575200
2004-12-08,854659680
2004-12-09,842054080
2004-12-10,840793520
2004-12-13,868525840
2004-12-14,883652560
2004-12-15,896258160
2004-12-16,886173680
2004-12-17,881131440
2004-12-20,886173680
2004-12-21,888694800
2004-12-22,881131440
2004-12-23,882392000
2004-12-27,854659680
2004-12-28,872307520
2004-12-29,887434240
2004-12-30,879870880
2004-12-31,878610320
2005-01-03,854659680
2005-01-04,842054080
2005-01-05,825666800
2005-01-06,839532960
2005-01-07,820624560
2005-01-10,840793520
2005-01-11,854659680
2005-01-12,852138560
2005-01-13,867265280
2005-01-14,848356880
2005-01-18,862223040
2005-01-19,843314640
2005-01-20,819364000
2005-01-21,824406240
2005-01-24,810540080
