,ALLE
2018-04-30,7332100000
2018-05-01,7328300000
2018-05-02,7136400000
2018-05-03,7107899999
2018-05-04,7234250000
2018-05-07,7195299999
2018-05-08,7209550000
2018-05-09,7246600000
2018-05-10,7344450000
2018-05-11,7341600000
2018-05-14,7300749999
2018-05-15,7263699999
2018-05-16,7316900000
2018-05-17,7302650000
2018-05-18,7445150000
2018-05-21,7484100000
2018-05-22,7473650000
2018-05-23,7525900000
2018-05-24,7529700000
2018-05-25,7485050000
2018-05-29,7435650000
2018-05-30,7524949999
2018-05-31,7260850000
2018-06-01,7399550000
2018-06-04,7440399999
2018-06-05,7521150000
2018-06-06,7526850000
2018-06-07,7619949999
2018-06-08,7706400000
2018-06-11,7719700000
2018-06-12,7806150000
2018-06-13,7685500000
2018-06-14,7770050000
2018-06-15,7796649999
2018-06-18,7740600000
2018-06-19,7616150000
2018-06-20,7600000000
2018-06-21,7398600000
2018-06-22,7380550000
2018-06-25,7256100000
2018-06-26,7251350000
2018-06-27,7352050000
2018-06-28,7332100000
2018-06-29,7349200000
2018-07-02,7382613000
2018-07-03,7324602000
2018-07-05,7406388000
