,AWK
2009-04-15,2905476200
2009-04-16,3040956270
2009-04-17,3067072910
2009-04-20,3018104209
2009-04-21,3014839630
2009-04-22,2954444900
2009-04-23,2949548030
2009-04-24,2938122000
2009-04-27,3005045890
2009-04-28,2974032380
2009-04-29,3006678180
2009-04-30,2938122000
2009-05-01,2871198110
2009-05-04,2874462690
2009-05-05,2882624140
2009-05-06,2964238640
2009-05-07,2993619860
2009-05-08,3027897950
2009-05-11,3018104209
2009-05-12,2954444900
2009-05-13,2923431390
2009-05-14,2884256430
2009-05-15,2794480480
2009-05-18,2807538800
2009-05-19,2820597120
2009-05-20,2817332540
2009-05-21,2796112770
2009-05-22,2786319030
2009-05-26,2854875209
2009-05-27,2766731550
2009-05-28,2812435670
2009-05-29,2820597120
2009-06-01,2742247200
2009-06-02,2784686740
2009-06-03,2812435670
2009-06-04,2854875209
2009-06-05,2845081470
2009-06-08,2898947040
2009-06-09,2938122000
2009-06-10,2988722990
2009-06-11,3039323980
2009-06-12,3049117720
2009-06-15,3016471920
2009-06-16,2991987569
2009-06-17,2996884440
2009-06-18,3027897950
2009-06-19,3032794819
2009-06-22,3036059400
2009-06-23,3040956270
2009-06-24,3027897950
2009-06-25,3067072910
2009-06-26,3112777030
2009-06-29,3143790540
2009-06-30,3336510450
2009-07-01,3336510450
2009-07-02,3278894100
2009-07-06,3250958900
2009-07-07,3205564200
2009-07-08,3210802050
2009-07-09,3191596600
2009-07-10,3212547999
2009-07-13,3263180550
2009-07-14,3305083350
2009-07-15,3221277750
2009-07-16,3245721050
2009-07-17,3266672450
2009-07-20,3292861700
2009-07-21,3287623849
2009-07-22,3291115750
2009-07-23,3362699700
2009-07-24,3380159200
2009-07-27,3413332250
2009-07-28,3462218849
2009-07-29,3448251250
2009-07-30,3416824150
2009-07-31,3441267450
2009-08-03,3481424300
2009-08-04,3490154049
2009-08-05,3491900000
2009-08-06,3456981000
2009-08-07,3514597350
2009-08-10,3558246100
2009-08-11,3530310900
2009-08-12,3409840350
2009-08-13,3376667300
2009-08-14,3341748300
2009-08-17,3360953750
2009-08-18,3385397050
2009-08-19,3467456700
2009-08-20,3504121650
2009-08-21,3507613550
2009-08-24,3488408100
2009-08-25,3533802799
2009-08-26,3573959650
2009-08-27,3554754200
2009-08-28,3528564950
2009-08-31,3509359500
2009-09-01,3484916200
2009-09-02,3472694550
2009-09-03,3453489100
2009-09-04,3458726950
2009-09-08,3490154049
2009-09-09,3474440499
2009-09-10,3481424300
2009-09-11,3460472900
2009-09-14,3474440499
2009-09-15,3521581150
2009-09-16,3566975850
2009-09-17,3575705600
2009-09-18,3535548750
2009-09-21,3528564950
2009-09-22,3504121650
2009-09-23,3509359500
2009-09-24,3462218849
2009-09-25,3446505299
2009-09-28,3521581150
2009-09-29,3525073050
2009-09-30,3483936740
2009-10-01,3454234170
2009-10-02,3412301130
2009-10-05,3398323450
2009-10-06,3407059500
2009-10-07,3421037179
2009-10-08,3438509280
2009-10-09,3457728590
2009-10-12,3511892100
2009-10-13,3503156050
2009-10-14,3462970220
2009-10-15,3452486960
2009-10-16,3485683950
2009-10-19,3478695110
2009-10-20,3471706270
2009-10-21,3455981380
2009-10-22,3476947899
2009-10-23,3405312289
2009-10-26,3368620880
2009-10-27,3330182260
2009-10-28,3328435050
2009-10-29,3356390410
2009-10-30,3314457370
2009-11-02,3326687840
2009-11-03,3377356929
2009-11-04,3368620880
2009-11-05,3422784390
2009-11-06,3417542760
2009-11-09,3581780500
2009-11-10,3518880940
2009-11-11,3478695110
2009-11-12,3541594670
2009-11-13,3545089090
2009-11-16,3567802820
2009-11-17,3779215230
2009-11-18,3744271030
2009-11-19,3751259870
2009-11-20,3719810090
2009-11-23,3719810090
2009-11-24,3815906640
2009-11-25,3845609210
2009-11-27,3845609210
2009-11-30,3885795039
2009-12-01,3892783880
2009-12-02,3857839679
2009-12-03,3808917800
2009-12-04,3808917800
2009-12-07,3801928960
2009-12-08,3773973600
2009-12-09,3798434539
2009-12-10,3801928960
2009-12-11,3856092470
2009-12-14,3859586890
2009-12-15,3854345260
2009-12-16,3899772720
2009-12-17,3938211340
2009-12-18,3915497610
2009-12-21,3962672280
2009-12-22,3880553410
2009-12-23,3887542250
2009-12-24,3913750399
2009-12-28,3903267140
2009-12-29,3925980870
2009-12-30,3939958550
2009-12-31,3915497610
2010-01-04,3957430649
2010-01-05,3997616480
2010-01-06,4018583000
2010-01-07,4027319050
2010-01-08,4018583000
2010-01-11,4058768830
2010-01-12,4039549520
2010-01-13,4057021620
2010-01-14,4015088580
2010-01-15,3948694600
2010-01-19,3931222500
2010-01-20,3922486450
2010-01-21,3863081310
2010-01-22,3854345260
2010-01-25,3870070149
2010-01-26,3847356420
2010-01-27,3847356420
2010-01-28,3784456860
2010-01-29,3808917800
2010-02-01,3868322940
2010-02-02,3861334100
2010-02-03,3906761560
2010-02-04,3800181750
2010-02-05,3787951280
2010-02-08,3775720810
2010-02-09,3739029399
2010-02-10,3768731970
2010-02-11,3812412220
2010-02-12,3871817360
2010-02-16,3864828520
2010-02-17,3880553410
2010-02-18,3932969710
2010-02-19,3997616480
2010-02-22,3964419490
2010-02-23,3922486450
2010-02-24,3889289460
2010-02-25,3898025510
2010-02-26,3889289460
2010-03-01,3683118679
2010-03-02,3625460750
2010-03-03,3655163320
2010-03-04,3712821250
2010-03-05,3740776610
2010-03-08,3730293350
2010-03-09,3707579620
2010-03-10,3681371470
2010-03-11,3672635420
2010-03-12,3662152160
2010-03-15,3686613100
2010-03-16,3681371470
2010-03-17,3716315670
2010-03-18,3739029399
2010-03-19,3712821250
2010-03-22,3688360310
2010-03-23,3775720810
2010-03-24,3791445700
2010-03-25,3758248710
2010-03-26,3712821250
2010-03-29,3744271030
2010-03-30,3733787770
2010-03-31,3803082240
2010-04-01,3811820940
2010-04-05,3871244099
2010-04-06,3869496360
2010-04-07,3794343540
2010-04-08,3731424900
2010-04-09,3778613880
2010-04-12,3766379700
2010-04-13,3754145520
2010-04-14,3747154560
2010-04-15,3745406820
2010-04-16,3752397780
2010-04-19,3708704280
2010-04-20,3748902300
2010-04-21,3782109360
2010-04-22,3745406820
2010-04-23,3733172640
2010-04-26,3680740440
2010-04-27,3640542419
2010-04-28,3712199759
2010-04-29,3790848060
2010-04-30,3806577720
2010-05-03,3834541560
2010-05-04,3845028000
2010-05-05,3846775740
2010-05-06,3740163599
2010-05-07,3619569540
2010-05-10,3832793820
2010-05-11,3783857099
2010-05-12,3792595800
2010-05-13,3801334500
2010-05-14,3736668120
2010-05-17,3720938460
2010-05-18,3656272080
2010-05-19,3609083099
2010-05-20,3486741300
2010-05-21,3511209660
2010-05-24,3504218700
2010-05-25,3497227740
2010-05-26,3495480000
2010-05-27,3544416720
2010-05-28,3554903160
2010-06-01,3498975480
2010-06-02,3533930280
2010-06-03,3567137340
2010-06-04,3481498080
2010-06-07,3481498080
2010-06-08,3532182540
2010-06-09,3512957400
2010-06-10,3497227740
2010-06-11,3512957400
2010-06-14,3610830840
2010-06-15,3645785640
2010-06-16,3651028860
2010-06-17,3685983660
2010-06-18,3799586759
2010-06-21,3748902300
2010-06-22,3687731400
2010-06-23,3665010780
2010-06-24,3635299200
2010-06-25,3673749480
2010-06-28,3701713320
2010-06-29,3628308240
2010-06-30,3602095400
2010-07-01,3497180000
2010-07-02,3502425770
2010-07-06,3547889110
2010-07-07,3686027719
2010-07-08,3708759390
2010-07-09,3712256570
2010-07-12,3682530540
2010-07-13,3693022080
2010-07-14,3720999520
2010-07-15,3734988240
2010-07-16,3644061560
2010-07-19,3682530540
2010-07-20,3752474140
2010-07-21,3670290409
2010-07-22,3738485420
2010-07-23,3731491060
2010-07-26,3797937480
2010-07-27,3818920560
2010-07-28,3768211450
2010-07-29,3715753750
2010-07-30,3738485420
2010-08-02,3811926200
2010-08-03,3769960040
2010-08-04,3773457219
2010-08-05,3955310580
2010-08-06,3944819040
2010-08-09,3951813400
2010-08-10,3990282380
2010-08-11,3972796480
2010-08-12,3930830320
2010-08-13,3962304940
2010-08-16,3864383900
2010-08-17,3904601469
2010-08-18,3894109930
2010-08-19,3862635310
2010-08-20,3860886719
2010-08-23,3846898000
2010-08-24,3838155050
2010-08-25,3962304940
2010-08-26,3967550710
2010-08-27,3976293659
2010-08-30,3951813400
2010-08-31,3948316219
2010-09-01,4028751360
2010-09-02,4067220340
2010-09-03,4081209060
2010-09-07,4000773920
2010-09-08,3934327500
2010-09-09,3944819040
2010-09-10,3953561990
2010-09-13,3981539430
2010-09-14,3983288020
2010-09-15,3995528150
2010-09-16,3974545070
2010-09-17,4046237260
2010-09-20,4054980210
2010-09-21,4032248540
2010-09-22,4063723159
2010-09-23,4028751360
2010-09-24,4107437909
2010-09-27,4079460469
2010-09-28,4068968930
2010-09-29,4032248540
2010-09-30,4078276930
2010-10-01,4123844270
2010-10-04,4113328730
2010-10-05,4151885710
2010-10-06,4160648659
2010-10-07,4165906430
2010-10-08,4153638300
2010-10-11,4146627940
2010-10-12,4157143480
2010-10-13,4113328730
2010-10-14,4122091680
2010-10-15,4143122760
2010-10-18,4144875349
2010-10-19,4158896070
2010-10-20,4181679740
2010-10-21,4160648659
2010-10-22,4150133120
2010-10-25,4127349450
2010-10-26,4141370170
2010-10-27,4188690099
2010-10-28,4188690099
2010-10-29,4185184920
2010-11-01,4158896070
2010-11-02,4183432330
2010-11-03,4223741900
2010-11-04,4300855860
2010-11-05,4348175790
2010-11-08,4332402480
2010-11-09,4283329960
2010-11-10,4337660250
2010-11-11,4360443920
2010-11-12,4293845500
2010-11-15,4356938740
2010-11-16,4209721180
2010-11-17,4227247080
2010-11-18,4193947870
2010-11-19,4250030750
2010-11-22,4257041110
2010-11-23,4283329960
2010-11-24,4318381760
2010-11-26,4344670610
2010-11-29,4300855860
2010-11-30,4295598090
2010-12-01,4342918020
2010-12-02,4381475000
2010-12-03,4367454280
2010-12-06,4374464640
2010-12-07,4342918020
2010-12-08,4339412840
2010-12-09,4363949100
2010-12-10,4332402480
2010-12-13,4381475000
2010-12-14,4370959460
2010-12-15,4365701690
2010-12-16,4418279390
2010-12-17,4421784570
2010-12-20,4472609680
2010-12-21,4423537160
2010-12-22,4416526800
2010-12-23,4451578600
2010-12-27,4453331190
2010-12-28,4470857090
2010-12-29,4509414070
2010-12-30,4458588960
2010-12-31,4432300110
2011-01-03,4476114860
2011-01-04,4498898530
2011-01-05,4474362270
2011-01-06,4421784570
2011-01-07,4498898530
2011-01-10,4470857090
2011-01-11,4444568240
2011-01-12,4483125220
2011-01-13,4500651120
2011-01-14,4553228820
2011-01-18,4455083780
2011-01-19,4474362270
2011-01-20,4497145940
2011-01-21,4484877810
2011-01-24,4539208100
2011-01-25,4547971050
2011-01-26,4583022850
2011-01-27,4537455510
2011-01-28,4448073420
2011-01-31,4469104500
2011-02-01,4498898530
2011-02-02,4591785800
2011-02-03,4668899760
2011-02-04,4684673070
2011-02-07,4696941200
2011-02-08,4667147170
2011-02-09,4654879040
2011-02-10,4637353140
2011-02-11,4665394580
2011-02-14,4731993000
2011-02-15,4779312930
2011-02-16,4772302570
2011-02-17,4788075880
2011-02-18,4877457970
2011-02-22,4816117320
2011-02-23,4802096600
2011-02-24,4746013720
2011-02-25,4796838830
2011-02-28,4861684660
2011-03-01,4812612140
2011-03-02,4852921710
2011-03-03,4942303800
2011-03-04,4852921710
2011-03-07,4845911350
2011-03-08,4887973510
2011-03-09,4884468330
2011-03-10,4802096600
2011-03-11,4810859550
2011-03-14,4819622500
2011-03-15,4721477460
2011-03-16,4753024080
2011-03-17,4731993000
2011-03-18,4737250770
2011-03-21,4819622500
2011-03-22,4805601780
2011-03-23,4802096600
2011-03-24,4852921710
2011-03-25,4868695020
2011-03-28,4819622500
2011-03-29,4849416530
2011-03-30,4898489050
2011-03-31,4921905450
2011-04-01,4967527390
2011-04-04,4992093050
2011-04-05,4986828980
2011-04-06,5039469680
2011-04-07,5020168090
2011-04-08,5004375880
2011-04-11,4976300840
2011-04-12,4895585100
2011-04-13,4942961730
2011-04-14,4976300840
2011-04-15,5030696230
2011-04-18,4978055530
2011-04-19,4979810220
2011-04-20,4997357120
2011-04-21,4967527390
2011-04-25,4971036770
2011-04-26,5028941540
2011-04-27,5104393210
2011-04-28,5121940110
2011-04-29,5155279220
2011-05-02,5178090190
2011-05-03,5183354260
2011-05-04,5146505770
2011-05-05,5123694800
2011-05-06,5137732320
2011-05-09,5200901160
2011-05-10,5371106090
2011-05-11,5206165230
2011-05-12,5213183990
2011-05-13,5153524530
2011-05-16,5049997820
2011-05-17,5046488440
2011-05-18,5074563480
2011-05-19,5146505770
2011-05-20,5158788600
2011-05-23,5092110380
2011-05-24,5090355690
2011-05-25,5223712130
2011-05-26,5243013720
2011-05-27,5232485580
2011-05-31,5265824690
2011-06-01,5195637090
2011-06-02,5162297980
2011-06-03,5097374450
2011-06-06,5051752510
2011-06-07,5044733750
2011-06-08,5044733750
2011-06-09,5006130570
2011-06-10,5016658710
2011-06-13,5053507200
2011-06-14,5107902590
2011-06-15,5049997820
2011-06-16,5049997820
2011-06-17,5113166660
2011-06-20,5137732320
2011-06-21,5151769840
2011-06-22,5141241700
2011-06-23,5160543290
2011-06-24,5130713560
2011-06-27,5118430730
2011-06-28,5153524530
2011-06-29,5234240270
2011-06-30,5169859150
2011-07-01,5283964700
2011-07-05,5250610770
2011-07-06,5268165470
2011-07-07,5294497520
2011-07-08,5294497520
2011-07-11,5206724020
2011-07-12,5189169320
2011-07-13,5208479490
2011-07-14,5162837270
2011-07-15,5183902910
2011-07-18,5115439580
2011-07-19,5132994280
2011-07-20,5157570860
2011-07-21,5213745900
2011-07-22,5175125560
2011-07-25,5134749750
2011-07-26,5089107530
2011-07-27,4959202750
2011-07-28,4962713690
2011-07-29,4915316000
2011-08-01,4924093350
2011-08-02,4852119080
2011-08-03,4966224630
2011-08-04,4845097200
2011-08-05,4811743270
2011-08-08,4485225850
2011-08-09,4888983950
2011-08-10,4708170540
2011-08-11,5008355910
2011-08-12,4955691810
2011-08-15,5103151290
2011-08-16,5073308300
2011-08-17,5022399670
2011-08-18,4897761300
2011-08-19,4780144810
2011-08-22,4829297970
2011-08-23,4915316000
2011-08-24,5053998130
2011-08-25,5010111380
2011-08-26,5094373940
2011-08-29,5176881030
2011-08-30,5189169320
2011-08-31,5227789660
2011-09-01,5204968550
2011-09-02,5176881030
2011-09-06,5115439580
2011-09-07,5189169320
2011-09-08,5206724020
2011-09-09,5034687960
2011-09-12,5006600440
2011-09-13,5061020010
2011-09-14,5183902910
2011-09-15,5226034190
2011-09-16,5211990430
2011-09-19,5178636500
2011-09-20,5296252990
2011-09-21,5317318630
2011-09-22,5278698290
2011-09-23,5229545130
2011-09-26,5313807690
2011-09-27,5354183500
2011-09-28,5289231110
2011-09-29,5329606920
2011-09-30,5309084520
2011-10-03,5149002780
2011-10-04,5180667300
2011-10-05,5140207080
2011-10-06,5192981280
2011-10-07,5166594180
2011-10-10,5296770540
2011-10-11,5291493120
2011-10-12,5177149020
2011-10-13,5259828600
2011-10-14,5245755480
2011-10-17,5302047960
2011-10-18,5340749040
2011-10-19,5390004960
2011-10-20,5374172700
2011-10-21,5367136140
2011-10-24,5441020020
2011-10-25,5259828600
2011-10-26,5219368380
2011-10-27,5338989900
2011-10-28,5353063020
2011-10-31,5370654420
2011-11-01,5242237200
2011-11-02,5295011400
2011-11-03,5453334000
2011-11-04,5381209260
2011-11-07,5486757660
2011-11-08,5481480240
2011-11-09,5421669480
2011-11-10,5486757660
2011-11-11,5481480240
2011-11-14,5441020020
2011-11-15,5463888840
2011-11-16,5375931840
2011-11-17,5340749040
2011-11-18,5356581300
2011-11-21,5347785600
2011-11-22,5317880220
2011-11-23,5247514620
2011-11-25,5245755480
2011-11-28,5265106020
2011-11-29,5395282380
2011-11-30,5465647980
2011-12-01,5523699600
2011-12-02,5521940460
2011-12-05,5564159820
2011-12-06,5567678100
2011-12-07,5467407120
2011-12-08,5449815720
2011-12-09,5467407120
2011-12-12,5456852280
2011-12-13,5444538300
2011-12-14,5342508180
2011-12-15,5439260880
2011-12-16,5499071640
2011-12-19,5446297440
2011-12-20,5525458740
2011-12-21,5594065200
2011-12-22,5599342620
2011-12-23,5645080260
2011-12-27,5726000699
2011-12-28,5604620040
2011-12-29,5660912520
2011-12-30,5604620040
2012-01-03,5539531860
2012-01-04,5520181320
2012-01-05,5574714660
2012-01-06,5611656600
2012-01-09,5597583480
2012-01-10,5521940460
2012-01-11,5583510360
2012-01-12,5620452300
2012-01-13,5616934020
2012-01-17,5694336180
2012-01-18,5706650160
2012-01-19,5792848020
2012-01-20,5785811460
2012-01-23,5787570600
2012-01-24,5745351239
2012-01-25,5787570600
2012-01-26,5875527600
2012-01-27,5887841580
2012-01-30,5905432980
2012-01-31,5933579219
2012-02-01,5924783520
2012-02-02,5930060940
2012-02-03,5965243739
2012-02-06,5958207180
2012-02-07,6032091060
2012-02-08,6063755580
2012-02-09,6030331920
2012-02-10,5979316860
2012-02-13,5972280300
2012-02-14,5977557719
2012-02-15,5923024380
2012-02-16,5998667400
2012-02-17,5949411480
2012-02-21,5893119000
2012-02-22,5921265239
2012-02-23,6002185680
2012-02-24,5967002880
2012-02-27,5963484600
2012-02-28,5933579219
2012-02-29,6030331920
2012-03-01,6014499660
2012-03-02,5959966320
2012-03-05,5993389980
2012-03-06,5903673840
2012-03-07,5968762020
2012-03-08,5956448040
2012-03-09,5984594280
2012-03-12,5998667400
2012-03-13,6049682460
2012-03-14,5979316860
2012-03-15,5970521160
2012-03-16,5945893199
2012-03-19,5873768460
2012-03-20,5880805020
2012-03-21,5884323300
2012-03-22,5891359860
2012-03-23,5917746960
2012-03-26,5984594280
2012-03-27,5988112560
2012-03-28,5940615780
2012-03-29,6002185680
2012-03-30,5986353420
2012-04-02,6056969850
2012-04-03,6072839640
2012-04-04,5986437450
2012-04-05,5961751110
2012-04-09,5907088500
2012-04-10,5831266170
2012-04-11,5836556100
2012-04-12,5884165470
2012-04-13,5827739549
2012-04-16,5831266170
2012-04-17,5884165470
2012-04-18,5878875540
2012-04-19,5875348920
2012-04-20,5954697870
2012-04-23,5847135959
2012-04-24,5937064770
2012-04-25,5997017310
2012-04-26,6041100060
2012-04-27,6097525980
2012-04-30,6037573440
2012-05-01,6078129570
2012-05-02,6049916610
2012-05-03,6012887100
2012-05-04,6012887100
2012-05-07,5997017310
2012-05-08,5972330970
2012-05-09,6000543930
2012-05-10,6060496470
2012-05-11,6053443230
2012-05-14,5970567660
2012-05-15,5958224490
2012-05-16,5951171250
2012-05-17,5866532370
2012-05-18,5820686310
2012-05-21,5850662580
2012-05-22,5903561879
2012-05-23,5907088500
2012-05-24,6037573440
2012-05-25,6005833860
2012-05-29,6053443230
2012-05-30,5993490690
2012-05-31,6032283510
2012-06-01,6023466959
2012-06-04,5972330970
2012-06-05,6030520200
2012-06-06,6162768450
2012-06-07,6051679920
2012-06-08,6051679920
2012-06-11,5965277730
2012-06-12,5993490690
2012-06-13,5959987799
2012-06-14,5991727379
2012-06-15,5942354700
2012-06-18,5977620900
2012-06-19,5961751110
2012-06-20,5915905049
2012-06-21,5900035260
2012-06-22,5878875540
2012-06-25,5847135959
2012-06-26,5871822299
2012-06-27,5956461180
2012-06-28,6000543930
2012-06-29,6044626680
2012-07-02,6123450070
2012-07-03,6149943220
2012-07-05,6132281120
2012-07-06,6130514910
2012-07-09,6151709430
2012-07-10,6192332260
2012-07-11,6164072900
2012-07-12,6167605320
2012-07-13,6270045500
2012-07-16,6261214450
2012-07-17,6287707600
2012-07-18,6356589790
2012-07-19,6345992530
2012-07-20,6370719470
2012-07-23,6416640930
2012-07-24,6404277460
2012-07-25,6294772440
2012-07-26,6344226320
2012-07-27,6469627230
2012-07-30,6483756910
2012-07-31,6402511250
2012-08-01,6402511250
2012-08-02,6402511250
2012-08-03,6644482020
2012-08-06,6739857359
2012-08-07,6692169690
2012-08-08,6572067410
2012-08-09,6688637270
2012-08-10,6674507590
2012-08-13,6697468320
2012-08-14,6731026310
2012-08-15,6773415350
2012-08-16,6716896630
2012-08-17,6672741380
2012-08-20,6623287500
2012-08-21,6577366040
2012-08-22,6591495720
2012-08-23,6573833620
2012-08-24,6603859190
2012-08-27,6605625400
2012-08-28,6617988870
2012-08-29,6598560560
2012-08-30,6533210790
2012-08-31,6512016270
2012-09-04,6602092980
2012-09-05,6522613530
2012-09-06,6655079280
2012-09-07,6584430880
2012-09-10,6589729510
2012-09-11,6603859190
2012-09-12,6584430880
2012-09-13,6568534990
2012-09-14,6333629060
2012-09-17,6294772440
2012-09-18,6377784310
2012-09-19,6423705770
2012-09-20,6483756910
2012-09-21,6501419010
2012-09-24,6586197090
2012-09-25,6534977000
2012-09-26,6499652799
2012-09-27,6517314900
2012-09-28,6545574260
2012-10-01,6492486900
2012-10-02,6513715740
2012-10-03,6542020859
2012-10-04,6577402260
2012-10-05,6588016680
2012-10-08,6573864119
2012-10-09,6501332250
2012-10-10,6508408530
2012-10-11,6485410619
2012-10-12,6425262240
2012-10-15,6404033400
2012-10-16,6423493170
2012-10-17,6598631099
2012-10-18,6593323890
2012-10-19,6595092960
2012-10-22,6545559000
2012-10-23,6457105500
2012-10-24,6497794109
2012-10-25,6503101320
2012-10-26,6485410619
2012-10-31,6499563180
2012-11-01,6473027130
2012-11-02,6457105500
2012-11-05,6457105500
2012-11-06,6589785750
2012-11-07,6465950849
2012-11-08,6457105500
2012-11-09,6465950849
2012-11-12,6460643640
2012-11-13,6492486900
2012-11-14,6458874570
2012-11-15,6480103410
2012-11-16,6550866210
2012-11-19,6543789930
2012-11-20,6595092960
2012-11-21,6593323890
2012-11-23,6570325980
2012-11-26,6616321800
2012-11-27,6642857849
2012-11-28,6685315530
2012-11-29,6720696930
2012-11-30,6752540190
2012-12-03,6715389720
2012-12-04,6717158790
2012-12-05,6708313440
