,FL
2001-02-07,1789326000
2001-02-08,1765764000
2001-02-09,1649340000
2001-02-12,1668744000
2001-02-13,1661814000
2001-02-14,1689534000
2001-02-15,1635480000
2001-02-16,1627164000
2001-02-20,1602216000
2001-02-21,1566180000
2001-02-22,1538460000
2001-02-23,1524600000
2001-02-26,1617462000
2001-02-27,1578654000
2001-02-28,1525986000
2001-03-01,1531530000
2001-03-02,1469160000
2001-03-05,1510740000
2001-03-06,1607760000
2001-03-07,1690920000
2001-03-08,1722798000
2001-03-09,1682604000
2001-03-12,1692306000
2001-03-13,1732500000
2001-03-14,1697850000
2001-03-15,1871100000
2001-03-16,1817046000
2001-03-19,1908522000
2001-03-20,1855854000
2001-03-21,1843380000
2001-03-22,1823976000
2001-03-23,1905750000
2001-03-26,1850310000
2001-03-27,1869714000
2001-03-28,1808730000
2001-03-29,1898820000
2001-03-30,1912680000
2001-04-02,1878030000
2001-04-03,1808730000
2001-04-04,1810116000
2001-04-05,1799028000
2001-04-06,1850310000
2001-04-09,1843380000
2001-04-10,1815660000
2001-04-11,1781010000
2001-04-12,1864170000
2001-04-16,1822590000
2001-04-17,1836450000
2001-04-18,1933470000
2001-04-19,1900206000
2001-04-20,1829520000
2001-04-23,1855854000
2001-04-24,1843380000
2001-04-25,1818432000
2001-04-26,1855854000
2001-04-27,1836450000
2001-04-30,1835064000
2001-05-01,1905750000
2001-05-02,1848924000
2001-05-03,1905750000
2001-05-04,1966734000
2001-05-07,1918125000
2001-05-08,1932075000
2001-05-09,1955790000
2001-05-10,1951605000
2001-05-11,1925100000
2001-05-14,1909755000
2001-05-15,1911150000
2001-05-16,1925100000
2001-05-17,1941840000
2001-05-18,1958580000
2001-05-21,2042280000
2001-05-22,2036700000
2001-05-23,1966950000
2001-05-24,1951605000
2001-05-25,1969740000
2001-05-29,1980900000
2001-05-30,1888830000
2001-05-31,1855350000
2001-06-01,1823265000
2001-06-04,1792575000
2001-06-05,1890225000
2001-06-06,1912545000
2001-06-07,1923705000
2001-06-08,1951605000
2001-06-11,1918125000
2001-06-12,1934865000
2001-06-13,1953000000
2001-06-14,1987875000
2001-06-15,2167830000
2001-06-18,2225025000
2001-06-19,2149695000
2001-06-20,2218050000
2001-06-21,2159460000
2001-06-22,2091105000
2001-06-25,2088315000
2001-06-26,2057625000
2001-06-27,2092500000
2001-06-28,2183175000
2001-06-29,2134350000
2001-07-02,2232000000
2001-07-03,2259900000
2001-07-05,2197125000
2001-07-06,2155275000
2001-07-09,2092500000
2001-07-10,2043675000
2001-07-11,2085525000
2001-07-12,2159460000
2001-07-13,2173410000
2001-07-16,2181780000
2001-07-17,2229210000
2001-07-18,2252925000
2001-07-19,2273850000
2001-07-20,2205495000
2001-07-23,2211075000
2001-07-24,2185965000
2001-07-25,2176200000
2001-07-26,2142720000
2001-07-27,2229210000
2001-07-30,2276640000
2001-07-31,2301750000
2001-08-01,2279430000
2001-08-02,2347785000
2001-08-03,2385450000
2001-08-06,2485184000
2001-08-07,2563600000
2001-08-08,2495740000
2001-08-09,2554552000
2001-08-10,2592252000
2001-08-13,2714400000
2001-08-14,2684240000
2001-08-15,2688763999
2001-08-16,2709876000
2001-08-17,2661620000
2001-08-20,2780752000
2001-08-21,2661620000
2001-08-22,2744560000
2001-08-23,2862184000
2001-08-24,2835040000
2001-08-27,2857660000
2001-08-28,2774720000
2001-08-29,2774720000
2001-08-30,2699320000
2001-08-31,2706860000
2001-09-04,2699320000
2001-09-05,2661620000
2001-09-06,2702336000
2001-09-07,2547012000
2001-09-10,2504788000
2001-09-17,2173028000
2001-09-18,2186600000
2001-09-19,2133820000
2001-09-20,1945320000
2001-09-21,2118740000
2001-09-24,2290652000
2001-09-25,2292160000
2001-09-26,2260492000
2001-09-27,2397720000
2001-09-28,2299700000
2001-10-01,2283112000
2001-10-02,2337400000
2001-10-03,2421848000
2001-10-04,2322320000
2001-10-05,2277080000
2001-10-08,2278588000
2001-10-09,2314780000
2001-10-10,2415816000
2001-10-11,2464072000
2001-10-12,2352480000
2001-10-15,2375100000
2001-10-16,2382640000
2001-10-17,2284620000
2001-10-18,2298192000
2001-10-19,2375100000
2001-10-22,2376608000
2001-10-23,2403752000
2001-10-24,2299700000
2001-10-25,2332876000
2001-10-26,2375100000
2001-10-29,2287636000
2001-10-30,2138344000
2001-10-31,2186600000
2001-11-01,2156440000
2001-11-02,2252952000
2001-11-05,2262012000
2001-11-06,2262012000
2001-11-07,2289120000
2001-11-08,2255988000
2001-11-09,2265024000
2001-11-12,2255988000
2001-11-13,2259000000
2001-11-14,2393034000
2001-11-15,2472852000
2001-11-16,2426166000
2001-11-19,2518032000
2001-11-20,2477370000
2001-11-21,2421647999
2001-11-23,2439720000
2001-11-26,2484900000
2001-11-27,2393034000
2001-11-28,2364420000
2001-11-29,2432190000
2001-11-30,2430684000
2001-12-03,2387010000
2001-12-04,2349360000
2001-12-05,2409600000
2001-12-06,2487912000
2001-12-07,2421647999
2001-12-10,2394540000
2001-12-11,2394540000
2001-12-12,2408094000
2001-12-13,2371950000
2001-12-14,2326770000
2001-12-17,2328276000
2001-12-18,2266530000
2001-12-19,2289120000
2001-12-20,2254482000
2001-12-21,2379480000
2001-12-24,2379480000
2001-12-26,2388516000
2001-12-27,2397552000
2001-12-28,2377974000
2001-12-31,2356890000
2002-01-02,2335806000
2002-01-03,2349360000
2002-01-04,2421647999
2002-01-07,2426166000
2002-01-08,2432190000
2002-01-09,2402070000
2002-01-10,2393034000
2002-01-11,2338818000
2002-01-14,2266530000
2002-01-15,2257494000
2002-01-16,2201772000
2002-01-17,2289120000
2002-01-18,2304180000
2002-01-22,2228880000
2002-01-23,2176170000
2002-01-24,2173158000
2002-01-25,2124966000
2002-01-28,2130990000
2002-01-29,2153580000
2002-01-30,2231892000
2002-01-31,2334300000
2002-02-01,2284602000
2002-02-04,2056668000
2002-02-05,2080485000
2002-02-06,2073480000
2002-02-07,2049663000
2002-02-08,2115510000
2002-02-11,2105703000
2002-02-12,2108505000
2002-02-13,2178555000
2002-02-14,2178555000
2002-02-15,2185560000
2002-02-19,2237397000
2002-02-20,2243001000
2002-02-21,2248605000
2002-02-22,2276625000
2002-02-25,2285031000
2002-02-26,2308848000
2002-02-27,2311650000
2002-02-28,2311650000
2002-03-01,2318655000
2002-03-04,2401314000
2002-03-05,2332665000
2002-03-06,2402715000
2002-03-07,2441943000
2002-03-08,2499384000
2002-03-11,2422329000
2002-03-12,2430735000
2002-03-13,2310249000
2002-03-14,2311650000
2002-03-15,2362086000
2002-03-18,2332665000
2002-03-19,2374695000
2002-03-20,2367690000
2002-03-21,2343873000
2002-03-22,2269620000
2002-03-25,2220585000
2002-03-26,2195367000
2002-03-27,2206575000
2002-03-28,2266818000
2002-04-01,2237397000
2002-04-02,2156139000
2002-04-03,2172951000
2002-04-04,2241600000
2002-04-05,2283630000
2002-04-08,2313051000
2002-04-09,2331264000
2002-04-10,2381700000
2002-04-11,2297640000
2002-04-12,2265417000
2002-04-15,2265417000
2002-04-16,2241600000
2002-04-17,2248605000
2002-04-18,2258412000
2002-04-19,2276625000
2002-04-22,2252807999
2002-04-23,2257011000
2002-04-24,2185560000
2002-04-25,2193966000
2002-04-26,2185560000
2002-04-29,2164545000
2002-04-30,2206575000
2002-05-01,2177154000
2002-05-02,2101500000
2002-05-03,2045460000
2002-05-06,2082360000
2002-05-07,2147082000
2002-05-08,2148489000
2002-05-09,2054220000
2002-05-10,1997940000
2002-05-13,1934625000
2002-05-14,1982463000
2002-05-15,1944474000
2002-05-16,1933218000
2002-05-17,1924776000
2002-05-20,1976835000
2002-05-21,1916334000
2002-05-22,1899450000
2002-05-23,2045777999
2002-05-24,2097837000
2002-05-28,2049999000
2002-05-29,2085174000
2002-05-30,2131605000
2002-05-31,2152710000
2002-06-03,2144268000
2002-06-04,2123163000
2002-06-05,2199141000
2002-06-06,2180850000
2002-06-07,2216025000
2002-06-10,2237130000
2002-06-11,2187885000
2002-06-12,2138640000
2002-06-13,2131605000
2002-06-14,2152710000
2002-06-17,2166780000
2002-06-18,2144268000
2002-06-19,2152710000
2002-06-20,2061255000
2002-06-21,2012010000
2002-06-24,2012010000
2002-06-25,1978242000
2002-06-26,1969800000
2002-06-27,2040150000
2002-06-28,2033115000
2002-07-01,1969800000
2002-07-02,1906485000
2002-07-03,1943067000
2002-07-05,2019045000
2002-07-08,1927590000
2002-07-09,1899450000
2002-07-10,1898043000
2002-07-11,1879752000
2002-07-12,1899450000
2002-07-15,1864275000
2002-07-16,1775634000
2002-07-17,1705284000
2002-07-18,1672923000
2002-07-19,1625085000
2002-07-22,1542072000
2002-07-23,1468908000
2002-07-24,1582875000
2002-07-25,1513932000
2002-07-26,1568805000
2002-07-29,1636341000
2002-07-30,1630713000
2002-07-31,1561770000
2002-08-01,1397151000
2002-08-02,1331022000
2002-08-05,1371370000
2002-08-06,1446720000
2002-08-07,1430143000
2002-08-08,1433157000
2002-08-09,1454255000
2002-08-12,1433157000
2002-08-13,1478367000
2002-08-14,1526591000
2002-08-15,1544675000
2002-08-16,1547689000
2002-08-19,1629067000
2002-08-20,1620025000
2002-08-21,1618518000
2002-08-22,1592899000
2002-08-23,1540154000
2002-08-26,1561252000
2002-08-27,1526591000
2002-08-28,1528098000
2002-08-29,1446720000
2002-08-30,1431650000
2002-09-03,1393975000
2002-09-04,1389454000
2002-09-05,1419594000
2002-09-06,1497958000
2002-09-09,1528098000
2002-09-10,1526591000
2002-09-11,1555224000
2002-09-12,1517549000
2002-09-13,1466311000
2002-09-16,1476860000
2002-09-17,1463297000
2002-09-18,1514535000
2002-09-19,1526591000
2002-09-20,1543168000
2002-09-23,1522070000
2002-09-24,1520563000
2002-09-25,1543168000
2002-09-26,1579336000
2002-09-27,1525084000
2002-09-30,1505493000
2002-10-01,1467818000
2002-10-02,1401510000
2002-10-03,1384933000
2002-10-04,1348765000
2002-10-07,1333695000
2002-10-08,1350272000
2002-10-09,1279443000
2002-10-10,1333695000
2002-10-11,1390961000
2002-10-14,1413566000
2002-10-15,1479874000
2002-10-16,1439185000
2002-10-17,1519056000
2002-10-18,1544675000
2002-10-21,1574815000
2002-10-22,1517549000
2002-10-23,1559745000
2002-10-24,1529605000
2002-10-25,1577829000
2002-10-28,1511521000
2002-10-29,1491930000
2002-10-30,1478367000
2002-10-31,1476860000
2002-11-01,1511521000
2002-11-04,1553240000
2002-11-05,1568320000
2002-11-06,1571336000
2002-11-07,1599988000
2002-11-08,1559272000
2002-11-11,1506492000
2002-11-12,1547208000
2002-11-13,1574352000
2002-11-14,1660308000
2002-11-15,1756820000
2002-11-18,1734200000
2002-11-19,1698008000
2002-11-20,1720628000
2002-11-21,1916668000
2002-11-22,1918176000
2002-11-25,1960400000
2002-11-26,1949844000
2002-11-27,2001116000
2002-11-29,2020720000
2002-12-02,1998100000
2002-12-03,1940796000
2002-12-04,1952860000
2002-12-05,1885000000
2002-12-06,1916668000
2002-12-09,1878968000
2002-12-10,1888016000
2002-12-11,1871428000
2002-12-12,1885000000
2002-12-13,1847300000
2002-12-16,1888016000
2002-12-17,1827696000
2002-12-18,1762852000
2002-12-19,1759836000
2002-12-20,1580384000
2002-12-23,1569828000
2002-12-24,1572844000
2002-12-26,1599988000
2002-12-27,1586416000
2002-12-30,1598480000
2002-12-31,1583400000
2003-01-02,1673880000
2003-01-03,1624116000
2003-01-06,1612052000
2003-01-07,1613560000
2003-01-08,1610544000
2003-01-09,1619592000
2003-01-10,1643720000
2003-01-13,1657292000
2003-01-14,1651260000
2003-01-15,1646736000
2003-01-16,1621100000
2003-01-17,1581892000
2003-01-21,1556256000
2003-01-22,1544192000
2003-01-23,1548716000
2003-01-24,1536652000
2003-01-27,1518556000
2003-01-28,1538160000
2003-01-29,1501968000
2003-01-30,1511016000
2003-01-31,1523080000
2003-02-03,1464618000
2003-02-04,1461796000
2003-02-05,1463207000
2003-02-06,1474495000
2003-02-07,1454741000
2003-02-10,1458974000
2003-02-11,1434987000
2003-02-12,1413822000
2003-02-13,1385602000
2003-02-14,1439220000
2003-02-18,1458974000
2003-02-19,1432165000
2003-02-20,1453330000
2003-02-21,1505537000
2003-02-24,1473084000
2003-02-25,1495660000
2003-02-26,1464618000
2003-02-27,1467440000
2003-02-28,1439220000
2003-03-03,1471673000
2003-03-04,1425110000
2003-03-05,1392657000
2003-03-06,1411000000
2003-03-07,1433576000
2003-03-10,1415233000
2003-03-11,1432165000
2003-03-12,1343272000
2003-03-13,1374314000
2003-03-14,1385602000
2003-03-17,1453330000
2003-03-18,1430754000
2003-03-19,1464618000
2003-03-20,1494249000
2003-03-21,1519647000
2003-03-24,1474495000
2003-03-25,1518236000
2003-03-26,1536579000
2003-03-27,1506948000
2003-03-28,1492838000
2003-03-31,1509770000
2003-04-01,1518236000
2003-04-02,1533757000
2003-04-03,1567621000
2003-04-04,1553511000
2003-04-07,1564799000
2003-04-08,1549278000
2003-04-09,1546456000
2003-04-10,1540812000
2003-04-11,1532346000
2003-04-14,1537990000
2003-04-15,1481550000
2003-04-16,1446275000
2003-04-17,1463207000
2003-04-21,1474495000
2003-04-22,1499893000
2003-04-23,1530935000
2003-04-24,1540812000
2003-04-25,1508359000
2003-04-28,1566210000
2003-04-29,1573265000
2003-04-30,1552100000
2003-05-01,1560566000
2003-05-02,1539401000
2003-05-05,1533105000
2003-05-06,1504845000
2003-05-07,1461042000
2003-05-08,1552887000
2003-05-09,1629189000
2003-05-12,1633428000
2003-05-13,1622124000
2003-05-14,1589625000
2003-05-15,1596690000
2003-05-16,1654623000
2003-05-19,1630601999
2003-05-20,1639080000
2003-05-21,1606581000
2003-05-22,1764837000
2003-05-23,1781793000
2003-05-27,1822770000
2003-05-28,1822770000
2003-05-29,1822770000
2003-05-30,1900485000
2003-06-02,1887768000
2003-06-03,1862334000
2003-06-04,1856682000
2003-06-05,1879290000
2003-06-06,1875051000
2003-06-09,1845378000
2003-06-10,1872225000
2003-06-11,1890594000
2003-06-12,1893420000
2003-06-13,1872225000
2003-06-16,1904724000
2003-06-17,1899072000
2003-06-18,1886355000
2003-06-19,1890594000
2003-06-20,1889181000
2003-06-23,1879290000
2003-06-24,1855269000
2003-06-25,1914615000
2003-06-26,1907550000
2003-06-27,1851030000
2003-06-30,1872225000
2003-07-01,1875051000
2003-07-02,1865160000
2003-07-03,1835487000
2003-07-07,1869399000
2003-07-08,1872225000
2003-07-09,1899072000
2003-07-10,1928745000
2003-07-11,1918854000
2003-07-14,1978200000
2003-07-15,1966896000
2003-07-16,1988091000
2003-07-17,1935810000
2003-07-18,1924506000
2003-07-21,1904724000
2003-07-22,1985265000
2003-07-23,2116674000
2003-07-24,2067219000
2003-07-25,2084175000
2003-07-28,2099718000
2003-07-29,2050263000
2003-07-30,2031894000
2003-07-31,2113848000
2003-08-01,2074284000
2003-08-04,2054650000
2003-08-05,2010723000
2003-08-06,1982383000
2003-08-07,2037646000
2003-08-08,2057484000
2003-08-11,2095742999
2003-08-12,2125500000
2003-08-13,2125500000
2003-08-14,2119832000
2003-08-15,2125500000
2003-08-18,2108496000
2003-08-19,2136836000
2003-08-20,2176512000
2003-08-21,2282787000
2003-08-22,2302625000
2003-08-25,2284204000
2003-08-26,2291289000
2003-08-27,2278535999
2003-08-28,2338050000
2003-08-29,2347969000
2003-09-02,2394730000
2003-09-03,2391896000
2003-09-04,2338050000
2003-09-05,2299791000
2003-09-08,2315378000
2003-09-09,2305459000
2003-09-10,2238860000
2003-09-11,2332382000
2003-09-12,2345135000
2003-09-15,2398981000
2003-09-16,2401815000
2003-09-17,2430155000
2003-09-18,2410317000
2003-09-19,2404649000
2003-09-22,2373475000
2003-09-23,2364973000
2003-09-24,2309710000
2003-09-25,2302625000
2003-09-26,2281370000
2003-09-29,2326714000
2003-09-30,2295540000
2003-10-01,2408900000
2003-10-02,2345135000
2003-10-03,2380560000
2003-10-06,2349385999
2003-10-07,2356471000
2003-10-08,2345135000
2003-10-09,2393313000
2003-10-10,2397564000
2003-10-13,2476916000
2003-10-14,2481167000
2003-10-15,2469831000
2003-10-16,2465580000
2003-10-17,2458495000
2003-10-20,2468414000
2003-10-21,2472665000
2003-10-22,2430155000
2003-10-23,2437240000
2003-10-24,2415985000
2003-10-27,2465580000
2003-10-28,2536430000
2003-10-29,2536430000
2003-10-30,2566187000
2003-10-31,2536430000
2003-11-03,2835030000
2003-11-04,2844402000
2003-11-05,2852212000
2003-11-06,2930312000
2003-11-07,2953742000
2003-11-10,2905320000
2003-11-11,2905320000
2003-11-12,2908444000
2003-11-13,2927187999
2003-11-14,2941245999
2003-11-17,2911568000
2003-11-18,2905320000
2003-11-19,2858460000
2003-11-20,3242712000
2003-11-21,3269266000
2003-11-24,3303630000
2003-11-25,3428590000
2003-11-26,3411408000
2003-11-28,3452020000
2003-12-01,3520748000
2003-12-02,3502004000
2003-12-03,3452020000
2003-12-04,3313002000
2003-12-05,3345804000
2003-12-08,3333308000
2003-12-09,3436400000
2003-12-10,3334870000
2003-12-11,3458268000
2003-12-12,3402036000
2003-12-15,3355176000
2003-12-16,3389540000
2003-12-17,3497318000
2003-12-18,3623840000
2003-12-19,3617592000
2003-12-22,3587914000
2003-12-23,3561360000
2003-12-24,3573856000
2003-12-26,3597286000
2003-12-29,3659766000
2003-12-30,3666014000
2003-12-31,3662890000
2004-01-02,3623840000
2004-01-05,3584790000
2004-01-06,3608220000
2004-01-07,3678510000
2004-01-08,3633212000
2004-01-09,3673824000
2004-01-12,4004968000
2004-01-13,3984662000
2004-01-14,3969042000
2004-01-15,3990910000
2004-01-16,3936240000
2004-01-20,3905000000
2004-01-21,3914372000
2004-01-22,3919058000
2004-01-23,3873760000
2004-01-26,3858140000
2004-01-27,3922182000
2004-01-28,3790974000
2004-01-29,3745676000
2004-01-30,3864387999
2004-02-02,3511020000
2004-02-03,3612976000
2004-02-04,3532560000
2004-02-05,3426296000
2004-02-06,3403320000
2004-02-09,3409064000
2004-02-10,3403320000
2004-02-11,3439220000
2004-02-12,3592872000
2004-02-13,3627336000
2004-02-17,3660364000
2004-02-18,3668980000
2004-02-19,3696264000
2004-02-20,3714932000
2004-02-23,3733600000
2004-02-24,3755140000
2004-02-25,3832684000
2004-02-26,3834120000
2004-02-27,3762320000
2004-03-01,3877200000
2004-03-02,3865712000
2004-03-03,3788168000
2004-03-04,3773808000
2004-03-05,3699136000
2004-03-08,3704880000
2004-03-09,3651748000
2004-03-10,3575640000
2004-03-11,3455016000
2004-03-12,3467940000
2004-03-15,3288440000
2004-03-16,3338700000
2004-03-17,3381780000
2004-03-18,3325776000
2004-03-19,3308544000
2004-03-22,3238180000
2004-03-23,3330084000
2004-03-24,3365984000
2004-03-25,3502404000
2004-03-26,3561280000
2004-03-29,3647440000
2004-03-30,3660364000
2004-03-31,3704880000
2004-04-01,3623028000
2004-04-02,3733600000
2004-04-05,3756576000
2004-04-06,3743652000
2004-04-07,3716368000
2004-04-08,3638824000
2004-04-12,3643132000
2004-04-13,3791040000
2004-04-14,3763756000
2004-04-15,3874328000
2004-04-16,3768064000
2004-04-19,3719240000
2004-04-20,3732164000
2004-04-21,3604360000
2004-04-22,3726420000
2004-04-23,3834120000
2004-04-26,3735036000
2004-04-27,3753704000
2004-04-28,3561280000
2004-04-29,3446400000
2004-04-30,3446400000
2004-05-03,3596580000
2004-05-04,3625232000
2004-05-05,3583008000
2004-05-06,3462368000
2004-05-07,3385460000
2004-05-10,3297996000
2004-05-11,3284424000
2004-05-12,3221088000
2004-05-13,3221088000
2004-05-14,3269344000
2004-05-17,3178863999
2004-05-18,3257280000
2004-05-19,3196960000
2004-05-20,3183388000
2004-05-21,3297996000
2004-05-24,3379428000
2004-05-25,3471416000
2004-05-26,3463876000
2004-05-27,3471416000
2004-05-28,3558880000
2004-06-01,3475940000
2004-06-02,3445780000
2004-06-03,3438240000
2004-06-04,3457844000
2004-06-07,3498560000
2004-06-08,3509116000
2004-06-09,3497052000
2004-06-10,3530228000
2004-06-14,3492528000
2004-06-15,3598088000
2004-06-16,3593563999
2004-06-17,3596580000
2004-06-18,3602612000
2004-06-21,3525704000
2004-06-22,3468400000
2004-06-23,3558880000
2004-06-24,3581500000
2004-06-25,3723252000
2004-06-28,3768492000
2004-06-29,3592056000
2004-06-30,3670472000
2004-07-01,3628248000
2004-07-02,3533244000
2004-07-06,3510624000
2004-07-07,3484988000
2004-07-08,3361332000
2004-07-09,3408080000
2004-07-12,3454828000
2004-07-13,3409588000
2004-07-14,3344744000
2004-07-15,3355300000
2004-07-16,3282916000
2004-07-19,3266328000
2004-07-20,3305536000
2004-07-21,3114020000
2004-07-22,3126084000
2004-07-23,3147196000
2004-07-26,3061240000
2004-07-27,3181880000
2004-07-28,3157752000
2004-07-29,3221088000
2004-07-30,3393000000
2004-08-02,3429900000
2004-08-03,3326385000
2004-08-04,3365010000
2004-08-05,3244500000
2004-08-06,3168795000
2004-08-09,3167250000
2004-08-10,3244500000
2004-08-11,3198150000
2004-08-12,3131715000
2004-08-13,3100815000
2004-08-16,3196605000
2004-08-17,3326385000
2004-08-18,3383550000
2004-08-19,3414450000
2004-08-20,3391275000
2004-08-23,3415995000
2004-08-24,3466980000
2004-08-25,3510240000
2004-08-26,3466980000
2004-08-27,3538050000
2004-08-30,3474704999
