,OI
2000-11-03,867834000
2000-11-06,849754125
2000-11-07,849754125
2000-11-08,876873937
2000-11-09,849754125
2000-11-10,849754125
2000-11-13,849754125
2000-11-14,840714187
2000-11-15,813594375
2000-11-16,488156625
2000-11-17,542396250
2000-11-20,560476125
2000-11-21,569516062
2000-11-22,560476125
2000-11-24,551436187
2000-11-27,551436187
2000-11-28,433917000
2000-11-29,370637437
2000-11-30,415837125
2000-12-01,461036812
2000-12-04,587595937
2000-12-05,424877062
2000-12-06,533356312
2000-12-07,515276437
2000-12-08,488156625
2000-12-11,451996875
2000-12-12,451996875
2000-12-13,415837125
2000-12-14,397757250
2000-12-15,424877062
2000-12-18,461036812
2000-12-19,479116687
2000-12-20,533356312
2000-12-21,596635875
2000-12-22,641835562
2000-12-26,650875500
2000-12-27,795514500
2000-12-28,741274875
2000-12-29,822634312
2001-01-02,831674250
2001-01-03,894953812
2001-01-04,1021512937
2001-01-05,1084792500
2001-01-08,1157112000
2001-01-09,1175191875
2001-01-10,1021512937
2001-01-11,1120952250
2001-01-12,1075752562
2001-01-16,976313250
2001-01-17,985353187
2001-01-18,994393125
2001-01-19,994393125
2001-01-22,1012473000
2001-01-23,1048632750
2001-01-24,1030552875
2001-01-25,1048632750
2001-01-26,1039592812
2001-01-29,1135416150
2001-01-30,1084792500
2001-01-31,1186039800
2001-02-01,1171575900
2001-02-02,1120952250
2001-02-05,1142648100
2001-02-06,1227985110
2001-02-07,1214967600
2001-02-08,1252573740
2001-02-09,1285840710
2001-02-12,1332125190
2001-02-13,1340803530
2001-02-14,1365392160
2001-02-15,1388534400
2001-02-16,1359606600
2001-02-20,1212074820
2001-02-21,1118059470
2001-02-22,1149880050
2001-02-23,1144094490
2001-02-26,1106488350
2001-02-27,1164343950
2001-02-28,1135416150
2001-03-01,1157112000
2001-03-02,1164343950
2001-03-05,1197610920
2001-03-06,1229431500
2001-03-07,1337910750
2001-03-08,1391427180
2001-03-09,1342249920
2001-03-12,1308982950
2001-03-13,1288733490
2001-03-14,1213521210
2001-03-15,1308982950
2001-03-16,1232324280
2001-03-19,1219306770
2001-03-20,1222199550
2001-03-21,1154219220
2001-03-22,1055864700
2001-03-23,1048632750
2001-03-26,1168683120
2001-03-27,1222199550
2001-03-28,1241002620
2001-03-29,1255466520
2001-03-30,1229431500
2001-04-02,1064809200
2001-04-03,1043078400
2001-04-04,1021347600
2001-04-05,1040180960
2001-04-06,1006860400
2001-04-09,1018450160
2001-04-10,1053219439
2001-04-11,969193680
2001-04-12,977886000
2001-04-16,989475760
2001-04-17,1032937360
2001-04-18,1093783600
2001-04-19,1106822080
2001-04-20,1158976000
2001-04-23,1115514400
2001-04-24,1151732400
2001-04-25,1150283680
2001-04-26,1158976000
2001-04-27,1130001600
2001-04-30,1141591360
2001-05-01,1141591360
2001-05-02,1101027200
2001-05-03,1137245200
2001-05-04,1115514400
2001-05-07,1108270800
2001-05-08,1118411840
2001-05-09,1089437440
2001-05-10,1118411840
2001-05-11,1114065680
2001-05-14,1093783600
2001-05-15,1093783600
2001-05-16,1137245200
2001-05-17,1121309280
2001-05-18,1122758000
2001-05-21,1086540000
2001-05-22,1093783600
2001-05-23,1053219439
2001-05-24,1040180960
2001-05-25,1072052800
2001-05-29,1057565600
2001-05-30,1054668160
2001-05-31,1022796320
2001-06-01,956155200
2001-06-04,922834640
2001-06-05,934424400
2001-06-06,953257760
2001-06-07,934424400
2001-06-08,934424400
2001-06-11,946014160
2001-06-12,956155200
2001-06-13,970642400
2001-06-14,963398800
2001-06-15,906898720
2001-06-18,898206400
2001-06-19,896757680
2001-06-20,905450000
2001-06-21,872129439
2001-06-22,1006860400
2001-06-25,963398800
2001-06-26,985129600
2001-06-27,1006860400
2001-06-28,970642400
2001-06-29,982232160
2001-07-02,1050818500
2001-07-03,1066895000
2001-07-05,1059587500
2001-07-06,1044972500
2001-07-09,1110740000
2001-07-10,1074202500
2001-07-11,1066895000
2001-07-12,1096125000
2001-07-13,1081510000
2001-07-16,1078587000
2001-07-17,1081510000
2001-07-18,1055203000
2001-07-19,1037665000
2001-07-20,1028896000
2001-07-23,1044972500
2001-07-24,1023050000
2001-07-25,1096125000
2001-07-26,964590000
2001-07-27,876900000
2001-07-30,932437000
2001-07-31,938283000
2001-08-01,945590500
2001-08-02,961667000
2001-08-03,941206000
2001-08-06,920745000
2001-08-07,891515000
2001-08-08,884207500
2001-08-09,942667500
2001-08-10,920745000
2001-08-13,917822000
2001-08-14,954359500
2001-08-15,879822999
2001-08-16,891515000
2001-08-17,887130500
2001-08-20,891515000
2001-08-21,859362000
2001-08-22,856439000
2001-08-23,828670500
2001-08-24,802363500
2001-08-27,834516500
2001-08-28,816978500
2001-08-29,811132500
2001-08-30,781902500
2001-08-31,808209500
2001-09-04,830132000
2001-09-05,830132000
2001-09-06,745365000
2001-09-07,774595000
2001-09-10,803825000
2001-09-17,726365500
2001-09-18,768749000
2001-09-19,745365000
2001-09-20,701520000
2001-09-21,657675000
2001-09-24,681059000
2001-09-25,629906500
2001-09-26,626983500
2001-09-27,594830500
2001-09-28,588984500
2001-10-01,589456010
2001-10-02,585068000
2001-10-03,587993339
2001-10-04,573366640
2001-10-05,563127950
2001-10-08,552889260
2001-10-09,548501250
2001-10-10,573366640
2001-10-11,614321400
2001-10-12,621634750
2001-10-15,592381350
2001-10-16,617246740
2001-10-17,548501250
2001-10-18,579217320
2001-10-19,592381350
2001-10-22,599694700
2001-10-23,599694700
2001-10-24,645037470
2001-10-25,665514850
2001-10-26,769364420
2001-10-29,819095200
2001-10-30,880527339
2001-10-31,892228700
2001-11-01,994615600
2001-11-02,1020943660
2001-11-05,925870110
2001-11-06,933183460
2001-11-07,944884820
2001-11-08,946347490
2001-11-09,949272830
2001-11-12,956586180
2001-11-13,994615600
2001-11-14,1019480990
2001-11-15,1015092980
2001-11-16,1020943660
2001-11-19,1009242300
2001-11-20,1060435750
2001-11-21,1009242300
2001-11-23,1037033030
2001-11-26,1053122400
2001-11-27,1075062450
2001-11-28,1088226480
2001-11-29,1124793230
2001-11-30,1202314740
2001-12-03,1170136000
2001-12-04,1155509300
2001-12-05,1162822650
2001-12-06,1199389400
2001-12-07,1237418820
2001-12-10,1221329450
2001-12-11,1230105470
2001-12-12,1257896200
2001-12-13,1254970860
2001-12-14,1243269500
2001-12-17,1243269500
2001-12-18,1294462950
2001-12-19,1290074940
2001-12-20,1316403000
2001-12-21,1404163200
2001-12-24,1459744660
2001-12-26,1446580630
2001-12-27,1396849850
2001-12-28,1424640580
2001-12-31,1461207330
2002-01-02,1459744660
2002-01-03,1461207330
2002-01-04,1459744660
2002-01-07,1518251460
2002-01-08,1565056900
2002-01-09,1543116850
2002-01-10,1554818210
2002-01-11,1566519570
2002-01-14,1598698310
2002-01-15,1623563700
2002-01-16,1601623650
2002-01-17,1588459620
2002-01-18,1579683600
2002-01-22,1594310300
2002-01-23,1619175690
2002-01-24,1644041080
2002-01-25,1746427980
2002-01-28,1810785460
2002-01-29,1804934780
2002-01-30,1746427980
2002-01-31,1878068280
2002-02-01,1879530950
2002-02-04,1819561480
2002-02-05,1853202890
2002-02-06,1828337500
2002-02-07,1806397450
2002-02-08,1755204000
2002-02-11,1832725510
2002-02-12,1845889540
2002-02-13,1872217600
2002-02-14,1835650850
2002-02-15,1873680270
2002-02-19,1900008330
2002-02-20,1927799060
2002-02-21,1879530950
2002-02-22,1914635030
2002-02-25,2011171250
2002-02-26,2033111300
2002-02-27,2103319460
2002-02-28,2147199560
2002-03-01,2208631700
2002-03-04,2286153210
2002-03-05,2150124900
2002-03-06,2208631700
2002-03-07,2208631700
2002-03-08,2267138500
2002-03-11,2179378300
2002-03-12,2252511800
2002-03-13,2226183740
2002-03-14,2208631700
2002-03-15,2179378300
2002-03-18,2220333060
2002-03-19,2252511800
2002-03-20,2237885100
2002-03-21,2205706360
2002-03-22,2267138500
2002-03-25,2270063840
2002-03-26,2376838750
2002-03-27,2476300310
2002-03-28,2486539000
2002-04-01,2654527900
2002-04-02,2617863150
2002-04-03,2529867750
2002-04-04,2504935719
2002-04-05,2566532500
2002-04-08,2814386356
2002-04-09,2713191500
2002-04-10,2669193946
2002-04-11,2617863150
2002-04-12,2707324993
2002-04-15,2673593570
2002-04-16,2785054410
2002-04-17,2727857400
2002-04-18,2729324136
2002-04-19,2655994636
2002-04-22,2589997940
2002-04-23,2633995493
2002-04-24,2485870196
2002-04-25,2089890750
2002-04-26,2060558950
2002-04-29,2202818180
2002-04-30,2349477180
2002-05-01,2441872350
2002-05-02,2368542850
2002-05-03,2449205446
2002-05-06,2460938166
2002-05-07,2405207600
2002-05-08,2490269820
2002-05-09,2497602916
2002-05-10,2497602916
2002-05-13,2565065910
2002-05-14,2603197250
2002-05-15,2610530053
2002-05-16,2587064613
2002-05-17,2567999090
2002-05-20,2598797333
2002-05-21,2529867750
2002-05-22,2506402310
2002-05-23,2638395410
2002-05-24,2614929969
2002-05-28,2553333190
2002-05-29,2557733106
2002-05-30,2566532500
2002-05-31,2566532500
2002-06-03,2531334340
2002-06-04,2481470280
2002-06-05,2632529196
2002-06-06,2510802226
2002-06-07,2513735113
2002-06-10,2515201850
2002-06-11,2441872350
2002-06-12,2449205446
2002-06-13,2416940320
2002-06-14,2353876803
2002-06-17,2381742160
2002-06-18,2383208750
2002-06-19,2414006993
2002-06-20,2346544000
2002-06-21,2390541553
2002-06-24,2287880400
2002-06-25,2133888450
2002-06-26,2128022090
2002-06-27,2060558950
2002-06-28,2015094660
2002-07-01,1995786400
2002-07-02,1885724650
2002-07-03,1929749350
2002-07-05,2054486000
2002-07-08,2017798750
2002-07-09,1966436600
2002-07-10,1944424250
2002-07-11,1940021780
2002-07-12,1813817640
2002-07-15,1856374850
2002-07-16,1884257160
2002-07-17,1871049750
2002-07-18,1834362500
2002-07-19,1738975650
2002-07-22,1614239000
2002-07-23,1540864500
2002-07-24,1716963300
2002-07-25,1645056290
2002-07-26,1758053020
2002-07-29,1841699950
2002-07-30,1783000350
2002-07-31,1834362500
2002-08-01,1907737000
2002-08-02,1769792940
2002-08-05,1731638200
2002-08-06,1780065370
2002-08-07,1760988000
2002-08-08,1768325450
2002-08-09,1788870310
2002-08-12,1794740270
2002-08-13,1783000350
2002-08-14,1771260430
2002-08-15,1819687600
2002-08-16,1769792940
2002-08-19,1790337800
2002-08-20,1816752620
2002-08-21,1827025050
2002-08-22,1806480190
2002-08-23,1753650550
2002-08-26,1716963300
2002-08-27,1730170709
2002-08-28,1793272780
2002-08-29,1724300750
2002-08-30,1716963300
2002-09-03,1670003620
2002-09-04,1835829990
2002-09-05,1760988000
2002-09-06,1885724650
2002-09-09,1812350150
2002-09-10,1937086800
2002-09-11,1981111500
2002-09-12,1945891740
2002-09-13,1959099150
2002-09-16,1938554290
2002-09-17,1827025050
2002-09-18,1819687600
2002-09-19,1768325450
2002-09-20,1783000350
2002-09-23,1718430790
2002-09-24,1621576450
2002-09-25,1702288400
2002-09-26,1711093340
2002-09-27,1687613500
2002-09-30,1659059200
2002-10-01,1782169600
2002-10-02,1620953600
2002-10-03,1648800000
2002-10-04,1612160000
2002-10-07,1552070400
2002-10-08,1582848000
2002-10-09,1467065600
2002-10-10,1638540800
2002-10-11,1683974400
2002-10-14,1598969600
2002-10-15,1729408000
2002-10-16,1732339200
2002-10-17,1807084800
2002-10-18,1834931200
2002-10-21,1861312000
2002-10-22,1795360000
2002-10-23,1952179200
2002-10-24,1903814400
2002-10-25,1963904000
2002-10-28,1934592000
2002-10-29,1868640000
2002-10-30,1875968000
2002-10-31,1757254400
2002-11-01,1893555200
2002-11-04,1815878400
2002-11-05,1826137600
2002-11-06,2022528000
2002-11-07,1936057600
2002-11-08,1978560000
2002-11-11,1941920000
2002-11-12,1946316800
2002-11-13,1985888000
2002-11-14,2126585600
2002-11-15,2087014400
2002-11-18,2104601600
2002-11-19,2088480000
2002-11-20,2062099200
2002-11-21,2183744000
2002-11-22,2125120000
2002-11-25,2180812800
2002-11-26,2125120000
2002-11-27,2154432000
2002-11-29,2300992000
2002-12-02,2199865600
2002-12-03,2211590400
2002-12-04,2204262400
2002-12-05,2199865600
2002-12-06,2161760000
2002-12-09,2132448000
2002-12-10,2139776000
2002-12-11,2132448000
2002-12-12,2154432000
2002-12-13,2194003200
2002-12-16,2201331200
2002-12-17,2145638400
2002-12-18,2125120000
2002-12-19,2103136000
2002-12-20,2176416000
2002-12-23,2125120000
2002-12-24,2122188800
2002-12-26,2123654400
2002-12-27,2114860800
2002-12-30,2087014400
2002-12-31,2141116740
2003-01-02,2173424400
2003-01-03,2198389410
2003-01-06,2189578230
2003-01-07,2092655250
2003-01-08,2158739100
2003-01-09,2130837030
2003-01-10,2189578230
2003-01-13,2276221500
2003-01-14,2208669120
2003-01-15,2217480300
2003-01-16,2195452350
2003-01-17,2210137650
2003-01-21,2142585270
2003-01-22,2107340550
2003-01-23,2179298520
2003-01-24,2064753180
2003-01-27,1967830200
2003-01-28,1997200800
2003-01-29,1724054220
2003-01-30,1688809500
2003-01-31,1610977410
2003-02-03,1603634760
2003-02-04,1602166230
2003-02-05,1563984450
2003-02-06,1583075340
2003-02-07,1539019440
2003-02-10,1478809710
2003-02-11,1486152360
2003-02-12,1472935590
2003-02-13,1468530000
2003-02-14,1458250290
2003-02-18,1533145320
2003-02-19,1481746770
2003-02-20,1469998530
2003-02-21,1453844700
2003-02-24,1321677000
2003-02-25,1330488180
2003-02-26,1321677000
2003-02-27,1290837869
2003-02-28,1321677000
2003-03-03,1287900810
2003-03-04,1292306400
2003-03-05,1257061680
2003-03-06,1224754020
2003-03-07,1226222550
2003-03-10,1183635180
2003-03-11,1174824000
2003-03-12,1171886940
2003-03-13,1218879900
2003-03-14,1174824000
2003-03-17,1283495220
2003-03-18,1259998740
2003-03-19,1334893770
2003-03-20,1359858780
2003-03-21,1431816750
2003-03-24,1358390250
2003-03-25,1336362300
2003-03-26,1337830830
2003-03-27,1336362300
2003-03-28,1351047600
2003-03-31,1327894639
2003-04-01,1358741750
2003-04-02,1376368670
2003-04-03,1313205540
2003-04-04,1320550090
2003-04-07,1351397200
2003-04-08,1333770280
2003-04-09,1314674450
2003-04-10,1282358430
2003-04-11,1252980230
2003-04-14,1248573500
2003-04-15,1280889520
2003-04-16,1299985350
2003-04-17,1297047530
2003-04-21,1263262600
2003-04-22,1267669330
2003-04-23,1295578620
2003-04-24,1386651040
2003-04-25,1298516440
2003-04-28,1355803930
2003-04-29,1322019000
2003-04-30,1305860990
2003-05-01,1307329900
2003-05-02,1348459380
2003-05-05,1357272840
2003-05-06,1361679570
2003-05-07,1426311610
2003-05-08,1411622510
2003-05-09,1543824410
2003-05-12,1599642990
2003-05-13,1580547160
2003-05-14,1620207730
2003-05-15,1689246500
2003-05-16,1836137500
2003-05-19,1725969250
2003-05-20,1703935600
2003-05-21,1777381100
2003-05-22,1696591050
2003-05-23,1645179200
2003-05-27,1686308680
2003-05-28,1708342330
2003-05-29,1670150670
2003-05-30,1681901950
2003-06-02,1739189440
2003-06-03,1762692000
2003-06-04,1752409630
2003-06-05,1689246500
2003-06-06,1661337210
2003-06-09,1665743940
2003-06-10,1645179200
2003-06-11,1631959010
2003-06-12,1674557400
2003-06-13,1705404510
2003-06-16,1774443280
2003-06-17,1814103850
2003-06-18,1834668590
2003-06-19,1825855130
2003-06-20,1815572760
2003-06-23,1780318920
2003-06-24,2027095800
2003-06-25,1938961200
2003-06-26,2030033620
2003-06-27,2043253810
2003-06-30,2023308720
2003-07-01,1974819840
2003-07-02,2014492560
2003-07-03,1963064960
2003-07-07,2011553840
2003-07-08,2124694560
2003-07-09,2092368640
2003-07-10,1755885200
2003-07-11,1779394960
2003-07-14,1742660960
2003-07-15,1742660960
2003-07-16,1772048160
2003-07-17,1739722240
2003-07-18,1754415840
2003-07-21,1738252880
2003-07-22,1738252880
2003-07-23,1704457600
2003-07-24,1713273760
2003-07-25,1704457600
2003-07-28,1689764000
2003-07-29,1683886560
2003-07-30,1679478480
2003-07-31,1679478480
2003-08-01,1661846160
2003-08-04,1638336400
2003-08-05,1603071760
2003-08-06,1576623280
2003-08-07,1578092640
2003-08-08,1572215200
2003-08-11,1572215200
2003-08-12,1572215200
2003-08-13,1564868400
2003-08-14,1551644160
2003-08-15,1547236080
2003-08-18,1579562000
2003-08-19,1647152560
2003-08-20,1628050880
2003-08-21,1629520240
2003-08-22,1630989600
2003-08-25,1616296000
2003-08-26,1616296000
2003-08-27,1622173439
2003-08-28,1661846160
2003-08-29,1682417200
2003-09-02,1691233360
2003-09-03,1719151200
2003-09-04,1733844800
2003-09-05,1719151200
2003-09-08,1770578800
2003-09-09,1722089920
2003-09-10,1682417200
2003-09-11,1660376800
2003-09-12,1667723600
2003-09-15,1708865680
2003-09-16,1748538400
2003-09-17,1717681840
2003-09-18,1713273760
2003-09-19,1711804400
2003-09-22,1698580160
2003-09-23,1719151200
2003-09-24,1713273760
2003-09-25,1691233360
2003-09-26,1689764000
2003-09-29,1688294640
2003-09-30,1678857717
2003-10-01,1717080397
2003-10-02,1771474211
2003-10-03,1778824726
2003-10-06,1759713386
2003-10-07,1755303077
2003-10-08,1705319572
2003-10-09,1689148438
2003-10-10,1653865965
2003-10-13,1687678335
2003-10-14,1665626789
2003-10-15,1727371119
2003-10-16,1746482459
2003-10-17,1725901015
2003-10-20,1727371119
2003-10-21,1668566995
2003-10-22,1746482459
2003-10-23,1731781428
2003-10-24,1712670088
2003-10-27,1793525757
2003-10-28,1767063902
2003-10-29,1799406169
2003-10-30,1822927819
2003-10-31,1808226788
2003-11-03,1793525757
2003-11-04,1784705139
2003-11-05,1749422665
2003-11-06,1778824726
2003-11-07,1770004108
2003-11-10,1772944314
2003-11-11,1734721634
2003-11-12,1714140191
2003-11-13,1718550500
2003-11-14,1696498954
2003-11-17,1640635037
2003-11-18,1637694831
2003-11-19,1609762872
2003-11-20,1617113388
2003-11-21,1611232975
2003-11-24,1631814418
2003-11-25,1622993800
2003-11-26,1640635037
2003-11-28,1658276274
2003-12-01,1705319572
2003-12-02,1671507201
2003-12-03,1661216480
2003-12-04,1675917511
2003-12-05,1674447408
2003-12-08,1642105140
2003-12-09,1631814418
2003-12-10,1583301017
2003-12-11,1628874212
2003-12-12,1736191737
2003-12-15,1715610294
2003-12-16,1714140191
2003-12-17,1695028851
2003-12-18,1705319572
2003-12-19,1721490706
2003-12-22,1714140191
2003-12-23,1717080397
2003-12-24,1706789675
2003-12-26,1702379366
2003-12-29,1727371119
2003-12-30,1736191737
2003-12-31,1748329380
2004-01-02,1754211060
2004-01-05,1815968700
2004-01-06,1804205340
2004-01-07,1779208200
2004-01-08,1868903820
2004-01-09,1829202480
2004-01-12,1821850380
2004-01-13,1808616600
2004-01-14,1815968700
2004-01-15,1788030720
2004-01-16,1802734920
2004-01-20,1785089880
2004-01-21,1758622320
2004-01-22,1760092740
2004-01-23,1717450560
2004-01-26,1758622320
2004-01-27,1749799800
2004-01-28,1654222500
2004-01-29,1629225360
2004-01-30,1643929560
2004-02-02,1632166200
2004-02-03,1617462000
2004-02-04,1614521160
2004-02-05,1632166200
2004-02-06,1617462000
2004-02-09,1615991580
2004-02-10,1614521160
2004-02-11,1617462000
2004-02-12,1652752080
2004-02-13,1646870400
2004-02-17,1665985860
2004-02-18,2032120440
2004-02-19,1961540280
2004-02-20,1977714900
2004-02-23,2010064140
2004-02-24,1933602300
2004-02-25,1985067000
2004-02-26,1967421960
2004-02-27,1967421960
2004-03-01,1977714900
2004-03-02,1963010700
2004-03-03,1933602300
2004-03-04,1977714900
2004-03-05,1942424820
2004-03-08,1898312220
2004-03-09,1864492560
2004-03-10,1820379960
2004-03-11,1798323660
2004-03-12,1830672900
2004-03-15,1813027860
2004-03-16,1823320800
2004-03-17,1933602300
2004-03-18,1927720620
2004-03-19,1926250200
2004-03-22,1852729200
2004-03-23,1852729200
2004-03-24,1811557440
2004-03-25,1882137600
2004-03-26,1948306500
2004-03-29,1986537420
2004-03-30,1970362800
2004-03-31,2069099640
2004-04-01,2082382020
2004-04-02,2139939000
2004-04-05,2095664400
2004-04-06,2125180800
2004-04-07,2176834500
2004-04-08,2131084080
2004-04-12,2120753340
2004-04-13,2048438160
2004-04-14,2038107420
2004-04-15,2061720540
2004-04-16,2060244720
2004-04-19,2060244720
2004-04-20,2049913980
2004-04-21,2132559900
2004-04-22,2218157460
2004-04-23,2165027940
2004-04-26,2162076300
2004-04-27,2169455400
2004-04-28,2101567680
2004-04-29,2033679960
2004-04-30,2060244720
2004-05-03,2076478740
2004-05-04,2117801700
2004-05-05,2125180800
2004-05-06,2082382020
2004-05-07,2029252500
2004-05-10,2001211920
2004-05-11,2004163560
2004-05-12,2141414820
2004-05-13,2054341440
2004-05-14,2066148000
2004-05-17,2029252500
2004-05-18,2018921760
2004-05-19,2033679960
2004-05-20,2049913980
2004-05-21,2073527100
2004-05-24,2030728320
2004-05-25,2072051279
2004-05-26,2060244720
2004-05-27,2061720540
2004-05-28,2188641060
2004-06-01,2154697200
2004-06-02,2280141900
2004-06-03,2275714440
2004-06-04,2272762800
2004-06-07,2330319780
2004-06-08,2294900100
2004-06-09,2280141900
2004-06-10,2368691100
2004-06-14,2325892320
2004-06-15,2345077980
2004-06-16,2343602160
2004-06-17,2384925120
2004-06-18,2386400940
2004-06-21,2401159140
2004-06-22,2390828400
2004-06-23,2457240300
2004-06-24,2435103000
2004-06-25,2476425960
2004-06-28,2407062420
2004-06-29,2452812840
2004-06-30,2481368280
2004-07-01,2392536480
2004-07-02,2368848000
2004-07-06,2317029450
2004-07-07,2294821500
2004-07-08,2333315280
2004-07-09,2319990510
2004-07-12,2282977260
2004-07-13,2306665740
2004-07-14,2354042700
2004-07-15,2394017010
2004-07-16,2333315280
2004-07-19,2322951570
2004-07-20,2352562170
2004-07-21,2124560550
2004-07-22,2102352600
2004-07-23,2114196840
2004-07-26,2074222530
2004-07-27,2127521610
2004-07-28,2155651680
2004-07-29,2174898570
2004-07-30,2176379100
2004-08-02,2243002950
2004-08-03,2288899380
2004-08-04,2447316090
2004-08-05,2368848000
2004-08-06,2357003760
2004-08-09,2334795810
2004-08-10,2355523230
2004-08-11,2331834750
2004-08-12,2339237400
2004-08-13,2317029450
2004-08-16,2367367470
2004-08-17,2371809060
2004-08-18,2394017010
2004-08-19,2385133830
2004-08-20,2404380720
2004-08-23,2413263900
2004-08-24,2379211710
2004-08-25,2420666550
2004-08-26,2420666550
2004-08-27,2465082450
2004-08-30,2391055950
2004-08-31,2376250650
2004-09-01,2502095700
2004-09-02,2459160330
2004-09-03,2469524040
2004-09-07,2435471850
2004-09-08,2388094890
2004-09-09,2354042700
2004-09-10,2367367470
