,WMT
2000-08-23,221166000000
2000-08-24,219155400000
2000-08-25,224785080000
2000-08-28,220897920000
2000-08-29,220093680000
2000-08-30,215268239999
2000-08-31,211917240000
2000-09-01,218083080000
2000-09-05,222238319999
2000-09-06,225053160000
2000-09-07,227331840000
2000-09-08,232559400000
2000-09-11,242612400000
2000-09-12,242880480000
2000-09-13,240735840000
2000-09-14,234301920000
2000-09-15,231755160000
2000-09-18,228404160000
2000-09-19,221702160000
2000-09-20,216474599999
2000-09-21,227868000000
2000-09-22,225589319999
2000-09-25,220897920000
2000-09-26,209370480000
2000-09-27,215000160000
2000-09-28,214732080000
2000-09-29,215000160000
2000-10-02,206689680000
2000-10-03,204679080000
2000-10-04,206019480000
2000-10-05,205751400000
2000-10-06,203338680000
2000-10-09,201596160000
2000-10-10,207225840000
2000-10-11,202400400000
2000-10-12,197172840000
2000-10-13,201060000000
2000-10-16,211381080000
2000-10-17,205483320000
2000-10-18,208834320000
2000-10-19,213659760000
2000-10-20,208030080000
2000-10-23,211381080000
2000-10-24,216072480000
2000-10-25,205215240000
2000-10-26,194089920000
2000-10-27,193285680000
2000-10-30,195430320000
2000-10-31,202804560000
2000-11-01,208706280000
2000-11-02,216619949999
2000-11-03,211791270000
2000-11-06,219034289999
2000-11-07,218766029999
2000-11-08,217961250000
2000-11-09,210718230000
2000-11-10,195293280000
2000-11-13,202536300000
2000-11-14,209511060000
2000-11-15,219034289999
2000-11-16,215681039999
2000-11-17,217156470000
2000-11-20,214071480000
2000-11-21,210718230000
2000-11-22,205084770000
2000-11-24,201999780000
2000-11-27,220509720000
2000-11-28,219034289999
2000-11-29,231910770000
2000-11-30,233386199999
2000-12-01,228825779999
2000-12-04,240629220000
2000-12-05,247067460000
2000-12-06,245055510000
2000-12-07,245860289999
2000-12-08,243445949999
2000-12-11,229630560000
2000-12-12,231910770000
2000-12-13,224936010000
2000-12-14,228289260000
2000-12-15,222924060000
2000-12-18,226009050000
2000-12-19,214608000000
2000-12-20,218766029999
2000-12-21,231374250000
2000-12-22,234727500000
2000-12-26,226277310000
2000-12-27,234995760000
2000-12-28,236739449999
2000-12-29,237544230000
2001-01-02,240897480000
2001-01-03,261285240000
2001-01-04,251225490000
2001-01-05,241165740000
2001-01-08,241165740000
2001-01-09,235800539999
2001-01-10,231105990000
2001-01-11,232179029999
2001-01-12,236739449999
2001-01-16,244518990000
2001-01-17,241165740000
2001-01-18,237275970000
2001-01-19,227216220000
2001-01-22,234995760000
2001-01-23,238617270000
2001-01-24,239153789999
2001-01-25,241434000000
2001-01-26,239690310000
2001-01-29,242372910000
2001-01-30,240360960000
2001-01-31,253908090000
2001-02-01,249079410000
2001-02-02,244787250000
2001-02-05,240763350000
2001-02-06,237812490000
2001-02-07,244384860000
2001-02-08,233788590000
2001-02-09,225338400000
2001-02-12,239019660000
2001-02-13,241836390000
2001-02-14,237007710000
2001-02-15,232447289999
2001-02-16,234056850000
2001-02-20,238751400000
2001-02-21,224533619999
2001-02-22,222253410000
2001-02-23,224801880000
2001-02-26,228289260000
2001-02-27,228021000000
2001-02-28,223997100000
2001-03-01,216083430000
2001-03-02,218766029999
2001-03-05,216217560000
2001-03-06,221582760000
2001-03-07,226679699999
2001-03-08,230971860000
2001-03-09,227082090000
2001-03-12,215949300000
2001-03-13,218229510000
2001-03-14,210986490000
2001-03-15,213937350000
2001-03-16,209779320000
2001-03-19,211791270000
2001-03-20,214071480000
2001-03-21,215949300000
2001-03-22,209779320000
2001-03-23,212730180000
2001-03-26,221716890000
2001-03-27,224801880000
2001-03-28,221985150000
2001-03-29,226277310000
2001-03-30,225740789999
2001-04-02,226411440000
2001-04-03,219973199999
2001-04-04,222924060000
2001-04-05,226009050000
2001-04-06,229094039999
2001-04-09,224936010000
2001-04-10,227350350000
2001-04-11,224533619999
2001-04-12,222253410000
2001-04-16,219302550000
2001-04-17,220107330000
2001-04-18,235800539999
2001-04-19,234727500000
2001-04-20,231240119999
2001-04-23,232715550000
2001-04-24,223997100000
2001-04-25,226545570000
2001-04-26,229094039999
2001-04-27,236202930000
2001-04-30,231322500000
2001-05-01,239100299999
2001-05-02,237222900000
2001-05-03,237357000000
2001-05-04,236954700000
2001-05-07,232663500000
2001-05-08,232395299999
2001-05-09,230652000000
2001-05-10,238832099999
2001-05-11,241782300000
2001-05-14,242989200000
2001-05-15,232395299999
2001-05-16,230920200000
2001-05-17,231322500000
2001-05-18,232663500000
2001-05-21,237759300000
2001-05-22,239234400000
2001-05-23,234809100000
2001-05-24,236418300000
2001-05-25,228908700000
2001-05-29,228908700000
2001-05-30,230115600000
2001-05-31,231322500000
2001-06-01,231188399999
2001-06-04,227970000000
2001-06-05,229311000000
2001-06-06,226897200000
2001-06-07,228372300000
2001-06-08,228104100000
2001-06-11,224483399999
2001-06-12,226092600000
2001-06-13,224215200000
2001-06-14,221265000000
2001-06-15,215230500000
2001-06-18,216839700000
2001-06-19,218448900000
2001-06-20,222606000000
2001-06-21,225556200000
2001-06-22,223410600000
2001-06-25,218985299999
2001-06-26,219521700000
2001-06-27,216839700000
2001-06-28,220728600000
2001-06-29,218180700000
2001-07-02,222337799999
2001-07-03,220058100000
2001-07-05,217242000000
2001-07-06,211609800000
2001-07-09,215632799999
2001-07-10,212280300000
2001-07-11,218314800000
2001-07-12,231724800000
2001-07-13,236418300000
2001-07-16,239100299999
2001-07-17,238429800000
2001-07-18,241245899999
2001-07-19,242452799999
2001-07-20,242586900000
2001-07-23,237088800000
2001-07-24,237357000000
2001-07-25,246341700000
2001-07-26,248085000000
2001-07-27,247682700000
2001-07-30,249828300000
2001-07-31,249604740000
2001-08-01,245719320000
2001-08-02,250006680000
2001-08-03,247327080000
2001-08-06,243441660000
2001-08-07,245987280000
2001-08-08,243575640000
2001-08-09,241967879999
2001-08-10,239422260000
2001-08-13,233125199999
2001-08-14,233795100000
2001-08-15,232187339999
2001-08-16,230847540000
2001-08-17,226828140000
2001-08-20,230445600000
2001-08-21,223076699999
2001-08-22,224416500000
2001-08-23,222138839999
2001-08-24,227498040000
2001-08-27,225086400000
2001-08-28,223746600000
2001-08-29,219459240000
2001-08-30,212626260000
2001-08-31,214635960000
2001-09-04,216377699999
2001-09-05,219459240000
2001-09-06,211554420000
2001-09-07,206463180000
2001-09-10,206463180000
2001-09-17,196548660000
2001-09-18,202577760000
2001-09-19,202979700000
2001-09-20,202309800000
2001-09-21,199496220000
2001-09-24,211152480000
2001-09-25,216109740000
2001-09-26,220933019999
2001-09-27,220531080000
2001-09-28,221067000000
2001-10-01,222272820000
2001-10-02,232187339999
2001-10-03,235536839999
2001-10-04,230043660000
2001-10-05,234063060000
2001-10-08,228301920000
2001-10-09,232589280000
2001-10-10,239556240000
2001-10-11,238886339999
2001-10-12,236206740000
2001-10-15,238886339999
2001-10-16,237278580000
2001-10-17,233259180000
2001-10-18,231785400000
2001-10-19,236742660000
2001-10-22,236876640000
2001-10-23,235000920000
2001-10-24,234331019999
2001-10-25,238082460000
2001-10-26,238618379999
2001-10-29,231785400000
2001-10-30,226024260000
2001-10-31,228788280000
2001-11-01,232527960000
2001-11-02,235866960000
2001-11-05,240007320000
2001-11-06,244548359999
2001-11-07,239606640000
2001-11-08,242678520000
2001-11-09,245349720000
2001-11-12,247486680000
2001-11-13,244815479999
2001-11-14,246151080000
2001-11-15,249356520000
2001-11-16,245349720000
2001-11-19,248154479999
2001-11-20,248020920000
2001-11-21,245349720000
2001-11-23,248421600000
2001-11-26,248154479999
2001-11-27,245216160000
2001-11-28,244815479999
2001-11-29,243346320000
2001-11-30,245483280000
2001-12-03,242945640000
2001-12-04,245616840000
2001-12-05,251894160000
2001-12-06,247620240000
2001-12-07,246418200000
2001-12-10,241610040000
2001-12-11,240808680000
2001-12-12,241877160000
2001-12-13,237603240000
2001-12-14,240675120000
2001-12-17,248688720000
2001-12-18,248288040000
2001-12-19,250558560000
2001-12-20,250425000000
2001-12-21,256301640000
2001-12-24,254298240000
2001-12-26,258839280000
2001-12-27,259907760000
2001-12-28,259774200000
2001-12-31,256168080000
2002-01-02,258438600000
2002-01-03,258171479999
2002-01-04,256435200000
2002-01-07,255500280000
2002-01-08,257503680000
2002-01-09,251092800000
2002-01-10,253764000000
2002-01-11,248421600000
2002-01-14,248288040000
2002-01-15,253229760000
2002-01-16,249222960000
2002-01-17,252695520000
2002-01-18,250825680000
2002-01-22,258305040000
2002-01-23,266452200000
2002-01-24,265650840000
2002-01-25,260041320000
2002-01-28,260976240000
2002-01-29,257770800000
2002-01-30,266051520000
2002-01-31,266986439999
2002-02-01,263781000000
2002-02-04,262178280000
2002-02-05,261777600000
2002-02-06,262178280000
2002-02-07,259907760000
2002-02-08,263380320000
2002-02-11,268188479999
2002-02-12,267520680000
2002-02-13,267654240000
2002-02-14,269256960000
2002-02-15,267253560000
2002-02-19,263914560000
2002-02-20,267253560000
2002-02-21,265116600000
2002-02-22,266852880000
2002-02-25,270058320000
2002-02-26,276469200000
2002-02-27,277137000000
2002-02-28,276068520000
2002-03-01,279674640000
2002-03-04,280342440000
2002-03-05,270459000000
2002-03-06,271126800000
2002-03-07,274732920000
2002-03-08,278339040000
2002-03-11,278339040000
2002-03-12,277003440000
2002-03-13,275934960000
2002-03-14,277270560000
2002-03-15,283815000000
2002-03-18,282880080000
2002-03-19,282479400000
2002-03-20,281277360000
2002-03-21,276869880000
2002-03-22,276202080000
2002-03-25,272863080000
2002-03-26,276736320000
2002-03-27,276068520000
2002-03-28,272863080000
2002-04-01,260976240000
2002-04-02,262311840000
2002-04-03,260842680000
2002-04-04,263914560000
2002-04-05,263246760000
2002-04-08,266185080000
2002-04-09,267520680000
2002-04-10,269657640000
2002-04-11,267921359999
2002-04-12,272595960000
2002-04-15,266852880000
2002-04-16,267120000000
2002-04-17,263914560000
2002-04-18,258839280000
2002-04-19,262311840000
2002-04-22,256168080000
2002-04-23,258438600000
2002-04-24,255767399999
2002-04-25,253764000000
2002-04-26,248421600000
2002-04-29,250157880000
2002-04-30,247906680000
2002-05-01,252034020000
2002-05-02,251368320000
2002-05-03,245243880000
2002-05-06,239652000000
2002-05-07,244178760000
2002-05-08,250303200000
2002-05-09,244045619999
2002-05-10,238187460000
2002-05-13,244311900000
2002-05-14,254696820000
2002-05-15,251900880000
2002-05-16,258957300000
2002-05-17,258824160000
2002-05-20,256560780000
2002-05-21,251235180000
2002-05-22,252034020000
2002-05-23,249903780000
2002-05-24,246442140000
2002-05-28,243113640000
2002-05-29,242048520000
2002-05-30,239652000000
2002-05-31,240051420000
2002-06-03,235924080000
2002-06-04,239652000000
2002-06-05,243912480000
2002-06-06,240051420000
2002-06-07,241515960000
2002-06-10,250303200000
2002-06-11,250569480000
2002-06-12,258691020000
2002-06-13,250702619999
2002-06-14,252699720000
2002-06-17,258824160000
2002-06-18,259889280000
2002-06-19,254829960000
2002-06-20,250702619999
2002-06-21,244045619999
2002-06-24,247374119999
2002-06-25,244578180000
2002-06-26,246841560000
2002-06-27,256028220000
2002-06-28,244178760000
2002-07-01,241382820000
2002-07-02,237122339999
2002-07-03,244311900000
2002-07-05,248572380000
2002-07-08,246708420000
2002-07-09,242581080000
2002-07-10,238586880000
2002-07-11,240450839999
2002-07-12,234592680000
2002-07-15,237122339999
2002-07-16,221411820000
2002-07-17,214089119999
2002-07-18,210361200000
2002-07-19,206367000000
2002-07-22,197979180000
2002-07-23,200109420000
2002-07-24,212757720000
2002-07-25,208630380000
2002-07-26,213822839999
2002-07-29,219814140000
2002-07-30,217950180000
2002-07-31,217380570000
2002-08-01,209555400000
2002-08-02,203852310000
2002-08-05,201597600000
2002-08-06,209024880000
2002-08-07,213932190000
2002-08-08,217513199999
2002-08-09,217513199999
2002-08-12,214064820000
2002-08-13,215391119999
2002-08-14,232633020000
2002-08-15,241917119999
2002-08-16,237805590000
2002-08-19,241784490000
2002-08-20,237805590000
2002-08-21,239131890000
2002-08-22,239795039999
2002-08-23,235152990000
2002-08-26,236081400000
2002-08-27,234887730000
2002-08-28,236081400000
2002-08-29,235152990000
2002-08-30,236479289999
2002-09-03,229317270000
2002-09-04,231439350000
2002-09-05,225205740000
2002-09-06,233296170000
2002-09-09,235550880000
2002-09-10,242182380000
2002-09-11,239662410000
2002-09-12,234887730000
2002-09-13,240458190000
2002-09-16,242049750000
2002-09-17,239927670000
2002-09-18,240458190000
2002-09-19,237407699999
2002-09-20,241784490000
2002-09-23,232500390000
2002-09-24,227593080000
2002-09-25,230113050000
2002-09-26,237407699999
2002-09-27,226532039999
2002-09-30,217645830000
2002-10-01,228654119999
2002-10-02,226929930000
2002-10-03,225868890000
2002-10-04,228786750000
2002-10-07,222553140000
2002-10-08,232500390000
2002-10-09,224277330000
2002-10-10,228256230000
2002-10-11,237938220000
2002-10-14,239397150000
2002-10-15,248813880000
2002-10-16,250935960000
2002-10-17,244569720000
2002-10-18,248813880000
2002-10-21,249344400000
2002-10-22,248018100000
2002-10-23,253058039999
2002-10-24,249609660000
2002-10-25,253455930000
2002-10-28,247885470000
2002-10-29,249609660000
2002-10-30,237805590000
2002-10-31,234870300000
2002-11-01,239212440000
2002-11-04,234475560000
2002-11-05,238686120000
2002-11-06,238291380000
2002-11-07,236844000000
2002-11-08,236975580000
2002-11-11,232501860000
2002-11-12,236186100000
2002-11-13,241186139999
2002-11-14,243686160000
2002-11-15,243423000000
2002-11-18,235396620000
2002-11-19,232107120000
2002-11-20,238554540000
2002-11-21,236580840000
2002-11-22,235791360000
2002-11-25,236054520000
2002-11-26,233554500000
2002-11-27,240528240000
2002-11-29,236449260000
2002-12-02,238554540000
2002-12-03,236580840000
2002-12-04,238817699999
2002-12-05,232501860000
2002-12-06,232633440000
2002-12-09,227370240000
2002-12-10,230265000000
2002-12-11,228028139999
2002-12-12,225396540000
2002-12-13,221712300000
2002-12-16,227764979999
2002-12-17,223422840000
2002-12-18,220922820000
2002-12-19,220001760000
2002-12-20,222764940000
2002-12-23,217501740000
2002-12-24,218028060000
2002-12-26,218291220000
2002-12-27,215659620000
2002-12-30,222107040000
2002-12-31,221580720000
2003-01-02,226317600000
2003-01-03,219343860000
2003-01-06,220133340000
2003-01-07,221317560000
2003-01-08,219212280000
2003-01-09,227764979999
2003-01-10,226449180000
2003-01-13,224870220000
2003-01-14,225528120000
2003-01-15,221843880000
2003-01-16,220659660000
2003-01-17,219212280000
2003-01-21,215001720000
2003-01-22,210791160000
2003-01-23,213028020000
2003-01-24,207501660000
2003-01-27,206580600000
2003-01-28,211317479999
2003-01-29,210922740000
2003-01-30,208685880000
2003-01-31,209606940000
2003-02-03,210791160000
2003-02-04,206843760000
2003-02-05,205001640000
2003-02-06,205264800000
2003-02-07,205264800000
2003-02-10,206185860000
2003-02-11,207238500000
2003-02-12,209870100000
2003-02-13,208949040000
2003-02-14,215528040000
2003-02-18,215264880000
2003-02-19,213949080000
2003-02-20,210922740000
2003-02-21,214475400000
2003-02-24,208949040000
2003-02-25,212370120000
2003-02-26,209738520000
2003-02-27,211185900000
2003-02-28,210791160000
2003-03-03,209606940000
2003-03-04,205659540000
2003-03-05,210001680000
2003-03-06,207896400000
2003-03-07,211054320000
2003-03-10,206712180000
2003-03-11,205264800000
2003-03-12,208291140000
2003-03-13,217370160000
2003-03-14,216449100000
2003-03-17,227896560000
2003-03-18,229212360000
2003-03-19,232633440000
2003-03-20,232896600000
2003-03-21,239738760000
2003-03-24,230396580000
2003-03-25,234475560000
2003-03-26,233949240000
2003-03-27,234870300000
2003-03-28,233028180000
2003-03-31,228159720000
2003-04-01,229870260000
2003-04-02,237107160000
2003-04-03,237107160000
2003-04-04,239475600000
2003-04-07,238291380000
2003-04-08,239344020000
2003-04-09,235528199999
2003-04-10,239344020000
2003-04-11,232370280000
2003-04-14,237633479999
2003-04-15,242501940000
2003-04-16,239212440000
2003-04-17,243028260000
2003-04-21,241186139999
2003-04-22,245528280000
2003-04-23,245528280000
2003-04-24,241712460000
2003-04-25,241186139999
2003-04-28,246054600000
2003-04-29,248159880000
2003-04-30,246525180000
2003-05-01,244949099999
2003-05-02,245868480000
2003-05-05,243373020000
2003-05-06,244817760000
2003-05-07,241140240000
2003-05-08,240877560000
2003-05-09,244292400000
2003-05-12,248232599999
2003-05-13,242979000000
2003-05-14,236017980000
2003-05-15,235361280000
2003-05-16,231683760000
2003-05-19,229713659999
2003-05-20,231158400000
2003-05-21,230239020000
2003-05-22,231552420000
2003-05-23,227612219999
2003-05-27,229845000000
2003-05-28,233522520000
2003-05-29,231158400000
2003-05-30,230370360000
2003-06-02,229713659999
2003-06-03,231421080000
2003-06-04,235755300000
2003-06-05,239170140000
2003-06-06,235623960000
2003-06-09,235492620000
2003-06-10,239695500000
2003-06-11,242453640000
2003-06-12,240877560000
2003-06-13,236806020000
2003-06-16,241928280000
2003-06-17,241008900000
2003-06-18,241796940000
2003-06-19,238513440000
2003-06-20,237594060000
2003-06-23,235229940000
2003-06-24,239432820000
2003-06-25,237200039999
2003-06-26,238119420000
2003-06-27,235492620000
2003-06-30,234967260000
2003-07-01,237988080000
2003-07-02,244029719999
2003-07-03,240614880000
2003-07-07,247575900000
2003-07-08,248232599999
2003-07-09,244161060000
2003-07-10,243504360000
2003-07-11,247444560000
2003-07-14,247969920000
2003-07-15,250990740000
2003-07-16,247969920000
2003-07-17,244292400000
2003-07-18,249546000000
2003-07-21,244949099999
2003-07-22,249151980000
2003-07-23,247313219999
2003-07-24,243504360000
2003-07-25,245999820000
2003-07-28,245868480000
2003-07-29,242979000000
2003-07-30,244686420000
2003-07-31,243923040000
2003-08-01,241044120000
2003-08-04,243530460000
2003-08-05,241174980000
2003-08-06,243137879999
2003-08-07,248634000000
2003-08-08,252036360000
2003-08-11,251643780000
2003-08-12,256485600000
2003-08-13,253344960000
2003-08-14,252690659999
2003-08-15,253475820000
2003-08-18,257009040000
2003-08-19,256878180000
2003-08-20,256354740000
2003-08-21,258186780000
2003-08-22,254784420000
2003-08-25,257794200000
2003-08-26,257794200000
2003-08-27,257794200000
2003-08-28,258710220000
2003-08-29,258055920000
2003-09-02,261327420000
2003-09-03,261589139999
2003-09-04,262112580000
2003-09-05,256878180000
2003-09-08,255569580000
2003-09-09,248895720000
2003-09-10,247979700000
2003-09-11,250858620000
2003-09-12,250727760000
2003-09-15,251905500000
2003-09-16,254784420000
2003-09-17,251251200000
2003-09-18,255177000000
2003-09-19,253606680000
2003-09-22,248895720000
2003-09-23,251382060000
2003-09-24,246932820000
2003-09-25,248110560000
2003-09-26,247717980000
2003-09-29,249680879999
2003-09-30,243661320000
2003-10-01,248895720000
2003-10-02,248895720000
2003-10-03,250727760000
2003-10-06,252952379999
2003-10-07,256878180000
2003-10-08,255307860000
2003-10-09,257139899999
2003-10-10,254784420000
2003-10-13,257139899999
2003-10-14,258841080000
2003-10-15,257663340000
2003-10-16,259102800000
2003-10-17,256616460000
2003-10-20,257401620000
2003-10-21,257270760000
2003-10-22,253999260000
2003-10-23,256093020000
2003-10-24,253475820000
2003-10-27,252036360000
2003-10-28,256354740000
2003-10-29,256747320000
2003-10-30,256485600000
2003-10-31,253131299999
2003-11-03,253517760000
2003-11-04,251843100000
2003-11-05,248751419999
2003-11-06,251714280000
2003-11-07,250812540000
2003-11-10,249524340000
2003-11-11,250297260000
2003-11-12,248880240000
2003-11-13,238445820000
2003-11-14,236127059999
2003-11-17,236127059999
2003-11-18,234967679999
2003-11-19,237028799999
2003-11-20,236513520000
2003-11-21,235354140000
2003-11-24,240764580000
2003-11-25,240635760000
2003-11-26,239218740000
2003-11-28,238961100000
2003-12-01,234065940000
2003-12-02,227624940000
2003-12-03,226207919999
2003-12-04,227624940000
2003-12-05,229686059999
2003-12-08,229299600000
2003-12-09,225950280000
2003-12-10,227367299999
2003-12-11,226723200000
2003-12-12,225435000000
2003-12-15,217834620000
2003-12-16,220668660000
2003-12-17,222858600000
2003-12-18,225821460000
2003-12-19,224790900000
2003-12-22,227882580000
2003-12-23,226594380000
2003-12-24,225177360000
2003-12-26,225563820000
2003-12-29,227109660000
2003-12-30,226594380000
2003-12-31,227753760000
2004-01-02,224533260000
2004-01-05,223760340000
2004-01-06,229041960000
2004-01-07,229686059999
2004-01-08,228655500000
2004-01-09,225048540000
2004-01-12,225435000000
2004-01-13,226594380000
2004-01-14,228140220000
2004-01-15,229686059999
2004-01-16,229686059999
2004-01-20,227367299999
2004-01-21,229557240000
2004-01-22,228397860000
2004-01-23,232777740000
2004-01-26,234452400000
2004-01-27,233679480000
2004-01-28,228784320000
2004-01-29,233937120000
2004-01-30,231231900000
2004-02-02,234838860000
2004-02-03,236255880000
2004-02-04,237801720000
2004-02-05,241537500000
2004-02-06,247205580000
2004-02-09,246175020000
2004-02-10,247076760000
2004-02-11,245015640000
2004-02-12,244629179999
2004-02-13,241795140000
2004-02-17,246947940000
2004-02-18,245659740000
2004-02-19,250683720000
2004-02-20,255192419999
2004-02-23,257897640000
2004-02-24,257382360000
2004-02-25,257124720000
2004-02-26,255063600000
2004-02-27,255707700000
2004-03-01,259572299999
2004-03-02,255707700000
2004-03-03,259185840000
2004-03-04,262148700000
2004-03-05,258670559999
2004-03-08,259572299999
2004-03-09,258799380000
2004-03-10,252358380000
2004-03-11,248622600000
2004-03-12,251070179999
2004-03-15,248622600000
2004-03-16,248880240000
2004-03-17,250554900000
2004-03-18,253131299999
2004-03-19,251585460000
2004-03-22,249524340000
2004-03-23,249910799999
2004-03-24,251585460000
2004-03-25,256867080000
2004-03-26,255063600000
2004-03-29,258155280000
2004-03-30,257640000000
2004-03-31,256351799999
2004-04-01,250554900000
2004-04-02,251585460000
2004-04-05,251843100000
2004-04-06,253388940000
2004-04-07,249009059999
2004-04-08,243469799999
2004-04-12,246175020000
2004-04-13,242439240000
2004-04-14,246561480000
2004-04-15,248107320000
2004-04-16,250941360000
2004-04-19,250683720000
2004-04-20,249524340000
2004-04-21,250554900000
2004-04-22,251585460000
2004-04-23,253260120000
2004-04-26,249653160000
2004-04-27,251585460000
2004-04-28,249009059999
2004-04-29,247205580000
2004-04-30,243048000000
2004-05-03,241129200000
2004-05-04,238826640000
2004-05-05,238187040000
2004-05-06,232686480000
2004-05-07,229872240000
2004-05-10,235500720000
2004-05-11,232558560000
2004-05-12,234733200000
2004-05-13,235628640000
2004-05-14,234733200000
2004-05-17,233198160000
2004-05-18,235372799999
2004-05-19,233581920000
2004-05-20,233837760000
2004-05-21,234861120000
2004-05-24,234477359999
2004-05-25,236652000000
2004-05-26,235756560000
2004-05-27,238698720000
2004-05-28,237675359999
2004-06-01,236396160000
2004-06-02,240233760000
2004-06-03,241385040000
2004-06-04,241257120000
2004-06-07,245222640000
2004-06-08,245990160000
2004-06-09,243175920000
2004-06-10,243943440000
2004-06-14,240361680000
2004-06-15,241768799999
2004-06-16,239338320000
2004-06-17,238187040000
2004-06-18,237163680000
2004-06-21,234221519999
2004-06-22,230511840000
2004-06-23,228337200000
2004-06-24,226674240000
2004-06-25,223860000000
2004-06-28,223732079999
2004-06-29,221685359999
2004-06-30,225011280000
2004-07-01,220662000000
2004-07-02,221429519999
2004-07-06,222069120000
2004-07-07,223092480000
2004-07-08,222452880000
2004-07-09,220662000000
2004-07-12,222580799999
2004-07-13,226034640000
2004-07-14,224243760000
2004-07-15,223092480000
2004-07-16,224499600000
2004-07-19,225395040000
2004-07-20,227058000000
2004-07-21,226546320000
2004-07-22,225650880000
2004-07-23,226674240000
2004-07-26,224499600000
2004-07-27,229872240000
2004-07-28,229872240000
2004-07-29,228081359999
2004-07-30,226034640000
2004-08-02,225631980000
2004-08-03,224232120000
2004-08-04,225631980000
2004-08-05,220796100000
2004-08-06,217741860000
2004-08-09,217869120000
2004-08-10,221050620000
2004-08-11,219014460000
2004-08-12,223341300000
2004-08-13,226522800000
2004-08-16,230340600000
2004-08-17,233140320000
2004-08-18,230976899999
2004-08-19,232758540000
2004-08-20,231867720000
2004-08-23,228177180000
