,PPG
2002-05-06,9135735290
2002-05-07,9328529408
2002-05-08,9406323526
2002-05-09,9413088232
2002-05-10,9379264702
2002-05-13,9436764702
2002-05-14,9656617643
2002-05-15,9802058820
2002-05-16,9737794114
2002-05-17,9751323526
2002-05-20,9714117643
2002-05-21,9690441173
2002-05-22,9741176467
2002-05-23,9866323525
2002-05-24,9805441173
2002-05-28,9697205878
2002-05-29,9609264702
2002-05-30,9521323526
2002-05-31,9670147055
2002-06-03,9379264702
2002-06-04,9321764702
2002-06-05,9558529408
2002-06-06,9389411761
2002-06-07,9487499996
2002-06-10,9683676467
2002-06-11,9521323526
2002-06-12,9754705878
2002-06-13,9659999996
2002-06-14,9629558820
2002-06-17,9944117643
2002-06-18,9920441173
2002-06-19,10028676467
2002-06-20,10130147055
2002-06-21,10045588231
2002-06-24,10092941172
2002-06-25,10143676467
2002-06-26,10072647055
2002-06-27,10001617643
2002-06-28,10468382349
2002-07-01,10387218389
2002-07-02,10366804595
2002-07-03,10193287354
2002-07-05,10519908044
2002-07-08,10621977009
2002-07-09,10319172412
2002-07-10,10223908044
2002-07-11,9955126435
2002-07-12,9873471262
2002-07-15,9628505745
2002-07-16,9471999998
2002-07-17,9577471262
2002-07-18,9546850573
2002-07-19,8788137929
2002-07-22,8383264366
2002-07-23,8349241377
2002-07-24,9036505745
2002-07-25,9601287354
2002-07-26,9526436780
2002-07-29,10118436779
2002-07-30,9563862067
2002-07-31,9764597699
2002-08-01,9723770113
2002-08-02,9179402297
2002-08-05,9210022986
2002-08-06,9587678159
2002-08-07,9836045975
2002-08-08,9897287354
2002-08-09,9846252871
2002-08-12,9791816090
2002-08-13,9652321837
2002-08-14,9740781607
2002-08-15,9747586205
2002-08-16,9696551722
2002-08-19,9955126435
2002-08-20,9713563216
2002-08-21,9744183906
2002-08-22,9866666665
2002-08-23,9614896550
2002-08-26,9696551722
2002-08-27,9655724136
2002-08-28,9444781607
2002-08-29,9485609193
2002-08-30,9574068963
2002-09-03,9356321837
2002-09-04,9482206894
2002-09-05,9118160918
2002-09-06,9186206895
2002-09-09,9250850573
2002-09-10,9145379308
2002-09-11,9135172412
2002-09-12,8832367814
2002-09-13,8757517239
2002-09-16,8747310343
2002-09-17,8631632182
2002-09-18,8594206895
2002-09-19,8403678159
2002-09-20,8543172412
2002-09-23,8454712642
2002-09-24,8053241377
2002-09-25,8039632182
2002-09-26,8080459768
2002-09-27,7838896550
2002-09-30,7556401816
2002-10-01,8022971592
2002-10-02,7590211220
2002-10-03,7610496862
2002-10-04,7390735736
2002-10-07,7231831536
2002-10-08,7454973604
2002-10-09,7001927589
2002-10-10,7759258240
2002-10-11,8164971090
2002-10-14,7948590903
2002-10-15,8530112654
2002-10-16,8053400056
2002-10-17,8607874283
2002-10-18,8408398799
2002-10-21,8925682682
2002-10-22,8536874535
2002-10-23,8482779488
2002-10-24,8219066136
2002-10-25,8283304004
2002-10-28,8114256984
2002-10-29,7843781751
2002-10-30,7894495857
2002-10-31,7948590903
2002-11-01,8276542123
2002-11-04,8229208957
2002-11-05,8252875540
2002-11-06,8482779488
2002-11-07,8148066388
2002-11-08,7992543129
2002-11-11,7793067645
2002-11-12,8083828520
2002-11-13,7995924069
2002-11-14,8252875540
2002-11-15,8276542123
2002-11-18,8087209460
2002-11-19,8117637924
2002-11-20,8181875792
2002-11-21,8117637924
2002-11-22,7911400559
2002-11-25,7958733725
2002-11-26,7941829023
2002-11-27,8300208706
2002-11-29,8465874786
2002-12-02,8239351779
2002-12-03,8141304507
2002-12-04,8093971341
2002-12-05,8019590652
2002-12-06,8124399805
2002-12-09,8002685950
2002-12-10,8124399805
2002-12-11,8178494851
2002-12-12,8239351779
2002-12-13,8198780494
2002-12-16,8553779237
2002-12-17,8530112654
2002-12-18,8340779991
2002-12-19,8276542123
2002-12-20,8435446322
2002-12-23,8381351276
2002-12-24,8367827514
2002-12-26,8391494097
2002-12-27,8361065633
2002-12-30,8472636667
2002-12-31,8505391309
2003-01-02,8763130440
2003-01-03,8752956527
2003-01-06,8895391310
2003-01-07,8834347831
2003-01-08,8668173918
2003-01-09,8847913049
2003-01-10,8929304353
2003-01-13,8834347831
2003-01-14,8868260875
2003-01-15,8790260875
2003-01-16,8922521744
2003-01-17,8837739136
2003-01-21,8634260875
2003-01-22,8515565222
2003-01-23,8637652179
2003-01-24,8403652179
2003-01-27,8152695657
2003-01-28,8284956527
2003-01-29,8295130440
2003-01-30,8037391309
2003-01-31,8281565222
2003-02-03,8325652179
2003-02-04,8271391309
2003-02-05,8274782613
2003-02-06,8183217396
2003-02-07,8088260874
2003-02-10,8152695657
2003-02-11,8040782613
2003-02-12,7969565222
2003-02-13,7966173918
2003-02-14,8034000005
2003-02-18,8220521744
2003-02-19,8122173918
2003-02-20,7986521744
2003-02-21,8125565222
2003-02-24,7928869570
2003-02-25,7867826092
2003-02-26,7905130439
2003-02-27,7942434787
2003-02-28,7867826092
2003-03-03,7830521744
2003-03-04,7572782613
2003-03-05,7532086961
2003-03-06,7342173917
2003-03-07,7399826091
2003-03-10,7267565222
2003-03-11,7230260874
2003-03-12,7372695656
2003-03-13,7620260874
2003-03-14,7647391309
2003-03-17,7871217396
2003-03-18,8037391309
2003-03-19,8044173918
2003-03-20,8040782613
2003-03-21,8478260875
2003-03-24,8081478266
2003-03-25,8091652179
2003-03-26,8010260874
2003-03-27,7915304352
2003-03-28,7888173918
2003-03-31,7613511116
2003-04-01,7816177782
2003-04-02,8028977783
2003-04-03,7806044449
2003-04-04,7792533338
2003-04-07,7904000005
2003-04-08,7741866671
2003-04-09,7600000005
2003-04-10,7752000005
2003-04-11,7704711116
2003-04-14,7748622227
2003-04-15,7826311116
2003-04-16,7684444449
2003-04-17,7782400005
2003-04-21,7772266671
2003-04-22,7995200005
2003-04-23,8079644449
2003-04-24,8018844449
2003-04-25,7799288894
2003-04-28,8049244449
2003-04-29,8116800005
2003-04-30,8191111116
2003-05-01,8180977783
2003-05-02,8265422227
2003-05-05,8221511116
2003-05-06,8238400005
2003-05-07,8126933338
2003-05-08,7920888894
2003-05-09,8008711116
2003-05-12,8133688894
2003-05-13,8137066672
2003-05-14,8032355560
2003-05-15,8116800005
2003-05-16,8123555560
2003-05-19,7985066671
2003-05-20,7985066671
2003-05-21,8025600005
2003-05-22,8086400005
2003-05-23,8089777783
2003-05-27,8235022227
2003-05-28,8221511116
2003-05-29,8126933338
2003-05-30,8214755560
2003-06-02,8275555561
2003-06-03,8322844449
2003-06-04,8542400005
2003-06-05,8454577783
2003-06-06,8393777783
2003-06-09,8248533338
2003-06-10,8305955561
2003-06-11,8444444450
2003-06-12,8616711116
2003-06-13,8525511116
2003-06-16,8670755561
2003-06-17,8772088894
2003-06-18,8647111116
2003-06-19,8657244450
2003-06-20,8711288894
2003-06-23,8593066672
2003-06-24,8613333339
2003-06-25,8593066672
2003-06-26,8728177783
2003-06-27,8613333339
2003-06-30,8680819284
2003-07-01,8499469887
2003-07-02,8554216875
2003-07-03,8410506031
2003-07-07,8598698802
2003-07-08,8595277116
2003-07-09,8537108441
2003-07-10,8451566272
2003-07-11,8526843381
2003-07-14,8554216875
2003-07-15,8588433742
2003-07-16,8581590368
2003-07-17,8766361453
2003-07-18,8968240971
2003-07-21,9067469887
2003-07-22,9228289164
2003-07-23,9166698803
2003-07-24,9238554225
2003-07-25,9495180731
2003-07-28,9457542177
2003-07-29,9519132538
2003-07-30,9563614466
2003-07-31,9662843382
2003-08-01,9508867478
2003-08-04,9430168683
2003-08-05,9327518080
2003-08-06,9279614466
2003-08-07,9060626514
2003-08-08,9194072297
2003-08-11,9197493984
2003-08-12,9300144586
2003-08-13,9265927719
2003-08-14,9385686755
2003-08-15,9392530128
2003-08-18,9539662659
2003-08-19,9621783141
2003-08-20,9567036153
2003-08-21,9614939767
2003-08-22,9471228924
2003-08-25,9430168683
2003-08-26,9378843381
2003-08-27,9334361454
2003-08-28,9423325309
2003-08-29,9395951815
2003-09-02,9488337357
2003-09-03,9560192779
2003-09-04,9443855430
2003-09-05,9372000008
2003-09-08,9484915671
2003-09-09,9320674707
2003-09-10,9125638562
2003-09-11,9135903622
2003-09-12,9313831333
2003-09-15,9176963863
2003-09-16,9337783140
2003-09-17,9265927719
2003-09-18,9399373502
2003-09-19,9385686755
2003-09-22,9218024104
2003-09-23,9334361454
2003-09-24,9057204827
2003-09-25,8978506032
2003-09-26,8937445791
2003-09-29,9088000008
2003-09-30,8848614221
2003-10-01,8974006303
2003-10-02,9038396831
2003-10-03,9163788913
2003-10-06,9245124318
2003-10-07,9316292797
2003-10-08,9292569970
2003-10-09,9282403045
2003-10-10,9197678665
2003-10-13,9367127425
2003-10-14,9326459722
2003-10-15,9373905375
2003-10-16,9377294350
2003-10-17,9434906928
2003-10-20,9431517953
2003-10-21,9448462829
2003-10-22,9319681772
2003-10-23,9441684879
2003-10-24,9478963606
2003-10-27,9502686432
2003-10-28,9634856465
2003-10-29,9668746217
2003-10-30,9858528827
2003-10-31,9770415472
2003-11-03,9868695753
2003-11-04,9851750877
2003-11-05,9831417026
2003-11-06,9804305224
2003-11-07,9875473703
2003-11-10,9753470596
2003-11-11,9828028051
2003-11-12,9882251654
2003-11-13,9861917802
2003-11-14,9844972926
2003-11-17,9729747770
2003-11-18,9631467489
2003-11-19,9702635968
2003-11-20,9604355688
2003-11-21,9624689539
2003-11-24,9855139852
2003-11-25,9848361902
2003-11-26,9946642182
2003-11-28,9909363455
2003-12-01,10356708180
2003-12-02,10224538148
2003-12-03,10234705073
2003-12-04,10329596379
2003-12-05,10214371222
2003-12-08,10383819982
2003-12-09,10587158493
2003-12-10,10377042031
2003-12-11,10441432560
2003-12-12,10631215171
2003-12-15,10627826195
2003-12-16,10631215171
2003-12-17,10715939550
2003-12-18,10827775732
2003-12-19,10705772625
2003-12-22,10804052905
2003-12-23,10753218277
2003-12-24,10729495451
2003-12-26,10831164707
2003-12-29,10915889086
2003-12-30,10770163153
2003-12-31,11041130427
2004-01-02,10975594195
2004-01-05,11141159412
2004-01-06,11030782601
2004-01-07,10975594195
2004-01-08,11065275354
2004-01-09,10827275355
2004-01-12,10951449268
2004-01-13,10934202891
2004-01-14,10954898543
2004-01-15,10923855065
2004-01-16,10596173905
2004-01-20,10461652166
2004-01-21,10423710137
2004-01-22,10227101442
2004-01-23,10130521732
2004-01-26,10196057964
2004-01-27,10175362312
2004-01-28,10106376804
2004-01-29,10009797094
2004-01-30,10044289848
2004-02-02,10009797094
2004-02-03,9858028978
2004-02-04,9813188399
2004-02-05,9958057964
2004-02-06,10123623181
2004-02-09,10209855065
2004-02-10,10289188398
2004-02-11,10465101442
2004-02-12,10368521732
2004-02-13,10175362312
2004-02-17,10247797094
2004-02-18,10140869558
2004-02-19,10233999993
2004-02-20,10158115935
2004-02-23,10161565210
2004-02-24,10154666659
2004-02-25,10261594196
2004-02-26,10140869558
2004-02-27,10120173906
2004-03-01,10244347819
2004-03-02,10120173906
2004-03-03,10096028978
2004-03-04,10116724630
2004-03-05,10092579703
2004-03-08,10071884051
2004-03-09,9985652167
2004-03-10,9716608689
2004-03-11,9726956515
2004-03-12,9947710138
2004-03-15,9754550718
2004-03-16,9799391297
2004-03-17,9878724631
2004-03-18,9751101442
2004-03-19,9685565210
2004-03-22,9564840573
2004-03-23,9588985500
2004-03-24,9516550718
2004-03-25,9744202892
2004-03-26,9689014486
2004-03-29,9947710138
2004-03-30,9989101442
2004-03-31,10001926603
2004-04-01,10149467888
2004-04-02,10307302750
2004-04-05,10290146787
2004-04-06,10279853209
2004-04-07,10180348622
2004-04-08,10248972475
2004-04-12,10290146787
2004-04-13,10173486236
2004-04-14,10194073392
2004-04-15,10417100915
2004-04-16,10509743117
2004-04-19,10622972475
2004-04-20,10465137613
2004-04-21,10523467888
2004-04-22,10725908255
2004-04-23,10650422016
2004-04-26,10622972475
2004-04-27,10667577979
2004-04-28,10351908255
2004-04-29,10228385319
2004-04-30,10176917429
2004-05-03,10149467888
2004-05-04,10142605502
2004-05-05,10183779814
2004-05-06,10149467888
2004-05-07,9885266053
2004-05-10,9744587154
2004-05-11,9850954126
2004-05-12,9837229356
2004-05-13,9964183484
2004-05-14,9971045869
2004-05-17,9775467888
2004-05-18,9792623851
2004-05-19,9761743117
2004-05-20,9761743117
2004-05-21,9998495411
