,EHC
2000-11-01,3645439056
2000-11-02,3626031906
2000-11-03,3626031906
2000-11-06,3703660506
2000-11-07,3722291370
2000-11-08,3703660506
2000-11-09,3626031906
2000-11-10,3606624756
2000-11-13,3587217606
2000-11-14,3587217606
2000-11-15,3973031748
2000-11-16,4223772125
2000-11-17,4223772125
2000-11-20,4146919812
2000-11-21,4070067498
2000-11-22,3992438898
2000-11-24,4070067498
2000-11-27,3973031748
2000-11-28,3954400884
2000-11-29,3973031748
2000-11-30,4301400726
2000-12-01,4088698362
2000-12-04,4011846048
2000-12-05,4011846048
2000-12-06,3954400884
2000-12-07,3837957984
2000-12-08,4088698362
2000-12-11,4031253198
2000-12-12,4011846048
2000-12-13,3973031748
2000-12-14,4185734112
2000-12-15,4185734112
2000-12-18,4436474490
2000-12-19,4513326804
2000-12-20,4725252882
2000-12-21,4667807718
2000-12-22,4687214868
2000-12-26,4841695782
2000-12-27,5053621860
2000-12-28,5246140788
2000-12-29,5034214710
2001-01-02,4764067182
2001-01-03,4609586268
2001-01-04,4281993575
2001-01-05,4513326804
2001-01-08,4493919654
2001-01-09,4532733954
2001-01-10,4706622018
2001-01-11,4899140946
2001-01-12,4860326646
2001-01-16,4918548096
2001-01-17,4783474332
2001-01-18,4552141104
2001-01-19,4320807876
2001-01-22,4764067182
2001-01-23,4783474332
2001-01-24,4937955246
2001-01-25,4879733796
2001-01-26,4841695782
2001-01-29,4931744958
2001-01-30,4839366924
2001-01-31,4613467698
2001-02-01,4647624282
2001-02-02,4746212604
2001-02-05,4882062654
2001-02-06,4919324382
2001-02-07,4931744958
2001-02-08,5033438424
2001-02-09,4863431790
2001-02-12,5092436160
2001-02-13,4969006686
2001-02-14,5002386984
2001-02-15,4925534670
2001-02-16,4882062654
2001-02-20,4986861264
2001-02-21,4844800926
2001-02-22,4721371452
2001-02-23,4628993418
2001-02-26,4860326646
2001-02-27,4730686884
2001-02-28,4913114094
2001-03-01,4830051492
2001-03-02,4811420628
2001-03-05,4527299952
2001-03-06,4320807876
2001-03-07,4379029326
2001-03-08,4320807876
2001-03-09,4323913020
2001-03-12,4240074132
2001-03-13,4088698362
2001-03-14,4049107775
2001-03-15,4086369504
2001-03-16,4033582056
2001-03-19,4083264360
2001-03-20,4197378402
2001-03-21,4086369504
2001-03-22,3872890854
2001-03-23,4005635760
2001-03-26,4227653556
2001-03-27,4011846048
2001-03-28,3996320327
2001-03-29,4042897488
2001-03-30,3977689464
2001-04-02,3986148240
2001-04-03,3729629339
2001-04-04,3955832370
2001-04-05,3835346220
2001-04-06,3735847980
2001-04-09,3856334130
2001-04-10,3658892310
2001-04-11,3522859560
2001-04-12,3581936640
2001-04-16,3677548230
2001-04-17,3847006170
2001-04-18,3909192570
2001-04-19,3754503900
2001-04-20,3835346220
2001-04-23,3760722540
2001-04-24,3955832370
2001-04-25,4140836910
2001-04-26,4233339180
2001-04-27,4115962350
2001-04-30,4342165380
2001-05-01,4320400140
2001-05-02,4175039430
2001-05-03,4097306430
2001-05-04,4128399630
2001-05-07,4165711470
2001-05-08,3896755290
2001-05-09,3791815740
2001-05-10,3708641430
2001-05-11,3677548230
2001-05-14,3553952760
2001-05-15,3553952760
2001-05-16,3738957300
2001-05-17,3843896850
2001-05-18,3708641430
2001-05-21,3720301380
2001-05-22,3686876190
2001-05-23,3683766870
2001-05-24,3881208690
2001-05-25,3986148240
2001-05-29,3912301890
2001-05-30,3822908940
2001-05-31,3924739170
2001-06-01,3958941690
2001-06-04,4162602150
2001-06-05,4184367390
2001-06-06,4311072180
2001-06-07,4279978980
2001-06-08,4251995100
2001-06-11,4317290820
2001-06-12,4109743710
2001-06-13,4203023310
2001-06-14,4251995100
2001-06-15,4450214250
2001-06-18,4548935160
2001-06-19,4632109470
2001-06-20,4672530630
2001-06-21,4650765390
2001-06-22,4570700400
2001-06-25,4552044480
2001-06-26,4486748760
2001-06-27,4629000150
2001-06-28,4758814260
2001-06-29,4935268170
2001-07-02,4843203820
2001-07-03,5013442200
2001-07-05,5044678600
2001-07-06,5007194920
2001-07-09,5088409560
2001-07-10,5066544080
2001-07-11,5209450609
2001-07-12,5293007980
2001-07-13,5385936270
2001-07-16,5168843290
2001-07-17,5150101450
2001-07-18,5246934290
2001-07-19,5246934290
2001-07-20,5150101450
2001-07-23,5171966930
2001-07-24,5029060400
2001-07-25,5047802240
2001-07-26,5184461490
2001-07-27,5184461490
2001-07-30,5104027760
2001-07-31,5308626180
2001-08-01,5519471880
2001-08-02,5495263670
2001-08-03,5407801750
2001-08-06,5367975340
2001-08-07,5246934290
2001-08-08,5038431320
2001-08-09,4901772070
2001-08-10,5293007980
2001-08-13,5392183550
2001-08-14,5286760700
2001-08-15,5218821530
2001-08-16,5274266140
2001-08-17,5324244380
2001-08-20,5355480780
2001-08-21,5479645470
2001-08-22,5457779990
2001-08-23,5398430830
2001-08-24,5414049030
2001-08-27,5495263670
2001-08-28,5581944680
2001-08-29,5668625690
2001-08-30,5541337359
2001-08-31,5613181080
2001-09-04,5649883850
2001-09-05,5681120250
2001-09-06,5516348240
2001-09-07,5429667230
2001-09-10,5317997100
2001-09-17,5107151400
2001-09-18,4936132110
2001-09-19,4687802730
2001-09-20,4653442690
2001-09-21,4455091550
2001-09-24,4541772560
2001-09-25,4653442690
2001-09-26,4824461980
2001-09-27,5013442200
2001-09-28,5066004864
2001-10-01,5007225414
2001-10-02,5141242560
2001-10-03,5109893520
2001-10-04,4891233966
2001-10-05,4720381698
2001-10-08,4614578688
2001-10-09,4751730738
2001-10-10,4742326026
2001-10-11,4745460930
2001-10-12,4536206088
2001-10-15,4729786410
2001-10-16,4667088330
2001-10-17,4502505870
2001-10-18,4517396664
2001-10-19,4561285320
2001-10-22,4611443784
2001-10-23,4474291734
2001-10-24,4436672886
2001-10-25,4065970488
2001-10-26,3897469397
2001-10-29,4084779912
2001-10-30,4112994047
2001-10-31,4056565776
2001-11-01,4097319528
2001-11-02,4109859144
2001-11-05,4140424458
2001-11-06,4097319528
2001-11-07,3816745620
2001-11-08,3785396580
2001-11-09,3801071100
2001-11-12,3888064686
2001-11-13,3747777732
2001-11-14,3736021842
2001-11-15,3739156746
2001-11-16,3813610715
2001-11-19,3953897670
2001-11-20,4420998366
2001-11-21,4517396664
2001-11-23,4548745704
2001-11-26,4461752118
2001-11-27,4452347406
2001-11-28,4399054038
2001-11-29,4427268174
2001-11-30,4586364552
2001-12-03,4583229648
2001-12-04,4542475896
2001-12-05,4611443784
2001-12-06,4592634360
2001-12-07,4502505870
2001-12-10,4405323846
2001-12-11,4452347406
2001-12-12,4330869876
2001-12-13,4424133270
2001-12-14,4405323846
2001-12-17,4355949108
2001-12-18,4352814204
2001-12-19,4359084012
2001-12-20,4337139684
2001-12-21,4355949108
2001-12-24,4386514422
2001-12-26,4377893436
2001-12-27,4446077598
2001-12-28,4564420224
2001-12-31,4617713592
2002-01-02,4642009098
2002-01-03,4627118304
2002-01-04,4455482310
2002-01-07,4299520836
2002-01-08,4315195356
2002-01-09,4221931962
2002-01-10,4127884842
2002-01-11,4171773497
2002-01-14,4255632180
2002-01-15,4146694265
2002-01-16,4112994047
2002-01-17,4209392346
2002-01-18,4190582922
2002-01-22,3813610715
2002-01-23,3769722060
2002-01-24,3769722060
2002-01-25,3745426554
2002-01-28,3645109626
2002-01-29,3617679215
2002-01-30,3620030394
2002-01-31,3645109626
2002-02-01,3583195272
2002-02-04,3395884758
2002-02-05,3511092480
2002-02-06,3480527165
2002-02-07,3455447934
2002-02-08,3495417960
2002-02-11,3641974722
2002-02-12,3673323762
2002-02-13,3757182444
2002-02-14,3788531484
2002-02-15,3750912636
2002-02-19,3679593570
2002-02-20,3720347322
2002-02-21,3819880524
2002-02-22,3739156746
2002-02-25,3769722060
2002-02-26,3832420140
2002-02-27,3788531484
2002-02-28,3710942610
2002-03-01,3704672802
2002-03-04,3614544312
2002-03-05,3676458665
2002-03-06,3819880524
2002-03-07,3766587156
2002-03-08,3878659974
2002-03-11,4003272408
2002-03-12,3957032574
2002-03-13,4174908402
2002-03-14,4315195356
2002-03-15,4283846315
2002-03-18,4218797058
2002-03-19,4187448018
2002-03-20,4231336674
2002-03-21,4286981220
2002-03-22,4280711412
2002-03-25,4261901988
2002-03-26,4305790644
2002-03-27,4405323846
2002-03-28,4471156830
2002-04-01,4431335420
2002-04-02,4349903208
2002-04-03,4334091128
2002-04-04,4416313944
2002-04-05,4462959580
2002-04-08,4481934076
2002-04-09,4572853536
2002-04-10,4613964944
2002-04-11,4591828032
2002-04-12,4569691120
2002-04-15,4538857564
2002-04-16,4651913936
2002-04-17,4711209236
2002-04-18,4787107220
2002-04-19,4900163592
2002-04-22,4900163592
2002-04-23,4802919300
2002-04-24,4730183732
2002-04-25,4817940776
2002-04-26,4777619972
2002-04-29,4664563600
2002-04-30,4745995812
2002-05-01,4931787752
2002-05-02,4664563600
2002-05-03,4667726016
2002-05-06,4667726016
2002-05-07,4459797164
2002-05-08,4406826696
2002-05-09,4632939440
2002-05-10,4601315280
2002-05-13,4542019980
2002-05-14,4337253544
2002-05-15,4431335420
2002-05-16,4453472332
2002-05-17,4447147500
2002-05-20,4334091128
2002-05-21,4394177032
2002-05-22,4274795828
2002-05-23,4296142136
2002-05-24,4431335420
2002-05-28,4425010588
2002-05-29,4315116632
2002-05-30,4459797164
2002-05-31,4447147500
2002-06-03,4434497836
2002-06-04,4437660252
2002-06-05,4519883068
2002-06-06,4397339448
2002-06-07,4381527368
2002-06-10,4491421324
2002-06-11,4550716624
2002-06-12,4462959580
2002-06-13,4456634748
2002-06-14,4400501864
2002-06-17,4428173004
2002-06-18,4425010588
2002-06-19,4391014616
2002-06-20,4205222676
2002-06-21,4066866976
2002-06-24,3891352888
2002-06-25,3891352888
2002-06-26,3881865640
2002-06-27,3998084428
2002-06-28,4020221340
2002-07-01,3790435454
2002-07-02,3584666688
2002-07-03,3600556168
2002-07-05,3935029722
2002-07-08,3758656494
2002-07-09,3458345322
2002-07-10,3379692396
2002-07-11,3158034150
2002-07-12,3095270704
2002-07-15,3031712783
2002-07-16,3031712783
2002-07-17,2775892156
2002-07-18,2659104478
2002-07-19,2605874720
2002-07-22,2381833052
2002-07-23,2492264938
2002-07-24,2431884914
2002-07-25,2375477260
2002-07-26,2470019666
2002-07-29,2927636690
2002-07-30,3085737016
2002-07-31,3237481550
2002-08-01,3180279422
2002-08-02,3139761248
2002-08-05,3142939144
2002-08-06,3173923630
2002-08-07,3525081138
2002-08-08,3755478598
2002-08-09,3651402504
2002-08-12,3667291983
2002-08-13,3537792722
2002-08-14,3600556168
2002-08-15,3730055430
2002-08-16,3765012286
2002-08-19,3821419940
2002-08-20,3698276470
2002-08-21,3745944910
2002-08-22,3850021004
2002-08-23,3768190182
2002-08-26,3780901766
2002-08-27,2119656632
2002-08-28,1595303791
2002-08-29,1790744396
2002-08-30,1693024094
2002-09-03,1718447262
2002-09-04,1746253852
2002-09-05,1699379886
2002-09-06,1673956718
2002-09-09,1667600925
2002-09-10,1573058520
2002-09-11,1563524832
2002-09-12,1493611120
2002-09-13,1480899536
2002-09-16,1373645546
2002-09-17,1317237891
2002-09-18,1314059996
2002-09-19,963696962
2002-09-20,954163274
2002-09-23,1020104616
2002-09-24,1168671254
2002-09-25,1285458932
2002-09-26,1336305268
2002-09-27,1253679972
2002-09-30,1310882100
2002-10-01,1342661060
2002-10-02,1190916526
2002-10-03,1194094422
2002-10-04,1165493358
2002-10-07,1178204942
2002-10-08,1184560734
2002-10-09,1136892294
2002-10-10,1058239368
2002-10-11,1136892294
2002-10-14,1200450214
2002-10-15,1250502076
2002-10-16,1140070190
2002-10-17,1234612596
2002-10-18,1266391556
2002-10-21,1386357130
2002-10-22,1395890818
2002-10-23,1430847674
2002-10-24,1493611120
2002-10-25,1459448738
2002-10-28,1386357130
2002-10-29,1285458932
2002-10-30,1307704204
2002-10-31,1373645546
2002-11-01,1430847674
2002-11-04,1541279560
2002-11-05,1285458932
2002-11-06,1250502076
2002-11-07,1288636828
2002-11-08,1168671254
2002-11-11,1168671254
2002-11-12,1130536502
2002-11-13,1175027046
2002-11-14,1237790492
2002-11-15,1225078908
2002-11-18,1231434700
2002-11-19,1216339694
2002-11-20,1237790492
2002-11-21,1298170516
2002-11-22,1349016852
2002-11-25,1269569452
2002-11-26,1263213660
2002-11-27,1301348412
2002-11-29,1285458932
2002-12-02,1320415788
2002-12-03,1272747348
2002-12-04,1256857868
2002-12-05,1266391556
2002-12-06,1294992620
2002-12-09,1285458932
2002-12-10,1301348412
2002-12-11,1329949475
2002-12-12,1352194748
2002-12-13,1298170516
2002-12-16,1288636828
2002-12-17,1240968388
2002-12-18,1209983902
2002-12-19,1181382838
2002-12-20,1209983902
2002-12-23,1225078908
2002-12-24,1225078908
2002-12-26,1272747348
2002-12-27,1263213660
2002-12-30,1279103140
2002-12-31,1326771580
2003-01-02,7292790120
2003-01-03,7055110919
2003-01-06,7716651360
2003-01-07,6849122280
2003-01-08,6694630799
2003-01-09,6817431720
2003-01-10,6710476080
2003-01-13,6742166640
2003-01-14,6599559120
2003-01-15,6536178000
2003-01-16,6694630799
2003-01-17,6567868559
2003-01-21,6504487440
2003-01-22,6520332720
2003-01-23,6456951600
2003-01-24,6393570480
2003-01-27,6124200720
2003-01-28,6140046000
2003-01-29,5938018680
2003-01-30,6064780920
2003-01-31,6033090360
2003-02-03,6187581840
2003-02-04,6017245080
2003-02-05,5953863960
2003-02-06,5732030040
2003-02-07,5589422520
2003-02-10,5605267800
2003-02-11,5526041400
2003-02-12,5371549920
2003-02-13,5244787680
2003-02-14,5038799040
2003-02-18,5478505560
2003-02-19,5244787680
2003-02-20,5102180160
2003-02-21,5684494200
2003-02-24,5510196120
2003-02-25,5434931040
2003-02-26,5874637560
2003-02-27,5652803640
2003-02-28,5636958360
2003-03-03,5478505560
2003-03-04,5541886680
2003-03-05,5827101720
2003-03-06,5684494200
2003-03-07,5827101720
2003-03-10,5700339480
2003-03-11,5668648920
2003-03-12,5684494200
2003-03-13,5652803640
2003-03-14,5494350840
2003-03-17,6219272400
2003-03-18,6155891280
2003-03-19,2360946720
2003-03-20,6159852600
2003-03-21,6159852600
2003-03-24,6159852600
2003-03-25,6159852600
2003-03-26,173327556
2003-03-27,141815256
2003-03-28,126057125
2003-03-31,141815256
2003-04-01,189085687
2003-04-02,173327556
2003-04-03,189085687
2003-04-04,204839857
2003-04-07,220597988
2003-04-08,204839857
2003-04-09,220597988
2003-04-10,220597988
2003-04-11,267868419
2003-04-14,267868419
2003-04-15,267868419
2003-04-16,220597988
2003-04-17,236356119
2003-04-21,236356119
2003-04-22,236356119
2003-04-23,236356119
2003-04-24,220597988
2003-04-25,220597988
2003-04-28,220597988
2003-04-29,157569425
2003-04-30,220597988
2003-05-01,267868419
2003-05-02,283626550
2003-05-05,299384681
2003-05-06,315142812
2003-05-07,378167413
2003-05-08,393925544
2003-05-09,439706520
2003-05-12,550623480
2003-05-13,598159320
2003-05-14,487242360
2003-05-15,566468760
2003-05-16,503087640
2003-05-19,518932920
2003-05-20,408015960
2003-05-21,423861240
2003-05-22,455551799
2003-05-23,439706520
2003-05-27,439706520
2003-05-28,408015960
2003-05-29,408015960
2003-05-30,471397080
2003-06-02,534778200
2003-06-03,503087640
2003-06-04,693231000
2003-06-05,740766840
2003-06-06,883374360
2003-06-09,1101246960
2003-06-10,1323080880
2003-06-11,1085401680
2003-06-12,788302680
2003-06-13,883374360
2003-06-16,938832840
2003-06-17,883374360
2003-06-18,835838520
2003-06-19,772457400
2003-06-20,756612120
2003-06-23,709076280
2003-06-24,661540440
2003-06-25,859606440
2003-06-26,859606440
2003-06-27,772457400
2003-06-30,819993239
2003-07-01,1164628080
2003-07-02,1085401680
2003-07-03,1418152560
2003-07-07,2974951320
2003-07-08,2246068440
2003-07-09,2487708960
2003-07-10,2360946720
2003-07-11,2360946720
2003-07-14,2048002440
2003-07-15,2190609960
2003-07-16,2190609960
2003-07-17,2143074120
2003-07-18,2190609960
2003-07-21,2297565600
2003-07-22,2345101440
2003-07-23,2566935360
2003-07-24,2757078720
2003-07-25,2709542880
2003-07-28,2852150400
2003-07-29,2788769280
2003-07-30,2630316480
2003-07-31,2535244800
2003-08-01,2551090080
2003-08-04,2630316480
2003-08-05,2693697600
2003-08-06,2598625920
2003-08-07,2582780640
2003-08-08,2519399520
2003-08-11,2598625920
2003-08-12,3541420080
2003-08-13,3715718160
2003-08-14,3684027600
2003-08-15,3684027600
2003-08-18,3402773880
2003-08-19,3497845560
2003-08-20,3573110640
2003-08-21,3779099279
2003-08-22,3874170959
2003-08-25,4000933200
2003-08-26,4250496360
2003-08-27,4678318920
2003-08-28,4864500960
2003-08-29,5086334880
2003-09-02,5403240480
2003-09-03,5149716000
2003-09-04,5102180160
2003-09-05,5038799040
2003-09-08,4646628360
2003-09-09,4694164200
2003-09-10,4816965120
2003-09-11,4789235880
2003-09-12,4725854760
2003-09-15,4959572640
2003-09-16,5038799040
2003-09-17,5070489600
2003-09-18,5228942400
2003-09-19,4694164200
2003-09-22,4614937800
2003-09-23,4567401960
2003-09-24,4662473640
2003-09-25,4488175560
2003-09-26,4313877480
2003-09-29,4488175560
2003-09-30,4646628360
2003-10-01,4725854760
2003-10-02,4880346240
2003-10-03,4710009480
2003-10-06,4519866120
2003-10-07,4662473640
2003-10-08,4662473640
2003-10-09,4599092520
2003-10-10,4583247240
2003-10-13,4519866120
2003-10-14,4440639720
2003-10-15,4298032200
2003-10-16,4488175560
2003-10-17,4393103880
2003-10-20,4361413320
2003-10-21,4583247240
2003-10-22,4725854760
2003-10-23,4575324600
2003-10-24,4662473640
2003-10-27,4630783080
2003-10-28,4456485000
2003-10-29,4408949160
2003-10-30,4408949160
2003-10-31,4456485000
2003-11-03,4424794440
2003-11-04,4377258600
2003-11-05,4377258600
2003-11-06,4725854760
2003-11-07,5118025440
2003-11-10,5419085760
2003-11-11,5007108480
2003-11-12,5276478240
2003-11-13,5308168800
2003-11-14,5434931040
2003-11-17,5292323520
2003-11-18,5181406560
2003-11-19,5260632960
2003-11-20,5339859360
2003-11-21,5510196120
2003-11-24,5684494200
2003-11-25,6187581840
2003-11-26,6266808240
2003-11-28,6599559120
2003-12-01,6991729799
2003-12-02,7213563720
2003-12-03,7542353280
2003-12-04,7166027880
2003-12-05,7526508000
2003-12-08,7645347600
2003-12-09,7356171240
2003-12-10,6849122280
2003-12-11,7229409000
2003-12-12,7292790120
2003-12-15,7340325960
2003-12-16,7324480679
2003-12-17,7118492040
2003-12-18,6928348679
2003-12-19,7007575080
2003-12-22,7134337320
2003-12-23,7086801480
2003-12-24,7086801480
2003-12-26,7070956200
2003-12-29,7134337320
2003-12-30,7213563720
2003-12-31,1446943950
2004-01-02,1496893248
2004-01-05,1522264320
2004-01-06,1503236016
2004-01-07,1534949856
2004-01-08,1601548920
2004-01-09,1566663696
2004-01-12,1585692000
2004-01-13,1705411746
2004-01-14,1815617340
2004-01-15,1847331180
2004-01-16,1951194006
2004-01-20,1868738022
2004-01-21,1576177848
2004-01-22,1721268666
2004-01-23,1718097282
2004-01-26,1680040674
2004-01-27,1667355138
2004-01-28,1654669602
2004-01-29,1592034767
2004-01-30,1585692000
2004-02-02,1573006464
2004-02-03,1654669602
2004-02-04,1579349232
2004-02-05,1541292624
2004-02-06,1512750167
2004-02-09,1547635392
2004-02-10,1592034767
2004-02-11,1585692000
2004-02-12,1566663696
2004-02-13,1553978160
2004-02-17,1541292624
2004-02-18,1496893248
2004-02-19,1383516270
2004-02-20,1418401494
2004-02-23,1512750167
2004-02-24,1481036328
2004-02-25,1421572878
2004-02-26,1421572878
2004-02-27,1450115334
2004-03-01,1418401494
2004-03-02,1370830734
2004-03-03,1327224203
2004-03-04,1339909740
2004-03-05,1386687653
2004-03-08,1434258414
2004-03-09,1370830734
2004-03-10,1317710052
2004-03-11,1266967908
2004-03-12,1260625140
2004-03-15,1244768220
2004-03-16,1225739916
2004-03-17,1191647538
2004-03-18,1311367284
2004-03-19,1270139292
2004-03-22,1285996212
2004-03-23,1299474594
2004-03-24,1364487966
2004-03-25,1380344886
2004-03-26,1364487966
2004-03-29,1339909740
2004-03-30,1292338980
2004-03-31,1295510364
2004-04-01,1370830734
2004-04-02,1427915646
2004-04-05,1427915646
2004-04-06,1519092936
2004-04-07,1509578784
2004-04-08,1496893248
2004-04-12,1418401494
2004-04-13,1434258414
2004-04-14,1421572878
2004-04-15,1298681748
2004-04-16,1370830734
2004-04-19,1370830734
2004-04-20,1364487966
2004-04-21,1386687653
2004-04-22,1450115334
2004-04-23,1465972253
2004-04-26,1431087030
2004-04-27,1402544574
2004-04-28,1374002117
2004-04-29,1377173502
2004-04-30,1354973814
2004-05-03,1424744262
2004-05-04,1450115334
2004-05-05,1538121240
2004-05-06,1638812682
2004-05-07,1641984066
2004-05-10,1528607088
2004-05-11,1519092936
2004-05-12,1472315022
2004-05-13,1538121240
2004-05-14,1493721864
2004-05-17,1493721864
2004-05-18,1446943950
2004-05-19,1544464008
2004-05-20,1465972253
2004-05-21,1496893248
2004-05-24,1481036328
2004-05-25,1477864944
2004-05-26,1481036328
2004-05-27,1512750167
2004-05-28,1528607088
2004-06-01,1528607088
2004-06-02,1592034767
2004-06-03,1553978160
2004-06-04,1576177848
2004-06-07,1664183753
2004-06-08,1683212058
2004-06-09,1714925898
2004-06-10,1686383442
2004-06-14,1622955762
2004-06-15,1670526522
2004-06-16,1670526522
2004-06-17,1840988412
2004-06-18,1875080790
2004-06-21,1821960108
2004-06-22,1913137398
2004-06-23,1887766326
2004-06-24,1887766326
2004-06-25,1875080790
2004-06-28,1853673948
2004-06-29,1860016716
2004-06-30,1890937710
2004-07-01,2017000224
2004-07-02,2001143303
2004-07-06,1922651550
2004-07-07,1913137398
2004-07-08,1890937710
2004-07-09,1860016716
2004-07-12,1894109094
2004-07-13,1900451862
2004-07-14,1875080790
2004-07-15,1837817028
2004-07-16,1821960108
2004-07-19,1828302876
2004-07-20,1847331180
2004-07-21,1878252174
2004-07-22,1835438490
2004-07-23,1764875196
2004-07-26,1780732116
2004-07-27,1733954202
2004-07-28,1670526522
2004-07-29,1702240362
2004-07-30,1702240362
2004-08-02,1672905060
2004-08-03,1699068978
2004-08-04,1730782817
2004-08-05,1724440050
2004-08-06,1641984066
2004-08-09,1595206152
2004-08-10,1595206152
2004-08-11,1638812682
2004-08-12,1598377536
2004-08-13,1610270226
2004-08-16,1632469914
2004-08-17,1670526522
2004-08-18,1758532428
2004-08-19,1727611434
2004-08-20,1733954202
2004-08-23,1680040674
2004-08-24,1670526522
2004-08-25,1680040674
2004-08-26,1702240362
2004-08-27,1724440050
2004-08-30,1711754514
2004-08-31,1714925898
