,GPC
2002-01-15,6049180830
2002-01-16,5955287250
2002-01-17,6003972810
2002-01-18,5965719870
2002-01-22,6050919599
2002-01-23,6030054360
2002-01-24,6007450349
2002-01-25,6040486980
2002-01-28,6156984569
2002-01-29,6106560240
2002-01-30,6108299010
2002-01-31,6176111040
2002-02-01,6130903020
2002-02-04,6097866390
2002-02-05,6003972810
2002-02-06,5967458640
2002-02-07,5897907840
2002-02-08,5990062650
2002-02-11,6009189120
2002-02-12,5965719870
2002-02-13,6007450349
2002-02-14,5988323880
2002-02-15,6012666660
2002-02-19,5932683240
2002-02-20,6019621740
2002-02-21,6078739920
2002-02-22,6136119330
2002-02-25,6297824940
2002-02-26,6384763440
2002-02-27,6377808360
2002-02-28,6351726810
2002-03-01,6384763440
2002-03-04,6501261030
2002-03-05,6494305950
2002-03-06,6485612099
2002-03-07,6463008090
2002-03-08,6450836700
2002-03-11,6445620390
2002-03-12,6478657020
2002-03-13,6433449000
2002-03-14,6450836700
2002-03-15,6489089640
2002-03-18,6522126270
2002-03-19,6621236160
2002-03-20,6539513970
2002-03-21,6414322530
2002-03-22,6379547130
2002-03-25,6205670130
2002-03-26,6226535370
2002-03-27,6431710230
2002-03-28,6393457290
2002-04-01,6391664800
2002-04-02,6353286900
2002-04-03,6281764450
2002-04-04,6419575999
2002-04-05,6445742750
2002-04-08,6459698350
2002-04-09,6576576500
2002-04-10,6594020999
2002-04-11,6510287400
2002-04-12,6421320450
2002-04-15,6367242500
2002-04-16,6416087100
2002-04-17,6293975600
2002-04-18,6259086600
2002-04-19,6241642100
2002-04-22,6161397400
2002-04-23,6110808350
2002-04-24,6096852750
2002-04-25,6098597200
2002-04-26,6061963750
2002-04-29,5964274550
2002-04-30,6020096950
2002-05-01,5960785650
2002-05-02,6061963750
2002-05-03,6091619400
2002-05-06,6030563650
2002-05-07,6081152700
2002-05-08,6159652950
2002-05-09,6102086099
2002-05-10,6056730400
2002-05-13,6018352500
2002-05-14,6157908499
2002-05-15,6292231150
2002-05-16,6327120150
2002-05-17,6367242500
2002-05-20,6318397900
2002-05-21,6246875450
2002-05-22,6342820200
2002-05-23,6398642600
2002-05-24,6323631250
2002-05-28,6332353499
2002-05-29,6334097950
2002-05-30,6283508900
2002-05-31,6375964749
2002-06-03,6283508900
2002-06-04,6234664300
2002-06-05,6285253350
2002-06-06,6309675650
2002-06-07,6320142349
2002-06-10,6304442300
2002-06-11,6280020000
2002-06-12,6306186750
2002-06-13,6281764450
2002-06-14,6123019500
2002-06-17,6314909000
2002-06-18,6334097950
2002-06-19,6300953400
2002-06-20,6274786650
2002-06-21,6262575500
2002-06-24,6184075250
2002-06-25,6192797500
2002-06-26,6150930700
2002-06-27,6185819700
2002-06-28,6082897150
2002-07-01,5875463670
2002-07-02,5765397000
2002-07-03,5660571600
2002-07-05,5857992770
2002-07-08,5658824510
2002-07-09,5503333500
2002-07-10,5363566300
2002-07-11,5311153600
2002-07-12,5243017090
2002-07-15,5361819210
2002-07-16,5286694340
2002-07-17,5288441430
2002-07-18,5250005450
2002-07-19,5042101740
2002-07-22,4897093270
2002-07-23,4828956760
2002-07-24,4975712320
2002-07-25,5098008620
2002-07-26,5092767350
2002-07-29,5384531380
2002-07-30,5277958890
2002-07-31,5365313390
2002-08-01,5400255190
2002-08-02,5192351480
2002-08-05,5098008620
2002-08-06,5258740900
2002-08-07,5370554660
2002-08-08,5473632970
2002-08-09,5552252020
2002-08-12,5494598050
2002-08-13,5346095400
2002-08-14,5498092230
2002-08-15,5566228740
2002-08-16,5515563130
2002-08-19,5597676360
2002-08-20,5541769480
2002-08-21,5599423449
2002-08-22,5667559960
2002-08-23,5604664720
2002-08-26,5587193820
2002-08-27,5704248850
2002-08-28,5789856260
2002-08-29,5816062610
2002-08-30,5809074250
2002-09-03,5634365250
2002-09-04,5604664720
2002-09-05,5594182180
2002-09-06,5643100699
2002-09-09,5679789590
2002-09-10,5693766310
2002-09-11,5671054140
2002-09-12,5646594880
2002-09-13,5623882710
2002-09-16,5608158900
2002-09-17,5470138790
2002-09-18,5454414980
2002-09-19,5328624500
2002-09-20,5419473180
2002-09-23,5297176880
2002-09-24,5241270000
2002-09-25,5419473180
2002-09-26,5583699640
2002-09-27,5402002280
2002-09-30,5335833440
2002-10-01,5522169660
2002-10-02,5398526000
2002-10-03,5417682060
2002-10-04,5301004240
2002-10-07,5149497220
2002-10-08,5348023660
2002-10-09,5154721600
2002-10-10,5290555480
2002-10-11,5515203820
2002-10-14,5356730960
2002-10-15,5555257400
2002-10-16,5483857540
2002-10-17,5492564840
2002-10-18,5466442940
2002-10-21,5449028340
2002-10-22,5292296940
2002-10-23,5309711540
2002-10-24,5212189780
2002-10-25,5274882340
2002-10-28,5163428900
2002-10-29,5152980140
2002-10-30,5196516640
2002-10-31,5144272840
2002-11-01,5170394740
2002-11-04,5154721600
2002-11-05,5180843500
2002-11-06,5247018980
2002-11-07,5147755760
2002-11-08,5173877660
2002-11-11,5133824080
2002-11-12,5180843500
2002-11-13,5166911820
2002-11-14,5234828760
2002-11-15,5253984820
2002-11-18,5283589640
2002-11-19,5316677380
2002-11-20,5403750380
2002-11-21,5518686740
2002-11-22,5483857540
2002-11-25,5546550100
2002-11-26,5415940600
2002-11-27,5509979440
2002-11-29,5536101340
2002-12-02,5572672000
2002-12-03,5417682060
2002-12-04,5302745700
2002-12-05,5234828760
2002-12-06,5240053140
2002-12-09,5137307000
2002-12-10,5212189780
2002-12-11,5273140880
2002-12-12,5320160300
2002-12-13,5267916500
2002-12-16,5414199140
2002-12-17,5415940600
2002-12-18,5379369940
2002-12-19,5327126140
2002-12-20,5403750380
2002-12-23,5440321040
2002-12-24,5400267460
2002-12-26,5400267460
2002-12-27,5358472420
2002-12-30,5342799280
2002-12-31,5363696800
2003-01-02,5504755060
2003-01-03,5485599000
2003-01-06,5551774480
2003-01-07,5476891700
2003-01-08,5405491840
2003-01-09,5534359880
2003-01-10,5480374620
2003-01-13,5485599000
2003-01-14,5492564840
2003-01-15,5384594320
2003-01-16,5367179720
2003-01-17,5372404100
2003-01-21,5306228620
2003-01-22,5231345840
2003-01-23,5318418840
2003-01-24,5266175040
2003-01-27,5170394740
2003-01-28,5184326420
2003-01-29,5206965400
2003-01-30,5102477800
2003-01-31,5137307000
2003-02-03,5175619120
2003-02-04,5118150940
2003-02-05,5081580280
2003-02-06,5076355900
2003-02-07,5015404800
2003-02-10,5050234000
2003-02-11,5043268160
2003-02-12,4970126840
2003-02-13,4905692820
2003-02-14,5006697500
2003-02-18,5085063200
2003-02-19,5038043780
2003-02-20,4992765820
2003-02-21,5003214580
2003-02-24,4971868300
2003-02-25,4997990200
2003-02-26,4942263480
2003-02-27,5036302320
2003-02-28,5015404800
2003-03-03,5050234000
2003-03-04,4963161000
2003-03-05,4903951360
2003-03-06,4834292960
2003-03-07,4910917200
2003-03-10,4802946680
2003-03-11,4776824780
2003-03-12,4823844200
2003-03-13,4963161000
2003-03-14,4971868300
2003-03-17,5111185100
2003-03-18,5149497220
2003-03-19,5182584960
2003-03-20,5241794600
2003-03-21,5398526000
2003-03-24,5255726280
2003-03-25,5346282200
2003-03-26,5313194460
2003-03-27,5301004240
2003-03-28,5257467740
2003-03-31,5305536450
2003-04-01,5338576500
2003-04-02,5524644150
2003-04-03,5498559900
2003-04-04,5536816800
2003-04-07,5608113750
2003-04-08,5576812650
2003-04-09,5517688350
2003-04-10,5502037800
2003-04-11,5453347200
2003-04-14,5552467350
2003-04-15,5554206300
2003-04-16,5470736700
2003-04-17,5451608250
2003-04-21,5432479800
2003-04-22,5517688350
2003-04-23,5554206300
2003-04-24,5486387250
2003-04-25,5437696650
2003-04-28,5562901050
2003-04-29,5566378950
2003-04-30,5559423150
2003-05-01,5502037800
2003-05-02,5651587500
2003-05-05,5628981150
2003-05-06,5675932800
2003-05-07,5738535000
2003-05-08,5681149650
2003-05-09,5740273950
2003-05-12,5795920350
2003-05-13,5787225600
2003-05-14,5728101300
2003-05-15,5837655150
2003-05-16,5853305699
2003-05-19,5728101300
2003-05-20,5721145500
2003-05-21,5689844400
2003-05-22,5717667600
2003-05-23,5719406550
2003-05-27,5742012900
2003-05-28,5762880300
2003-05-29,5703755999
2003-05-30,5715928650
2003-06-02,5788964550
2003-06-03,5759402400
2003-06-04,5752446600
2003-06-05,5773314000
2003-06-06,5684627550
2003-06-09,5681149650
2003-06-10,5714189700
2003-06-11,5811570900
2003-06-12,5795920350
2003-06-13,5792442450
2003-06-16,5825482500
2003-06-17,5816787750
2003-06-18,5792442450
2003-06-19,5693322300
2003-06-20,5682888600
2003-06-23,5587246350
2003-06-24,5575073700
2003-06-25,5542033650
2003-06-26,5604635849
2003-06-27,5602896900
2003-06-30,5568075480
2003-07-01,5658528440
2003-07-02,5728107640
2003-07-03,5722889200
2003-07-07,5809863200
2003-07-08,5818560600
2003-07-09,5809863200
2003-07-10,5792468399
2003-07-11,5818560600
2003-07-14,5809863200
2003-07-15,5785510480
2003-07-16,5719410240
2003-07-17,5575033399
2003-07-18,5514151600
2003-07-21,5395866960
2003-07-22,5427177600
2003-07-23,5404564360
2003-07-24,5366295800
2003-07-25,5442832920
2003-07-28,5373253720
2003-07-29,5359337880
2003-07-30,5380211640
2003-07-31,5381951120
2003-08-01,5357598400
2003-08-04,5348901000
2003-08-05,5254969080
2003-08-06,5223658440
2003-08-07,5223658440
2003-08-08,5265405960
2003-08-11,5298456080
2003-08-12,5348901000
2003-08-13,5340203600
2003-08-14,5392388000
2003-08-15,5418480200
2003-08-18,5420219680
2003-08-19,5470664600
2003-08-20,5465446160
2003-08-21,5501975240
2003-08-22,5460227720
2003-08-25,5453269800
2003-08-26,5439353960
2003-08-27,5435875000
2003-08-28,5475883040
2003-08-29,5569814960
2003-09-02,5670704800
2003-09-03,5757678800
2003-09-04,5766376200
2003-09-05,5762897240
2003-09-08,5792468399
2003-09-09,5762897240
2003-09-10,5743762960
2003-09-11,5762897240
2003-09-12,5761157760
2003-09-15,5748981399
2003-09-16,5759418280
2003-09-17,5733326080
2003-09-18,5738544520
2003-09-19,5729847120
2003-09-22,5688099600
2003-09-23,5660267920
2003-09-24,5585470280
2003-09-25,5581991320
2003-09-26,5526327960
2003-09-29,5575033399
2003-09-30,5564360100
2003-10-01,5576539749
2003-10-02,5567840000
2003-10-03,5625258350
2003-10-06,5658317400
2003-10-07,5656577450
2003-10-08,5649617650
2003-10-09,5686156600
2003-10-10,5684416650
2003-10-13,5670497050
2003-10-14,5651357599
2003-10-15,5637438000
2003-10-16,5637438000
2003-10-17,5607858849
2003-10-20,5567840000
2003-10-21,5574799800
2003-10-22,5533041000
2003-10-23,5531301050
2003-10-24,5550440500
2003-10-27,5571319900
2003-10-28,5585239500
2003-10-29,5578279700
2003-10-30,5550440500
2003-10-31,5536520900
2003-11-03,5585239500
2003-11-04,5632218150
2003-11-05,5616558600
2003-11-06,5586979450
2003-11-07,5562620150
2003-11-10,5459963100
2003-11-11,5442563600
2003-11-12,5515641500
2003-11-13,5473882700
2003-11-14,5446043500
2003-11-17,5411244500
2003-11-18,5357306050
2003-11-19,5383405300
2003-11-20,5355566100
2003-11-21,5406024650
2003-11-24,5489542250
2003-11-25,5515641500
2003-11-26,5522601300
2003-11-28,5477362600
2003-12-01,5524341250
2003-12-02,5590459350
2003-12-03,5578279700
2003-12-04,5580019650
2003-12-05,5593939250
2003-12-08,5668757100
2003-12-09,5651357599
2003-12-10,5628738250
2003-12-11,5712255850
2003-12-12,5764454350
2003-12-15,5755754600
2003-12-16,5743574950
2003-12-17,5707035999
2003-12-18,5769674199
2003-12-19,5762714400
2003-12-22,5774894050
2003-12-23,5769674199
2003-12-24,5741835000
2003-12-26,5745314900
2003-12-29,5757494550
2003-12-30,5748794800
2003-12-31,5787424000
2004-01-02,5757789600
2004-01-05,5834490400
2004-01-06,5813572000
2004-01-07,5811828800
2004-01-08,5822288000
2004-01-09,5761275999
2004-01-12,5735128000
2004-01-13,5681088800
2004-01-14,5708980000
2004-01-15,5688061600
2004-01-16,5691548000
2004-01-20,5600901600
2004-01-21,5672372800
2004-01-22,5672372800
2004-01-23,5651454400
2004-01-26,5794396800
2004-01-27,5783937600
2004-01-28,5810085600
2004-01-29,5769992000
2004-01-30,5745587200
2004-02-02,5750816800
2004-02-03,5787424000
2004-02-04,5771735200
2004-02-05,5750816800
2004-02-06,5860638400
2004-02-09,5886786400
2004-02-10,5914677600
2004-02-11,5912934400
2004-02-12,5909448000
2004-02-13,5911191199
2004-02-17,5986148800
2004-02-18,6008810400
2004-02-19,6033215200
2004-02-20,6015783200
2004-02-23,6048904000
2004-02-24,6061106400
2004-02-25,6034958400
2004-02-26,6014040000
2004-02-27,6054133599
2004-03-01,6092484000
2004-03-02,6092484000
2004-03-03,6026242400
2004-03-04,6027985600
2004-03-05,6036701600
2004-03-08,5991378400
2004-03-09,5979175999
2004-03-10,5878070400
2004-03-11,5794396800
2004-03-12,5857152000
2004-03-15,5773478400
2004-03-16,5811828800
2004-03-17,5883300000
2004-03-18,5804855999
2004-03-19,5780451199
2004-03-22,5743844000
2004-03-23,5717695999
2004-03-24,5708980000
2004-03-25,5735128000
2004-03-26,5698520800
2004-03-29,5717695999
2004-03-30,5749073599
2004-03-31,5720404880
2004-04-01,5720404880
2004-04-02,5744880940
2004-04-05,5839288600
2004-04-06,5828798860
2004-04-07,5779846740
2004-04-08,5800826220
2004-04-12,5856771500
2004-04-13,5851526630
2004-04-14,5828798860
2004-04-15,6117266710
2004-04-16,6290347419
2004-04-19,6395244820
2004-04-20,6360279020
2004-04-21,6398741400
2004-04-22,6463428130
2004-04-23,6419720880
2004-04-26,6412727720
2004-04-27,6414476010
2004-04-28,6341047830
2004-04-29,6278109389
2004-04-30,6258878199
2004-05-03,6314823480
2004-05-04,6313075190
2004-05-05,6300837160
2004-05-06,6321816639
2004-05-07,6227408980
2004-05-10,6243143590
2004-05-11,6288599130
2004-05-12,6314823480
2004-05-13,6286850840
2004-05-14,6337551250
2004-05-17,6279857680
2004-05-18,6304333740
2004-05-19,6372517050
2004-05-20,6376013630
2004-05-21,6393496530
2004-05-24,6388251660
2004-05-25,6473917870
2004-05-26,6545597760
2004-05-27,6540352889
2004-05-28,6580563560
2004-06-01,6627767389
2004-06-02,6800848100
2004-06-03,6862038250
2004-06-04,6898752340
2004-06-07,6984418550
2004-06-08,7024629220
2004-06-09,6874276280
2004-06-10,6856793380
2004-06-14,6800848100
2004-06-15,6877772860
2004-06-16,6883017730
2004-06-17,6870779699
2004-06-18,6909242080
2004-06-21,6876024570
2004-06-22,6874276280
2004-06-23,6914486949
2004-06-24,6886514310
2004-06-25,6940711300
2004-06-28,6984418550
2004-06-29,6942459590
2004-06-30,6935746560
2004-07-01,6888552719
2004-07-02,6759206640
2004-07-06,6635104320
2004-07-07,6619373040
2004-07-08,6535472880
2004-07-09,6628112640
2004-07-12,6607137599
2004-07-13,6610633440
2004-07-14,6615877200
2004-07-15,6624616800
2004-07-16,6552952080
2004-07-19,6554700000
2004-07-20,6600145920
2004-07-21,6540716640
2004-07-22,6523237440
2004-07-23,6556447920
2004-07-26,6514497840
2004-07-27,6535472880
2004-07-28,6586162560
2004-07-29,6607137599
2004-07-30,6594902159
2004-08-02,6673558560
2004-08-03,6607137599
2004-08-04,6582666719
2004-08-05,6477791520
2004-08-06,6341453760
2004-08-09,6400883040
2004-08-10,6498766560
2004-08-11,6523237440
2004-08-12,6500514480
2004-08-13,6434093520
2004-08-16,6552952080
2004-08-17,6633356400
2004-08-18,6642096000
2004-08-19,6586162560
2004-08-20,6657827280
2004-08-23,6642096000
