,MTW
2001-10-11,149688687
2001-10-12,151448427
2001-10-15,149303742
2001-10-16,149358721
2001-10-17,147378995
2001-10-18,146664108
2001-10-19,146279164
2001-10-22,150348595
2001-10-23,152603261
2001-10-24,152328297
2001-10-25,152438277
2001-10-26,155022909
2001-10-29,146554128
2001-10-30,149523704
2001-10-31,151228465
2001-11-01,153428152
2001-11-02,153703116
2001-11-05,153593111
2001-11-06,153593111
2001-11-07,154527984
2001-11-08,154692967
2001-11-09,153703116
2001-11-12,154088061
2001-11-13,155902803
2001-11-14,157002634
2001-11-15,159477285
2001-11-16,159752249
2001-11-19,160302177
2001-11-20,161127044
2001-11-21,159807227
2001-11-23,161017063
2001-11-26,159807227
2001-11-27,158322451
2001-11-28,153538133
2001-11-29,155077911
2001-11-30,156452706
2001-12-03,155077911
2001-12-04,161511989
2001-12-05,165966365
2001-12-06,164426587
2001-12-07,165526418
2001-12-10,162501864
2001-12-11,166681252
2001-12-12,165306456
2001-12-13,164811531
2001-12-14,166076346
2001-12-17,169650828
2001-12-18,176799816
2001-12-19,178339594
2001-12-20,176249888
2001-12-21,180374298
2001-12-24,177074780
2001-12-26,178284616
2001-12-27,179824395
2001-12-28,174875093
2001-12-31,684112140
2002-01-02,677512915
2002-01-03,689611398
2002-01-04,711608525
2002-01-07,703909525
2002-01-08,706109267
2002-01-09,707429151
2002-01-10,703909525
2002-01-11,705009396
2002-01-14,693130926
2002-01-15,690491256
2002-01-16,677072986
2002-01-17,687411656
2002-01-18,686311785
2002-01-22,683012269
2002-01-23,688511527
2002-01-24,694010881
2002-01-25,695110655
2002-01-28,719967466
2002-01-29,697530410
2002-01-30,716667950
2002-01-31,733605749
2002-02-01,741304748
2002-02-04,739105007
2002-02-05,740204877
2002-02-06,732945807
2002-02-07,732285962
2002-02-08,734705620
2002-02-11,747463948
2002-02-12,746804006
2002-02-13,747024019
2002-02-14,743504490
2002-02-15,750103619
2002-02-19,743064561
2002-02-20,767701359
2002-02-21,747683961
2002-02-22,768801230
2002-02-25,769901101
2002-02-26,777600100
2002-02-27,777600100
2002-02-28,796297712
2002-03-01,808396098
2002-03-04,819394710
2002-03-05,813895453
2002-03-06,813895453
2002-03-07,811695711
2002-03-08,814995324
2002-03-11,811695711
2002-03-12,807296324
2002-03-13,801137028
2002-03-14,796297712
2002-03-15,783319371
2002-03-18,780459687
2002-03-19,852390449
2002-03-20,883406460
2002-03-21,879886931
2002-03-22,870648132
2002-03-25,879886931
2002-03-26,880106944
2002-03-27,890665530
2002-03-28,868888319
2002-04-01,214397982
2002-04-02,211479117
2002-04-03,209276209
2002-04-04,213847249
2002-04-05,213682024
2002-04-08,216986398
2002-04-09,220786398
2002-04-10,224145830
2002-04-11,223044388
2002-04-12,228992237
2002-04-15,225027013
2002-04-16,229653111
2002-04-17,222438597
2002-04-18,222769022
2002-04-19,226899471
2002-04-22,226018313
2002-04-23,226073396
2002-04-24,226899471
2002-04-25,229212520
2002-04-26,227284979
2002-04-29,228551645
2002-04-30,240667650
2002-05-01,235160369
2002-05-02,237638643
2002-05-03,231250228
2002-05-06,229928478
2002-05-07,231305286
2002-05-08,232406752
2002-05-09,228055995
2002-05-10,222658880
2002-05-13,228551645
2002-05-14,233783560
2002-05-15,236647343
2002-05-16,232241527
2002-05-17,236427059
2002-05-20,235160369
2002-05-21,224751646
2002-05-22,224421197
2002-05-23,227725570
2002-05-24,222273372
2002-05-28,220125523
2002-05-29,219299448
2002-05-30,217426965
2002-05-31,217261765
2002-06-03,213847249
2002-06-04,208229826
2002-06-05,210212450
2002-06-06,204595027
2002-06-07,206467510
2002-06-10,202281978
2002-06-11,200519661
2002-06-12,200464578
2002-06-13,198096470
2002-06-14,197710962
2002-06-17,199142829
2002-06-18,203273302
2002-06-19,199968928
2002-06-20,202116777
2002-06-21,200464578
2002-06-24,200464578
2002-06-25,201566044
2002-06-26,201290678
2002-06-27,206302285
2002-06-28,195452971
2002-07-01,200645128
2002-07-02,194210127
2002-07-03,192065101
2002-07-05,194963766
2002-07-08,192702823
2002-07-09,197688505
2002-07-10,194210127
2002-07-11,191311462
2002-07-12,192760782
2002-07-15,193746332
2002-07-16,191717274
2002-07-17,188412797
2002-07-18,182847377
2002-07-19,185514132
2002-07-22,177223974
2002-07-23,173049915
2002-07-24,175658711
2002-07-25,180818319
2002-07-26,185514132
2002-07-29,199949448
2002-07-30,192297012
2002-07-31,188992535
2002-08-01,194789840
2002-08-02,185804001
2002-08-05,179426958
2002-08-06,191427405
2002-08-07,192702823
2002-08-08,198616071
2002-08-09,201804605
2002-08-12,200007432
2002-08-13,192528897
2002-08-14,192702823
2002-08-15,191311462
2002-08-16,193746332
2002-08-19,197108767
2002-08-20,192992692
2002-08-21,200471227
2002-08-22,198268243
2002-08-23,193630389
2002-08-26,197108767
2002-08-27,192760782
2002-08-28,192181044
2002-08-29,192065101
2002-08-30,191311462
2002-09-03,183774943
2002-09-04,187775100
2002-09-05,184470624
2002-09-06,192470913
2002-09-09,191485389
2002-09-10,195369578
2002-09-11,191601331
2002-09-12,189108478
2002-09-13,187543190
2002-09-16,183485074
2002-09-17,178615335
2002-09-18,171600570
2002-09-19,172470177
2002-09-20,170441119
2002-09-23,164237977
2002-09-24,157107296
2002-09-25,164933658
2002-09-26,169339627
2002-09-27,162035019
2002-09-30,150403574
2002-10-01,155902803
2002-10-02,146829092
2002-10-03,150183612
2002-10-04,143584552
2002-10-07,137095472
2002-10-08,138965217
2002-10-09,129286575
2002-10-10,137480416
2002-10-11,140999920
2002-10-14,138745231
2002-10-15,150568557
2002-10-16,143034624
2002-10-17,147928923
2002-10-18,150953501
2002-10-21,150128610
2002-10-22,136490566
2002-10-23,139295159
2002-10-24,134455838
2002-10-25,134180898
2002-10-28,131926209
2002-10-29,132421134
2002-10-30,130001486
2002-10-31,129726522
2002-11-01,131156320
2002-11-04,133081043
2002-11-05,132806079
2002-11-06,132971062
2002-11-07,128901630
2002-11-08,129781524
2002-11-11,126481982
2002-11-12,129836503
2002-11-13,130221447
2002-11-14,131706247
2002-11-15,129671520
2002-11-18,130496411
2002-11-19,131156320
2002-11-20,135555693
2002-11-21,136215602
2002-11-22,140834937
2002-11-25,139680103
2002-11-26,140779935
2002-11-27,148313868
2002-11-29,147378995
2002-12-02,149248740
2002-12-03,141769809
2002-12-04,141439843
2002-12-05,138415289
2002-12-06,141219882
2002-12-09,137700378
2002-12-10,139790084
2002-12-11,141164903
2002-12-12,138305308
2002-12-13,136490566
2002-12-16,139130175
2002-12-17,137975342
2002-12-18,136215602
2002-12-19,133026040
2002-12-20,137370436
2002-12-23,138470267
2002-12-24,138305308
2002-12-26,137755380
2002-12-27,137480416
2002-12-30,138030344
2002-12-31,153271918
2003-01-02,159583105
2003-01-03,156637884
2003-01-06,158921940
2003-01-07,153332009
2003-01-08,150266579
2003-01-09,153091591
2003-01-10,152250099
2003-01-13,148763923
2003-01-14,148643688
2003-01-15,148463387
2003-01-16,149425088
2003-01-17,147922432
2003-01-21,141250590
2003-01-22,138245252
2003-01-23,139387280
2003-01-24,137043132
2003-01-27,134638867
2003-01-28,137043132
2003-01-29,138305370
2003-01-30,134338330
2003-01-31,137764388
2003-02-03,139267071
2003-02-04,138365461
2003-02-05,134759076
2003-02-06,134218121
2003-02-07,132835648
2003-02-10,120093038
2003-02-11,118410055
2003-02-12,115585044
2003-02-13,116005789
2003-02-14,116606862
2003-02-18,119672292
2003-02-19,117207936
2003-02-20,114683461
2003-02-21,114202597
2003-02-24,114022270
2003-02-25,113421223
2003-02-26,111257376
2003-02-27,107290337
2003-02-28,109213739
2003-03-03,109995139
2003-03-04,112098868
2003-03-05,109033438
2003-03-06,106388728
2003-03-07,108191947
2003-03-10,105967982
2003-03-11,102481806
2003-03-12,102181270
2003-03-13,105847772
2003-03-14,107590874
2003-03-17,111678122
2003-03-18,111678122
2003-03-19,114202597
2003-03-20,113902061
2003-03-21,117809009
2003-03-24,113902061
2003-03-25,115344625
2003-03-26,102962670
2003-03-27,102421688
2003-03-28,103503625
2003-03-31,101048279
2003-04-01,101649405
2003-04-02,101709529
2003-04-03,100867962
2003-04-04,101829749
2003-04-07,103332539
2003-04-08,102190409
2003-04-09,101829749
2003-04-10,102490972
2003-04-11,101829749
2003-04-14,103152196
2003-04-15,104594889
2003-04-16,104534793
2003-04-17,104835330
2003-04-21,104895453
2003-04-22,106999370
2003-04-23,106819027
2003-04-24,105977460
2003-04-25,106037583
2003-04-28,106999370
2003-04-29,108081377
2003-04-30,111808331
2003-05-01,108201624
2003-05-02,114092592
2003-05-05,112409458
2003-05-06,113611685
2003-05-07,114813938
2003-05-08,113010585
2003-05-09,114453252
2003-05-12,116797635
2003-05-13,117218419
2003-05-14,117759422
2003-05-15,120825126
2003-05-16,117819546
2003-05-19,118120083
2003-05-20,115114502
2003-05-21,115114502
2003-05-22,116376852
2003-05-23,115835849
2003-05-27,117639202
2003-05-28,116857732
2003-05-29,118120083
2003-05-30,122628507
2003-06-02,123349827
2003-06-03,121366156
2003-06-04,122327943
2003-06-05,126114994
2003-06-06,128339131
2003-06-09,125754308
2003-06-10,127136904
2003-06-11,132246429
2003-06-12,135252010
2003-06-13,131344739
2003-06-16,137776710
2003-06-17,138798620
2003-06-18,138257617
2003-06-19,138257617
2003-06-20,142104791
2003-06-23,137656490
2003-06-24,138257617
2003-06-25,138317740
2003-06-26,138317740
2003-06-27,134951446
2003-06-30,134071452
2003-07-01,130824880
2003-07-02,133470228
2003-07-03,131967195
2003-07-07,133770840
2003-07-08,135514379
2003-07-09,137798982
2003-07-10,130464135
2003-07-11,113449705
2003-07-14,115734308
2003-07-15,115553962
2003-07-16,117598086
2003-07-17,118439789
2003-07-18,120604179
2003-07-21,117297474
2003-07-22,117297474
2003-07-23,118680294
2003-07-24,119642237
2003-07-25,120664312
2003-07-28,122167346
2003-07-29,124151363
2003-07-30,126676472
2003-07-31,137077545
2003-08-01,134552410
2003-08-04,130764747
2003-08-05,127638414
2003-08-06,127217563
2003-08-07,131365971
2003-08-08,130464135
2003-08-11,130464135
2003-08-12,132568392
2003-08-13,140925315
2003-08-14,143330184
2003-08-15,142248002
2003-08-18,144893350
2003-08-19,145915426
2003-08-20,148861386
2003-08-21,150364446
2003-08-22,146937501
2003-08-25,145494574
2003-08-26,145674947
2003-08-27,143991541
2003-08-28,149582849
2003-08-29,153611018
2003-09-02,147057741
2003-09-03,144292153
2003-09-04,143690929
2003-09-05,144773111
2003-09-08,143690929
2003-09-09,142248002
2003-09-10,615666486
2003-09-11,605312457
2003-09-12,614604534
2003-09-15,601330138
2003-09-16,622038196
2003-09-17,622303684
2003-09-18,630533810
2003-09-19,638498447
2003-09-22,626551491
2003-09-23,627878930
2003-09-24,625224051
2003-09-25,605312457
2003-09-26,563099878
2003-09-29,575577810
2003-09-30,578552769
2003-10-01,600158475
2003-10-02,607893850
2003-10-03,605493217
2003-10-06,605493217
2003-10-07,608960799
2003-10-08,603092583
2003-10-09,618029860
2003-10-10,605226479
2003-10-13,627365659
2003-10-14,637501669
2003-10-15,624431551
2003-10-16,609227536
2003-10-17,594823733
2003-10-20,588422042
2003-10-21,583354037
2003-10-22,578819507
2003-10-23,568416760
2003-10-24,569750445
2003-10-27,577219084
2003-10-28,576152136
2003-10-29,592956573
2003-10-30,597491104
2003-10-31,578819507
2003-11-03,628165870
2003-11-04,634834298
2003-11-05,629499556
2003-11-06,640169040
2003-11-07,633500612
2003-11-10,622564391
2003-11-11,622831128
2003-11-12,635901246
2003-11-13,640169040
2003-11-14,640169040
2003-11-17,646303993
2003-11-18,646837467
2003-11-19,653505895
2003-11-20,658307162
2003-11-21,661508008
2003-11-24,691916037
2003-11-25,720723644
2003-11-26,716189113
2003-11-28,720190170
2003-12-01,746330405
2003-12-02,728459020
2003-12-03,739395241
2003-12-04,739128504
2003-12-05,744196509
2003-12-08,758867049
2003-12-09,751131673
2003-12-10,757266626
2003-12-11,784740548
2003-12-12,794876558
2003-12-15,792475924
2003-12-16,789541816
2003-12-17,793542872
2003-12-18,799144351
2003-12-19,814881840
2003-12-22,807946675
2003-12-23,822883953
2003-12-24,817282474
2003-12-26,820750056
2003-12-29,842622498
2003-12-30,846890292
2003-12-31,832219752
2004-01-02,850091137
2004-01-05,859693673
2004-01-06,853291982
2004-01-07,854892405
2004-01-08,853558720
2004-01-09,852491771
2004-01-12,864228204
2004-01-13,853558720
2004-01-14,868762734
2004-01-15,866895575
2004-01-16,866628837
2004-01-20,880232430
2004-01-21,871963579
2004-01-22,880499167
2004-01-23,889034754
2004-01-26,886100646
2004-01-27,868495997
2004-01-28,847423766
2004-01-29,802878671
2004-01-30,797010454
2004-02-02,788474867
2004-02-03,776204961
2004-02-04,762868106
2004-02-05,789808553
2004-02-06,805279304
2004-02-09,788208130
2004-02-10,784473811
2004-02-11,813548155
2004-02-12,836487545
2004-02-13,829819118
2004-02-17,837021019
2004-02-18,829285643
2004-02-19,804479093
2004-02-20,800744774
2004-02-23,797543929
2004-02-24,803678882
2004-02-25,827418484
2004-02-26,818616159
2004-02-27,826885010
2004-03-01,833286700
2004-03-02,828218695
2004-03-03,828752169
2004-03-04,822883953
2004-03-05,831419540
2004-03-08,820216582
2004-03-09,810614046
2004-03-10,787141182
2004-03-11,765535477
2004-03-12,786340970
2004-03-15,775404749
2004-03-16,771136956
2004-03-17,776204961
2004-03-18,773537590
2004-03-19,764735265
2004-03-22,752198622
2004-03-23,750598199
2004-03-24,735927658
2004-03-25,750331462
2004-03-26,746863880
2004-03-29,785007285
2004-03-30,802078459
2004-03-31,790605602
2004-04-01,801831240
2004-04-02,823213406
2004-04-05,838180922
2004-04-06,834973597
2004-04-07,830697164
2004-04-08,813858708
2004-04-12,829360779
2004-04-13,798891192
2004-04-14,787131000
2004-04-15,791140156
2004-04-16,819204250
2004-04-19,825084345
2004-04-20,805038564
2004-04-21,831498995
2004-04-22,846733789
2004-04-23,829360779
2004-04-26,827222562
2004-04-27,828024393
2004-04-28,813591431
2004-04-29,826688008
2004-04-30,812789600
2004-05-03,835240875
2004-05-04,844595572
2004-05-05,853950270
2004-05-06,842190079
2004-05-07,828558948
2004-05-10,791674710
2004-05-11,811185937
2004-05-12,799960300
2004-05-13,809849552
2004-05-14,806642227
2004-05-17,807711335
2004-05-18,815462371
2004-05-19,816798756
2004-05-20,806642227
2004-05-21,811987769
2004-05-24,822411575
2004-05-25,841922802
2004-05-26,841922802
2004-05-27,844061018
2004-05-28,848604729
2004-06-01,847268343
2004-06-02,862235860
2004-06-03,845130126
2004-06-04,854752101
2004-06-07,880143424
2004-06-08,880945255
2004-06-09,884687134
2004-06-10,883618026
2004-06-14,865977739
2004-06-15,883083472
2004-06-16,887627182
2004-06-17,885221688
2004-06-18,887359905
2004-06-21,878807039
2004-06-22,863572245
2004-06-23,879074316
2004-06-24,880677978
2004-06-25,877470653
2004-06-28,868917787
2004-06-29,883350749
2004-06-30,906325964
2004-07-01,895616056
2004-07-02,884906148
2004-07-06,884370653
2004-07-07,896687047
2004-07-08,888922364
2004-07-09,909538936
2004-07-12,886244887
2004-07-13,895616056
2004-07-14,906325964
2004-07-15,923729565
2004-07-16,926674789
2004-07-19,910342180
2004-07-20,925603798
2004-07-21,918642358
2004-07-22,911948666
2004-07-23,910074432
2004-07-26,907932450
2004-07-27,910074432
2004-07-28,906325964
2004-07-29,909806684
2004-07-30,907932450
2004-08-02,904987225
2004-08-03,882764166
2004-08-04,886244887
2004-08-05,854115163
2004-08-06,809133549
2004-08-09,801904361
2004-08-10,810472287
2004-08-11,831624356
2004-08-12,816094989
2004-08-13,802975352
2004-08-16,834034085
2004-08-17,842066516
2004-08-18,859202369
2004-08-19,844208498
2004-08-20,857595883
2004-08-23,860273360
2004-08-24,864825070
2004-08-25,866967052
2004-08-26,870983268
2004-08-27,863486332
2004-08-30,877944708
2004-08-31,887851373
2004-09-01,899364524
2004-09-02,918106863
2004-09-03,912216413
2004-09-07,934439473
2004-09-08,939794427
2004-09-09,938991183
2004-09-10,939258931
2004-09-13,937384697
2004-09-14,917839115
2004-09-15,925603798
2004-09-16,941133165
2004-09-17,938991183
2004-09-20,937920193
2004-09-21,943810642
2004-09-22,934707220
2004-09-23,925871546
2004-09-24,927745780
2004-09-27,904987225
2004-09-28,923997312
2004-09-29,943275147
2004-09-30,1063589686
2004-10-01,1080986246
2004-10-04,1071988026
2004-10-05,1062389923
2004-10-06,1063289746
2004-10-07,1045893186
2004-10-08,1024897337
2004-10-11,1040194312
2004-10-12,1021298049
2004-10-13,999702319
2004-10-14,994003446
2004-10-15,992803683
2004-10-18,993103624
2004-10-19,989804277
2004-10-20,977806649
2004-10-21,1018598583
2004-10-22,980506115
2004-10-25,1001202023
2004-10-26,1019498405
2004-10-27,1016798939
2004-10-28,1048892592
2004-10-29,1058790635
2004-11-01,1080086424
2004-11-02,1079786484
2004-11-03,1120278477
2004-11-04,1137075155
2004-11-05,1162870055
2004-11-08,1149972605
2004-11-09,1166769284
2004-11-10,1167669106
2004-11-11,1175767504
2004-11-12,1172768097
2004-11-15,1167669106
2004-11-16,1162270173
2004-11-17,1151772249
2004-11-18,1152372130
2004-11-19,1121178299
2004-11-22,1145773435
2004-11-23,1143973791
2004-11-24,1167669106
2004-11-26,1154471715
2004-11-29,1110080493
2004-11-30,1120278477
2004-12-01,1139474681
2004-12-02,1133475867
2004-12-03,1138274918
2004-12-06,1116379248
2004-12-07,1116079307
2004-12-08,1139774622
2004-12-09,1140374503
2004-12-10,1139774622
2004-12-13,1142474088
2004-12-14,1147873020
2004-12-15,1160470529
2004-12-16,1148772842
2004-12-17,1145773435
2004-12-20,1146373317
2004-12-21,1164069817
2004-12-22,1156271359
2004-12-23,1144573673
2004-12-27,1122678002
2004-12-28,1147273139
2004-12-29,1140674444
2004-12-30,1146973198
2004-12-31,2258553395
2005-01-03,2275350074
2005-01-04,2240556954
2005-01-05,2172770358
2005-01-06,2213562292
2005-01-07,2172770358
2005-01-10,2195565850
2005-01-11,2160772730
2005-01-12,2156573561
2005-01-13,2143976052
