,KIM
2002-05-06,3370451640
2002-05-07,3351657300
2002-05-08,3364186860
2002-05-09,3337039480
2002-05-10,3309892100
2002-05-13,3328686440
2002-05-14,3339127740
2002-05-15,3326598180
2002-05-16,3295274280
2002-05-17,3276479940
2002-05-20,3303627320
2002-05-21,3295274280
2002-05-22,3297362540
2002-05-23,3360010340
2002-05-24,3332862960
2002-05-28,3341216000
2002-05-29,3351657300
2002-05-30,3341216000
2002-05-31,3330774700
2002-06-03,3328686440
2002-06-04,3330774700
2002-06-05,3330774700
2002-06-06,3316156880
2002-06-07,3289009500
2002-06-10,3284832980
2002-06-11,3274391680
2002-06-12,3299450800
2002-06-13,3341216000
2002-06-14,3341216000
2002-06-17,3360010340
2002-06-18,3341216000
2002-06-19,3341216000
2002-06-20,3362098600
2002-06-21,3435187700
2002-06-24,3424746399
2002-06-25,3445629000
2002-06-26,3445629000
2002-06-27,3493658980
2002-06-28,3497835500
2002-07-01,3431205558
2002-07-02,3427046520
2002-07-03,3381297113
2002-07-05,3424967002
2002-07-08,3360501928
2002-07-09,3368820002
2002-07-10,3329309150
2002-07-11,3260685039
2002-07-12,3231571780
2002-07-15,3219094668
2002-07-16,3223253706
2002-07-17,3202458520
2002-07-18,3127595854
2002-07-19,3077687409
2002-07-22,3013222335
2002-07-23,2911325928
2002-07-24,2917564483
2002-07-25,2990347631
2002-07-26,3036097039
2002-07-29,3252366965
2002-07-30,3306434446
2002-07-31,3341786261
2002-08-01,3289798298
2002-08-02,3192060928
2002-08-05,3156709113
2002-08-06,3162947668
2002-08-07,3181663335
2002-08-08,3229492261
2002-08-09,3171265743
2002-08-12,3233651298
2002-08-13,3185822372
2002-08-14,3185822372
2002-08-15,3167106705
2002-08-16,3250287446
2002-08-19,3221174187
2002-08-20,3235730817
2002-08-21,3275241669
2002-08-22,3266923594
2002-08-23,3260685039
2002-08-26,3306434446
2002-08-27,3287718780
2002-08-28,3337627224
2002-08-29,3327229632
2002-08-30,3302275409
2002-09-03,3296036854
2002-09-04,3275241669
2002-09-05,3271082631
2002-09-06,3289798298
2002-09-09,3258605520
2002-09-10,3264844076
2002-09-11,3275241669
2002-09-12,3258605520
2002-09-13,3285639261
2002-09-16,3273162150
2002-09-17,3254446483
2002-09-18,3248207928
2002-09-19,3229492261
2002-09-20,3258605520
2002-09-23,3264844076
2002-09-24,3241969372
2002-09-25,3227412743
2002-09-26,3283559743
2002-09-27,3273162150
2002-09-30,3275471748
2002-10-01,3222811431
2002-10-02,3170151113
2002-10-03,3205960129
2002-10-04,3134342097
2002-10-07,3054298415
2002-10-08,3041659938
2002-10-09,3001638097
2002-10-10,3043766351
2002-10-11,3045872764
2002-10-14,3003744510
2002-10-15,3073256129
2002-10-16,3073256129
2002-10-17,3159619050
2002-10-18,3172257526
2002-10-21,3168044700
2002-10-22,3096426669
2002-10-23,3098533081
2002-10-24,3159619050
2002-10-25,3218598605
2002-10-28,3193321653
2002-10-29,3155406224
2002-10-30,3138554923
2002-10-31,3191215240
2002-11-01,3224917843
2002-11-04,3264939685
2002-11-05,3254407621
2002-11-06,3298642288
2002-11-07,3260726859
2002-11-08,3250194796
2002-11-11,3212279367
2002-11-12,3212279367
2002-11-13,3208066542
2002-11-14,3254407621
2002-11-15,3262833272
2002-11-18,3279684573
2002-11-19,3277578161
2002-11-20,3292323050
2002-11-21,3283897399
2002-11-22,3315493589
2002-11-25,3286003812
2002-11-26,3300748700
2002-11-27,3300748700
2002-11-29,3302855113
2002-12-02,3319706415
2002-12-03,3323919240
2002-12-04,3344983367
2002-12-05,3359728256
2002-12-06,3366047494
2002-12-09,3372366732
2002-12-10,3338664129
2002-12-11,3296535875
2002-12-12,3292323050
2002-12-13,3286003812
2002-12-16,3368153907
2002-12-17,3319706415
2002-12-18,3294429462
2002-12-19,3258620446
2002-12-20,3296535875
2002-12-23,3372366732
2002-12-24,3376579558
2002-12-26,3359728256
2002-12-27,3347089780
2002-12-30,3264939685
2002-12-31,3227024256
2003-01-02,3277578161
2003-01-03,3315493589
2003-01-06,3357621843
2003-01-07,3326025653
2003-01-08,3264939685
2003-01-09,3292323050
2003-01-10,3262833272
2003-01-13,3214385780
2003-01-14,3262833272
2003-01-15,3288110224
2003-01-16,3243875558
2003-01-17,3243875558
2003-01-21,3260726859
2003-01-22,3258620446
2003-01-23,3271258923
2003-01-24,3231237081
2003-01-27,3212279367
2003-01-28,3218598605
2003-01-29,3256514034
2003-01-30,3245981970
2003-01-31,3307067939
2003-02-03,3296535875
2003-02-04,3323919240
2003-02-05,3344983367
2003-02-06,3347089780
2003-02-07,3323919240
2003-02-10,3355515431
2003-02-11,3334451304
2003-02-12,3330238478
2003-02-13,3328132066
2003-02-14,3372366732
2003-02-18,3441878351
2003-02-19,3460836066
2003-02-20,3479793780
2003-02-21,3530347685
2003-02-24,3509283558
2003-02-25,3540879748
2003-02-26,3528241272
2003-02-27,3570369526
2003-02-28,3549305399
2003-03-03,3564050288
2003-03-04,3559837462
2003-03-05,3570369526
2003-03-06,3591433653
2003-03-07,3589327240
2003-03-10,3580901590
2003-03-11,3585114415
2003-03-12,3591433653
2003-03-13,3608284955
2003-03-14,3620923431
2003-03-17,3728350479
2003-03-18,3738882542
2003-03-19,3738882542
2003-03-20,3728350479
2003-03-21,3781010796
2003-03-24,3686222225
2003-03-25,3711499177
2003-03-26,3743095367
2003-03-27,3749414606
2003-03-28,3738882542
2003-03-31,3685208854
2003-04-01,3699899322
2003-04-02,3733477535
2003-04-03,3701997961
2003-04-04,3662123833
2003-04-07,3729280259
2003-04-08,3729280259
2003-04-09,3777548940
2003-04-10,3800633961
2003-04-11,3767055748
2003-04-14,3788042131
2003-04-15,3798535323
2003-04-16,3830014897
2003-04-17,3819521706
2003-04-21,3823718982
2003-04-22,3871987663
