,MMC
2002-01-22,28567240000
2002-01-23,28063080000
2002-01-24,28030200000
2002-01-25,28085000000
2002-01-28,27805520000
2002-01-29,26715000000
2002-01-30,26989000000
2002-01-31,27904160000
2002-02-01,27827440000
2002-02-04,27317800000
2002-02-05,27443840000
2002-02-06,27553440000
2002-02-07,27904160000
2002-02-08,28687800000
2002-02-11,28567240000
2002-02-12,28342560000
2002-02-13,29318000000
2002-02-14,29323480000
2002-02-15,28890560000
2002-02-19,28457640000
2002-02-20,29164560000
2002-02-21,28775480000
2002-02-22,28364480000
2002-02-25,29224840000
2002-02-26,29471440000
2002-02-27,29663240000
2002-02-28,28923440000
2002-03-01,29153600000
2002-03-04,29844080000
2002-03-05,30003000000
2002-03-06,30249600000
2002-03-07,29783800000
2002-03-08,29778320000
2002-03-11,29487880000
2002-03-12,29772840000
2002-03-13,29685160000
2002-03-14,30035880000
2002-03-15,30649640000
2002-03-18,30370160000
2002-03-19,30956520000
2002-03-20,30496200000
2002-03-21,30693480000
2002-03-22,30868840000
2002-03-25,30260560000
2002-03-26,30545520000
2002-03-27,30890760000
2002-03-28,30890760000
2002-04-01,30678050000
2002-04-02,30863350000
2002-04-03,30748900000
2002-04-04,30863350000
2002-04-05,30917850000
2002-04-08,30520000000
2002-04-09,30509100000
2002-04-10,30983250000
2002-04-11,30476400000
2002-04-12,30787050000
2002-04-15,29795150000
2002-04-16,30449150000
2002-04-17,30541800000
2002-04-18,30607200000
2002-04-19,30699850000
2002-04-22,30291100000
2002-04-23,29015800000
2002-04-24,28361800000
2002-04-25,28029350000
2002-04-26,27729600000
2002-04-29,27141000000
2002-04-30,27544300000
2002-05-01,27195500000
2002-05-02,27266350000
2002-05-03,26705000000
2002-05-06,26977500000
2002-05-07,26546950000
2002-05-08,27631500000
2002-05-09,27386250000
2002-05-10,27141000000
2002-05-13,27549750000
2002-05-14,27996650000
2002-05-15,27658750000
2002-05-16,28367250000
2002-05-17,28171050000
2002-05-20,27811350000
2002-05-21,27729600000
2002-05-22,28034800000
2002-05-23,28334550000
2002-05-24,28089300000
2002-05-28,27675100000
2002-05-29,27865850000
2002-05-30,27184600000
2002-05-31,27495250000
2002-06-03,26841250000
2002-06-04,26824900000
2002-06-05,27130100000
2002-06-06,26683200000
2002-06-07,26252650000
2002-06-10,26487000000
2002-06-11,25833000000
2002-06-12,25522350000
2002-06-13,25086350000
2002-06-14,25222600000
2002-06-17,26230850000
2002-06-18,26432500000
2002-06-19,26296250000
2002-06-20,26176350000
2002-06-21,26094600000
2002-06-24,25991050000
2002-06-25,25440600000
2002-06-26,25674950000
2002-06-27,25958350000
2002-06-28,26323500000
2002-07-01,25214550000
2002-07-02,24877500000
2002-07-03,24963100000
2002-07-05,25583700000
2002-07-08,25578350000
2002-07-09,24872150000
2002-07-10,22946150000
2002-07-11,23507900000
2002-07-12,23641650000
2002-07-15,23304600000
2002-07-16,22587700000
2002-07-17,22732150000
2002-07-18,21614000000
2002-07-19,21474900000
2002-07-22,20811500000
2002-07-23,20918500000
2002-07-24,22550250000
2002-07-25,23513250000
2002-07-26,23844950000
2002-07-29,24877500000
2002-07-30,24931000000
2002-07-31,25626500000
2002-08-01,24358550000
2002-08-02,23994750000
2002-08-05,23593500000
2002-08-06,24075000000
2002-08-07,23994750000
2002-08-08,25038000000
2002-08-09,24914950000
2002-08-12,24626050000
2002-08-13,24048250000
2002-08-14,25289450000
2002-08-15,26065200000
2002-08-16,25845850000
2002-08-19,26081250000
2002-08-20,25829800000
2002-08-21,25760250000
2002-08-22,26049150000
2002-08-23,25476700000
2002-08-26,25610450000
2002-08-27,25246650000
2002-08-28,25412500000
2002-08-29,26054500000
2002-08-30,26027750000
2002-09-03,24615350000
2002-09-04,24957750000
2002-09-05,24080350000
2002-09-06,24663500000
2002-09-09,24877500000
2002-09-10,25252000000
2002-09-11,25214550000
2002-09-12,24470900000
2002-09-13,24904250000
2002-09-16,25038000000
2002-09-17,24679550000
2002-09-18,24476250000
2002-09-19,22951500000
2002-09-20,22769600000
2002-09-23,22791000000
2002-09-24,22320200000
2002-09-25,22694700000
2002-09-26,23336700000
2002-09-27,22651900000
2002-09-30,22319040000
2002-10-01,23064080000
2002-10-02,21359600000
2002-10-03,20721760000
2002-10-04,19044080000
2002-10-07,19912400000
2002-10-08,21289920000
2002-10-09,20298320000
2002-10-10,21547200000
2002-10-11,22967600000
2002-10-14,23514320000
2002-10-15,25277760000
2002-10-16,24548800000
2002-10-17,25406400000
2002-10-18,25379600000
2002-10-21,25953120000
2002-10-22,25443920000
2002-10-23,25465360000
2002-10-24,24511280000
2002-10-25,24918640000
2002-10-28,25331360000
2002-10-29,24972240000
2002-10-30,25299200000
2002-10-31,25036560000
2002-11-01,25728000000
2002-11-04,25990640000
2002-11-05,26505200000
2002-11-06,26719600000
2002-11-07,26017440000
2002-11-08,26183600000
2002-11-11,25245600000
2002-11-12,25395680000
2002-11-13,25460000000
2002-11-14,25701200000
2002-11-15,25529680000
2002-11-18,25041920000
2002-11-19,25181280000
2002-11-20,25138400000
2002-11-21,25438560000
2002-11-22,25293840000
2002-11-25,24891840000
2002-11-26,24329040000
