,ETR
2001-11-20,8304902675
2001-11-21,8170061296
2001-11-23,8167850781
2001-11-26,8156798209
2001-11-27,8178903354
2001-11-28,8079430205
2001-11-29,8108166892
2001-11-30,8156798209
2001-12-03,8245218786
2001-12-04,8444165084
2001-12-05,8464059714
2001-12-06,8457428170
2001-12-07,8554690805
2001-12-10,8506059488
2001-12-11,8309323704
2001-12-12,8245218786
2001-12-13,8411007368
2001-12-14,8377849651
2001-12-17,8178903354
2001-12-18,8333639363
2001-12-19,8495006916
2001-12-20,8428691483
2001-12-21,8355744507
2001-12-24,8419849425
2001-12-26,8514901545
2001-12-27,8609953665
2001-12-28,8598901093
2001-12-31,8680208368
2002-01-02,8833349349
2002-01-03,8744571969
2002-01-04,8724597058
2002-01-07,8724597058
2002-01-08,8737913665
2002-01-09,8862201998
2002-01-10,9121875836
2002-01-11,9099681491
2002-01-14,9179581133
2002-01-15,9243944734
2002-01-16,9283894555
2002-01-17,9257261341
2002-01-18,9310527769
2002-01-22,9010904110
2002-01-23,9037537324
2002-01-24,8984270896
2002-01-25,8977612592
2002-01-28,8888835212
2002-01-29,8837788218
2002-01-30,8848885391
2002-01-31,9139631312
2002-02-01,9157386788
2002-02-04,9170703395
2002-02-05,9184020002
2002-02-06,9170703395
2002-02-07,9299430596
2002-02-08,9259480775
2002-02-11,9252822472
2002-02-12,9093023187
2002-02-13,9148509050
2002-02-14,9119656401
2002-02-15,9033098455
2002-02-19,9044195628
2002-02-20,9010904110
2002-02-21,8942101640
2002-02-22,9055292800
2002-02-25,8988709765
2002-02-26,9035317890
2002-02-27,9177361698
2002-02-28,9161825657
2002-03-01,9210653216
2002-03-04,9417060625
2002-03-05,9465888185
2002-03-06,9614590297
2002-03-07,9521374047
2002-03-08,9592395952
2002-03-11,9574640476
2002-03-12,9485863095
2002-03-13,9399305149
2002-03-14,9310527769
2002-03-15,9306088900
2002-03-18,9215092085
2002-03-19,9206214347
2002-03-20,9230628127
2002-03-21,9432596667
2002-03-22,9519154613
2002-03-25,9576859910
2002-03-26,9550226696
2002-03-27,9545787827
2002-03-28,9634565207
2002-04-01,9749410222
2002-04-02,9857088936
2002-04-03,9859332243
2002-04-04,9859332243
2002-04-05,9794276353
2002-04-08,9937847972
2002-04-09,9809979499
2002-04-10,10002903861
2002-04-11,9982714103
2002-04-12,9993930635
2002-04-15,9897468454
2002-04-16,10014120394
2002-04-17,10072446364
2002-04-18,10141988867
2002-04-19,10186854998
2002-04-22,10299020325
2002-04-23,10355102988
2002-04-24,10420158878
2002-04-25,10303506938
2002-04-26,10229477822
2002-04-29,10341643149
2002-04-30,10408942345
2002-05-01,10296777018
2002-05-02,10476241541
2002-05-03,10453808476
2002-05-06,10453808476
2002-05-07,10339399842
2002-05-08,10247424274
2002-05-09,10202558143
2002-05-10,10144232173
2002-05-13,10207044757
2002-05-14,10227234515
2002-05-15,10159935319
2002-05-16,9993930635
2002-05-17,9951307811
2002-05-20,10083662897
2002-05-21,10076932977
2002-05-22,10274343953
2002-05-23,10251910887
2002-05-24,10334913229
2002-05-28,10339399842
2002-05-29,10159935319
2002-05-30,9960281037
2002-05-31,9866062162
2002-06-03,9655191348
2002-06-04,9670894493
2002-06-05,9581162232
2002-06-06,9399454402
2002-06-07,9498159890
2002-06-10,9583405538
2002-06-11,9455537066
2002-06-12,9433104000
2002-06-13,9446563839
2002-06-14,9332155206
2002-06-17,9500403196
2002-06-18,9693327559
2002-06-19,9601351991
2002-06-20,9646218122
2002-06-21,9758383449
2002-06-24,9563215780
2002-06-25,9464510292
2002-06-26,9365804804
2002-06-27,9338885126
2002-06-28,9520592955
2002-07-01,9407192580
2002-07-02,9340078245
2002-07-03,9306521078
2002-07-05,9391532569
2002-07-08,9398244002
2002-07-09,9228221021
2002-07-10,8673409187
2002-07-11,8847906457
2002-07-12,8592871986
2002-07-15,8803163568
2002-07-16,8561551963
2002-07-17,8608531997
2002-07-18,8389291837
2002-07-19,8187948833
2002-07-22,8143205943
2002-07-23,7422845417
2002-07-24,8040297297
2002-07-25,8255063168
2002-07-26,8176763110
2002-07-29,8255063168
2002-07-30,8908309359
2002-07-31,9067146617
2002-08-01,8948577960
2002-08-02,8843432168
2002-08-05,9008980861
2002-08-06,9266252477
2002-08-07,9326655378
2002-08-08,9447461181
2002-08-09,9183478131
2002-08-12,9438512603
2002-08-13,9208086720
2002-08-14,9675649919
2002-08-15,9554844116
2002-08-16,9389295424
2002-08-19,9552606972
2002-08-20,9583926995
2002-08-21,9937395824
2002-08-22,9747238542
2002-08-23,9740527109
2002-08-26,9948581547
2002-08-27,9671175630
2002-08-28,9615247018
2002-08-29,9396006858
2002-08-30,9438512603
2002-09-03,9302046789
2002-09-04,9279675344
2002-09-05,9170055264
2002-09-06,9123075230
2002-09-09,9161106686
2002-09-10,8948577960
2002-09-11,8982135127
2002-09-12,8874752191
2002-09-13,9149920964
2002-09-16,9140972386
2002-09-17,8778554978
2002-09-18,9020166583
2002-09-19,8984372271
2002-09-20,8919495081
2002-09-23,8789740701
2002-09-24,8501149062
2002-09-25,8671172043
2002-09-26,9093992351
2002-09-27,9085043773
2002-09-30,9242759094
2002-10-01,9487158974
2002-10-02,9467162620
2002-10-03,9318300875
2002-10-04,8853941103
2002-10-07,9573809840
