,HPE
2018-02-06,24412960000
2018-02-07,24149120000
2018-02-08,23342080000
2018-02-09,23745600000
2018-02-12,24444000000
2018-02-13,24009440000
2018-02-14,25064799999
2018-02-15,25375200000
2018-02-16,25437280000
2018-02-20,25639040000
2018-02-21,25220000000
2018-02-22,25468320000
2018-02-23,28153280000
2018-02-26,28789600000
2018-02-27,29208640000
2018-02-28,28851680000
2018-03-01,28556799999
2018-03-02,29146560000
2018-03-05,29456960000
2018-03-06,30124320000
2018-03-07,29720799999
2018-03-08,29410400000
2018-03-09,29736320000
2018-03-12,29596640000
2018-03-13,29301760000
2018-03-14,29255200000
2018-03-15,29224159999
2018-03-16,29162080000
2018-03-19,29022400000
2018-03-20,29146560000
2018-03-21,29037920000
2018-03-22,28432640000
2018-03-23,27361760000
2018-03-26,27920479999
2018-03-27,27253119999
2018-03-28,27408320000
2018-03-29,27222080000
2018-04-02,26570240000
2018-04-03,26601280000
2018-04-04,26772000000
2018-04-05,26694400000
2018-04-06,25918400000
2018-04-09,26089119999
2018-04-10,26772000000
2018-04-11,26756479999
2018-04-12,27020320000
2018-04-13,27004799999
2018-04-16,27253119999
2018-04-17,27548000000
2018-04-18,27439360000
2018-04-19,27020320000
2018-04-20,26834080000
2018-04-23,27035840000
2018-04-24,26942720000
2018-04-25,26865119999
2018-04-26,26989280000
2018-04-27,26927200000
2018-04-30,25796650000
2018-05-01,25993340000
2018-05-02,25902560000
2018-05-03,25569699999
2018-05-04,26038730000
2018-05-07,26174900000
2018-05-08,26311070000
2018-05-09,26628800000
2018-05-10,26704449999
2018-05-11,26734710000
2018-05-14,26613670000
2018-05-15,26326199999
2018-05-16,26674190000
2018-05-17,26734710000
2018-05-18,26568279999
2018-05-21,26492630000
2018-05-22,26341330000
2018-05-23,23572540000
2018-05-24,23844880000
2018-05-25,23481760000
2018-05-29,23269940000
2018-05-30,23557410000
2018-05-31,23058120000
2018-06-01,23496890000
2018-06-04,23512020000
2018-06-05,24298779999
2018-06-06,24238260000
2018-06-07,24086960000
2018-06-08,24223130000
2018-06-11,24238260000
2018-06-12,23890270000
2018-06-13,23890270000
2018-06-14,23935660000
2018-06-15,24132350000
2018-06-18,24071830000
2018-06-19,24056700000
