,X
2001-11-14,1364219670
2001-11-15,1359758520
2001-11-16,1367788590
2001-11-19,1351728450
2001-11-20,1427568000
2001-11-21,1481101800
2001-11-23,1531958910
2001-11-26,1499838630
2001-11-27,1523928839
2001-11-28,1489131870
2001-11-29,1474856190
2001-11-30,1506976470
2001-12-03,1441843680
2001-12-04,1512329850
2001-12-05,1629211980
2001-12-06,1625643060
2001-12-07,1630104210
2001-12-10,1604229540
2001-12-11,1603337310
2001-12-12,1602445080
2001-12-13,1526605530
2001-12-14,1467718350
2001-12-17,1460580510
2001-12-18,1476640650
2001-12-19,1472179500
2001-12-20,1467718350
2001-12-21,1488239640
2001-12-24,1544450130
2001-12-26,1542665670
2001-12-27,1575678180
2001-12-28,1602445080
2001-12-31,1622094590
2002-01-02,1567457500
2002-01-03,1623885970
2002-01-04,1652548050
2002-01-07,1648069599
2002-01-08,1648965290
2002-01-09,1629260110
2002-01-10,1617616140
2002-01-11,1627468730
2002-01-14,1606867860
2002-01-15,1589849750
2002-01-16,1585371300
2002-01-17,1640008390
2002-01-18,1637321320
2002-01-22,1576414400
2002-01-23,1625677349
2002-01-24,1620303210
2002-01-25,1664192019
2002-01-28,1749282570
2002-01-29,1721516180
2002-01-30,1747491190
2002-01-31,1789588620
2002-02-01,1751073950
2002-02-04,1661504950
2002-02-05,1664192019
2002-02-06,1645382530
2002-02-07,1602389410
2002-02-08,1603285099
2002-02-11,1683897200
2002-02-12,1649860980
2002-02-13,1717037730
2002-02-14,1614929070
2002-02-15,1667774780
2002-02-19,1581788540
2002-02-20,1633738559
2002-02-21,1613137690
2002-02-22,1609554930
2002-02-25,1643591150
2002-02-26,1633738559
2002-02-27,1656130809
2002-02-28,1587162680
2002-03-01,1532525590
2002-03-04,1589849750
2002-03-05,1564770430
2002-03-06,1589849750
2002-03-07,1612242000
2002-03-08,1590745440
2002-03-11,1606867860
2002-03-12,1579997160
2002-03-13,1504759200
2002-03-14,1523568690
2002-03-15,1521777309
2002-03-18,1491323849
2002-03-19,1522673000
2002-03-20,1521777309
2002-03-21,1512820410
2002-03-22,1507446269
2002-03-25,1477888500
2002-03-26,1522673000
2002-03-27,1634634250
2002-03-28,1625677349
2002-04-01,1717276500
2002-04-02,1732583700
2002-04-03,1700055900
2002-04-04,1735453800
2002-04-05,1777548599
2002-04-08,1745977500
2002-04-09,1727800199
2002-04-10,1808162999
2002-04-11,1809119700
2002-04-12,1789029000
2002-04-15,1725886800
2002-04-16,1766068200
2002-04-17,1777548599
2002-04-18,1784245499
2002-04-19,1778505300
2002-04-22,1723016700
2002-04-23,1746934200
2002-04-24,1691445600
2002-04-25,1699099200
2002-04-26,1708666200
2002-04-29,1647437400
2002-04-30,1725886800
2002-05-01,1717276500
2002-05-02,1775635199
2002-05-03,1754587800
2002-05-06,1768938299
2002-05-07,1759371300
2002-05-08,1851214500
2002-05-09,1815816600
2002-05-10,1808162999
2002-05-13,1788072300
2002-05-14,1810076400
2002-05-15,1841647500
2002-05-16,1858868100
2002-05-17,1935404100
2002-05-20,1912443299
2002-05-21,1899049500
2002-05-22,1938274200
2002-05-23,1989936000
2002-05-24,1988979300
2002-05-28,1944014400
2002-05-29,1969845300
2002-05-30,1966975199
2002-05-31,1965061800
2002-06-03,1998546300
2002-06-04,2001416400
2002-06-05,2076995700
2002-06-06,2033944200
2002-06-07,2008113299
2002-06-10,2031074100
2002-06-11,1894266000
2002-06-12,1918183500
2002-06-13,1905746400
2002-06-14,1903832999
2002-06-17,1889482500
2002-06-18,1921053599
2002-06-19,1891395900
2002-06-20,1914356700
2002-06-21,1899049500
2002-06-24,1907659800
2002-06-25,1879915499
2002-06-26,1863651600
2002-06-27,1868435100
2002-06-28,1902876300
2002-07-01,2009980720
2002-07-02,1997749600
2002-07-03,1962075500
2002-07-05,1985518480
2002-07-08,1981441440
2002-07-09,1992653300
2002-07-10,1944748079
2002-07-11,1938632520
2002-07-12,1872380620
2002-07-15,1835687260
2002-07-16,1776570180
2002-07-17,1812244280
2002-07-18,1738857559
2002-07-19,1635912300
2002-07-22,1558448540
2002-07-23,1533986300
2002-07-24,1590045600
2002-07-25,1656297500
2002-07-26,1630816000
2002-07-29,1748030899
2002-07-30,1691971600
2002-07-31,1697067899
2002-08-01,1726626440
2002-08-02,1613488580
2002-08-05,1548255940
2002-08-06,1557429280
2002-08-07,1488119600
2002-08-08,1584949300
2002-08-09,1594122640
2002-08-12,1578833740
2002-08-13,1531947780
2002-08-14,1458561060
2002-08-15,1507485540
2002-08-16,1485061820
2002-08-19,1492196640
2002-08-20,1508504800
2002-08-21,1530928520
2002-08-22,1477927000
2002-08-23,1416771400
2002-08-26,1426964000
2002-08-27,1421867700
2002-08-28,1369885440
2002-08-29,1368866180
2002-08-30,1399443980
2002-09-03,1319941700
2002-09-04,1338288380
2002-09-05,1289363900
2002-09-06,1330134300
2002-09-09,1354596540
2002-09-10,1373962480
2002-09-11,1394347680
2002-09-12,1363769880
2002-09-13,1354596540
2002-09-16,1335230600
2002-09-17,1297517980
2002-09-18,1227189040
2002-09-19,1212919400
2002-09-20,1224131260
2002-09-23,1113031920
2002-09-24,1172149000
2002-09-25,1205784580
2002-09-26,1241458680
2002-09-27,1228208300
2002-09-30,1188898830
2002-10-01,1243172420
2002-10-02,1228836000
2002-10-03,1251364660
2002-10-04,1226787940
2002-10-07,1181730620
2002-10-08,1190946890
2002-10-09,1138721360
2002-10-10,1176610470
2002-10-11,1213475550
2002-10-14,1200163160
2002-10-15,1269797200
2002-10-16,1251364660
2002-10-17,1240100330
2002-10-18,1313830490
2002-10-21,1314854520
2002-10-22,1273893320
2002-10-23,1318950640
2002-10-24,1297446010
2002-10-25,1269797200
2002-10-28,1263653020
2002-10-29,1229860030
2002-10-30,1303590190
2002-10-31,1315878550
2002-11-01,1314854520
2002-11-04,1331239000
2002-11-05,1308710340
2002-11-06,1365031990
2002-11-07,1355815720
2002-11-08,1328166910
2002-11-11,1264677050
2002-11-12,1258532870
2002-11-13,1237028240
2002-11-14,1285157650
2002-11-15,1322022730
2002-11-18,1303590190
2002-11-19,1286181680
2002-11-20,1288229740
2002-11-21,1371176170
2002-11-22,1336359150
2002-11-25,1358887810
2002-11-26,1420329610
2002-11-27,1454122600
2002-11-29,1482795440
2002-12-02,1493035740
2002-12-03,1455146630
2002-12-04,1446954390
2002-12-05,1400873040
2002-12-06,1413161400
2002-12-09,1369128110
2002-12-10,1394728860
2002-12-11,1365031990
2002-12-12,1380392440
2002-12-13,1341479300
2002-12-16,1356839750
2002-12-17,1361959900
2002-12-18,1327142880
2002-12-19,1329190940
2002-12-20,1346599450
2002-12-23,1340455270
2002-12-24,1327142880
2002-12-26,1329190940
2002-12-27,1330214970
2002-12-30,1338407210
2002-12-31,1347830720
2003-01-02,1402278150
2003-01-03,1400223530
2003-01-06,1422824350
2003-01-07,1421797040
2003-01-08,1333448380
2003-01-09,1407414700
2003-01-10,1510145700
2003-01-13,1576920850
2003-01-14,1698143430
2003-01-15,1742317760
2003-01-16,1773137060
2003-01-17,1764918580
2003-01-21,1734099280
2003-01-22,1678624540
2003-01-23,1640614070
2003-01-24,1594385120
2003-01-27,1555347340
2003-01-28,1556374650
2003-01-29,1531719210
2003-01-30,1507063770
2003-01-31,1474189850
2003-02-03,1461862130
2003-02-04,1340639550
2003-02-05,1252290890
2003-02-06,1258454750
2003-02-07,1248181650
2003-02-10,1249208960
2003-02-11,1286192120
2003-02-12,1262563990
2003-02-13,1247154340
2003-02-14,1271809780
2003-02-18,1304683700
2003-02-19,1279000950
2003-02-20,1233799310
2003-02-21,1270782470
2003-02-24,1244072410
2003-02-25,1232772000
2003-02-26,1194761530
2003-02-27,1213253110
2003-02-28,1193734220
2003-03-03,1201952700
2003-03-04,1201952700
2003-03-05,1208116560
2003-03-06,1167024160
2003-03-07,1165996850
2003-03-10,1143396030
2003-03-11,1086893980
2003-03-12,1060183920
2003-03-13,1077648190
2003-03-14,1036555790
2003-03-17,1091003220
2003-03-18,1113604040
2003-03-19,1091003220
2003-03-20,1088948600
2003-03-21,1141341410
2003-03-24,1065320469
2003-03-25,1089975910
2003-03-26,1032446550
2003-03-27,1037583100
2003-03-28,1037583100
2003-03-31,1014731240
2003-04-01,1037441400
2003-04-02,1080797160
2003-04-03,1064280680
2003-04-04,1068409800
2003-04-07,1107636440
2003-04-08,1156153600
2003-04-09,1205703040
2003-04-10,1187122000
2003-04-11,1194347960
2003-04-14,1221187240
2003-04-15,1220154960
2003-04-16,1236671440
2003-04-17,1252155640
2003-04-21,1348157680
2003-04-22,1367771000
2003-04-23,1417320440
2003-04-24,1419385000
2003-04-25,1404933080
2003-04-28,1404933080
2003-04-29,1476160400
2003-04-30,1478224960
2003-05-01,1434869200
2003-05-02,1507128800
2003-05-05,1460676200
2003-05-06,1476160400
2003-05-07,1461708480
2003-05-08,1459643920
2003-05-09,1476160400
2003-05-12,1474095840
2003-05-13,1478224960
2003-05-14,1470999000
2003-05-15,1556678240
2003-05-16,1592808040
2003-05-19,1560807360
2003-05-20,1564936480
2003-05-21,1562871920
2003-05-22,1564936480
2003-05-23,1581452960
2003-05-27,1609324520
2003-05-28,1590743480
2003-05-29,1605195400
2003-05-30,1625841000
2003-06-02,1701197440
2003-06-03,1651648000
2003-06-04,1700165160
2003-06-05,1695003760
2003-06-06,1685713239
2003-06-09,1671261320
2003-06-10,1698100600
2003-06-11,1723907600
2003-06-12,1738359520
2003-06-13,1717713920
2003-06-16,1757972840
2003-06-17,1841587520
2003-06-18,1795134920
2003-06-19,1786876679
2003-06-20,1739391800
2003-06-23,1704294280
2003-06-24,1717713920
2003-06-25,1696036040
2003-06-26,1734230400
2003-06-27,1696036040
2003-06-30,1691364770
2003-07-01,1614907230
2003-07-02,1661401679
2003-07-03,1612840810
2003-07-07,1632471800
2003-07-08,1654169210
2003-07-09,1657268840
2003-07-10,1625239330
2003-07-11,1628338960
2003-07-14,1650036370
2003-07-15,1624206120
2003-07-16,1654169210
2003-07-17,1647969950
2003-07-18,1712028970
2003-07-21,1629372170
2003-07-22,1683099090
2003-07-23,1637637850
2003-07-24,1620073280
2003-07-25,1594243030
2003-07-28,1587010560
2003-07-29,1590110190
2003-07-30,1591143400
2003-07-31,1628338960
2003-08-01,1609741180
2003-08-04,1685165509
2003-08-05,1676899830
2003-08-06,1613874020
2003-08-07,1646936740
2003-08-08,1691364770
2003-08-11,1717195020
2003-08-12,1766789100
2003-08-13,1727527120
2003-08-14,1779187620
2003-08-15,1740958850
2003-08-18,1769888730
2003-08-19,1777121200
2003-08-20,1797785399
2003-08-21,1809150710
2003-08-22,1771955149
2003-08-25,1793652560
2003-08-26,1800885030
2003-08-27,1842213429
2003-08-28,1860811210
2003-08-29,1902139610
2003-09-02,1901106399
2003-09-03,1896973560
2003-09-04,1922803810
2003-09-05,1902139610
2003-09-08,1946567640
2003-09-09,1948634060
2003-09-10,1898006770
2003-09-11,1907305660
2003-09-12,2016825920
2003-09-15,1983763200
2003-09-16,2027158020
2003-09-17,1969298259
2003-09-18,1990995670
2003-09-19,2025091600
2003-09-22,1970331470
2003-09-23,2019925550
2003-09-24,2067453210
2003-09-25,1949667270
2003-09-26,1943468009
2003-09-29,1938301960
2003-09-30,1960282140
2003-10-01,2002943340
2003-10-02,2059469429
2003-10-03,2090398800
2003-10-06,2071201260
2003-10-07,2070134730
2003-10-08,2068001670
2003-10-09,2096797980
2003-10-10,2080800030
2003-10-13,2108529810
2003-10-14,2203450980
2003-10-15,2182120380
2003-10-16,2173588140
2003-10-17,2150124480
2003-10-20,2187453030
2003-10-21,2223715050
2003-10-22,2162922840
2003-10-23,2135193060
2003-10-24,2137326120
2003-10-27,2222648520
2003-10-28,2349565590
2003-10-29,2319702750
2003-10-30,2508478560
2003-10-31,2522343450
2003-11-03,2533008750
2003-11-04,2572470360
2003-11-05,2560738530
2003-11-06,2602333200
2003-11-07,2602333200
2003-11-10,2504212440
2003-11-11,2527676100
2003-11-12,2485014900
2003-11-13,2519143860
2003-11-14,2481815310
2003-11-17,2435954520
2003-11-18,2421023100
2003-11-19,2414623920
2003-11-20,2406091680
2003-11-21,2442353700
2003-11-24,2474349600
2003-11-25,2555405880
2003-11-26,2623663800
2003-11-28,2650327050
2003-12-01,2759113110
2003-12-02,2771911470
2003-12-03,2746314750
2003-12-04,2786842890
2003-12-05,2786842890
2003-12-08,2976685230
2003-12-09,3033211320
2003-12-10,3010814190
2003-12-11,3203856120
2003-12-12,3244384260
2003-12-15,3332906250
2003-12-16,3274247100
2003-12-17,3391565400
2003-12-18,3536613479
2003-12-19,3553677960
2003-12-22,3668863200
2003-12-23,3654998310
2003-12-24,3677395439
2003-12-26,3809645160
2003-12-29,3928029990
2003-12-30,3786181500
2003-12-31,3734988060
2004-01-02,3788314560
2004-01-05,3944027939
2004-01-06,3871503899
2004-01-07,3786181500
2004-01-08,3809645160
2004-01-09,3741387240
2004-01-12,3711524399
2004-01-13,3707258280
2004-01-14,3644333010
2004-01-15,3625135470
2004-01-16,3589939979
2004-01-20,3747786420
2004-01-21,3905632859
2004-01-22,3907765920
2004-01-23,3801112920
2004-01-26,3764850899
2004-01-27,3742453770
2004-01-28,3549411840
2004-01-29,3488619630
2004-01-30,3631534649
2004-02-02,3495018810
2004-02-03,3491819220
2004-02-04,3356369910
2004-02-05,3399031110
2004-02-06,3571808970
2004-02-09,3577141620
2004-02-10,3614470170
2004-02-11,3801112920
2004-02-12,3849106770
2004-02-13,3812844750
2004-02-17,3883235729
2004-02-18,3832042290
2004-02-19,3808578630
2004-02-20,3738187649
2004-02-23,3712590930
2004-02-24,3727522350
2004-02-25,3676328910
2004-02-26,3798979859
2004-02-27,3919497750
2004-03-01,4176531479
2004-03-02,4217059620
2004-03-03,4136003340
2004-03-04,4120005390
2004-03-05,4052814000
2004-03-08,3915231630
2004-03-09,3838441470
2004-03-10,3733921530
2004-03-11,3732855000
2004-03-12,3707258280
2004-03-15,3627268530
2004-03-16,3608070990
2004-03-17,3701925630
2004-03-18,3662464020
2004-03-19,3884302260
2004-03-22,3776582729
2004-03-23,3787248030
2004-03-24,3676328910
2004-03-25,3716857050
2004-03-26,3860838600
2004-03-29,3938695290
2004-03-30,4036816050
2004-03-31,4223883640
2004-04-01,4196683960
2004-04-02,4387081720
2004-04-05,4385948400
2004-04-06,4459614200
2004-04-07,4451680960
2004-04-08,4418814680
2004-04-12,4498147080
2004-04-13,4239750119
2004-04-14,4112818280
2004-04-15,4118484880
2004-04-16,4170617599
2004-04-19,4129818079
2004-04-20,3947353560
2004-04-21,3886154280
2004-04-22,4058418920
2004-04-23,3974553240
2004-04-26,4023286000
2004-04-27,3783022160
2004-04-28,3463425920
2004-04-29,3337627400
2004-04-30,3244695160
2004-05-03,3155162880
2004-05-04,3317227640
2004-05-05,3322894240
2004-05-06,3201629000
2004-05-07,2959098520
2004-05-10,2981764920
2004-05-11,3059964000
2004-05-12,3039564240
2004-05-13,3059964000
2004-05-14,3007831280
2004-05-17,2921698960
2004-05-18,3195962400
2004-05-19,3190295800
2004-05-20,3151762920
2004-05-21,3207295600
2004-05-24,3301361160
2004-05-25,3438492880
2004-05-26,3394293400
2004-05-27,3477025760
2004-05-28,3440759520
2004-06-01,3478159080
2004-06-02,3377293600
2004-06-03,3309294400
2004-06-04,3335360760
2004-06-07,3419226440
2004-06-08,3409026560
2004-06-09,3284361360
2004-06-10,3364827080
2004-06-14,3275294800
2004-06-15,3438492880
2004-06-16,3454359360
