,TGT
2002-09-09,31797500000
2002-09-10,32315345000
2002-09-11,32796850000
2002-09-12,32106390000
2002-09-13,32905870000
2002-09-16,33523650000
2002-09-17,32469790000
2002-09-18,32678745000
2002-09-19,31415930000
2002-09-20,30580109999
2002-09-23,29035660000
2002-09-24,29053830000
2002-09-25,29544420000
2002-09-26,30988935000
2002-09-27,28990235000
2002-09-30,26818920000
2002-10-01,27255000000
2002-10-02,26528200000
2002-10-03,26046695000
2002-10-04,25755975000
2002-10-07,23757275000
2002-10-08,25628785000
2002-10-09,24302375000
2002-10-10,25283555000
2002-10-11,27145980000
2002-10-14,27291340000
2002-10-15,29153765000
2002-10-16,28009055000
2002-10-17,26809835000
2002-10-18,28045395000
2002-10-21,28626835000
2002-10-22,27800100000
2002-10-23,28645005000
2002-10-24,28872130000
2002-10-25,28817620000
2002-10-28,28454220000
2002-10-29,28645005000
2002-10-30,27436700000
2002-10-31,27364020000
2002-11-01,28045395000
2002-11-04,27846077000
2002-11-05,28219300000
2002-11-06,28046343000
2002-11-07,28055446000
2002-11-08,27991725000
2002-11-11,27126940000
2002-11-12,28082755000
2002-11-13,27336309000
2002-11-14,30485947000
2002-11-15,29939767000
2002-11-18,28565214000
2002-11-19,28310330000
2002-11-20,28374051000
2002-11-21,29812325000
2002-11-22,29994385000
2002-11-25,30504153000
2002-11-26,30567874000
2002-11-27,32133589999
2002-11-29,31660234000
2002-12-02,32534122000
2002-12-03,31459968000
2002-12-04,32006147999
2002-12-05,31532792000
2002-12-06,30913788000
2002-12-09,29411793000
2002-12-10,30221960000
2002-12-11,29921560999
2002-12-12,29766810000
2002-12-13,28191991000
2002-12-16,28947540000
2002-12-17,27081425000
2002-12-18,26990395000
2002-12-19,26835644000
2002-12-20,27208867000
2002-12-23,25979962000
2002-12-24,25652254000
2002-12-26,26171125000
2002-12-27,26080095000
2002-12-30,27309000000
2002-12-31,27309000000
2003-01-02,28319433000
2003-01-03,27445545000
2003-01-06,27536575000
2003-01-07,27263485000
2003-01-08,27418236000
2003-01-09,28601626000
2003-01-10,28401360000
2003-01-13,27964416000
2003-01-14,27946210000
2003-01-15,27208867000
2003-01-16,27481957000
2003-01-17,27008601000
2003-01-21,26061889000
2003-01-22,25543018000
2003-01-23,26171125000
2003-01-24,25215310000
2003-01-27,24814778000
2003-01-28,24578100000
2003-01-29,24714645000
2003-01-30,25078765000
2003-01-31,25679563000
2003-02-03,25961756000
2003-02-04,25288134000
2003-02-05,25370061000
2003-02-06,24760160000
2003-02-07,24396040000
2003-02-10,24368731000
2003-02-11,24550791000
2003-02-12,24823881000
2003-02-13,24587203000
2003-02-14,25206207000
2003-02-18,25506606000
2003-02-19,25370061000
2003-02-20,24368731000
2003-02-21,25925344000
2003-02-24,25697769000
2003-02-25,25952653000
2003-02-26,25597636000
2003-02-27,25397370000
2003-02-28,26080095000
2003-03-03,25087868000
2003-03-04,24122950000
2003-03-05,23977302000
2003-03-06,23722418000
2003-03-07,24350525000
2003-03-10,24277701000
2003-03-11,23913581000
2003-03-12,24414246000
2003-03-13,25734181000
2003-03-14,24832984000
2003-03-17,26762820000
2003-03-18,26626275000
2003-03-19,26944880000
2003-03-20,27245279000
2003-03-21,27973519000
2003-03-24,26853850000
2003-03-25,27090528000
2003-03-26,27217970000
2003-03-27,26862953000
2003-03-28,26908468000
2003-03-31,26635378000
2003-04-01,26535245000
2003-04-02,27718635000
2003-04-03,27591193000
2003-04-04,28164682000
2003-04-07,28929334000
2003-04-08,28865613000
2003-04-09,28028137000
2003-04-10,28993055000
2003-04-11,28110064000
2003-04-14,28592523000
2003-04-15,29257042000
2003-04-16,28847407000
2003-04-17,29402689999
2003-04-21,29548338000
2003-04-22,30049003000
2003-04-23,30249268999
2003-04-24,29848737000
2003-04-25,29448205000
2003-04-28,30149135999
2003-04-29,30358505000
2003-04-30,30440431999
2003-05-01,29948870000
2003-05-02,30331196000
2003-05-05,30666636000
2003-05-06,31267764000
2003-05-07,31122036000
2003-05-08,31677624000
2003-05-09,32123916000
2003-05-12,32907204000
2003-05-13,33162227999
2003-05-14,32725044000
2003-05-15,31386168000
2003-05-16,31012739999
2003-05-19,30238560000
2003-05-20,30420720000
2003-05-21,30111048000
2003-05-22,30684851999
2003-05-23,30111048000
2003-05-27,30967200000
2003-05-28,32105700000
2003-05-29,32205888000
2003-05-30,33362604000
2003-06-02,33845327999
2003-06-03,33772464000
2003-06-04,34337160000
2003-06-05,34200539999
2003-06-06,34419132000
2003-06-09,33690492000
2003-06-10,34136783999
2003-06-11,34410024000
2003-06-12,34537536000
2003-06-13,33699600000
2003-06-16,34610400000
2003-06-17,34246080000
2003-06-18,34164108000
2003-06-19,33972839999
2003-06-20,34109460000
2003-06-23,33717816000
2003-06-24,34073027999
2003-06-25,33790680000
2003-06-26,34200539999
2003-06-27,33909083999
2003-06-30,34464672000
2003-07-01,34264295999
2003-07-02,34573968000
2003-07-03,34054812000
2003-07-07,35193312000
2003-07-08,36268056000
2003-07-09,35475660000
2003-07-10,34373592000
2003-07-11,35002044000
2003-07-14,35375472000
2003-07-15,35421012000
2003-07-16,35648712000
2003-07-17,35065800000
2003-07-18,34992936000
2003-07-21,34892748000
2003-07-22,35193312000
2003-07-23,35102232000
2003-07-24,35047584000
2003-07-25,35612280000
2003-07-28,35921952000
2003-07-29,34792560000
2003-07-30,34819884000
2003-07-31,34901856000
2003-08-01,34619508000
2003-08-04,35139728000
2003-08-05,34310445000
2003-08-06,34346896999
2003-08-07,34629400000
2003-08-08,35458683000
2003-08-11,35677395000
2003-08-12,36452000000
2003-08-13,36397322000
2003-08-14,34356010000
2003-08-15,34529157000
2003-08-18,35285536000
2003-08-19,35440457000
2003-08-20,35358440000
2003-08-21,35549813000
2003-08-22,34993920000
2003-08-25,35276423000
2003-08-26,35631830000
2003-08-27,35650056000
2003-08-28,36652486000
2003-08-29,36998780000
2003-09-02,37828063000
2003-09-03,37855402000
2003-09-04,37135475000
2003-09-05,36461113000
2003-09-08,36588695000
2003-09-09,34629400000
2003-09-10,35139728000
2003-09-11,35622717000
2003-09-12,35568039000
2003-09-15,35713847000
2003-09-16,35950785000
2003-09-17,35804977000
2003-09-18,36087480000
2003-09-19,35759412000
2003-09-22,34720530000
2003-09-23,35987237000
2003-09-24,35440457000
2003-09-25,35640943000
2003-09-26,34857225000
2003-09-29,34219314999
2003-09-30,34292219000
2003-10-01,35194406000
2003-10-02,34848112000
2003-10-03,35859655000
2003-10-06,35677395000
2003-10-07,36169497000
2003-10-08,35814090000
2003-10-09,36816520000
2003-10-10,36060141000
2003-10-13,36552243000
2003-10-14,37062571000
2003-10-15,36761842000
2003-10-16,36679825000
2003-10-17,36160384000
2003-10-20,35914333000
2003-10-21,36351757000
2003-10-22,35640943000
2003-10-23,35568039000
2003-10-24,34975694000
2003-10-27,35358440000
2003-10-28,36169497000
2003-10-29,35996350000
2003-10-30,35795864000
2003-10-31,36215062000
2003-11-03,36376236000
2003-11-04,35992944000
2003-11-05,35445384000
2003-11-06,35728290000
2003-11-07,35463636000
2003-11-10,35637030000
2003-11-11,35974692000
2003-11-12,36440118000
2003-11-13,35591400000
2003-11-14,35262864000
2003-11-17,34989084000
2003-11-18,34678800000
2003-11-19,35116848000
2003-11-20,34551036000
2003-11-21,34450650000
2003-11-24,35354124000
2003-11-25,35573148000
2003-11-26,35335872000
2003-11-28,35335872000
2003-12-01,36120708000
2003-12-02,35600526000
2003-12-03,35801298000
2003-12-04,36640890000
2003-12-05,35764794000
2003-12-08,35810424000
2003-12-09,35700912000
2003-12-10,35682660000
2003-12-11,35600526000
2003-12-12,35381502000
2003-12-15,33875711999
2003-12-16,33985224000
2003-12-17,35043840000
2003-12-18,35135100000
2003-12-19,34687926000
2003-12-22,34824816000
2003-12-23,34706178000
2003-12-24,34359390000
2003-12-26,34423272000
2003-12-29,35271990000
2003-12-30,35025588000
2003-12-31,35043840000
2004-01-02,34423272000
2004-01-05,34131240000
2004-01-06,35198982000
2004-01-07,34925202000
2004-01-08,34459776000
2004-01-09,33811829999
2004-01-12,34076484000
2004-01-13,34897824000
2004-01-14,34998210000
2004-01-15,35637030000
2004-01-16,35737416000
2004-01-20,34605792000
2004-01-21,34916076000
2004-01-22,35043840000
2004-01-23,35591400000
2004-01-26,35153352000
2004-01-27,35390628000
2004-01-28,34195122000
2004-01-29,34697052000
2004-01-30,34642296000
2004-02-02,35217234000
2004-02-03,35591400000
2004-02-04,35591400000
2004-02-05,35682660000
2004-02-06,35992944000
2004-02-09,36075078000
2004-02-10,37690380000
2004-02-11,38009790000
2004-02-12,38073672000
2004-02-13,37571742000
2004-02-17,38219688000
2004-02-18,38593854000
2004-02-19,38064546000
2004-02-20,38913264000
2004-02-23,39168792000
2004-02-24,38986272000
2004-02-25,39159666000
2004-02-26,39424320000
2004-02-27,40117896000
2004-03-01,40528566000
2004-03-02,39771108000
2004-03-03,39780234000
2004-03-04,39944502000
2004-03-05,39424320000
2004-03-08,39177918000
2004-03-09,39104910000
2004-03-10,38082798000
2004-03-11,40793220000
2004-03-12,41641938000
2004-03-15,41194764000
2004-03-16,41331654000
2004-03-17,41067000000
2004-03-18,40966614000
2004-03-19,40820598000
2004-03-22,40355172000
2004-03-23,40008384000
2004-03-24,39999258000
2004-03-25,40537692000
2004-03-26,40619826000
2004-03-29,41459418000
2004-03-30,41258646000
2004-03-31,41103504000
2004-04-01,40446432000
2004-04-02,40838850000
2004-04-05,41140008000
2004-04-06,41432040000
2004-04-07,40893606000
2004-04-08,40309542000
2004-04-12,40930110000
2004-04-13,39889746000
2004-04-14,39114036000
2004-04-15,39871494000
2004-04-16,40409928000
2004-04-19,39971880000
2004-04-20,39889746000
2004-04-21,40245660000
2004-04-22,41030496000
2004-04-23,40829724000
2004-04-26,40355172000
2004-04-27,40647204000
2004-04-28,40355172000
2004-04-29,39606840000
2004-04-30,39579462000
2004-05-03,40169805000
2004-05-04,40197150000
2004-05-05,40753165000
2004-05-06,40242725000
2004-05-07,39431490000
2004-05-10,39695825000
2004-05-11,40370335000
2004-05-12,40425025000
2004-05-13,39349455000
2004-05-14,39194500000
2004-05-17,38474415000
2004-05-18,39522640000
2004-05-19,39449720000
2004-05-20,39221845000
2004-05-21,39385915000
2004-05-24,39887240000
2004-05-25,40224495000
2004-05-26,39786975000
2004-05-27,40479715000
2004-05-28,40744050000
2004-06-01,40342990000
2004-06-02,41363870000
2004-06-03,41345640000
2004-06-04,41208915000
2004-06-07,41819620000
2004-06-08,42111300000
2004-06-09,41591745000
2004-06-10,41701125000
2004-06-14,41701125000
2004-06-15,42120415000
2004-06-16,41929000000
2004-06-17,42102185000
2004-06-18,41919885000
2004-06-21,42320945000
2004-06-22,41163340000
2004-06-23,41764930000
2004-06-24,41427675000
2004-06-25,40516175000
2004-06-28,40142460000
2004-06-29,38547335000
2004-06-30,38711405000
2004-07-01,38510875000
2004-07-02,38055125000
2004-07-06,37590260000
2004-07-07,37818135000
2004-07-08,37189200000
2004-07-09,37617605000
2004-07-12,38602025000
2004-07-13,39777860000
2004-07-14,38839015000
2004-07-15,38829900000
2004-07-16,38647600000
2004-07-19,38957510000
2004-07-20,39659365000
2004-07-21,39194500000
2004-07-22,39303880000
2004-07-23,39951045000
2004-07-26,38984855000
2004-07-27,40352105000
2004-07-28,40133345000
2004-07-29,40406795000
2004-07-30,39741400000
2004-08-02,39325440000
2004-08-03,38931200000
2004-08-04,38644480000
2004-08-05,37416960000
2004-08-06,36565760000
2004-08-09,36816640000
2004-08-10,36789760000
2004-08-11,36216320000
2004-08-12,37542400000
2004-08-13,38474240000
2004-08-16,39343360000
2004-08-17,39406080000
2004-08-18,39522560000
2004-08-19,39343360000
2004-08-20,39253760000
2004-08-23,39191040000
