,ZBRA
2002-06-12,1676514338
2002-06-13,1651150059
2002-06-14,1648056960
2002-06-17,1736831900
2002-06-18,1731264140
2002-06-19,1672183943
2002-06-20,1626404567
2002-06-21,1615578336
2002-06-24,1676823627
2002-06-25,1580006614
2002-06-26,1544434752
2002-06-27,1538866992
2002-06-28,1491540962
2002-07-01,1476361631
2002-07-02,1446896446
2002-07-03,1459612991
2002-07-05,1531880232
2002-07-08,1557003192
2002-07-09,1530329377
2002-07-10,1494661055
2002-07-11,1507377600
2002-07-12,1478532673
2002-07-15,1494661055
2002-07-16,1513890936
2002-07-17,1517612973
2002-07-18,1512340082
2002-07-19,1500243935
2002-07-22,1501484591
2002-07-23,1450308214
2002-07-24,1458682464
2002-07-25,1481013914
2002-07-26,1482564768
2002-07-29,1612521863
2002-07-30,1601976500
2002-07-31,1565377442
2002-08-01,1570960322
2002-08-02,1553901553
2002-08-05,1510479168
2002-08-06,1564447055
2002-08-07,1550799914
2002-08-08,1589880214
2002-08-09,1576543202
2002-08-12,1590810601
2002-08-13,1601045974
2002-08-14,1641987047
2002-08-15,1683858647
2002-08-16,1699056433
2002-08-19,1737206136
2002-08-20,1744339871
2002-08-21,1770393287
2002-08-22,1789623168
2002-08-23,1741548500
2002-08-26,1716425471
2002-08-27,1691922768
2002-08-28,1643227703
2002-08-29,1710222193
2002-08-30,1684478905
2002-09-03,1676414854
2002-09-04,1637644823
2002-09-05,1622757026
2002-09-06,1636094038
2002-09-09,1656564575
2002-09-10,1674243742
2002-09-11,1703708926
2002-09-12,1694404149
2002-09-13,1688511140
2002-09-16,1664318497
2002-09-17,1663388111
2002-09-18,1636094038
2002-09-19,1632992400
2002-09-20,1631751674
2002-09-23,1631441545
2002-09-24,1599184991
2002-09-25,1668660862
2002-09-26,1667110007
2002-09-27,1651912082
2002-09-30,3694905089
2002-10-01,3898969825
2002-10-02,3895463592
2002-10-03,3884243710
2002-10-04,3764329350
2002-10-07,3615663471
2002-10-08,3506267651
2002-10-09,3449466428
2002-10-10,3537824219
2002-10-11,3633194793
2002-10-14,3578496962
2002-10-15,3628987219
2002-10-16,3562368165
2002-10-17,3526604022
2002-10-18,4072880833
2002-10-21,4382834998
2002-10-22,4207521623
2002-10-23,4166147382
2002-10-24,4214533931
2002-10-25,4252401624
2002-10-28,4351278430
2002-10-29,4319020678
2002-10-30,4354784662
2002-10-31,4314111920
2002-11-01,4386340915
2002-11-04,4420702533
2002-11-05,4489425295
2002-11-06,4408079969
2002-11-07,4424909791
2002-11-08,4289567975
2002-11-11,4131785922
2002-11-12,4239077876
2002-11-13,4342162098
2002-11-14,4421403874
2002-11-15,4446648845
2002-11-18,4347070856
2002-11-19,4336551999
2002-11-20,4544122968
2002-11-21,4696295080
2002-11-22,4622663403
2002-11-25,4609339655
2002-11-26,4486620403
2002-11-27,4518877840
2002-11-29,4503450226
2002-12-02,4587600917
2002-12-03,4542019418
2002-12-04,4365303676
2002-12-05,4294476733
2002-12-06,4356187187
2002-12-09,4206118941
2002-12-10,4356888370
2002-12-11,4377926240
2002-12-12,4361797128
2002-12-13,4281854168
2002-12-16,4390548805
2002-12-17,4304995747
2002-12-18,4148616060
2002-12-19,3833051954
2002-12-20,4042025763
2002-12-23,3807806826
2002-12-24,3849180751
2002-12-26,3957173889
2002-12-27,3997145132
2002-12-30,3966991246
2002-12-31,4018183002
2003-01-02,4116358309
2003-01-03,4172458822
2003-01-06,4222247738
2003-01-07,4161939808
2003-01-08,4019585369
2003-01-09,4100931011
2003-01-10,4116358309
2003-01-13,4070776809
2003-01-14,4037817874
2003-01-15,4084100557
2003-01-16,4063063002
2003-01-17,4046233022
2003-01-21,4000651680
2003-01-22,3941044934
2003-01-23,4011871562
2003-01-24,3951563632
2003-01-27,3819728207
2003-01-28,3856193533
2003-01-29,3828143197
2003-01-30,3805002092
2003-01-31,3917202646
2003-02-03,4011170378
2003-02-04,4021689392
2003-02-05,4013274244
2003-02-06,4007664146
2003-02-07,3887749628
2003-02-10,3884944894
2003-02-11,3980315309
2003-02-12,4056751878
2003-02-13,4091814364
2003-02-14,4151421110
2003-02-18,4206820124
2003-02-19,4204716574
2003-02-20,4193496377
2003-02-21,4291671999
2003-02-24,4252401624
2003-02-25,4348473222
2003-02-26,4343564623
2003-02-27,4363900994
2003-02-28,4423507740
2003-03-03,4351278430
2003-03-04,4232766752
2003-03-05,4272036811
2003-03-06,4276244228
2003-03-07,4330942058
2003-03-10,4267127738
2003-03-11,4216637481
2003-03-12,4218040322
2003-03-13,4330942058
2003-03-14,4351278430
2003-03-17,4466985216
2003-03-18,4462076616
2003-03-19,4459972592
2003-03-20,4518877840
2003-03-21,4554641982
2003-03-24,4391249988
2003-03-25,4429818864
2003-03-26,4390548805
2003-03-27,4367407227
2003-03-28,4540617051
2003-03-31,3029182882
2003-04-01,3056464154
2003-04-02,3020245899
2003-04-03,2990612483
2003-04-04,2859379253
2003-04-07,2790705221
2003-04-08,2757308904
2003-04-09,2768127497
2003-04-10,2774712547
2003-04-11,2897479117
2003-04-14,2986849370
2003-04-15,3015542140
2003-04-16,2992964415
2003-04-17,3075749406
2003-04-21,3134075274
2003-04-22,3151008594
2003-04-23,3189578887
2003-04-24,3173586531
2003-04-25,3149597520
2003-04-28,3141130860
2003-04-29,3141601182
2003-04-30,3135956778
2003-05-01,3125608614
2003-05-02,3185815986
2003-05-05,3191460497
2003-05-06,3252608620
2003-05-07,3214038221
2003-05-08,3134075274
2003-05-09,3127960441
2003-05-12,3102090138
2003-05-13,3094564230
2003-05-14,3062579093
2003-05-15,3066812317
2003-05-16,3152890098
2003-05-19,3113849376
2003-05-20,3116201308
2003-05-21,3104441858
2003-05-22,3130312373
2003-05-23,3111027121
2003-05-27,3205101238
2003-05-28,3252608620
2003-05-29,3317989862
2003-05-30,3432289772
2003-06-02,3452515882
2003-06-03,3459571361
2003-06-04,3391367758
2003-06-05,3386193677
2003-06-06,3351386391
2003-06-09,3320812117
2003-06-10,3358441870
2003-06-11,3386664000
2003-06-12,3512252931
2003-06-13,3555526665
2003-06-16,3512252931
2003-06-17,3602093612
2003-06-18,3562582568
2003-06-19,3545648824
2003-06-20,3491086281
2003-06-23,3438404605
2003-06-24,3418649242
2003-06-25,3452986205
2003-06-26,3496730685
2003-06-27,3533889586
2003-06-30,3555813179
2003-07-01,3602594192
2003-07-02,3730650784
2003-07-03,3770343549
2003-07-07,3771288521
2003-07-08,3862487372
2003-07-09,3827520000
2003-07-10,3889421843
2003-07-11,3876663549
2003-07-14,3899817600
2003-07-15,3924389215
2003-07-16,3827520000
2003-07-17,3716474607
2003-07-18,3702298855
2003-07-21,3721672486
2003-07-22,3705606364
2003-07-23,3692848070
2003-07-24,3614880000
2003-07-25,3726870364
2003-07-28,3818069215
2003-07-29,3645594891
2003-07-30,3627165807
2003-07-31,3665913599
2003-08-01,3623857873
2003-08-04,3626220835
2003-08-05,3586055478
2003-08-06,3532186536
2003-08-07,3472175169
2003-08-08,3489658855
2003-08-11,3488713458
2003-08-12,3521790779
2003-08-13,3610627093
2003-08-14,3664496035
2003-08-15,3717419579
2003-08-18,3772706086
2003-08-19,3820432070
2003-08-20,3810981286
2003-08-21,3795860136
2003-08-22,3719073599
2003-08-25,3718364551
2003-08-26,3680798293
2003-08-27,3673001422
2003-08-28,3733249777
2003-08-29,3800585529
2003-09-02,3838151787
2003-09-03,3722617458
2003-09-04,3719073599
2003-09-05,3692139022
2003-09-08,3723326400
2003-09-09,3672292906
2003-09-10,3551088000
2003-09-11,3577317144
2003-09-12,3549673943
2003-09-15,3617718744
2003-09-16,3738923544
2003-09-17,3790595064
2003-09-18,3916828800
2003-09-19,3903358055
2003-09-22,3813347544
2003-09-23,3852324456
2003-09-24,3766566743
2003-09-25,3702774744
2003-09-26,3578018856
2003-09-29,3603444708
2003-09-30,3666116934
2003-10-01,3730209887
2003-10-02,3779347818
2003-10-03,3906112998
2003-10-06,3916795157
2003-10-07,3916795157
2003-10-08,3925340884
2003-10-09,4054947518
2003-10-10,4124734062
2003-10-13,4126165471
2003-10-14,4138984062
2003-10-15,4184554152
2003-10-16,4190963447
2003-10-17,4052811086
2003-10-20,4113346881
2003-10-21,4178144857
2003-10-22,4158916971
2003-10-23,4007946019
2003-10-24,4041413223
2003-10-27,4027173905
2003-10-28,4067766109
2003-10-29,4054231813
2003-10-30,4081300404
2003-10-31,4069902540
2003-11-03,4282124991
2003-11-04,4211622743
2003-11-05,4308467195
2003-11-06,4284261423
2003-11-07,4260044969
2003-11-10,4169599129
2003-11-11,4176008425
2003-11-12,4257192832
2003-11-13,4272863560
2003-11-14,4219452765
2003-11-17,4195236311
2003-11-18,4212327765
2003-11-19,4287102877
2003-11-20,4278557150
2003-11-21,4282830014
2003-11-24,4460869556
2003-11-25,4401765171
2003-11-26,4497904601
2003-11-28,4527098941
2003-12-01,4522110373
2003-12-02,4486506738
2003-12-03,4477961010
2003-12-04,4472267420
2003-12-05,4386094444
2003-12-08,4564839009
2003-12-09,4430959511
2003-12-10,4307762173
2003-12-11,4400333762
2003-12-12,4388230876
2003-12-15,4345502240
2003-12-16,4395355876
2003-12-17,4386810148
2003-12-18,4427402352
2003-12-19,4458733124
2003-12-22,4465858124
2003-12-23,4507155351
2003-12-24,4503598192
2003-12-26,4570543282
2003-12-29,4577657599
2003-12-30,4648159848
2003-12-31,4726502802
2004-01-02,4656000553
2004-01-05,4664546280
2004-01-06,4675228439
2004-01-07,4753560710
2004-01-08,4764242869
2004-01-09,4728639233
2004-01-12,4764242869
2004-01-13,4799846505
2004-01-14,4772072891
2004-01-15,4699434211
2004-01-16,4787743618
2004-01-20,4817653663
2004-01-21,4725071392
2004-01-22,4721514233
2004-01-23,4754981437
2004-01-26,4878894480
2004-01-27,4863939458
2004-01-28,4707274915
2004-01-29,4565554713
2004-01-30,4600453326
2004-02-02,4548463259
2004-02-03,4536360373
2004-02-04,4465858124
2004-02-05,4455880988
2004-02-06,4628931962
2004-02-09,4587634736
2004-02-10,4672376302
2004-02-11,5033433273
2004-02-12,5006375365
2004-02-13,4962215320
2004-02-17,4962931024
2004-02-18,4913793094
2004-02-19,4866011797
2004-02-20,4727923529
2004-02-23,4596885485
2004-02-24,4473688147
2004-02-25,4715820643
2004-02-26,4812665095
2004-02-27,5090401227
2004-03-01,5138118430
2004-03-02,5116038408
2004-03-03,5122447703
2004-03-04,5091832636
2004-03-05,5173017044
2004-03-08,5071889045
2004-03-09,5108924090
2004-03-10,4967203888
2004-03-11,4842575140
2004-03-12,5005659660
2004-03-15,4869643731
2004-03-16,4919486684
2004-03-17,5006375365
2004-03-18,4961510297
2004-03-19,4925895980
2004-03-22,4749287846
2004-03-23,4809823641
2004-03-24,4826199391
2004-03-25,4940851002
2004-03-26,4915929525
2004-03-29,4997113933
2004-03-30,4992125365
2004-03-31,4940145980
2004-04-01,5043399727
2004-04-02,5156630612
2004-04-05,5202342877
2004-04-06,5180156010
2004-04-07,5172288097
2004-04-08,5242412340
2004-04-12,5329710742
2004-04-13,5313255750
2004-04-14,5259586500
2004-04-15,5124339990
2004-04-16,5149382062
2004-04-19,5195902567
2004-04-20,5069243137
2004-04-21,5321842830
2004-04-22,5429900497
2004-04-23,5303241067
2004-04-26,5177290072
2004-04-27,5100006352
2004-04-28,5293934820
2004-04-29,5175143302
2004-04-30,5244559110
2004-05-03,5323270432
2004-05-04,5339736157
2004-05-05,5414873107
2004-05-06,5324708767
2004-05-07,5313974917
2004-05-10,5267454412
2004-05-11,5431328100
2004-05-12,5418447480
2004-05-13,5545826077
2004-05-14,5436340807
2004-05-17,5349750840
2004-05-18,5545826077
2004-05-19,5615950320
2004-05-20,5686793730
2004-05-21,5730448297
2004-05-24,5785545150
2004-05-25,5856388560
2004-05-26,5867841577
2004-05-27,5783398380
2004-05-28,5786264317
2004-06-01,5749769227
2004-06-02,5691087270
2004-06-03,5522211607
2004-06-04,5583029602
2004-06-07,5779824007
2004-06-08,5824187010
2004-06-09,5736888607
2004-06-10,5802719310
2004-06-14,5608790842
2004-06-15,5666045197
2004-06-16,5656738950
2004-06-17,5644577497
2004-06-18,5686074562
2004-06-21,5692514872
2004-06-22,5703967890
2004-06-23,5807012850
2004-06-24,5927951137
2004-06-25,6107560650
2004-06-28,6130455952
2004-06-29,6189857077
2004-06-30,6225633000
2004-07-01,6353011597
2004-07-02,6305782657
2004-07-06,4152632320
2004-07-07,4143075243
2004-07-08,4098143359
2004-07-09,4035531243
2004-07-12,3867282240
2004-07-13,3941365716
2004-07-14,3842425236
2004-07-15,3962401323
2004-07-16,3938497876
2004-07-19,3927026516
2004-07-20,4017363476
2004-07-21,3880187520
2004-07-22,3837650283
2004-07-23,3789850560
2004-07-26,3688042240
2004-07-27,3718634923
2004-07-28,3848641280
2004-07-29,3855810880
2004-07-30,3949496043
2004-08-02,3975779796
2004-08-03,3943280000
2004-08-04,3901696320
2004-08-05,3862980480
2004-08-06,3741097280
2004-08-09,3746832960
2004-08-10,3878273236
2004-08-11,3782680960
2004-08-12,3698796640
2004-08-13,3711465323
2004-08-16,3818048596
2004-08-17,3855330516
2004-08-18,3977694080
2004-08-19,3949015680
2004-08-20,3967176276
2004-08-23,3948535316
