,GE
2000-11-22,383078492160
2000-11-24,389474122752
2000-11-27,387512576256
2000-11-28,392935675392
2000-11-29,391946660352
2000-11-30,390957645312
2000-12-01,402298351104
2000-12-04,407226942720
2000-12-05,426957792768
2000-12-06,425474270208
2000-12-07,422012717568
2000-12-08,435331453440
2000-12-11,436320468480
2000-12-12,416589618432
2000-12-13,418073140992
2000-12-14,405743420160
2000-12-15,392935675392
2000-12-18,402298351104
2000-12-19,395391729408
2000-12-20,374193840384
2000-12-21,377655393024
2000-12-22,385534546176
2000-12-26,388996098816
2000-12-27,380111447040
2000-12-28,382089477120
2000-12-29,378149900544
2001-01-02,346092294912
2001-01-03,378226957056
2001-01-04,380194048000
2001-01-05,374259714816
2001-01-08,360423957504
2001-01-09,353001908480
2001-01-10,353497813760
2001-01-11,368341911808
2001-01-12,361415768064
2001-01-16,374755620096
2001-01-17,369317192192
2001-01-18,376739241216
2001-01-19,371796718592
2001-01-22,361911673344
2001-01-23,369317192192
2001-01-24,366358290688
2001-01-25,363382859008
2001-01-26,353001908480
2001-01-29,351067877888
2001-01-30,365862385408
2001-01-31,363878764288
2001-02-01,365697083648
2001-02-02,366093807872
2001-02-05,378524500224
2001-02-06,376540879104
2001-02-07,371399994368
2001-02-08,372904240384
2001-02-09,361200875776
2001-02-12,375830081536
2001-02-13,373053011968
2001-02-14,365945036288
2001-02-15,379549371136
2001-02-16,371796718592
2001-02-20,377251676672
2001-02-21,374160533760
2001-02-22,372590167040
2001-02-23,365300359424
2001-02-26,379549371136
2001-02-27,379698142720
2001-02-28,367846006528
2001-03-01,363167966720
2001-03-02,352572123904
2001-03-05,356605486848
2001-03-06,359299905536
2001-03-07,363729992704
2001-03-08,362853893376
2001-03-09,346555139840
2001-03-12,313263365376
2001-03-13,334851775232
2001-03-14,324570005760
2001-03-15,324966729984
2001-03-16,321164789504
2001-03-19,325115501568
2001-03-20,316817353216
2001-03-21,308502674688
2001-03-22,298220905216
2001-03-23,316337978112
2001-03-26,318238948352
2001-03-27,331529209856
2001-03-28,328686019584
2001-03-29,327495846912
2001-03-30,331132485632
2001-04-02,330719680512
2001-04-03,313954707456
2001-04-04,313326434304
2001-04-05,333100505088
2001-04-06,325743095808
2001-04-09,332306896896
2001-04-10,346790246400
2001-04-11,342359267328
2001-04-12,353668184064
2001-04-16,353271379968
2001-04-17,359686379520
2001-04-18,378914844672
2001-04-19,383808761856
2001-04-20,380568195072
2001-04-23,373458788352
2001-04-24,363885889536
2001-04-25,378286571520
2001-04-26,390074959872
2001-04-27,395216879616
2001-04-30,383974096896
2001-05-01,386983194624
2001-05-02,388487743488
2001-05-03,383742627840
2001-05-04,395051544576
2001-05-07,395283013632
2001-05-08,391496841216
2001-05-09,391100037120
2001-05-10,394257936384
2001-05-11,387776802816
2001-05-14,393464328192
2001-05-15,396787562496
2001-05-16,413089597440
2001-05-17,412295989248
2001-05-18,419256594432
2001-05-21,422513694720
2001-05-22,416809635840
2001-05-23,406294327296
2001-05-24,406691131392
2001-05-25,395216879616
2001-05-29,393001390080
2001-05-30,387859470336
2001-05-31,387694135296
2001-06-01,387694135296
2001-06-04,391248838656
2001-06-05,389116016640
2001-06-06,385710114816
2001-06-07,386983194624
2001-06-08,380882331648
2001-06-11,375029471232
2001-06-12,385875449856
2001-06-13,378600708096
2001-06-14,386586390528
2001-06-15,386189586432
2001-06-18,387694135296
2001-06-19,386669058048
2001-06-20,401698013184
2001-06-21,405500719104
2001-06-22,410328502272
2001-06-25,397581170688
2001-06-26,386024251392
2001-06-27,381841274880
2001-06-28,386669058048
2001-06-29,385710114816
2001-07-02,397064443776
2001-07-03,391610034816
2001-07-05,383378835840
2001-07-06,370883280768
2001-07-09,370569239040
2001-07-10,361941355776
2001-07-11,352850674176
2001-07-12,371759291904
2001-07-13,375312921984
2001-07-16,365594156928
2001-07-17,364718145792
2001-07-18,365032187520
2001-07-19,367643692416
2001-07-20,368833745280
2001-07-23,358305083136
2001-07-24,348024348672
2001-07-25,346454140032
2001-07-26,346057455744
2001-07-27,353164715904
2001-07-30,344867402880
2001-07-31,344074034304
2001-08-01,338536982784
2001-08-02,333793299840
2001-08-03,338140298496
2001-08-06,327380237184
2001-08-07,338305583616
2001-08-08,329446301184
2001-08-09,331413194112
2001-08-10,336718846464
2001-08-13,334024699008
2001-08-14,331016509824
2001-08-15,330471068928
2001-08-16,329049616896
2001-08-17,322719196800
2001-08-20,328487647488
2001-08-21,320107691904
2001-08-22,323115881088
2001-08-23,324619975680
2001-08-24,332123920128
2001-08-27,333545372160
2001-08-28,326124070272
2001-08-29,321215102208
2001-08-30,317975513856
2001-08-31,324140648832
2001-09-04,322950595968
2001-09-05,329842985472
2001-09-06,320339091072
2001-09-07,313694629248
2001-09-10,311248409472
2001-09-17,278026100352
2001-09-18,267745365888
2001-09-19,257067947136
2001-09-20,240225393408
2001-09-21,247580581248
2001-09-24,278422784640
2001-09-25,280802890368
2001-09-26,280637605248
2001-09-27,284356520448
2001-09-28,294240570624
2001-10-01,297698113024
2001-10-02,300937375232
2001-10-03,301730663936
2001-10-04,295714891264
2001-10-05,296194169856
2001-10-08,291054320128
2001-10-09,291203061760
2001-10-10,299830076416
2001-10-11,308060446720
2001-10-12,308440564224
2001-10-15,307333265408
2001-10-16,304259271680
2001-10-17,292872273408
2001-10-18,294607592448
2001-10-19,294607592448
2001-10-22,297450210304
2001-10-23,294772860928
2001-10-24,293268917760
2001-10-25,299516066304
2001-10-26,307498533888
2001-10-29,296028901376
2001-10-30,287418413568
2001-10-31,287963799552
2001-11-01,299830076416
2001-11-02,300226720768
2001-11-05,306622610944
2001-11-06,314770347008
2001-11-07,311217074688
2001-11-08,319133434880
2001-11-09,319596186624
2001-11-12,311845094912
2001-11-13,320786119680
2001-11-14,323314727424
2001-11-15,328619845632
2001-11-16,323083351552
2001-11-19,326239979520
2001-11-20,325050046464
2001-11-21,319910196736
2001-11-23,324422026240
2001-11-26,326801892352
2001-11-27,324818670592
2001-11-28,311217074688
2001-11-29,314224961024
2001-11-30,304490647552
2001-12-03,291996350464
2001-12-04,295400881152
2001-12-05,296987458560
2001-12-06,298557509120
2001-12-07,293814303744
2001-12-10,291054320128
2001-12-11,290971685888
2001-12-12,293021015040
2001-12-13,293021015040
2001-12-14,297764220416
2001-12-17,302904070144
2001-12-18,314142326784
2001-12-19,322521438720
2001-12-20,323000717312
2001-12-21,327033268224
2001-12-24,325297949184
2001-12-26,320703485440
2001-12-27,323876640256
2001-12-28,322124794368
2001-12-31,316953029120
2002-01-02,323844030848
2002-01-03,321150425856
2002-01-04,323844030848
2002-01-07,311268365824
2002-01-08,308029429760
2002-01-09,304856594432
2002-01-10,305335824768
2002-01-11,302328241280
2002-01-14,299717262208
2002-01-15,306129033600
2002-01-16,298296096384
2002-01-17,306443012096
2002-01-18,305881155840
2002-01-22,302873572352
2002-01-23,297734240128
2002-01-24,296957556480
2002-01-25,302559593856
2002-01-28,301700284288
2002-01-29,288331410432
2002-01-30,291652972416
2002-01-31,293784721152
2002-02-01,291421619840
2002-02-04,276780306816
2002-02-05,286348388352
2002-02-06,292280929408
2002-02-07,294181325568
2002-02-08,294577929984
2002-02-11,298924053376
2002-02-12,296560952064
2002-02-13,301303679872
2002-02-14,300510471040
2002-02-15,293470742656
2002-02-19,287852180096
2002-02-20,297106283136
2002-02-21,296709678720
2002-02-22,301221053952
2002-02-25,309995926656
2002-02-26,306443012096
2002-02-27,306443012096
2002-02-28,304459990016
2002-03-01,311978948736
2002-03-04,317911489792
2002-03-05,320274591104
2002-03-06,328586758656
2002-03-07,323844030848
2002-03-08,321067799936
2002-03-11,325413923328
2002-03-12,325017318912
2002-03-13,316325072128
2002-03-14,319564008192
2002-03-15,317828863872
2002-03-18,315531863296
2002-03-19,315531863296
2002-03-20,306839616512
2002-03-21,296164347648
2002-03-22,299485909632
2002-03-25,292925411584
2002-03-26,295057160320
2002-03-27,296164347648
2002-03-28,296164347648
2002-04-01,295301260800
2002-04-02,293713085952
2002-04-03,290950323456
2002-04-04,295301260800
2002-04-05,293713085952
2002-04-08,291810584832
2002-04-09,288568061184
2002-04-10,294507173376
2002-04-11,267193874688
2002-04-12,265605699840
2002-04-15,252155844095
2002-04-16,262048849920
2002-04-17,266399787264
2002-04-18,267590918400
2002-04-19,266796830976
2002-04-22,260146348800
2002-04-23,259666587648
2002-04-24,257300868864
2002-04-25,253744018944
2002-04-26,249376538112
2002-04-29,244231513344
2002-04-30,249773581823
2002-05-01,250964712959
2002-05-02,250170625536
2002-05-03,250964712959
2002-05-06,245191035648
2002-05-07,242659881984
2002-05-08,260063631359
2002-05-09,249310364159
2002-05-10,242659881984
2002-05-13,244231513344
2002-05-14,250021734144
2002-05-15,244876709376
2002-05-16,253346975231
2002-05-17,264828155904
2002-05-20,258094956288
2002-05-21,254521562880
2002-05-22,252701779200
2002-05-23,260857718784
2002-05-24,258094956288
2002-05-28,253744018944
2002-05-29,248582450688
2002-05-30,247010819328
2002-05-31,246531058176
2002-06-03,238375118592
2002-06-04,237895357440
2002-06-05,238689444864
2002-06-06,231972788736
2002-06-07,239086488576
2002-06-10,237117813504
2002-06-11,232750332672
2002-06-12,240277619712
2002-06-13,236323726080
2002-06-14,235132594944
2002-06-17,241551468288
2002-06-18,246613775616
2002-06-19,240277619712
2002-06-20,235132594944
2002-06-21,229193482752
2002-06-24,234338507520
2002-06-25,228796439040
2002-06-26,233544420095
2002-06-27,236720769792
2002-06-28,229987570176
2002-07-01,225443487360
2002-07-02,222661665408
2002-07-03,221088611328
2002-07-05,235262656512
2002-07-08,233209406976
2002-07-09,224251277952
2002-07-10,214349316479
2002-07-11,216717176832
2002-07-12,226635696768
2002-07-15,223853874816
2002-07-16,218306789376
2002-07-17,223853874816
2002-07-18,219498998784
2002-07-19,210143466624
2002-07-22,203337937920
2002-07-23,196515850752
2002-07-24,210226258944
2002-07-25,211170091392
2002-07-26,220293805056
2002-07-29,241289937408
2002-07-30,250397092608
2002-07-31,255149371776
2002-08-01,248807480064
2002-08-02,233755836287
2002-08-05,224251277952
2002-08-06,234948045695
2002-08-07,243657797760
2002-08-08,253178914560
2002-08-09,256738984320
2002-08-12,255546774912
2002-08-13,245247410304
2002-08-14,252781511424
2002-08-15,255861385728
2002-08-16,249999689471
2002-08-19,260630223360
2002-08-20,255546774912
2002-08-21,255944178048
2002-08-22,259123403136
2002-08-23,255546774912
2002-08-26,254122747008
2002-08-27,253178914560
2002-08-28,248029232256
2002-08-29,240495131136
2002-08-30,238905518592
2002-09-03,225526279679
2002-09-04,227413944576
2002-09-05,221866859136
2002-09-06,224251277952
2002-09-09,228059724671
2002-09-10,230427585024
2002-09-11,229798363392
2002-09-12,221866859136
2002-09-13,214349316479
2002-09-16,221088611328
2002-09-17,219498998784
2002-09-18,216717176832
2002-09-19,210391843584
2002-09-20,211964897664
2002-09-23,209199634176
2002-09-24,205225602816
2002-09-25,213951913344
2002-09-26,209116841856
2002-09-27,193899613440
2002-09-30,195323641344
2002-10-01,207610021632
2002-10-02,196515850752
2002-10-03,195091822848
2002-10-04,190256751360
2002-10-07,181861610112
2002-10-08,185024276736
2002-10-09,174327508992
2002-10-10,179079788160
2002-10-11,191846363904
2002-10-14,192955780992
2002-10-15,207610021632
2002-10-16,202857742464
2002-10-17,213074314752
2002-10-18,211170091392
2002-10-21,215144122752
2002-10-22,214498342656
2002-10-23,213157107071
2002-10-24,206020409088
2002-10-25,207924632448
2002-10-28,208007424768
2002-10-29,204844758144
2002-10-30,199297672704
2002-10-31,200075920512
2002-11-01,206020409088
2002-11-04,209994440448
2002-11-05,209994440448
2002-11-06,210772688256
2002-11-07,206898007680
2002-11-08,198900269568
2002-11-11,191846363904
2002-11-12,188981749632
2002-11-13,190885972992
2002-11-14,194131431936
2002-11-15,189064541952
2002-11-18,187011292416
2002-11-19,189379152768
2002-11-20,196515850752
2002-11-21,212759703936
2002-11-22,209597037312
2002-11-25,212362300800
2002-11-26,208802231040
2002-11-27,215144122752
2002-11-29,214895745792
2002-12-02,215541525887
2002-12-03,211964897664
2002-12-04,210143466624
2002-12-05,204447355008
2002-12-06,206417812224
2002-12-09,202062936192
2002-12-10,205473979776
2002-12-11,207129826176
2002-12-12,205225602816
2002-12-13,202062936192
2002-12-16,209431452672
2002-12-17,206020409088
2002-12-18,203337937920
2002-12-19,201268129920
2002-12-20,205623005952
2002-12-23,203884367232
2002-12-24,200721700608
2002-12-26,200473323648
2002-12-27,195721044480
2002-12-30,194131431936
2002-12-31,145414873750
2003-01-02,152153398750
2003-01-03,151679206250
2003-01-06,155560097500
2003-01-07,154661627500
2003-01-08,152278186250
2003-01-09,154661627500
2003-01-10,153176656250
2003-01-13,153114262500
2003-01-14,153538540000
2003-01-15,150431331250
2003-01-16,149470467500
2003-01-17,148571997500
2003-01-21,143680327500
2003-01-22,140635512500
2003-01-23,143018953750
2003-01-24,137703006250
2003-01-27,137653091250
2003-01-28,138239592500
2003-01-29,137528303750
2003-01-30,134658191250
2003-01-31,138189677500
2003-02-03,141234492500
2003-02-04,137653091250
2003-02-05,137353601249
2003-02-06,136692227500
2003-02-07,135556661250
2003-02-10,135144862500
2003-02-11,134358701250
2003-02-12,132873730000
2003-02-13,132387058750
2003-02-14,134246392500
2003-02-18,136817015000
2003-02-19,139437552500
2003-02-20,139437552500
2003-02-21,142132962500
2003-02-24,139861830000
2003-02-25,143206135000
2003-02-26,139562340000
2003-02-27,142719463750
2003-02-28,143617933750
2003-03-03,142719463750
2003-03-04,139737042500
2003-03-05,142132962500
2003-03-06,143018953750
2003-03-07,145115383750
2003-03-10,140935002500
2003-03-11,139437552500
2003-03-12,142132962500
2003-03-13,150543640000
2003-03-14,153176656250
2003-03-17,156882845000
2003-03-18,157656527500
2003-03-19,161113141250
2003-03-20,160339458750
2003-03-21,167202771250
2003-03-24,159628170000
2003-03-25,161113141250
2003-03-26,158842008750
2003-03-27,157893623750
2003-03-28,155447788750
2003-03-31,152659530000
2003-04-01,156437550000
2003-04-02,161941950000
2003-04-03,164931840000
2003-04-04,165407220000
2003-04-07,166195350000
2003-04-08,167984280000
2003-04-09,163430639999
2003-04-10,163918530000
2003-04-11,163793430000
2003-04-14,166195350000
2003-04-15,169422930000
2003-04-16,166608180000
2003-04-17,170561340000
2003-04-21,168584760000
2003-04-22,173551230000
2003-04-23,175953150000
2003-04-24,174214260000
2003-04-25,174276810000
2003-04-28,176728770000
2003-04-29,176003190000
2003-04-30,176303430000
2003-05-01,174214260000
2003-05-02,174089160000
2003-05-05,172600470000
2003-05-06,174326850000
2003-05-07,172713060000
2003-05-08,170436240000
2003-05-09,173613780000
2003-05-12,173438639999
2003-05-13,170924130000
2003-05-14,171274410000
2003-05-15,170498790000
2003-05-16,166733280000
2003-05-19,164931840000
2003-05-20,166007700000
2003-05-21,165232080000
2003-05-22,166007700000
2003-05-23,165469770000
2003-05-27,169485480000
2003-05-28,169247790000
2003-05-29,169122690000
2003-05-30,171812340000
2003-06-02,173613780000
2003-06-03,173914020000
2003-06-04,175765500000
2003-06-05,178280010000
2003-06-06,181395000000
2003-06-09,180444240000
2003-06-10,183133889999
2003-06-11,185473260000
2003-06-12,186011190000
2003-06-13,183496680000
2003-06-16,187624980000
2003-06-17,186786810000
2003-06-18,183972060000
2003-06-19,178767900000
2003-06-20,179656110000
2003-06-23,178817940000
2003-06-24,179180730000
2003-06-25,175165020000
2003-06-26,174514500000
2003-06-27,171336960000
2003-06-30,172094343750
2003-07-01,171793413750
2003-07-02,171668026250
2003-07-03,171316941250
2003-07-07,175630271250
2003-07-08,172871746250
2003-07-09,170288763750
2003-07-10,169147737500
2003-07-11,168733958750
2003-07-14,168257486250
2003-07-15,166038127499
2003-07-16,164295241250
2003-07-17,162615048750
2003-07-18,166690142500
2003-07-21,162966133750
2003-07-22,164470783749
2003-07-23,164533477500
2003-07-24,164646326250
2003-07-25,170589693750
2003-07-28,170226070000
2003-07-29,167417390000
2003-07-30,167831168750
2003-07-31,170652387500
2003-08-01,170777775000
2003-08-04,170890623750
2003-08-05,166815530000
2003-08-06,166088282500
2003-08-07,168495722500
2003-08-08,168495722500
2003-08-11,169686903750
2003-08-12,169987833750
2003-08-13,168132098750
2003-08-14,171316941250
2003-08-15,172696203750
2003-08-18,178815113750
2003-08-19,179116043750
2003-08-20,176708603750
2003-08-21,180971778750
2003-08-22,179291586250
2003-08-25,179116043750
2003-08-26,179291586250
2003-08-27,178514183750
2003-08-28,178087866250
2003-08-29,177435851250
2003-09-02,182651971249
2003-09-03,186739603750
2003-09-04,187930785000
2003-09-05,186250592500
2003-09-08,188294408749
2003-09-09,186977840000
2003-09-10,186187898750
2003-09-11,188896268750
2003-09-12,189197198749
2003-09-15,188407257500
2003-09-16,191592100000
2003-09-17,190338225000
2003-09-18,192670432500
2003-09-19,191592100000
2003-09-22,188407257500
2003-09-23,189372741250
2003-09-24,184871330000
2003-09-25,182288347500
2003-09-26,179228892500
2003-09-29,182238192500
2003-09-30,178877807500
2003-10-01,183792997500
2003-10-02,184507706250
2003-10-03,184934023750
2003-10-06,184758481250
2003-10-07,184394857500
2003-10-08,181210015000
2003-10-09,180796236250
2003-10-10,175931201250
2003-10-13,173586455000
2003-10-14,175755658749
2003-10-15,173109982500
2003-10-16,174138160000
2003-10-17,171316941250
2003-10-20,172696203750
2003-10-21,173298063750
2003-10-22,170113221249
2003-10-23,170351457500
2003-10-24,169812291250
2003-10-27,169335818750
2003-10-28,171128860000
2003-10-29,172997133750
2003-10-30,173298063750
2003-10-31,174075466250
2003-11-03,172809052500
2003-11-04,171968956250
2003-11-05,170589693750
2003-11-06,170652387500
2003-11-07,168733958750
2003-11-10,169034888750
2003-11-11,168671265000
2003-11-12,172207192500
2003-11-13,170050527500
2003-11-14,167292002499
2003-11-17,166865685000
2003-11-18,170652387500
2003-11-19,176833991250
2003-11-20,173711842500
2003-11-21,171367096249
2003-11-24,172508122500
2003-11-25,173473606250
2003-11-26,172633510000
2003-11-28,172031650000
2003-12-01,174188314999
2003-12-02,176896685000
2003-12-03,177134921250
2003-12-04,174915562500
2003-12-05,174614632500
2003-12-08,176232131250
2003-12-09,177373157500
2003-12-10,178338641250
2003-12-11,182413735000
2003-12-12,180670848750
2003-12-15,181987417499
2003-12-16,183918385000
2003-12-17,184394857500
2003-12-18,185109566250
2003-12-19,185347802500
2003-12-22,186012356250
2003-12-23,186614216250
2003-12-24,185410496250
2003-12-26,184332163750
2003-12-29,184996717500
2003-12-30,184332163750
2003-12-31,187901017500
2004-01-02,188750158750
2004-01-05,191538383750
2004-01-06,190258335000
2004-01-07,192134050000
2004-01-08,195593983750
2004-01-09,192869127500
2004-01-12,194630778750
2004-01-13,191715816250
2004-01-14,194085807499
2004-01-15,194085807499
2004-01-16,202273050000
2004-01-20,202323744999
2004-01-21,205302076250
2004-01-22,203299623750
2004-01-23,201423908750
2004-01-26,207063727500
2004-01-27,207367897500
2004-01-28,204757105000
2004-01-29,206392018750
2004-01-30,203971332500
2004-02-02,203971332500
2004-02-03,201423908750
2004-02-04,201233802500
2004-02-05,203299623750
2004-02-06,201233802500
2004-02-09,199484825000
2004-02-10,197114833750
2004-02-11,200625462500
2004-02-12,199294718750
2004-02-13,198445577500
2004-02-17,200448030000
2004-02-18,198635683750
2004-02-19,197723173750
2004-02-20,198331513750
2004-02-23,202691283750
2004-02-24,201842142500
2004-02-25,199966427500
2004-02-26,198141407500
2004-02-27,197228897500
2004-03-01,198876484999
2004-03-02,197051465000
2004-03-03,199231350000
2004-03-04,199535520000
2004-03-05,198749747500
2004-03-08,193046560000
2004-03-09,191411646250
2004-03-10,188623421250
2004-03-11,184504452500
2004-03-12,185594395000
2004-03-15,183769375000
2004-03-16,184986055000
2004-03-17,186557600000
2004-03-18,186316798750
2004-03-19,182806170000
2004-03-22,178370357500
2004-03-23,177102982500
2004-03-24,176976244999
2004-03-25,180132008750
2004-03-26,182552695000
2004-03-29,184859317500
2004-03-30,186139366250
2004-03-31,189627668750
2004-04-01,190250888750
2004-04-02,192990459999
2004-04-05,196223413750
2004-04-06,195846885000
2004-04-07,195093827500
2004-04-08,195158746250
2004-04-12,196470105000
2004-04-13,192613931250
2004-04-14,189380977500
2004-04-15,191120800000
2004-04-16,194042143750
2004-04-19,193237151250
2004-04-20,189316058750
2004-04-21,190757254999
2004-04-22,191679101250
2004-04-23,190692336250
2004-04-26,191055881250
2004-04-27,189822425000
2004-04-28,186524552500
2004-04-29,186706325000
2004-04-30,186096088750
2004-05-03,188264375000
2004-05-04,189134286249
2004-05-05,189445896250
2004-05-06,189316058750
2004-05-07,186407698750
2004-05-10,186589471250
2004-05-11,187952765000
2004-05-12,188887595000
2004-05-13,188575985000
2004-05-14,187394463750
2004-05-17,186212942499
2004-05-18,189069367500
2004-05-19,187952765000
2004-05-20,187835911249
2004-05-21,190445645000
2004-05-24,191250637500
2004-05-25,193925290000
2004-05-26,194418672500
2004-05-27,194223916250
2004-05-28,193366988750
2004-06-01,192860622500
2004-06-02,193237151250
2004-06-03,192613931250
2004-06-04,194042143750
2004-06-07,196833650000
2004-06-08,195535275000
2004-06-09,193730533750
2004-06-10,195665112500
2004-06-14,196158495000
2004-06-15,197651626250
2004-06-16,199508302500
2004-06-17,201066352500
2004-06-18,202429646250
2004-06-21,202559483750
2004-06-22,204104550000
2004-06-23,207649113750
2004-06-24,206714283750
2004-06-25,199949750000
2004-06-28,200754742500
2004-06-29,200884580000
2004-06-30,204782287500
2004-07-01,202312485000
2004-07-02,200172870000
2004-07-06,201176640000
2004-07-07,202378522500
2004-07-08,200357775000
2004-07-09,203329462500
2004-07-12,206050207500
2004-07-13,207569070000
2004-07-14,209391705000
2004-07-15,210910567500
2004-07-16,209140762500
2004-07-19,210025665000
2004-07-20,209906797500
2004-07-21,206050207500
2004-07-22,207820012500
2004-07-23,205535115000
2004-07-26,204214365000
2004-07-27,207304920000
2004-07-28,210408682500
2004-07-29,209906797500
2004-07-30,210157740000
2004-08-02,210223777499
2004-08-03,207753975000
2004-08-04,207820012500
2004-08-05,203646442500
2004-08-06,199221930000
2004-08-09,201308714999
2004-08-10,202827577500
2004-08-11,203514367500
2004-08-12,199789852500
2004-08-13,201559657500
2004-08-16,204148327500
2004-08-17,203144557500
2004-08-18,207186052500
2004-08-19,206736997500
2004-08-20,206367187500
2004-08-23,205482285000
2004-08-24,206235112500
