,PYPL
2017-02-02,47614740000
2017-02-03,47626770000
2017-02-06,47807220000
2017-02-07,48144060000
2017-02-08,49178640000
2017-02-09,49118490000
2017-02-10,48817740000
2017-02-13,49527510000
2017-02-14,50068860000
2017-02-15,50369610000
2017-02-16,50706450000
2017-02-17,50477880000
2017-02-21,51043290000
2017-02-22,51031260000
2017-02-23,51163590000
2017-02-24,51813210000
2017-02-27,51295920000
2017-02-28,50526000000
2017-03-01,51043290000
2017-03-02,51452310000
2017-03-03,51765090000
2017-03-06,51572610000
2017-03-07,51596670000
2017-03-08,51476370000
2017-03-09,51632760000
2017-03-10,51716970000
2017-03-13,51235770000
2017-03-14,50646300000
2017-03-15,50995170000
2017-03-16,51007200000
2017-03-17,51825240000
2017-03-20,51921479999
2017-03-21,51295920000
2017-03-22,51957570000
2017-03-23,51897420000
2017-03-24,51885390000
2017-03-27,51825240000
2017-03-28,51909450000
2017-03-29,52017720000
2017-03-30,52378620000
2017-03-31,51710040000
2017-04-03,51241260000
2017-04-04,51349440000
2017-04-05,51553780000
2017-04-06,51565800000
2017-04-07,51734080000
2017-04-10,51746100000
2017-04-11,51313380000
2017-04-12,51072980000
2017-04-13,51145100000
2017-04-17,51806200000
2017-04-18,51794180000
2017-04-19,52046600000
2017-04-20,52515380000
2017-04-21,52659620000
2017-04-24,53212540000
2017-04-25,53741420000
2017-04-26,53380819999
2017-04-27,56674300000
2017-04-28,57359440000
2017-05-01,57143080000
2017-05-02,58958100000
2017-05-03,58922040000
2017-05-04,58789819999
2017-05-05,59258600000
2017-05-08,59102340000
2017-05-09,59162440000
2017-05-10,59847580000
2017-05-11,59739400000
2017-05-12,59342740000
2017-05-15,59823540000
2017-05-16,60508680000
2017-05-17,58958100000
2017-05-18,59030220000
2017-05-19,59366780000
2017-05-22,59823540000
2017-05-23,60256260000
2017-05-24,61362100000
2017-05-25,61217860000
2017-05-26,61530380000
2017-05-30,61374120000
2017-05-31,62756420000
2017-06-01,63898319999
2017-06-02,64331040000
2017-06-05,64667600000
2017-06-06,64186800000
2017-06-07,64727700000
2017-06-08,65376780000
2017-06-09,64186800000
2017-06-12,62696319999
2017-06-13,62576120000
2017-06-14,62383800000
2017-06-15,62852580000
2017-06-16,62311680000
2017-06-19,63621860000
2017-06-20,63129040000
2017-06-21,64355080000
2017-06-22,64751740000
2017-06-23,65304660000
2017-06-26,64595480000
2017-06-27,63381460000
2017-06-28,65376780000
2017-06-29,64210840000
2017-06-30,64511340000
2017-07-03,63549740000
2017-07-05,65641220000
2017-07-06,64270940000
2017-07-07,64871940000
2017-07-10,66037880000
2017-07-11,65821520000
2017-07-12,67973100000
2017-07-13,69595800000
2017-07-14,68706319999
2017-07-17,69211160000
2017-07-18,70869920000
2017-07-19,70136700000
2017-07-20,71026180000
2017-07-21,70521340000
2017-07-24,70413160000
2017-07-25,70028520000
2017-07-26,70665580000
2017-07-27,72300300000
2017-07-28,71158400000
2017-07-31,70377100000
2017-08-01,71326680000
2017-08-02,71062240000
2017-08-03,70220840000
2017-08-04,70749720000
2017-08-07,71663240000
2017-08-08,71494960000
2017-08-09,71723340000
2017-08-10,69740040000
2017-08-11,69764080000
2017-08-14,70990120000
2017-08-15,71747380000
2017-08-16,72468580000
2017-08-17,71266580000
2017-08-18,71446880000
2017-08-21,71398800000
2017-08-22,73129680000
2017-08-23,72180100000
2017-08-24,72120000000
2017-08-25,72083940000
2017-08-28,72757060000
2017-08-29,73334020000
2017-08-30,74247540000
2017-08-31,74139360000
2017-09-01,73874920000
2017-09-05,73646540000
2017-09-06,73610480000
2017-09-07,74524000000
2017-09-08,73478260000
2017-09-11,75293280000
2017-09-12,75197120000
2017-09-13,74572080000
2017-09-14,74812480000
2017-09-15,75125000000
2017-09-18,75629840000
2017-09-19,76723660000
2017-09-20,77817480000
2017-09-21,77685260000
2017-09-22,78226160000
2017-09-25,76327000000
2017-09-26,75653880000
2017-09-27,76122660000
2017-09-28,76843860000
2017-09-29,76964060000
2017-10-02,77208540000
2017-10-03,77256660000
2017-10-04,77004030000
2017-10-05,79181459999
2017-10-06,79458150000
2017-10-09,79674690000
2017-10-10,79446120000
2017-10-11,81539340000
2017-10-12,82838580000
2017-10-13,82597980000
2017-10-16,80973930000
2017-10-17,80204010000
2017-10-18,80913780000
2017-10-19,80901750000
2017-10-20,85376910000
2017-10-23,83969400000
2017-10-24,84462630000
2017-10-25,85437060000
2017-10-26,85822020000
2017-10-27,85485180000
2017-10-30,85593450000
2017-10-31,87289680000
2017-11-01,87073140000
2017-11-02,86916750000
2017-11-03,88288170000
2017-11-06,89912220000
2017-11-07,89515230000
2017-11-08,89948310000
2017-11-09,89142300000
2017-11-10,89009970000
2017-11-13,89058090000
2017-11-14,89611470000
2017-11-15,88336290000
2017-11-16,93473100000
2017-11-17,91885140000
2017-11-20,91440030000
2017-11-21,93557310000
2017-11-22,93316709999
2017-11-24,94519709999
2017-11-27,93641520000
2017-11-28,93581370000
2017-11-29,88119750000
2017-11-30,91103190000
2017-12-01,90585900000
2017-12-04,85376910000
2017-12-05,85653600000
2017-12-06,87987420000
2017-12-07,88649070000
2017-12-08,87710730000
2017-12-11,88167870000
2017-12-12,88564860000
2017-12-13,89130270000
2017-12-14,89334780000
2017-12-15,91006950000
2017-12-18,90609959999
2017-12-19,89623500000
2017-12-20,89022000000
2017-12-21,89046060000
2017-12-22,88889670000
2017-12-26,89346810000
2017-12-27,89731770000
2017-12-28,89226510000
2017-12-29,88564860000
2018-01-02,88017280000
2018-01-03,91486000000
2018-01-04,91462160000
2018-01-05,93810400000
2018-01-08,94227600000
2018-01-09,94394480000
2018-01-10,94609040000
2018-01-11,95062000000
2018-01-12,96003680000
2018-01-16,95860640000
2018-01-17,98304240000
2018-01-18,98864480000
2018-01-19,99937280000
2018-01-22,100104160000
2018-01-23,100378320000
2018-01-24,99782320000
2018-01-25,100533280000
2018-01-26,101856400000
2018-01-29,100497520000
2018-01-30,99865760000
2018-01-31,101701439999
2018-02-01,93452800000
2018-02-02,91271439999
2018-02-05,89048360000
2018-02-06,90210560000
2018-02-07,90103280000
2018-02-08,86205439999
2018-02-09,89102000000
2018-02-12,89733760000
2018-02-13,89364240000
2018-02-14,92105840000
2018-02-15,93327640000
2018-02-16,93417040000
2018-02-20,91855520000
2018-02-21,91199920000
2018-02-22,92618400000
2018-02-23,94990480000
2018-02-26,94585200000
2018-02-27,94716320000
2018-02-28,94656720000
2018-03-01,93738880000
2018-03-02,94013040000
2018-03-05,94251439999
2018-03-06,94442160000
2018-03-07,94787840000
2018-03-08,95205040000
2018-03-09,96206320000
2018-03-12,96075200000
2018-03-13,95598400000
2018-03-14,99305520000
2018-03-15,98423439999
2018-03-16,97934720000
2018-03-19,95717600000
2018-03-20,96385120000
2018-03-21,96599680000
2018-03-22,93643520000
2018-03-23,91116480000
2018-03-26,94108400000
2018-03-27,90961520000
2018-03-28,89471520000
2018-03-29,90437040000
2018-04-02,89025000000
2018-04-03,88502720000
2018-04-04,88763860000
2018-04-05,91339650000
2018-04-06,87671820000
2018-04-09,89250530000
2018-04-10,91149730000
2018-04-11,90805500000
2018-04-12,91945020000
2018-04-13,91719490000
2018-04-16,92348600000
2018-04-17,94995610000
2018-04-18,95363580000
2018-04-19,94580160000
2018-04-20,93452510000
2018-04-23,92835270000
2018-04-24,89357360000
2018-04-25,87838000000
2018-04-26,90247610000
2018-04-27,87992310000
2018-04-30,88562070000
2018-05-01,88799470000
2018-05-02,85143510000
2018-05-03,87185150000
2018-05-04,87826130000
2018-05-07,88633290000
2018-05-08,89879640000
2018-05-09,91410870000
2018-05-10,93998530000
2018-05-11,94010400000
2018-05-14,93547470000
2018-05-15,92336730000
2018-05-16,92372339999
2018-05-17,93998530000
2018-05-18,95897730000
2018-05-21,96443750000
2018-05-22,95695940000
2018-05-23,96241960000
2018-05-24,96799850000
2018-05-25,96099520000
2018-05-29,95826510000
2018-05-30,96859200000
2018-05-31,97417089999
2018-06-01,98817750000
2018-06-04,100384589999
2018-06-05,100954350000
2018-06-06,101144270000
2018-06-07,98841490000
2018-06-08,100111580000
2018-06-11,99577430000
2018-06-12,100918740000
2018-06-13,101215490000
2018-06-14,101619070000
2018-06-15,101262970000
2018-06-18,101903950000
2018-06-19,100325240000
2018-06-20,102022650000
2018-06-21,102046390000
2018-06-22,101037440000
2018-06-25,97559530000
2018-06-26,97713839999
2018-06-27,95755290000
2018-06-28,97903760000
2018-06-29,98841490000
2018-07-02,99074090000
2018-07-03,98341870000
2018-07-05,99900790000
2018-07-06,101495140000
2018-07-09,101837630000
2018-07-10,101766770000
2018-07-11,101861250000
2018-07-12,105262530000
2018-07-13,103916190000
2018-07-16,103656370000
2018-07-17,104612980000
2018-07-18,104187820000
2018-07-19,103195780000
2018-07-20,103302070000
2018-07-23,105392440000
2018-07-24,107955210000
2018-07-25,107907970000
2018-07-26,105274340000
2018-07-27,100928260000
2018-07-30,97302590000
2018-07-31,97007340000
2018-08-01,98566260000
2018-08-02,101010930000
2018-08-03,100609390000
2018-08-06,101294370000
2018-08-07,101920300000
2018-08-08,102439940000
2018-08-09,102947770000
2018-08-10,102758810000
2018-08-13,102758810000
2018-08-14,103609130000
2018-08-15,100609390000
2018-08-16,100762919999
2018-08-17,100916450000
2018-08-20,101270750000
2018-08-21,101825820000
2018-08-22,102687950000
2018-08-23,103195780000
2018-08-24,106408100000
2018-08-27,106254570000
2018-08-28,107010410000
2018-08-29,109384220000
2018-08-30,108758290000
2018-08-31,109041730000
2018-09-04,109915669999
2018-09-05,105168050000
2018-09-06,105109000000
2018-09-07,104896419999
2018-09-10,106053800000
2018-09-11,107978830000
2018-09-12,109124400000
2018-09-13,108876390000
2018-09-14,107211180000
2018-09-17,104731080000
2018-09-18,105959320000
2018-09-19,105475110000
2018-09-20,106998600000
2018-09-21,107022220000
2018-09-24,105841220000
2018-09-25,106337240000
2018-09-26,106112850000
2018-09-27,105097190000
2018-09-28,103739040000
2018-10-01,103046350000
2018-10-02,102022360000
2018-10-03,102575550000
2018-10-04,99268180000
2018-10-05,97902860000
2018-10-08,94807350000
2018-10-09,94195310000
2018-10-10,88804650000
2018-10-11,89334300000
2018-10-12,93018310000
2018-10-15,90899710000
2018-10-16,94877970000
2018-10-17,94265930000
2018-10-18,91193960000
2018-10-19,99786060000
2018-10-22,100551110000
2018-10-23,103069889999
2018-10-24,97796930000
2018-10-25,101174920000
2018-10-26,98126490000
2018-10-29,95513550000
2018-10-30,95219300000
2018-10-31,99091630000
2018-11-01,100092080000
2018-11-02,98291270000
2018-11-05,98926850000
2018-11-06,99680130000
2018-11-07,103846710000
2018-11-08,104800080000
2018-11-09,102116520000
2018-11-12,98609060000
2018-11-13,98609060000
2018-11-14,98926850000
2018-11-15,102092980000
2018-11-16,100115620000
2018-11-19,94313010000
2018-11-20,91523520000
2018-11-21,93124240000
2018-11-23,91747150000
2018-11-26,95172220000
2018-11-27,96478690000
2018-11-28,101198460000
2018-11-29,99174020000
2018-11-30,100998370000
2018-12-03,103552460000
2018-12-04,99091630000
2018-12-06,101010139999
2018-12-07,97420290000
2018-12-10,99962610000
2018-12-11,100645270000
2018-12-12,101810500000
2018-12-13,103058120000
2018-12-14,101127840000
2018-12-17,98985700000
2018-12-18,100645270000
2018-12-19,98903310000
2018-12-20,97031880000
2018-12-21,91970780000
2018-12-24,90699620000
2018-12-26,97455600000
2018-12-27,99232870000
2018-12-28,97997020000
2018-12-31,98469390000
2019-01-02,100413250000
2019-01-03,96127390000
2019-01-04,101022170000
2019-01-07,101795030000
2019-01-08,103867700000
2019-01-09,104863050000
2019-01-10,106209700000
2019-01-11,106151150000
2019-01-14,105893530000
2019-01-15,107263600000
2019-01-16,106034050000
2019-01-17,105858400000
2019-01-18,106701520000
2019-01-22,105319740000
2019-01-23,105975500000
2019-01-24,107966200000
2019-01-25,110401880000
2019-01-28,108083300000
2019-01-29,106701520000
2019-01-30,108223820000
2019-01-31,103937960000
2019-02-01,105401710000
2019-02-04,107333860000
2019-02-05,108048170000
2019-02-06,108024750000
2019-02-07,106385350000
2019-02-08,107579770000
2019-02-11,108539990000
2019-02-12,110518980000
2019-02-13,110085710000
2019-02-14,110565820000
2019-02-15,111139610000
2019-02-19,111268420000
2019-02-20,110928830000
2019-02-21,111198160000
2019-02-22,112392580000
2019-02-25,113235700000
2019-02-26,113106890000
2019-02-27,114594060000
2019-02-28,114839969999
2019-03-01,115694800000
2019-03-04,113083469999
2019-03-05,113036630000
2019-03-06,112954660000
2019-03-07,112661910000
2019-03-08,112052990000
2019-03-11,114113950000
2019-03-12,114172500000
2019-03-13,116292010000
2019-03-14,115964130000
2019-03-15,117954830000
2019-03-18,117416170000
2019-03-19,118903340000
2019-03-20,119805010000
2019-03-21,121959650000
2019-03-22,118587170000
2019-03-25,118915050000
2019-03-26,120788650000
2019-03-27,120694969999
2019-03-28,121620060000
2019-03-29,121596640000
2019-04-01,124021250000
2019-04-02,123645250000
2019-04-03,123010750000
2019-04-04,122740500000
2019-04-05,124232750000
2019-04-08,125219749999
2019-04-09,125642750000
2019-04-10,126324250000
2019-04-11,125090500000
2019-04-12,127464000000
2019-04-15,127064500000
2019-04-16,127135000000
2019-04-17,127851750000
2019-04-18,126148000000
2019-04-22,125501750000
2019-04-23,125607500000
2019-04-24,125983500000
2019-04-25,129508500000
2019-04-26,129908000000
2019-04-29,132117000000
2019-04-30,132504750000
2019-05-01,130354500000
2019-05-02,128897500000
2019-05-03,131553000000
2019-05-06,130248750000
2019-05-07,128016250000
2019-05-08,128157249999
2019-05-09,128932750000
2019-05-10,129731750000
2019-05-13,125525250000
2019-05-14,128180750000
2019-05-15,131012500000
2019-05-16,133797250000
2019-05-17,132540000000
2019-05-20,131776250000
2019-05-21,132105250000
2019-05-22,132152250000
2019-05-23,129132500000
2019-05-24,129073750000
2019-05-28,131294500000
2019-05-29,129344000000
2019-05-30,130906750000
2019-05-31,128956250000
2019-06-03,123986000000
2019-06-04,127757750000
2019-06-05,130154750000
2019-06-06,131341500000
2019-06-07,133973500000
2019-06-10,135853500000
2019-06-11,134655000000
2019-06-12,134537500000
2019-06-13,135971000000
2019-06-14,136499750000
2019-06-17,137663000000
2019-06-18,136276500000
2019-06-19,137639500000
2019-06-20,139578250000
2019-06-21,136546750000
2019-06-24,136887500000
2019-06-25,134467000000
2019-06-26,134126250000
2019-06-27,133562250000
2019-06-28,134490500000
2019-07-01,135160250000
2019-07-02,136499750000
2019-07-03,138274000000
2019-07-05,137663000000
2019-07-08,137416250000
2019-07-09,139084750000
2019-07-10,140577000000
2019-07-11,141763750000
2019-07-12,141141000000
2019-07-15,142057500000
2019-07-16,140659250000
2019-07-17,139601750000
2019-07-18,140847250000
2019-07-19,139390250000
2019-07-22,139460750000
2019-07-23,141258500000
2019-07-24,142527500000
2019-07-25,135266000000
2019-07-26,135700750000
2019-07-29,130953750000
2019-07-30,131647000000
2019-07-31,129720000000
2019-08-01,130190000000
2019-08-02,125830750000
2019-08-05,121730000000
2019-08-06,123410250000
2019-08-07,125290250000
2019-08-08,125478250000
2019-08-09,123163499999
2019-08-12,120696000000
2019-08-13,124597000000
2019-08-14,121342250000
2019-08-15,123316250000
2019-08-16,124738000000
2019-08-19,126512250000
2019-08-20,126159750000
2019-08-21,129038499999
2019-08-22,127804750000
2019-08-23,124597000000
2019-08-26,126500500000
2019-08-27,126253750000
2019-08-28,126277250000
2019-08-29,128321750000
2019-08-30,128133750000
2019-09-03,125431250000
2019-09-04,127757750000
2019-09-05,130965500000
2019-09-06,129308750000
2019-09-09,123880250000
2019-09-10,121083750000
2019-09-11,122223500000
2019-09-12,125842500000
2019-09-13,125725000000
2019-09-16,125161000000
2019-09-17,126312500000
2019-09-18,124080000000
2019-09-19,124691000000
2019-09-20,122952000000
2019-09-23,123504250000
2019-09-24,121835750000
2019-09-25,122364500000
2019-09-26,122846250000
2019-09-27,120085000000
2019-09-30,121614660000
2019-10-01,120370220000
2019-10-02,117083020000
2019-10-03,118609220000
2019-10-04,120675460000
2019-10-07,119301880000
2019-10-08,116613420000
2019-10-09,117270860000
2019-10-10,118033960000
2019-10-11,119254920000
2019-10-14,119454500000
2019-10-15,121614660000
2019-10-16,121027660000
2019-10-17,121661620000
2019-10-18,118832280000
2019-10-21,119090560000
2019-10-22,114300640000
2019-10-23,113455360000
2019-10-24,123164340000
2019-10-25,125841060000
2019-10-28,125148400000
2019-10-29,123270000000
2019-10-30,125031000000
2019-10-31,122213400000
2019-11-01,123246520000
2019-11-04,120698940000
2019-11-05,118562260000
2019-11-06,118139620000
2019-11-07,117951780000
2019-11-08,119067080000
2019-11-11,120534580000
2019-11-12,119783220000
2019-11-13,119888880000
2019-11-14,121779020000
2019-11-15,122330800000
2019-11-18,121696840000
2019-11-19,123211300000
2019-11-20,122201660000
2019-11-21,120393700000
2019-11-22,119477980000
2019-11-25,122624300000
2019-11-26,124678800000
2019-11-27,126498500000
2019-11-29,126803740000
2019-12-02,124690540000
2019-12-03,123962660000
2019-12-04,123270000000
2019-12-05,122788660000
2019-12-06,122495160000
2019-12-09,121837720000
2019-12-10,121649880000
2019-12-11,123868740000
2019-12-12,124056580000
2019-12-13,126381100000
2019-12-16,128635179999
2019-12-17,127332040000
2019-12-18,126592420000
2019-12-19,127825120000
2019-12-20,127672500000
2019-12-23,127508140000
2019-12-24,127602060000
2019-12-26,128846500000
2019-12-27,128435600000
2019-12-30,126756780000
2019-12-31,126883410000
2020-01-02,129909750000
2020-01-03,127575480000
2020-01-06,129229410000
2020-01-07,128642910000
2020-01-08,131164859999
2020-01-09,132044609999
2020-01-10,132466890000
2020-01-13,135223440000
2020-01-14,134472720000
2020-01-15,134719050000
2020-01-16,135364200000
2020-01-17,136114920000
2020-01-21,136243950000
2020-01-22,135481500000
2020-01-23,138284970000
2020-01-24,137217540000
2020-01-27,135176520000
2020-01-28,136677960000
2020-01-29,136842180000
2020-01-30,137381760000
2020-01-31,133592970000
2020-02-03,136666230000
2020-02-04,140853840000
2020-02-05,140431560000
2020-02-06,140630970000
2020-02-07,139446240000
2020-02-10,140830380000
2020-02-11,139399320000
2020-02-12,139070880000
2020-02-13,141358230000
2020-02-14,144267270000
2020-02-18,143422710000
2020-02-19,145346430000
