,IP
2002-05-09,19404540000
2002-05-10,19298346000
2002-05-13,19602447000
2002-05-14,19940337000
2002-05-15,20283054000
2002-05-16,19983780000
2002-05-17,19993434000
2002-05-20,19843797000
2002-05-21,19737603000
2002-05-22,19723122000
2002-05-23,19969299000
2002-05-24,19785873000
2002-05-28,19631409000
2002-05-29,19419021000
2002-05-30,19385232000
2002-05-31,19428675000
2002-06-03,19066650000
2002-06-04,19196979000
2002-06-05,19539696000
2002-06-06,19361097000
2002-06-07,19298346000
2002-06-10,19534869000
2002-06-11,19390059000
2002-06-12,19515561000
2002-06-13,19168017000
2002-06-14,19061823000
2002-06-17,19525215000
2002-06-18,19785873000
2002-06-19,19544523000
2002-06-20,19525215000
2002-06-21,19385232000
2002-06-24,19660371000
2002-06-25,19472118000
2002-06-26,19158363000
2002-06-27,19076304000
2002-06-28,19645890000
2002-07-01,19253622000
2002-07-02,19051560000
2002-07-03,19205512000
2002-07-05,19725100000
2002-07-08,19537471000
2002-07-09,19138158000
2002-07-10,18709979000
2002-07-11,18623381000
2002-07-12,18397264000
2002-07-15,17911353000
2002-07-16,17771834000
2002-07-17,18060494000
2002-07-18,17819944000
2002-07-19,16997263000
2002-07-22,16439187000
2002-07-23,16314100999
2002-07-24,17367710000
2002-07-25,17411009000
2002-07-26,17367710000
2002-07-29,18195202000
2002-07-30,17872865000
2002-07-31,17892109000
2002-08-01,17757401000
2002-08-02,16891421000
2002-08-05,16530596000
2002-08-06,16958775000
2002-08-07,17295545000
2002-08-08,17935408000
2002-08-09,18252934000
2002-08-12,18084549000
2002-08-13,17699669000
2002-08-14,17728535000
2002-08-15,17632315000
2002-08-16,16891421000
2002-08-19,17372521000
2002-08-20,17026129000
2002-08-21,17006885000
2002-08-22,17338844000
2002-08-23,17030940000
2002-08-26,17247435000
2002-08-27,16925098000
2002-08-28,16713414000
2002-08-29,16756713000
2002-08-30,16915475999
2002-09-03,16713414000
2002-09-04,16698981000
2002-09-05,16150527000
2002-09-06,16107227999
2002-09-09,16424754000
2002-09-10,16434375999
2002-09-11,16578706000
2002-09-12,16771146000
2002-09-13,16641249000
2002-09-16,16087983999
2002-09-17,15573206999
2002-09-18,15072863000
2002-09-19,14846746000
2002-09-20,15260492000
2002-09-23,15342279000
2002-09-24,14351213000
2002-09-25,14976643000
2002-09-26,15553963000
2002-09-27,15318224000
2002-09-30,14935220000
2002-10-01,15529180000
2002-10-02,15122030000
2002-10-03,15304050000
2002-10-04,15102870000
2002-10-07,14556810000
2002-10-08,14825050000
2002-10-09,14068230000
2002-10-10,14714880000
2002-10-11,15428590000
2002-10-14,15615400000
2002-10-15,16597350000
2002-10-16,16511130000
2002-10-17,16750630000
2002-10-18,16908699999
2002-10-21,17358960000
2002-10-22,17042820000
2002-10-23,16884750000
2002-10-24,16477600000
2002-10-25,16329110000
2002-10-28,16156669999
2002-10-29,16056080000
2002-10-30,15874060000
2002-10-31,15624979999
2002-11-01,15739940000
2002-11-04,15902800000
2002-11-05,16003389999
2002-11-06,16410540000
2002-11-07,16012970000
2002-11-08,15596240000
2002-11-11,15145980000
2002-11-12,15308840000
2002-11-13,15328000000
2002-11-14,15888430000
2002-11-15,15984229999
2002-11-18,15744729999
2002-11-19,15869270000
2002-11-20,15998600000
2002-11-21,16736259999
2002-11-22,16539870000
2002-11-25,16750630000
2002-11-26,16707520000
2002-11-27,17392490000
2002-11-29,17560140000
2002-12-02,17172150000
2002-12-03,17085930000
2002-12-04,16765000000
2002-12-05,16621300000
2002-12-06,16712310000
2002-12-09,16194990000
2002-12-10,16127930000
2002-12-11,16147090000
2002-12-12,15548340000
2002-12-13,15313630000
2002-12-16,15701620000
2002-12-17,15634560000
2002-12-18,15768680000
2002-12-19,15620190000
2002-12-20,15802210000
2002-12-23,15735150000
2002-12-24,15624979999
2002-12-26,15720780000
2002-12-27,15462120000
2002-12-30,15706410000
2002-12-31,15644139999
2003-01-02,15893220000
2003-01-03,15754310000
2003-01-06,16142300000
2003-01-07,16228520000
2003-01-08,15850110000
2003-01-09,16343479999
2003-01-10,16841639999
2003-01-13,16966180000
2003-01-14,17100300000
2003-01-15,16956600000
2003-01-16,17176940000
2003-01-17,17047610000
2003-01-21,16630880000
2003-01-22,16276419999
2003-01-23,16592560000
2003-01-24,16190199999
2003-01-27,15735150000
2003-01-28,15859690000
2003-01-29,16137509999
2003-01-30,15835740000
2003-01-31,15969860000
2003-02-03,15902800000
2003-02-04,16065660000
2003-02-05,16060870000
2003-02-06,15888430000
2003-02-07,15725570000
2003-02-10,15802210000
2003-02-11,15644139999
2003-02-12,15993810000
2003-02-13,15830949999
2003-02-14,15888430000
2003-02-18,16151880000
2003-02-19,15735150000
2003-02-20,15510020000
2003-02-21,15926750000
2003-02-24,15533970000
2003-02-25,15620190000
2003-02-26,15629770000
2003-02-27,15854900000
2003-02-28,15668090000
2003-03-03,15725570000
2003-03-04,15601030000
2003-03-05,15634560000
2003-03-06,15189090000
2003-03-07,15342370000
2003-03-10,15131610000
2003-03-11,15054970000
2003-03-12,15026230000
2003-03-13,15428590000
2003-03-14,15941120000
2003-03-17,16400960000
2003-03-18,16554240000
2003-03-19,16602139999
2003-03-20,16597350000
2003-03-21,16994919999
2003-03-24,16338690000
2003-03-25,16324320000
2003-03-26,15936330000
2003-03-27,15500440000
2003-03-28,15490860000
2003-03-31,15122030000
2003-04-01,15275310000
2003-04-02,15668090000
2003-04-03,15557919999
2003-04-04,15529180000
2003-04-07,15639350000
2003-04-08,15529180000
2003-04-09,15232200000
2003-04-10,15141190000
2003-04-11,15093290000
2003-04-14,15179510000
2003-04-15,15236990000
2003-04-16,14959170000
2003-04-17,15131610000
2003-04-21,15136400000
2003-04-22,15739940000
2003-04-23,15979440000
2003-04-24,15835740000
2003-04-25,15859690000
2003-04-28,15993810000
2003-04-29,16084820000
2003-04-30,15993810000
2003-05-01,15797419999
2003-05-02,16142300000
2003-05-05,16060870000
2003-05-06,16348270000
2003-05-07,16103979999
2003-05-08,15945910000
2003-05-09,16343479999
2003-05-12,16702729999
2003-05-13,16712310000
2003-05-14,16611720000
2003-05-15,16741050000
2003-05-16,16611720000
2003-05-19,16171040000
2003-05-20,16132720000
2003-05-21,16161460000
2003-05-22,16559030000
2003-05-23,16410540000
2003-05-27,16784160000
2003-05-28,16544660000
2003-05-29,16343479999
2003-05-30,16405750000
2003-06-02,16477600000
2003-06-03,16530290000
2003-06-04,16980550000
2003-06-05,17267950000
2003-06-06,17196100000
2003-06-09,17033240000
2003-06-10,17085930000
2003-06-11,17402070000
2003-06-12,17335010000
2003-06-13,16942229999
2003-06-16,17291900000
2003-06-17,17100300000
2003-06-18,16990130000
2003-06-19,17004500000
2003-06-20,16808110000
2003-06-23,16511130000
2003-06-24,16640460000
2003-06-25,16415330000
2003-06-26,16463229999
2003-06-27,16156669999
2003-06-30,16010925999
2003-07-01,16164461999
2003-07-02,16529110000
2003-07-03,16490725999
2003-07-07,16840980000
2003-07-08,16836182000
2003-07-09,16735424000
2003-07-10,16174058000
2003-07-11,16303603999
2003-07-14,16370775999
2003-07-15,16461938000
2003-07-16,16428352000
2003-07-17,16509917999
2003-07-18,16927344000
2003-07-21,16888960000
2003-07-22,17306386000
2003-07-23,17287194000
2003-07-24,16970525999
2003-07-25,17114466000
2003-07-28,17272800000
2003-07-29,17239214000
2003-07-30,17224820000
2003-07-31,17527094000
2003-08-01,17474316000
2003-08-04,17435932000
2003-08-05,17176839999
2003-08-06,17090475999
2003-08-07,17138456000
2003-08-08,17421538000
2003-08-11,17656640000
2003-08-12,17790984000
2003-08-13,17786186000
2003-08-14,18280380000
2003-08-15,18237198000
2003-08-18,18457906000
2003-08-19,18568260000
2003-08-20,18352350000
2003-08-21,18371542000
2003-08-22,18194016000
2003-08-25,18006894000
2003-08-26,18006894000
2003-08-27,18107652000
2003-08-28,18328360000
2003-08-29,18170026000
2003-09-02,18323562000
2003-09-03,18194016000
2003-09-04,17896540000
2003-09-05,17766994000
2003-09-08,17925328000
2003-09-09,18203612000
2003-09-10,17666236000
2003-09-11,17872550000
2003-09-12,18002096000
2003-09-15,17843762000
2003-09-16,18371542000
2003-09-17,18131642000
2003-09-18,18371542000
2003-09-19,18352350000
2003-09-22,18088460000
2003-09-23,18117248000
2003-09-24,17829368000
2003-09-25,17555882000
2003-09-26,17445528000
2003-09-29,17680630000
2003-09-30,17509420000
2003-10-01,17667985000
2003-10-02,17735255000
2003-10-03,17446955000
2003-10-06,17499810000
2003-10-07,17480590000
2003-10-08,17634350000
2003-10-09,17442150000
2003-10-10,17197095000
2003-10-13,17562275000
2003-10-14,17639155000
2003-10-15,17615130000
2003-10-16,17860185000
2003-10-17,17624740000
2003-10-20,17792915000
2003-10-21,17648765000
2003-10-22,17398905000
2003-10-23,17504615000
2003-10-24,17249950000
2003-10-27,17052945000
2003-10-28,17403710000
2003-10-29,17365270000
2003-10-30,17648765000
2003-10-31,17658375000
2003-11-03,17711230000
2003-11-04,17610325000
2003-11-05,17322025000
2003-11-06,17120215000
2003-11-07,16932820000
2003-11-10,16702179999
2003-11-11,16735815000
2003-11-12,16918405000
2003-11-13,16865550000
2003-11-14,16755034999
2003-11-17,16601274999
2003-11-18,16538810000
2003-11-19,16649325000
2003-11-20,16572445000
2003-11-21,16649325000
2003-11-24,16942429999
2003-11-25,16836720000
2003-11-26,16726205000
2003-11-28,16697375000
2003-12-01,17389295000
2003-12-02,17547860000
2003-12-03,17634350000
2003-12-04,17864990000
2003-12-05,17653570000
2003-12-08,18052385000
2003-12-09,18225365000
2003-12-10,18234975000
2003-12-11,18407955000
2003-12-12,18441590000
2003-12-15,18297440000
2003-12-16,18379125000
2003-12-17,18480030000
2003-12-18,18821185000
2003-12-19,18965335000
2003-12-22,19008580000
2003-12-23,19008580000
2003-12-24,18931700000
2003-12-26,18950920000
2003-12-29,19349735000
2003-12-30,19344930000
2003-12-31,19501944000
2004-01-02,19332404000
2004-01-05,19724768000
2004-01-06,19802272000
2004-01-07,20020252000
2004-01-08,20349644000
2004-01-09,20088068000
2004-01-12,20189792000
2004-01-13,19986344000
2004-01-14,20039628000
2004-01-15,19841024000
2004-01-16,19724768000
2004-01-20,19671484000
2004-01-21,19598824000
2004-01-22,19618200000
2004-01-23,19133800000
2004-01-26,19487412000
2004-01-27,19317872000
2004-01-28,19003012000
2004-01-29,18848004000
2004-01-30,19124112000
2004-02-02,19230680000
2004-02-03,18852848000
2004-02-04,18421732000
2004-02-05,18683308000
2004-02-06,19099892000
2004-02-09,19182240000
2004-02-10,19109580000
2004-02-11,19598824000
2004-02-12,19608512000
2004-02-13,19632732000
2004-02-17,19681172000
2004-02-18,19390532000
2004-02-19,19676328000
2004-02-20,19802272000
2004-02-23,19957280000
2004-02-24,20073536000
2004-02-25,20243076000
2004-02-26,20092912000
2004-02-27,20020252000
2004-03-01,20131664000
2004-03-02,19879776000
2004-03-03,19821648000
2004-03-04,19962124000
2004-03-05,19918528000
2004-03-08,19763520000
2004-03-09,19201616000
2004-03-10,18576740000
2004-03-11,18392668000
2004-03-12,18731748000
2004-03-15,18339384000
2004-03-16,18465328000
2004-03-17,18785032000
2004-03-18,18755968000
2004-03-19,18760812000
2004-03-22,18295788000
2004-03-23,18232816000
2004-03-24,18077808000
2004-03-25,18523456000
2004-03-26,18809252000
2004-03-29,19095048000
2004-03-30,19191928000
2004-03-31,19166632000
2004-04-01,19127784000
2004-04-02,19351160000
2004-04-05,19229760000
2004-04-06,19424000000
2004-04-07,19229760000
2004-04-08,19050088000
2004-04-12,19220048000
2004-04-13,18850992000
2004-04-14,19001528000
2004-04-15,18991816000
2004-04-16,19380296000
2004-04-19,19312312000
2004-04-20,18909264000
2004-04-21,18681032000
2004-04-22,19511408000
2004-04-23,19589104000
2004-04-26,19244328000
2004-04-27,19312312000
2004-04-28,18671320000
2004-04-29,18360536000
