,PCG
2001-04-09,2504700000
2001-04-10,3085500000
2001-04-11,3070980000
2001-04-12,3139950000
2001-04-16,3208920000
2001-04-17,3230700000
2001-04-18,3281519999
2001-04-19,3168990000
2001-04-20,3230700000
2001-04-23,3263370000
2001-04-24,3274260000
2001-04-25,3194400000
2001-04-26,3172620000
2001-04-27,3245220000
2001-04-30,3256110000
2001-05-01,3267000000
2001-05-02,3252480000
2001-05-03,3216180000
2001-05-04,3267000000
2001-05-07,3267000000
2001-05-08,3248849999
2001-05-09,3267000000
2001-05-10,3303300000
2001-05-11,3840540000
2001-05-14,4283400000
2001-05-15,4192650000
2001-05-16,3993000000
2001-05-17,4236210000
2001-05-18,4225320000
2001-05-21,4051080000
2001-05-22,4076490000
2001-05-23,4065599999
2001-05-24,4087380000
2001-05-25,3978480000
2001-05-29,4011150000
2001-05-30,3996630000
2001-05-31,4138200000
2001-06-01,4228950000
2001-06-04,4138200000
2001-06-05,4083750000
2001-06-06,4018410000
2001-06-07,4337850000
2001-06-08,4297920000
2001-06-11,4174500000
2001-06-12,4356000000
2001-06-13,4094640000
2001-06-14,4054710000
2001-06-15,4174500000
2001-06-18,4243470000
2001-06-19,4348740000
2001-06-20,4388670000
2001-06-21,4283400000
2001-06-22,4337850000
2001-06-25,4247099999
2001-06-26,4370520000
2001-06-27,4301550000
2001-06-28,4428600000
2001-06-29,4065599999
2001-07-02,4537500000
2001-07-03,4559280000
2001-07-05,4835160000
2001-07-06,4882350000
2001-07-09,5118300000
2001-07-10,4918650000
2001-07-11,4991250000
2001-07-12,4980360000
2001-07-13,5190900000
2001-07-16,5445000000
2001-07-17,5415960000
2001-07-18,5481300000
2001-07-19,5590200000
2001-07-20,5445000000
2001-07-23,5172750000
2001-07-24,4987620000
2001-07-25,5082000000
2001-07-26,5263500000
2001-07-27,5372400000
2001-07-30,5405070000
2001-07-31,5397810000
2001-08-01,5463150000
2001-08-02,5604720000
2001-08-03,5535750000
2001-08-06,5470410000
2001-08-07,5746290000
2001-08-08,5699100000
2001-08-09,5808000000
2001-08-10,5818890000
2001-08-13,5826150000
2001-08-14,5851560000
2001-08-15,5811630000
2001-08-16,5829780000
2001-08-17,5833410000
2001-08-20,6094770000
2001-08-21,6004020000
2001-08-22,5953199999
2001-08-23,5916900000
2001-08-24,6018539999
2001-08-27,6043949999
2001-08-28,6080250000
2001-08-29,5960460000
2001-08-30,5924160000
2001-08-31,5953199999
2001-09-04,6007650000
2001-09-05,5989500000
2001-09-06,5916900000
2001-09-07,5993130000
2001-09-10,6025800000
2001-09-17,5572050000
2001-09-18,5539380000
2001-09-19,5263500000
2001-09-20,5706360000
2001-09-21,6171000000
2001-09-24,5978610000
2001-09-25,5699100000
2001-09-26,5626500000
2001-09-27,5546640000
2001-09-28,5517600000
2001-10-01,5547360000
2001-10-02,5478200000
2001-10-03,6402760000
2001-10-04,6279000000
2001-10-05,6497400000
2001-10-08,6643000000
2001-10-09,6577480000
2001-10-10,6861400000
2001-10-11,6948760000
2001-10-12,6952400000
2001-10-15,6966960000
2001-10-16,7021560000
2001-10-17,7054320000
2001-10-18,7025200000
2001-10-19,7210840000
2001-10-22,7261800000
2001-10-23,7221760000
2001-10-24,7218119999
2001-10-25,6934200000
2001-10-26,6624800000
2001-10-29,6497400000
2001-10-30,6602960000
2001-10-31,6573840000
2001-11-01,6592040000
2001-11-02,6526520000
2001-11-05,6683040000
2001-11-06,6679400000
2001-11-07,6552000000
2001-11-08,6370000000
2001-11-09,6552000000
2001-11-12,6420960000
2001-11-13,6588400000
2001-11-14,6555640000
2001-11-15,6479200000
2001-11-16,6661200000
2001-11-19,6639359999
2001-11-20,6602960000
2001-11-21,6522880000
2001-11-23,6562920000
2001-11-26,6497400000
2001-11-27,6533800000
2001-11-28,6679400000
2001-11-29,6643000000
2001-11-30,6661200000
2001-12-03,6693960000
2001-12-04,6777680000
2001-12-05,6963320000
2001-12-06,6835920000
2001-12-07,6966960000
2001-12-10,7014280000
2001-12-11,6985160000
2001-12-12,7112560000
2001-12-13,7065240000
2001-12-14,7043400000
2001-12-17,6956040000
2001-12-18,7098000000
2001-12-19,7170800000
2001-12-20,7061599999
2001-12-21,7079800000
2001-12-24,7065240000
2001-12-26,7214480000
2001-12-27,7225400000
2001-12-28,7112560000
2001-12-31,7003359999
2002-01-02,7079800000
2002-01-03,7079800000
2002-01-04,7116200000
2002-01-07,7141680000
2002-01-08,6974240000
2002-01-09,7105280000
2002-01-10,7090720000
2002-01-11,6912359999
2002-01-14,7101640000
2002-01-15,7065240000
2002-01-16,6952400000
2002-01-17,6999720000
2002-01-18,7141680000
2002-01-22,7261800000
2002-01-23,7287280000
2002-01-24,7563920000
2002-01-25,7418320000
2002-01-28,7487480000
2002-01-29,7607599999
2002-01-30,7567560000
2002-01-31,7826000000
2002-02-01,7753200000
2002-02-04,7778680000
2002-02-05,7957040000
2002-02-06,8117200000
2002-02-07,7953400000
2002-02-08,7618520000
2002-02-11,7585760000
2002-02-12,7589400000
2002-02-13,7644000000
2002-02-14,7760480000
2002-02-15,7553000000
2002-02-19,7487480000
2002-02-20,7494760000
2002-02-21,7323680000
2002-02-22,7527520000
2002-02-25,7389200000
2002-02-26,7538440000
2002-02-27,7589400000
2002-02-28,7720440000
2002-03-01,8008000000
2002-03-04,8204560000
2002-03-05,8361080000
2002-03-06,8230040000
2002-03-07,8226400000
2002-03-08,7971599999
2002-03-11,7789599999
2002-03-12,7713160000
2002-03-13,7611240000
2002-03-14,7625800000
2002-03-15,7673119999
2002-03-18,7891520000
2002-03-19,8080800000
2002-03-20,8011640000
2002-03-21,8233680000
2002-03-22,8233680000
2002-03-25,8281000000
2002-03-26,8310119999
2002-03-27,8481200000
2002-03-28,8575840000
2002-04-01,8637600000
2002-04-02,8450940000
2002-04-03,8326500000
2002-04-04,8202060000
2002-04-05,8326500000
2002-04-08,8311860000
2002-04-09,8271600000
2002-04-10,8564399999
2002-04-11,8348460000
2002-04-12,8524140000
2002-04-15,8377740000
2002-04-16,8469240000
2002-04-17,8410680000
2002-04-18,8450940000
2002-04-19,8450940000
2002-04-22,8472899999
2002-04-23,8564399999
2002-04-24,8601000000
2002-04-25,8590020000
2002-04-26,8564399999
2002-04-29,8403360000
2002-04-30,8601000000
2002-05-01,8597340000
2002-05-02,8615640000
2002-05-03,8637600000
2002-05-06,8593680000
2002-05-07,8564399999
2002-05-08,8666880000
2002-05-09,8527800000
2002-05-10,8509500000
2002-05-13,8655900000
2002-05-14,8399700000
2002-05-15,7803120000
2002-05-16,7686000000
2002-05-17,7576200000
2002-05-20,7645740000
2002-05-21,7649399999
2002-05-22,7792140000
2002-05-23,7978800000
2002-05-24,8015399999
2002-05-28,8044680000
2002-05-29,7942200000
2002-05-30,8015399999
2002-05-31,7869000000
2002-06-03,7711620000
2002-06-04,7711620000
2002-06-05,7594500000
2002-06-06,7415160000
2002-06-07,7349279999
2002-06-10,7407839999
2002-06-11,7217520000
2002-06-12,7539600000
2002-06-13,7521300000
2002-06-14,7510320000
2002-06-17,7909260000
2002-06-18,7916580000
2002-06-19,7755540000
2002-06-20,7645740000
2002-06-21,7521300000
2002-06-24,7254120000
2002-06-25,7082100000
2002-06-26,6591660000
2002-06-27,6203700000
2002-06-28,6547740000
2002-07-01,6471550000
2002-07-02,6035140000
2002-07-03,6132120000
2002-07-05,6292510000
2002-07-08,6262670000
2002-07-09,6064980000
2002-07-10,5695710000
2002-07-11,5837450000
2002-07-12,5587540000
2002-07-15,5762850000
2002-07-16,5449530000
2002-07-17,5490560000
2002-07-18,5199620000
2002-07-19,4987010000
2002-07-22,4640120000
2002-07-23,4248470000
2002-07-24,4584170000
2002-07-25,4699800000
2002-07-26,4494650000
2002-07-29,4643850000
2002-07-30,5110100000
2002-07-31,5184700000
2002-08-01,3640480000
2002-08-02,3286130000
2002-08-05,3095900000
2002-08-06,3218990000
2002-08-07,3491280000
2002-08-08,3599450000
2002-08-09,3879200000
2002-08-12,3912770000
2002-08-13,3923960000
2002-08-14,3946340000
2002-08-15,4214900000
2002-08-16,4199980000
2002-08-19,4196250000
2002-08-20,4032130000
2002-08-21,3946340000
2002-08-22,4296960000
2002-08-23,4520760000
2002-08-26,4707260000
2002-08-27,4449890000
2002-08-28,4337990000
2002-08-29,4382750000
2002-08-30,4233550000
2002-09-03,4330530000
2002-09-04,4438700000
2002-09-05,4453620000
2002-09-06,4408860000
2002-09-09,4367830000
2002-09-10,4606550000
2002-09-11,4800510000
2002-09-12,4699800000
2002-09-13,4781860000
2002-09-16,4625200000
2002-09-17,4513300000
2002-09-18,4744560000
2002-09-19,4520760000
2002-09-20,4207439999
2002-09-23,4013480000
2002-09-24,4013480000
2002-09-25,4233550000
2002-09-26,4476000000
2002-09-27,4144030000
2002-09-30,4143680000
2002-10-01,4217280000
2002-10-02,4232000000
2002-10-03,4003840000
2002-10-04,3900800000
2002-10-07,3632159999
2002-10-08,3444480000
2002-10-09,3183200000
2002-10-10,3400320000
2002-10-11,3381920000
2002-10-14,3312000000
2002-10-15,3267840000
2002-10-16,3013920000
2002-10-17,3385599999
2002-10-18,3496000000
2002-10-21,3827200000
2002-10-22,3724159999
2002-10-23,3937599999
2002-10-24,3871360000
2002-10-25,3930240000
2002-10-28,3956000000
2002-10-29,3974400000
2002-10-30,4140000000
2002-10-31,3992800000
2002-11-01,4169440000
2002-11-04,4279840000
2002-11-05,4375520000
2002-11-06,4434400000
2002-11-07,4364480000
2002-11-08,4140000000
2002-11-11,4173120000
2002-11-12,4184159999
2002-11-13,4268800000
2002-11-14,4427040000
2002-11-15,4618400000
2002-11-18,4419680000
2002-11-19,4592640000
2002-11-20,4622080000
2002-11-21,4938560000
2002-11-22,5012160000
2002-11-25,5071040000
2002-11-26,5030560000
2002-11-27,4964320000
2002-11-29,5082080000
2002-12-02,4938560000
2002-12-03,4817120000
2002-12-04,4611040000
2002-12-05,4765600000
2002-12-06,4728800000
2002-12-09,4747200000
2002-12-10,4850240000
2002-12-11,4876000000
2002-12-12,5023200000
2002-12-13,4920160000
2002-12-16,5078400000
2002-12-17,5115200000
2002-12-18,5122560000
2002-12-19,5060000000
2002-12-20,4968000000
2002-12-23,5045280000
2002-12-24,4997440000
2002-12-26,5041600000
2002-12-27,5015840000
2002-12-30,5023200000
2002-12-31,5309800000
2003-01-02,5581020000
2003-01-03,5500800000
2003-01-06,5768200000
2003-01-07,5615400000
2003-01-08,5775840000
2003-01-09,5821680000
2003-01-10,5821680000
2003-01-13,5668880000
2003-01-14,5821680000
2003-01-15,5760560000
2003-01-16,5798760000
2003-01-17,5695620000
2003-01-21,5645960000
2003-01-22,5531360000
2003-01-23,5504620000
2003-01-24,5348000000
2003-01-27,5176100000
2003-01-28,5260140000
2003-01-29,5164640000
2003-01-30,5126440000
2003-01-31,5271600000
2003-02-03,5340360000
2003-02-04,5176100000
2003-02-05,5153180000
2003-02-06,5080600000
2003-02-07,4966000000
2003-02-10,5099700000
2003-02-11,5019480000
2003-02-12,4817020000
2003-02-13,4771180000
2003-02-14,5004200000
2003-02-18,4939260000
2003-02-19,4584000000
2003-02-20,4847580000
2003-02-21,4893420000
2003-02-24,4782640000
2003-02-25,5008020000
2003-02-26,4878140000
2003-02-27,5038580000
2003-02-28,4870500000
2003-03-03,4874320000
2003-03-04,4775000000
2003-03-05,4981280000
2003-03-06,4954540000
2003-03-07,4985100000
2003-03-10,4874320000
2003-03-11,4832300000
2003-03-12,4908700000
2003-03-13,4927800000
2003-03-14,4966000000
2003-03-17,5023300000
2003-03-18,5042400000
2003-03-19,5069140000
2003-03-20,5030940000
2003-03-21,5218120000
2003-03-24,5061500000
2003-03-25,5042400000
2003-03-26,5023300000
2003-03-27,5134080000
2003-03-28,5176100000
2003-03-31,5164800000
2003-04-01,5222400000
2003-04-02,5318400000
2003-04-03,5314560000
2003-04-04,5337600000
2003-04-07,5272320000
2003-04-08,5214720000
2003-04-09,5410560000
2003-04-10,5518080000
2003-04-11,5518080000
2003-04-14,5606400000
2003-04-15,5656320000
2003-04-16,5560320000
2003-04-17,5587200000
2003-04-21,5629440000
2003-04-22,5748480000
2003-04-23,5671680000
2003-04-24,5894400000
2003-04-25,5740800000
2003-04-28,5836800000
2003-04-29,5702400000
2003-04-30,5752320000
2003-05-01,5664000000
2003-05-02,5760000000
2003-05-05,5829120000
2003-05-06,5940480000
2003-05-07,5856000000
2003-05-08,5825280000
2003-05-09,5902080000
2003-05-12,5836800000
2003-05-13,6013440000
2003-05-14,6090240000
2003-05-15,6270719999
2003-05-16,6366719999
2003-05-19,6220800000
2003-05-20,6297599999
2003-05-21,6332159999
2003-05-22,6405120000
2003-05-23,6600960000
2003-05-27,6474240000
2003-05-28,6593280000
2003-05-29,6355200000
2003-05-30,6528000000
2003-06-02,6478080000
2003-06-03,6539520000
2003-06-04,6716159999
2003-06-05,6612480000
2003-06-06,6643200000
2003-06-09,6639360000
2003-06-10,6912000000
2003-06-11,6896640000
2003-06-12,7000320000
2003-06-13,7008000000
2003-06-16,7372800000
2003-06-17,7257599999
2003-06-18,7176960000
2003-06-19,7449599999
2003-06-20,8259840000
2003-06-23,8229120000
2003-06-24,8144640000
2003-06-25,8129280000
2003-06-26,8232960000
2003-06-27,8198400000
2003-06-30,8185049999
2003-07-01,8308890000
2003-07-02,8428860000
2003-07-03,8320500000
2003-07-07,8475299999
2003-07-08,8475299999
2003-07-09,8444340000
2003-07-10,8305020000
2003-07-11,8432730000
2003-07-14,8394030000
2003-07-15,8370810000
2003-07-16,8216010000
2003-07-17,8068950000
2003-07-18,8281799999
2003-07-21,8204400000
2003-07-22,8397900000
2003-07-23,8250840000
2003-07-24,8359200000
2003-07-25,8386290000
2003-07-28,8347590000
2003-07-29,8235360000
2003-07-30,8165700000
2003-07-31,8301150000
2003-08-01,8181180000
2003-08-04,8208270000
2003-08-05,8138610000
2003-08-06,8088299999
2003-08-07,8030250000
2003-08-08,8084430000
2003-08-11,8123129999
2003-08-12,8281799999
2003-08-13,8359200000
2003-08-14,8281799999
2003-08-15,8262450000
2003-08-18,8308890000
2003-08-19,8370810000
2003-08-20,8432730000
2003-08-21,8575920000
2003-08-22,8475299999
2003-08-25,8498520000
2003-08-26,8514000000
2003-08-27,8514000000
2003-08-28,8486910000
2003-08-29,8579790000
2003-09-02,8746200000
2003-09-03,8901000000
2003-09-04,9001620000
2003-09-05,9113850000
2003-09-08,9160290000
2003-09-09,9102240000
2003-09-10,9055800000
2003-09-11,8970660000
2003-09-12,8939700000
2003-09-15,8846820000
2003-09-16,8978400000
2003-09-17,8962920000
2003-09-18,9187380000
2003-09-19,9102240000
2003-09-22,9140940000
2003-09-23,9268650000
2003-09-24,9024840000
2003-09-25,9001620000
2003-09-26,9059670000
2003-09-29,9210600000
2003-09-30,9177600000
2003-10-01,9285120000
2003-10-02,9304320000
2003-10-03,9350400000
2003-10-06,9450240000
2003-10-07,9369600000
2003-10-08,9388800000
2003-10-09,9388800000
2003-10-10,9288960000
2003-10-13,9350400000
2003-10-14,9373440000
2003-10-15,9219840000
2003-10-16,9312000000
2003-10-17,9312000000
2003-10-20,9319680000
2003-10-21,9319680000
2003-10-22,9292800000
2003-10-23,9319680000
2003-10-24,9312000000
2003-10-27,9300480000
2003-10-28,9354240000
2003-10-29,9423360000
2003-10-30,9504000000
2003-10-31,9388800000
2003-11-03,9369600000
2003-11-04,9219840000
2003-11-05,9223680000
2003-11-06,9281280000
2003-11-07,9315840000
2003-11-10,9342720000
2003-11-11,9262080000
2003-11-12,9246720000
2003-11-13,9235200000
2003-11-14,9231360000
2003-11-17,9146880000
2003-11-18,9024000000
2003-11-19,9312000000
2003-11-20,9388800000
2003-11-21,9477120000
2003-11-24,9630720000
2003-11-25,9646080000
2003-11-26,9753600000
2003-11-28,9646080000
2003-12-01,9888000000
2003-12-02,9841920000
2003-12-03,9903360000
2003-12-04,9803520000
2003-12-05,9757440000
2003-12-08,9937920000
2003-12-09,9853440000
2003-12-10,9830400000
2003-12-11,9914880000
2003-12-12,9926400000
2003-12-15,9964800000
2003-12-16,10233600000
2003-12-17,10252800000
2003-12-18,10402560000
2003-12-19,10460160000
2003-12-22,10502400000
2003-12-23,10636800000
2003-12-24,10617600000
2003-12-26,10617600000
2003-12-29,10690560000
2003-12-30,10725120000
2003-12-31,10913610000
2004-01-02,10701390000
2004-01-05,10748550000
2004-01-06,10662090000
2004-01-07,10650300000
2004-01-08,10673880000
2004-01-09,10673880000
2004-01-12,10658160000
2004-01-13,10630650000
2004-01-14,10764270000
2004-01-15,10646370000
2004-01-16,10611000000
2004-01-20,10630650000
2004-01-21,10768200000
2004-01-22,10752480000
2004-01-23,10650300000
2004-01-26,10611000000
2004-01-27,10453800000
2004-01-28,10504890000
2004-01-29,10611000000
2004-01-30,10552050000
2004-02-02,10524540000
2004-02-03,10638510000
2004-02-04,10524540000
2004-02-05,10508820000
2004-02-06,10638510000
2004-02-09,10736760000
2004-02-10,10803570000
2004-02-11,10988280000
2004-02-12,10838940000
2004-02-13,10854660000
2004-02-17,11004000000
2004-02-18,10897890000
2004-02-19,10897890000
2004-02-20,10732830000
2004-02-23,10776060000
2004-02-24,10721040000
2004-02-25,10827150000
2004-02-26,10960770000
2004-02-27,11070810000
2004-03-01,11247660000
2004-03-02,11043300000
2004-03-03,10964700000
2004-03-04,10941120000
2004-03-05,11047230000
2004-03-08,10909680000
2004-03-09,10846800000
2004-03-10,10748550000
2004-03-11,10575630000
2004-03-12,10823220000
2004-03-15,10831080000
2004-03-16,11145480000
2004-03-17,11522760000
2004-03-18,11400930000
2004-03-19,11279100000
2004-03-22,11180850000
2004-03-23,11322330000
2004-03-24,11345910000
2004-03-25,11444160000
2004-03-26,11385210000
2004-03-29,11428440000
2004-03-30,11444160000
2004-03-31,11501090000
2004-04-01,11616220000
2004-04-02,11671800000
2004-04-05,11882210000
2004-04-06,11854420000
2004-04-07,11790900000
2004-04-08,11862360000
2004-04-12,11683710000
2004-04-13,11294650000
2004-04-14,11294650000
2004-04-15,11322440000
2004-04-16,11378020000
2004-04-19,11346260000
2004-04-20,11163640000
2004-04-21,11187460000
2004-04-22,11310530000
2004-04-23,11239070000
2004-04-26,11266860000
2004-04-27,11139820000
2004-04-28,11187460000
2004-04-29,11016750000
2004-04-30,10925440000
2004-05-03,11068360000
2004-05-04,11167610000
2004-05-05,11080270000
2004-05-06,10957200000
2004-05-07,10651510000
2004-05-10,10413310000
2004-05-11,10524470000
2004-05-12,10552260000
2004-05-13,10560200000
2004-05-14,10774580000
2004-05-17,10492710000
2004-05-18,10516530000
2004-05-19,10572110000
2004-05-20,10603870000
2004-05-21,10568140000
2004-05-24,10774580000
2004-05-25,11187460000
2004-05-26,11076300000
2004-05-27,11306560000
2004-05-28,11314500000
2004-06-01,11167610000
2004-06-02,11310530000
2004-06-03,11171580000
2004-06-04,11112030000
2004-06-07,11306560000
2004-06-08,11254950000
2004-06-09,11211280000
2004-06-10,11235100000
2004-06-14,11080270000
2004-06-15,11139820000
2004-06-16,11147760000
2004-06-17,11370080000
2004-06-18,11330380000
2004-06-21,11286710000
2004-06-22,11219220000
2004-06-23,11358170000
2004-06-24,11393900000
2004-06-25,11247010000
2004-06-28,11207310000
2004-06-29,11076300000
2004-06-30,11148060000
2004-07-01,11092200000
2004-07-02,11311650000
2004-07-06,11271750000
2004-07-07,11383470000
2004-07-08,11215890000
2004-07-09,11179980000
2004-07-12,11187960000
2004-07-13,11152050000
2004-07-14,11235840000
2004-07-15,11339580000
2004-07-16,11499180000
2004-07-19,11495190000
2004-07-20,11531100000
2004-07-21,11239830000
2004-07-22,11195940000
2004-07-23,11243820000
2004-07-26,11132100000
2004-07-27,11152050000
2004-07-28,11136090000
2004-07-29,11199930000
2004-07-30,11387460000
2004-08-02,11331600000
2004-08-03,11183970000
2004-08-04,11195940000
2004-08-05,11044320000
2004-08-06,11211900000
2004-08-09,11152050000
2004-08-10,11311650000
2004-08-11,11263770000
2004-08-12,11295690000
2004-08-13,11303670000
2004-08-16,11291700000
2004-08-17,11359530000
2004-08-18,11519130000
2004-08-19,11407410000
2004-08-20,11471250000
2004-08-23,11387460000
