,ITW
2000-11-13,17452854791
2000-11-14,17266289791
2000-11-15,17434800113
2000-11-16,17248235114
2000-11-17,16736685921
2000-11-20,16887141566
2000-11-21,16929269147
2000-11-22,16514011567
2000-11-24,16814922857
2000-11-27,16495956890
2000-11-28,16682521889
2000-11-29,17079724792
2000-11-30,16947323824
2000-12-01,16869086889
2000-12-04,17603310435
2000-12-05,18132914305
2000-12-06,18054677370
2000-12-07,17789875435
2000-12-08,17807930112
2000-12-11,18241242369
2000-12-12,18283369950
2000-12-13,17717656725
2000-12-14,16832977534
2000-12-15,17019542534
2000-12-18,17302399146
2000-12-19,17001487856
2000-12-20,16718631244
2000-12-21,17416745436
2000-12-22,17434800113
2000-12-26,17452854791
2000-12-27,17940331079
2000-12-28,17886167047
2000-12-29,17922276402
2001-01-02,17904098060
2001-01-03,18377013620
2001-01-04,19098513000
2001-01-05,19177332260
2001-01-08,19134891120
2001-01-09,18849929180
2001-01-10,18680164620
2001-01-11,18474021940
2001-01-12,18267879260
2001-01-16,18946937500
2001-01-17,19195521320
2001-01-18,18777172940
2001-01-19,18758983880
2001-01-22,18831740120
2001-01-23,19286466620
2001-01-24,19025756760
2001-01-25,19498672319
2001-01-26,19632058760
2001-01-29,19571428560
2001-01-30,19650247819
2001-01-31,19856390500
2001-02-01,20311117000
2001-02-02,19692688960
2001-02-05,19759382180
2001-02-06,19613869700
2001-02-07,19589617620
2001-02-08,19625995740
2001-02-09,19353159840
2001-02-12,19662373860
2001-02-13,19789697280
2001-02-14,19480483260
2001-02-15,19813949360
2001-02-16,19377411920
2001-02-20,19347096820
2001-02-21,19110639040
2001-02-22,19056071860
2001-02-23,18898433340
2001-02-26,18868118240
2001-02-27,18461895900
2001-02-28,18358824560
2001-03-01,18340635500
2001-03-02,18686227640
2001-03-05,19638121780
2001-03-06,19856390500
2001-03-07,20147415460
2001-03-08,20456629480
2001-03-09,19583554600
2001-03-12,19250088500
2001-03-13,18916622400
2001-03-14,18813551060
2001-03-15,18825677100
2001-03-16,18128429800
2001-03-19,17970791280
2001-03-20,17661577260
2001-03-21,17194724720
2001-03-22,17491812700
2001-03-23,17425119480
2001-03-26,17813152760
2001-03-27,17782837660
2001-03-28,17516064780
2001-03-29,17200787740
2001-03-30,17231102840
2001-04-02,34455244800
2001-04-03,33530598400
2001-04-04,34309248000
2001-04-05,36353203200
2001-04-06,35854380800
2001-04-09,36255872000
2001-04-10,36681696000
2001-04-11,36036876800
2001-04-12,36620864000
2001-04-16,36937190400
2001-04-17,37168352000
2001-04-18,38689152000
2001-04-19,38238995200
2001-04-20,37837504000
2001-04-23,37691507200
2001-04-24,37326515200
2001-04-25,37667174400
2001-04-26,38336326400
2001-04-27,38847315200
2001-04-30,38555321600
2001-05-01,38628320000
2001-05-02,38409324800
2001-05-03,38299827200
2001-05-04,38993312000
2001-05-07,38944646400
2001-05-08,39127142399
2001-05-09,39090643200
2001-05-10,39674630400
2001-05-11,39650297600
2001-05-14,40076121600
2001-05-15,40526278400
2001-05-16,42278240000
2001-05-17,43312384000
2001-05-18,42631065600
2001-05-21,42618899200
2001-05-22,42728396800
2001-05-23,42302572800
2001-05-24,42545900800
2001-05-25,41974080000
2001-05-29,41852416000
2001-05-30,41438758400
2001-05-31,41645587200
2001-06-01,41645587200
2001-06-04,41901081600
2001-06-05,42558067200
2001-06-06,41669920000
2001-06-07,41852416000
2001-06-08,41353593600
2001-06-11,40842604800
2001-06-12,40453280000
2001-06-13,40404614400
2001-06-14,39881459200
2001-06-15,40830438400
2001-06-18,40368115200
2001-06-19,39759795200
2001-06-20,40136953600
2001-06-21,40404614400
2001-06-22,40063955200
2001-06-25,39735462399
2001-06-26,39784128000
2001-06-27,38895980800
2001-06-28,39139308800
2001-06-29,38506656000
2001-07-02,39648764400
2001-07-03,40135999600
2001-07-05,40318712800
2001-07-06,39222433600
2001-07-09,39709668800
2001-07-10,39319880640
2001-07-11,38150516160
2001-07-12,39478232079
2001-07-13,39892382000
2001-07-16,39198071840
2001-07-17,39746211440
2001-07-18,40525787760
2001-07-19,39429508560
2001-07-20,39222433600
2001-07-23,38674294000
2001-07-24,37760728000
2001-07-25,38369772000
2001-07-26,38515942560
2001-07-27,38369772000
2001-07-30,37992164720
2001-07-31,38369772000
2001-08-01,38211420560
2001-08-02,38369772000
2001-08-03,38406314640
2001-08-06,37602376560
2001-08-07,37797270640
2001-08-08,37078598720
2001-08-09,37176045760
2001-08-10,38308867600
2001-08-13,37919079440
2001-08-14,38065250000
2001-08-15,38247963200
2001-08-16,38625570480
2001-08-17,38296686720
2001-08-20,38564666080
2001-08-21,38455038160
2001-08-22,38759560160
2001-08-23,38455038160
2001-08-24,39064082160
2001-08-27,39039720400
2001-08-28,38710836640
2001-08-29,38004345600
2001-08-30,37419663360
2001-08-31,38065250000
2001-09-04,37736366240
2001-09-05,37992164720
2001-09-06,37468386880
2001-09-07,36493916480
2001-09-10,36664448800
2001-09-17,33497420000
2001-09-18,33314706800
2001-09-19,32888376000
2001-09-20,31853001200
2001-09-21,29928422160
2001-09-24,33095450960
2001-09-25,32291512880
2001-09-26,30878530800
2001-09-27,31036882240
2001-09-28,32961461280
2001-10-01,15753696000
2001-10-02,15677506250
2001-10-03,15917797000
2001-10-04,15865050250
2001-10-05,15970543750
2001-10-08,15900214750
2001-10-09,15824025000
2001-10-10,16410100000
2001-10-11,17148554500
2001-10-12,17224744250
2001-10-15,17330237750
2001-10-16,17511921000
2001-10-17,17002035750
2001-10-18,16703137500
2001-10-19,16574201000
2001-10-22,17183719000
2001-10-23,17394706000
2001-10-24,17394706000
2001-10-25,17511921000
2001-10-26,17887009000
2001-10-29,17295073250
2001-10-30,16826213250
2001-10-31,16761745000
2001-11-01,16937567500
2001-11-02,17330237750
2001-11-05,17634996750
2001-11-06,17986641750
2001-11-07,17851844500
2001-11-08,17793237000
2001-11-09,17875287500
2001-11-12,17664300500
2001-11-13,18490666250
2001-11-14,18871615000
2001-11-15,18754400000
2001-11-16,18519970000
2001-11-19,18549273750
2001-11-20,18391033500
2001-11-21,18127299750
2001-11-23,18250375500
2001-11-26,18244514750
2001-11-27,18127299750
2001-11-28,17898730500
2001-11-29,17863566000
2001-11-30,17980781000
2001-12-03,17916312750
2001-12-04,18379312000
2001-12-05,18977108500
2001-12-06,18771982250
2001-12-07,18748539250
2001-12-10,18426198000
2001-12-11,18818868250
2001-12-12,18854032750
2001-12-13,18584438250
2001-12-14,18314843750
2001-12-17,18830589750
2001-12-18,19281867500
2001-12-19,19633512500
2001-12-20,19856221000
2001-12-21,19797613500
2001-12-24,19903107000
2001-12-26,20149258500
2001-12-27,20049625750
2001-12-28,19996879000
2001-12-31,19844499500
2002-01-02,19850360250
2002-01-03,19926550000
2002-01-04,20278195000
2002-01-07,20055486500
2002-01-08,19867942500
2002-01-09,19838638750
2002-01-10,19633512500
2002-01-11,19610069500
2002-01-14,19252563750
2002-01-15,19041576750
2002-01-16,18689931750
2002-01-17,19006412250
2002-01-18,19158791750
2002-01-22,19023994500
2002-01-23,19188095500
2002-01-24,19516297500
2002-01-25,20090651000
2002-01-28,20336802500
2002-01-29,20131676250
2002-01-30,20512625000
2002-01-31,20917016750
2002-02-01,20395410000
2002-02-04,19926550000
2002-02-05,20032043500
2002-02-06,20014461250
2002-02-07,20207866000
2002-02-08,20383688500
2002-02-11,20952181250
2002-02-12,20752915749
2002-02-13,21016649500
2002-02-14,20952181250
2002-02-15,21034231750
2002-02-19,20823244750
2002-02-20,21350712250
2002-02-21,21643749750
2002-02-22,22182938750
2002-02-25,21819572250
2002-02-26,21772686250
2002-02-27,21755104000
2002-02-28,21555838500
2002-03-01,21760964750
2002-03-04,22675241750
2002-03-05,22001255500
2002-03-06,22487697750
2002-03-07,22470115500
2002-03-08,22440811750
2002-03-11,22434951000
2002-03-12,22528723000
2002-03-13,22352900500
2002-03-14,22130192000
2002-03-15,22247407000
2002-03-18,22136052750
2002-03-19,22194660250
2002-03-20,22083306000
2002-03-21,21538256250
2002-03-22,21409319750
2002-03-25,21092839250
2002-03-26,21421041250
2002-03-27,21245218750
2002-03-28,21204193500
2002-04-01,22041563879
2002-04-02,22053816000
2002-04-03,21778143300
2002-04-04,21808773600
2002-04-05,22403001420
2002-04-08,22298858400
2002-04-09,22905338340
2002-04-10,23279028000
2002-04-11,23046237720
2002-04-12,22862455920
2002-04-15,22684800180
2002-04-16,23193263160
2002-04-17,23033985600
2002-04-18,22776691080
2002-04-19,22654169879
2002-04-22,22047689940
2002-04-23,22010933580
2002-04-24,22017059640
2002-04-25,22231471740
2002-04-26,22133454780
2002-04-29,21667874220
2002-04-30,22084446300
2002-05-01,21839403900
2002-05-02,22311110520
2002-05-03,22415253540
2002-05-06,21379949400
2002-05-07,21526974840
2002-05-08,22145706900
2002-05-09,21821025720
2002-05-10,21490218480
2002-05-13,21582109379
2002-05-14,22194715379
2002-05-15,22666422000
2002-05-16,22403001420
2002-05-17,22347866879
2002-05-20,21986429340
2002-05-21,21582109379
2002-05-22,21490218480
2002-05-23,22084446300
2002-05-24,22133454780
2002-05-28,21900664500
2002-05-29,21747513000
2002-05-30,21355445160
2002-05-31,21759765120
2002-06-03,21226797900
2002-06-04,20957251260
2002-06-05,21220671840
2002-06-06,20699956740
2002-06-07,20748965220
2002-06-10,20902116720
2002-06-11,20675452500
2002-06-12,21036890040
2002-06-13,20730587040
2002-06-14,20761217340
2002-06-17,21508596660
2002-06-18,21594361500
2002-06-19,21153285180
2002-06-20,21098150640
2002-06-21,20981755500
2002-06-24,21073646400
2002-06-25,20755091280
2002-06-26,20693830680
2002-06-27,21116528820
2002-06-28,20920494900
2002-07-01,20676411840
2002-07-02,20394516480
2002-07-03,20357747520
2002-07-05,21019588800
2002-07-08,20670283679
2002-07-09,20866384800
2002-07-10,20094236640
2002-07-11,19934904480
2002-07-12,19971673440
2002-07-15,19708162559
2002-07-16,18690888000
2002-07-17,18997296000
2002-07-18,18458017920
2002-07-19,18016790400
2002-07-22,17698126080
2002-07-23,17532665760
2002-07-24,18598965600
2002-07-25,18733785120
2002-07-26,19132115520
2002-07-29,20406772800
2002-07-30,20222928000
2002-07-31,20222928000
2002-08-01,19757187840
2002-08-02,18752169600
2002-08-05,18445761600
2002-08-06,18997296000
2002-08-07,19524317760
2002-08-08,20063595840
2002-08-09,20222928000
2002-08-12,20124877440
2002-08-13,19879751040
2002-08-14,20345491200
2002-08-15,20186159040
2002-08-16,20137133760
2002-08-19,20872512960
2002-08-20,20658027360
2002-08-21,20872512960
2002-08-22,21172792800
2002-08-23,20651899200
2002-08-26,20933794559
2002-08-27,20988948000
2002-08-28,20835744000
2002-08-29,20725437120
2002-08-30,20995076160
2002-09-03,20155518240
2002-09-04,20222928000
2002-09-05,20100364800
2002-09-06,20094236640
2002-09-09,19806213120
2002-09-10,20290337760
2002-09-11,20308722240
2002-09-12,19892007360
2002-09-13,19395626400
2002-09-16,18709272480
2002-09-17,18427377120
2002-09-18,18310942080
2002-09-19,18200635200
2002-09-20,18458017920
2002-09-23,17851330080
2002-09-24,17661357120
2002-09-25,18169994400
2002-09-26,18666375360
2002-09-27,18292557600
2002-09-30,17805304146
2002-10-01,18617133235
2002-10-02,18244790570
2002-10-03,18385182067
2002-10-04,17841928015
2002-10-07,17347505788
2002-10-08,17841928015
2002-10-09,17011786992
2002-10-10,17817512103
2002-10-11,18354662176
2002-10-14,18006735424
2002-10-15,19056619659
2002-10-16,17854135971
2002-10-17,18366870132
2002-10-18,18794148600
2002-10-21,19581561776
2002-10-22,18891812250
2002-10-23,18952852031
2002-10-24,18965059987
2002-10-25,19105451484
2002-10-28,18659861082
2002-10-29,18659861082
2002-10-30,18952852031
2002-10-31,18739212797
2002-11-01,19087139549
2002-11-04,19282466849
2002-11-05,19660913492
2002-11-06,19770785098
2002-11-07,19160387287
2002-11-08,19264154915
2002-11-11,18794148600
2002-11-12,19312986740
2002-11-13,19111555462
2002-11-14,19709745317
2002-11-15,19947800463
2002-11-18,19593769733
2002-11-19,19526625973
2002-11-20,19599873711
2002-11-21,20100399916
2002-11-22,20155335719
2002-11-25,20027152178
2002-11-26,19428962324
2002-11-27,20576510208
2002-11-29,20753525574
2002-12-02,21015996632
2002-12-03,20509366449
2002-12-04,20600926121
2002-12-05,20344559040
2002-12-06,20729109661
2002-12-09,20173647653
2002-12-10,20161439697
2002-12-11,20320143128
2002-12-12,20338455062
2002-12-13,19831824879
2002-12-16,20210271522
2002-12-17,20033256157
2002-12-18,19880656704
2002-12-19,19673121448
2002-12-20,20100399916
2002-12-23,20185855609
2002-12-24,20100399916
2002-12-26,20088191960
2002-12-27,19618185645
2002-12-30,19807408966
2002-12-31,19887502920
2003-01-02,20776706720
2003-01-03,20457819840
2003-01-06,20844163560
2003-01-07,20463952280
2003-01-08,20010151720
2003-01-09,20279979080
2003-01-10,20145065400
2003-01-13,19973357080
2003-01-14,19997886840
2003-01-15,19795516320
2003-01-16,19862973160
2003-01-17,19660602640
2003-01-21,19231331840
2003-01-22,18832723240
2003-01-23,19770986560
2003-01-24,19255861600
2003-01-27,18636485160
2003-01-28,18777531280
2003-01-29,19206802080
2003-01-30,18397320000
2003-01-31,18648750040
2003-02-03,18894047640
2003-02-04,18593558080
2003-02-05,18550631000
2003-02-06,18354392920
2003-02-07,18084565560
2003-02-10,18127492640
2003-02-11,18066168240
2003-02-12,17998711400
2003-02-13,17544910840
2003-02-14,17790208440
2003-02-18,18225611680
2003-02-19,18090698000
2003-02-20,18023241160
2003-02-21,18274671200
2003-02-24,17820870640
2003-02-25,18029373600
2003-02-26,17937387000
2003-02-27,18090698000
2003-02-28,18268538760
2003-03-03,18293068520
2003-03-04,17912857240
2003-03-05,18102962880
2003-03-06,17661427200
2003-03-07,17998711400
2003-03-10,17311878120
2003-03-11,17017521000
2003-03-12,16907137080
2003-03-13,17796340880
2003-03-14,17471321560
2003-03-17,18519968800
2003-03-18,18648750040
2003-03-19,18562895880
2003-03-20,18587425640
2003-03-21,19188404760
2003-03-24,18489306600
2003-03-25,18556763440
2003-03-26,18483174160
2003-03-27,18323730720
2003-03-28,17869930160
2003-03-31,17836712460
2003-04-01,17990106960
2003-04-02,18941152860
2003-04-03,18904338180
2003-04-04,18941152860
2003-04-07,19082275800
2003-04-08,19076140020
2003-04-09,18873659280
2003-04-10,18996374880
2003-04-11,19039325340
2003-04-14,19573138200
2003-04-15,19438151040
2003-04-16,19303163880
2003-04-17,19456558380
2003-04-21,19346114340
2003-04-22,19671310680
2003-04-23,19757211600
2003-04-24,19560866640
2003-04-25,19211127180
2003-04-28,19855384080
2003-04-29,19775618939
2003-04-30,19628360220
2003-05-01,19536323520
2003-05-02,19800162060
2003-05-05,19751075820
2003-05-06,19879927200
2003-05-07,19708125360
2003-05-08,19536323520
2003-05-09,19879927200
2003-05-12,20327839140
2003-05-13,20100815280
2003-05-14,19861519860
2003-05-15,20278752900
2003-05-16,20137629960
2003-05-19,19468829940
2003-05-20,19438151040
2003-05-21,19131362040
2003-05-22,19450422600
2003-05-23,19204991400
2003-05-27,19413607920
2003-05-28,19211127180
2003-05-29,18885930840
2003-05-30,19039325340
2003-06-02,19511780400
2003-06-03,19665174900
2003-06-04,19757211600
2003-06-05,19959692340
2003-06-06,20027185920
2003-06-09,19824705180
2003-06-10,19867655640
2003-06-11,20327839140
2003-06-12,20646899700
2003-06-13,20254209780
2003-06-16,20806429979
2003-06-17,20886195120
2003-06-18,20585541900
2003-06-19,20291024460
2003-06-20,20401468500
2003-06-23,20321703360
2003-06-24,20370789600
2003-06-25,20389196939
2003-06-26,20493505200
2003-06-27,20162173080
2003-06-30,20228372120
2003-07-01,20179229400
2003-07-02,20381943120
2003-07-03,20154658040
2003-07-07,20498657080
2003-07-08,20646085240
2003-07-09,20437228680
2003-07-10,20136229520
2003-07-11,20277514840
2003-07-14,20179229400
2003-07-15,20037944080
2003-07-16,20031801240
2003-07-17,20455657200
2003-07-18,20750513520
2003-07-21,20707513640
2003-07-22,20357371760
2003-07-23,20793513400
2003-07-24,20437228680
2003-07-25,20916370200
2003-07-28,20953227240
2003-07-29,21174369480
2003-07-30,21180512319
2003-07-31,21389368880
2003-08-01,21303369120
2003-08-04,21315654800
2003-08-05,21094512560
2003-08-06,20990084280
2003-08-07,20885656000
2003-08-08,20990084280
2003-08-11,21057655520
2003-08-12,21444654439
2003-08-13,21567511240
2003-08-14,21886938920
2003-08-15,21911510280
2003-08-18,22163366720
2003-08-19,22077366960
2003-08-20,22003652880
2003-08-21,22304652040
2003-08-22,21985224360
2003-08-25,22003652880
2003-08-26,21862367560
2003-08-27,21782510640
2003-08-28,21929938800
2003-08-29,22200223760
2003-09-02,22667079600
2003-09-03,22519651439
2003-09-04,22501222920
2003-09-05,22267795000
2003-09-08,22316937720
2003-09-09,22151081040
2003-09-10,21671939520
2003-09-11,21850081880
2003-09-12,21929938800
2003-09-15,21843939040
2003-09-16,22138795360
2003-09-17,21850081880
2003-09-18,22089652640
2003-09-19,22157223880
2003-09-22,21727225080
2003-09-23,21671939520
2003-09-24,21211226520
2003-09-25,20971655760
2003-09-26,20738227840
2003-09-29,20811941920
2003-09-30,20429349460
2003-10-01,20854832440
2003-10-02,21163153440
2003-10-03,21311147520
2003-10-06,21372811719
2003-10-07,21304981100
2003-10-08,21329646780
2003-10-09,21483807280
2003-10-10,21625634940
2003-10-13,21884624580
2003-10-14,21853792480
2003-10-15,21909290260
2003-10-16,21915456680
2003-10-17,22044951500
2003-10-20,22199112000
2003-10-21,22118948540
2003-10-22,21859958900
2003-10-23,21927789520
2003-10-24,21853792480
2003-10-27,22088116440
2003-10-28,21884624580
2003-10-29,22186779159
2003-10-30,22606095719
2003-10-31,22680092760
2003-11-03,22883584620
2003-11-04,22920583140
2003-11-05,23000746600
2003-11-06,23315234020
2003-11-07,23253569820
2003-11-10,23099409320
2003-11-11,23173406360
2003-11-12,23518725880
2003-11-13,23457061680
2003-11-14,23389231060
2003-11-17,23284401920
2003-11-18,23080910060
2003-11-19,23185739200
2003-11-20,22994580180
2003-11-21,22895917460
2003-11-24,23241236980
2003-11-25,24110702200
2003-11-26,23975040960
2003-11-28,24079870100
2003-12-01,24634847900
2003-12-02,24554684440
2003-12-03,24819840500
2003-12-04,25035665200
2003-12-05,25066497300
2003-12-08,25251489900
2003-12-09,25504313120
2003-12-10,25208324960
2003-12-11,25195992120
2003-12-12,25109662240
2003-12-15,25208324960
2003-12-16,25214491380
2003-12-17,25226824219
2003-12-18,25763302760
2003-12-19,25547478060
2003-12-22,25849632640
2003-12-23,25868131900
2003-12-24,25652307200
2003-12-26,25806467700
2003-12-29,25942128940
2003-12-30,25806467700
2003-12-31,25874298320
2004-01-02,25479647440
2004-01-05,25892797580
2004-01-06,25917463260
2004-01-07,25787968440
2004-01-08,25831133380
2004-01-09,25380984719
2004-01-12,25744803500
2004-01-13,25849632640
2004-01-14,26096289440
2004-01-15,26139454380
2004-01-16,26065457340
2004-01-20,24992500260
2004-01-21,25306987680
2004-01-22,25202158540
2004-01-23,25325486940
2004-01-26,25214491380
2004-01-27,24906170380
2004-01-28,24560850860
2004-01-29,23913376760
2004-01-30,24079870100
2004-02-02,24055204420
2004-02-03,24042871580
2004-02-04,23740717000
2004-02-05,24147700719
2004-02-06,24468354560
2004-02-09,24172366400
2004-02-10,24289528380
2004-02-11,24653347159
2004-02-12,24616348640
2004-02-13,24308027640
2004-02-17,24431356040
2004-02-18,24314194060
2004-02-19,24326526900
2004-02-20,24474520980
2004-02-23,24511519500
2004-02-24,24190865659
2004-02-25,24449855300
2004-02-26,24579350120
2004-02-27,24517685920
2004-03-01,24634847900
2004-03-02,24406690360
2004-03-03,24419023200
2004-03-04,24295694800
2004-03-05,24271029120
2004-03-08,23808547620
2004-03-09,23561890820
2004-03-10,23056244380
2004-03-11,22636927820
2004-03-12,23339899700
2004-03-15,23487893780
2004-03-16,23728384159
2004-03-17,24067537260
2004-03-18,23968874540
2004-03-19,23783881940
2004-03-22,23370731800
2004-03-23,23278235500
2004-03-24,23241236980
2004-03-25,23839379719
2004-03-26,23802381200
2004-03-29,24079870100
2004-03-30,24308027640
2004-03-31,24412734640
2004-04-01,24301823680
2004-04-02,24535969040
2004-04-05,25041230080
2004-04-06,25133655880
2004-04-07,24770114400
2004-04-08,24844055040
2004-04-12,24948804280
2004-04-13,24622233120
2004-04-14,24837893320
2004-04-15,25293860600
2004-04-16,25632755200
2004-04-19,25632755200
2004-04-20,25768313040
2004-04-21,26341353000
2004-04-22,27542888400
2004-04-23,27142376600
2004-04-26,26815805440
2004-04-27,27154700040
2004-04-28,26532366320
2004-04-29,26557013200
2004-04-30,26563174920
2004-05-03,26963686720
2004-05-04,26969848440
2004-05-05,26988333600
2004-05-06,26803482000
2004-05-07,26489234280
2004-05-10,25811445080
2004-05-11,25977811519
2004-05-12,26365999880
2004-05-13,26008620120
2004-05-14,26390646760
2004-05-17,26144177960
2004-05-18,26335191280
2004-05-19,26390646760
2004-05-20,26618630400
2004-05-21,26883584360
2004-05-24,27234802400
2004-05-25,27758548600
2004-05-26,27635314200
2004-05-27,27666122800
2004-05-28,27690769680
2004-06-01,28128251800
2004-06-02,28670483160
2004-06-03,28590380800
2004-06-04,28430176080
2004-06-07,28960084000
2004-06-08,29009377760
2004-06-09,29070994960
2004-06-10,29064833240
2004-06-14,28639674559
2004-06-15,28387044040
2004-06-16,28387044040
2004-06-17,28485631559
2004-06-18,28584219080
2004-06-21,28460984680
2004-06-22,28621189400
2004-06-23,29046348080
2004-06-24,29200391080
2004-06-25,29440698160
2004-06-28,29323625480
2004-06-29,29453021600
2004-06-30,28903301000
2004-07-01,28535605200
2004-07-02,28222159600
2004-07-06,27920769600
2004-07-07,27896658400
2004-07-08,27794185800
2004-07-09,28161881600
2004-07-12,27993103200
2004-07-13,27962964200
2004-07-14,27999131000
2004-07-15,27981047600
2004-07-16,28240243000
2004-07-19,27896658400
2004-07-20,27764046800
2004-07-21,26148596400
2004-07-22,26347513800
2004-07-23,26178735400
2004-07-26,26468069799
2004-07-27,26745348600
2004-07-28,26992488400
2004-07-29,27233600400
2004-07-30,27281822800
2004-08-02,27185378000
2004-08-03,27209489200
2004-08-04,27444573400
2004-08-05,26944266000
2004-08-06,26389708400
2004-08-09,26486153200
2004-08-10,26968377200
2004-08-11,27004544000
2004-08-12,26612737000
2004-08-13,26504236600
2004-08-16,26950293800
2004-08-17,27094961000
2004-08-18,27420462200
2004-08-19,27125100000
2004-08-20,27354156400
2004-08-23,27275795000
