,EQT
2001-04-10,665104440
2001-04-11,654762680
2001-04-12,659287200
2001-04-16,672860760
2001-04-17,681909800
2001-04-18,675446200
2001-04-19,668982600
2001-04-20,665750800
2001-04-23,674153480
2001-04-24,683202520
2001-04-25,689666120
2001-04-26,701946960
2001-04-27,700007880
2001-04-30,703886040
2001-05-01,705178760
2001-05-02,673507120
2001-05-03,657994480
2001-05-04,679324360
2001-05-07,674153480
2001-05-08,683848880
2001-05-09,694190640
2001-05-10,682556160
2001-05-11,672214400
2001-05-14,694190640
2001-05-15,696129720
2001-05-16,692251560
2001-05-17,688373400
2001-05-18,700007880
2001-05-21,700007880
2001-05-22,677385280
2001-05-23,674153480
2001-05-24,662519000
2001-05-25,667043520
2001-05-29,659933560
2001-05-30,641835480
2001-05-31,652823600
2001-06-01,649591800
2001-06-04,655409040
2001-06-05,650238160
2001-06-06,619859240
2001-06-07,617273800
2001-06-08,617920160
2001-06-11,623091040
2001-06-12,621798320
2001-06-13,609517480
2001-06-14,600468440
2001-06-15,601761160
2001-06-18,592712120
2001-06-19,586894880
2001-06-20,584955800
2001-06-21,595297560
2001-06-22,586894880
2001-06-25,571382240
2001-06-26,571382240
2001-06-27,566857720
2001-06-28,567504080
2001-06-29,586248520
2001-07-02,574568880
2001-07-03,576486240
2001-07-05,583516560
2001-07-06,586073040
2001-07-09,572651520
2001-07-10,570095040
2001-07-11,568177680
2001-07-12,564342960
2001-07-13,568177680
2001-07-16,568177680
2001-07-17,556673520
2001-07-18,572651520
2001-07-19,588629520
2001-07-20,587990400
2001-07-23,584794800
2001-07-24,580320960
2001-07-25,604607520
2001-07-26,628894080
2001-07-27,633367920
2001-07-30,625059360
2001-07-31,623781120
2001-08-01,614833440
2001-08-02,610998720
2001-08-03,598855440
2001-08-06,600133680
2001-08-07,593742480
2001-08-08,577764480
2001-08-09,575847120
2001-08-10,572651520
2001-08-13,566260320
2001-08-14,576486240
2001-08-15,587990400
2001-08-16,581599200
2001-08-17,584155680
2001-08-20,580320960
2001-08-21,579042720
2001-08-22,576486240
2001-08-23,573929760
2001-08-24,572012400
2001-08-27,574568880
2001-08-28,568177680
2001-08-29,563703840
2001-08-30,559230000
2001-08-31,556673520
2001-09-04,554756160
2001-09-05,554117040
2001-09-06,552838800
2001-09-07,546447600
2001-09-10,546447600
2001-09-17,532386960
2001-09-18,506183040
2001-09-19,487009440
2001-09-20,483813840
2001-09-21,493400640
2001-09-24,483174720
2001-09-25,493400640
2001-09-26,472948800
2001-09-27,495957120
2001-09-28,522161040
2001-10-01,994928179
2001-10-02,1025001574
2001-10-03,1038785214
2001-10-04,1071364726
2001-10-05,1070111668
2001-10-08,1076376959
2001-10-09,1091413657
2001-10-10,1130258460
2001-10-11,1130258460
2001-10-12,1105197297
2001-10-15,1091413657
2001-10-16,1087654482
2001-10-17,1101438122
2001-10-18,1087654482
2001-10-19,1118980936
2001-10-22,1117727878
2001-10-23,1101438122
2001-10-24,1106450355
2001-10-25,1141535983
2001-10-26,1146548216
2001-10-29,1130258460
2001-10-30,1115221762
2001-10-31,1122740111
2001-11-01,1118980936
2001-11-02,1110209529
2001-11-05,1115221762
2001-11-06,1139029867
2001-11-07,1151560449
2001-11-08,1182886903
2001-11-09,1175368554
2001-11-12,1171609379
2001-11-13,1161584914
2001-11-14,1120233995
2001-11-15,1082642250
2001-11-16,1112715646
2001-11-19,1098932006
2001-11-20,1107703413
2001-11-21,1105197297
2001-11-23,1113968704
2001-11-26,1118980936
2001-11-27,1120233995
2001-11-28,1095172831
2001-11-29,1110209529
2001-11-30,1108956471
2001-12-03,1117727878
2001-12-04,1111462587
2001-12-05,1125246227
2001-12-06,1111462587
2001-12-07,1139029867
2001-12-10,1130258460
2001-12-11,1107703413
2001-12-12,1087654482
2001-12-13,1078883075
2001-12-14,1103944238
2001-12-17,1085148366
2001-12-18,1083895308
2001-12-19,1102691180
2001-12-20,1106450355
2001-12-21,1088907541
2001-12-24,1100185064
2001-12-26,1122740111
2001-12-27,1142789041
2001-12-28,1162837972
2001-12-31,589256820
2002-01-02,569551360
2002-01-03,561923440
2002-01-04,551752880
2002-01-07,553024200
2002-01-08,545396280
2002-01-09,535225720
2002-01-10,539675340
2002-01-11,533954400
2002-01-14,537768360
2002-01-15,525690820
2002-01-16,519334220
2002-01-17,518062900
2002-01-18,512977620
2002-01-22,514884600
2002-01-23,522512520
2002-01-24,523783840
2002-01-25,529504780
2002-01-28,534590060
2002-01-29,516791580
2002-01-30,527597800
2002-01-31,532047419
2002-02-01,532683080
2002-02-04,525690820
2002-02-05,521241199
2002-02-06,525690820
2002-02-07,526962139
2002-02-08,525055160
2002-02-11,530140440
2002-02-12,518698560
2002-02-13,523148180
2002-02-14,523783840
2002-02-15,530140440
2002-02-19,539675340
2002-02-20,541582320
2002-02-21,546031940
2002-02-22,558109480
2002-02-25,558745140
2002-02-26,562559100
2002-02-27,567644380
2002-02-28,565737400
2002-03-01,570187020
2002-03-04,572094000
2002-03-05,577179280
2002-03-06,593706440
2002-03-07,598156060
2002-03-08,592435120
2002-03-11,600698700
2002-03-12,596884740
2002-03-13,591799460
2002-03-14,587985500
2002-03-15,587985500
2002-03-18,592435120
2002-03-19,598791720
2002-03-20,614047560
2002-03-21,613411900
2002-03-22,603877000
2002-03-25,598156060
2002-03-26,594977760
2002-03-27,608326620
2002-03-28,602605680
2002-04-01,615081600
2002-04-02,626472000
2002-04-03,611917600
2002-04-04,592933600
2002-04-05,592300800
2002-04-08,606855200
2002-04-09,598628800
2002-04-10,615714400
2002-04-11,620144000
2002-04-12,618878400
2002-04-15,629003200
2002-04-16,632167200
2002-04-17,642924800
2002-04-18,645456000
2002-04-19,644190400
2002-04-22,637862400
2002-04-23,641659200
2002-04-24,627737600
2002-04-25,634698400
2002-04-26,626472000
2002-04-29,622042400
2002-04-30,619511200
2002-05-01,618245600
2002-05-02,641659200
2002-05-03,631534400
2002-05-06,620776800
2002-05-07,620144000
2002-05-08,623308000
2002-05-09,620144000
2002-05-10,623308000
2002-05-13,629636000
2002-05-14,631534400
2002-05-15,624573600
2002-05-16,624573600
2002-05-17,621409600
2002-05-20,625206400
2002-05-21,624573600
2002-05-22,630268800
2002-05-23,635331200
2002-05-24,635331200
2002-05-28,629636000
2002-05-29,623940800
2002-05-30,615714400
2002-05-31,620776800
2002-06-03,606855200
2002-06-04,613816000
2002-06-05,606222400
2002-06-06,606855200
2002-06-07,609386400
2002-06-10,600527200
2002-06-11,605589600
2002-06-12,603058400
2002-06-13,604956800
2002-06-14,605589600
2002-06-17,607488000
2002-06-18,604324000
2002-06-19,601160000
2002-06-20,607488000
2002-06-21,596730400
2002-06-24,592933600
2002-06-25,586605600
2002-06-26,586605600
2002-06-27,586605600
2002-06-28,591035200
2002-07-01,577138760
2002-07-02,570282900
2002-07-03,566543340
2002-07-05,573399200
2002-07-08,564673560
2002-07-09,563427040
2002-07-10,562180520
2002-07-11,556571180
2002-07-12,549715320
2002-07-15,550961840
2002-07-16,544729240
2002-07-17,545352500
2002-07-18,542859460
2002-07-19,522291880
2002-07-22,507956900
2002-07-23,498608000
2002-07-24,527277960
2002-07-25,545352500
2002-07-26,547845540
2002-07-29,564050300
2002-07-30,577762020
2002-07-31,580255060
2002-08-01,569036380
2002-08-02,563427040
2002-08-05,558440960
2002-08-06,570282900
2002-08-07,579631800
2002-08-08,591473740
2002-08-09,593966780
2002-08-12,603938940
2002-08-13,587110920
2002-08-14,593966780
2002-08-15,606431980
2002-08-16,608301760
2002-08-19,607055240
2002-08-20,601445900
2002-08-21,607678500
2002-08-22,615780880
2002-08-23,609548280
2002-08-26,614534360
2002-08-27,607678500
2002-08-28,598329600
2002-08-29,593966780
2002-08-30,596459820
2002-09-03,580878320
2002-09-04,586487660
2002-09-05,594590040
2002-09-06,600822640
2002-09-09,607055240
2002-09-10,609548280
2002-09-11,606431980
2002-09-12,597083080
2002-09-13,604562200
2002-09-16,610794800
2002-09-17,593343520
2002-09-18,592720260
2002-09-19,583371360
2002-09-20,578385280
2002-09-23,574022460
2002-09-24,563427040
2002-09-25,573399200
2002-09-26,593966780
2002-09-27,588357440
2002-09-30,586487660
2002-10-01,588980700
2002-10-02,588980700
2002-10-03,597706340
2002-10-04,594590040
2002-10-07,588980700
2002-10-08,580255060
2002-10-09,553454880
2002-10-10,566543340
2002-10-11,577138760
2002-10-14,589603960
2002-10-15,595836560
2002-10-16,580878320
2002-10-17,593966780
2002-10-18,582124840
2002-10-21,597706340
2002-10-22,581501580
2002-10-23,579631800
2002-10-24,575268980
2002-10-25,575892240
2002-10-28,587110920
2002-10-29,580878320
2002-10-30,597083080
2002-10-31,1193779162
2002-11-01,1217186597
2002-11-04,1202402954
2002-11-05,1202402954
2002-11-06,1198707043
2002-11-07,1204866894
2002-11-08,1177763549
2002-11-11,1177763549
2002-11-12,1174067638
2002-11-13,1150660204
2002-11-14,1182691430
2002-11-15,1193779162
2002-11-18,1193779162
2002-11-19,1174067638
2002-11-20,1190083251
2002-11-21,1191315222
2002-11-22,1177763549
2002-11-25,1188851281
2002-11-26,1187619311
2002-11-27,1190083251
2002-11-29,1182691430
2002-12-02,1191315222
2002-12-03,1204866894
2002-12-04,1197475073
2002-12-05,1201170984
2002-12-06,1207330835
2002-12-09,1193779162
2002-12-10,1203634924
2002-12-11,1220882507
2002-12-12,1228274329
2002-12-13,1220882507
2002-12-16,1224578418
2002-12-17,1217186597
2002-12-18,1197475073
2002-12-19,1191315222
2002-12-20,1187619311
2002-12-23,1190083251
2002-12-24,1186387341
2002-12-26,1180227489
2002-12-27,1169139757
2002-12-30,1172835668
2002-12-31,1184162040
2003-01-02,1194092120
2003-01-03,1199057160
2003-01-06,1215193540
2003-01-07,1204022200
2003-01-08,1197815900
2003-01-09,1221399840
2003-01-10,1215193540
2003-01-13,1212711020
2003-01-14,1222641100
2003-01-15,1232571180
2003-01-16,1237536220
2003-01-17,1218917320
2003-01-21,1217676060
2003-01-22,1216434800
2003-01-23,1215193540
2003-01-24,1207745980
2003-01-27,1192850860
2003-01-28,1192850860
2003-01-29,1215193540
2003-01-30,1222641100
2003-01-31,1256155120
2003-02-03,1256155120
2003-02-04,1269808980
2003-02-05,1241260000
2003-02-06,1238777480
2003-02-07,1232571180
2003-02-10,1230088660
2003-02-11,1216434800
2003-02-12,1185403300
2003-02-13,1179197000
2003-02-14,1171749440
2003-02-18,1196574640
2003-02-19,1196574640
2003-02-20,1192850860
2003-02-21,1207745980
2003-02-24,1213952280
2003-02-25,1220158580
2003-02-26,1210228500
2003-02-27,1207745980
2003-02-28,1226364880
2003-03-03,1252431340
2003-03-04,1268567720
2003-03-05,1266085200
2003-03-06,1269808980
2003-03-07,1262361420
2003-03-10,1246225040
2003-03-11,1241260000
2003-03-12,1227606140
2003-03-13,1226364880
2003-03-14,1226364880
2003-03-17,1243742520
2003-03-18,1236294960
2003-03-19,1244983780
2003-03-20,1240018740
2003-03-21,1230088660
2003-03-24,1232571180
2003-03-25,1232571180
2003-03-26,1223882360
2003-03-27,1238777480
2003-03-28,1256155120
2003-03-31,1267224360
2003-04-01,1272189000
2003-04-02,1273430160
2003-04-03,1262259720
2003-04-04,1263500880
2003-04-07,1257295080
2003-04-08,1264742040
2003-04-09,1282118280
2003-04-10,1284600600
2003-04-11,1284600600
2003-04-14,1283359440
2003-04-15,1287082920
2003-04-16,1270947840
2003-04-17,1292047560
2003-04-21,1297012200
2003-04-22,1315629600
2003-04-23,1299494520
2003-04-24,1285841760
2003-04-25,1279635960
2003-04-28,1284600600
2003-04-29,1270947840
2003-04-30,1298253360
2003-05-01,1306941480
2003-05-02,1313147280
2003-05-05,1311906120
2003-05-06,1316870760
2003-05-07,1304459160
2003-05-08,1283359440
2003-05-09,1284600600
2003-05-12,1295771040
2003-05-13,1283359440
2003-05-14,1279635960
2003-05-15,1279635960
2003-05-16,1288324080
2003-05-19,1283359440
2003-05-20,1285841760
2003-05-21,1301976840
2003-05-22,1294529880
2003-05-23,1344176280
2003-05-27,1349140920
2003-05-28,1339211640
2003-05-29,1333005840
2003-05-30,1360311360
2003-06-02,1386375720
2003-06-03,1395063840
2003-06-04,1404993120
2003-06-05,1368999480
2003-06-06,1366517160
2003-06-09,1360311360
2003-06-10,1366517160
2003-06-11,1390099200
2003-06-12,1385134560
2003-06-13,1385134560
2003-06-16,1383893400
2003-06-17,1385134560
2003-06-18,1385134560
2003-06-19,1393822680
2003-06-20,1397546160
2003-06-23,1388858040
2003-06-24,1395063840
2003-06-25,1404993120
2003-06-26,1400028480
2003-06-27,1383893400
2003-06-30,1376335540
2003-07-01,1375094480
2003-07-02,1387505080
2003-07-03,1386264020
2003-07-07,1383781900
2003-07-08,1371371300
2003-07-09,1377576600
2003-07-10,1368889180
2003-07-11,1376335540
2003-07-14,1370130240
2003-07-15,1365166000
2003-07-16,1371371300
2003-07-17,1363924940
2003-07-18,1361442820
2003-07-21,1352755400
2003-07-22,1351514340
2003-07-23,1330416320
2003-07-24,1313041480
2003-07-25,1309318300
2003-07-28,1318005720
2003-07-29,1318005720
2003-07-30,1315523600
2003-07-31,1305595120
2003-08-01,1304354060
2003-08-04,1283256040
2003-08-05,1283256040
2003-08-06,1298148760
2003-08-07,1303113000
2003-08-08,1309318300
2003-08-11,1327934200
2003-08-12,1330416320
2003-08-13,1331657380
2003-08-14,1334139500
2003-08-15,1337862680
2003-08-18,1339103740
2003-08-19,1335380560
2003-08-20,1334139500
2003-08-21,1337862680
2003-08-22,1321728900
2003-08-25,1327934200
2003-08-26,1327934200
2003-08-27,1326693140
2003-08-28,1337862680
2003-08-29,1332898440
2003-09-02,1336621620
2003-09-03,1347791160
2003-09-04,1344067980
2003-09-05,1342826920
2003-09-08,1355237520
2003-09-09,1355237520
2003-09-10,1351514340
2003-09-11,1357719640
2003-09-12,1358960700
2003-09-15,1356478580
2003-09-16,1352755400
2003-09-17,1344067980
2003-09-18,1344067980
2003-09-19,1346550100
2003-09-22,1356478580
2003-09-23,1392469320
2003-09-24,1392469320
2003-09-25,1389987200
2003-09-26,1389987200
2003-09-29,1385022960
2003-09-30,1388089119
2003-10-01,1388089119
2003-10-02,1384367700
2003-10-03,1391810537
2003-10-06,1401734320
2003-10-07,1404215266
2003-10-08,1400493847
2003-10-09,1400493847
2003-10-10,1411658103
2003-10-13,1414139049
2003-10-14,1411658103
2003-10-15,1396772429
2003-10-16,1399253374
2003-10-17,1385608173
2003-10-20,1390570064
2003-10-21,1386848646
2003-10-22,1385608173
2003-10-23,1384367700
2003-10-24,1383127227
2003-10-27,1383127227
2003-10-28,1383127227
2003-10-29,1393051010
2003-10-30,1386848646
2003-10-31,1391810537
2003-11-03,1390570064
2003-11-04,1360798716
2003-11-05,1385608173
2003-11-06,1385608173
2003-11-07,1388089119
2003-11-10,1384367700
2003-11-11,1388089119
2003-11-12,1386848646
2003-11-13,1380646282
2003-11-14,1384367700
2003-11-17,1380646282
2003-11-18,1375684390
2003-11-19,1376924863
2003-11-20,1373203444
2003-11-21,1376924863
2003-11-24,1391810537
2003-11-25,1400493847
2003-11-26,1394291483
2003-11-28,1391810537
2003-12-01,1417860467
2003-12-02,1422822358
2003-12-03,1399253374
2003-12-04,1417860467
2003-12-05,1422822358
2003-12-08,1446391343
2003-12-09,1441429451
2003-12-10,1452593707
2003-12-11,1453834180
2003-12-12,1452593707
2003-12-15,1451353234
2003-12-16,1451353234
2003-12-17,1450112761
2003-12-18,1452593707
2003-12-19,1451353234
2003-12-22,1451353234
2003-12-23,1452593707
2003-12-24,1456315125
2003-12-26,1457555598
2003-12-29,1460036544
2003-12-30,1455074653
2003-12-31,1454300160
2004-01-02,1454300160
2004-01-05,1465506240
2004-01-06,1450564800
2004-01-07,1448074560
2004-01-08,1454300160
2004-01-09,1460525760
2004-01-12,1460525760
2004-01-13,1458035520
2004-01-14,1455545280
2004-01-15,1446829440
2004-01-16,1448074560
2004-01-20,1477957440
2004-01-21,1489163520
2004-01-22,1491653760
2004-01-23,1511575680
2004-01-26,1521536640
2004-01-27,1517801280
2004-01-28,1501614720
2004-01-29,1487918400
2004-01-30,1487918400
2004-02-02,1487918400
2004-02-03,1497879360
2004-02-04,1477957440
2004-02-05,1477957440
2004-02-06,1491653760
2004-02-09,1505350080
2004-02-10,1510330560
2004-02-11,1499124480
2004-02-12,1499124480
2004-02-13,1484183040
2004-02-17,1507840320
2004-02-18,1492898880
2004-02-19,1489163520
2004-02-20,1459280640
2004-02-23,1455545280
2004-02-24,1450564800
2004-02-25,1449319680
2004-02-26,1451809920
2004-02-27,1460525760
2004-03-01,1477957440
2004-03-02,1491653760
2004-03-03,1490408640
2004-03-04,1481692800
2004-03-05,1485428160
2004-03-08,1487918400
2004-03-09,1481692800
2004-03-10,1458035520
2004-03-11,1443094080
2004-03-12,1455545280
2004-03-15,1455545280
2004-03-16,1443094080
2004-03-17,1458035520
2004-03-18,1449319680
2004-03-19,1435623360
2004-03-22,1428152640
2004-03-23,1449319680
2004-03-24,1436868480
2004-03-25,1446829440
2004-03-26,1445584320
2004-03-29,1460525760
2004-03-30,1491653760
2004-03-31,1499619420
2004-04-01,1494657900
2004-04-02,1500859800
2004-04-05,1513263600
2004-04-06,1519465500
2004-04-07,1552955760
2004-04-08,1552955760
2004-04-12,1552955760
2004-04-13,1531869300
2004-04-14,1535590440
2004-04-15,1562878800
2004-04-16,1570321080
2004-04-19,1572801840
2004-04-20,1541792340
2004-04-21,1550475000
2004-04-22,1562878800
2004-04-23,1574042220
2004-04-26,1586446020
2004-04-27,1587686400
2004-04-28,1602570960
2004-04-29,1600090200
2004-04-30,1586446020
2004-05-03,1587686400
2004-05-04,1587686400
2004-05-05,1585205640
2004-05-06,1586446020
2004-05-07,1565359560
2004-05-10,1533109680
2004-05-11,1550475000
2004-05-12,1538071200
2004-05-13,1554196140
2004-05-14,1579003740
2004-05-17,1582724880
2004-05-18,1587686400
2004-05-19,1583965260
2004-05-20,1612494000
2004-05-21,1603811340
2004-05-24,1638541980
2004-05-25,1631099700
2004-05-26,1632340080
2004-05-27,1622417040
2004-05-28,1634820840
2004-06-01,1644743880
2004-06-02,1637301600
2004-06-03,1621176660
2004-06-04,1614974760
2004-06-07,1629859320
2004-06-08,1605051720
2004-06-09,1606292100
2004-06-10,1636061220
2004-06-14,1639782360
2004-06-15,1657147680
2004-06-16,1669551480
2004-06-17,1681955280
2004-06-18,1688157180
2004-06-21,1691878320
2004-06-22,1701801360
2004-06-23,1719166680
2004-06-24,1725368580
2004-06-25,1720407060
2004-06-28,1722887820
2004-06-29,1721647440
2004-06-30,1729559040
2004-07-01,1718503620
2004-07-02,1718503620
2004-07-06,1719732000
2004-07-07,1722188760
2004-07-08,1722188760
2004-07-09,1718503620
2004-07-12,1716046860
2004-07-13,1707448200
2004-07-14,1723417140
2004-07-15,1717275240
2004-07-16,1722188760
2004-07-19,1728330660
2004-07-20,1739386080
2004-07-21,1723417140
2004-07-22,1707448200
2004-07-23,1690250880
2004-07-26,1677967080
2004-07-27,1681652220
2004-07-28,1684108980
2004-07-29,1707448200
2004-07-30,1714818480
2004-08-02,1720960380
2004-08-03,1723417140
2004-08-04,1706219820
2004-08-05,1690250880
2004-08-06,1681652220
2004-08-09,1689022500
2004-08-10,1704991440
2004-08-11,1686565740
2004-08-12,1680423840
2004-08-13,1693936020
2004-08-16,1701306300
2004-08-17,1684108980
2004-08-18,1703763060
2004-08-19,1708676580
2004-08-20,1716046860
2004-08-23,1706219820
2004-08-24,1704991440
2004-08-25,1716046860
2004-08-26,1720960380
2004-08-27,1735700940
2004-08-30,1732015800
2004-08-31,1752898260
2004-09-01,1754126640
2004-09-02,1765182060
2004-09-03,1768867200
2004-09-07,1765182060
2004-09-08,1763953680
2004-09-09,1786064520
2004-09-10,1773780720
2004-09-13,1778694240
2004-09-14,1771323960
2004-09-15,1768867200
2004-09-16,1772552340
2004-09-17,1773780720
2004-09-20,1782379380
2004-09-21,1788521280
2004-09-22,1777465860
2004-09-23,1765182060
2004-09-24,1770095580
2004-09-27,1768867200
2004-09-28,1799576700
2004-09-29,1789749660
2004-09-30,1798530933
2004-10-01,1814350217
2004-10-04,1813133349
2004-10-05,1822868293
2004-10-06,1835036974
2004-10-07,1809482745
2004-10-08,1807049009
2004-10-11,1811916481
2004-10-12,1799747801
2004-10-13,1768109233
2004-10-14,1804615273
2004-10-15,1825302030
2004-10-18,1804615273
2004-10-19,1792446593
2004-10-20,1819217689
2004-10-21,1824085161
2004-10-22,1807049009
2004-10-25,1819217689
2004-10-26,1814350217
2004-10-27,1827735766
2004-10-28,1808265877
2004-10-29,1831386370
2004-11-01,1849639390
