,HSY
2001-06-08,8315553600
2001-06-11,8329194600
2001-06-12,8315553600
2001-06-13,8299184400
2001-06-14,8179143600
2001-06-15,8192784600
2001-06-18,8160046200
2001-06-19,8200969200
2001-06-20,8252805000
2001-06-21,8389215000
2001-06-22,8321010000
2001-06-25,8315553600
2001-06-26,8397399600
2001-06-27,8340107400
2001-06-28,8345563800
2001-06-29,8419225200
2001-07-02,8374965160
2001-07-03,8393986820
2001-07-05,8388552060
2001-07-06,8334204460
2001-07-09,8326052320
2001-07-10,8393986820
2001-07-11,8456486560
2001-07-12,8464638700
2001-07-13,8478225600
2001-07-16,8551594860
2001-07-17,8709202900
2001-07-18,8739094080
2001-07-19,8779854780
2001-07-20,8508116780
2001-07-23,8312465420
2001-07-24,8182031180
2001-07-25,8247248300
2001-07-26,8252683060
2001-07-27,8195618080
2001-07-30,8086922880
2001-07-31,8201052840
2001-08-01,8138553100
2001-08-02,8203770220
2001-08-03,8111379300
2001-08-06,8046162180
2001-08-07,8038010040
2001-08-08,8002684100
2001-08-09,8016271000
2001-08-10,8081488120
2001-08-13,8103227160
2001-08-14,8130400960
2001-08-15,8192900700
2001-08-16,8187465940
2001-08-17,8190183320
2001-08-20,8247248300
2001-08-21,8529855820
2001-08-22,8608659840
2001-08-23,8627681500
2001-08-24,8703768140
2001-08-27,8858658800
2001-08-28,8733659320
2001-08-29,8695616000
2001-08-30,8763550500
2001-08-31,8760833120
2001-09-04,8839637140
2001-09-05,8967354000
2001-09-06,8934745440
2001-09-07,8847789280
2001-09-10,8980940900
2001-09-17,8690181240
2001-09-18,8627681500
2001-09-19,8524421060
2001-09-20,8423878000
2001-09-21,8187465940
2001-09-24,8423878000
2001-09-25,8586920800
2001-09-26,8654855300
2001-09-27,8823332860
2001-09-28,8883115220
2001-10-01,8757963420
2001-10-02,8801467740
2001-10-03,8728054200
2001-10-04,8632888500
2001-10-05,8741649300
2001-10-08,8646483600
2001-10-09,8589384180
2001-10-10,8717178120
2001-10-11,8578508100
2001-10-12,8298449040
2001-10-15,8279415900
2001-10-16,8279415900
2001-10-17,8328358260
2001-10-18,8437119060
2001-10-19,8776996560
2001-10-22,8804186760
2001-10-23,8700864000
2001-10-24,8700864000
2001-10-25,8774277540
2001-10-26,8823219900
2001-10-29,8719897140
2001-10-30,8668235760
2001-10-31,8665516740
2001-11-01,8815062840
2001-11-02,8940137760
2001-11-05,9078807780
2001-11-06,9173973480
2001-11-07,9152221320
2001-11-08,9010832280
2001-11-09,8997237180
2001-11-12,9029865420
2001-11-13,9032584440
2001-11-14,9076088760
2001-11-15,9016270320
2001-11-16,9067931700
2001-11-19,9054336600
2001-11-20,8970046980
2001-11-21,8980923060
2001-11-23,9021708360
2001-11-26,9038022480
2001-11-27,8953732860
2001-11-28,8864005200
2001-11-29,8904790500
2001-11-30,8899352460
2001-12-03,8959170900
2001-12-04,8921104620
2001-12-05,8959170900
2001-12-06,8831376960
2001-12-07,8869443240
2001-12-10,8861286180
2001-12-11,8831376960
2001-12-12,8831376960
2001-12-13,8872162260
2001-12-14,8991799140
2001-12-17,8994518160
2001-12-18,9046179540
2001-12-19,9116874060
2001-12-20,9203882700
2001-12-21,9282734280
2001-12-24,9233791920
2001-12-26,9212039760
2001-12-27,9252825060
2001-12-28,9244668000
2001-12-31,9255063900
2002-01-02,9246861480
2002-01-03,9194912820
2002-01-04,9126559320
2002-01-07,9137495880
2002-01-08,9208583520
2002-01-09,9181242120
2002-01-10,9183976260
2002-01-11,9227722500
2002-01-14,9298810140
2002-01-15,9399973320
2002-01-16,9383568480
2002-01-17,9402707460
2002-01-18,9476529240
2002-01-22,9555819300
2002-01-23,9569490000
2002-01-24,9440985420
2002-01-25,9353492940
2002-01-28,9460124400
2002-01-29,9481997520
2002-01-30,9531212040
2002-01-31,9621438660
2002-02-01,9539414460
2002-02-04,9583160700
