,CI
2000-10-13,17607707871
2000-10-16,18001280904
2000-10-17,17991910118
2000-10-18,17945056185
2000-10-19,17724842702
2000-10-20,17790438208
2000-10-23,17143853938
2000-10-24,17359382028
2000-10-25,17101685399
2000-10-26,17415606747
2000-10-27,17907573039
2000-10-30,18516674163
2000-10-31,19046123601
2000-11-01,18741573040
2000-11-02,18029393264
2000-11-03,18132471916
2000-11-06,18582269669
2000-11-07,18727516860
2000-11-08,19524033714
2000-11-09,19242910118
2000-11-10,20170617984
2000-11-13,19992573040
2000-11-14,19795786523
2000-11-15,19861382029
2000-11-16,20498595512
2000-11-17,20034741579
2000-11-20,19688022478
2000-11-21,19355359557
2000-11-22,19238224725
2000-11-24,19256966298
2000-11-27,18896191017
2000-11-28,18858707871
2000-11-29,19519348321
2000-11-30,20578247197
2000-12-01,19978516860
2000-12-04,19969146074
2000-12-05,20358033714
2000-12-06,20339292141
2000-12-07,20062853939
2000-12-08,20184674164
2000-12-11,20067539332
2000-12-12,19856696635
2000-12-13,19289764051
2000-12-14,19163258433
2000-12-15,18638494388
2000-12-18,19018011242
2000-12-19,18821224725
2000-12-20,19936348321
2000-12-21,19852011242
2000-12-22,20531393265
2000-12-26,20507966299
2000-12-27,20723494388
2000-12-28,21084269670
2000-12-29,20662584276
2001-01-02,19471648354
2001-01-03,19485296705
2001-01-04,17287912090
2001-01-05,17438043958
2001-01-08,18038571430
2001-01-09,18165956046
2001-01-10,18616351650
2001-01-11,17651868134
2001-01-12,17469890112
2001-01-16,17478989013
2001-01-17,17310659342
2001-01-18,17328857144
2001-01-19,16605494507
2001-01-22,17374351650
2001-01-23,17788351650
2001-01-24,18270593408
2001-01-25,18011274727
2001-01-26,18388879123
2001-01-29,17665516485
2001-01-30,17301560441
2001-01-31,16855714287
2001-02-01,17287912090
2001-02-02,17970329672
2001-02-05,18425274727
2001-02-06,17815648353
2001-02-07,18165956046
2001-02-08,18334285716
2001-02-09,16796571430
2001-02-12,17165076925
2001-02-13,17069538463
2001-02-14,16378021980
2001-02-15,16414417584
2001-02-16,16473560441
2001-02-20,16118703298
2001-02-21,16009516485
2001-02-22,16073208793
2001-02-23,15499978023
2001-02-26,16091406595
2001-02-27,16810219782
2001-02-28,16632791210
2001-03-01,16673736265
2001-03-02,17046791210
2001-03-05,16728329672
2001-03-06,16741978023
2001-03-07,16682835166
2001-03-08,17051340661
2001-03-09,16983098903
2001-03-12,16810219782
2001-03-13,16801120881
2001-03-14,16478109892
2001-03-15,16842065936
2001-03-16,16191494507
2001-03-19,16491758243
2001-03-20,16000417584
2001-03-21,15704703298
2001-03-22,15222461540
2001-03-23,15622813188
2001-03-26,15927626375
2001-03-27,15891230771
2001-03-28,15208813188
2001-03-29,15977670331
2001-03-30,16282483518
2001-04-02,15889420114
2001-04-03,15629964493
2001-04-04,15670224848
2001-04-05,15880473369
2001-04-06,15553917156
2001-04-09,15491289937
2001-04-10,15209467452
2001-04-11,15039479286
2001-04-12,15106579878
2001-04-16,14909751475
2001-04-17,14932118339
2001-04-18,15003692304
2001-04-19,15039479286
2001-04-20,15043952659
2001-04-23,14999218931
2001-04-24,14587668635
2001-04-25,14842650884
2001-04-26,15321301771
2001-04-27,15956520706
2001-04-30,15911786978
2001-05-01,16207029581
2001-05-02,13845088754
2001-05-03,13388804730
2001-05-04,13344071002
2001-05-07,13098035499
2001-05-08,13272497038
2001-05-09,13719834316
2001-05-10,13509585795
2001-05-11,13867455618
2001-05-14,13836142008
2001-05-15,13921136091
2001-05-16,14337159759
2001-05-17,14015076919
2001-05-18,13974816564
2001-05-21,14149278103
2001-05-22,14091124257
2001-05-23,13943502955
2001-05-24,14010603546
2001-05-25,13719834316
2001-05-29,14015076919
2001-05-30,13871928990
2001-05-31,14086650884
2001-06-01,13903242600
2001-06-04,13903242600
2001-06-05,13791408280
2001-06-06,13921136091
2001-06-07,14019550292
2001-06-08,14135857984
2001-06-11,14024023665
2001-06-12,14180591712
2001-06-13,14180591712
2001-06-14,13777988162
2001-06-15,13755621298
2001-06-18,13840615381
2001-06-19,13813775144
2001-06-20,13947976328
2001-06-21,14135857984
2001-06-22,14091124257
2001-06-25,13947976328
2001-06-26,14015076919
2001-06-27,14167171594
2001-06-28,14238745558
2001-06-29,14287952659
2001-07-02,14084262300
2001-07-03,14137377054
2001-07-05,13955901645
2001-07-06,13752295087
2001-07-09,13929344267
2001-07-10,13854098366
2001-07-11,13982459022
2001-07-12,14239180333
2001-07-13,14726065579
2001-07-16,14805737710
2001-07-17,14796885251
2001-07-18,14973934432
2001-07-19,15009344268
2001-07-20,14748196727
2001-07-23,14619836071
2001-07-24,14491475415
2001-07-25,14433934432
2001-07-26,14668524596
2001-07-27,14695081973
2001-07-30,14920819678
2001-07-31,14801311481
2001-08-01,12782950824
2001-08-02,13030819677
2001-08-03,13070655743
2001-08-06,13207868857
2001-08-07,13260983611
2001-08-08,13243278693
2001-08-09,13154754103
2001-08-10,13256557382
2001-08-13,13057377054
2001-08-14,13230000005
2001-08-15,13291967218
2001-08-16,13353934431
2001-08-17,13305245907
2001-08-20,13287540989
2001-08-21,13278688530
2001-08-22,13451311480
2001-08-23,13517704923
2001-08-24,13287540989
2001-08-27,13345081972
2001-08-28,13424754103
2001-08-29,13491147546
2001-08-30,13424754103
2001-08-31,13278688530
2001-09-04,13455737710
2001-09-05,13384918038
2001-09-06,13256557382
2001-09-07,12769672136
2001-09-10,13097213120
2001-09-17,12614754103
2001-09-18,12782950824
2001-09-19,12579344267
2001-09-20,12150000004
2001-09-21,11787049185
2001-09-24,11512622955
2001-09-25,11446229512
2001-09-26,11800327873
2001-09-27,11826885250
2001-09-28,12238524595
2001-10-01,12234098365
2001-10-02,12269508201
2001-10-03,12495245906
2001-10-04,12504098365
2001-10-05,12512950824
2001-10-08,12158852463
2001-10-09,12406721316
2001-10-10,12535081972
2001-10-11,12406721316
2001-10-12,12273934431
2001-10-15,12322622955
2001-10-16,12490819677
2001-10-17,12318196726
2001-10-18,11857868857
2001-10-19,11809180332
2001-10-22,11818032791
2001-10-23,11707377053
2001-10-24,11432950824
2001-10-25,11406393447
2001-10-26,11366557381
2001-10-29,11229344266
2001-10-30,10981475414
2001-10-31,10755737709
2001-11-01,10565409840
2001-11-02,11787049185
2001-11-05,11937540988
2001-11-06,12318196726
2001-11-07,11818032791
2001-11-08,12061475414
2001-11-09,11959672136
2001-11-12,12088032791
2001-11-13,12406721316
2001-11-14,12384590168
2001-11-15,12402295087
2001-11-16,12667868857
2001-11-19,13008688529
2001-11-20,12968852464
2001-11-21,13035245906
2001-11-23,13168032792
2001-11-26,13278688530
2001-11-27,13336229513
2001-11-28,13322950825
2001-11-29,13451311480
2001-11-30,13460163939
2001-12-03,13446885251
2001-12-04,13500000005
2001-12-05,13446885251
2001-12-06,13712459021
2001-12-07,13911639349
2001-12-10,13544262300
2001-12-11,13566393448
2001-12-12,13411475415
2001-12-13,13238852464
2001-12-14,13190163939
2001-12-17,13132622956
2001-12-18,13309672136
2001-12-19,13544262300
2001-12-20,13610655743
2001-12-21,13269836070
2001-12-24,13291967218
2001-12-26,13376065579
2001-12-27,13486721316
2001-12-28,13699180333
2001-12-31,13668196726
2002-01-02,13049989186
2002-01-03,12969223781
2002-01-04,13071243240
2002-01-07,12964972970
2002-01-08,12892709186
2002-01-09,13207269186
2002-01-10,13105249727
2002-01-11,13207269186
2002-01-14,13245526483
2002-01-15,13377301619
2002-01-16,13317790267
2002-01-17,13254028105
2002-01-18,13194516754
2002-01-22,13003230267
2002-01-23,12977725402
2002-01-24,13190265943
2002-01-25,13232774051
2002-01-28,12871455132
2002-01-29,12671667024
2002-01-30,12616406484
2002-01-31,13037236754
2002-02-01,13198767565
2002-02-04,12769435673
2002-02-05,12697171889
2002-02-06,12692921078
2002-02-07,12705673511
2002-02-08,12888458375
2002-02-11,12964972970
2002-02-12,12922464862
2002-02-13,13339044321
2002-02-14,13407057294
2002-02-15,13275282159
2002-02-19,13058490808
2002-02-20,13275282159
2002-02-21,13186015132
2002-02-22,13079744862
2002-02-25,13105249727
2002-02-26,13288034592
2002-02-27,13300787024
2002-02-28,12709924321
2002-03-01,13390054051
2002-03-04,13504825943
2002-03-05,13666356754
2002-03-06,13759874591
2002-03-07,13636601078
2002-03-08,13683359997
2002-03-11,13708864862
2002-03-12,13751372970
2002-03-13,13657855132
2002-03-14,13619597835
2002-03-15,13602594592
2002-03-18,13645102700
2002-03-19,13700363240
2002-03-20,13997919997
2002-03-21,14082936213
2002-03-22,14014923240
2002-03-25,13959662700
2002-03-26,13993669186
2002-03-27,14142447564
2002-03-28,14367740537
2002-04-01,14388476904
2002-04-02,14743852400
2002-04-03,14828465613
2002-04-04,14934232129
2002-04-05,14934232129
2002-04-08,14955385433
2002-04-09,14845388255
2002-04-10,15276915643
2002-04-11,15230378376
2002-04-12,15412296784
2002-04-15,15069613270
2002-04-16,15158457144
2002-04-17,15293838285
2002-04-18,15327683571
2002-04-19,15251531679
2002-04-22,15255762339
2002-04-23,14946924111
2002-04-24,14815773631
2002-04-25,15137303841
2002-04-26,15154226484
2002-04-29,15090766574
2002-04-30,15369990177
2002-05-01,15628060478
2002-05-02,14667700508
2002-05-03,14688853811
2002-05-06,14227711799
2002-05-07,13999256123
2002-05-08,14439244832
2002-05-09,14468859457
2002-05-10,14447706153
2002-05-13,14545011349
2002-05-14,14688853811
2002-05-15,14718468436
2002-05-16,14545011349
2002-05-17,14743852400
2002-05-20,14663469847
2002-05-21,14350400958
2002-05-22,14523858045
2002-05-23,14688853811
2002-05-24,14781928346
2002-05-28,14807312310
2002-05-29,14815773631
2002-05-30,14938462790
2002-05-31,14955385433
2002-06-03,14900386844
2002-06-04,14604240598
2002-06-05,14646547204
2002-06-06,14595779277
2002-06-07,14426552850
2002-06-10,14413860868
2002-06-11,14532319367
2002-06-12,14731160418
2002-06-13,14447706153
2002-06-14,13948488196
2002-06-17,14405399547
2002-06-18,14515396724
2002-06-19,14198097174
2002-06-20,13995025463
2002-06-21,13868105643
2002-06-24,13635419307
2002-06-25,13677725913
2002-06-26,13605804682
2002-06-27,13817337715
2002-06-28,13736955163
2002-07-01,13447851900
2002-07-02,13208611089
2002-07-03,13342921720
2002-07-05,13657712261
2002-07-08,13540190459
2002-07-09,12998750729
2002-07-10,12566438386
2002-07-11,12520269107
2002-07-12,12486691449
2002-07-15,12352380819
2002-07-16,12079562350
2002-07-17,11936857305
2002-07-18,11584291899
2002-07-19,11496150548
2002-07-22,11105810277
2002-07-23,10832991809
2002-07-24,11458375683
2002-07-25,11370234331
2002-07-26,11575897485
2002-07-29,12079562350
2002-07-30,12016604242
2002-07-31,12591621630
2002-08-01,12239056224
2002-08-02,11743785773
2002-08-05,11118401899
2002-08-06,11143585142
2002-08-07,11021866133
2002-08-08,11487756133
2002-08-09,11668236043
2002-08-12,11605277935
2002-08-13,11214937665
2002-08-14,11500347755
2002-08-15,11651447214
2002-08-16,11689222079
2002-08-19,11999815413
2002-08-20,11911674061
2002-08-21,12100548386
2002-08-22,12415338927
2002-08-23,12184492530
2002-08-26,12356578026
2002-08-27,12075365143
2002-08-28,11928462890
2002-08-29,11941054512
2002-08-30,11907476854
2002-09-03,11563305863
2002-09-04,11193951629
2002-09-05,11005077304
2002-09-06,10803611358
2002-09-09,10975696854
2002-09-10,10950513610
2002-09-11,11038654962
2002-09-12,10958908025
2002-09-13,11000880097
2002-09-16,11005077304
2002-09-17,10778428115
2002-09-18,10744850457
2002-09-19,10534990097
2002-09-20,10182424691
2002-09-23,10295749286
2002-09-24,10010339195
2002-09-25,9959972709
2002-09-26,10337721358
2002-09-27,10069100096
2002-09-30,9897014601
2002-10-01,10280622012
2002-10-02,10037244022
2002-10-03,9693157897
2002-10-04,8698665074
2002-10-07,8111200959
2002-10-08,8518229667
2002-10-09,8044062203
2002-10-10,8161555026
2002-10-11,8623133973
2002-10-14,8749019141
2002-10-15,9126674643
2002-10-16,8942043064
2002-10-17,8446894739
2002-10-18,8841334930
2002-10-21,8921062203
2002-10-22,9227382777
2002-10-23,9101497610
2002-10-24,8895885170
2002-10-25,5509574164
2002-10-28,5396277513
2002-10-29,5131918661
2002-10-30,5047995216
2002-10-31,5056387561
2002-11-01,5371100480
2002-11-04,5438239236
2002-11-05,5404669858
2002-11-06,5396277513
2002-11-07,5241019140
2002-11-08,5073172250
2002-11-11,5047995216
2002-11-12,5094153111
2002-11-13,5178076556
2002-11-14,5228430623
2002-11-15,5324942585
2002-11-18,5312354068
2002-11-19,5392081341
2002-11-20,5572516748
2002-11-21,5660636365
2002-11-22,5811698566
2002-11-25,5648047848
2002-11-26,5669028709
2002-11-27,5950172250
2002-11-29,6088645934
2002-12-02,6050880384
2002-12-03,6038291867
2002-12-04,6013114834
2002-12-05,6042488040
2002-12-06,6076057418
2002-12-09,5983741628
2002-12-10,6050880384
2002-12-11,6034095695
2002-12-12,6050880384
2002-12-13,5878837322
2002-12-16,5983741628
2002-12-17,6013114834
2002-12-18,6013114834
2002-12-19,5966956939
2002-12-20,6004722489
2002-12-23,5992133973
2002-12-24,5996330145
2002-12-26,5945976078
2002-12-27,5945976078
2002-12-30,5761344499
2002-12-31,5752952154
2003-01-02,5936307688
2003-01-03,5777112422
2003-01-06,5793869819
2003-01-07,5768733724
2003-01-08,5944686387
2003-01-09,6087124256
2003-01-10,6187668635
2003-01-13,6229562126
2003-01-14,6388757392
2003-01-15,6355242599
2003-01-16,6459976327
2003-01-17,6455786978
2003-01-21,6309159759
2003-01-22,6179289937
2003-01-23,6263076919
2003-01-24,6074556209
2003-01-27,5898603546
2003-01-28,5856710055
2003-01-29,5999147925
2003-01-30,5999147925
2003-01-31,6099692304
2003-02-03,5919550292
2003-02-04,5718461535
2003-02-05,5689136091
2003-02-06,5475479286
2003-02-07,6007526623
2003-02-10,5978201179
2003-02-11,6024284020
2003-02-12,5911171594
2003-02-13,5877656801
2003-02-14,5869278103
2003-02-18,6070366860
2003-02-19,6074556209
2003-02-20,5978201179
2003-02-21,6032662718
2003-02-24,5915360943
2003-02-25,5869278103
2003-02-26,5865088754
2003-02-27,5894414197
2003-02-28,5999147925
2003-03-03,5999147925
2003-03-04,5886035499
2003-03-05,5927928990
2003-03-06,5865088754
2003-03-07,5873467452
2003-03-10,5663999996
2003-03-11,5584402363
2003-03-12,5663999996
2003-03-13,5814816564
2003-03-14,5848331357
2003-03-17,6061988162
2003-03-18,5994958576
2003-03-19,6175100588
2003-03-20,6284023665
2003-03-21,6464165676
2003-03-24,6237940824
2003-03-25,6363621298
2003-03-26,6338485203
2003-03-27,6359431948
2003-03-28,6397136090
2003-03-31,6384568043
2003-04-01,6464605268
2003-04-02,6577578953
2003-04-03,6648710532
2003-04-04,6724026321
2003-04-07,6698921058
2003-04-08,6611052637
2003-04-09,6510631584
2003-04-10,6556657900
2003-04-11,6552473689
2003-04-14,6623605268
2003-04-15,6753315795
2003-04-16,6539921058
2003-04-17,6644526321
2003-04-21,6565026321
2003-04-22,6807710532
2003-04-23,6874657900
2003-04-24,6954157900
2003-04-25,6811894742
2003-04-28,7021105269
2003-04-29,7025289479
2003-04-30,7293078953
2003-05-01,7481368427
2003-05-02,7083868427
2003-05-05,7180105269
2003-05-06,7447894743
2003-05-07,7397684217
2003-05-08,7251236848
2003-05-09,7175921058
2003-05-12,7180105269
2003-05-13,7238684216
2003-05-14,7364210532
2003-05-15,7389315795
2003-05-16,7581789480
2003-05-19,7393500006
2003-05-20,7556684217
2003-05-21,7686394743
2003-05-22,7694763164
2003-05-23,7627815796
2003-05-27,7778447375
2003-05-28,7816105270
2003-05-29,7661289480
2003-05-30,7824473691
2003-06-02,7531578954
2003-06-03,7175921058
2003-06-04,7347473690
2003-06-05,7251236848
2003-06-06,7171736848
2003-06-09,7021105269
2003-06-10,6924868427
2003-06-11,6920684216
2003-06-12,6707289479
2003-06-13,6535736847
2003-06-16,6590131584
2003-06-17,6782605269
2003-06-18,6761684216
2003-06-19,6795157900
2003-06-20,6837000006
2003-06-23,6611052637
2003-06-24,6661263163
2003-06-25,6585947374
2003-06-26,6606868426
2003-06-27,6577578953
2003-06-30,6548289479
2003-07-01,6531107145
2003-07-02,6652285716
2003-07-03,6526928573
2003-07-07,6656464287
2003-07-08,6777642859
2003-07-09,6831964288
2003-07-10,6493500002
2003-07-11,6196821430
2003-07-14,5716285716
2003-07-15,5749714287
2003-07-16,5590928573
2003-07-17,5649428573
2003-07-18,5724642859
2003-07-21,5649428573
2003-07-22,5695392859
2003-07-23,5682857144
2003-07-24,5682857144
2003-07-25,5783142859
2003-07-28,5799857144
2003-07-29,5820750001
2003-07-30,6318000002
2003-07-31,6514392859
2003-08-01,6343071430
2003-08-04,6230250002
2003-08-05,6255321430
2003-08-06,6092357144
2003-08-07,6167571430
2003-08-08,6196821430
2003-08-11,6180107144
2003-08-12,6217714287
2003-08-13,6196821430
2003-08-14,6322178573
2003-08-15,6259500002
2003-08-18,6230250002
2003-08-19,6263678573
2003-08-20,6485142859
2003-08-21,6547821430
2003-08-22,6455892859
2003-08-25,6418285716
2003-08-26,6493500002
2003-08-27,6552000002
2003-08-28,6631392859
2003-08-29,6639750002
2003-09-02,6614678573
2003-09-03,6827785716
2003-09-04,6877928573
2003-09-05,6831964288
2003-09-08,6790178573
2003-09-09,6694071430
2003-09-10,6694071430
2003-09-11,6639750002
2003-09-12,6673178573
2003-09-15,6677357145
2003-09-16,6677357145
2003-09-17,6656464287
2003-09-18,6585428573
2003-09-19,6568714287
2003-09-22,6526928573
2003-09-23,6539464287
2003-09-24,6405750002
2003-09-25,6217714287
2003-09-26,6171750002
2003-09-29,6184285716
2003-09-30,6217714287
2003-10-01,6196821430
2003-10-02,6163392859
2003-10-03,6401571430
2003-10-06,6422464287
2003-10-07,6426642859
2003-10-08,6460071430
2003-10-09,6518571430
2003-10-10,6497678573
2003-10-13,6531107145
2003-10-14,6643928573
2003-10-15,6560357145
2003-10-16,6589607145
2003-10-17,6581250002
2003-10-20,6568714287
2003-10-21,6597964287
2003-10-22,6547821430
2003-10-23,6585428573
2003-10-24,6514392859
2003-10-27,6556178573
2003-10-28,6769285716
2003-10-29,6953142859
2003-10-30,6681535716
2003-10-31,7947642859
2003-11-03,7780500002
2003-11-04,7784678574
2003-11-05,8035392859
2003-11-06,8106428574
2003-11-07,8052107145
2003-11-10,7872428574
2003-11-11,7855714288
2003-11-12,7843178574
2003-11-13,7797214288
2003-11-14,7805571431
2003-11-17,7659321431
2003-11-18,7496357145
2003-11-19,7475464288
2003-11-20,7450392859
2003-11-21,7504714288
2003-11-24,7467107145
2003-11-25,7483821431
2003-11-26,7533964288
2003-11-28,7471285716
2003-12-01,7538142859
2003-12-02,7788857145
2003-12-03,7751250002
2003-12-04,7763785716
2003-12-05,7726178574
2003-12-08,7864071431
2003-12-09,7763785716
2003-12-10,7621714288
2003-12-11,7813928574
2003-12-12,7872428574
2003-12-15,7742892859
2003-12-16,7684392859
2003-12-17,7696928574
2003-12-18,7717821431
2003-12-19,7676035716
2003-12-22,7717821431
2003-12-23,7788857145
2003-12-24,7801392859
2003-12-26,7793035716
2003-12-29,7809750002
2003-12-30,7939285717
2003-12-31,8010321431
2004-01-02,7960163272
2004-01-05,7889387762
2004-01-06,7960163272
2004-01-07,7980979599
2004-01-08,7964326538
2004-01-09,7947673476
2004-01-12,8022612252
2004-01-13,7993469395
2004-01-14,7960163272
2004-01-15,7980979599
2004-01-16,8105877558
2004-01-20,8126693885
2004-01-21,8114204089
2004-01-22,8193306130
2004-01-23,8401469395
2004-01-26,8455591844
2004-01-27,8443102048
2004-01-28,8355673477
2004-01-29,8451428579
2004-01-30,8605469395
2004-02-02,8755346946
2004-02-03,8734530620
2004-02-04,8701224497
2004-02-05,8617959191
2004-02-06,7847755109
2004-02-09,7610448986
2004-02-10,7535510211
2004-02-11,7527183680
2004-02-12,7423102047
2004-02-13,7360653068
2004-02-17,7564653068
2004-02-18,7614612251
2004-02-19,7639591843
2004-02-20,7643755109
2004-02-23,7635428578
2004-02-24,7672897966
2004-02-25,7727020415
2004-02-26,7631265313
2004-02-27,7693714292
2004-03-01,7776979599
2004-03-02,7743673476
2004-03-03,7864408170
2004-03-04,7835265313
2004-03-05,7793632660
2004-03-08,7776979599
2004-03-09,7760326537
2004-03-10,7610448986
2004-03-11,7560489802
2004-03-12,7652081639
2004-03-15,7681224496
2004-03-16,7776979599
2004-03-17,7935183680
2004-03-18,7985142864
2004-03-19,7935183680
2004-03-22,7814448986
2004-03-23,7789469395
2004-03-24,7922693884
2004-03-25,7864408170
2004-03-26,7968489803
2004-03-29,7918530619
2004-03-30,8080897966
2004-03-31,8189142864
2004-04-01,8305586784
2004-04-02,8422214883
2004-04-05,9380231413
2004-04-06,9355239677
2004-04-07,9580165298
2004-04-08,9509355380
2004-04-12,9600991744
2004-04-13,9584330587
2004-04-14,9476033066
2004-04-15,9163636372
2004-04-16,9055338851
2004-04-19,9180297529
2004-04-20,9188628107
2004-04-21,9151140504
2004-04-22,9301090917
2004-04-23,9267768603
2004-04-26,9138644636
2004-04-27,9180297529
2004-04-28,9171966950
2004-04-29,9001190090
2004-04-30,8955371909
2004-05-03,9151140504
2004-05-04,9142809925
2004-05-05,9230281000
2004-05-06,9226115710
2004-05-07,9159471082
2004-05-10,8880396702
2004-05-11,8922049594
2004-05-12,9030347115
2004-05-13,9288595049
2004-05-14,9296925628
2004-05-17,9159471082
2004-05-18,9113652900
2004-05-19,9042842983
2004-05-20,9042842983
2004-05-21,9101157033
2004-05-24,9130314057
2004-05-25,9176132239
2004-05-26,9246942157
2004-05-27,9338578520
2004-05-28,9413553727
2004-06-01,9426049595
2004-06-02,9459371909
2004-06-03,9488528934
2004-06-04,9559338851
2004-06-07,9580165298
2004-06-08,9559338851
2004-06-09,9463537198
2004-06-10,9563504140
2004-06-14,9476033066
2004-06-15,9571834719
2004-06-16,9625983479
2004-06-17,9501024802
2004-06-18,9600991744
2004-06-21,9338578520
2004-06-22,9346909099
2004-06-23,9476033066
2004-06-24,9321917363
2004-06-25,9330247942
2004-06-28,9276099182
2004-06-29,9530181826
2004-06-30,9555173562
2004-07-01,9215684212
2004-07-02,9296736844
2004-07-06,9150842107
2004-07-07,9158947370
2004-07-08,8996842107
2004-07-09,8842842107
2004-07-12,8960368423
2004-07-13,8960368423
2004-07-14,8895526318
2004-07-15,8891473686
2004-07-16,8802315791
2004-07-19,8895526318
2004-07-20,8802315791
2004-07-21,8733421054
2004-07-22,8640210528
2004-07-23,8502421054
2004-07-26,8518631581
2004-07-27,8279526317
2004-07-28,8206578949
2004-07-29,8417315791
2004-07-30,8376789475
2004-08-02,8380842107
2004-08-03,8453789475
2004-08-04,8186315791
2004-08-05,8121473686
2004-08-06,7995842107
2004-08-09,8178210528
2004-08-10,8421368423
2004-08-11,8470000002
2004-08-12,8445684212
2004-08-13,8494315791
2004-08-16,8599684212
2004-08-17,8611842107
2004-08-18,8603736844
2004-08-19,8664526318
2004-08-20,8705052633
2004-08-23,8660473686
2004-08-24,8721263160
