,JKHY
2002-04-01,1931704050
2002-04-02,1923776400
2002-04-03,1870925399
2002-04-04,1893827500
2002-04-05,1886780700
2002-04-08,1908801950
2002-04-09,1919372150
2002-04-10,1946678500
2002-04-11,1910563650
2002-04-12,1937870000
2002-04-15,1876210500
2002-04-16,1914087050
2002-04-17,1885899850
2002-04-18,1920253000
2002-04-19,1990721000
2002-04-22,1969580600
2002-04-23,1971342300
2002-04-24,1993363550
2002-04-25,1997767800
2002-04-26,1981912500
2002-04-29,2006576300
2002-04-30,2050618800
2002-05-01,2059427300
2002-05-02,2048857100
2002-05-03,2038286900
2002-05-06,2047976250
2002-05-07,1959010399
2002-05-08,2018027350
2002-05-09,1973984850
2002-05-10,1956367850
2002-05-13,1968699750
2002-05-14,1930823200
2002-05-15,1914087050
2002-05-16,1826002050
2002-05-17,1778436150
2002-05-20,1704444750
2002-05-21,1600504450
2002-05-22,1619883150
2002-05-23,1660402250
2002-05-24,1671853300
2002-05-28,1707968150
2002-05-29,1683304350
2002-05-30,1739678750
2002-05-31,1738797899
2002-06-03,1679780950
2002-06-04,1682423500
2002-06-05,1703563900
2002-06-06,1666568200
2002-06-07,1655998000
2002-06-10,1696517100
2002-06-11,1589053400
2002-06-12,1494802450
2002-06-13,1480708850
2002-06-14,1505372650
2002-06-17,1553819400
2002-06-18,1547653450
2002-06-19,1541487500
2002-06-20,1498325850
2002-06-21,1452521649
2002-06-24,1464853550
2002-06-25,1443713150
2002-06-26,1444593999
2002-06-27,1417287650
2002-06-28,1470138650
2002-07-01,1384696200
2002-07-02,1367079200
2002-07-03,1393504700
2002-07-05,1424334450
2002-07-08,1389981300
2002-07-09,1373245150
2002-07-10,1277232500
2002-07-11,1272828250
2002-07-12,1241998500
2002-07-15,1219096400
2002-07-16,1223500650
2002-07-17,1230547450
2002-07-18,1140700750
2002-07-19,1140700750
2002-07-22,1038522149
2002-07-23,1172411350
2002-07-24,1271947400
2002-07-25,1216453850
2002-07-26,1204121950
2002-07-29,1251687850
2002-07-30,1262258050
2002-07-31,1256972950
2002-08-01,1254330400
2002-08-02,1253449550
2002-08-05,1184743250
2002-08-06,1232309150
2002-08-07,1275470800
2002-08-08,1306300550
2002-08-09,1302777150
2002-08-12,1291326100
2002-08-13,1253449550
2002-08-14,1275470800
2002-08-15,1290445250
2002-08-16,1338892000
2002-08-19,1434904650
2002-08-20,1416406799
2002-08-21,1484232250
2002-08-22,1516823700
2002-08-23,1454283350
2002-08-26,1488636499
2002-08-27,1459568450
2002-08-28,1437547200
2002-08-29,1489517350
2002-08-30,1437547200
2002-09-03,1401432350
2002-09-04,1435785500
2002-09-05,1373245150
2002-09-06,1496564149
2002-09-09,1396147250
2002-09-10,1436666350
2002-09-11,1440189750
2002-09-12,1388219600
2002-09-13,1425215300
2002-09-16,1389100450
2002-09-17,1338011150
2002-09-18,1326560100
2002-09-19,1229666600
2002-09-20,1221738950
2002-09-23,1195313450
2002-09-24,1177696450
2002-09-25,1157436900
2002-09-26,1175934750
2002-09-27,1138939050
2002-09-30,1089862400
2002-10-01,1112659200
2002-10-02,1076710400
2002-10-03,788243200
2002-10-04,789120000
2002-10-07,775091200
2002-10-08,789120000
2002-10-09,728620800
2002-10-10,754048000
2002-10-11,808409600
2002-10-14,784735999
2002-10-15,807532800
2002-10-16,766323200
2002-10-17,832960000
2002-10-18,864524800
2002-10-21,937299200
2002-10-22,922393600
2002-10-23,953958400
2002-10-24,940806400
2002-10-25,943436800
2002-10-28,923270400
2002-10-29,880307199
2002-10-30,899596800
2002-10-31,901350400
2002-11-01,953081599
2002-11-04,1006566400
2002-11-05,999552000
2002-11-06,1041638400
2002-11-07,1033747199
2002-11-08,1026732800
2002-11-11,989030400
2002-11-12,997798400
2002-11-13,992537600
2002-11-14,1015334400
2002-11-15,1058297600
2002-11-18,1009196800
2002-11-19,1009196800
2002-11-20,1058297600
2002-11-21,1093369600
2002-11-22,1109152000
2002-11-25,1133702400
2002-11-26,1096000000
2002-11-27,1147731200
2002-11-29,1138086400
2002-12-02,1138086400
2002-12-03,1079340800
2002-12-04,1092492800
2002-12-05,1096000000
2002-12-06,1103014400
2002-12-09,1060928000
2002-12-10,1096000000
2002-12-11,1061804800
2002-12-12,1065312000
2002-12-13,1067942400
2002-12-16,1091616000
2002-12-17,1088108800
2002-12-18,1074956800
2002-12-19,1059174400
2002-12-20,1101260800
2002-12-23,1076710400
2002-12-24,1083724800
2002-12-26,1086355200
2002-12-27,1073203200
2002-12-30,1047775999
2002-12-31,1056413679
2003-01-02,1115200820
2003-01-03,1113445980
2003-01-06,1221368640
2003-01-07,1234529940
2003-01-08,1220491220
2003-01-09,1241549300
2003-01-10,1259097700
2003-01-13,1280155780
2003-01-14,1302968700
2003-01-15,1228388000
2003-01-16,1170478280
2003-01-17,1152929880
2003-01-21,1127484700
2003-01-22,1123975020
2003-01-23,1148542780
2003-01-24,1111691140
2003-01-27,1093265320
2003-01-28,1137136320
2003-01-29,1108181460
2003-01-30,1052904000
2003-01-31,1082736280
2003-02-03,1099407260
2003-02-04,1074839500
2003-02-05,1058168520
2003-02-06,1076594340
2003-02-07,1052904000
2003-02-10,1067820140
2003-02-11,1057291100
2003-02-12,1040620120
2003-02-13,984465240
2003-02-14,1009033000
2003-02-18,1078349180
2003-02-19,1046762060
2003-02-20,1066065300
2003-02-21,1060800780
2003-02-24,1037110440
2003-02-25,1039742700
2003-02-26,999381380
2003-02-27,1037110440
2003-02-28,1009033000
2003-03-03,1000258800
2003-03-04,978323300
2003-03-05,982710399
2003-03-06,978323300
2003-03-07,984465240
2003-03-10,944103920
2003-03-11,914271640
2003-03-12,894968399
2003-03-13,881807100
2003-03-14,927432940
2003-03-17,916026480
2003-03-18,943226500
2003-03-19,955510380
2003-03-20,967794260
2003-03-21,994994280
2003-03-24,937084560
2003-03-25,982710399
2003-03-26,983587820
2003-03-27,959897480
2003-03-28,936207140
2003-03-31,931454040
2003-04-01,945527000
2003-04-02,983348080
2003-04-03,979829840
2003-04-04,962238640
2003-04-07,963997760
2003-04-08,974552480
2003-04-09,960479520
2003-04-10,957840840
2003-04-11,953443040
2003-04-14,974552480
2003-04-15,982468520
2003-04-16,1051074199
2003-04-17,1092413520
2003-04-21,1095052200
2003-04-22,1117041200
2003-04-23,1164537440
