,CPRI
2013-12-31,16513018378
2014-01-02,16761150936
2014-01-03,16781489670
2014-01-06,16685897619
2014-01-07,16055396856
2014-01-08,15845907893
2014-01-09,15984211286
2014-01-10,16230309971
2014-01-13,15593707587
2014-01-14,15670994778
2014-01-15,15744214221
2014-01-16,15396421865
2014-01-17,15666927031
2014-01-21,15701502879
2014-01-22,16220140604
2014-01-23,16329969769
2014-01-24,16285224554
2014-01-27,16492679643
2014-01-28,16647254024
2014-01-29,16014719387
2014-01-30,16350308503
2014-01-31,16256750325
2014-02-03,15593707587
2014-02-04,18286556009
2014-02-05,18577399909
2014-02-06,18609941884
2014-02-07,19163155457
2014-02-10,19435694497
2014-02-11,19569930143
2014-02-12,19527218801
2014-02-13,20015348424
2014-02-14,20025517791
2014-02-18,20102804982
2014-02-19,19887214398
2014-02-20,19931959614
2014-02-21,19842469183
2014-02-24,20049924272
2014-02-25,20306192325
2014-02-26,20200430906
2014-02-27,20249243869
2014-02-28,19938061234
2014-03-03,19927891867
2014-03-04,20110940475
2014-03-05,20133313083
2014-03-06,20058059766
2014-03-07,19988908070
2014-03-10,19986874196
2014-03-11,19940095107
2014-03-12,19938061234
2014-03-13,19732640017
2014-03-14,19956366095
2014-03-17,20045856526
2014-03-18,19681793182
2014-03-19,20076364627
2014-03-20,19864841790
2014-03-21,19822130448
2014-03-24,19140782849
2014-03-25,19004513329
2014-03-26,18719771049
2014-03-27,18618077378
2014-03-28,18864176063
2014-03-31,19003722580
2014-04-01,19407146733
2014-04-02,19362321827
2014-04-03,18875360350
2014-04-04,18243736676
2014-04-07,17642675439
2014-04-08,18131674412
2014-04-09,18441373761
2014-04-10,18266149129
2014-04-11,17699725319
2014-04-14,17750662712
2014-04-15,18209099249
2014-04-16,18359873932
2014-04-17,18323199009
2014-04-21,18476011188
2014-04-22,18989460110
2014-04-23,18630860863
2014-04-24,18569735992
2014-04-25,18313011531
2014-04-28,17964599763
2014-04-29,18398586351
2014-04-30,18581960966
2014-05-01,18826460452
2014-05-02,18991497606
2014-05-05,19303234451
2014-05-06,18979272631
2014-05-07,18616598393
2014-05-08,18706248205
2014-05-09,18708285701
2014-05-12,19244147075
2014-05-13,19093372392
2014-05-14,19026135033
2014-05-15,18596223436
2014-05-16,18918147760
2014-05-19,18958897674
2014-05-20,18716435683
2014-05-21,19011872563
2014-05-22,19083184913
2014-05-23,19641458740
2014-05-27,19506984023
2014-05-28,19765745979
2014-05-29,18802010504
2014-05-30,19229884605
2014-06-02,19244147075
2014-06-03,19162647246
2014-06-04,19119859836
2014-06-05,19022060041
2014-06-06,19219697126
2014-06-09,19138197297
2014-06-10,19229884605
2014-06-11,19431596681
2014-06-12,19286934485
2014-06-13,19132084810
2014-06-16,18396548855
2014-06-17,18553436026
2014-06-18,18504536129
2014-06-19,18207061753
2014-06-20,18052212079
2014-06-23,18035912113
2014-06-24,18003312181
2014-06-25,18363948924
2014-06-26,18361911428
2014-06-27,18337461480
2014-06-30,18125817994
2014-07-01,18385488483
2014-07-02,18344595493
2014-07-03,18457051217
2014-07-07,18639025024
2014-07-08,18381399184
2014-07-09,18684007313
2014-07-10,18232139769
2014-07-11,18156487737
2014-07-14,17516512437
2014-07-15,16242695786
2014-07-16,16582107607
2014-07-17,16573929009
2014-07-18,16573929009
2014-07-21,16813153002
2014-07-22,16811108353
2014-07-23,16706831227
2014-07-24,16774304662
2014-07-25,16588241555
2014-07-28,17222082906
2014-07-29,17107582533
2014-07-30,16821331601
2014-07-31,16659804288
2014-08-01,16731367022
2014-08-04,15745845953
2014-08-05,16173177703
2014-08-06,16297901323
2014-08-07,16101614970
2014-08-08,16205892095
2014-08-11,16355151510
2014-08-12,16095481021
2014-08-13,16095481021
2014-08-14,16025962937
2014-08-15,15960534153
2014-08-18,16226338590
2014-08-19,16346972912
2014-08-20,16941965922
2014-08-21,16710920526
2014-08-22,16896983633
2014-08-25,16766126064
2014-08-26,16958323118
2014-08-27,16835644147
2014-08-28,16561661112
2014-08-29,16381731954
2014-09-02,16467607234
2014-09-03,16097525670
2014-09-04,16351062211
2014-09-05,15619077683
2014-09-08,15657926024
2014-09-09,15496398712
2014-09-10,15461639670
2014-09-11,15469818268
2014-09-12,15706997612
2014-09-15,15664059972
2014-09-16,15617033033
2014-09-17,15561827496
2014-09-18,15788783593
2014-09-19,15733578056
2014-09-22,15353273245
2014-09-23,15222415676
2014-09-24,15253085419
2014-09-25,14956611238
2014-09-26,14617199418
2014-09-29,14423920062
2014-09-30,14468507141
2014-10-01,14523227648
2014-10-02,15013685517
2014-10-03,15285261362
2014-10-06,15331875126
2014-10-07,15299448160
2014-10-08,15621691140
2014-10-09,15181900406
2014-10-10,14928564730
2014-10-13,14642802087
2014-10-14,14622535233
2014-10-15,14474587198
2014-10-16,14606321749
2014-10-17,14492827366
2014-10-20,14821150403
2014-10-21,15167713608
2014-10-22,15212300687
2014-10-23,15358222036
2014-10-24,15350115295
2014-10-27,15542650409
2014-10-28,15842599849
2014-10-29,15621691140
2014-10-30,14389466411
2014-10-31,15927720637
2014-11-03,15806119512
2014-11-04,14474587198
2014-11-05,14673202368
