,CCU
2001-08-15,1387493047
2001-08-16,1384299737
2001-08-17,1385896392
2001-08-20,1385896392
2001-08-21,1390686356
2001-08-22,1392283011
2001-08-23,1405056250
2001-08-24,1401862940
2001-08-27,1406652905
2001-08-28,1411442869
2001-08-29,1413039524
2001-08-30,1419426143
2001-08-31,1414636179
2001-09-04,1411442869
2001-09-05,1411442869
2001-09-06,1411442869
2001-09-07,1408249560
2001-09-10,1389089702
2001-09-17,1306063650
2001-09-18,1296483721
2001-09-19,1277323864
2001-09-20,1229424219
2001-09-21,1232617528
2001-09-24,1232617528
2001-09-25,1210264361
2001-09-26,1194297812
2001-09-27,1159171406
2001-09-28,1092111903
2001-10-01,1088918594
2001-10-02,1069758736
2001-10-03,1092111903
2001-10-04,1085725284
2001-10-05,1079338665
2001-10-08,1041018949
2001-10-09,1041018949
2001-10-10,1037825639
2001-10-11,1044212258
2001-10-12,1044212258
2001-10-15,1047405568
2001-10-16,1058582152
2001-10-17,1092111903
2001-10-18,1072952045
2001-10-19,1072952045
2001-10-22,1052195532
2001-10-23,1060178807
2001-10-24,1056985497
2001-10-25,1056985497
2001-10-26,1053792187
2001-10-29,1049002223
2001-10-30,1041018949
2001-10-31,1010682507
2001-11-01,1017069126
2001-11-02,1021859091
2001-11-05,1021859091
2001-11-06,1034632329
2001-11-07,1047405568
2001-11-08,1063372116
2001-11-09,1050598878
2001-11-12,1045808913
2001-11-13,1071355390
2001-11-14,1085725284
2001-11-15,1101691832
2001-11-16,1130431619
2001-11-19,1165558025
2001-11-20,1152784787
2001-11-21,1159171406
2001-11-23,1187911193
2001-11-26,1181524574
2001-11-27,1143204858
2001-11-28,1124045000
2001-11-29,1124045000
2001-11-30,1111271761
2001-12-03,1111271761
2001-12-04,1141608203
2001-12-05,1162364716
2001-12-06,1178331264
2001-12-07,1194297812
2001-12-10,1181524574
2001-12-11,1162364716
2001-12-12,1152784787
2001-12-13,1147994822
2001-12-14,1149591477
2001-12-17,1143204858
2001-12-18,1143204858
2001-12-19,1140011548
2001-12-20,1122448345
2001-12-21,1128834964
2001-12-24,1125641655
2001-12-26,1128834964
2001-12-27,1122448345
2001-12-28,1136818238
2001-12-31,1136818238
2002-01-02,1114465071
2002-01-03,1125641655
2002-01-04,1124045000
2002-01-07,1120851690
2002-01-08,1120851690
2002-01-09,1098498523
2002-01-10,1085725284
2002-01-11,1069758736
2002-01-14,1064968771
2002-01-15,1060178807
2002-01-16,1034632329
2002-01-17,1037825639
2002-01-18,1013875817
2002-01-22,1021859091
2002-01-23,1015472471
2002-01-24,1028245710
2002-01-25,1031439020
2002-01-28,1018665781
2002-01-29,1015472471
2002-01-30,1020262436
2002-01-31,1018665781
2002-02-01,1033035675
2002-02-04,1028245710
2002-02-05,1018665781
