,BUD
2011-08-26,85900660000
2011-08-29,87223680000
2011-08-30,87319320000
2011-08-31,88084440000
2011-09-01,87287440000
2011-09-02,86665780000
2011-09-06,84306660000
2011-09-07,85071780000
2011-09-08,84035680000
2011-09-09,81357760000
2011-09-12,80050680000
2011-09-13,79970980000
2011-09-14,80512940000
2011-09-15,82091000000
2011-09-16,83764700000
2011-09-19,82330100000
2011-09-20,83796580000
2011-09-21,82011300000
2011-09-22,79700000000
2011-09-23,81564980000
2011-09-26,83860340000
2011-09-27,86107880000
2011-09-28,85247120000
2011-09-29,85916600000
2011-09-30,84450120000
2011-10-03,83990880000
2011-10-04,85477020000
2011-10-05,84646060000
2011-10-06,85141440000
2011-10-07,82712480000
2011-10-10,85860540000
2011-10-11,85684760000
2011-10-12,86403860000
2011-10-13,87075020000
2011-10-14,88481260000
2011-10-17,86451800000
2011-10-18,87953920000
2011-10-19,86803360000
2011-10-20,87154920000
2011-10-21,89136440000
2011-10-24,89488000000
2011-10-25,87682260000
2011-10-26,88321460000
2011-10-27,90926200000
2011-10-28,90686500000
2011-10-31,88641060000
2011-11-01,87362660000
2011-11-02,86419840000
2011-11-03,88673020000
2011-11-04,87122960000
2011-11-07,88225580000
2011-11-08,91086000000
2011-11-09,89823580000
2011-11-10,91821080000
2011-11-11,94745420000
2011-11-14,92108720000
2011-11-15,91853040000
2011-11-16,91533440000
2011-11-17,91293740000
2011-11-18,92252540000
2011-11-21,91597360000
2011-11-22,92987620000
2011-11-23,90878260000
2011-11-25,90031320000
2011-11-28,93035560000
2011-11-29,93387120000
2011-11-30,95880000000
2011-12-01,95576380000
2011-12-02,95736180000
2011-12-05,96199600000
2011-12-06,95400600000
2011-12-07,96151660000
2011-12-08,94857280000
2011-12-09,94793360000
2011-12-12,93530940000
2011-12-13,92364400000
2011-12-14,91709220000
2011-12-15,92795860000
2011-12-16,92620080000
2011-12-19,93498980000
2011-12-20,94569640000
2011-12-21,94313960000
2011-12-22,95432560000
2011-12-23,95927940000
2011-12-27,97014580000
2011-12-28,96103720000
2011-12-29,97813580000
2011-12-30,97462020000
2012-01-03,98069260000
2012-01-04,95911960000
2012-01-05,95800100000
2012-01-06,94154160000
2012-01-09,97286240000
2012-01-10,97685740000
2012-01-11,96694980000
2012-01-12,97462020000
2012-01-13,95272760000
2012-01-17,97062520000
2012-01-18,99012080000
2012-01-19,99795100000
2012-01-20,99251780000
2012-01-23,97701720000
2012-01-24,98181120000
2012-01-25,99347660000
2012-01-26,98900220000
2012-01-27,98356900000
2012-01-30,97653780000
2012-01-31,97158400000
2012-02-01,100258520000
2012-02-02,100689980000
2012-02-03,103166880000
2012-02-06,102351900000
2012-02-07,103582359999
2012-02-08,102991100000
2012-02-09,104269500000
2012-02-10,102703460000
2012-02-13,103838040000
2012-02-14,103406579999
2012-02-15,102639540000
2012-02-16,104461260000
2012-02-17,104461260000
2012-02-21,104653019999
2012-02-22,105068500000
2012-02-23,105468000000
2012-02-24,105867500000
2012-02-27,105452019999
2012-02-28,106826299999
2012-02-29,107465500000
2012-03-01,109335160000
2012-03-02,106874240000
2012-03-05,107465500000
2012-03-06,105276240000
2012-03-07,106858260000
2012-03-08,111156880000
2012-03-09,111156880000
2012-03-12,113282220000
2012-03-13,114560620000
2012-03-14,114145140000
2012-03-15,114097200000
2012-03-16,115599320000
2012-03-19,115679220000
2012-03-20,115663240000
2012-03-21,115791079999
2012-03-22,116046760000
2012-03-23,115295700000
2012-03-26,117421040000
2012-03-27,116478220000
2012-03-28,115599320000
2012-03-29,115056000000
2012-03-30,116206560000
2012-04-02,117398580000
2012-04-03,117558480000
2012-04-04,114120630000
2012-04-05,113289149999
2012-04-09,113001330000
2012-04-10,112041929999
2012-04-11,113672910000
2012-04-12,115591710000
2012-04-13,113305140000
2012-04-16,115255920000
2012-04-17,115831560000
2012-04-18,118102140000
2012-04-19,117046800000
2012-04-20,116375220000
2012-04-23,115032060000
2012-04-24,114248550000
2012-04-25,114808200000
2012-04-26,116167350000
2012-04-27,116151360000
2012-04-30,116119380000
2012-05-01,117062789999
2012-05-02,116599080000
2012-05-03,118853670000
2012-05-04,117622440000
2012-05-07,119797080000
2012-05-08,116407200000
2012-05-09,114664289999
2012-05-10,114424440000
2012-05-11,115048050000
2012-05-14,114312509999
2012-05-15,113257170000
2012-05-16,112089899999
2012-05-17,110954610000
2012-05-18,109259670000
2012-05-21,109883280000
2012-05-22,109755360000
2012-05-23,108076410000
2012-05-24,109723380000
2012-05-25,109179720000
2012-05-29,110251050000
2012-05-30,107964480000
2012-05-31,108252300000
2012-06-01,104846429999
2012-06-04,105454050000
2012-06-05,105565980000
2012-06-06,108923880000
2012-06-07,108092399999
2012-06-08,108939870000
2012-06-11,107452800000
2012-06-12,110346990000
2012-06-13,111834060000
2012-06-14,114056670000
2012-06-15,113481030000
2012-06-18,113161230000
2012-06-19,113992710000
2012-06-20,112233810000
2012-06-21,111050550000
2012-06-22,112393710000
2012-06-25,113289149999
2012-06-26,116199330000
2012-06-27,117286649999
2012-06-28,117990210000
2012-06-29,127360350000
2012-07-02,126800700000
2012-07-03,127136490000
2012-07-05,125105759999
2012-07-06,124402200000
2012-07-09,124354230000
2012-07-10,125249670000
2012-07-11,123394830000
2012-07-12,122691270000
2012-07-13,123874530000
2012-07-16,123538740000
2012-07-17,123570720000
2012-07-18,125537490000
2012-07-19,127024560000
2012-07-20,124514130000
2012-07-23,123075030000
2012-07-24,122803200000
2012-07-25,122547360000
2012-07-26,127935990000
2012-07-27,129646920000
2012-07-30,129630929999
2012-07-31,126672780000
2012-08-01,127728120000
2012-08-02,126305009999
2012-08-03,130718250000
2012-08-06,131070030000
2012-08-07,132317250000
2012-08-08,131469780000
2012-08-09,130958100000
2012-08-10,129662910000
2012-08-13,129359100000
2012-08-14,128815440000
2012-08-15,129726870000
2012-08-16,129646920000
2012-08-17,129487020000
2012-08-20,130254539999
2012-08-21,130574340000
2012-08-22,130430429999
2012-08-23,129423060000
2012-08-24,131501759999
2012-08-27,132109380000
2012-08-28,134331990000
2012-08-29,134012190000
2012-08-30,133276649999
2012-08-31,134603820000
2012-09-04,136666530000
2012-09-05,137977710000
2012-09-06,139976460000
2012-09-07,139033050000
2012-09-10,134747730000
2012-09-11,135962970000
2012-09-12,134284020000
2012-09-13,136378710000
2012-09-14,136506630000
2012-09-17,136186830000
2012-09-18,137689890000
2012-09-19,138393450000
2012-09-20,139113000000
2012-09-21,139128990000
2012-09-24,138825180000
2012-09-25,138249540000
2012-09-26,139976460000
2012-09-27,138569340000
2012-09-28,137370090000
2012-10-01,136880000000
2012-10-02,141488000000
2012-10-03,141408000000
2012-10-04,141872000000
2012-10-05,144432000000
2012-10-08,143440000000
2012-10-09,139696000000
2012-10-10,138784000000
2012-10-11,139072000000
2012-10-12,138912000000
2012-10-15,139056000000
2012-10-16,142192000000
2012-10-17,141680000000
2012-10-18,138192000000
2012-10-19,136911999999
2012-10-22,137888000000
2012-10-23,137744000000
2012-10-24,136735999999
2012-10-25,136848000000
2012-10-26,136335999999
2012-10-31,134080000000
2012-11-01,132448000000
2012-11-02,133504000000
2012-11-05,131632000000
2012-11-06,133711999999
2012-11-07,131472000000
2012-11-08,131104000000
2012-11-09,132352000000
2012-11-12,132976000000
2012-11-13,133824000000
2012-11-14,131552000000
2012-11-15,132464000000
2012-11-16,132416000000
2012-11-19,135472000000
2012-11-20,137424000000
2012-11-21,136159999999
2012-11-23,139168000000
2012-11-26,138736000000
2012-11-27,137792000000
2012-11-28,136896000000
2012-11-29,138288000000
2012-11-30,140752000000
2012-12-03,141264000000
2012-12-04,141248000000
2012-12-05,140160000000
2012-12-06,139952000000
2012-12-07,140400000000
2012-12-10,141136000000
2012-12-11,142512000000
2012-12-12,140352000000
2012-12-13,139744000000
2012-12-14,141312000000
2012-12-17,139504000000
2012-12-18,141296000000
2012-12-19,142128000000
2012-12-20,141680000000
2012-12-21,140000000000
2012-12-24,140064000000
2012-12-26,139904000000
2012-12-27,140736000000
2012-12-28,138896000000
2012-12-31,139856000000
2013-01-02,142642153101
2013-01-03,139133771303
2013-01-04,141632892584
2013-01-07,140335271919
2013-01-08,138236650844
2013-01-09,135032649202
2013-01-10,138749291106
2013-01-11,140335271919
2013-01-14,139854671673
2013-01-15,142081452814
2013-01-16,142562053060
2013-01-17,142433892995
2013-01-18,143731513660
2013-01-22,145525754579
2013-01-23,144372313988
2013-01-24,144596594103
2013-01-25,146919495293
2013-01-28,147079695376
2013-01-29,149370556550
2013-01-30,150812357288
2013-01-31,141937272740
2013-02-01,147832635761
2013-02-04,140447411977
2013-02-05,141104232313
2013-02-06,139966811730
