,INTU
2000-12-07,10055853360
2000-12-08,10197017280
2000-12-11,10911140640
2000-12-12,10574838360
2000-12-13,10562382720
2000-12-14,10197017280
2000-12-15,10018486440
2000-12-18,9549324000
2000-12-19,8847656280
2000-12-20,7967457720
2000-12-21,8266393080
2000-12-22,7319764440
2000-12-26,7253334360
2000-12-27,7876116360
2000-12-28,8511354000
2000-12-29,8187507360
2001-01-02,7527358440
2001-01-03,8108621640
2001-01-04,8395101360
2001-01-05,7527358440
2001-01-08,6838146360
2001-01-09,7070651640
2001-01-10,7319764440
2001-01-11,7265790000
2001-01-12,7070651640
2001-01-16,7070651640
2001-01-17,7265790000
2001-01-18,7564725360
2001-01-19,7473384000
2001-01-22,7290701279
2001-01-23,7369587000
2001-01-24,7784775000
2001-01-25,7992369000
2001-01-26,7498295279
2001-01-29,7473384000
2001-01-30,7851205080
2001-01-31,8244242500
2001-02-01,8323554200
2001-02-02,8323554200
2001-02-05,8361122900
2001-02-06,9116671200
2001-02-07,8035527500
2001-02-08,7709932100
2001-02-09,7108832900
2001-02-12,7551308700
2001-02-13,7200667500
2001-02-14,7446951200
2001-02-15,7630620400
2001-02-16,7267456300
2001-02-20,6820806200
2001-02-21,7931170000
2001-02-22,7997958800
2001-02-23,8323554200
2001-02-26,9417220800
2001-02-27,9066579600
2001-02-28,8582360799
2001-03-01,9237725900
2001-03-02,8636626700
2001-03-05,8791075800
2001-03-06,8937176300
2001-03-07,9692724600
2001-03-08,9275294600
2001-03-09,8778552900
2001-03-12,8386168700
2001-03-13,9145891300
2001-03-14,8820295900
2001-03-15,6223881300
2001-03-16,6340761700
2001-03-19,6507733700
2001-03-20,6065257900
2001-03-21,6040212100
2001-03-22,6365807500
2001-03-23,6353284600
2001-03-26,6324064500
2001-03-27,6716448700
2001-03-28,5985946200
2001-03-29,5844020000
2001-03-30,5793928400
2001-04-02,5192829200
2001-04-03,4892279600
2001-04-04,5192829200
2001-04-05,6177964000
2001-04-06,6157092500
2001-04-09,6207184100
2001-04-10,6511908000
2001-04-11,6069432200
2001-04-12,6090303700
2001-04-16,5685396600
2001-04-17,5956726100
2001-04-18,6365807500
2001-04-19,6620439800
2001-04-20,6470165000
2001-04-23,6148743900
2001-04-24,6132046700
2001-04-25,6445119200
2001-04-26,6132046700
2001-04-27,6357458900
2001-04-30,6596875800
2001-05-01,6613347399
2001-05-02,6790417099
2001-05-03,6362155500
2001-05-04,7152792300
2001-05-07,6794535000
2001-05-08,7185735500
2001-05-09,7008665800
2001-05-10,7008665800
2001-05-11,6901600400
2001-05-14,6860421400
2001-05-15,6782181300
2001-05-16,7128084899
2001-05-17,7251621900
2001-05-18,6633936900
2001-05-21,6510399900
2001-05-22,6411570300
2001-05-23,6868657200
2001-05-24,7276329300
2001-05-25,7362805200
2001-05-29,6670998000
2001-05-30,6250972200
2001-05-31,6600993700
2001-06-01,6670998000
2001-06-04,6563932600
2001-06-05,6922189899
2001-06-06,7099259599
2001-06-07,7333979899
2001-06-08,7329862000
2001-06-11,7399866300
2001-06-12,7568700200
2001-06-13,7560464400
2001-06-14,7193971300
2001-06-15,7366923100
2001-06-18,7276329300
2001-06-19,7333979899
2001-06-20,7795184700
2001-06-21,8128734599
2001-06-22,7346333600
2001-06-25,7383394700
2001-06-26,7441045300
2001-06-27,7552228600
2001-06-28,7894014300
2001-06-29,8235800000
2001-07-02,7996961800
2001-07-03,7671647700
2001-07-05,7609879200
2001-07-06,7185735500
2001-07-09,7412220000
2001-07-10,7243386100
2001-07-11,7412220000
2001-07-12,7824010000
2001-07-13,7688119300
2001-07-16,7177499700
2001-07-17,7152792300
2001-07-18,6843949800
2001-07-19,6815124500
2001-07-20,6831596100
2001-07-23,6613347399
2001-07-24,6625701100
2001-07-25,6811006600
2001-07-26,7000430000
2001-07-27,6852185600
2001-07-30,7025137399
2001-07-31,7255520820
2001-08-01,7234416920
2001-08-02,6905196080
2001-08-03,6854546719
2001-08-06,6635066160
2001-08-07,6689936300
2001-08-08,6601299920
2001-08-09,6668832400
2001-08-10,6457793400
2001-08-13,6470455740
2001-08-14,6267858300
2001-08-15,6137014120
2001-08-16,6483118080
2001-08-17,6352273900
2001-08-20,6584416800
2001-08-21,6217208940
2001-08-22,7605845560
2001-08-23,7538313080
2001-08-24,8238962560
2001-08-27,8036365120
2001-08-28,7863313140
2001-08-29,7702923500
2001-08-30,7711365060
2001-08-31,7973053420
2001-09-04,7762014420
2001-09-05,7648053360
2001-09-06,7500326060
2001-09-07,7415910460
2001-09-10,7669157260
2001-09-17,7209092239
2001-09-18,6879871400
2001-09-19,6875650620
2001-09-20,6770131120
2001-09-21,6744806440
2001-09-24,6837663600
2001-09-25,6550650560
2001-09-26,6753248000
2001-09-27,7555196199
2001-09-28,7555196199
2001-10-01,7681819600
2001-10-02,7483442940
2001-10-03,7369481880
2001-10-04,7386365000
2001-10-05,7542533860
2001-10-08,7698702719
2001-10-09,7673378040
2001-10-10,7643832580
2001-10-11,7394806560
2001-10-12,7399027340
2001-10-15,7432793580
2001-10-16,7897079380
2001-10-17,7736689739
2001-10-18,7863313140
2001-10-19,8112339159
2001-10-22,8378248300
2001-10-23,8724352260
2001-10-24,8825650980
2001-10-25,9070456220
2001-10-26,8652599000
2001-10-29,8361365179
2001-10-30,8331819719
2001-10-31,8547554400
2001-11-01,8981095200
2001-11-02,9061852800
2001-11-05,8976844800
2001-11-06,9299875200
2001-11-07,9427387200
2001-11-08,9121358400
2001-11-09,8993846400
2001-11-12,8968344000
2001-11-13,8955592800
2001-11-14,8866334400
2001-11-15,8887586400
2001-11-16,8496549599
2001-11-19,8653814400
2001-11-20,8454045600
2001-11-21,8649564000
2001-11-23,8692068000
2001-11-26,8602809600
2001-11-27,8479548000
2001-11-28,8539053600
2001-11-29,9015098400
2001-11-30,9329628000
2001-12-03,9206366400
2001-12-04,9295624800
2001-12-05,9537897600
2001-12-06,9363631200
2001-12-07,9117108000
2001-12-10,9049101600
2001-12-11,9257371200
2001-12-12,9248870400
2001-12-13,9061852800
2001-12-14,8704819200
2001-12-17,8972594400
2001-12-18,9265872000
2001-12-19,9491143200
2001-12-20,9044851200
2001-12-21,9134109600
2001-12-24,8976844800
2001-12-26,9134109600
2001-12-27,9015098400
2001-12-28,9155361600
2001-12-31,9091605600
2002-01-02,8828080800
2002-01-03,8713320000
2002-01-04,8598559200
2002-01-07,8492299200
2002-01-08,8819580000
2002-01-09,8505050400
2002-01-10,7931246400
2002-01-11,8322283199
2002-01-14,8292530400
2002-01-15,8309532000
2002-01-16,8245775999
2002-01-17,8420042399
2002-01-18,8262777600
2002-01-22,8084260800
2002-01-23,8500800000
2002-01-24,8454045600
2002-01-25,8386039200
2002-01-28,8369037600
2002-01-29,8347785600
2002-01-30,8373288000
2002-01-31,8307965640
2002-02-01,8049796560
2002-02-04,7706981880
2002-02-05,7838182560
2002-02-06,7588478040
2002-02-07,7326076679
2002-02-08,7855111679
2002-02-11,7770466080
2002-02-12,7876273080
2002-02-13,7821253440
2002-02-14,7965150960
2002-02-15,7723911000
2002-02-19,7846647120
2002-02-20,8066725679
2002-02-21,8168300400
2002-02-22,8358753000
2002-02-25,8303733360
2002-02-26,8206390920
2002-02-27,7914363600
2002-02-28,8020170600
2002-03-01,8350288440
2002-03-04,8714264520
2002-03-05,8726961360
2002-03-06,8650780320
2002-03-07,7990544640
2002-03-08,7808556600
2002-03-11,8125977600
2002-03-12,8037099719
2002-03-13,8193694080
2002-03-14,8070957960
2002-03-15,8070957960
2002-03-18,8202158640
2002-03-19,8324894760
2002-03-20,7888969920
2002-03-21,7893202199
2002-03-22,7965150960
2002-03-25,7838182560
2002-03-26,7918595880
2002-03-27,8070957960
2002-03-28,8117513040
2002-04-01,8151371280
2002-04-02,7702749600
2002-04-03,7922828159
2002-04-04,8037099719
2002-04-05,7893202199
2002-04-08,8481489120
2002-04-09,8295268800
2002-04-10,8358753000
2002-04-11,8252946000
2002-04-12,8515347360
2002-04-15,8379914400
2002-04-16,8464560000
2002-04-17,8405308080
2002-04-18,8443398600
2002-04-19,8443398600
2002-04-22,8418004920
2002-04-23,8269875120
2002-04-24,7969383239
2002-04-25,8236016880
2002-04-26,8070957960
2002-04-29,7914363600
2002-04-30,8148068700
2002-05-01,8110635000
2002-05-02,7935944399
2002-05-03,7802846800
2002-05-06,7723820100
2002-05-07,7723820100
2002-05-08,8526565000
2002-05-09,8260369800
2002-05-10,8139750100
2002-05-13,8588954499
2002-05-14,9004884500
2002-05-15,9046477500
2002-05-16,8988247300
2002-05-17,9029840300
2002-05-20,8938335700
2002-05-21,8734530000
2002-05-22,8830193900
2002-05-23,8846831100
2002-05-24,8780282300
2002-05-28,8626388200
2002-05-29,8925857800
2002-05-30,9250283200
2002-05-31,9096389100
2002-06-03,8859309000
2002-06-04,8942495000
2002-06-05,9237805300
2002-06-06,9117185600
2002-06-07,9158778600
2002-06-10,9158778600
2002-06-11,9067274000
2002-06-12,9212849500
2002-06-13,9104707700
2002-06-14,9167097200
2002-06-17,9753558500
2002-06-18,10053028100
2002-06-19,9595505100
2002-06-20,9824266600
2002-06-21,9192053000
2002-06-24,8996565900
2002-06-25,9254442500
2002-06-26,9803470100
2002-06-27,9865859600
2002-06-28,10340019800
2002-07-01,9907452600
2002-07-02,9566390000
2002-07-03,9998957200
2002-07-05,10419046500
2002-07-08,9782673600
2002-07-09,9649576000
2002-07-10,9599664400
2002-07-11,9874178200
2002-07-12,9932408400
2002-07-15,9624620200
2002-07-16,9691169000
2002-07-17,9337628500
2002-07-18,8672140500
2002-07-19,8605591700
2002-07-22,8451697600
2002-07-23,8318600000
2002-07-24,9221168100
2002-07-25,8717892800
2002-07-26,9017362400
2002-07-29,9312672700
2002-07-30,9300194800
2002-07-31,9146300700
2002-08-01,8534883600
2002-08-02,8314440699
2002-08-05,8156387300
2002-08-06,8318600000
2002-08-07,8534883600
2002-08-08,8697096300
2002-08-09,8759485800
2002-08-12,8688777700
2002-08-13,8235414000
2002-08-14,8909220600
2002-08-15,8846831100
2002-08-16,9054796100
2002-08-19,9649576000
2002-08-20,9499841200
2002-08-21,9699487600
2002-08-22,9932408400
2002-08-23,9528956300
2002-08-26,9599664400
2002-08-27,9395858700
2002-08-28,9108867000
2002-08-29,9221168100
2002-08-30,9283557600
2002-09-03,9179575100
2002-09-04,9470726100
2002-09-05,9337628500
2002-09-06,9653735300
2002-09-09,9865859600
2002-09-10,10003116500
2002-09-11,9724443400
2002-09-12,9720284100
2002-09-13,9832585200
2002-09-16,9907452600
2002-09-17,9637098100
2002-09-18,9533115600
2002-09-19,9266920400
2002-09-20,9200371600
2002-09-23,9121344900
2002-09-24,9033999600
2002-09-25,9217008800
2002-09-26,9275239000
2002-09-27,9516478400
2002-09-30,9470726100
2002-10-01,9861700300
2002-10-02,9803470100
2002-10-03,9533115600
2002-10-04,9387540100
2002-10-07,9113026300
2002-10-08,9449929600
2002-10-09,9545593500
2002-10-10,9375062200
2002-10-11,9849222400
2002-10-14,10023913000
2002-10-15,10302586100
2002-10-16,10369134900
2002-10-17,10814180000
2002-10-18,10697719600
2002-10-21,10585418500
2002-10-22,10755949800
2002-10-23,11072056600
2002-10-24,10323382600
2002-10-25,10381612800
2002-10-28,10252674500
2002-10-29,10273471000
2002-10-30,10597896400
2002-10-31,10679009440
2002-11-01,11106828000
2002-11-04,10695464000
2002-11-05,11065691600
2002-11-06,11267259960
2002-11-07,10966964240
2002-11-08,10884691440
2002-11-11,10654327600
2002-11-12,11156191680
2002-11-13,10872350520
2002-11-14,10127781680
2002-11-15,10263531800
2002-11-18,10164804440
2002-11-19,10308781840
2002-11-20,10485668360
2002-11-21,10872350520
2002-11-22,10901146000
2002-11-25,11049237040
2002-11-26,10901146000
2002-11-27,11143850760
2002-11-29,11094487080
2002-12-02,11156191680
2002-12-03,10987532440
2002-12-04,10950509680
2002-12-05,10596736640
2002-12-06,10674895800
2002-12-09,10131895320
2002-12-10,10234736320
2002-12-11,10255304520
2002-12-12,9922099680
2002-12-13,9584781200
2002-12-16,9712304040
2002-12-17,10029054320
2002-12-18,9778122280
2002-12-19,9823372320
2002-12-20,9913872400
2002-12-23,10020827040
2002-12-24,9996145200
2002-12-26,9983804280
2002-12-27,9691735840
2002-12-30,9576553920
2002-12-31,9650599440
2003-01-02,9728758600
2003-01-03,9683508560
2003-01-06,9922099680
2003-01-07,10127781680
2003-01-08,9593008480
2003-01-09,10300554560
2003-01-10,10366372800
2003-01-13,10415736480
2003-01-14,10588509360
2003-01-15,10345804600
2003-01-16,10329350040
2003-01-17,9930326960
2003-01-21,9955008800
2003-01-22,9782235920
2003-01-23,10127781680
2003-01-24,9605349400
2003-01-27,9580667560
2003-01-28,9321508240
2003-01-29,9551872080
2003-01-30,9136394440
2003-01-31,9071766900
2003-02-03,8656234720
2003-02-04,8285958520
2003-02-05,8693262340
2003-02-06,8602750380
2003-02-07,8754975040
2003-02-10,8689148160
2003-02-11,8693262340
2003-02-12,8639778000
2003-02-13,8573951120
2003-02-14,9137593780
2003-02-18,9376216220
2003-02-19,9293932620
2003-02-20,9141707960
2003-02-21,9302160980
2003-02-24,9396787120
2003-02-25,9388558760
2003-02-26,9030625100
2003-02-27,9462614000
2003-02-28,9775291680
2003-03-03,9586039400
2003-03-04,9614838660
2003-03-05,9730035700
2003-03-06,9791748400
2003-03-07,9820547660
2003-03-10,9610724480
2003-03-11,9660094640
2003-03-12,9734149880
2003-03-13,10203166400
2003-03-14,10264879100
2003-03-17,10581670960
2003-03-18,10491159000
2003-03-19,10375961960
2003-03-20,10470588100
2003-03-21,7965052480
2003-03-24,8010308460
2003-03-25,8002080100
2003-03-26,8146076400
2003-03-27,8026765180
2003-03-28,7890997240
2003-03-31,7652374800
2003-04-01,7615347180
2003-04-02,8063792800
2003-04-03,7775800199
2003-04-04,7890997240
2003-04-07,7911568140
2003-04-08,7928024860
2003-04-09,7816942000
2003-04-10,7882768880
2003-04-11,8067906980
2003-04-14,8244816720
2003-04-15,8257159260
2003-04-16,7965052480
2003-04-17,8228360000
2003-04-21,8216017460
2003-04-22,8125505500
2003-04-23,7973280840
2003-04-24,8002080100
2003-04-25,7660603160
2003-04-28,7154559020
2003-04-29,7969166660
2003-04-30,7662742649
2003-05-01,7595629499
2003-05-02,7875925598
2003-05-05,8053578055
2003-05-06,8073317217
2003-05-07,8002256234
2003-05-08,7903560424
2003-05-09,7879873430
2003-05-12,7674586146
2003-05-13,7725907967
2003-05-14,7694325308
2003-05-15,8254917506
2003-05-16,8373352477
2003-05-19,8002256234
2003-05-20,8412830801
2003-05-21,8345717651
2003-05-22,8535213605
2003-05-23,8602326756
2003-05-27,8910257681
2003-05-28,8910257681
2003-05-29,8977370832
2003-05-30,9064223144
2003-06-02,8835248866
2003-06-03,9095805803
2003-06-04,9348467075
2003-06-05,9080014474
2003-06-06,9080014474
2003-06-09,9135284127
2003-06-10,9285301757
2003-06-11,9423475891
2003-06-12,9399788896
2003-06-13,9060275312
2003-06-16,9498484706
2003-06-17,9549806527
2003-06-18,9344519243
2003-06-19,9115544965
2003-06-20,9107649300
2003-06-23,9064223144
2003-06-24,8918153346
2003-06-25,8926049011
2003-06-26,8626013750
2003-06-27,8764187883
2003-06-30,8803666207
2003-07-01,8882622855
2003-07-02,8910257681
2003-07-03,8641805079
2003-07-07,8854988028
2003-07-08,8681283403
2003-07-09,8760240051
2003-07-10,8519422276
2003-07-11,8547057102
2003-07-14,8685231236
2003-07-15,8531265773
2003-07-16,8404935137
2003-07-17,8108847708
2003-07-18,8018047563
2003-07-21,7978569239
2003-07-22,8057525887
2003-07-23,8152273864
2003-07-24,8239126177
2003-07-25,8365456813
2003-07-28,8369404645
2003-07-29,8436517796
2003-07-30,8345717651
2003-07-31,8573945580
2003-08-01,8518296420
2003-08-04,8558045820
2003-08-05,8486496900
2003-08-06,8410973040
2003-08-07,8498421720
2003-08-08,8406998099
2003-08-11,8542146059
2003-08-12,8629594740
2003-08-13,8756792820
2003-08-14,8911815480
2003-08-15,8860141260
2003-08-18,9050938380
2003-08-19,8991314280
2003-08-20,9186086340
2003-08-21,9114537420
2003-08-22,9142362000
2003-08-25,9042988500
2003-08-26,9130437180
2003-08-27,9130437180
2003-08-28,9142362000
2003-08-29,9042988500
2003-09-02,9285459840
2003-09-03,9508056480
2003-09-04,9627304680
2003-09-05,9412657920
2003-09-08,9384833340
2003-09-09,9277509960
2003-09-10,9042988500
2003-09-11,9277509960
2003-09-12,9317259360
2003-09-15,9205961040
2003-09-16,9579605400
2003-09-17,9615379860
2003-09-18,9889650720
2003-09-19,9734628060
2003-09-22,9897600600
2003-09-23,10024798680
2003-09-24,9913500360
2003-09-25,9746552880
2003-09-26,9742577940
2003-09-29,9706803480
2003-09-30,9587555280
2003-10-01,9782327340
2003-10-02,9464332140
2003-10-03,9694878660
2003-10-06,9623329740
2003-10-07,9702828540
2003-10-08,9623329740
2003-10-09,9659104200
2003-10-10,9587555280
2003-10-13,9667054080
2003-10-14,9834001560
2003-10-15,9730653120
2003-10-16,9834001560
2003-10-17,9901575540
2003-10-20,9845926380
2003-10-21,9989024220
2003-10-22,9595505160
2003-10-23,9551780820
2003-10-24,9551780820
2003-10-27,9480231900
2003-10-28,9619354800
2003-10-29,9539856000
2003-10-30,9655129260
2003-10-31,9903016500
2003-11-03,10021615500
2003-11-04,9819997200
2003-11-05,9740931200
2003-11-06,9725118000
2003-11-07,9736977900
2003-11-10,9729071300
2003-11-11,9768604300
2003-11-12,9982082500
2003-11-13,9954409400
2003-11-14,9507686500
2003-11-17,9464200200
2003-11-18,9128169700
2003-11-19,9163749400
2003-11-20,9302114900
2003-11-21,9578845900
2003-11-24,9808137300
2003-11-25,9764651000
2003-11-26,10017662200
2003-11-28,9938596200
2003-12-01,9962316000
2003-12-02,9835810400
2003-12-03,9910923100
2003-12-04,9843717000
2003-12-05,9910923100
2003-12-08,10239047000
2003-12-09,10171840900
2003-12-10,10254860200
2003-12-11,10235093700
2003-12-12,10310206400
2003-12-15,10175794200
2003-12-16,10270673400
2003-12-17,10243000300
2003-12-18,10258813500
2003-12-19,10136261200
2003-12-22,10250906900
2003-12-23,10310206400
2003-12-24,10302299800
2003-12-26,10432758700
2003-12-29,10476245000
2003-12-30,10503918100
2003-12-31,10448571900
2004-01-02,10333926200
2004-01-05,10318113000
2004-01-06,9966269300
2004-01-07,9725118000
2004-01-08,9487920000
2004-01-09,9646052000
2004-01-12,9689538300
2004-01-13,9602565700
2004-01-14,9812090600
2004-01-15,9808137300
2004-01-16,9867436800
2004-01-20,9863483500
2004-01-21,9792324100
2004-01-22,9800230700
2004-01-23,9539312900
2004-01-26,9701398200
2004-01-27,9539312900
2004-01-28,9385134200
2004-01-29,9910923100
2004-01-30,9958362700
2004-02-02,9558565380
2004-02-03,9539113680
2004-02-04,9402951780
2004-02-05,9500210280
2004-02-06,9531333000
2004-02-09,9434074500
2004-02-10,9601359120
2004-02-11,9644152860
2004-02-12,9469087560
2004-02-13,9418513140
2004-02-17,9578017080
2004-02-18,9570236400
2004-02-19,8799949080
2004-02-20,8831071800
2004-02-23,8683238880
2004-02-24,8726032620
2004-02-25,8593761060
2004-02-26,8656006500
2004-02-27,8640445140
2004-03-01,8780497380
2004-03-02,8722142280
2004-03-03,8679348540
2004-03-04,8811620100
2004-03-05,8613212760
2004-03-08,8430366780
2004-03-09,8453708820
2004-03-10,8387573039
2004-03-11,8072455500
2004-03-12,8305875900
2004-03-15,8111358900
2004-03-16,8099687880
2004-03-17,8231959440
2004-03-18,8111358900
2004-03-19,8259191820
2004-03-22,8196946380
2004-03-23,8266972500
2004-03-24,8231959440
2004-03-25,8531515620
2004-03-26,8605432080
2004-03-29,8714361600
2004-03-30,8718251940
2004-03-31,8683238880
2004-04-01,8940001320
2004-04-02,8998356420
2004-04-05,9041150160
2004-04-06,8799949080
2004-04-07,8764936020
2004-04-08,8519844599
2004-04-12,8566528680
2004-04-13,8515954260
2004-04-14,8554857659
2004-04-15,8391463380
2004-04-16,8189165700
2004-04-19,8169714000
2004-04-20,8177494680
2004-04-21,8305875900
2004-04-22,8636554800
2004-04-23,8620993440
2004-04-26,8434257120
2004-04-27,8617103100
2004-04-28,8473160520
2004-04-29,8356450320
2004-04-30,8004705000
2004-05-03,8091344160
2004-05-04,8019772680
2004-05-05,7933133519
2004-05-06,7869095880
2004-05-07,7628013000
2004-05-10,7748554440
2004-05-11,8087577240
2004-05-12,8125246440
2004-05-13,8113945680
2004-05-14,8004705000
2004-05-17,7982103480
2004-05-18,8057441880
2004-05-19,8057441880
2004-05-20,7209884880
2004-05-21,7149614160
2004-05-24,7089343440
2004-05-25,7191050280
2004-05-26,7394463960
2004-05-27,7398230880
2004-05-28,7394463960
2004-06-01,7394463960
2004-06-02,7439667000
2004-06-03,7518772320
2004-06-04,7594110720
2004-06-07,7797524400
2004-06-08,7722186000
2004-06-09,7635546840
2004-06-10,7707118320
2004-06-14,7541373840
2004-06-15,7597877640
2004-06-16,7620479160
2004-06-17,7496170799
2004-06-18,7541373840
2004-06-21,7575276120
2004-06-22,7560208440
2004-06-23,7552674600
2004-06-24,7432133160
2004-06-25,7322892480
2004-06-28,7300290960
2004-06-29,7194817200
2004-06-30,7266388680
2004-07-01,7138313400
2004-07-02,7123245720
2004-07-06,7062975000
2004-07-07,6987636600
2004-07-08,6844493640
2004-07-09,6991403519
2004-07-12,7010238120
2004-07-13,6942433560
2004-07-14,6874629000
2004-07-15,6949967400
2004-07-16,6754087560
2004-07-19,6889696680
2004-07-20,7070508840
2004-07-21,6938666640
2004-07-22,7017771960
2004-07-23,6859561320
2004-07-26,6987636600
2004-07-27,6976335840
2004-07-28,6976335840
2004-07-29,7010238120
2004-07-30,7051674240
2004-08-02,7172215680
2004-08-03,7100644200
2004-08-04,7142080320
2004-08-05,7157148000
2004-08-06,6972568920
2004-08-09,6995170440
2004-08-10,7194817200
2004-08-11,7138313400
2004-08-12,7206117960
2004-08-13,7206117960
2004-08-16,7277689440
2004-08-17,7353027840
2004-08-18,7364328600
2004-08-19,7624246079
2004-08-20,7741020600
2004-08-23,7774922880
