,EW
2000-08-17,1328599766
2000-08-18,1314000000
2000-08-21,1354150233
2000-08-22,1335900000
2000-08-23,1335900000
2000-08-24,1328599766
2000-08-25,1324950000
2000-08-28,1339549766
2000-08-29,1397950233
2000-08-30,1423500000
2000-08-31,1533000000
2000-09-01,1321300233
2000-09-05,1321300233
2000-09-06,1310350233
2000-09-07,1321300233
2000-09-08,1299400233
2000-09-11,1303050000
2000-09-12,1299400233
2000-09-13,1226400000
2000-09-14,1248300000
2000-09-15,1219099766
2000-09-18,1153399766
2000-09-19,1160700000
2000-09-20,1178950233
2000-09-21,1160700000
2000-09-22,1182600000
2000-09-25,1193550000
2000-09-26,1204500000
2000-09-27,1197199766
2000-09-28,1226400000
2000-09-29,1273849766
2000-10-02,1172671919
2000-10-03,1169040892
2000-10-04,1158149205
2000-10-05,1194455294
2000-10-06,1227130357
2000-10-09,1201715955
2000-10-10,1198085625
2000-10-11,1208977312
2000-10-12,1223499330
2000-10-13,1299741142
2000-10-16,1281588794
2000-10-17,1321524517
2000-10-18,1332416205
2000-10-19,1361460937
2000-10-20,1350569250
2000-10-23,1375982955
2000-10-24,1405027687
2000-10-25,1386874642
2000-10-26,1354199580
2000-10-27,1336047232
2000-10-30,1332416205
2000-10-31,780571169
2000-11-01,755156767
2000-11-02,824137919
2000-11-03,882226687
2000-11-06,871335000
2000-11-07,885857017
2000-11-08,896748705
2000-11-09,882226687
2000-11-10,853181955
2000-11-13,831398580
2000-11-14,809615205
2000-11-15,824137919
2000-11-16,827768250
2000-11-17,824137919
2000-11-20,798723517
2000-11-21,867704669
2000-11-22,907640392
2000-11-24,929423767
2000-11-27,925793437
2000-11-28,933054794
2000-11-29,936685125
2000-11-30,933054794
2000-12-01,954838169
2000-12-04,922163107
2000-12-05,947576812
2000-12-06,922163107
2000-12-07,933054794
2000-12-08,980251875
2000-12-11,962098830
2000-12-12,929423767
2000-12-13,918532080
2000-12-14,874965330
2000-12-15,918532080
2000-12-18,914901750
2000-12-19,976621544
2000-12-20,958468500
2000-12-21,962098830
2000-12-22,972990517
2000-12-26,965729857
2000-12-27,976621544
2000-12-28,1009296607
2000-12-29,1031079982
2001-01-02,1019912734
2001-01-03,1074943984
2001-01-04,1071274765
2001-01-05,990562500
2001-01-08,997900234
2001-01-09,1023581250
2001-01-10,1056600000
2001-01-11,1045593750
2001-01-12,1052931484
2001-01-16,1056600000
2001-01-17,1052931484
2001-01-18,1071274765
2001-01-19,1030918984
2001-01-22,1049262265
2001-01-23,1041925234
2001-01-24,1056600000
2001-01-25,1049262265
2001-01-26,1019912734
2001-01-29,1072449000
2001-01-30,1080079765
2001-01-31,1071274765
2001-02-01,1083015000
2001-02-02,1085950234
2001-02-05,1053078000
2001-02-06,1013749234
2001-02-07,1085950234
2001-02-08,1111777765
2001-02-09,1141714765
2001-02-12,1262050234
2001-02-13,1182217765
2001-02-14,1185739765
2001-02-15,1232700000
2001-02-16,1210981234
2001-02-20,1218612000
2001-02-21,1220959765
2001-02-22,1249135765
2001-02-23,1209220234
2001-02-26,1232700000
2001-02-27,1276725000
2001-02-28,1229764765
2001-03-01,1246201234
2001-03-02,1188675000
2001-03-05,1172826000
2001-03-06,1172826000
2001-03-07,1121170234
2001-03-08,1135845000
2001-03-09,1123518000
2001-03-12,1124104765
2001-03-13,1165195234
2001-03-14,1165782000
2001-03-15,1145824234
2001-03-16,1138780234
2001-03-19,1127040000
2001-03-20,1094167765
2001-03-21,1084776000
2001-03-22,1056600000
2001-03-23,1044859765
2001-03-26,1050730234
2001-03-27,1084189234
2001-03-28,1053078000
2001-03-29,1145236765
2001-03-30,1150519765
2001-04-02,1141308000
2001-04-03,1081919764
2001-04-04,1108379764
2001-04-05,1123080235
2001-04-06,1146600000
2001-04-09,1137780000
2001-04-10,1124844235
2001-04-11,1082508235
2001-04-12,1086624000
2001-04-16,1096620235
2001-04-17,1123080235
2001-04-18,1117199764
2001-04-19,1176000235
2001-04-20,1174824000
2001-04-23,1176000235
2001-04-24,1173060000
2001-04-25,1161888235
2001-04-26,1154832235
2001-04-27,1299480235
2001-04-30,1273020235
2001-05-01,1317120235
2001-05-02,1299480235
2001-05-03,1304772235
2001-05-04,1355339764
2001-05-07,1320648235
2001-05-08,1340052235
2001-05-09,1323587764
2001-05-10,1322412235
2001-05-11,1311239764
2001-05-14,1350636235
2001-05-15,1372979764
2001-05-16,1397088000
2001-05-17,1411200000
2001-05-18,1400616000
2001-05-21,1411200000
2001-05-22,1355339764
2001-05-23,1383563764
2001-05-24,1352400235
2001-05-25,1327704235
2001-05-29,1315944000
2001-05-30,1293599764
2001-05-31,1362395764
2001-06-01,1402967764
2001-06-04,1415315764
2001-06-05,1449420235
2001-06-06,1469999764
2001-06-07,1479996000
2001-06-08,1472940000
2001-06-11,1458240235
2001-06-12,1438247764
2001-06-13,1433544235
2001-06-14,1410023764
2001-06-15,1404144000
2001-06-18,1412964000
2001-06-19,1418255999
2001-06-20,1442952000
2001-06-21,1450008000
2001-06-22,1452359764
2001-06-25,1451772000
2001-06-26,1474704000
2001-06-27,1498223764
2001-06-28,1499400000
2001-06-29,1549968235
2001-07-02,1551700235
2001-07-03,1548750000
2001-07-05,1542259764
2001-07-06,1503319764
2001-07-09,1559370000
2001-07-10,1570579764
2001-07-11,1571760000
2001-07-12,1590640236
2001-07-13,1639020000
2001-07-16,1542259764
2001-07-17,1550520000
2001-07-18,1526329764
2001-07-19,1418950235
2001-07-20,1365850236
2001-07-23,1359360000
2001-07-24,1408920000
2001-07-25,1383550236
2001-07-26,1422490236
2001-07-27,1474999764
2001-07-30,1466149764
2001-07-31,1462020000
2001-08-01,1469100000
2001-08-02,1421310000
2001-08-03,1413049764
2001-08-06,1432519764
2001-08-07,1438420236
2001-08-08,1436650236
2001-08-09,1414819764
2001-08-10,1407150000
2001-08-13,1424850000
2001-08-14,1478539764
2001-08-15,1488570000
2001-08-16,1473820236
2001-08-17,1501549764
2001-08-20,1535179764
2001-08-21,1491520236
2001-08-22,1507450235
2001-08-23,1533409764
2001-08-24,1519249764
2001-08-27,1513350000
2001-08-28,1483260000
2001-08-29,1539899999
2001-08-30,1550520000
2001-08-31,1551109764
2001-09-04,1534000236
2001-09-05,1535179764
2001-09-06,1534000236
2001-09-07,1537540235
2001-09-10,1513350000
2001-09-17,1464379764
2001-09-18,1401250236
2001-09-19,1372339764
2001-09-20,1299769764
2001-09-21,1277350236
2001-09-24,1239000000
2001-09-25,1246080000
2001-09-26,1300950000
2001-09-27,1316880000
2001-09-28,1321600236
2001-10-01,1372930236
2001-10-02,1407739764
2001-10-03,1371750000
2001-10-04,1423669764
2001-10-05,1430749764
2001-10-08,1440190236
2001-10-09,1424850000
2001-10-10,1433700000
2001-10-11,1457299764
2001-10-12,1444909764
2001-10-15,1421310000
2001-10-16,1457299764
2001-10-17,1454350236
2001-10-18,1479720000
2001-10-19,1549339764
2001-10-22,1535179764
2001-10-23,1554649764
2001-10-24,1551700235
2001-10-25,1587100236
2001-10-26,1531639764
2001-10-29,1454350236
2001-10-30,1480900236
2001-10-31,1498600236
2001-11-01,1531050000
2001-11-02,1546980000
2001-11-05,1526920236
2001-11-06,1516300236
2001-11-07,1477950000
2001-11-08,1477950000
2001-11-09,1490340000
2001-11-12,1498600236
2001-11-13,1470280236
2001-11-14,1432519764
2001-11-15,1397710236
2001-11-16,1381189764
2001-11-19,1377649764
2001-11-20,1439599764
2001-11-21,1474999764
2001-11-23,1486800000
2001-11-26,1516300236
2001-11-27,1469100000
2001-11-28,1471459764
2001-11-29,1518070236
2001-11-30,1489750236
2001-12-03,1443730236
2001-12-04,1507450235
2001-12-05,1499779763
2001-12-06,1511579999
2001-12-07,1523970000
2001-12-10,1456120236
2001-12-11,1536949764
2001-12-12,1562320236
2001-12-13,1587100236
2001-12-14,1574710236
2001-12-17,1675600236
2001-12-18,1679140236
2001-12-19,1633120236
2001-12-20,1625449764
2001-12-21,1618960236
2001-12-24,1688579999
2001-12-26,1684450235
2001-12-27,1628989764
2001-12-28,1696840236
2001-12-31,1638459000
2002-01-02,1624819762
2002-01-03,1604065237
2002-01-04,1621855237
2002-01-07,1619482762
2002-01-08,1618890000
2002-01-09,1601100000
2002-01-10,1589239762
2002-01-11,1532311762
2002-01-14,1544764762
2002-01-15,1571449762
2002-01-16,1543579237
2002-01-17,1543579237
2002-01-18,1541800237
2002-01-22,1551880762
2002-01-23,1586275237
2002-01-24,1579752000
2002-01-25,1601692762
2002-01-28,1623040762
2002-01-29,1598134762
2002-01-30,1621855237
2002-01-31,1596949237
2002-02-01,1633122000
2002-02-04,1521045000
2002-02-05,1509778237
2002-02-06,1660399762
2002-02-07,1683526762
2002-02-08,1719700237
2002-02-11,1751128762
2002-02-12,1660399762
2002-02-13,1678189762
2002-02-14,1684120237
2002-02-15,1639645237
2002-02-19,1601100000
2002-02-20,1710805237
2002-02-21,1624819762
2002-02-22,1718514000
2002-02-25,1633714762
2002-02-26,1639051762
2002-02-27,1663957762
2002-02-28,1691829000
2002-03-01,1645575000
2002-03-04,1626598762
2002-03-05,1643203237
2002-03-06,1668109237
2002-03-07,1651504762
2002-03-08,1649725762
2002-03-11,1605250762
2002-03-12,1666330237
2002-03-13,1642609762
2002-03-14,1644982237
2002-03-15,1644982237
2002-03-18,1654470000
2002-03-19,1660399762
2002-03-20,1636087237
2002-03-21,1660399762
2002-03-22,1639645237
2002-03-25,1612960237
2002-03-26,1667515762
2002-03-27,1614145762
2002-03-28,1657435237
2002-04-01,1636679999
2002-04-02,1593391237
2002-04-03,1597542000
2002-04-04,1614145762
2002-04-05,1583310000
2002-04-08,1578565762
2002-04-09,1625413237
2002-04-10,1604658000
2002-04-11,1604065237
2002-04-12,1652690999
2002-04-15,1600507237
2002-04-16,1659807000
2002-04-17,1595170237
2002-04-18,1621855237
2002-04-19,1589239762
2002-04-22,1604065237
2002-04-23,1589833237
2002-04-24,1446919762
2002-04-25,1482499762
2002-04-26,1490802000
2002-04-29,1470640237
2002-04-30,1489615762
2002-05-01,1526974762
2002-05-02,1553659762
2002-05-03,1560183000
2002-05-06,1513929000
2002-05-07,1542393000
2002-05-08,1528161000
2002-05-09,1489615762
2002-05-10,1469454000
2002-05-13,1452256762
2002-05-14,1447513237
2002-05-15,1510963762
2002-05-16,1442769000
2002-05-17,1482499762
2002-05-20,1410154237
2002-05-21,1438024762
2002-05-22,1408375237
2002-05-23,1434466762
2002-05-24,1411339762
2002-05-28,1438618237
2002-05-29,1398886762
2002-05-30,1454035762
2002-05-31,1412526000
2002-06-03,1373980762
2002-06-04,1378725000
2002-06-05,1386433762
2002-06-06,1349074762
2002-06-07,1334250000
2002-06-10,1411339762
2002-06-11,1355005237
2002-06-12,1381690237
2002-06-13,1391770762
2002-06-14,1431502237
2002-06-17,1454629237
2002-06-18,1473604762
2002-06-19,1420234762
2002-06-20,1424979000
2002-06-21,1423200000
2002-06-24,1372201762
2002-06-25,1374574237
2002-06-26,1350261000
2002-06-27,1356190762
2002-06-28,1375759762
2002-07-01,1279660234
2002-07-02,1223895000
2002-07-03,1288465234
2002-07-05,1279660234
2002-07-08,1265572234
2002-07-09,1253245234
2002-07-10,1175173765
2002-07-11,1152868234
2002-07-12,1219198765
2002-07-15,1182805234
2002-07-16,1233874234
2002-07-17,1273789765
2002-07-18,1232700000
2002-07-19,1188675000
2002-07-22,1161673234
2002-07-23,1090059000
2002-07-24,1285530000
2002-07-25,1383559234
2002-07-26,1380624000
2002-07-29,1402930234
2002-07-30,1411735234
2002-07-31,1428757765
2002-08-01,1438150234
2002-08-02,1407039000
2002-08-05,1350100234
2002-08-06,1409974234
2002-08-07,1432867234
2002-08-08,1471609234
2002-08-09,1486870765
2002-08-12,1455760234
2002-08-13,1438150234
2002-08-14,1485109765
2002-08-15,1466913000
2002-08-16,1470435000
2002-08-19,1482175234
2002-08-20,1488044999
2002-08-21,1494502234
2002-08-22,1483936234
2002-08-23,1473956999
2002-08-26,1470435000
2002-08-27,1459282234
2002-08-28,1454586000
2002-08-29,1463977765
2002-08-30,1445194234
2002-09-03,1404691234
2002-09-04,1426410000
2002-09-05,1414669765
2002-09-06,1435215000
2002-09-09,1457521234
2002-09-10,1455760234
2002-09-11,1461630000
2002-09-12,1453411765
2002-09-13,1453411765
2002-09-16,1451064000
2002-09-17,1430518765
2002-09-18,1445194234
2002-09-19,1444019999
2002-09-20,1464565234
2002-09-23,1456933765
2002-09-24,1451650765
2002-09-25,1467499765
2002-09-26,1478653234
2002-09-27,1479826765
2002-09-30,1502133000
2002-10-01,1496850000
2002-10-02,1485109765
2002-10-03,1502719765
2002-10-04,1517395234
2002-10-07,1511524765
2002-10-08,1508590234
2002-10-09,1467499765
2002-10-10,1452825000
2002-10-11,1461630000
2002-10-14,1464565234
2002-10-15,1449303000
2002-10-16,1453999234
2002-10-17,1455172765
2002-10-18,1450477234
2002-10-21,1429931999
2002-10-22,1402342765
2002-10-23,1490980234
2002-10-24,1527373765
2002-10-25,1529134765
2002-10-28,1532069999
2002-10-29,1508590234
2002-10-30,1496850000
2002-10-31,1508002765
2002-11-01,1505655000
2002-11-04,1526787000
2002-11-05,1523265000
2002-11-06,1523265000
2002-11-07,1506241765
2002-11-08,1483936234
2002-11-11,1486284000
2002-11-12,1505068234
2002-11-13,1552615234
2002-11-14,1557898234
2002-11-15,1603096765
2002-11-18,1589008765
2002-11-19,1587835234
2002-11-20,1592530765
2002-11-21,1608379765
2002-11-22,1603096765
2002-11-25,1584900000
2002-11-26,1575508234
2002-11-27,1547332234
2002-11-29,1544983765
2002-12-02,1502719765
2002-12-03,1496850000
2002-12-04,1511524765
2002-12-05,1520329765
2002-12-06,1529134765
2002-12-09,1525026000
2002-12-10,1515046765
2002-12-11,1539114000
2002-12-12,1529134765
2002-12-13,1505655000
2002-12-16,1536766234
2002-12-17,1512112234
2002-12-18,1522090765
2002-12-19,1537939765
2002-12-20,1534417765
2002-12-23,1532656765
2002-12-24,1540875000
2002-12-26,1529722234
2002-12-27,1520917234
2002-12-30,1492153765
2002-12-31,1497636000
2003-01-02,1504104235
2003-01-03,1505279764
2003-01-06,1494108000
2003-01-07,1481172235
2003-01-08,1502340235
2003-01-09,1491756235
2003-01-10,1498223764
2003-01-13,1502340235
2003-01-14,1502928000
2003-01-15,1528800235
2003-01-16,1529388000
2003-01-17,1511160235
2003-01-21,1502928000
2003-01-22,1541148235
2003-01-23,1544676235
2003-01-24,1509396235
2003-01-27,1464707764
2003-01-28,1480583764
2003-01-29,1477644235
2003-01-30,1437072235
2003-01-31,1499987764
2003-02-03,1442364235
2003-02-04,1524683764
2003-02-05,1502340235
2003-02-06,1498812235
2003-02-07,1501751764
2003-02-10,1496459764
2003-02-11,1511748000
2003-02-12,1491167764
2003-02-13,1456476235
2003-02-14,1480583764
2003-02-18,1514099764
2003-02-19,1502928000
2003-02-20,1520567999
2003-02-21,1531739764
2003-02-24,1501751764
2003-02-25,1531739764
2003-02-26,1534679999
2003-02-27,1555848000
2003-02-28,1564667999
2003-03-03,1559376000
2003-03-04,1559376000
2003-03-05,1562316235
2003-03-06,1538795764
2003-03-07,1555260235
2003-03-10,1531152000
2003-03-11,1523508235
2003-03-12,1498812235
2003-03-13,1537031764
2003-03-14,1539972000
2003-03-17,1569960000
2003-03-18,1539972000
2003-03-19,1559963764
2003-03-20,1569372235
2003-03-21,1616411764
2003-03-24,1578779999
2003-03-25,1611708235
2003-03-26,1588776235
2003-03-27,1584659764
2003-03-28,1593479764
2003-03-31,1616599764
2003-04-01,1636660236
2003-04-02,1644919764
2003-04-03,1629580236
2003-04-04,1605979764
2003-04-07,1598899764
2003-04-08,1614239999
2003-04-09,1597720236
2003-04-10,1617190236
2003-04-11,1611880236
2003-04-14,1639609764
2003-04-15,1640200235
2003-04-16,1607749764
2003-04-17,1610110235
2003-04-21,1610700000
2003-04-22,1592410236
2003-04-23,1702150236
2003-04-24,1702150236
2003-04-25,1695660000
2003-04-28,1700970000
2003-04-29,1693300236
2003-04-30,1703329764
2003-05-01,1684450235
2003-05-02,1695070236
2003-05-05,1697430000
2003-05-06,1722210000
2003-05-07,1750530000
2003-05-08,1753480236
2003-05-09,1745220000
2003-05-12,1804219764
2003-05-13,1795369763
2003-05-14,1793599764
2003-05-15,1808350236
2003-05-16,1811890236
2003-05-19,1795369763
2003-05-20,1780620000
2003-05-21,1802449764
2003-05-22,1812480000
2003-05-23,1792420236
2003-05-27,1784749764
2003-05-28,1725160236
2003-05-29,1761739764
2003-05-30,1788880236
2003-06-02,1776490236
2003-06-03,1770589764
2003-06-04,1781800236
2003-06-05,1806580236
2003-06-06,1793010000
2003-06-09,1765279763
2003-06-10,1792420236
2003-06-11,1834900236
2003-06-12,1872070236
2003-06-13,1844340000
2003-06-16,1893310236
2003-06-17,1893899999
2003-06-18,1914550236
2003-06-19,1915729764
2003-06-20,1874430000
2003-06-23,1817790000
2003-06-24,1836670236
2003-06-25,1835489999
2003-06-26,1850830236
2003-06-27,1890360000
2003-06-30,1899473763
2003-07-01,1889427236
2003-07-02,1921932000
2003-07-03,1895927763
2003-07-07,1898883000
2003-07-08,1884699000
2003-07-09,1912476236
2003-07-10,1894746236
2003-07-11,1917795236
2003-07-14,1908930236
2003-07-15,1912476236
2003-07-16,1900065236
2003-07-17,1885289763
2003-07-18,1899473763
2003-07-21,1854558000
2003-07-22,1890608763
2003-07-23,1625250236
2003-07-24,1605747236
2003-07-25,1610474763
2003-07-28,1590381000
2003-07-29,1616975999
2003-07-30,1631750763
2003-07-31,1668983763
2003-08-01,1616975999
2003-08-04,1595109236
2003-08-05,1564376763
2003-08-06,1546056000
2003-08-07,1566741236
2003-08-08,1589790236
2003-08-11,1617566763
2003-08-12,1667802236
2003-08-13,1694988000
2003-08-14,1699716236
2003-08-15,1715081763
2003-08-18,1719809999
2003-08-19,1721583000
2003-08-20,1707989763
2003-08-21,1706216763
2003-08-22,1676075763
2003-08-25,1666620000
2003-08-26,1654209000
2003-08-27,1644753236
2003-08-28,1656572763
2003-08-29,1680804000
2003-09-02,1681394763
2003-09-03,1661300999
2003-09-04,1695578763
2003-09-05,1683759236
2003-09-08,1677848763
2003-09-09,1678440236
2003-09-10,1654209000
2003-09-11,1666620000
2003-09-12,1639457640
2003-09-15,1627046640
2003-09-16,1613430000
2003-09-17,1616408640
2003-09-18,1624706280
2003-09-19,1619387280
2003-09-22,1611657000
2003-09-23,1630025280
2003-09-24,1598678640
2003-09-25,1603997639
2003-09-26,1593927000
2003-09-29,1603997639
2003-09-30,1600451640
2003-10-01,1631159999
2003-10-02,1648322639
2003-10-03,1644776640
2003-10-06,1650663000
2003-10-07,1656620280
2003-10-08,1739951279
2003-10-09,1742291640
2003-10-10,1733426640
2003-10-13,1719242640
2003-10-14,1713923640
2003-10-15,1738745640
2003-10-16,1758248640
2003-10-17,1740518640
2003-10-20,1726902000
2003-10-21,1625273640
2003-10-22,1632365640
2003-10-23,1639457640
2003-10-24,1689669000
2003-10-27,1705058640
2003-10-28,1712718000
2003-10-29,1734632280
2003-10-30,1713923640
2003-10-31,1713923640
2003-11-03,1718675280
2003-11-04,1692080280
2003-11-05,1698534000
2003-11-06,1716264000
2003-11-07,1692647639
2003-11-10,1675484999
2003-11-11,1689101640
2003-11-12,1695626279
2003-11-13,1726334640
2003-11-14,1682577000
2003-11-17,1687328640
2003-11-18,1713923640
2003-11-19,1737540000
2003-11-20,1752362280
2003-11-21,1755908280
2003-11-24,1777751640
2003-11-25,1765908000
2003-11-26,1768886640
2003-11-28,1780091999
2003-12-01,1836260640
2003-12-02,1813779000
2003-12-03,1809098280
2003-12-04,1797822000
2003-12-05,1763567640
2003-12-08,1771227000
2003-12-09,1735766999
2003-12-10,1737540000
2003-12-11,1775978640
2003-12-12,1772432640
2003-12-15,1768886640
2003-12-16,1728675000
2003-12-17,1742291640
2003-12-18,1762362000
2003-12-19,1751724000
2003-12-22,1738745640
2003-12-23,1749383640
2003-12-24,1754135279
2003-12-26,1766546280
2003-12-29,1772432640
2003-12-30,1793708640
2003-12-31,1792791840
2004-01-02,1784424000
2004-01-05,1771335840
2004-01-06,1764755999
2004-01-07,1791576000
2004-01-08,1795151999
2004-01-09,1792791840
2004-01-12,1796940000
2004-01-13,1810099680
2004-01-14,1887555840
2004-01-15,1894707840
2004-01-16,1971019680
2004-01-20,1966800000
2004-01-21,2024659680
2004-01-22,2010355680
2004-01-23,1999556160
2004-01-26,2006779680
2004-01-27,1982892000
2004-01-28,2009139840
2004-01-29,2011500000
2004-01-30,2075868000
2004-02-02,2116992000
2004-02-03,2018651999
2004-02-04,2000772000
2004-02-05,1966800000
2004-02-06,1983535680
2004-02-09,2029380000
2004-02-10,2035387680
2004-02-11,1963867679
2004-02-12,2001987840
2004-02-13,1983535680
2004-02-17,1979316000
2004-02-18,1968588000
2004-02-19,1962651840
2004-02-20,1929895680
2004-02-23,1906651680
2004-02-24,1893492000
2004-02-25,1920312000
2004-02-26,1929251999
2004-02-27,1919167679
2004-03-01,1954856160
2004-03-02,1954856160
2004-03-03,1954856160
2004-03-04,1949563680
2004-03-05,1924460160
2004-03-08,1901287680
2004-03-09,1871463839
2004-03-10,1853583840
2004-03-11,1811887680
2004-03-12,1822615680
2004-03-15,1829767679
2004-03-16,1838707680
2004-03-17,1879188000
2004-03-18,1857159839
2004-03-19,1833272160
2004-03-22,1809455999
2004-03-23,1820184000
2004-03-24,1792219680
2004-03-25,1802304000
2004-03-26,1838707680
2004-03-29,1847576160
2004-03-30,1874467679
2004-03-31,1901025000
2004-04-01,1896883800
2004-04-02,1912948799
2004-04-05,1937938800
2004-04-06,1968855000
2004-04-07,1963500000
2004-04-08,1927800000
2004-04-12,1976637600
2004-04-13,1945078800
2004-04-14,1988490000
2004-04-15,1986133800
2004-04-16,2000985000
2004-04-19,1989703800
2004-04-20,1963500000
2004-04-21,1971282600
2004-04-22,1981992600
2004-04-23,2093805000
2004-04-26,2077740000
2004-04-27,2061675000
2004-04-28,2026617600
2004-04-29,2088449999
2004-04-30,2050393800
2004-05-03,2058747600
2004-05-04,2061675000
2004-05-05,2085451200
2004-05-06,2096803800
2004-05-07,2070600000
2004-05-10,2011695000
2004-05-11,2031972600
2004-05-12,2043253800
2004-05-13,2073598800
2004-05-14,2083737600
2004-05-17,2073027600
2004-05-18,2064102599
2004-05-19,2101587600
2004-05-20,2104514999
2004-05-21,2113440000
2004-05-24,2100373800
2004-05-25,2101587600
2004-05-26,2125935000
2004-05-27,2164633800
2004-05-28,2156851200
2004-06-01,2161635000
2004-06-02,2176557600
2004-06-03,2144356200
2004-06-04,2141428800
2004-06-07,2149140000
2004-06-08,2163420000
2004-06-09,2137858800
2004-06-10,2142000000
2004-06-14,2134288800
2004-06-15,2140215000
2004-06-16,2114653800
2004-06-17,2124150000
2004-06-18,2123578800
2004-06-21,2114653800
2004-06-22,2136073799
2004-06-23,2144998800
2004-06-24,2082523800
2004-06-25,2086093800
2004-06-28,2055106200
2004-06-29,2089663800
2004-06-30,2080568880
2004-07-01,2039949000
2004-07-02,2020248000
2004-07-06,2008928879
2004-07-07,2028629880
2004-07-08,2001191760
2004-07-09,1976690880
2004-07-12,1982637000
2004-07-13,1970673120
2004-07-14,1992236760
2004-07-15,2010146760
2004-07-16,1986219000
2004-07-19,2009502000
2004-07-20,2007137880
2004-07-21,2005919999
2004-07-22,2008928879
2004-07-23,1995818759
2004-07-26,1956416760
2004-07-27,1974899880
2004-07-28,2056712759
2004-07-29,2084724000
2004-07-30,2099696760
2004-08-02,2121188760
2004-08-03,2080568880
2004-08-04,2073404880
2004-08-05,2038158000
2004-08-06,1991591999
2004-08-09,1977263999
2004-08-10,2017883880
2004-08-11,2041166880
2004-08-12,2019101760
2004-08-13,2007711000
2004-08-16,2023256879
2004-08-17,2017883880
2004-08-18,2032211880
2004-08-19,2029776120
2004-08-20,2063232000
2004-08-23,2063876760
2004-08-24,2070396000
2004-08-25,2081786760
2004-08-26,2079995760
2004-08-27,2107433880
2004-08-30,2087159760
2004-08-31,2108007000
2004-09-01,2144471760
2004-09-02,2170118880
2004-09-03,2172483000
2004-09-07,2180291760
2004-09-08,2158155000
2004-09-09,2109798000
2004-09-10,2119970880
2004-09-13,2122335000
2004-09-14,2133081000
2004-09-15,2123552880
2004-09-16,2132507880
2004-09-17,2164101120
2004-09-20,2159372880
2004-09-21,2154573000
2004-09-22,2134872000
2004-09-23,2125916999
2004-09-24,2142036000
2004-09-27,2107433880
2004-09-28,2035793880
2004-09-29,2000547000
2004-09-30,1996623840
2004-10-01,2000772000
2004-10-04,2015719680
2004-10-05,2027019840
2004-10-06,2031811680
2004-10-07,2002559999
2004-10-08,1990044000
2004-10-11,1990044000
2004-10-12,1966800000
2004-10-13,1942983840
2004-10-14,1953711840
2004-10-15,1955499840
2004-10-18,1996051680
2004-10-19,1966800000
2004-10-20,1989471840
2004-10-21,1988255999
2004-10-22,2019295680
2004-10-25,2006136000
2004-10-26,2003775840
2004-10-27,2056200000
2004-10-28,2069931840
2004-10-29,2037175679
2004-11-01,2037175679
2004-11-02,2035959839
2004-11-03,2068716000
2004-11-04,2090815680
2004-11-05,2107479840
2004-11-08,2118207840
2004-11-09,2118780000
2004-11-10,2131939680
2004-11-11,2143239840
2004-11-12,2145027840
2004-11-15,2140236000
2004-11-16,2139663839
2004-11-17,2147388000
2004-11-18,2144455680
2004-11-19,2116992000
2004-11-22,2146815840
2004-11-23,2187367680
2004-11-24,2217120000
