,HAL
2000-07-13,20167400000
2000-07-14,19944900000
2000-07-17,19081600000
2000-07-18,19971600000
2000-07-19,19998300000
2000-07-20,20078400000
2000-07-21,18805700000
2000-07-24,18547600000
2000-07-25,18805700000
2000-07-26,19384200000
2000-07-27,20194100000
2000-07-28,20220800000
2000-07-31,20523400000
2000-08-01,20834900000
2000-08-02,21164200000
2000-08-03,20968400000
2000-08-04,21475700000
2000-08-07,21662600000
2000-08-08,22169900000
2000-08-09,23415900000
2000-08-10,23193400000
2000-08-11,22695000000
2000-08-14,23255700000
2000-08-15,22890800000
2000-08-16,24030000000
2000-08-17,23923200000
2000-08-18,23442600000
2000-08-21,23780800000
2000-08-22,23389200000
2000-08-23,23976600000
2000-08-24,23638400000
2000-08-25,23442600000
2000-08-28,23860900000
2000-08-29,23923200000
2000-08-30,23611700000
2000-08-31,23585000000
2000-09-01,23860900000
2000-09-05,23860900000
2000-09-06,24332600000
2000-09-07,23780800000
2000-09-08,23166700000
2000-09-11,24145700000
2000-09-12,24199100000
2000-09-13,23220100000
2000-09-14,22917500000
2000-09-15,23442600000
2000-09-18,22695000000
2000-09-19,22499200000
2000-09-20,21635900000
2000-09-21,21164200000
2000-09-22,20941700000
2000-09-25,20808200000
2000-09-26,21190900000
2000-09-27,21662600000
2000-09-28,21635900000
2000-09-29,21778300000
2000-10-02,21461880000
2000-10-03,21138120000
2000-10-04,19757880000
2000-10-05,19706760000
2000-10-06,18718440000
2000-10-09,18905880000
2000-10-10,19596000000
2000-10-11,19783440000
2000-10-12,20286120000
2000-10-13,19280760000
2000-10-16,18394680000
2000-10-17,18479880000
2000-10-18,18266880000
2000-10-19,18241320000
2000-10-20,18769560000
2000-10-23,17542680000
2000-10-24,17730120000
2000-10-25,15787560000
2000-10-26,15813119999
2000-10-27,15762000000
2000-10-30,15659760000
2000-10-31,15787560000
2000-11-01,16426560000
2000-11-02,16051680000
2000-11-03,16051680000
2000-11-06,16298760000
2000-11-07,16188000000
2000-11-08,16401000000
2000-11-09,16162439999
2000-11-10,15813119999
2000-11-13,15659760000
2000-11-14,16026119999
2000-11-15,16511760000
2000-11-16,16264680000
2000-11-17,15838680000
2000-11-20,15549000000
2000-11-21,15472320000
2000-11-22,15284880000
2000-11-24,15762000000
2000-11-27,15625680000
2000-11-28,15259320000
2000-11-29,14807760000
2000-11-30,14219880000
2000-12-01,14432880000
2000-12-04,14560680000
2000-12-05,14773680000
2000-12-06,14807760000
2000-12-07,15284880000
2000-12-08,15659760000
2000-12-11,16162439999
2000-12-12,16213560000
2000-12-13,16026119999
2000-12-14,15736439999
2000-12-15,15872760000
2000-12-18,16511760000
2000-12-19,16639560000
2000-12-20,16085760000
2000-12-21,15762000000
2000-12-22,15336000000
2000-12-26,16026119999
2000-12-27,15762000000
2000-12-28,15813119999
2000-12-29,15446760000
2001-01-02,15685320000
2001-01-03,15472320000
2001-01-04,15412680000
2001-01-05,15361560000
2001-01-08,15574560000
2001-01-09,16213560000
2001-01-10,16750320000
2001-01-11,17091119999
2001-01-12,17065560000
2001-01-16,17278560000
2001-01-17,16614000000
2001-01-18,16000560000
2001-01-19,15813119999
2001-01-22,15898320000
2001-01-23,16452119999
2001-01-24,16963320000
2001-01-25,17730120000
2001-01-26,17363760000
2001-01-29,16997400000
2001-01-30,17150760000
2001-01-31,17551200000
2001-02-01,17125200000
2001-02-02,17091119999
2001-02-05,17508600000
2001-02-06,18164640000
2001-02-07,18318000000
2001-02-08,18232800000
2001-02-09,18096480000
2001-02-12,18164640000
2001-02-13,18428760000
2001-02-14,18377640000
2001-02-15,17696040000
2001-02-16,17849400000
2001-02-20,17764200000
2001-02-21,17679000000
2001-02-22,17074080000
2001-02-23,16844040000
2001-02-26,17363760000
2001-02-27,17661960000
2001-02-28,16963320000
2001-03-01,17133720000
2001-03-02,17602320000
2001-03-05,17943120000
2001-03-06,18258360000
2001-03-07,19067760000
2001-03-08,19238160000
2001-03-09,18957000000
2001-03-12,18343560000
2001-03-13,17542680000
2001-03-14,17406360000
2001-03-15,17040000000
2001-03-16,16656600000
2001-03-19,17304120000
2001-03-20,17508600000
2001-03-21,16520280000
2001-03-22,16128360000
2001-03-23,16554360000
2001-03-26,16605479999
2001-03-27,16188000000
2001-03-28,15668280000
2001-03-29,14969640000
2001-03-30,15659760000
2001-04-02,14603400000
2001-04-03,13834800000
2001-04-04,14048300000
2001-04-05,14629020000
2001-04-06,14594860000
2001-04-09,15115800000
2001-04-10,15542800000
2001-04-11,15021860000
2001-04-12,14962080000
2001-04-16,15500099999
2001-04-17,15858780000
2001-04-18,15431780000
2001-04-19,15038940000
2001-04-20,15816080000
2001-04-23,16243080000
2001-04-24,16038120000
2001-04-25,16490739999
2001-04-26,17993780000
2001-04-27,17985240000
2001-04-30,18454940000
2001-05-01,18130420000
2001-05-02,17208100000
2001-05-03,17293500000
2001-05-04,17831520000
2001-05-07,17541160000
2001-05-08,17609480000
2001-05-09,18147500000
2001-05-10,18190200000
2001-05-11,17840060000
2001-05-14,18770920000
2001-05-15,19368720000
2001-05-16,19394340000
2001-05-17,20205640000
2001-05-18,20419140000
2001-05-21,21008400000
2001-05-22,20496000000
2001-05-23,19906740000
2001-05-24,19898200000
2001-05-25,20282500000
2001-05-29,20094620000
2001-05-30,19633460000
2001-05-31,19957980000
2001-06-01,19693240000
2001-06-04,20282500000
2001-06-05,20239800000
2001-06-06,19215000000
2001-06-07,18967340000
2001-06-08,19129600000
2001-06-11,18822160000
2001-06-12,19121060000
2001-06-13,18916100000
2001-06-14,18480560000
2001-06-15,18412240000
2001-06-18,18104800000
2001-06-19,18181660000
2001-06-20,17720500000
2001-06-21,16755480000
2001-06-22,16764020000
2001-06-25,16909200000
2001-06-26,17566780000
2001-06-27,16499280000
2001-06-28,15875860000
2001-06-29,15201200000
2001-07-02,14611920000
2001-07-03,14569120000
2001-07-05,14526319999
2001-07-06,14201040000
2001-07-09,14038399999
2001-07-10,14243840000
2001-07-11,14218160000
2001-07-12,13601840000
2001-07-13,13755920000
2001-07-16,13011200000
2001-07-17,13122480000
2001-07-18,13268000000
2001-07-19,13507680000
2001-07-20,14440720000
2001-07-23,14397920000
2001-07-24,13884319999
2001-07-25,14663280000
2001-07-26,15194000000
2001-07-27,15450800000
2001-07-30,15604880000
2001-07-31,14980000000
2001-08-01,14748880000
2001-08-02,15194000000
2001-08-03,15048479999
2001-08-06,15108399999
2001-08-07,15134080000
2001-08-08,14338000000
2001-08-09,13696000000
2001-08-10,13482000000
2001-08-13,13182400000
2001-08-14,13071120000
2001-08-15,14055520000
2001-08-16,13824399999
2001-08-17,13661760000
2001-08-20,13473440000
2001-08-21,13713120000
2001-08-22,13456320000
2001-08-23,13199520000
2001-08-24,13302240000
2001-08-27,13396400000
2001-08-28,13036880000
2001-08-29,12899920000
2001-08-30,11984000000
2001-08-31,11924080000
2001-09-04,12352080000
2001-09-05,12412000000
2001-09-06,12506160000
2001-09-07,12103840000
2001-09-10,12300720000
2001-09-17,11401920000
2001-09-18,10486000000
2001-09-19,9689920000
2001-09-20,9227680000
2001-09-21,9664240000
2001-09-24,9073600000
2001-09-25,8585679999
2001-09-26,8431600000
2001-09-27,8945200000
2001-09-28,9655680000
2001-10-01,9438900000
2001-10-02,9232020000
2001-10-03,9628540000
2001-10-04,10240560000
2001-10-05,10076780000
2001-10-08,10369860000
2001-10-09,10464680000
2001-10-10,11188760000
2001-10-11,11093940000
2001-10-12,10921540000
2001-10-15,10593980000
2001-10-16,10723280000
2001-10-17,10499160000
2001-10-18,9938860000
2001-10-19,10344000000
2001-10-22,10585360000
2001-10-23,10714660000
2001-10-24,10757760000
2001-10-25,11792160000
2001-10-26,12033520000
2001-10-29,11981800000
2001-10-30,11361160000
2001-10-31,10645700000
2001-11-01,10335380000
2001-11-02,10068160000
2001-11-05,9740600000
2001-11-06,9361320000
2001-11-07,9542340000
2001-11-08,9792320000
2001-11-09,9809560000
2001-11-12,9818180000
2001-11-13,9913000000
2001-11-14,9309600000
2001-11-15,8645860000
2001-11-16,8732060000
2001-11-19,8775160000
2001-11-20,9180300000
2001-11-21,9007900000
2001-11-23,9257880000
2001-11-26,9094100000
2001-11-27,9421660000
2001-11-28,9188920000
2001-11-29,9352700000
2001-11-30,9232020000
2001-12-03,9507860000
2001-12-04,9438900000
2001-12-05,9482000000
2001-12-06,8990660000
2001-12-07,5172000000
2001-12-10,6034000000
2001-12-11,6034000000
2001-12-12,5723680000
2001-12-13,5758160000
2001-12-14,5603000000
2001-12-17,5534040000
2001-12-18,5534040000
2001-12-19,5577140000
2001-12-20,5525420000
2001-12-21,5603000000
2001-12-24,5749540000
2001-12-26,5585760000
2001-12-27,5594380000
2001-12-28,5689200000
2001-12-31,5659200000
2002-01-02,5304960000
2002-01-03,4717440000
2002-01-04,4415040000
2002-01-07,4769280000
2002-01-08,4752000000
2002-01-09,5244480000
2002-01-10,4993920000
2002-01-11,4734720000
2002-01-14,4656960000
2002-01-15,4613760000
2002-01-16,4432320000
2002-01-17,4415040000
2002-01-18,4345920000
2002-01-22,4432320000
2002-01-23,4665600000
2002-01-24,5806080000
2002-01-25,6194880000
2002-01-28,5832000000
2002-01-29,6065280000
2002-01-30,5788800000
2002-01-31,5944320000
2002-02-01,6004800000
2002-02-04,5857920000
2002-02-05,5806080000
2002-02-06,5624640000
2002-02-07,5659200000
2002-02-08,6030720000
2002-02-11,6497280000
2002-02-12,6289920000
2002-02-13,6462720000
2002-02-14,6333120000
2002-02-15,7032960000
2002-02-19,6868800000
2002-02-20,6782400000
2002-02-21,6825600000
2002-02-22,7128000000
2002-02-25,7119360000
2002-02-26,7093440000
2002-02-27,7128000000
2002-02-28,7128000000
2002-03-01,7300799999
2002-03-04,7464960000
2002-03-05,7395840000
2002-03-06,7378559999
2002-03-07,7508160000
2002-03-08,7456320000
2002-03-11,7361280000
2002-03-12,7387200000
2002-03-13,7240320000
2002-03-14,6946559999
2002-03-15,7205760000
2002-03-18,7171200000
2002-03-19,7309440000
2002-03-20,7205760000
2002-03-21,7041600000
2002-03-22,6782400000
2002-03-25,6912000000
2002-03-26,7067520000
2002-03-27,7404480000
2002-03-28,7378559999
2002-04-01,7240320000
2002-04-02,7352640000
2002-04-03,7188480000
2002-04-04,7223039999
2002-04-05,7197120000
2002-04-08,7490880000
2002-04-09,7611840000
2002-04-10,7603200000
2002-04-11,7464960000
2002-04-12,7076160000
2002-04-15,7387200000
2002-04-16,7551360000
2002-04-17,7776000000
2002-04-18,7611840000
2002-04-19,7663679999
2002-04-22,7603200000
2002-04-23,7594559999
2002-04-24,7646400000
2002-04-25,7663679999
2002-04-26,7551360000
2002-04-29,7421760000
2002-04-30,7344000000
2002-05-01,7525440000
2002-05-02,7516799999
2002-05-03,7248960000
2002-05-06,6704640000
2002-05-07,6816960000
2002-05-08,7076160000
2002-05-09,7067520000
2002-05-10,7171200000
2002-05-13,7335360000
2002-05-14,7266240000
2002-05-15,7240320000
2002-05-16,7240320000
2002-05-17,7361280000
2002-05-20,7447679999
2002-05-21,7525440000
2002-05-22,7776000000
2002-05-23,8380799999
2002-05-24,8251200000
2002-05-28,8363520000
2002-05-29,8087039999
2002-05-30,7992000000
2002-05-31,8017919999
2002-06-03,7914240000
2002-06-04,7741440000
2002-06-05,7680960000
2002-06-06,7611840000
2002-06-07,7637760000
2002-06-10,7378559999
2002-06-11,7128000000
2002-06-12,7344000000
2002-06-13,7387200000
2002-06-14,7257600000
2002-06-17,7378559999
2002-06-18,7326720000
2002-06-19,7248960000
2002-06-20,7153919999
2002-06-21,7024320000
2002-06-24,7015679999
2002-06-25,6946559999
2002-06-26,6704640000
2002-06-27,6808320000
2002-06-28,6886080000
2002-07-01,6549120000
2002-07-02,6264000000
2002-07-03,6220800000
2002-07-05,6471360000
2002-07-08,6194880000
2002-07-09,6099840000
2002-07-10,5857920000
2002-07-11,5736960000
2002-07-12,5840640000
2002-07-15,5659200000
2002-07-16,5641920000
2002-07-17,5555520000
2002-07-18,5495040000
2002-07-19,4993920000
2002-07-22,4311360000
2002-07-23,3931200000
2002-07-24,4838400000
2002-07-25,5417280000
2002-07-26,5607360000
2002-07-29,5996160000
2002-07-30,5875200000
2002-07-31,5702400000
2002-08-01,5425920000
2002-08-02,5166720000
2002-08-05,4968000000
2002-08-06,5253120000
2002-08-07,5261760000
2002-08-08,5711040000
2002-08-09,5952960000
2002-08-12,5901120000
2002-08-13,5780160000
2002-08-14,6125760000
2002-08-15,6531840000
2002-08-16,6419520000
2002-08-19,6428160000
2002-08-20,6091200000
2002-08-21,6151680000
2002-08-22,6480000000
2002-08-23,6341760000
2002-08-26,6480000000
2002-08-27,6609600000
2002-08-28,6462720000
2002-08-29,6376320000
2002-08-30,6566400000
2002-09-03,5961600000
2002-09-04,5970240000
2002-09-05,5909760000
2002-09-06,5978880000
2002-09-09,5978880000
2002-09-10,6186240000
2002-09-11,6203520000
2002-09-12,6048000000
2002-09-13,6108480000
2002-09-16,6307200000
2002-09-17,6117120000
2002-09-18,6039360000
2002-09-19,5702400000
2002-09-20,5607360000
2002-09-23,5702400000
2002-09-24,5348160000
2002-09-25,5616000000
2002-09-26,5832000000
2002-09-27,5702400000
2002-09-30,5581440000
2002-10-01,6073920000
2002-10-02,6039360000
2002-10-03,6307200000
2002-10-04,6177600000
2002-10-07,6048000000
2002-10-08,5806080000
2002-10-09,5520960000
2002-10-10,5901120000
2002-10-11,6082560000
2002-10-14,6376320000
2002-10-15,6480000000
2002-10-16,6341760000
2002-10-17,6462720000
2002-10-18,6626880000
2002-10-21,6808320000
2002-10-22,6566400000
2002-10-23,6773760000
2002-10-24,6531840000
2002-10-25,6428160000
2002-10-28,6436800000
2002-10-29,6384960000
2002-10-30,6592320000
2002-10-31,6989760000
2002-11-01,7387200000
2002-11-04,7179840000
2002-11-05,7032960000
2002-11-06,7758720000
2002-11-07,7153919999
2002-11-08,7162559999
2002-11-11,6955200000
2002-11-12,6860160000
2002-11-13,6730560000
2002-11-14,7663679999
2002-11-15,7715520000
2002-11-18,7689600000
2002-11-19,7620480000
2002-11-20,7810559999
2002-11-21,8259840000
2002-11-22,8147520000
2002-11-25,7905600000
2002-11-26,8043840000
2002-11-27,8294400000
2002-11-29,9072000000
2002-12-02,8976960000
2002-12-03,8726400000
2002-12-04,8536320000
2002-12-05,8605440000
2002-12-06,8726400000
2002-12-09,8424000000
2002-12-10,8562240000
2002-12-11,8812800000
2002-12-12,8640000000
2002-12-13,8536320000
2002-12-16,8752320000
2002-12-17,8795520000
2002-12-18,8449919999
2002-12-19,8424000000
2002-12-20,8242559999
2002-12-23,8328960000
2002-12-24,8346240000
2002-12-26,8190720000
2002-12-27,7948799999
2002-12-30,7992000000
2002-12-31,8124479999
2003-01-02,8324120000
2003-01-03,8237320000
2003-01-06,8202599999
2003-01-07,7950880000
2003-01-08,8193920000
2003-01-09,8280719999
2003-01-10,8523760000
2003-01-13,8463000000
2003-01-14,8202599999
2003-01-15,8246000000
2003-01-16,8332800000
2003-01-17,8167880000
2003-01-21,7872760000
2003-01-22,7968240000
2003-01-23,8055039999
2003-01-24,7985599999
2003-01-27,7716520000
2003-01-28,7985599999
2003-01-29,8072400000
2003-01-30,8159200000
2003-01-31,8141840000
2003-02-03,8202599999
2003-02-04,8306760000
2003-02-05,8228640000
2003-02-06,8367520000
2003-02-07,8193920000
2003-02-10,8463000000
2003-02-11,8506400000
2003-02-12,8376200000
2003-02-13,8150520000
2003-02-14,8332800000
2003-02-18,8489039999
2003-02-19,8419599999
2003-02-20,8428280000
2003-02-21,8680000000
2003-02-24,8888320000
2003-02-25,8653960000
2003-02-26,8810200000
2003-02-27,8671320000
2003-02-28,8792840000
2003-03-03,8897000000
2003-03-04,8653960000
2003-03-05,8680000000
2003-03-06,8862280000
2003-03-07,8966440000
2003-03-10,8740760000
2003-03-11,8480360000
2003-03-12,8332800000
2003-03-13,8428280000
2003-03-14,8489039999
2003-03-17,8680000000
2003-03-18,9070600000
2003-03-19,8897000000
2003-03-20,9166080000
2003-03-21,8983800000
2003-03-24,8732080000
2003-03-25,8966440000
2003-03-26,8983800000
2003-03-27,9331000000
2003-03-28,9304960000
2003-03-31,9001160000
2003-04-01,9122680000
2003-04-02,9252880000
2003-04-03,8940400000
2003-04-04,8914360000
2003-04-07,9035880000
2003-04-08,9035880000
2003-04-09,9053240000
2003-04-10,9313640000
2003-04-11,9374400000
2003-04-14,9391760000
2003-04-15,9018520000
2003-04-16,8801520000
2003-04-17,9096640000
2003-04-21,9009840000
2003-04-22,9122680000
2003-04-23,9183440000
2003-04-24,9270240000
2003-04-25,9200800000
2003-04-28,9252880000
2003-04-29,9114000000
2003-04-30,9296280000
2003-05-01,9226840000
2003-05-02,9530640000
2003-05-05,9617440000
2003-05-06,9834440000
2003-05-07,10138240000
2003-05-08,10199000000
2003-05-09,10285800000
2003-05-12,10086160000
2003-05-13,10372600000
2003-05-14,10511480000
2003-05-15,10580920000
2003-05-16,10320520000
2003-05-19,10077480000
2003-05-20,10016720000
2003-05-21,10398640000
2003-05-22,10329200000
2003-05-23,10285800000
2003-05-27,10416000000
2003-05-28,10225040000
2003-05-29,10042760000
2003-05-30,10363920000
2003-06-02,10190320000
2003-06-03,10094840000
2003-06-04,10303160000
2003-06-05,10285800000
2003-06-06,10442040000
2003-06-09,10259760000
2003-06-10,10355240000
2003-06-11,10797920000
2003-06-12,10693760000
2003-06-13,10554880000
2003-06-16,10650360000
2003-06-17,10693760000
2003-06-18,10693760000
2003-06-19,10598280000
2003-06-20,10051440000
2003-06-23,9799720000
2003-06-24,9903880000
2003-06-25,10172960000
2003-06-26,10164280000
2003-06-27,10034080000
2003-06-30,10005000000
2003-07-01,9883200000
2003-07-02,9883200000
2003-07-03,9735300000
2003-07-07,9674400000
2003-07-08,9935400000
2003-07-09,10205100000
2003-07-10,9900600000
2003-07-11,9831000000
2003-07-14,9691800000
2003-07-15,9509100000
2003-07-16,9352500000
2003-07-17,9248100000
2003-07-18,9700500000
2003-07-21,9396000000
2003-07-22,9396000000
2003-07-23,9317700000
2003-07-24,9195900000
2003-07-25,9178500000
2003-07-28,9222000000
2003-07-29,9108900000
2003-07-30,9187200000
2003-07-31,9648300000
2003-08-01,9674400000
2003-08-04,9691800000
2003-08-05,9630900000
2003-08-06,9787500000
2003-08-07,10118100000
2003-08-08,10187700000
2003-08-11,10179000000
2003-08-12,10152900000
2003-08-13,10039800000
2003-08-14,10083300000
2003-08-15,10187700000
2003-08-18,10196400000
2003-08-19,10135500000
2003-08-20,10326900000
2003-08-21,10370400000
2003-08-22,10135500000
2003-08-25,10065900000
2003-08-26,10135500000
2003-08-27,10065900000
2003-08-28,10457400000
2003-08-29,10518300000
2003-09-02,10657500000
2003-09-03,10701000000
2003-09-04,10561800000
2003-09-05,10657500000
2003-09-08,10883700000
2003-09-09,10666200000
2003-09-10,10587900000
2003-09-11,10422600000
2003-09-12,10544400000
2003-09-15,10440000000
2003-09-16,10666200000
2003-09-17,10500900000
2003-09-18,10561800000
2003-09-19,10605300000
2003-09-22,10674900000
2003-09-23,10822800000
2003-09-24,10875000000
2003-09-25,10753200000
2003-09-26,10457400000
2003-09-29,10683600000
2003-09-30,10528840000
2003-10-01,10832640000
2003-10-02,10954160000
2003-10-03,11023600000
2003-10-06,10928120000
2003-10-07,11084360000
2003-10-08,10962840000
2003-10-09,10745840000
2003-10-10,10745840000
2003-10-13,10572240000
2003-10-14,10580920000
2003-10-15,10433360000
2003-10-16,10546200000
2003-10-17,10468080000
2003-10-20,10389960000
2003-10-21,10563560000
2003-10-22,10398640000
2003-10-23,10442040000
2003-10-24,10407320000
2003-10-27,10563560000
2003-10-28,10450720000
2003-10-29,10207680000
2003-10-30,10146920000
2003-10-31,10363920000
2003-11-03,10285800000
2003-11-04,10372600000
2003-11-05,10572240000
2003-11-06,10459400000
2003-11-07,10511480000
2003-11-10,10363920000
2003-11-11,10346560000
2003-11-12,10381280000
2003-11-13,10494120000
2003-11-14,10511480000
2003-11-17,10285800000
2003-11-18,10277120000
2003-11-19,10164280000
2003-11-20,10146920000
2003-11-21,10042760000
2003-11-24,10086160000
2003-11-25,10094840000
2003-11-26,10164280000
2003-11-28,10138240000
2003-12-01,10155600000
2003-12-02,10216360000
2003-12-03,10120880000
2003-12-04,10225040000
2003-12-05,10589600000
2003-12-08,10693760000
2003-12-09,10659040000
2003-12-10,10850000000
2003-12-11,10719800000
2003-12-12,11049640000
2003-12-15,10702440000
2003-12-16,10910760000
2003-12-17,11110400000
2003-12-18,11770080000
2003-12-19,11631200000
2003-12-22,11718000000
2003-12-23,11284000000
2003-12-24,11379480000
2003-12-26,11388160000
2003-12-29,11362120000
2003-12-30,11379480000
2003-12-31,11336000000
2004-01-02,11353440000
2004-01-05,11388320000
2004-01-06,11710960000
2004-01-07,11571440000
2004-01-08,11763280000
2004-01-09,12208000000
2004-01-12,12234160000
2004-01-13,12199280000
2004-01-14,11946400000
2004-01-15,11710960000
2004-01-16,11990000000
2004-01-20,12382400000
2004-01-21,12426000000
2004-01-22,12312640000
2004-01-23,12609120000
2004-01-26,12766080000
2004-01-27,12696320000
2004-01-28,12827120000
2004-01-29,13184640000
2004-01-30,13141040000
2004-02-02,13298000000
2004-02-03,13167200000
2004-02-04,13123600000
2004-02-05,12818400000
2004-02-06,12923040000
2004-02-09,13097440000
2004-02-10,13236960000
2004-02-11,13533440000
2004-02-12,13795040000
2004-02-13,13795040000
2004-02-17,13856080000
2004-02-18,13498560000
2004-02-19,13594480000
2004-02-20,13481120000
2004-02-23,13524720000
2004-02-24,13533440000
2004-02-25,13577040000
2004-02-26,13838640000
2004-02-27,13934560000
2004-03-01,14170000000
2004-03-02,13908400000
2004-03-03,13734000000
2004-03-04,13768880000
2004-03-05,13734000000
2004-03-08,13786320000
2004-03-09,13385200000
2004-03-10,13071280000
2004-03-11,12312640000
2004-03-12,12731200000
2004-03-15,12722480000
2004-03-16,12582960000
2004-03-17,13167200000
2004-03-18,13219520000
2004-03-19,12853280000
2004-03-22,12687600000
2004-03-23,12574240000
2004-03-24,12321360000
2004-03-25,12330080000
2004-03-26,12626560000
2004-03-29,12731200000
2004-03-30,13088720000
2004-03-31,13284800000
2004-04-01,13127480000
2004-04-02,13118740000
2004-04-05,12839060000
2004-04-06,12856540000
2004-04-07,12978900000
2004-04-08,13048820000
2004-04-12,13328500000
2004-04-13,13005120000
2004-04-14,13022600000
2004-04-15,13144960000
2004-04-16,13407160000
2004-04-19,13328500000
2004-04-20,13083780000
2004-04-21,13040080000
2004-04-22,13450860000
2004-04-23,13485820000
2004-04-26,13503300000
2004-04-27,13844160000
2004-04-28,13547000000
2004-04-29,13223620000
2004-04-30,13022600000
2004-05-03,13319760000
2004-05-04,13136220000
2004-05-05,12996380000
2004-05-06,12777880000
2004-05-07,12332140000
2004-05-10,12209780000
2004-05-11,12629300000
2004-05-12,12655520000
2004-05-13,12821580000
2004-05-14,12734180000
2004-05-17,12638040000
2004-05-18,12620560000
2004-05-19,12506940000
2004-05-20,12384580000
2004-05-21,12437020000
2004-05-24,12673000000
2004-05-25,12943940000
2004-05-26,12847800000
2004-05-27,12498200000
2004-05-28,12690480000
2004-06-01,12760400000
2004-06-02,12594340000
2004-06-03,12489460000
2004-06-04,12611820000
2004-06-07,12847800000
2004-06-08,12795360000
2004-06-09,12655520000
2004-06-10,12760400000
2004-06-14,12734180000
2004-06-15,12839060000
2004-06-16,13267320000
2004-06-17,13197400000
2004-06-18,13127480000
2004-06-21,13031340000
2004-06-22,13136220000
2004-06-23,13380940000
2004-06-24,13328500000
2004-06-25,13573220000
2004-06-28,13328500000
2004-06-29,13057560000
2004-06-30,13253880000
2004-07-01,13262640000
2004-07-02,13236360000
2004-07-06,13113720000
2004-07-07,13271400000
2004-07-08,13175040000
2004-07-09,13069920000
2004-07-12,12956040000
2004-07-13,12982320000
2004-07-14,13359000000
2004-07-15,13604280000
2004-07-16,13797000000
2004-07-19,13691880000
2004-07-20,13761960000
2004-07-21,13560480000
2004-07-22,13595520000
2004-07-23,13385280000
2004-07-26,13192560000
2004-07-27,13534200000
2004-07-28,13665600000
2004-07-29,13788240000
2004-07-30,13910880000
2004-08-02,13709400000
2004-08-03,13744440000
2004-08-04,13420320000
2004-08-05,13192560000
2004-08-06,12999840000
2004-08-09,13096200000
2004-08-10,13069920000
2004-08-11,12745800000
2004-08-12,12386640000
2004-08-13,12299040000
2004-08-16,12167640000
2004-08-17,11957400000
2004-08-18,12351600000
2004-08-19,12351600000
2004-08-20,12596880000
2004-08-23,12430440000
