,PNR
2022-08-03,7956865000
2022-08-04,8118075000
2022-08-09,8111495000
2022-08-11,8267770000
2022-08-12,8236515000
2022-08-15,8294090000
2022-08-17,8285865000
2022-08-18,8299025000
2022-08-22,7956865000
2022-08-26,7770980000
2022-08-30,7379470000
2022-08-31,7379470000
2022-09-02,7379470000
2022-09-06,7218260000
2022-09-08,7465010000
2022-09-09,7738080000
2022-09-13,7558775000
2022-09-15,7386050000
2022-09-16,7025795000
2022-09-20,6992895000
2022-09-21,6971510000
2022-09-22,6724760000
2022-09-23,6780690000
2022-09-26,6726405000
2022-09-27,6683635000
2022-09-28,6839910000
2022-09-30,6839910000
2022-10-03,6854715000
2022-10-04,7116270000
2022-10-05,6922160000
2022-10-06,6973155000
2022-10-07,6922160000
2022-10-12,6719825000
2022-10-13,6846490000
2022-10-17,6867875000
2022-10-18,7032375000
2022-10-19,6747790000
2022-10-20,6662250000
2022-10-21,6662250000
2022-10-24,6670475000
2022-10-25,7274190000
2022-10-26,6895840000
2022-10-27,6909000000
2022-10-28,6992895000
2022-10-31,7075145000
2022-11-02,6925450000
2022-11-03,6667185000
2022-11-04,6663895000
2022-11-07,6757660000
2022-11-08,6925450000
2022-11-09,6764240000
2022-11-10,7407435000
2022-11-11,7389340000
2022-11-14,7639380000
2022-11-15,7693665000
2022-11-17,7262675000
2022-11-18,7300510000
2022-11-21,7367955000
2022-11-22,7420595000
2022-11-29,7420595000
2022-11-30,7239645000
2022-12-01,7757819999
2022-12-02,7576870000
2022-12-06,7328475000
2022-12-09,7394275000
2022-12-12,7484750000
2022-12-13,7747950000
2022-12-14,7680505000
2022-12-16,7224840000
2022-12-19,7302155000
2022-12-20,7218260000
2022-12-21,7303800000
2022-12-23,7282415000
2022-12-28,7358084999
2022-12-30,7367955000
2023-01-03,7422592000
2023-01-04,7679680000
2023-01-09,7890624000
2023-01-10,7893920000
2023-01-11,8160896000
2023-01-12,8249888000
2023-01-13,8332288000
2023-01-17,8360303999
2023-01-18,8361952000
2023-01-19,7974672000
2023-01-23,8231760000
2023-01-24,8317456000
2023-01-25,8213632000
2023-01-26,8297680000
2023-01-27,8396560000
2023-01-31,8965120000
2023-02-01,9284832000
2023-02-02,9848448000
2023-02-03,9766048000
2023-02-06,9606192000
2023-02-07,9469408000
2023-02-08,9337568000
2023-02-09,9398544000
2023-02-10,9106848000
2023-02-13,9227152000
2023-02-14,9152992000
2023-02-15,9368880000
2023-02-16,9246928000
2023-02-17,9227152000
2023-02-21,8991488000
2023-02-22,9077184000
2023-02-23,9031040000
2023-02-24,9172768000
2023-02-27,9232096000
2023-02-28,9299664000
2023-03-01,9129920000
2023-03-02,9031040000
2023-03-03,9304608000
2023-03-06,9311200000
2023-03-07,9222208000
2023-03-08,9204080000
2023-03-09,9228800000
2023-03-10,8752528000
2023-03-13,8673424000
2023-03-14,8764064000
2023-03-15,8417984000
2023-03-16,8594320000
2023-03-17,8375136000
2023-03-20,8416336000
2023-03-21,8709680000
2023-03-22,8640464000
2023-03-23,8571248000
2023-03-24,8427872000
2023-03-27,8706384000
2023-03-29,8890960000
2023-03-30,8963472000
2023-03-31,9014560000
2023-04-04,8903400000
2023-04-05,8647650000
2023-04-06,8611350000
2023-04-11,8472750000
2023-04-12,8796150000
2023-04-13,8743350000
2023-04-14,8741700000
2023-04-18,8819250000
2023-04-20,8649300000
2023-04-21,8764800000
2023-04-24,8850600000
2023-04-25,8840700000
2023-04-26,8759850000
2023-04-27,9350550000
2023-04-28,9533700000
2023-05-02,9325800000
2023-05-03,9545250000
2023-05-04,9512250000
2023-05-05,9520500000
2023-05-10,9850500000
2023-05-11,9637650000
2023-05-12,9677250000
2023-05-15,9677250000
2023-05-16,9581550000
2023-05-17,9690450000
2023-05-18,9736650000
2023-05-19,9753150000
2023-05-22,9736650000
2023-05-23,9603000000
2023-05-24,9352200000
2023-05-25,9324150000
2023-05-26,9507300000
2023-05-30,9434700000
2023-05-31,9178950000
2023-06-01,9218550000
2023-06-02,9528750000
2023-06-05,9667350000
2023-06-06,9748200000
2023-06-07,9937950000
2023-06-08,9873600000
2023-06-09,9746550000
2023-06-12,9801000000
2023-06-13,9999000000
2023-06-14,10017150000
2023-06-15,10027050000
2023-06-16,10056750000
2023-06-19,10099650000
2023-06-20,9962700000
2023-06-21,10023750000
2023-06-22,9980850000
2023-06-23,9883500000
2023-06-26,10003950000
2023-06-27,10271250000
2023-06-28,10271250000
2023-06-29,10467600000
2023-06-30,10609500000
2023-07-03,10581060000
2023-07-05,10468724000
2023-07-06,10280396000
2023-07-07,10523240000
2023-07-10,10554628000
2023-07-11,10906504000
2023-07-12,10992408000
2023-07-13,11038663999
2023-07-14,10744608000
2023-07-17,10893288000
2023-07-18,10904852000
2023-07-19,10875116000
2023-07-20,10876768000
2023-07-21,11012232000
2023-07-24,11025448000
2023-07-25,11005624000
2023-07-26,10964324000
2023-07-27,11446708000
2023-07-28,11509484000
2023-07-31,11359152000
2023-08-01,11489660000
2023-08-02,11428536000
2023-08-03,11331068000
2023-08-04,11639991999
2023-08-07,11734156000
2023-08-08,11697812000
2023-08-09,11755632000
2023-08-10,11752328000
2023-08-11,11575563999
2023-08-14,11535916000
2023-08-15,11380628000
2023-08-16,11352544000
2023-08-17,11170824000
2023-08-18,11013884000
2023-08-21,10880072000
2023-08-22,10939544000
2023-08-28,11198908000
2023-08-29,11359152000
2023-08-30,11443404000
2023-08-31,11653208000
2023-09-01,11679640000
2023-09-05,11450012000
2023-09-06,11412016000
2023-09-07,11476444000
2023-09-11,11301332000
2023-09-12,11296376000
2023-09-13,11051880000
2023-09-14,11037012000
2023-09-15,10984148000
2023-09-18,11126220000
2023-09-19,10908156000
2023-09-20,11139436000
2023-09-21,10767736000
2023-09-22,10738000000
2023-09-25,10893288000
2023-09-26,10648791999
2023-09-27,10571148000
2023-09-28,10800776000
2023-09-29,10728088000
2023-10-02,10559364000
2023-10-03,10461837000
2023-10-04,10506468000
2023-10-05,10385799000
2023-10-06,10399023000
2023-10-09,10352739000
2023-10-10,10808967000
2023-10-11,10770948000
2023-10-12,10817232000
2023-10-13,10260171000
2023-10-16,10531263000
2023-10-17,10734582000
2023-10-18,10412247000
2023-10-19,10580853000
2023-10-20,10294884000
2023-10-23,10392411000
2023-10-24,9841962000
2023-10-25,9627072000
2023-10-26,9595665000
2023-10-27,9709722000
2023-10-30,9623766000
2023-10-31,9668397000
2023-11-01,9627072000
2023-11-02,9906429000
2023-11-03,10248600000
2023-11-06,10033710000
2023-11-07,10109748000
2023-11-08,10147767000
2023-11-09,10184133000
2023-11-10,10012221000
2023-11-13,10127931000
2023-11-14,10513080000
2023-11-15,10613912999
2023-11-16,10408941000
2023-11-17,10374228000
2023-11-20,10284966000
2023-11-21,10327944000
2023-11-22,10420512000
2023-11-24,10392411000
