,ROK
2000-05-12,7113600000
2000-05-15,7091136000
2000-05-16,7124832000
2000-05-17,7605936000
2000-05-18,7570368000
2000-05-19,7476768000
2000-05-22,7757568000
2000-05-23,7534800000
2000-05-24,7686432000
2000-05-25,7617168000
2000-05-26,7746336000
2000-05-30,7570368000
2000-05-31,7675200000
2000-06-01,7851168000
2000-06-02,7793136000
2000-06-05,7826832000
2000-06-06,7710768000
2000-06-07,7418736000
2000-06-08,7371936000
2000-06-09,7358832000
2000-06-12,7195968000
2000-06-13,7102368000
2000-06-14,6961968000
2000-06-15,7113600000
2000-06-16,7078032000
2000-06-19,6739200000
2000-06-20,6166368000
2000-06-21,6235632000
2000-06-22,6342336000
2000-06-23,6248736000
2000-06-26,6271200000
2000-06-27,6282432000
2000-06-28,6113951999
2000-06-29,5990400000
2000-06-30,5748750000
2000-07-03,5794375000
2000-07-05,5931250000
2000-07-06,5920300000
2000-07-07,6046225000
2000-07-10,6022500000
2000-07-11,6033450000
2000-07-12,6113750000
2000-07-13,6239675000
2000-07-14,6843750000
2000-07-17,6730600000
2000-07-18,6639350000
2000-07-19,6639350000
2000-07-20,6650300000
2000-07-21,6661250000
2000-07-24,6695925000
2000-07-25,6559050000
2000-07-26,6444075000
2000-07-27,6478750000
2000-07-28,6489700000
2000-07-31,6398450000
2000-08-01,6615625000
2000-08-02,6580950000
2000-08-03,6548100000
2000-08-04,6422175000
2000-08-07,6580950000
2000-08-08,6832800000
2000-08-09,6843750000
2000-08-10,6821850000
2000-08-11,6832800000
2000-08-14,6924050000
2000-08-15,7004350000
2000-08-16,7117500000
2000-08-17,7049975000
2000-08-18,6958725000
2000-08-21,7163125000
2000-08-22,7186850000
2000-08-23,7082825000
2000-08-24,7186850000
2000-08-25,7493450000
2000-08-28,7300000000
2000-08-29,7278100000
2000-08-30,7152175000
2000-08-31,7380300000
2000-09-01,7219700000
2000-09-05,7152175000
2000-09-06,7243425000
2000-09-07,7232475000
2000-09-08,7152175000
2000-09-11,7208750000
2000-09-12,7208750000
2000-09-13,7117500000
2000-09-14,7117500000
2000-09-15,6969675000
2000-09-18,5566250000
2000-09-19,5246875000
2000-09-20,5133725000
2000-09-21,5155625000
2000-09-22,5201250000
2000-09-25,5212200000
2000-09-26,5144675000
2000-09-27,5190300000
2000-09-28,5475000000
2000-09-29,5531575000
2000-10-02,5464050000
2000-10-03,5622825000
2000-10-04,5931250000
2000-10-05,5909350000
2000-10-06,5840000000
2000-10-09,5818100000
2000-10-10,5931250000
2000-10-11,5965925000
2000-10-12,5896575000
2000-10-13,5942200000
2000-10-16,5987825000
2000-10-17,5874675000
2000-10-18,5850950000
2000-10-19,6000600000
2000-10-20,6433125000
2000-10-23,7356575000
2000-10-24,6854700000
2000-10-25,6843750000
2000-10-26,6832800000
2000-10-27,6695925000
2000-10-30,6878425000
2000-10-31,7174075000
2000-11-01,7265325000
2000-11-02,7539075000
2000-11-03,7688725000
2000-11-06,7643100000
2000-11-07,7447825000
2000-11-08,7517175000
2000-11-09,7391250000
2000-11-10,7310950000
2000-11-13,7300000000
2000-11-14,7391250000
2000-11-15,7391250000
2000-11-16,7380300000
2000-11-17,7584700000
2000-11-20,7630325000
2000-11-21,7414975000
2000-11-22,7323725000
2000-11-24,7619375000
2000-11-27,7767200000
2000-11-28,7493450000
2000-11-29,7482500000
2000-11-30,7345625000
2000-12-01,7482500000
2000-12-04,7597475000
2000-12-05,7745300000
2000-12-06,7790925000
2000-12-07,7584700000
2000-12-08,8075625000
2000-12-11,7995325000
2000-12-12,8086575000
2000-12-13,7734350000
2000-12-14,7665000000
2000-12-15,7391250000
2000-12-18,7380300000
2000-12-19,7460600000
2000-12-20,7471550000
2000-12-21,7517175000
2000-12-22,7721575000
2000-12-26,8086575000
2000-12-27,8418725000
2000-12-28,8679700000
2000-12-29,8692475000
2001-01-02,8401344000
2001-01-03,8561856000
2001-01-04,8607456000
2001-01-05,8561856000
2001-01-08,8414112000
2001-01-09,8492544000
2001-01-10,8470656000
2001-01-11,8390400000
2001-01-12,8082144000
2001-01-16,8561856000
2001-01-17,8355744000
2001-01-18,8355744000
2001-01-19,8390400000
2001-01-22,8310144000
2001-01-23,8333856000
2001-01-24,8277312000
2001-01-25,8629344000
2001-01-26,8538144000
2001-01-29,8390400000
2001-01-30,8570976000
2001-01-31,8605632000
2001-02-01,8755200000
2001-02-02,8578272000
2001-02-05,8627520000
2001-02-06,8671296000
2001-02-07,8552736000
2001-02-08,8572800000
2001-02-09,8251776000
2001-02-12,8476128000
2001-02-13,8594688000
2001-02-14,8521728000
2001-02-15,8660352000
2001-02-16,8333856000
2001-02-20,8288256000
2001-02-21,8383104000
2001-02-22,8280960000
2001-02-23,8311968000
2001-02-26,8401344000
2001-02-27,8346624000
2001-02-28,8383104000
2001-03-01,8384928000
2001-03-02,8558208000
2001-03-05,8809920000
2001-03-06,8802624000
2001-03-07,8718720000
2001-03-08,8868288000
2001-03-09,8685888000
2001-03-12,8481600000
2001-03-13,8576448000
2001-03-14,8406816000
2001-03-15,8297376000
2001-03-16,7697280000
2001-03-19,7989119999
2001-03-20,7662624000
2001-03-21,7385376000
2001-03-22,7113600000
2001-03-23,7082592000
2001-03-26,7246751999
2001-03-27,6721440000
2001-03-28,6564576000
2001-03-29,6601056000
2001-03-30,6630240000
2001-04-02,6928504000
2001-04-03,6692304999
2001-04-04,6930335000
2001-04-05,7367944000
2001-04-06,7186675000
2001-04-09,7464987000
2001-04-10,7626115000
2001-04-11,7573016000
2001-04-12,7699354999
2001-04-16,7690200000
2001-04-17,7873300000
2001-04-18,8221190000
2001-04-19,8184570000
2001-04-20,8056400000
2001-04-23,7875131000
2001-04-24,8054569000
2001-04-25,8102175000
2001-04-26,8307247000
2001-04-27,8395135000
2001-04-30,8244993000
2001-05-01,8003301000
2001-05-02,7911751000
2001-05-03,7836679999
2001-05-04,7884286000
2001-05-07,7986822000
2001-05-08,8006962999
2001-05-09,7981329000
2001-05-10,7981329000
2001-05-11,8010625000
2001-05-14,7946540000
2001-05-15,7966681000
2001-05-16,8248654999
2001-05-17,8325557000
2001-05-18,8285275000
2001-05-21,8596545000
2001-05-22,8581897000
2001-05-23,8561756000
2001-05-24,8547108000
2001-05-25,8440910000
2001-05-29,8512319000
2001-05-30,8424431000
2001-05-31,8605700000
2001-06-01,8448234000
2001-06-04,8400628000
2001-06-05,8495840000
2001-06-06,8446403000
2001-06-07,8287106000
2001-06-08,7616960000
2001-06-11,7351465000
2001-06-12,7140900000
2001-06-13,7153717000
2001-06-14,6871743000
2001-06-15,6902870000
2001-06-18,6847940000
2001-06-19,6835123000
2001-06-20,6765545000
2001-06-21,6765545000
2001-06-22,6648361000
2001-06-25,6582445000
2001-06-26,6717939000
2001-06-27,6721601000
2001-06-28,6895545999
2001-06-29,6979772000
2001-07-02,2684220000
2001-07-03,2757260000
2001-07-05,2784650000
2001-07-06,2751782000
2001-07-09,2843082000
2001-07-10,2837604000
2001-07-11,2830300000
2001-07-12,2857690000
2001-07-13,2919774000
2001-07-16,2930730000
2001-07-17,2917948000
2001-07-18,2921600000
2001-07-19,2914296000
2001-07-20,2914296000
2001-07-23,2886906000
2001-07-24,2804736000
2001-07-25,2866820000
2001-07-26,2912470000
2001-07-27,2932556000
2001-07-30,2936207999
2001-07-31,2930730000
2001-08-01,2969076000
2001-08-02,3012900000
2001-08-03,3096896000
2001-08-06,3003770000
2001-08-07,2967250000
2001-08-08,2985510000
2001-08-09,2939860000
2001-08-10,3049420000
2001-08-13,3062202000
2001-08-14,3022030000
2001-08-15,3016552000
2001-08-16,2941686000
2001-08-17,3064028000
2001-08-20,3032986000
2001-08-21,3042116000
2001-08-22,3064028000
2001-08-23,3022030000
2001-08-24,3085939999
2001-08-27,3058550000
2001-08-28,3016552000
2001-08-29,2961772000
2001-08-30,2990988000
2001-08-31,2930730000
2001-09-04,3058550000
2001-09-05,2948989999
2001-09-06,2912470000
2001-09-07,2826648000
2001-09-10,2877776000
2001-09-17,2574660000
2001-09-18,2647700000
2001-09-19,2558226000
2001-09-20,2519880000
2001-09-21,2227720000
2001-09-24,2287978000
2001-09-25,2496142000
2001-09-26,2629440000
2001-09-27,2598398000
2001-09-28,2680568000
2001-10-01,2464260000
2001-10-02,2618736000
2001-10-03,2721720000
2001-10-04,2808153000
2001-10-05,2764017000
2001-10-08,2758500000
2001-10-09,2751144000
2001-10-10,2762178000
2001-10-11,2898264000
2001-10-12,2824704000
2001-10-15,2870679000
2001-10-16,2867001000
2001-10-17,2773212000
2001-10-18,2668389000
2001-10-19,2741949000
2001-10-22,2760339000
2001-10-23,2747466000
2001-10-24,2712525000
2001-10-25,2683101000
2001-10-26,2705169000
2001-10-29,2620575000
2001-10-30,2565405000
2001-10-31,2534142000
2001-11-01,2558049000
2001-11-02,2567244000
2001-11-05,2578278000
2001-11-06,2574600000
2001-11-07,2574600000
2001-11-08,2565405000
2001-11-09,2537820000
2001-11-12,2532303000
2001-11-13,2537820000
2001-11-14,2572761000
2001-11-15,2730915000
2001-11-16,2795280000
2001-11-19,2922171000
2001-11-20,2944239000
2001-11-21,3004926000
2001-11-23,3015959999
2001-11-26,3061934999
2001-11-27,3045384000
2001-11-28,2949756000
2001-11-29,2988375000
2001-11-30,3034350000
2001-12-03,3093198000
2001-12-04,3159402000
2001-12-05,3394794000
2001-12-06,3302844000
2001-12-07,3343302000
2001-12-10,3188826000
2001-12-11,3234801000
2001-12-12,3221928000
2001-12-13,3142851000
2001-12-14,3117105000
2001-12-17,3133656000
2001-12-18,3126300000
2001-12-19,3225606000
2001-12-20,3111588000
2001-12-21,3209055000
2001-12-24,3236640000
2001-12-26,3242157000
2001-12-27,3310200000
2001-12-28,3324911999
2001-12-31,3295170000
2002-01-02,3308085000
2002-01-03,3439080000
2002-01-04,3516570000
2002-01-07,3404025000
2002-01-08,3479670000
2002-01-09,3535020000
2002-01-10,3450150000
2002-01-11,3333915000
2002-01-14,3313620000
2002-01-15,3394799999
2002-01-16,3413250000
2002-01-17,3346830000
2002-01-18,3361590000
2002-01-22,3368970000
2002-01-23,3411404999
2002-01-24,3487049999
2002-01-25,3481515000
2002-01-28,3568230000
2002-01-29,3487049999
2002-01-30,3507345000
2002-01-31,3551625000
2002-02-01,3463065000
2002-02-04,3511035000
2002-02-05,3450150000
2002-02-06,3330225000
2002-02-07,3326535000
2002-02-08,3319154999
2002-02-11,3324690000
2002-02-12,3348674999
2002-02-13,3426165000
2002-02-14,3487049999
2002-02-15,3435390000
2002-02-19,3392955000
2002-02-20,3459375000
2002-02-21,3405870000
2002-02-22,3505500000
2002-02-25,3642029999
2002-02-26,3551625000
2002-02-27,3616200000
2002-02-28,3643875000
2002-03-01,3645720000
2002-03-04,3872654999
2002-03-05,3846825000
2002-03-06,3942765000
2002-03-07,3894795000
2002-03-08,3939075000
2002-03-11,3898485000
2002-03-12,3865275000
2002-03-13,3863430000
2002-03-14,3861585000
2002-03-15,3870810000
2002-03-18,3874500000
2002-03-19,3872654999
2002-03-20,3828375000
2002-03-21,3776715000
2002-03-22,3645720000
2002-03-25,3507345000
2002-03-26,3538710000
2002-03-27,3571920000
2002-03-28,3701070000
2002-04-01,3722985000
2002-04-02,3689595000
2002-04-03,3589425000
2002-04-04,3676610000
2002-04-05,3607975000
2002-04-08,3607975000
2002-04-09,3687740000
2002-04-10,3685885000
2002-04-11,3654350000
2002-04-12,3661769999
2002-04-15,3617250000
2002-04-16,3776780000
2002-04-17,3789765000
2002-04-18,3711855000
2002-04-19,3635800000
2002-04-22,3624670000
2002-04-23,3799040000
2002-04-24,3739680000
2002-04-25,3858400000
2002-04-26,3823155000
2002-04-29,3819445000
2002-04-30,3982685000
2002-05-01,3990105000
2002-05-02,4069870000
2002-05-03,4069870000
2002-05-06,3914050000
2002-05-07,3967845000
2002-05-08,4203430000
2002-05-09,4177460000
2002-05-10,4125519999
2002-05-13,4131085000
2002-05-14,4112535000
2002-05-15,4170040000
2002-05-16,4162620000
2002-05-17,4173750000
2002-05-20,4099550000
2002-05-21,4008655000
2002-05-22,4043900000
2002-05-23,4090275000
2002-05-24,4036480000
2002-05-28,3978975000
2002-05-29,3910339999
2002-05-30,3836140000
2002-05-31,4069870000
2002-06-03,3978975000
2002-06-04,3936310000
2002-06-05,4003089999
2002-06-06,3938165000
2002-06-07,3953005000
2002-06-10,3895500000
2002-06-11,3834285000
2002-06-12,3756375000
2002-06-13,3754519999
2002-06-14,3730405000
2002-06-17,3882515000
2002-06-18,3878805000
2002-06-19,3786055000
2002-06-20,3719275000
2002-06-21,3812025000
2002-06-24,3732260000
2002-06-25,3617250000
2002-06-26,3639510000
2002-06-27,3700725000
2002-06-28,3706290000
2002-07-01,3689728000
2002-07-02,3494847999
2002-07-03,3496704000
2002-07-05,3582080000
2002-07-08,3652608000
2002-07-09,3563520000
2002-07-10,3574656000
2002-07-11,3474432000
2002-07-12,3500416000
2002-07-15,3442880000
2002-07-16,3381632000
2002-07-17,3324096000
2002-07-18,3307392000
2002-07-19,3212736000
2002-07-22,3017856000
2002-07-23,3006720000
2002-07-24,3173760000
2002-07-25,3108800000
2002-07-26,3160768000
2002-07-29,3454016000
2002-07-30,3426176000
2002-07-31,3433600000
2002-08-01,3335232000
2002-08-02,3118080000
2002-08-05,3049408000
2002-08-06,3244288000
2002-08-07,3359360000
2002-08-08,3420608000
2002-08-09,3415039999
2002-08-12,3385343999
2002-08-13,3270272000
2002-08-14,3344512000
2002-08-15,3377920000
2002-08-16,3381632000
2002-08-19,3435456000
2002-08-20,3387200000
2002-08-21,3487424000
2002-08-22,3537536000
2002-08-23,3437312000
2002-08-26,3463296000
2002-08-27,3457728000
2002-08-28,3461439999
2002-08-29,3303680000
2002-08-30,3418752000
2002-09-03,3340800000
2002-09-04,3437312000
2002-09-05,3389056000
2002-09-06,3418752000
2002-09-09,3448447999
2002-09-10,3424320000
2002-09-11,3470720000
2002-09-12,3359360000
2002-09-13,3311104000
2002-09-16,3324096000
2002-09-17,3277696000
2002-09-18,3266560000
2002-09-19,3153343999
2002-09-20,3192320000
2002-09-23,3103232000
2002-09-24,3032704000
2002-09-25,3147776000
2002-09-26,3251712000
2002-09-27,3025280000
2002-09-30,3019712000
2002-10-01,3157056000
2002-10-02,3017856000
2002-10-03,3047552000
2002-10-04,2993728000
2002-10-07,2876800000
2002-10-08,2871232000
2002-10-09,2787712000
2002-10-10,2906496000
2002-10-11,2982592000
2002-10-14,2941760000
2002-10-15,3090239999
2002-10-16,2945472000
2002-10-17,3064256000
2002-10-18,3131072000
2002-10-21,3238720000
2002-10-22,3151488000
2002-10-23,3183039999
2002-10-24,3106943999
2002-10-25,3099520000
2002-10-28,3108800000
2002-10-29,3071680000
2002-10-30,3080960000
2002-10-31,3071680000
2002-11-01,3106943999
2002-11-04,3162624000
2002-11-05,3183039999
2002-11-06,3192320000
2002-11-07,3277696000
2002-11-08,3281408000
2002-11-11,3377920000
2002-11-12,3405760000
2002-11-13,3470720000
2002-11-14,3645184000
2002-11-15,3628480000
2002-11-18,3585792000
2002-11-19,3595072000
2002-11-20,3669312000
2002-11-21,3695296000
2002-11-22,3823360000
2002-11-25,3860480000
2002-11-26,3789952000
2002-11-27,3968128000
2002-11-29,3906880000
2002-12-02,3897600000
2002-12-03,3841920000
2002-12-04,3789952000
2002-12-05,3743552000
2002-12-06,3737984000
2002-12-09,3767680000
2002-12-10,3795520000
2002-12-11,3830784000
2002-12-12,3808512000
2002-12-13,3918016000
2002-12-16,4038656000
2002-12-17,3966272000
2002-12-18,3873472000
2002-12-19,3819647999
2002-12-20,3838208000
2002-12-23,3804800000
2002-12-24,3791808000
2002-12-26,3823360000
2002-12-27,3723136000
2002-12-30,3834496000
2002-12-31,3843776000
2003-01-02,3968128000
2003-01-03,3867904000
2003-01-06,3916160000
2003-01-07,3927296000
2003-01-08,3892032000
2003-01-09,3992256000
2003-01-10,4203839999
2003-01-13,4278080000
2003-01-14,4333760000
2003-01-15,4402432000
2003-01-16,4357888000
2003-01-17,4231680000
2003-01-21,4172288000
2003-01-22,4205696000
2003-01-23,4292928000
2003-01-24,4161152000
2003-01-27,4073920000
2003-01-28,4044224000
2003-01-29,4083200000
2003-01-30,4120320000
2003-01-31,4278080000
2003-02-03,4387584000
2003-02-04,4274368000
2003-02-05,4224256000
2003-02-06,4185280000
2003-02-07,4105472000
2003-02-10,4177856000
2003-02-11,4138880000
2003-02-12,4040512000
2003-02-13,3960704000
2003-02-14,4138880000
2003-02-18,4198272000
2003-02-19,4255808000
2003-02-20,4252096000
2003-02-21,4356032000
2003-02-24,4305920000
2003-02-25,4226112000
2003-02-26,4179712000
2003-02-27,4281792000
2003-02-28,4270656000
2003-03-03,4220543999
2003-03-04,4140736000
2003-03-05,4213120000
2003-03-06,4157439999
2003-03-07,3995968000
2003-03-10,3884608000
2003-03-11,3647039999
2003-03-12,3557952000
2003-03-13,3827072000
2003-03-14,3827072000
2003-03-17,3981120000
2003-03-18,4060928000
2003-03-19,4040512000
2003-03-20,4120320000
2003-03-21,4172288000
2003-03-24,4001536000
2003-03-25,4105472000
2003-03-26,3966272000
2003-03-27,3934720000
2003-03-28,3841920000
2003-03-31,3829500000
2003-04-01,3835050000
2003-04-02,3922000000
2003-04-03,3870200000
2003-04-04,3842450000
2003-04-07,3922000000
2003-04-08,3872050000
2003-04-09,3857250000
2003-04-10,3922000000
2003-04-11,3868350000
2003-04-14,3931250000
2003-04-15,3909050000
2003-04-16,3849850000
2003-04-17,3944200000
2003-04-21,3992299999
2003-04-22,4206899999
2003-04-23,4153250000
2003-04-24,4058900000
2003-04-25,4008950000
2003-04-28,4136600000
2003-04-29,4181000000
2003-04-30,4218000000
2003-05-01,4153250000
2003-05-02,4234650000
2003-05-05,4181000000
2003-05-06,4206899999
2003-05-07,4125500000
2003-05-08,4094050000
2003-05-09,4190249999
2003-05-12,4206899999
2003-05-13,4197650000
2003-05-14,4116250000
2003-05-15,4171750000
2003-05-16,4206899999
2003-05-19,4021899999
2003-05-20,3992299999
2003-05-21,4021899999
2003-05-22,4064450000
2003-05-23,4075550000
2003-05-27,4271650000
2003-05-28,4205050000
2003-05-29,4255000000
2003-05-30,4375250000
2003-06-02,4438150000
2003-06-03,4512150000
2003-06-04,4608350000
2003-06-05,4693450000
2003-06-06,4674950000
2003-06-09,4526950000
2003-06-10,4538050000
2003-06-11,4615750000
2003-06-12,4626850000
2003-06-13,4549150000
2003-06-16,4615750000
2003-06-17,4567650000
2003-06-18,4525100000
2003-06-19,4462200000
2003-06-20,4495500000
2003-06-23,4460350000
2003-06-24,4380800000
2003-06-25,4369700000
2003-06-26,4458500000
2003-06-27,4441850000
2003-06-30,4419936000
2003-07-01,4444038000
2003-07-02,4586796000
2003-07-03,4507074000
2003-07-07,4657248000
2003-07-08,4696182000
2003-07-09,4488534000
2003-07-10,4457016000
2003-07-11,4457016000
2003-07-14,4481118000
2003-07-15,4440330000
2003-07-16,4418082000
2003-07-17,4444038000
2003-07-18,4586796000
2003-07-21,4570110000
2003-07-22,4790736000
2003-07-23,4907538000
2003-07-24,4868604000
2003-07-25,5037318000
2003-07-28,4864896000
2003-07-29,4757364000
2003-07-30,4696182000
2003-07-31,4790736000
2003-08-01,4787028000
2003-08-04,4838940000
2003-08-05,4785174000
2003-08-06,4768488000
2003-08-07,4712868000
2003-08-08,4738824000
2003-08-11,4787028000
2003-08-12,4792590000
2003-08-13,4761072000
2003-08-14,4888998000
2003-08-15,4872312000
2003-08-18,5016924000
2003-08-19,5033610000
2003-08-20,5005800000
2003-08-21,5024340000
2003-08-22,4957596000
2003-08-25,4831524000
2003-08-26,4903830000
2003-08-27,4927932000
2003-08-28,5050296000
2003-08-29,5046588000
2003-09-02,5068836000
2003-09-03,5098500000
2003-09-04,5085522000
2003-09-05,5007654000
2003-09-08,5026194000
2003-09-09,5024340000
2003-09-10,4705452000
2003-09-11,4903830000
2003-09-12,5003946000
2003-09-15,5057712000
2003-09-16,5117040000
2003-09-17,5115186000
2003-09-18,5252382000
2003-09-19,5293170000
2003-09-22,5170806000
2003-09-23,5193054000
2003-09-24,5035464000
2003-09-25,4950180000
2003-09-26,4907538000
2003-09-29,4916808000
2003-09-30,4890375000
2003-10-01,4951854000
2003-10-02,5102757000
2003-10-03,5158647000
2003-10-06,5169825000
2003-10-07,5169825000
2003-10-08,5212674000
2003-10-09,5255523000
2003-10-10,5235030000
2003-10-13,5300235000
2003-10-14,5357988000
2003-10-15,5382207000
2003-10-16,5339358000
2003-10-17,5315139000
2003-10-20,5453001000
2003-10-21,5471631000
2003-10-22,5337495000
2003-10-23,5378481000
2003-10-24,5365440000
2003-10-27,5479083000
2003-10-28,5469768000
2003-10-29,5589000000
2003-10-30,5669109000
2003-10-31,5784615000
2003-11-03,5855409000
2003-11-04,5859135000
2003-11-05,5896395000
2003-11-06,6153489000
2003-11-07,6151626000
2003-11-10,5952285000
2003-11-11,5950422000
2003-11-12,5974641000
2003-11-13,5855409000
2003-11-14,5877765000
2003-11-17,5747355000
2003-11-18,5760396000
2003-11-19,5814423000
2003-11-20,5797656000
2003-11-21,5860998000
2003-11-24,6146037000
2003-11-25,6203789999
2003-11-26,6173982000
2003-11-28,6194475000
2003-12-01,6328611000
2003-12-02,6323022000
2003-12-03,6345378000
2003-12-04,6406857000
2003-12-05,6442254000
2003-12-08,6287625000
2003-12-09,6442254000
2003-12-10,6416172000
2003-12-11,6539130000
2003-12-12,6524226000
2003-12-15,6585705000
2003-12-16,6460884000
2003-12-17,6568938000
2003-12-18,6570801000
2003-12-19,6563348999
2003-12-22,6587568000
2003-12-23,6602472000
2003-12-24,6598746000
2003-12-26,6660225000
2003-12-29,6678855000
2003-12-30,6634143000
2003-12-31,6646520000
2004-01-02,6478490000
2004-01-05,6392608000
2004-01-06,6510228999
2004-01-07,6721200000
2004-01-08,6739870000
2004-01-09,6704396999
2004-01-12,6702530000
2004-01-13,6674525000
2004-01-14,6773476000
2004-01-15,6795880000
2004-01-16,6879895000
2004-01-20,6745471000
2004-01-21,6616648000
2004-01-22,6491559000
2004-01-23,6441150000
2004-01-26,6547569000
2004-01-27,6213376000
2004-01-28,6146164000
2004-01-29,5965065000
2004-01-30,6080819000
2004-02-02,5836242000
2004-02-03,5735424000
2004-02-04,5642074000
2004-02-05,5750360000
2004-02-06,5866114000
2004-02-09,5918390000
2004-02-10,5853045000
2004-02-11,6047213000
2004-02-12,6095755000
2004-02-13,6060282000
2004-02-17,6050946999
2004-02-18,5948262000
2004-02-19,5862380000
2004-02-20,5685015000
2004-02-23,5675680000
2004-02-24,5554325000
2004-02-25,5690616000
2004-02-26,5750360000
2004-02-27,5686882000
2004-03-01,5673813000
2004-03-02,5589798000
2004-03-03,5645808000
2004-03-04,5601000000
2004-03-05,5569261000
2004-03-08,5462842000
2004-03-09,5334019000
2004-03-10,5449773000
2004-03-11,5440438000
2004-03-12,5713020000
2004-03-15,5830641000
2004-03-16,5830641000
2004-03-17,6022942000
2004-03-18,5974400000
2004-03-19,6011740000
2004-03-22,5849311000
2004-03-23,5927725000
2004-03-24,6123759999
2004-03-25,6181637000
2004-03-26,6181637000
2004-03-29,6312327000
2004-03-30,6480357000
2004-03-31,6413950000
2004-04-01,6447250000
2004-04-02,6565650000
2004-04-05,6669249999
2004-04-06,6650750000
2004-04-07,6512000000
2004-04-08,6500900000
2004-04-12,6504599999
2004-04-13,6384350000
2004-04-14,6290000000
2004-04-15,6232650000
2004-04-16,6380650000
2004-04-19,6399150000
2004-04-20,6302950000
2004-04-21,6384350000
2004-04-22,6456500000
2004-04-23,6375100000
2004-04-26,6365849999
2004-04-27,6293700000
2004-04-28,6145700000
2004-04-29,6127200000
2004-04-30,6047650000
2004-05-03,6105000000
2004-05-04,6269650000
2004-05-05,6271500000
2004-05-06,6225250000
2004-05-07,6167900000
2004-05-10,5847850000
2004-05-11,6031000000
2004-05-12,6108700000
2004-05-13,6014350000
2004-05-14,6095750000
2004-05-17,5857100000
2004-05-18,5947750000
2004-05-19,6040250000
2004-05-20,6003250000
2004-05-21,6008799999
2004-05-24,6056900000
2004-05-25,6108700000
2004-05-26,6186400000
2004-05-27,6269650000
2004-05-28,6264100000
2004-06-01,6304800000
2004-06-02,6301100000
2004-06-03,6153100000
2004-06-04,6129050000
2004-06-07,6260400000
2004-06-08,6336250000
2004-06-09,6230800000
2004-06-10,6278900000
2004-06-14,6297400000
2004-06-15,6445400000
2004-06-16,6458349999
2004-06-17,6478700000
2004-06-18,6549000000
2004-06-21,6478700000
2004-06-22,6484249999
2004-06-23,6580450000
2004-06-24,6632250000
2004-06-25,6845000000
2004-06-28,6739550000
2004-06-29,6861650000
2004-06-30,6920595000
2004-07-01,6909525000
2004-07-02,6796980000
2004-07-06,6750855000
2004-07-07,6778530000
2004-07-08,6610635000
2004-07-09,6678900000
2004-07-12,6645690000
2004-07-13,6625394999
2004-07-14,6627240000
2004-07-15,6710265000
2004-07-16,6675210000
2004-07-19,6680745000
2004-07-20,6686280000
2004-07-21,6651224999
2004-07-22,6665985000
2004-07-23,6577425000
2004-07-26,6568200000
2004-07-27,6636465000
2004-07-28,6929820000
2004-07-29,6953805000
2004-07-30,6902144999
2004-08-02,6900300000
2004-08-03,6837570000
2004-08-04,6957495000
2004-08-05,6918750000
2004-08-06,6688125000
2004-08-09,6660450000
2004-08-10,6940890000
2004-08-11,6885540000
2004-08-12,6796980000
2004-08-13,6765615000
2004-08-16,6843105000
2004-08-17,7007309999
2004-08-18,7066349999
2004-08-19,6988860000
2004-08-20,7066349999
2004-08-23,7105095000
