,CSX
2002-02-25,7901094779
2002-02-26,7901094779
2002-02-27,8091942480
2002-02-28,8015603400
2002-03-01,8206451100
2002-03-04,8588146500
2002-03-05,8320959720
2002-03-06,8549976960
2002-03-07,8702655120
2002-03-08,8206451100
2002-03-11,8282790180
2002-03-12,8130112020
2002-03-13,8168281560
2002-03-14,8053772940
2002-03-15,8130112020
2002-03-18,8015603400
2002-03-19,8168281560
2002-03-20,8168281560
2002-03-21,7977433859
2002-03-22,7977433859
2002-03-25,7824755699
2002-03-26,7939264320
2002-03-27,8130112020
2002-03-28,8091942480
2002-04-01,7958059200
2002-04-02,7881539400
2002-04-03,7690239899
2002-04-04,7843279499
2002-04-05,7766759699
2002-04-08,7766759699
2002-04-09,7766759699
2002-04-10,7996319099
2002-04-11,7766759699
2002-04-12,7958059200
2002-04-15,7728499800
2002-04-16,7958059200
2002-04-17,7919799299
2002-04-18,7766759699
2002-04-19,7805019600
2002-04-22,7422420600
2002-04-23,7422420600
2002-04-24,7422420600
2002-04-25,7690239899
2002-04-26,7805019600
2002-04-29,7575460200
2002-04-30,7690239899
2002-05-01,7805019600
2002-05-02,7805019600
2002-05-03,7843279499
2002-05-06,7651980000
2002-05-07,7651980000
2002-05-08,7843279499
2002-05-09,7651980000
2002-05-10,7575460200
2002-05-13,7537200300
2002-05-14,7690239899
2002-05-15,7651980000
2002-05-16,7575460200
2002-05-17,7613720100
2002-05-20,7498940400
2002-05-21,7231121100
2002-05-22,7231121100
2002-05-23,7384160700
2002-05-24,7345900800
2002-05-28,7231121100
2002-05-29,7269381000
2002-05-30,7231121100
2002-05-31,7307640900
2002-06-03,7192861200
2002-06-04,7154601300
2002-06-05,7231121100
2002-06-06,7231121100
2002-06-07,7345900800
2002-06-10,7422420600
2002-06-11,7345900800
2002-06-12,7231121100
2002-06-13,7192861200
2002-06-14,7154601300
2002-06-17,7345900800
2002-06-18,7345900800
2002-06-19,7307640900
2002-06-20,7345900800
2002-06-21,7231121100
2002-06-24,7345900800
2002-06-25,7039821600
2002-06-26,7192861200
2002-06-27,7460680500
2002-06-28,7477739100
2002-07-01,7669476000
2002-07-02,7592781240
2002-07-03,7477739100
2002-07-05,7707823379
2002-07-08,7516086480
2002-07-09,7324349580
2002-07-10,7286002200
2002-07-11,7209307440
2002-07-12,7094265300
