,CDW
2014-06-02,5019198000
2014-06-03,5032814000
2014-06-04,5066854000
2014-06-05,5102596000
2014-06-06,5117914000
2014-06-09,5153656000
2014-06-10,5184292000
2014-06-11,5184292000
2014-06-12,5157060000
2014-06-13,5191100000
2014-06-16,5228544000
2014-06-17,5332366000
2014-06-18,5330664000
2014-06-19,5403850000
2014-06-20,5463420000
2014-06-23,5442996000
2014-06-24,5405552000
2014-06-25,5483844000
2014-06-26,5454909999
2014-06-27,5391936000
2014-06-30,5448292000
2014-07-01,5477344999
2014-07-02,5528615000
2014-07-03,5554250000
2014-07-07,5393604000
2014-07-08,5417530000
2014-07-09,5470509000
2014-07-10,5450001000
2014-07-11,5379932000
2014-07-14,5383350000
2014-07-15,5326953000
2014-07-16,5357715000
2014-07-17,5333789000
2014-07-18,5345752000
2014-07-21,5316699000
2014-07-22,5326953000
2014-07-23,5328662000
2014-07-24,5356006000
2014-07-25,5299609000
2014-07-28,5297900000
2014-07-29,5318408000
2014-07-30,5345752000
2014-07-31,5279101000
2014-08-01,5294482000
2014-08-04,5253466000
2014-08-05,5301318000
2014-08-06,5316699000
2014-08-07,5236376000
2014-08-08,5272265000
2014-08-11,5304736000
2014-08-12,5344043000
2014-08-13,5407276000
2014-08-14,5458546000
2014-08-15,5480763000
2014-08-18,5586721000
2014-08-19,5639700000
2014-08-20,5622610000
2014-08-21,5667043999
2014-08-22,5660208000
2014-08-25,5680716000
2014-08-26,5721731999
2014-08-27,5702933000
2014-08-28,5631155000
2014-08-29,5646536000
2014-09-02,5663626000
2014-09-03,5415821000
2014-09-04,5361133000
2014-09-05,5410694000
2014-09-08,5407276000
2014-09-09,5369678000
2014-09-10,5359424000
2014-09-11,5337207000
2014-09-12,5362842000
2014-09-15,5267138000
2014-09-16,5297900000
2014-09-17,5354297000
2014-09-18,5431202000
2014-09-19,5436329000
2014-09-22,5349170000
2014-09-23,5210741000
2014-09-24,5292773000
2014-09-25,5185106000
2014-09-26,5224413000
2014-09-29,5238085000
2014-09-30,5328180000
2014-10-01,5209776000
2014-10-02,5165160000
2014-10-03,5271552000
2014-10-06,5245812000
2014-10-07,5172024000
2014-10-08,5175456000
2014-10-09,5113680000
2014-10-10,4978116000
2014-10-13,4866576000
2014-10-14,4876872000
2014-10-15,4878588000
2014-10-16,4847700000
2014-10-17,4984980000
2014-10-20,4967820000
2014-10-21,5111964000
2014-10-22,5065632000
2014-10-23,5127408000
2014-10-24,5141136000
2014-10-27,5125692000
2014-10-28,5206344000
2014-10-29,5148000000
2014-10-30,5170308000
2014-10-31,5292144000
2014-11-03,5329896000
2014-11-04,5326464000
2014-11-05,5376228000
2014-11-06,5573567999
2014-11-07,5592444000
2014-11-10,5619900000
2014-11-11,5592444000
2014-11-12,5571852000
2014-11-13,5589012000
2014-11-14,5654220000
2014-11-17,5640492000
2014-11-18,5703984000
2014-11-19,5645640000
2014-11-20,5647355999
2014-11-21,5750316000
2014-11-24,5990555999
2014-11-25,5992272000
2014-11-26,6019728000
2014-11-28,6019728000
2014-12-01,5908188000
2014-12-02,5901324000
2014-12-03,5762328000
2014-12-04,5858424000
2014-12-05,5896176000
2014-12-08,5825820000
2014-12-09,5860140000
2014-12-10,5834400000
2014-12-11,5853276000
2014-12-12,5891028000
2014-12-15,5698836000
2014-12-16,5707416000
2014-12-17,5813808000
2014-12-18,5947655999
2014-12-19,5981976000
2014-12-22,6019728000
2014-12-23,6110676000
2014-12-24,6134700000
2014-12-26,6163872000
2014-12-29,6131267999
2014-12-30,6064344000
2014-12-31,6052757000
2015-01-02,5999406000
2015-01-05,5935729000
2015-01-06,5849679000
2015-01-07,5971870000
2015-01-08,6121597000
2015-01-09,6145691000
2015-01-12,6145691000
2015-01-13,6243788000
2015-01-14,6111271000
2015-01-15,6088898000
2015-01-16,6156017000
2015-01-20,6111271000
2015-01-21,6100945000
2015-01-22,6150854000
2015-01-23,6150854000
2015-01-26,6142249000
2015-01-27,5956381000
2015-01-28,5949497000
2015-01-29,5982196000
2015-01-30,5896146000
2015-02-02,5897867000
2015-02-03,6069967000
2015-02-04,6045873000
2015-02-05,6102666000
2015-02-06,6192157999
2015-02-09,6204204999
2015-02-10,6264440000
2015-02-11,6193879000
2015-02-12,6264440000
2015-02-13,6372863000
2015-02-17,6486449000
2015-02-18,6529474000
2015-02-19,6503659000
2015-02-20,6496775000
2015-02-23,6536357999
2015-02-24,6555289000
2015-02-25,6544963000
2015-02-26,6569057000
2015-02-27,6476123000
2015-03-02,6539800000
2015-03-03,6570778000
2015-03-04,6544963000
2015-03-05,6496775000
2015-03-06,6434819000
2015-03-09,6421051000
2015-03-10,6260998000
2015-03-11,6212810000
2015-03-12,6121597000
2015-03-13,6186995000
2015-03-16,6254114000
2015-03-17,6240346000
2015-03-18,6322954000
2015-03-19,6422772000
2015-03-20,6500217000
2015-03-23,6536357999
2015-03-24,6510543000
2015-03-25,6431377000
2015-03-26,6362537000
2015-03-27,6508822000
2015-03-30,6496775000
2015-03-31,6368040000
2015-04-01,6282540000
2015-04-02,6270570000
2015-04-06,6313320000
2015-04-07,6357780000
2015-04-08,6489450000
2015-04-09,6561270000
2015-04-10,6569820000
2015-04-13,6578370000
2015-04-14,6503130000
2015-04-15,6576660000
2015-04-16,6530490000
2015-04-17,6468930000
2015-04-20,6551010000
2015-04-21,6621120000
2015-04-22,6657030000
2015-04-23,6672420000
2015-04-24,6646770000
2015-04-27,6622829999
2015-04-28,6622829999
2015-04-29,6598890000
2015-04-30,6552720000
2015-05-01,6612570000
2015-05-04,6638220000
2015-05-05,6646770000
2015-05-06,6607440000
2015-05-07,6321870000
2015-05-08,6275700000
2015-05-11,6277410000
2015-05-12,6315030000
2015-05-13,6325290000
2015-05-14,6390270000
2015-05-15,6426180000
2015-05-18,6419340000
2015-05-19,6287670000
2015-05-20,6279120000
2015-05-21,6344100000
2015-05-22,6332130000
2015-05-26,6227820000
2015-05-27,6304770000
2015-05-28,6318450000
2015-05-29,6344100000
2015-06-01,6327000000
2015-06-02,6306480000
2015-06-03,6321870000
2015-06-04,6238079999
2015-06-05,6255180000
2015-06-08,6224400000
2015-06-09,6255180000
2015-06-10,6344100000
2015-06-11,6304770000
2015-06-12,6279120000
2015-06-15,6256890000
2015-06-16,6229530000
2015-06-17,6275700000
2015-06-18,6402240000
2015-06-19,6292799999
2015-06-22,6321870000
2015-06-23,6344100000
2015-06-24,6243210000
2015-06-25,6236370000
2015-06-26,6036299999
2015-06-29,5913180000
2015-06-30,5813888000
2015-07-01,5876640000
2015-07-02,5842720000
2015-07-06,5786752000
2015-07-07,5832544000
2015-07-08,5739264000
2015-07-09,5722304000
2015-07-10,5756224000
2015-07-13,5830848000
2015-07-14,5905472000
2015-07-15,5818976000
2015-07-16,5834240000
2015-07-17,5791840000
2015-07-20,5764704000
2015-07-21,5720607999
2015-07-22,5800320000
2015-07-23,5805407999
2015-07-24,5700256000
2015-07-27,5649376000
2015-07-28,5851200000
2015-07-29,5944479999
2015-07-30,6010624000
2015-07-31,6093728000
2015-08-03,6551648000
2015-08-04,6631360000
2015-08-05,6736512000
2015-08-06,6670368000
2015-08-07,6599135999
2015-08-10,6663584000
2015-08-11,6680544000
2015-08-12,6597440000
2015-08-13,6583872000
2015-08-14,6644928000
2015-08-17,6738207999
2015-08-18,6690720000
2015-08-19,6690720000
2015-08-20,6556735999
2015-08-21,6487200000
2015-08-24,6344735999
2015-08-25,6368479999
2015-08-26,6695807999
2015-08-27,6800960000
2015-08-28,6778912000
2015-08-31,6741600000
2015-09-01,6514335999
2015-09-02,6578784000
2015-09-03,6656800000
2015-09-04,6563520000
2015-09-08,6834879999
2015-09-09,6851840000
2015-09-10,6911200000
2015-09-11,6970560000
2015-09-14,6963776000
2015-09-15,7048576000
2015-09-16,7092672000
2015-09-17,7001088000
2015-09-18,6924768000
2015-09-21,6878976000
2015-09-22,6839968000
2015-09-23,6863712000
2015-09-24,6884064000
2015-09-25,6916288000
2015-09-28,6670368000
2015-09-29,6753472000
2015-09-30,6884910000
2015-10-01,6910185000
2015-10-02,6839415000
2015-10-05,7038245000
2015-10-06,7048355000
2015-10-07,7178100000
2015-10-08,7171360000
2015-10-09,7200004999
2015-10-12,7252240000
2015-10-13,7321325000
2015-10-14,7304475000
2015-10-15,7341545000
2015-10-16,7405575000
2015-10-19,7440959999
2015-10-20,7414000000
2015-10-21,7365135000
2015-10-22,7562280000
2015-10-23,7553855000
2015-10-26,7469605000
2015-10-27,7456125000
2015-10-28,7558910000
2015-10-29,7538690000
2015-10-30,7530265000
2015-11-02,7521840000
2015-11-03,7491510000
2015-11-04,7739205000
2015-11-05,7794810000
2015-11-06,7349970000
2015-11-09,7205060000
2015-11-10,7235390000
2015-11-11,7245500000
2015-11-12,7179785000
2015-11-13,7068575000
2015-11-16,7191580000
2015-11-17,7429165000
2015-11-18,7439275000
2015-11-19,7616200000
2015-11-20,7599350000
2015-11-23,7558910000
2015-11-24,7439275000
2015-11-25,7451070000
2015-11-27,7439275000
2015-11-30,7274145000
2015-12-01,7442645000
2015-12-02,7349970000
2015-12-03,7324695000
2015-12-04,7518470000
2015-12-07,7430850000
2015-12-08,7464549999
2015-12-09,7331435000
2015-12-10,7390410000
2015-12-11,7215170000
2015-12-14,7191580000
2015-12-15,7267405000
2015-12-16,7378615000
2015-12-17,7193265000
2015-12-18,7146084999
2015-12-21,7134290000
2015-12-22,7211799999
2015-12-23,7206745000
2015-12-24,7238760000
2015-12-28,7156195000
2015-12-29,7302790000
2015-12-30,7285940000
2015-12-31,7033292000
2016-01-04,6850935000
2016-01-05,6847589000
2016-01-06,6901125000
2016-01-07,6640137000
2016-01-08,6633445000
2016-01-11,6665232000
2016-01-12,6715422000
2016-01-13,6349035000
2016-01-14,6327286000
2016-01-15,6205157000
2016-01-19,6230252000
2016-01-20,6198465000
2016-01-21,6295499000
2016-01-22,6415955000
2016-01-25,6349035000
2016-01-26,6427666000
2016-01-27,6300517999
2016-01-28,6241963000
2016-01-29,6432685000
2016-02-01,6389187000
2016-02-02,6248655000
2016-02-03,6277096000
2016-02-04,6292153000
2016-02-05,6059606000
2016-02-08,5907363000
2016-02-09,5924092999
2016-02-10,5815348000
2016-02-11,5636337000
2016-02-12,5740063000
2016-02-16,6066298000
2016-02-17,6211849000
2016-02-18,6277096000
2016-02-19,6390860000
2016-02-22,6518008000
2016-02-23,6481202000
2016-02-24,6507970000
2016-02-25,6561506000
2016-02-26,6492913000
2016-02-29,6621734000
2016-03-01,6750555000
2016-03-02,6656867000
2016-03-03,6834205000
2016-03-04,6830859000
2016-03-07,6824167000
2016-03-08,6765612000
2016-03-09,6782342000
2016-03-10,6717095000
2016-03-11,6799072000
2016-03-14,6829186000
2016-03-15,6896106000
2016-03-16,6884395000
2016-03-17,6842570000
2016-03-18,6909490000
2016-03-21,6881049000
2016-03-22,6926220000
2016-03-23,6804091000
2016-03-24,6794053000
2016-03-28,6809110000
2016-03-29,6942950000
2016-03-30,6944623000
2016-03-31,6843350000
2016-04-01,6886224000
2016-04-04,6833456000
2016-04-05,6803774000
2016-04-06,6952183999
2016-04-07,6869733999
2016-04-08,6853244000
2016-04-11,6863138000
2016-04-12,6864787000
2016-04-13,6965376000
2016-04-14,6934045000
2016-04-15,6937343000
2016-04-18,7014846000
2016-04-19,7067614000
2016-04-20,6988462000
2016-04-21,6955482000
2016-04-22,6940641000
2016-04-25,6624033000
2016-04-26,6731218000
2016-04-27,6737814000
2016-04-28,6615788000
2016-04-29,6348650000
2016-05-02,6337107000
2016-05-03,6322266000
2016-05-04,6704833999
2016-05-05,6675151999
2016-05-06,6681748000
2016-05-09,6729569000
2016-05-10,6856542000
2016-05-11,6843350000
2016-05-12,6863138000
2016-05-13,6818615000
2016-05-16,6940641000
2016-05-17,6849946000
2016-05-18,6938992000
2016-05-19,6960429000
2016-05-20,7039581000
2016-05-23,6902714000
2016-05-24,6902714000
2016-05-25,6920853000
2016-05-26,6904363000
2016-05-27,6919204000
2016-05-31,7018144000
2016-06-01,7026389000
2016-06-02,7032985000
2016-06-03,7044528000
2016-06-06,7001654000
2016-06-07,7024740000
2016-06-08,7090700000
2016-06-09,7072561000
2016-06-10,7059369000
2016-06-13,6996707000
2016-06-14,6996707000
2016-06-15,6991760000
2016-06-16,6727920000
2016-06-17,6681748000
2016-06-20,6782337000
2016-06-21,6833456000
2016-06-22,6821913000
2016-06-23,6881276999
2016-06-24,6544881000
2016-06-27,6478921000
2016-06-28,6536636000
2016-06-29,6549828000
2016-06-30,6496968000
2016-07-01,6532630000
2016-07-05,6459685000
2016-07-06,6482379000
2016-07-07,6477516000
2016-07-08,6553703000
2016-07-11,6631510999
2016-07-12,6646100000
2016-07-13,6641237000
2016-07-14,6680141000
2016-07-15,6686625000
2016-07-18,6704456000
2016-07-19,6748223000
2016-07-20,6876282000
2016-07-21,6868177000
2016-07-22,6850346000
2016-07-25,6908702000
2016-07-26,6915185999
2016-07-27,6907081000
2016-07-28,6920049000
2016-07-29,6958953000
2016-08-01,6973542000
2016-08-02,6910323000
2016-08-03,7168062000
2016-08-04,7181030000
2016-08-05,7250732999
2016-08-08,7292879000
2016-08-09,7432285000
2016-08-10,7407970000
2016-08-11,7378792000
2016-08-12,7341509000
2016-08-15,7346372000
2016-08-16,7228039000
2016-08-17,7215071000
2016-08-18,7278290000
2016-08-19,7273427000
2016-08-22,7305847000
2016-08-23,7286395000
2016-08-24,7286395000
2016-08-25,7266943000
2016-08-26,7171304000
2016-08-29,7226418000
2016-08-30,7266943000
2016-08-31,7237765000
2016-09-01,7190756000
2016-09-02,7257217000
2016-09-06,7296121000
2016-09-07,7302605000
2016-09-08,7252354000
2016-09-09,7082149000
2016-09-12,7177788000
2016-09-13,7112948000
2016-09-14,7137263000
2016-09-15,7234523000
2016-09-16,7278290000
2016-09-19,7398244000
2016-09-20,7440390000
2016-09-21,7545755000
2016-09-22,7673814000
2016-09-23,7501988000
2016-09-26,7393381000
2016-09-27,7403107000
2016-09-28,7403107000
2016-09-29,7341509000
2016-09-30,7321372999
2016-10-03,7303762000
2016-10-04,7351792000
2016-10-05,7319772000
2016-10-06,7286151000
2016-10-07,7222111000
2016-10-10,7202899000
2016-10-11,7087627000
2016-10-12,7148465000
2016-10-13,7151667000
2016-10-14,7095632000
2016-10-17,7074819000
2016-10-18,7089228000
2016-10-19,7070015999
2016-10-20,7060410000
2016-10-21,7092430000
2016-10-24,7193293000
2016-10-25,7167677000
2016-10-26,7201297999
2016-10-27,7169278000
2016-10-28,7177283000
2016-10-31,7190090999
2016-11-01,7228515000
2016-11-02,7021986000
2016-11-03,7046001000
2016-11-04,7001172999
2016-11-07,7249328000
2016-11-08,7135657000
2016-11-09,7121247999
2016-11-10,7122849000
2016-11-11,7443049000
2016-11-14,7809678000
2016-11-15,7876920000
2016-11-16,8109065000
2016-11-17,8318796000
2016-11-18,8233943000
2016-11-21,8288377000
2016-11-22,8200322000
2016-11-23,8222736000
2016-11-25,8299584000
2016-11-28,8277170000
2016-11-29,8289978000
2016-11-30,8203524000
2016-12-01,8459684000
2016-12-02,8459684000
2016-12-05,8445275000
2016-12-06,8547739000
2016-12-07,8703036000
2016-12-08,8869540000
2016-12-09,8554143000
2016-12-12,8493305000
2016-12-13,8552542000
2016-12-14,8499709000
2016-12-15,8542936000
2016-12-16,8461285000
2016-12-19,8466088000
2016-12-20,8554143000
2016-12-21,8478896000
2016-12-22,8326801000
2016-12-23,8490103000
2016-12-27,8534931000
2016-12-28,8446876000
2016-12-29,8435669000
2016-12-30,8339609000
2017-01-03,8215476000
2017-01-04,8349372000
2017-01-05,8268078000
2017-01-06,8239386000
2017-01-09,8156498000
2017-01-10,8327056000
2017-01-11,8441824000
2017-01-12,8406756000
2017-01-13,8483268000
2017-01-17,8398786000
2017-01-18,8355748000
2017-01-19,8290394000
2017-01-20,8291988000
2017-01-23,8201130000
2017-01-24,8240980000
2017-01-25,8248950000
2017-01-26,8244168000
2017-01-27,8205911999
2017-01-30,8135776000
2017-01-31,8210694000
2017-02-01,8429072000
2017-02-02,8417914000
2017-02-03,8503990000
2017-02-06,8511960000
2017-02-07,9074642000
2017-02-08,9111304000
2017-02-09,9293020000
2017-02-10,9358374000
2017-02-13,9446044000
2017-02-14,9465172000
2017-02-15,9444450000
2017-02-16,9377502000
2017-02-17,9562406000
2017-02-21,9506616000
2017-02-22,9549654000
2017-02-23,9455608000
2017-02-24,9465172000
2017-02-27,9469954000
2017-02-28,9388660000
2017-03-01,9528932000
2017-03-02,9511398000
2017-03-03,9458796000
2017-03-06,9481112000
2017-03-07,9481112000
2017-03-08,9430104000
2017-03-09,9490676000
2017-03-10,9436480000
2017-03-13,9447638000
2017-03-14,9471548000
2017-03-15,9571970000
2017-03-16,9659640000
2017-03-17,9621384000
2017-03-20,9520962000
2017-03-21,9237230000
2017-03-22,9254764000
2017-03-23,9259546000
2017-03-24,9186222000
2017-03-27,9076236000
2017-03-28,9063484000
2017-03-29,9082612000
2017-03-30,9146372000
2017-03-31,9002760000
2017-04-03,8993400000
2017-04-04,9032400000
2017-04-05,8935680000
2017-04-06,9043320000
2017-04-07,9038640000
2017-04-10,8991840000
2017-04-11,8973120000
2017-04-12,8846760000
2017-04-13,8857680000
2017-04-17,8913840000
2017-04-18,8954400000
2017-04-19,8993400000
2017-04-20,9076080000
2017-04-21,9010560000
2017-04-24,9171240000
2017-04-25,9255480000
2017-04-26,9317880000
2017-04-27,9330360000
2017-04-28,9218040000
2017-05-01,9244560000
2017-05-02,9210240000
2017-05-03,9172800000
2017-05-04,9228960000
2017-05-05,9166560000
2017-05-08,9208680000
2017-05-09,9278880000
2017-05-10,9322560000
2017-05-11,9345960000
2017-05-12,9161880000
2017-05-15,9205560000
2017-05-16,9292920000
2017-05-17,9179040000
2017-05-18,8814000000
2017-05-19,8906040000
2017-05-22,8962200000
2017-05-23,8996520000
2017-05-24,9122880000
2017-05-25,9264840000
2017-05-26,9255480000
2017-05-30,9261720000
2017-05-31,9388080000
2017-06-01,9534720000
2017-06-02,9553440000
2017-06-05,9553440000
2017-06-06,9576840000
2017-06-07,9675120000
2017-06-08,9771840000
2017-06-09,9483240000
2017-06-12,9512880000
2017-06-13,9603360000
2017-06-14,9618960000
2017-06-15,9681360000
2017-06-16,9662640000
2017-06-19,9754680000
2017-06-20,9810840000
2017-06-21,9792120000
2017-06-22,9854520000
2017-06-23,10174320000
2017-06-26,10085400000
2017-06-27,9812400000
2017-06-28,9891960000
2017-06-29,9807720000
2017-06-30,9617114000
2017-07-03,9652488000
2017-07-05,9687862000
2017-07-06,9417174000
2017-07-07,9590968000
2017-07-10,9632494000
2017-07-11,9724774000
2017-07-12,9758610000
2017-07-13,9743230000
2017-07-14,9775528000
2017-07-17,9800136000
2017-07-18,9780142000
2017-07-19,9852428000
2017-07-20,9792446000
2017-07-21,9769376000
2017-07-24,9767838000
2017-07-25,9812440000
2017-07-26,9832434000
2017-07-27,9744768000
2017-07-28,9746306000
2017-07-31,9755534000
2017-08-01,9838586000
2017-08-02,9815516000
2017-08-03,9897030000
2017-08-04,9735540000
2017-08-07,9813978000
2017-08-08,9817054000
2017-08-09,9675558000
2017-08-10,9347964000
2017-08-11,9391028000
2017-08-14,9566360000
2017-08-15,9486384000
2017-08-16,9515606000
2017-08-17,9449472000
2017-08-18,9287982000
2017-08-21,9263374000
2017-08-22,9349502000
2017-08-23,9394104000
2017-08-24,9447934000
2017-08-25,9558670000
2017-08-28,9438706000
2017-08-29,9471004000
2017-08-30,9598658000
2017-08-31,9753996000
2017-09-01,9546366000
2017-09-05,9284906000
2017-09-06,9206468000
2017-09-07,9121878000
2017-09-08,9068048000
2017-09-11,9218772000
2017-09-12,9307976000
2017-09-13,9429478000
2017-09-14,9484846000
2017-09-15,9518682000
2017-09-18,9658640000
2017-09-19,9666330000
2017-09-20,9660178000
2017-09-21,9640184000
2017-09-22,9873960000
2017-09-25,9797060000
2017-09-26,9935480000
2017-09-27,10030836000
2017-09-28,10184636000
2017-09-29,10150800000
2017-10-02,10425631999
2017-10-03,10506510000
2017-10-04,10636220000
2017-10-05,10573654000
2017-10-06,10627064000
2017-10-09,10724728000
2017-10-10,10727780000
2017-10-11,10535504000
2017-10-12,10521770000
2017-10-13,10389008000
2017-10-16,10421054000
2017-10-17,10459204000
2017-10-18,10475990000
2017-10-19,10436314000
2017-10-20,10624012000
2017-10-23,10614856000
2017-10-24,10675895999
2017-10-25,10553816000
2017-10-26,10575180000
2017-10-27,10620960000
2017-10-30,10576706000
2017-10-31,10682000000
2017-11-01,10517192000
2017-11-02,10682000000
2017-11-03,10688104000
2017-11-06,10712520000
2017-11-07,10430210000
2017-11-08,10353910000
2017-11-09,10248616000
2017-11-10,10263876000
2017-11-13,10337124000
2017-11-14,10250142000
2017-11-15,10034976000
2017-11-16,10135692000
2017-11-17,10088386000
2017-11-20,10186050000
2017-11-21,10134166000
2017-11-22,10117380000
2017-11-24,10128062000
2017-11-27,10140270000
2017-11-28,10593492000
2017-11-29,10515666000
2017-11-30,10683526000
2017-12-01,10550764000
2017-12-04,10703364000
2017-12-05,10591966000
2017-12-06,10442418000
2017-12-07,10532452000
2017-12-08,10645376000
2017-12-11,10723202000
2017-12-12,10710994000
2017-12-13,10620960000
2017-12-14,10315760000
2017-12-15,10445470000
2017-12-18,10694208000
2017-12-19,10685052000
2017-12-20,10743040000
2017-12-21,10543134000
2017-12-22,10559920000
2017-12-26,10527874000
2017-12-27,10620960000
2017-12-28,10668266000
2017-12-29,10604174000
2018-01-02,10617472000
2018-01-03,10927960000
2018-01-04,11119732000
2018-01-05,11101468000
2018-01-08,11118210000
2018-01-09,11089292000
2018-01-10,11010148000
2018-01-11,11069506000
2018-01-12,11092336000
2018-01-16,10981230000
2018-01-17,11183656000
2018-01-18,11230838000
2018-01-19,11446962000
2018-01-22,11416522000
2018-01-23,11506320000
2018-01-24,11421088000
2018-01-25,11471314000
2018-01-26,11518496000
2018-01-29,11536760000
2018-01-30,11413478000
2018-01-31,11383038000
2018-02-01,11643300000
2018-02-02,11555024000
2018-02-05,11233882000
2018-02-06,11147128000
2018-02-07,10410480000
2018-02-08,10509410000
2018-02-09,10523108000
