,VNO
2002-01-31,3280087575
2002-02-01,3267475896
2002-02-04,3244354484
2002-02-05,3229640858
2002-02-06,3252762270
2002-02-07,3227538912
2002-02-08,3221233072
2002-02-11,3242252537
2002-02-12,3252762270
2002-02-13,3260119083
2002-02-14,3279036602
2002-02-15,3260119083
2002-02-19,3302158014
2002-02-20,3322126506
2002-02-21,3269577842
2002-02-22,3285342442
2002-02-25,3303208987
2002-02-26,3260119083
2002-02-27,3212825286
2002-02-28,3213876259
2002-03-01,3228589885
2002-03-04,3244354484
2002-03-05,3352604731
2002-03-06,3392541715
2002-03-07,3389388795
2002-03-08,3380981009
2002-03-11,3368369330
2002-03-12,3367318357
2002-03-13,3383082956
2002-03-14,3423019940
2002-03-15,3452447191
2002-03-18,3436682592
2002-03-19,3441937459
2002-03-20,3418816047
2002-03-21,3429325780
2002-03-22,3421968967
2002-03-25,3402000474
2002-03-26,3402000474
2002-03-27,3392541715
2002-03-28,3395694635
2002-04-01,3516605811
2002-04-02,3551167048
2002-04-03,3528486236
2002-04-04,3504725386
2002-04-05,3514445734
2002-04-08,3542526739
2002-04-09,3585728284
2002-04-10,3632169946
2002-04-11,3607329057
2002-04-12,3721813153
2002-04-15,3684011801
2002-04-16,3624609675
2002-04-17,3578168014
2002-04-18,3610569173
2002-04-19,3583568207
2002-04-22,3524166082
2002-04-23,3435602913
2002-04-24,3472324227
2002-04-25,3472324227
2002-04-26,3459363763
2002-04-29,3436682952
2002-04-30,3484204652
2002-05-01,3555487202
2002-05-02,3540366661
2002-05-03,3545766855
2002-05-06,3536046507
2002-05-07,3533886430
2002-05-08,3503645348
2002-05-09,3484204652
2002-05-10,3432362797
2002-05-13,3436682952
2002-05-14,3417242256
2002-05-15,3416162218
2002-05-16,3419402334
2002-05-17,3446403300
2002-05-20,3426962604
2002-05-21,3398881600
2002-05-22,3399961638
2002-05-23,3466924034
2002-05-24,3479884498
2002-05-28,3484204652
2002-05-29,3573847859
2002-05-30,3487444768
2002-05-31,3512285657
2002-06-03,3555487202
2002-06-04,3559807357
2002-06-05,3539286623
2002-06-06,3538206584
2002-06-07,3524166082
2002-06-10,3547926932
2002-06-11,3555487202
2002-06-12,3540366661
2002-06-13,3536046507
2002-06-14,3526326159
2002-06-17,3528486236
2002-06-18,3531726352
2002-06-19,3555487202
2002-06-20,3552247086
2002-06-21,3596528671
2002-06-24,3579248052
2002-06-25,3634330023
2002-06-26,3601928864
2002-06-27,3607329057
2002-06-28,3650530603
2002-07-01,3616025740
2002-07-02,3597504367
2002-07-03,3571356546
2002-07-05,3617115232
2002-07-08,3597504367
2002-07-09,3595325382
2002-07-10,3511434456
2002-07-11,3427543530
2002-07-12,3397037739
2002-07-15,3383963829
2002-07-16,3439527948
2002-07-17,3407932665
2002-07-18,3331668187
2002-07-19,3268477620
2002-07-22,3180228724
2002-07-23,3069100485
2002-07-24,3001551947
2002-07-25,3089800843
2002-07-26,3204197560
2002-07-29,3309878336
2002-07-30,3411201142
2002-07-31,3471123232
2002-08-01,3275014575
2002-08-02,3163886336
2002-08-05,3057116067
2002-08-06,3144275470
2002-08-07,3172602276
2002-08-08,3084353380
2002-08-09,3052758097
2002-08-12,3050579112
2002-08-13,3069100485
2002-08-14,3093069321
2002-08-15,3124664604
2002-08-16,3209645022
2002-08-19,3180228724
2002-08-20,3167154813
2002-08-21,3172602276
2002-08-22,3133380545
2002-08-23,3168244306
2002-08-26,3212913500
2002-08-27,3212913500
2002-08-28,3245598276
2002-08-29,3228166396
2002-08-30,3293535948
2002-09-03,3252135231
2002-09-04,3261940664
2002-09-05,3244508784
2002-09-06,3259761679
2002-09-09,3276104067
2002-09-10,3265209142
2002-09-11,3257582694
2002-09-12,3243419291
2002-09-13,3268477620
2002-09-16,3271746097
2002-09-17,3268477620
2002-09-18,3265209142
2002-09-19,3223808425
2002-09-20,3264119649
2002-09-23,3236882336
2002-09-24,3218360963
2002-09-25,3198750097
2002-09-26,3229255888
2002-09-27,3187855172
2002-09-30,3211175576
2002-10-01,3192260128
2002-10-02,3134401108
2002-10-03,3095457537
2002-10-04,3012007029
2002-10-07,2934119887
2002-10-08,2931894540
2002-10-09,2895176316
2002-10-10,2983077519
2002-10-11,3007556335
2002-10-14,2918542459
2002-10-15,2995316927
2002-10-16,2984190192
2002-10-17,3020908416
2002-10-18,3012007029
2002-10-21,3014232376
2002-10-22,2946359295
2002-10-23,2912979092
2002-10-24,3000880294
2002-10-25,3065415354
2002-10-28,3045387232
2002-10-29,2983077519
2002-10-30,3004218315
2002-10-31,2991978907
2002-11-01,2939683254
2002-11-04,3009781682
2002-11-05,3024246437
2002-11-06,3047612579
2002-11-07,2957486030
2002-11-08,2905190377
2002-11-11,2865134133
2002-11-12,2862908786
2002-11-13,2800599073
2002-11-14,2846218685
2002-11-15,2865134133
2002-11-18,2874035521
2002-11-19,2888500276
2002-11-20,2925218500
2002-11-21,2934119887
2002-11-22,3013119702
2002-11-25,3004218315
2002-11-26,3009781682
2002-11-27,3016457722
2002-11-29,3040936538
2002-12-02,3076542089
2002-12-03,3070978722
2002-12-04,3056513967
2002-12-05,3053175946
2002-12-06,3038711191
2002-12-09,3065415354
2002-12-10,3074316742
2002-12-11,3045387232
2002-12-12,3040936538
2002-12-13,3014232376
2002-12-16,3049837926
2002-12-17,3001992968
2002-12-18,2957486030
2002-12-19,2986415539
2002-12-20,3049837926
2002-12-23,3009781682
2002-12-24,3049837926
2002-12-26,3005330988
2002-12-27,3009781682
2002-12-30,3007556335
2002-12-31,3028697130
2003-01-02,3032035151
2003-01-03,3080992783
2003-01-06,3122161700
2003-01-07,3053175946
2003-01-08,2995316927
2003-01-09,2999767621
2003-01-10,2961936723
2003-01-13,2963049397
2003-01-14,2946359295
2003-01-15,2946359295
2003-01-16,2881824235
2003-01-17,2854007399
2003-01-21,2840655317
2003-01-22,2835091950
2003-01-23,2823965216
2003-01-24,2796148379
2003-01-27,2803937094
2003-01-28,2808387787
2003-01-29,2816176501
2003-01-30,2764993523
2003-01-31,2808387787
2003-02-03,2779458278
2003-02-04,2764993523
2003-02-05,2779458278
2003-02-06,2790585012
2003-02-07,2786134318
2003-02-10,2798373726
2003-02-11,2776120257
2003-02-12,2743852727
2003-02-13,2747190748
2003-02-14,2726049952
2003-02-18,2789472339
2003-02-19,2808387787
2003-02-20,2816176501
2003-02-21,2855120072
2003-02-24,2821739869
2003-02-25,2849556705
2003-02-26,2821739869
2003-02-27,2849556705
2003-02-28,2849556705
2003-03-03,2845106011
2003-03-04,2801711747
2003-03-05,2770556890
2003-03-06,2760542829
2003-03-07,2752754115
2003-03-10,2717148564
2003-03-11,2734951340
2003-03-12,2714923218
2003-03-13,2710472524
2003-03-14,2722711932
2003-03-17,2766106196
2003-03-18,2791697686
2003-03-19,2858458093
2003-03-20,2924105826
2003-03-21,2991978907
2003-03-24,2928556520
2003-03-25,2950809989
2003-03-26,2969725438
2003-03-27,2963049397
2003-03-28,2949697315
2003-03-31,2977526931
2003-04-01,3023002714
2003-04-02,3069615393
2003-04-03,3069615393
2003-04-04,3027550293
2003-04-07,3043466817
2003-04-08,3032097871
2003-04-09,3044603712
2003-04-10,3052561974
2003-04-11,3044603712
2003-04-14,3085531917
2003-04-15,3098037757
2003-04-16,3148061119
2003-04-17,3204905849
2003-04-21,3242423370
2003-04-22,3290172943
2003-04-23,3286762259
2003-04-24,3215137900
2003-04-25,3191263114
2003-04-28,3181031062
2003-04-29,3202632060
2003-04-30,3160566960
2003-05-01,3129870806
2003-05-02,3177620379
2003-05-05,3220822373
2003-05-06,3243560265
2003-05-07,3265161262
2003-05-08,3304952573
2003-05-09,3301541889
2003-05-12,3326553570
2003-05-13,3326553570
2003-05-14,3326553570
2003-05-15,3407273086
2003-05-16,3410683770
2003-05-19,3410683770
2003-05-20,3419778926
2003-05-21,3434558556
2003-05-22,3510730493
2003-05-23,3550521804
2003-05-27,3547111120
2003-05-28,3481171234
2003-05-29,3401588613
2003-05-30,3509593599
2003-06-02,3508456704
2003-06-03,3532331491
2003-06-04,3543700437
2003-06-05,3551658699
2003-06-06,3633515109
2003-06-09,3599408271
2003-06-10,3671032631
2003-06-11,3744930779
2003-06-12,3655116106
2003-06-13,3628967531
2003-06-16,3661937474
2003-06-17,3606229639
2003-06-18,3572122801
2003-06-19,3584628642
2003-06-20,3576670380
2003-06-23,3572122801
2003-06-24,3578944169
2003-06-25,3590313115
2003-06-26,3614187901
2003-06-27,3650568528
2003-06-30,3677119603
2003-07-01,3680577709
2003-07-02,3733602004
2003-07-03,3752045237
2003-07-07,3791237108
2003-07-08,3791237108
2003-07-09,3754350641
2003-07-10,3708242559
2003-07-11,3740518217
2003-07-14,3771641173
2003-07-15,3778557385
2003-07-16,3772793875
2003-07-17,3748587131
2003-07-18,3786626299
2003-07-21,3745129025
2003-07-22,3786626299
2003-07-23,3785473597
2003-07-24,3786626299
2003-07-25,3837345191
2003-07-28,3838497893
2003-07-29,3862704636
2003-07-30,3921492442
2003-07-31,3866162742
2003-08-01,3853483020
2003-08-04,3853483020
2003-08-05,3838497893
2003-08-06,3824665468
2003-08-07,3850024913
2003-08-08,3869620848
2003-08-11,3888064082
2003-08-12,3912270825
2003-08-13,3873078955
2003-08-14,3908812719
2003-08-15,3931866760
2003-08-18,3951462695
2003-08-19,3938782973
2003-08-20,3919187038
2003-08-21,3934172164
2003-08-22,3878842465
2003-08-25,3852330317
2003-08-26,3914576229
2003-08-27,3954920802
2003-08-28,3946851887
2003-08-29,3976822141
2003-09-02,3980280247
2003-09-03,4018319416
2003-09-04,4036762649
2003-09-05,4058663988
2003-09-08,4067885605
2003-09-09,4030999138
2003-09-10,3941088377
2003-09-11,3972211333
2003-09-12,4010250501
2003-09-15,4020624820
2003-09-16,4017166713
2003-09-17,3982585651
2003-09-18,3964142418
2003-09-19,3976822141
2003-09-22,3957226206
2003-09-23,3964142418
2003-09-24,3944546483
2003-09-25,3973364035
2003-09-26,4005639693
2003-09-29,4043678861
2003-09-30,4358600632
2003-10-01,4398280638
2003-10-02,4440440644
2003-10-03,4507400654
2003-10-06,4571880663
2003-10-07,4554520661
2003-10-08,4581800665
2003-10-09,4612800669
2003-10-10,4584280665
2003-10-13,4583040665
2003-10-14,4585520665
2003-10-15,4590480666
2003-10-16,4590480666
2003-10-17,4576840664
2003-10-20,4571880663
2003-10-21,4569400663
2003-10-22,4534680658
2003-10-23,4537160658
2003-10-24,4517320655
2003-10-27,4561960662
2003-10-28,4517320655
2003-10-29,4549560660
2003-10-30,4578080664
2003-10-31,4585520665
2003-11-03,4672320678
2003-11-04,4720680685
2003-11-05,4716960684
2003-11-06,4673560678
2003-11-07,4723160685
2003-11-10,4751680689
2003-11-11,4726880686
2003-11-12,4801280696
2003-11-13,4774000693
2003-11-14,4829800701
2003-11-17,4829800701
2003-11-18,4848400703
2003-11-19,4845920703
2003-11-20,4828560700
2003-11-21,4814920698
2003-11-24,4797560696
2003-11-25,4879400708
2003-11-26,4902960711
2003-11-28,4963720720
2003-12-01,4967440721
2003-12-02,4950080718
2003-12-03,4961240720
2003-12-04,4895520710
2003-12-05,4886840709
2003-12-08,4915360713
2003-12-09,4922800714
2003-12-10,4878160708
2003-12-11,4926520715
2003-12-12,4993480724
2003-12-15,5022000729
2003-12-16,5039360731
2003-12-17,5049280732
2003-12-18,4899240711
2003-12-19,4889320709
2003-12-22,4907920712
2003-12-23,4902960711
2003-12-24,4916600713
2003-12-26,4916600713
2003-12-29,4943880717
2003-12-30,4988520724
2003-12-31,4967440721
2004-01-02,4935200716
2004-01-05,4879400708
2004-01-06,4967440721
2004-01-07,4868240706
2004-01-08,4857080705
2004-01-09,4853360704
2004-01-12,4871960707
2004-01-13,4822360700
2004-01-14,4854600704
2004-01-15,4879400708
2004-01-16,4880640708
2004-01-20,4886840709
2004-01-21,4884360709
2004-01-22,4895520710
2004-01-23,4957520719
2004-01-26,4984800723
2004-01-27,5003400726
2004-01-28,5095160739
2004-01-29,5031920730
2004-01-30,5075320736
2004-02-02,5170800750
2004-02-03,5210480756
2004-02-04,5153440748
2004-02-05,5206760755
2004-02-06,5320840772
2004-02-09,5329520773
2004-02-10,5361760778
2004-02-11,5389040782
2004-02-12,5297280768
2004-02-13,5208000756
2004-02-17,5225360758
2004-02-18,5222880758
2004-02-19,5216680757
2004-02-20,5220400757
2004-02-23,5217920757
2004-02-24,5261320763
2004-02-25,5302240769
2004-02-26,5159640748
2004-02-27,5162120749
2004-03-01,5193120753
2004-03-02,5234040759
2004-03-03,5239000760
2004-03-04,5211720756
2004-03-05,5252640762
2004-03-08,5286120767
2004-03-09,5305960770
2004-03-10,5247680761
2004-03-11,5206760755
2004-03-12,5220400757
2004-03-15,5194360754
2004-03-16,5220400757
2004-03-17,5315880771
2004-03-18,5361760778
2004-03-19,5397720783
2004-03-22,5398960783
2004-03-23,5423760787
2004-03-24,5365480778
2004-03-25,5443600790
2004-03-26,5360520778
2004-03-29,5420040786
2004-03-30,5477080795
2004-03-31,5662096719
2004-04-01,5697924675
2004-04-02,5559731128
2004-04-05,5380591345
2004-04-06,5242397798
2004-04-07,5306376292
2004-04-08,5182258014
2004-04-12,4910989199
2004-04-13,4872602103
2004-04-14,4815021458
2004-04-15,4959612854
2004-04-16,5015913929
2004-04-19,5064537585
