,LYB
2010-09-01,11855280000
2010-09-02,11815800000
2010-09-03,11917320000
2010-09-07,11821440000
2010-09-08,11838360000
2010-09-09,11674800000
2010-09-10,11725560000
2010-09-13,12058320000
2010-09-14,12131640000
2010-09-15,12159840000
2010-09-16,12323400000
2010-09-17,12549000000
2010-09-20,12520800000
2010-09-21,12526440000
2010-09-22,12374160000
2010-09-23,12323400000
2010-09-24,12667440000
2010-09-27,13028400000
2010-09-28,13225800000
2010-09-29,13321680000
2010-09-30,13479600000
2010-10-01,13462680000
2010-10-04,13586760000
2010-10-05,13981560000
2010-10-06,13660080000
2010-10-07,13789800000
2010-10-08,14241000000
2010-10-11,14754240000
2010-10-12,14833200000
2010-10-13,15211080000
2010-10-14,15239280000
2010-10-15,14946000000
2010-10-18,15087000000
2010-10-19,14957280000
2010-10-20,15301320000
2010-10-21,15543840000
2010-10-22,15538200000
2010-10-25,15769440000
2010-10-26,15634080000
2010-10-27,15346440000
2010-10-28,15515640000
2010-10-29,15149040000
2010-11-01,14664000000
2010-11-02,15019320000
2010-11-03,15199800000
2010-11-04,15459240000
2010-11-05,15989400000
2010-11-08,16271400000
2010-11-09,16040160000
2010-11-10,15983760000
2010-11-11,15955560000
2010-11-12,15453600000
2010-11-15,15600240000
2010-11-16,15058800000
2010-11-17,15357720000
2010-11-18,15617160000
2010-11-19,16215000000
2010-11-22,16739520000
2010-11-23,16327800000
2010-11-24,16638000000
2010-11-26,16570320000
2010-11-29,16779000000
2010-11-30,16474440000
2010-12-01,16852320000
2010-12-02,17196360000
2010-12-03,17213280000
2010-12-06,17529120000
2010-12-07,17822400000
2010-12-08,17405040000
2010-12-09,17264040000
2010-12-10,17540400000
2010-12-13,17969040000
2010-12-14,18042360000
2010-12-15,17907000000
2010-12-16,17596800000
2010-12-17,17974680000
2010-12-20,18104400000
2010-12-21,18358200000
2010-12-22,18583800000
2010-12-23,18572520000
2010-12-27,18589440000
2010-12-28,18769920000
2010-12-29,18837600000
2010-12-30,19040640000
2010-12-31,19470400000
2011-01-03,19560960000
2011-01-04,19736420000
2011-01-05,19725100000
2011-01-06,19793020000
2011-01-07,19594920000
2011-01-10,19945840000
2011-01-11,20642020000
2011-01-12,20794840000
2011-01-13,20602400000
2011-01-14,20721260000
2011-01-18,20659000000
2011-01-19,20183559999
2011-01-20,20047720000
2011-01-21,19838300000
2011-01-24,20177900000
2011-01-25,20206200000
2011-01-26,20376000000
2011-01-27,20489200000
2011-01-28,19730760000
2011-01-31,20342040000
2011-02-01,20851440000
2011-02-02,20687300000
2011-02-03,20443920000
2011-02-04,20472220000
2011-02-07,20104320000
2011-02-08,20081680000
2011-02-09,20285440000
2011-02-10,20800500000
2011-02-11,20981620000
2011-02-14,21168400000
2011-02-15,21213680000
2011-02-16,21247640000
2011-02-17,21841940000
2011-02-18,21479700000
2011-02-22,20285440000
2011-02-23,20738240000
2011-02-24,20772200000
2011-02-25,21604220000
2011-02-28,21553280000
2011-03-01,20975960000
2011-03-02,21547620000
2011-03-03,22390960000
2011-03-04,22436240000
2011-03-07,22543780000
2011-03-08,23053180000
2011-03-09,23149400000
2011-03-10,22464540000
2011-03-11,22164559999
2011-03-14,22181540000
2011-03-15,21666480000
2011-03-16,21558940000
2011-03-17,22068340000
2011-03-18,21734400000
2011-03-21,22453220000
2011-03-22,22102300000
2011-03-23,22566420000
2011-03-24,22860740000
2011-03-25,22843760000
2011-03-28,22758860000
2011-03-29,22719240000
2011-03-30,22458880000
2011-03-31,22444269841
2011-04-01,22852863375
2011-04-04,23068509963
2011-04-05,23460078766
2011-04-06,23613301342
2011-04-07,23550877330
2011-04-08,24163767631
2011-04-11,24112693439
2011-04-12,23000411040
2011-04-13,23057160142
2011-04-14,22937987028
2011-04-15,23272806730
2011-04-18,22733690261
2011-04-19,23142283795
2011-04-20,23834622840
2011-04-21,24248891284
2011-04-25,24549661525
2011-04-26,24850431765
2011-04-27,24799357574
2011-04-28,25219300928
2011-04-29,25253350390
2011-05-02,25888940332
2011-05-03,25293074761
2011-05-04,24305640386
2011-05-05,23636000983
2011-05-06,23312531101
2011-05-09,23550877330
2011-05-10,23970820684
2011-05-11,23959470864
2011-05-12,23454403856
2011-05-13,22518043673
2011-05-16,21621407862
2011-05-17,22103775229
2011-05-18,23267131820
2011-05-19,23267131820
2011-05-20,22699640800
2011-05-23,22075400678
2011-05-24,22557768045
2011-05-25,23601951521
2011-05-26,23698424995
2011-05-27,24254566194
2011-05-31,24861781586
2011-06-01,23993520325
2011-06-02,23664375534
2011-06-03,22637216787
2011-06-06,21700856604
2011-06-07,22064050857
2011-06-08,22256997804
2011-06-09,22699640800
2011-06-10,22302397086
2011-06-13,21734906066
2011-06-14,22631541877
2011-06-15,21768955527
2011-06-16,21002842650
2011-06-17,20929068817
2011-06-20,20747471691
2011-06-21,21910828282
2011-06-22,21961902474
2011-06-23,21598708221
2011-06-24,21326312531
2011-06-27,21144715405
2011-06-28,21269563429
2011-06-29,21729231155
2011-06-30,21956400000
2011-07-01,22184400000
2011-07-05,22737300000
2011-07-06,22486500000
2011-07-07,23501100000
2011-07-08,23301600000
2011-07-11,21933600000
2011-07-12,21888000000
2011-07-13,21927900000
2011-07-14,21614400000
2011-07-15,21711300000
2011-07-18,20998800000
2011-07-19,21135600000
2011-07-20,21432000000
2011-07-21,22281300000
2011-07-22,22537800000
2011-07-25,21836700000
2011-07-26,22195800000
2011-07-27,21660000000
2011-07-28,21403500000
2011-07-29,22492200000
2011-08-01,22988100000
2011-08-02,21312300000
2011-08-03,21255300000
2011-08-04,19100700000
2011-08-05,18872700000
2011-08-08,16227900000
2011-08-09,18148800000
2011-08-10,17744100000
2011-08-11,19391400000
2011-08-12,19323000000
2011-08-15,19345800000
2011-08-16,18593400000
2011-08-17,18188700000
2011-08-18,16558500000
2011-08-19,15948600000
2011-08-22,16387500000
2011-08-23,17014500000
2011-08-24,17550300000
2011-08-25,17339400000
2011-08-26,18154500000
2011-08-29,19773300000
2011-08-30,19414200000
2011-08-31,19750500000
2011-09-01,19334400000
2011-09-02,18302700000
2011-09-06,18297000000
2011-09-07,19345800000
2011-09-08,19009500000
2011-09-09,17778300000
2011-09-12,17909400000
2011-09-13,18530700000
2011-09-14,18975300000
2011-09-15,19203300000
2011-09-16,19380000000
2011-09-19,18764400000
2011-09-20,18103200000
2011-09-21,16467300000
2011-09-22,15851700000
2011-09-23,16227900000
2011-09-26,16530000000
2011-09-27,16866300000
2011-09-28,15828900000
2011-09-29,15190500000
2011-09-30,13949530000
2011-10-03,13761100000
2011-10-04,14777480000
2011-10-05,14897390000
2011-10-06,15639690000
2011-10-07,15142920000
2011-10-10,15559750000
2011-10-11,16016550000
2011-10-12,16387700000
2011-10-13,16022260000
2011-10-14,16673200000
2011-10-17,16125040000
2011-10-18,16153590000
2011-10-19,15377030000
2011-10-20,15639690000
2011-10-21,17712420000
2011-10-24,18460430000
2011-10-25,17546830000
2011-10-26,18123540000
2011-10-27,19179890000
2011-10-28,19699500000
2011-10-31,18763060000
2011-11-01,18334810000
2011-11-02,18962910000
2011-11-03,19676660000
2011-11-04,19990710000
2011-11-07,19865090000
2011-11-08,19950740000
2011-11-09,19448260000
2011-11-10,20024970000
2011-11-11,20601680000
2011-11-14,20287630000
2011-11-15,19939320000
2011-11-16,19996420000
2011-11-17,20093490000
2011-11-18,19716630000
2011-11-21,19705210000
2011-11-22,16998670000
2011-11-23,16176429999
2011-11-25,16359150000
2011-11-28,17078610000
2011-11-29,17335560000
2011-11-30,18654570000
2011-12-01,18506109999
2011-12-02,18728800000
2011-12-05,19254120000
2011-12-06,19242700000
2011-12-07,18808740000
2011-12-08,18626020000
2011-12-09,18945780000
2011-12-12,18431880000
2011-12-13,18209190000
2011-12-14,17529700000
2011-12-15,17586800000
2011-12-16,18300550000
2011-12-19,17815200000
2011-12-20,18797320000
2011-12-21,18820160000
2011-12-22,18780190000
2011-12-23,18837290000
2011-12-27,18825870000
2011-12-28,18414750000
2011-12-29,18734510000
2011-12-30,18551790000
2012-01-03,19144840000
2012-01-04,19871280000
2012-01-05,19585280000
2012-01-06,19705400000
2012-01-09,19631040000
2012-01-10,21135400000
2012-01-11,21392800000
2012-01-12,22245080000
2012-01-13,22256519999
2012-01-17,22416680000
2012-01-18,23240360000
2012-01-19,22880000000
2012-01-20,22822800000
2012-01-23,22502480000
2012-01-24,22862840000
2012-01-25,23005840000
2012-01-26,23045880000
2012-01-27,23583560000
2012-01-30,24264240000
2012-01-31,24653200000
2012-02-01,24939200000
2012-02-02,24767600000
2012-02-03,25625600000
2012-02-06,25597000000
2012-02-07,25665640000
2012-02-08,25568400000
2012-02-09,25499760000
2012-02-10,25597000000
2012-02-13,26317720000
2012-02-14,25516920000
2012-02-15,24916320000
2012-02-16,25162280000
2012-02-17,25156560000
2012-02-21,24533080000
2012-02-22,24767600000
2012-02-23,24704680000
2012-02-24,25253800000
2012-02-27,25305280000
2012-02-28,25168000000
2012-02-29,24698960000
2012-03-01,24922040000
2012-03-02,25002120000
2012-03-05,23909600000
2012-03-06,22468160000
2012-03-07,23223200000
2012-03-08,24435840000
2012-03-09,24104080000
2012-03-12,23223200000
2012-03-13,24172720000
2012-03-14,24001120000
2012-03-15,24430120000
2012-03-16,24538800000
2012-03-19,24332880000
2012-03-20,24527360000
2012-03-21,24967800000
2012-03-22,23800920000
2012-03-23,24321440000
2012-03-26,25093640000
2012-03-27,24761880000
2012-03-28,24390080000
2012-03-29,24670360000
2012-03-30,24967800000
2012-04-02,25618647112
2012-04-03,25193298248
2012-04-04,25342745146
2012-04-05,24951884028
2012-04-09,24411576012
2012-04-10,23537886453
2012-04-11,23693081309
2012-04-12,24618502486
2012-04-13,25331249231
2012-04-16,25451956341
2012-04-17,25365736977
2012-04-18,25216290078
2012-04-19,25342745146
2012-04-20,25382980849
2012-04-23,25147314587
2012-04-24,25342745146
2012-04-25,25969272527
2012-04-26,26170451043
2012-04-27,26285410196
2012-04-30,24014966936
2012-05-01,24635746359
2012-05-02,24796689172
2012-05-03,23710325182
2012-05-04,22692936683
2012-05-07,22549237743
2012-05-08,22330815353
2012-05-09,23049310056
2012-05-10,23256236530
2012-05-11,23037814140
2012-05-14,22600969361
2012-05-15,22842383581
2012-05-16,22543489785
2012-05-17,21244451363
2012-05-18,21290435024
2012-05-21,22417034718
2012-05-22,22566481616
2012-05-23,22394042887
2012-05-24,22399790845
2012-05-25,22761912175
2012-05-29,23503398708
2012-05-30,22618213234
2012-05-31,22681440768
2012-06-01,21416890092
2012-06-04,21129492211
2012-06-05,21566336990
2012-06-06,22095149091
2012-06-07,21842238956
2012-06-08,21974441981
2012-06-11,21301930939
2012-06-12,21744523676
2012-06-13,21710035930
2012-06-14,21612320651
2012-06-15,22382546972
2012-06-18,23296472233
2012-06-19,23842528207
2012-06-20,23808040462
2012-06-21,22566481616
2012-06-22,22773408090
2012-06-25,22486010209
2012-06-26,22721676471
2012-06-27,22359555141
2012-06-28,22198612328
2012-06-29,23147025335
2012-07-02,23407050000
2012-07-03,24031620000
2012-07-05,24243630000
2012-07-06,23578950000
2012-07-09,23384130000
2012-07-10,23189310000
2012-07-11,22736640000
2012-07-12,22702260000
2012-07-13,23366940000
2012-07-16,23613330000
2012-07-17,24048810000
2012-07-18,24203520000
2012-07-19,24043080000
2012-07-20,23836800000
2012-07-23,23510190000
2012-07-24,23166390000
2012-07-25,23160660000
2012-07-26,23435700000
2012-07-27,25504230000
2012-07-30,25544340000
2012-07-31,25515690000
2012-08-01,25343790000
2012-08-02,25446929999
2012-08-03,25997010000
2012-08-06,26335080000
2012-08-07,26764830000
2012-08-08,27051330000
2012-08-09,27131550000
2012-08-10,27091440000
2012-08-13,27137280000
2012-08-14,27246150000
2012-08-15,27372210000
2012-08-16,27801960000
2012-08-17,28214520000
2012-08-20,28569780000
2012-08-21,28111380000
2012-08-22,27836340000
2012-08-23,27349290000
2012-08-24,27446700000
2012-08-27,27005490000
2012-08-28,27206040000
2012-08-29,27097170000
2012-08-30,27887910000
2012-08-31,27985320000
2012-09-04,26936730000
2012-09-05,26913810000
2012-09-06,27767580000
2012-09-07,28340580000
2012-09-10,28266090000
2012-09-11,28306200000
2012-09-12,28426530000
2012-09-13,29750160000
2012-09-14,30609660000
2012-09-17,29784540000
2012-09-18,29761620000
2012-09-19,30082500000
2012-09-20,30093960000
2012-09-21,30008010000
2012-09-24,29818920000
2012-09-25,29108400000
2012-09-26,29200080000
2012-09-27,29727240000
2012-09-28,29601179999
2012-10-01,29858957287
2012-10-02,30265084867
2012-10-03,29939038781
2012-10-04,29744555152
2012-10-05,30133522411
2012-10-08,29961919208
2012-10-09,29298386824
2012-10-10,29000941273
2012-10-11,29372748212
2012-10-12,29092462981
2012-10-15,29412788959
2012-10-16,31094500347
2012-10-17,31883875080
2012-10-18,31592149635
2012-10-19,31077340027
2012-10-22,31729432197
2012-10-23,30333726148
2012-10-24,30791334689
2012-10-25,30545370098
2012-10-26,30745573835
2012-10-31,30539649991
2012-11-01,31489187713
2012-11-02,30350886468
2012-11-05,30551090205
2012-11-06,30785614582
2012-11-07,30190723479
2012-11-08,29698794297
2012-11-09,29086742874
2012-11-12,28972340739
2012-11-13,28634854440
2012-11-14,28148645365
2012-11-15,25975004797
2012-11-16,26810140384
2012-11-19,27456512448
2012-11-20,27199107643
2012-11-21,27450792341
2012-11-23,27811159067
2012-11-26,27456512448
2012-11-27,27199107643
2012-11-28,27496553195
2012-11-29,27879800348
2012-11-30,28446090917
2012-12-03,27959881842
2012-12-04,28463251237
2012-12-05,29658753550
2012-12-06,29687354084
2012-12-07,30779894475
2012-12-10,31100220454
2012-12-11,30917177037
2012-12-12,30900016717
2012-12-13,30305125614
2012-12-14,30768454262
2012-12-17,31317584511
2012-12-18,31403386112
2012-12-19,31374785578
2012-12-20,31780913158
2012-12-21,31540668674
2012-12-24,31952516361
2012-12-26,32312883087
2012-12-27,32255682019
2012-12-28,31752312624
2012-12-31,32769660000
2013-01-02,33963580000
2013-01-03,33085360000
2013-01-04,33527339999
2013-01-07,33946360000
2013-01-08,34290760000
2013-01-09,34210400000
2013-01-10,34790140000
2013-01-11,34962340000
2013-01-14,35128800000
2013-01-15,35209160000
2013-01-16,34738480000
2013-01-17,35662620000
2013-01-18,35926660000
2013-01-22,35283780000
2013-01-23,35651140000
2013-01-24,35886480000
2013-01-25,36018500000
2013-01-28,35151760000
2013-01-29,36311240000
2013-01-30,36173480000
2013-01-31,36403080000
2013-02-01,35226380000
2013-02-04,35065660000
2013-02-05,35157500000
2013-02-06,35048440000
2013-02-07,35255080000
2013-02-08,35651140000
2013-02-11,34749960000
2013-02-12,34732740000
2013-02-13,35760200000
2013-02-14,35111580000
2013-02-15,34669600000
2013-02-19,35117320000
2013-02-20,34589240000
2013-02-21,33108320000
2013-02-22,34049680000
2013-02-25,32706520000
2013-02-26,32626160000
2013-02-27,33406800000
2013-02-28,33647880000
2013-03-01,34262060000
2013-03-04,34692560000
2013-03-05,34881980000
2013-03-06,35886480000
2013-03-07,35662620000
2013-03-08,36506400000
2013-03-11,36581020000
2013-03-12,36781920000
2013-03-13,36334200000
2013-03-14,37177980000
2013-03-15,36741740000
2013-03-18,36592500000
2013-03-19,36741740000
2013-03-20,37551080000
2013-03-21,36971340000
2013-03-22,37023000000
2013-03-25,36362900000
2013-03-26,36420300000
2013-03-27,36374380000
2013-03-28,36328460000
2013-04-01,35444500000
2013-04-02,34348160000
2013-04-03,33665100000
2013-04-04,33739720000
2013-04-05,33854520000
2013-04-08,33751200000
2013-04-09,34566280000
2013-04-10,34881980000
2013-04-11,35232120000
2013-04-12,34130040000
2013-04-15,31862740000
2013-04-16,32907420000
2013-04-17,32201400000
2013-04-18,32034940000
2013-04-19,33211640000
2013-04-22,33659360000
2013-04-23,34061160000
2013-04-24,34629420000
2013-04-25,34968080000
2013-04-26,34520360000
2013-04-29,35278040000
2013-04-30,34841800000
2013-05-01,33027960000
2013-05-02,33808600000
2013-05-03,34985300000
2013-05-06,35961100000
2013-05-07,36322720000
2013-05-08,36070160000
2013-05-09,35283780000
2013-05-10,35329700000
2013-05-13,35760200000
2013-05-14,37103360000
2013-05-15,37126320000
2013-05-16,37947140000
2013-05-17,38641679999
2013-05-20,38429300000
2013-05-21,37797900000
2013-05-22,37350179999
2013-05-23,37786420000
2013-05-24,37723280000
2013-05-28,38561320000
2013-05-29,38044720000
2013-05-30,38337460000
2013-05-31,38257100000
2013-06-03,38635940000
2013-06-04,38848320000
2013-06-05,37700320000
2013-06-06,38113600000
2013-06-07,37235380000
2013-06-10,37310000000
2013-06-11,36845060000
2013-06-12,36804880000
2013-06-13,38222660000
2013-06-14,38699080000
2013-06-17,39112360000
2013-06-18,39496940000
2013-06-19,39382140000
2013-06-20,38458000000
2013-06-21,38314500000
2013-06-24,37327220000
2013-06-25,38148040000
2013-06-26,38446520000
2013-06-27,38745000000
2013-06-28,38033240000
2013-07-01,37315640000
2013-07-02,36825830000
2013-07-03,37439500000
2013-07-05,38103840000
2013-07-08,38452900000
2013-07-09,38830110000
2013-07-10,39303030000
2013-07-11,39066570000
2013-07-12,39410000000
2013-07-15,39911070000
2013-07-16,38993380000
2013-07-17,38250220000
2013-07-18,38025020000
2013-07-19,38514830000
2013-07-22,38542980000
2013-07-23,38227700000
2013-07-24,37957460000
2013-07-25,38312150000
2013-07-26,37946200000
2013-07-29,38126360000
2013-07-30,38801960000
2013-07-31,38683730000
2013-08-01,38278370000
2013-08-02,38818850000
2013-08-05,39111610000
2013-08-06,38610540000
2013-08-07,38278370000
2013-08-08,38616170000
2013-08-09,38678100000
2013-08-12,38452900000
2013-08-13,39455040000
2013-08-14,39173540000
2013-08-15,38475420000
2013-08-16,38773810000
2013-08-19,38576760000
2013-08-20,38419120000
2013-08-21,38143250000
2013-08-22,39128500000
2013-08-23,39477560000
2013-08-26,39477560000
2013-08-27,38728770000
2013-08-28,39117240000
2013-08-29,39578900000
2013-08-30,39494450000
2013-09-03,39674610000
2013-09-04,39105980000
2013-09-05,39601420000
2013-09-06,39590159999
2013-09-09,39826620000
2013-09-10,39916700000
2013-09-11,39820990000
2013-09-12,39516970000
2013-09-13,39973000000
2013-09-16,40192570000
2013-09-17,40918840000
2013-09-18,41307310000
2013-09-19,41543770000
2013-09-20,41115890000
2013-09-23,40890690000
2013-09-24,40772460000
2013-09-25,41053960000
2013-09-26,41667630000
2013-09-27,41318570000
2013-09-30,40190391625
2013-10-01,40673356867
2013-10-02,40634939177
2013-10-03,40602009729
2013-10-04,41375851763
2013-10-07,40931304212
2013-10-08,40157462177
2013-10-09,39915979556
2013-10-10,41211204522
2013-10-11,41694169763
2013-10-14,41551475487
2013-10-15,41266086936
2013-10-16,41985046557
2013-10-17,42572288384
2013-10-18,42758888591
2013-10-21,43005859453
2013-10-22,43225389108
2013-10-23,43175994936
2013-10-24,42835723970
2013-10-25,42314341039
2013-10-28,41441710660
2013-10-29,41469151867
2013-10-30,41326457591
2013-10-31,40942280694
2013-11-01,40574568522
2013-11-04,40881910039
2013-11-05,40777633453
2013-11-06,41255110453
2013-11-07,41057533763
2013-11-08,41375851763
2013-11-11,41502081315
2013-11-12,41342922315
2013-11-13,41996023039
2013-11-14,42950977039
2013-11-15,43121112522
2013-11-18,43066230108
2013-11-19,42616194315
2013-11-20,42539358936
2013-11-21,42676564970
2013-11-22,43516265902
2013-11-25,42012487763
2013-11-26,41897234694
2013-11-27,42511917729
2013-11-29,42358246970
2013-12-02,42725959143
2013-12-03,42325317522
2013-12-04,42017976005
2013-12-05,41244133970
2013-12-06,42012487763
2013-12-09,42149693798
2013-12-10,42188111488
2013-12-11,41463663625
2013-12-12,41985046557
2013-12-13,41814911074
2013-12-16,42259458626
2013-12-17,42605217832
2013-12-18,43049765384
2013-12-19,42786329798
2013-12-20,43137577246
2013-12-23,42852188695
2013-12-24,43450407005
2013-12-26,43538218867
2013-12-27,43593101281
2013-12-30,43604077764
2013-12-31,43672320000
2014-01-02,42856320000
2014-01-03,42818240000
2014-01-06,42415680000
2014-01-07,42943360000
2014-01-08,43373120000
2014-01-09,43781120000
2014-01-10,43710400000
2014-01-13,43422080000
2014-01-14,44504640000
2014-01-15,45016000000
2014-01-16,44727680000
2014-01-17,44281600000
2014-01-21,44036800000
2014-01-22,43639680000
2014-01-23,42301440000
2014-01-24,41300480000
2014-01-27,41202560000
2014-01-28,41719360000
2014-01-29,41703040000
2014-01-30,42464640000
2014-01-31,42845440000
2014-02-03,42002240000
2014-02-04,42453760000
2014-02-05,42219840000
2014-02-06,43041280000
2014-02-07,43971520000
2014-02-10,44042240000
2014-02-11,44433920000
2014-02-12,44945280000
2014-02-13,45353280000
2014-02-14,45951680000
2014-02-18,46419520000
2014-02-19,45848320000
2014-02-20,46675200000
2014-02-21,46593600000
2014-02-24,46767680000
2014-02-25,46947200000
2014-02-26,47556480000
2014-02-27,47801280000
2014-02-28,47915520000
2014-03-03,48127680000
2014-03-04,48785920000
2014-03-05,49014400000
2014-03-06,49536640000
2014-03-07,49449600000
2014-03-10,49520320000
2014-03-11,49199360000
2014-03-12,49047040000
2014-03-13,48432320000
2014-03-14,48372480000
2014-03-17,49286400000
2014-03-18,49340800000
2014-03-19,48796800000
2014-03-20,49101440000
2014-03-21,48981760000
2014-03-24,48726080000
2014-03-25,49270080000
2014-03-26,48894720000
2014-03-27,47523840000
2014-03-28,48078720000
2014-03-31,46515620000
2014-04-01,46426710000
2014-04-02,47211210000
2014-04-03,47310580000
2014-04-04,46562690000
2014-04-07,45563760000
2014-04-08,45521920000
2014-04-09,46306420000
2014-04-10,45699740000
2014-04-11,45558530000
2014-04-14,46102450000
2014-04-15,46834650000
2014-04-16,47833580000
2014-04-17,48173530000
2014-04-21,48241520000
2014-04-22,48780210000
2014-04-23,48272900000
2014-04-24,47844040000
2014-04-25,47619150000
2014-04-28,47457020000
2014-04-29,47577310000
2014-04-30,48377500000
2014-05-01,48335660000
2014-05-02,48325200000
2014-05-05,48984180000
2014-05-06,49188150000
2014-05-07,50087710000
2014-05-08,49397350000
2014-05-09,49920350000
2014-05-12,50354440000
2014-05-13,50202770000
2014-05-14,50506110000
2014-05-15,49810520000
2014-05-16,50281220000
2014-05-19,50626400000
2014-05-20,50731000000
2014-05-21,51337680000
2014-05-22,51097100000
2014-05-23,51661940000
2014-05-27,51499810000
2014-05-28,51771770000
2014-05-29,52483050000
2014-05-30,52075110000
2014-06-02,52404600000
2014-06-03,52242470000
2014-06-04,52367990000
2014-06-05,51797920000
2014-06-06,51777000000
2014-06-09,51735160000
2014-06-10,52273850000
2014-06-11,51881600000
2014-06-12,51912980000
2014-06-13,51756080000
2014-06-16,51709010000
2014-06-17,51661940000
2014-06-18,51761310000
2014-06-19,51672400000
2014-06-20,52378450000
2014-06-23,52676560000
2014-06-24,52352300000
2014-06-25,51557340000
2014-06-26,51515500000
2014-06-27,50663010000
2014-06-30,49703850000
2014-07-01,50146680000
2014-07-02,50263750000
2014-07-03,50732030000
2014-07-07,50055060000
2014-07-08,49719120000
2014-07-09,50299380000
2014-07-10,50131410000
2014-07-11,50472440000
2014-07-14,50385910000
2014-07-15,50121230000
2014-07-16,50620050000
2014-07-17,50660770000
2014-07-18,51424270000
2014-07-21,51520980000
2014-07-22,51994350000
2014-07-23,52172500000
2014-07-24,52131780000
2014-07-25,54712410000
2014-07-28,55811850000
2014-07-29,55119610000
2014-07-30,55063620000
2014-07-31,54081250000
2014-08-01,54233950000
2014-08-04,55297760000
2014-08-05,54646240000
2014-08-06,55475910000
2014-08-07,54936370000
2014-08-08,55160330000
2014-08-11,55114520000
2014-08-12,55425010000
2014-08-13,55913650000
2014-08-14,55883110000
2014-08-15,56295400000
2014-08-18,56580440000
2014-08-19,57109800000
2014-08-20,57094530000
2014-08-21,57160700000
2014-08-22,57079260000
2014-08-25,57491550000
2014-08-26,57313400000
2014-08-27,57822400000
2014-08-28,57761320000
2014-08-29,58204150000
2014-09-02,58122710000
2014-09-03,58143070000
2014-09-04,57944560000
2014-09-05,58326310000
2014-09-08,58026000000
2014-09-09,57532270000
2014-09-10,57746050000
2014-09-11,57634070000
2014-09-12,56845120000
2014-09-15,56936740000
2014-09-16,56784040000
2014-09-17,56794220000
2014-09-18,57898750000
2014-09-19,58026000000
2014-09-22,57318490000
2014-09-23,56147790000
2014-09-24,56982550000
2014-09-25,56020540000
2014-09-26,57644250000
2014-09-29,57669700000
2014-09-30,52914095221
2014-10-01,51131787210
2014-10-02,50157848406
2014-10-03,49534527571
2014-10-06,49617312369
2014-10-07,48370670700
2014-10-08,49953321257
2014-10-09,48297625290
2014-10-10,46281571966
2014-10-13,42166680519
2014-10-14,41582317236
2014-10-15,41845280713
2014-10-16,43500976680
2014-10-17,43647067501
2014-10-20,44810924372
2014-10-21,46354617376
2014-10-22,45521899698
2014-10-23,45935823690
2014-10-24,44991103050
2014-10-27,42458862160
2014-10-28,43452279740
2014-10-29,44211952007
2014-10-30,44319085276
2014-10-31,44621006305
2014-11-03,43447410046
2014-11-04,40939517626
2014-11-05,41514141520
2014-11-06,42025459392
2014-11-07,42590343898
2014-11-10,42867916458
2014-11-11,43116270853
2014-11-12,43140619323
2014-11-13,42824089211
2014-11-14,43014007278
2014-11-17,42707216555
2014-11-18,43359755554
2014-11-19,43510716068
2014-11-20,44031773328
2014-11-21,44411609462
2014-11-24,44099949045
2014-11-25,44143776291
2014-11-26,43603240255
2014-11-28,38402407041
2014-12-01,37404119767
2014-12-02,37511253036
2014-12-03,38334231325
2014-12-04,39512697278
2014-12-05,39332518599
2014-12-08,37837522535
2014-12-09,38319622243
2014-12-10,36337656777
