,AEP
2001-06-11,15671861893
2001-06-12,15623531726
2001-06-13,15211114308
2001-06-14,14779364823
2001-06-15,15101565931
2001-06-18,15111231965
2001-06-19,15265888497
2001-06-20,15146674087
2001-06-21,14663372425
2001-06-22,14824472979
2001-06-25,14692370524
2001-06-26,14818028956
2001-06-27,14921133311
2001-06-28,14879247167
2001-06-29,14876025156
2001-07-02,15108240000
2001-07-03,14995540000
2001-07-05,15127559999
2001-07-06,15162980000
2001-07-09,15536500000
2001-07-10,15581580000
2001-07-11,15378720000
2001-07-12,15253140000
2001-07-13,15246700000
2001-07-16,15414140000
2001-07-17,15298220000
2001-07-18,15269240000
2001-07-19,15298220000
2001-07-20,14908600000
2001-07-23,13978019999
2001-07-24,13556200000
2001-07-25,13710760000
2001-07-26,13923280000
2001-07-27,14232400000
2001-07-30,14393400000
2001-07-31,14490000000
2001-08-01,14502880000
2001-08-02,14795900000
2001-08-03,14908600000
2001-08-06,14461019999
2001-08-07,14667100000
2001-08-08,14248500000
2001-08-09,14454580000
2001-08-10,14567280000
2001-08-13,14380519999
2001-08-14,14377300000
2001-08-15,14222740000
2001-08-16,14586600000
2001-08-17,14493220000
2001-08-20,14609140000
2001-08-21,14496440000
2001-08-22,14412720000
2001-08-23,14602700000
2001-08-24,14631680000
2001-08-27,14766920000
2001-08-28,14966559999
2001-08-29,14976220000
2001-08-30,14773360000
2001-08-31,14737940000
2001-09-04,14973000000
2001-09-05,14998760000
2001-09-06,15117900000
2001-09-07,15169420000
2001-09-10,15027740000
2001-09-17,14831320000
2001-09-18,15295000000
2001-09-19,15053500000
2001-09-20,15146880000
2001-09-21,14683200000
2001-09-24,14441700000
2001-09-25,14245280000
2001-09-26,14200200000
2001-09-27,14119700000
2001-09-28,13920059999
2001-10-01,14116480000
2001-10-02,14525420000
2001-10-03,14734720000
2001-10-04,14892500000
2001-10-05,15053500000
2001-10-08,14770140000
2001-10-09,14441700000
2001-10-10,14290360000
2001-10-11,14187320000
2001-10-12,14193760000
2001-10-15,14155120000
2001-10-16,14312900000
2001-10-17,14322559999
2001-10-18,13926500000
2001-10-19,14229180000
2001-10-22,14100380000
2001-10-23,13891080000
2001-10-24,13713980000
2001-10-25,13984460000
2001-10-26,13791260000
2001-10-29,13797700000
2001-10-30,13601280000
2001-10-31,13491800000
2001-11-01,13678559999
2001-11-02,13617380000
2001-11-05,14090720000
2001-11-06,14184100000
2001-11-07,14087500000
2001-11-08,14312900000
2001-11-09,14341880000
2001-11-12,14216300000
2001-11-13,14322559999
2001-11-14,14010220000
2001-11-15,13829900000
2001-11-16,13846000000
2001-11-19,13511120000
2001-11-20,13775160000
2001-11-21,13565860000
2001-11-23,13649580000
2001-11-26,13591620000
2001-11-27,13675340000
2001-11-28,13021680000
2001-11-29,13066760000
2001-11-30,13282500000
2001-12-03,13363000000
2001-12-04,13527220000
2001-12-05,13662460000
2001-12-06,13395200000
2001-12-07,13800920000
2001-12-10,13572300000
2001-12-11,13430620000
2001-12-12,13379100000
2001-12-13,13472480000
2001-12-14,13363000000
2001-12-17,13375880000
2001-12-18,13575519999
2001-12-19,13981240000
2001-12-20,13710760000
2001-12-21,13610940000
2001-12-24,13846000000
2001-12-26,13878200000
2001-12-27,13913620000
2001-12-28,13936160000
2001-12-31,14043598888
2002-01-02,14179098809
2002-01-03,14079086963
2002-01-04,13959717985
2002-01-07,14179098809
2002-01-08,14146836923
2002-01-09,14153289300
2002-01-10,14279110655
2002-01-11,14153289300
2002-01-14,14353312992
2002-01-15,14375896312
2002-01-16,14308146352
2002-01-17,14011337002
2002-01-18,13872610894
2002-01-22,13585480110
2002-01-23,13537087281
2002-01-24,13379004041
2002-01-25,13404813549
2002-01-28,13514503961
2002-01-29,13272539818
2002-01-30,13298349326
2002-01-31,13466111132
2002-02-01,13488694452
2002-02-04,13417718304
2002-02-05,13356420721
2002-02-06,13040254240
2002-02-07,12904754320
2002-02-08,13004766165
2002-02-11,13233825555
2002-02-12,13391908795
2002-02-13,13543539658
2002-02-14,13559670601
2002-02-15,13575801544
2002-02-19,13472563510
2002-02-20,13417718304
2002-02-21,13375777852
2002-02-22,13530634904
2002-02-25,13746789539
2002-02-26,13843575196
2002-02-27,14011337002
2002-02-28,14146836923
2002-03-01,14233944014
2002-03-04,14282336843
2002-03-05,14437193895
2002-03-06,14598503324
2002-03-07,14621086644
2002-03-08,14643669964
2002-03-11,14508170044
2002-03-12,14450098649
2002-03-13,14504943855
2002-03-14,14495265289
2002-03-15,14443646272
2002-03-18,14521074798
2002-03-19,14579146193
2002-03-20,14614634267
2002-03-21,14950157879
2002-03-22,14892086485
2002-03-25,14827562713
2002-03-26,14604955701
2002-03-27,14840467468
2002-03-28,14869503165
2002-04-01,14888420000
2002-04-02,15061200000
2002-04-03,15054680000
2002-04-04,15370900000
2002-04-05,15263320000
2002-04-08,15361120000
2002-04-09,15445880000
2002-04-10,15667560000
2002-04-11,15615400000
2002-04-12,15612140000
2002-04-15,15413280000
2002-04-16,15550200000
2002-04-17,15599100000
2002-04-18,15605620000
2002-04-19,15605620000
2002-04-22,15641479999
2002-04-23,15657780000
2002-04-24,15543680000
2002-04-25,15093800000
2002-04-26,14986220000
2002-04-29,14940580000
2002-04-30,14930800000
2002-05-01,14891680000
2002-05-02,14911240000
2002-05-03,14950360000
2002-05-06,15097060000
2002-05-07,15113360000
2002-05-08,14982960000
2002-05-09,14937320000
2002-05-10,14689560000
2002-05-13,14731940000
2002-05-14,14901460000
2002-05-15,14624360000
2002-05-16,14278800000
2002-05-17,14001700000
2002-05-20,14340740000
2002-05-21,14376600000
2002-05-22,14696080000
2002-05-23,14702600000
2002-05-24,14630880000
2002-05-28,14670000000
2002-05-29,14337479999
2002-05-30,14132100000
2002-05-31,13929979999
2002-06-03,13463800000
2002-06-04,13620280000
2002-06-05,13333400000
2002-06-06,13144320000
2002-06-07,13101940000
2002-06-10,13349700000
2002-06-11,13339920000
2002-06-12,13388820000
2002-06-13,13382300000
2002-06-14,13421420000
2002-06-17,13568120000
2002-06-18,13750680000
2002-06-19,13636580000
2002-06-20,13219300000
2002-06-21,13414900000
2002-06-24,13333400000
2002-06-25,13209520000
2002-06-26,13056300000
2002-06-27,12909600000
2002-06-28,13046520000
2002-07-01,13421010000
2002-07-02,13044719999
2002-07-03,12959969999
2002-07-05,13180320000
2002-07-08,13129469999
2002-07-09,12526050000
2002-07-10,11956530000
2002-07-11,12556560000
2002-07-12,12037890000
2002-07-15,12380280000
2002-07-16,12058230000
2002-07-17,11678550000
2002-07-18,10614090000
2002-07-19,9593700000
2002-07-22,8820780000
2002-07-23,7969890000
2002-07-24,8919090000
2002-07-25,10000500000
2002-07-26,9932700000
2002-07-29,10397130000
2002-07-30,11309040000
2002-07-31,11156489999
2002-08-01,10986989999
2002-08-02,10529340000
2002-08-05,10576800000
2002-08-06,10915800000
2002-08-07,10709010000
2002-08-08,10858170000
2002-08-09,11064960000
2002-08-12,11187000000
2002-08-13,10848000000
2002-08-14,11153100000
2002-08-15,11085300000
2002-08-16,10895460000
2002-08-19,11010719999
2002-08-20,11281920000
2002-08-21,11654820000
2002-08-22,12122640000
2002-08-23,11922630000
2002-08-26,12326040000
2002-08-27,12346380000
2002-08-28,12298920000
2002-08-29,11841270000
2002-08-30,11559900000
2002-09-03,10976820000
2002-09-04,10854780000
2002-09-05,11112420000
2002-09-06,11129370000
2002-09-09,10973430000
2002-09-10,10424250000
2002-09-11,10170000000
2002-09-12,9919140000
2002-09-13,9966600000
2002-09-16,9963210000
2002-09-17,9492000000
2002-09-18,9986940000
2002-09-19,9915750000
2002-09-20,9451320000
2002-09-23,9024180000
2002-09-24,9014010000
2002-09-25,9173340000
2002-09-26,9800490000
2002-09-27,9698790000
2002-09-30,10149560000
2002-10-01,10672880000
2002-10-02,10231440000
2002-10-03,9957320000
2002-10-04,8996120000
2002-10-07,8725560000
2002-10-08,8155960000
2002-10-09,6297640000
2002-10-10,7547200000
2002-10-11,7525840000
2002-10-14,7041680000
2002-10-15,6942000000
2002-10-16,6543280000
2002-10-17,6536160000
2002-10-18,6415120000
2002-10-21,7173399999
2002-10-22,7479560000
2002-10-23,7753680000
2002-10-24,7785720000
2002-10-25,8775400000
2002-10-28,9284480000
2002-10-29,8964080000
2002-10-30,9220400000
2002-10-31,9127840000
2002-11-01,9206160000
2002-11-04,10049880000
2002-11-05,9982240000
2002-11-06,10174480000
2002-11-07,9455360000
2002-11-08,8985440000
2002-11-11,9035280000
2002-11-12,9067320000
2002-11-13,9252440000
2002-11-14,9558600000
2002-11-15,9822040000
2002-11-18,9665400000
2002-11-19,9551480000
2002-11-20,9505200000
2002-11-21,9647600000
2002-11-22,10160240000
2002-11-25,10744080000
2002-11-26,10007160000
2002-11-27,10142440000
2002-11-29,10117520000
2002-12-02,10028520000
2002-12-03,10089040000
2002-12-04,9733040000
2002-12-05,9679640000
2002-12-06,9451800000
2002-12-09,9515880000
2002-12-10,9401960000
2002-12-11,9337880000
2002-12-12,9184800000
2002-12-13,9159880000
2002-12-16,9555040000
2002-12-17,9743720000
2002-12-18,9790000000
2002-12-19,9708120000
2002-12-20,9889680000
2002-12-23,9697440000
2002-12-24,9697440000
2002-12-26,9953760000
2002-12-27,9757960000
2002-12-30,9800680000
2002-12-31,9729480000
2003-01-02,10032080000
2003-01-03,10235000000
2003-01-06,10858000000
2003-01-07,10669320000
2003-01-08,10605240000
2003-01-09,10680000000
2003-01-10,10121080000
2003-01-13,9644040000
2003-01-14,9576400000
2003-01-15,9718800000
2003-01-16,9651160000
2003-01-17,9544360000
2003-01-21,9394840000
2003-01-22,9458920000
2003-01-23,9572840000
2003-01-24,9131400000
2003-01-27,8494160000
2003-01-28,8668600000
2003-01-29,8565360000
2003-01-30,8294800000
2003-01-31,8408720000
2003-02-03,8419399999
2003-02-04,8234280000
2003-02-05,8066960000
2003-02-06,7832000000
2003-02-07,7554320000
2003-02-10,7404800000
2003-02-11,7340720000
2003-02-12,7098640000
2003-02-13,7262399999
2003-02-14,7333600000
2003-02-18,7454640000
2003-02-19,7401240000
2003-02-20,7379880000
2003-02-21,7700280000
2003-02-24,7511600000
2003-02-25,7568560000
2003-02-26,7237479999
2003-02-27,7458200000
2003-02-28,7753680000
2003-03-03,7824880000
2003-03-04,7693160000
2003-03-05,7814200000
2003-03-06,7903200000
2003-03-07,7814200000
2003-03-10,7607720000
2003-03-11,7625520000
2003-03-12,7643320000
2003-03-13,7814200000
2003-03-14,7778600000
2003-03-17,7856920000
2003-03-18,7995760000
2003-03-19,8020680000
2003-03-20,8127479999
2003-03-21,8131040000
2003-03-24,8059840000
2003-03-25,8123920000
2003-03-26,8116800000
2003-03-27,8159520000
2003-03-28,8184439999
2003-03-31,9025750000
2003-04-01,9235100000
2003-04-02,9085000000
2003-04-03,9045500000
2003-04-04,9235100000
2003-04-07,9365450000
2003-04-08,9349650000
2003-04-09,9436550000
2003-04-10,9480000000
2003-04-11,9480000000
2003-04-14,9649850000
2003-04-15,9760450000
2003-04-16,9803900000
2003-04-17,9942150000
2003-04-21,9898700000
2003-04-22,9847350000
2003-04-23,9851300000
2003-04-24,10131750000
2003-04-25,9938200000
2003-04-28,9985600000
2003-04-29,10372700000
2003-04-30,10420100000
2003-05-01,10163350000
2003-05-02,10005350000
2003-05-05,10187050000
2003-05-06,10171250000
2003-05-07,10072500000
2003-05-08,9973750000
2003-05-09,10072500000
2003-05-12,10147550000
2003-05-13,10115950000
2003-05-14,10100150000
2003-05-15,10376650000
2003-05-16,10605750000
2003-05-19,10175200000
2003-05-20,10356900000
2003-05-21,10443800000
2003-05-22,10783500000
2003-05-23,11257500000
2003-05-27,11553750000
2003-05-28,11269350000
2003-05-29,11075800000
2003-05-30,11470800000
2003-06-02,11743350000
2003-06-03,11680150000
2003-06-04,11719650000
2003-06-05,11751250000
2003-06-06,11652500000
2003-06-09,11605100000
2003-06-10,11620900000
2003-06-11,11834200000
2003-06-12,11846050000
2003-06-13,11723600000
2003-06-16,12126500000
2003-06-17,12094900000
2003-06-18,12162050000
2003-06-19,12229200000
2003-06-20,12260800000
2003-06-23,11948750000
2003-06-24,11771000000
2003-06-25,11782850000
2003-06-26,11790750000
2003-06-27,11727550000
2003-06-30,11782850000
2003-07-01,11739400000
2003-07-02,11771000000
2003-07-03,11573500000
2003-07-07,11573500000
2003-07-08,11490550000
2003-07-09,11352300000
2003-07-10,11142950000
2003-07-11,11166650000
2003-07-14,11229850000
2003-07-15,11044200000
2003-07-16,10819050000
2003-07-17,10645250000
2003-07-18,10783500000
2003-07-21,10554400000
2003-07-22,10795350000
2003-07-23,10767700000
2003-07-24,10775600000
2003-07-25,10992850000
2003-07-28,10933600000
2003-07-29,10965200000
2003-07-30,10973100000
2003-07-31,11083700000
2003-08-01,11044200000
2003-08-04,11099500000
2003-08-05,10905950000
2003-08-06,10866450000
2003-08-07,10823000000
2003-08-08,10890150000
2003-08-11,10826950000
2003-08-12,11032350000
2003-08-13,11012600000
2003-08-14,11139000000
2003-08-15,11087650000
2003-08-18,11056050000
2003-08-19,11060000000
2003-08-20,11277250000
2003-08-21,11245650000
2003-08-22,11087650000
2003-08-25,11218000000
2003-08-26,11245650000
2003-08-27,11182450000
2003-08-28,11202200000
2003-08-29,11182450000
2003-09-02,11352300000
2003-09-03,11565600000
2003-09-04,11577450000
2003-09-05,11486600000
2003-09-08,11636700000
2003-09-09,11435250000
2003-09-10,11510300000
2003-09-11,11490550000
2003-09-12,11656450000
2003-09-15,11490550000
2003-09-16,11636700000
2003-09-17,11486600000
2003-09-18,11727550000
2003-09-19,11719650000
2003-09-22,11601150000
2003-09-23,11565600000
2003-09-24,11316750000
2003-09-25,11443150000
2003-09-26,11644600000
2003-09-29,11850000000
2003-09-30,11850000000
2003-10-01,11692000000
2003-10-02,11850000000
2003-10-03,11798650000
2003-10-06,11897400000
2003-10-07,11802600000
2003-10-08,11794700000
2003-10-09,11692000000
2003-10-10,11676200000
2003-10-13,11695950000
2003-10-14,11751250000
2003-10-15,11652500000
2003-10-16,11672250000
2003-10-17,11628800000
2003-10-20,11589300000
2003-10-21,11660400000
2003-10-22,11699900000
2003-10-23,11530050000
2003-10-24,11553750000
2003-10-27,11368100000
2003-10-28,11387850000
2003-10-29,11352300000
2003-10-30,11229850000
2003-10-31,11135050000
2003-11-03,11186400000
2003-11-04,11091600000
2003-11-05,11012600000
2003-11-06,10870400000
2003-11-07,10732150000
2003-11-10,10665000000
2003-11-11,10720300000
2003-11-12,10862500000
2003-11-13,10858550000
2003-11-14,10807200000
2003-11-17,10665000000
2003-11-18,10558350000
2003-11-19,10842750000
2003-11-20,10700550000
2003-11-21,10712400000
2003-11-24,10842750000
2003-11-25,10870400000
2003-11-26,10961250000
2003-11-28,10937550000
2003-12-01,10981000000
2003-12-02,10981000000
2003-12-03,11032350000
2003-12-04,11111350000
2003-12-05,11221950000
2003-12-08,11142950000
2003-12-09,10941500000
2003-12-10,11040250000
2003-12-11,11198250000
2003-12-12,11178500000
2003-12-15,11202200000
2003-12-16,11387850000
2003-12-17,11731500000
2003-12-18,11798650000
2003-12-19,11802600000
2003-12-22,11822350000
2003-12-23,11932950000
2003-12-24,11885550000
2003-12-26,11857900000
2003-12-29,11952700000
2003-12-30,12051450000
2003-12-31,12051450000
2004-01-02,12150200000
2004-01-05,12162050000
2004-01-06,12043550000
2004-01-07,12150200000
2004-01-08,12339800000
2004-01-09,12252900000
2004-01-12,12280550000
2004-01-13,12241050000
2004-01-14,12395100000
2004-01-15,12300300000
2004-01-16,12331900000
2004-01-20,12304250000
2004-01-21,12564950000
2004-01-22,12671600000
2004-01-23,12592600000
2004-01-26,12592600000
2004-01-27,12557050000
2004-01-28,12746650000
2004-01-29,12928349999
2004-01-30,12896750000
2004-02-02,12884899999
2004-02-03,13327300000
2004-02-04,13165350000
2004-02-05,13094250000
2004-02-06,13038950000
2004-02-09,13011300000
2004-02-10,13189050000
2004-02-11,13228550000
2004-02-12,13212750000
2004-02-13,13212750000
2004-02-17,13509000000
2004-02-18,13461600000
2004-02-19,13343100000
2004-02-20,13248300000
2004-02-23,13212750000
2004-02-24,13090300000
2004-02-25,13275950000
2004-02-26,13382600000
2004-02-27,13627500000
2004-03-01,13817099999
2004-03-02,13651200000
2004-03-03,13430000000
2004-03-04,13426050000
2004-03-05,13449749999
2004-03-08,13390500000
2004-03-09,13394449999
2004-03-10,13390500000
2004-03-11,13240400000
2004-03-12,13279899999
2004-03-15,13165350000
2004-03-16,13272000000
2004-03-17,13390500000
2004-03-18,13366800000
2004-03-19,13232500000
2004-03-22,13133750000
2004-03-23,13094250000
2004-03-24,13133750000
2004-03-25,13070550000
2004-03-26,12936250000
2004-03-29,12991550000
2004-03-30,12991550000
2004-03-31,13036320000
2004-04-01,13139280000
2004-04-02,13068000000
2004-04-05,12980880000
2004-04-06,12976920000
2004-04-07,12759120000
2004-04-08,12711600000
2004-04-12,12386880000
2004-04-13,12145320000
2004-04-14,12070080000
2004-04-15,12236400000
2004-04-16,12272040000
2004-04-19,12137400000
2004-04-20,12050280000
2004-04-21,11927520000
2004-04-22,12260160000
2004-04-23,12184920000
2004-04-26,12204720000
2004-04-27,12113640000
2004-04-28,12038400000
2004-04-29,12129480000
2004-04-30,12054240000
2004-05-03,12224520000
2004-05-04,12291840000
2004-05-05,12248280000
2004-05-06,12070080000
2004-05-07,11709720000
2004-05-10,11487960000
2004-05-11,11495880000
2004-05-12,11559240000
2004-05-13,11662200000
2004-05-14,11832480000
2004-05-17,11650320000
2004-05-18,11705760000
2004-05-19,11701800000
2004-05-20,11836440000
2004-05-21,11840400000
2004-05-24,12066120000
2004-05-25,12268080000
2004-05-26,12287880000
2004-05-27,12489840000
2004-05-28,12580920000
2004-06-01,12434400000
2004-06-02,12501720000
2004-06-03,12311640000
2004-06-04,12252240000
2004-06-07,12561120000
2004-06-08,12434400000
2004-06-09,12260160000
2004-06-10,12355200000
2004-06-14,12268080000
2004-06-15,12347280000
2004-06-16,12410640000
2004-06-17,12501720000
2004-06-18,12628440000
2004-06-21,12664080000
2004-06-22,12573000000
2004-06-23,12576960000
2004-06-24,12687840000
2004-06-25,12660120000
2004-06-28,12774960000
2004-06-29,12608640000
2004-06-30,12672000000
2004-07-01,12509640000
2004-07-02,12553200000
2004-07-06,12505680000
2004-07-07,12386880000
2004-07-08,12521520000
2004-07-09,12446280000
2004-07-12,12430440000
2004-07-13,12446280000
2004-07-14,12557160000
2004-07-15,12533400000
2004-07-16,12644280000
2004-07-19,12616560000
2004-07-20,12672000000
2004-07-21,12394800000
2004-07-22,12272040000
2004-07-23,12081960000
2004-07-26,12101760000
2004-07-27,12042360000
2004-07-28,12173040000
2004-07-29,12470040000
2004-07-30,12319560000
2004-08-02,12442320000
2004-08-03,12529440000
2004-08-04,12652200000
2004-08-05,12668040000
2004-08-06,12672000000
2004-08-09,12513600000
2004-08-10,12553200000
2004-08-11,12719519999
2004-08-12,12612600000
2004-08-13,12616560000
2004-08-16,12727440000
2004-08-17,12632400000
2004-08-18,12771000000
2004-08-19,12636360000
2004-08-20,12790799999
2004-08-23,12731400000
