,FISV
2002-03-06,8389436000
2002-03-07,8564851480
2002-03-08,8511464160
2002-03-11,8702133160
2002-03-12,8763147240
2002-03-13,8557224720
2002-03-14,8549597960
2002-03-15,8763147240
2002-03-18,8862295120
2002-03-19,8885175400
2002-03-20,8671626120
2002-03-21,8755520480
2002-03-22,8663999360
2002-03-25,8618238800
2002-03-26,8824161320
2002-03-27,8740266960
2002-03-28,8770774000
2002-04-01,8820633600
2002-04-02,8698124800
2002-04-03,8621556800
2002-04-04,8575615999
2002-04-05,8422480000
2002-04-08,8613900000
2002-04-09,8162148800
2002-04-10,8238716800
2002-04-11,8062610399
2002-04-12,8116208000
2002-04-15,8070267199
2002-04-16,8039640000
2002-04-17,7840563200
2002-04-18,7901817600
2002-04-19,8215746400
2002-04-22,8100894400
2002-04-23,8192775999
2002-04-24,8345912000
2002-04-25,8399509600
2002-04-26,8284657600
2002-04-29,8200432800
2002-04-30,8514361599
2002-05-01,8575615999
2002-05-02,8453107199
2002-05-03,8338255200
2002-05-06,8269344000
2002-05-07,8368882400
2002-05-08,8552645600
2002-05-09,8338255200
2002-05-10,8246373600
2002-05-13,8552645600
2002-05-14,8537332000
2002-05-15,8705781600
2002-05-16,8805320000
2002-05-17,8767036000
2002-05-20,8353568800
2002-05-21,8200432800
2002-05-22,8162148800
2002-05-23,8345912000
2002-05-24,8070267199
2002-05-28,8031983200
2002-05-29,7978385600
2002-05-30,8047296800
2002-05-31,8146835200
2002-06-03,8070267199
2002-06-04,8093237600
2002-06-05,8031983200
2002-06-06,7901817600
2002-06-07,8016669600
2002-06-10,7932444800
2002-06-11,7580232000
2002-06-12,7442409600
2002-06-13,7235675999
2002-06-14,7549604800
2002-06-17,7603202400
2002-06-18,7411782400
2002-06-19,7266303200
2002-06-20,7166764800
2002-06-21,6906433600
2002-06-24,6937060800
2002-06-25,6730327199
2002-06-26,6852835999
2002-06-27,6914090399
2002-06-28,7028942400
2002-07-01,6783135360
2002-07-02,6568041600
2002-07-03,6737043840
2002-07-05,7098094080
2002-07-08,6606451200
2002-07-09,6475858560
2002-07-10,6191627520
2002-07-11,6498904320
2002-07-12,6399039360
2002-07-15,6452812800
2002-07-16,6667906560
2002-07-17,6836908800
2002-07-18,6283810560
2002-07-19,6199309440
2002-07-22,6030307200
2002-07-23,5861304960
2002-07-24,6230037120
2002-07-25,6068716800
2002-07-26,6176263679
2002-07-29,6521950080
2002-07-30,6575723520
2002-07-31,6606451200
2002-08-01,6399039360
2002-08-02,6222355200
2002-08-05,6053352960
2002-08-06,6468176640
2002-08-07,6537313920
2002-08-08,6767771520
2002-08-09,6606451200
2002-08-12,6598769280
2002-08-13,6368311679
2002-08-14,6944455679
2002-08-15,7098094080
2002-08-16,7259414399
2002-08-19,7405370880
2002-08-20,7098094080
2002-08-21,7190277120
2002-08-22,7535963520
2002-08-23,7267096320
2002-08-26,7420734720
2002-08-27,7159549440
2002-08-28,6913728000
2002-08-29,7075048320
2002-08-30,7067366399
2002-09-03,6629496960
2002-09-04,6806181120
2002-09-05,6345265920
2002-09-06,6660224640
2002-09-09,6667906560
2002-09-10,6713998080
2002-09-11,6690952320
2002-09-12,6437448960
2002-09-13,6468176640
2002-09-16,6391357440
2002-09-17,6322220160
2002-09-18,6445130880
2002-09-19,6030307200
2002-09-20,6022625280
2002-09-23,5876668800
2002-09-24,5684620800
2002-09-25,5400389760
2002-09-26,5530982400
2002-09-27,5484890880
2002-09-30,5392707840
2002-10-01,5575359234
2002-10-02,5222585472
2002-10-03,4524706943
2002-10-04,4332982073
2002-10-07,4348320062
2002-10-08,4655079855
2002-10-09,4563051917
2002-10-10,5015522612
2002-10-11,5306944415
2002-10-14,5360627379
2002-10-15,5636711192
2002-10-16,5552352249
2002-10-17,5997153949
2002-10-18,5836105058
2002-10-21,6142864850
2002-10-22,5613704208
2002-10-23,5721070135
2002-10-24,5675056166
2002-10-25,5997153949
2002-10-28,5790091089
2002-10-29,5644380187
2002-10-30,5836105058
2002-10-31,5989484954
2002-11-01,6020160933
2002-11-04,6096850881
2002-11-05,6135195856
2002-11-06,6112188871
2002-11-07,5981815959
2002-11-08,5797760083
2002-11-11,5659718177
2002-11-12,5675056166
2002-11-13,5644380187
2002-11-14,5744077120
2002-11-15,6127526861
2002-11-18,6119857866
2002-11-19,5997153949
2002-11-20,6296244747
2002-11-21,6718039462
2002-11-22,6656687503
2002-11-25,6579997555
2002-11-26,6280906757
2002-11-27,6549321576
