,DLR
2005-05-12,310608850
2005-05-13,306753016
2005-05-16,311894128
2005-05-17,309966211
2005-05-18,312750980
2005-05-19,315107323
2005-05-20,321105287
2005-05-23,326246399
2005-05-24,322604778
2005-05-25,321533713
2005-05-26,322604778
2005-05-27,324104269
2005-05-31,321319500
2005-06-01,322390565
2005-06-02,324746908
2005-06-03,324961121
2005-06-06,325603760
2005-06-07,326460612
2005-06-08,338028114
2005-06-09,342740800
2005-06-10,343169226
2005-06-13,335243345
2005-06-14,336957049
2005-06-15,348096125
2005-06-16,348738764
2005-06-17,344882930
2005-06-20,342740800
2005-06-21,350880894
2005-06-22,349167190
2005-06-23,354094089
2005-06-24,366946869
2005-06-27,357735710
2005-06-28,364162100
2005-06-29,368660573
2005-06-30,446748050
2005-07-01,456258797
2005-07-05,453688325
2005-07-06,450346711
2005-07-07,449061475
2005-07-08,458829269
2005-07-11,459857458
2005-07-12,463456119
2005-07-13,462170883
2005-07-14,452660136
2005-07-15,443149390
2005-07-18,444691673
2005-07-19,448804428
2005-07-20,457544033
2005-07-21,467825922
2005-07-22,468082969
2005-07-25,473738008
2005-07-26,476308480
2005-07-27,476822574
2005-07-28,486333321
2005-07-29,486847415
2005-08-01,489674935
2005-08-02,490703123
2005-08-03,501499106
2005-08-04,492502454
2005-08-05,489674935
2005-08-08,479393046
2005-08-09,481963518
2005-08-10,479393046
2005-08-11,481449424
2005-08-12,480678282
2005-08-15,489160840
2005-08-16,502013201
2005-08-17,502527295
2005-08-18,502013201
2005-08-19,505354814
2005-08-22,505868909
2005-08-23,496101115
2005-08-24,495072926
2005-08-25,491474265
2005-08-26,495329973
2005-08-29,491731312
2005-08-30,494558832
2005-08-31,488903793
2005-09-01,488903793
2005-09-02,488389699
2005-09-06,496358162
2005-09-07,488903793
2005-09-08,493016548
2005-09-09,495329973
2005-09-12,487361510
2005-09-13,475537338
2005-09-14,474766196
2005-09-15,478878952
2005-09-16,476051432
2005-09-19,468854111
2005-09-20,463199072
2005-09-21,460885647
2005-09-22,461399741
2005-09-23,463970214
2005-09-26,465769544
2005-09-27,463970214
2005-09-28,453688325
2005-09-29,452660136
2005-09-30,492313698
2005-10-03,497236834
2005-10-04,496416312
2005-10-05,487390561
2005-10-06,497236834
2005-10-07,510091692
2005-10-10,503254002
2005-10-11,518296920
2005-10-12,508724154
2005-10-13,509818185
2005-10-14,516929382
2005-10-17,521579012
2005-10-18,523493565
2005-10-19,533339839
2005-10-20,522399535
2005-10-21,532245809
2005-10-24,535527900
2005-10-25,533886854
2005-10-26,521305504
2005-10-27,513647291
2005-10-28,522126027
2005-10-31,524587595
2005-11-01,526228641
2005-11-02,541545067
2005-11-03,546468204
2005-11-04,546468204
2005-11-07,559049554
2005-11-08,558229032
2005-11-09,574639488
2005-11-10,582024194
2005-11-11,590776437
2005-11-14,582844716
2005-11-15,574639488
2005-11-16,567254783
2005-11-17,566981275
2005-11-18,577101057
2005-11-21,580383148
2005-11-22,589408899
2005-11-23,596793605
2005-11-25,597887635
2005-11-28,594605544
2005-11-29,604451818
2005-11-30,614845107
2005-12-01,624417873
2005-12-02,621682797
2005-12-05,614845107
2005-12-06,629067503
2005-12-07,624691381
2005-12-08,648486543
2005-12-09,643289898
2005-12-12,641375345
2005-12-13,640828330
2005-12-14,638366761
2005-12-15,642742883
2005-12-16,638093254
2005-12-19,625238396
2005-12-20,624964888
2005-12-21,629888025
2005-12-22,632896609
2005-12-23,638913776
2005-12-27,637272731
2005-12-28,643016391
2005-12-29,631255563
2005-12-30,618947721
2006-01-03,625698892
2006-01-04,632849736
2006-01-05,640275613
2006-01-06,647426457
2006-01-09,653202140
2006-01-10,661728146
2006-01-11,655127367
2006-01-12,655127367
2006-01-13,658427757
2006-01-17,646876392
2006-01-18,643025938
2006-01-19,645501230
2006-01-20,653202140
2006-01-23,657327627
2006-01-24,666403699
2006-01-25,679880290
2006-01-26,692806817
2006-01-27,720860130
2006-01-30,704083148
2006-01-31,712059090
2006-02-01,710683928
2006-02-02,705458311
2006-02-03,699132564
2006-02-06,702707986
2006-02-07,704633213
2006-02-08,688406297
2006-02-09,689231394
2006-02-10,688406297
2006-02-13,680430355
2006-02-14,695832174
2006-02-15,717834772
2006-02-16,733236591
2006-02-17,729111104
2006-02-21,753313962
2006-02-22,766790554
2006-02-23,775041528
2006-02-24,771741138
2006-02-27,770090944
2006-02-28,759364677
2006-03-01,765415391
2006-03-02,755514222
2006-03-03,750013572
2006-03-06,751388735
2006-03-07,742587696
2006-03-08,734336721
2006-03-09,726360779
2006-03-10,721960260
2006-03-13,723610454
2006-03-14,728286007
2006-03-15,726635812
2006-03-16,721960260
2006-03-17,710408895
2006-03-20,722510324
2006-03-21,728836072
2006-03-22,728836072
2006-03-23,731586396
2006-03-24,730211234
2006-03-27,731586396
2006-03-28,739837371
2006-03-29,771191073
2006-03-30,766240489
2006-03-31,940096000
2006-04-03,942765780
2006-04-04,942098335
2006-04-05,947771616
2006-04-06,951442562
2006-04-07,951442562
2006-04-10,941430890
2006-04-11,949440228
2006-04-12,943433224
2006-04-13,945769281
2006-04-17,940763445
2006-04-18,975470575
2006-04-19,977472909
2006-04-20,977806632
2006-04-21,974135685
2006-04-24,963790291
2006-04-25,957783288
2006-04-26,937759944
2006-04-27,939428556
2006-04-28,941097168
2006-05-01,926747104
2006-05-02,917736600
2006-05-03,926413382
2006-05-04,926079660
2006-05-05,919405212
2006-05-08,903386536
2006-05-09,900049312
2006-05-10,898714423
2006-05-11,890705085
2006-05-12,867678240
2006-05-15,873351520
2006-05-16,866009628
2006-05-17,853328176
2006-05-18,827297829
2006-05-19,824961772
2006-05-22,813281488
2006-05-23,814282656
2006-05-24,799932592
2006-05-25,811279154
2006-05-26,819288492
2006-05-30,834973444
2006-05-31,837643224
2006-06-01,834306000
2006-06-02,825629217
2006-06-05,827965274
2006-06-06,835640889
2006-06-07,804270984
2006-06-08,801267482
2006-06-09,798597703
2006-06-12,798931425
2006-06-13,768896409
2006-06-14,763890573
2006-06-15,779241804
2006-06-16,819955936
2006-06-19,819955936
2006-06-20,804270984
2006-06-21,818954769
2006-06-22,817619880
2006-06-23,812614044
2006-06-26,821290826
2006-06-27,820289659
2006-06-28,826964107
2006-06-29,827297829
2006-06-30,891660906
2006-07-03,897800329
2006-07-05,932831154
2006-07-06,930303157
2006-07-07,921274594
2006-07-10,921635736
2006-07-11,922719164
2006-07-12,929942014
2006-07-13,914412885
2006-07-14,916218598
2006-07-17,916579741
2006-07-18,947276856
2006-07-19,972556833
2006-07-20,941859718
2006-07-21,938970578
2006-07-24,934636867
2006-07-25,950527138
2006-07-26,953416279
2006-07-27,951249424
2006-07-28,982307681
2006-07-31,987002534
2006-08-01,994225385
2006-08-02,1011560226
2006-08-03,1014810509
2006-08-04,1034673348
2006-08-07,1023839072
2006-08-08,1030700780
2006-08-09,997475667
2006-08-10,1001448235
2006-08-11,1009032228
2006-08-14,1015171651
2006-08-15,1020227647
2006-08-16,1053813902
2006-08-17,1048035622
2006-08-18,1064648178
2006-08-21,1064648178
2006-08-22,1068259603
2006-08-23,1044424196
2006-08-24,1042257341
2006-08-25,1051285904
2006-08-28,1083788732
2006-08-29,1082344162
2006-08-30,1079455022
2006-08-31,1080177307
2006-09-01,1074037884
2006-09-05,1090650440
2006-09-06,1089567013
2006-09-07,1094261865
2006-09-08,1097873291
2006-09-11,1113041277
2006-09-12,1119902985
2006-09-13,1115569275
2006-09-14,1102929286
2006-09-15,1117374987
2006-09-18,1097873291
2006-09-19,1118458415
2006-09-20,1143016107
2006-09-21,1120986413
2006-09-22,1111957849
2006-09-25,1093900723
2006-09-26,1091372725
2006-09-27,1095706436
2006-09-28,1102207001
2006-09-29,1131098403
2006-10-02,1756933208
2006-10-03,1763714552
2006-10-04,1769930784
2006-10-05,1782928360
2006-10-06,1784058584
2006-10-09,1791405040
2006-10-10,1777277240
2006-10-11,1780667912
2006-10-12,1827572208
2006-10-13,1884083408
2006-10-16,1914599456
2006-10-17,1894820536
2006-10-18,1893690312
2006-10-19,1904992552
2006-10-20,1899341432
2006-10-23,1906687888
2006-10-24,1894255424
2006-10-25,1895385648
2006-10-26,1879562512
2006-10-27,1879562512
2006-10-30,1875041616
2006-10-31,1886908968
2006-11-01,1874476504
2006-11-02,1868825384
2006-11-03,1860913816
2006-11-06,1911773896
2006-11-07,1910078559
2006-11-08,1899341432
2006-11-09,1914034343
2006-11-10,1924206359
2006-11-13,1954722408
2006-11-14,1980717559
2006-11-15,2007277824
2006-11-16,1983543120
2006-11-17,1946810840
2006-11-20,1993150024
2006-11-21,2075656375
2006-11-22,2079612159
2006-11-24,2103346864
2006-11-27,2065484359
2006-11-28,2005017375
2006-11-29,2021405624
2006-11-30,2059268127
2006-12-01,2058137904
2006-12-04,2079047048
2006-12-05,2097695743
2006-12-06,2046270552
2006-12-07,2015754504
2006-12-08,2014059168
2006-12-11,1992019800
2006-12-12,2020840512
2006-12-13,2011233608
2006-12-14,2036663648
2006-12-15,2019145175
2006-12-18,1989759352
2006-12-19,1957547968
2006-12-20,1972805991
2006-12-21,1960938640
2006-12-22,1951896848
2006-12-26,1967719984
2006-12-27,1946810840
2006-12-28,1932683040
2006-12-29,1934378375
2007-01-03,1953592184
2007-01-04,1983543120
2007-01-05,1948506175
2007-01-08,1924771472
2007-01-09,1923641248
2007-01-10,1949636400
2007-01-11,1945115504
2007-01-12,1997670920
2007-01-16,2020275400
2007-01-17,2000496480
2007-01-18,2003887152
2007-01-19,2008973159
2007-01-22,1992019800
2007-01-23,2005017375
2007-01-24,2008973159
2007-01-25,2011798720
2007-01-26,2010103384
2007-01-29,2020275400
2007-01-30,2025926520
2007-01-31,2031012527
2007-02-01,2067744808
2007-02-02,2101086416
2007-02-05,2110693320
2007-02-06,2123690896
2007-02-07,2147425600
2007-02-08,2149686048
2007-02-09,2112388656
2007-02-12,2083567943
2007-02-13,2107867759
2007-02-14,2145165152
2007-02-15,2147425600
2007-02-16,2143469816
2007-02-20,2211283256
2007-02-21,2232192400
2007-02-22,2211283256
2007-02-23,2205632136
2007-02-26,2184157880
2007-02-27,2107867759
2007-02-28,2240103968
2007-03-01,2210718144
2007-03-02,2175681200
2007-03-05,2103911975
2007-03-06,2159292952
2007-03-07,2175681200
2007-03-08,2181332320
2007-03-09,2175681200
2007-03-12,2184722992
2007-03-13,2134993136
2007-03-14,2132732688
2007-03-15,2145730264
2007-03-16,2146860488
2007-03-19,2154206944
2007-03-20,2196590344
2007-03-21,2238973744
2007-03-22,2234452848
2007-03-23,2255927104
2007-03-26,2245755088
2007-03-27,2218064600
2007-03-28,2203371688
2007-03-29,2210153032
2007-03-30,2254796880
2007-04-02,2416984006
2007-04-03,2448546831
2007-04-04,2390883978
2007-04-05,2382386295
2007-04-09,2391490956
2007-04-10,2435193328
2007-04-11,2427302622
2007-04-12,2415163074
2007-04-13,2442477057
2007-04-16,2438835193
2007-04-17,2437014261
2007-04-18,2392704910
2007-04-19,2376316521
2007-04-20,2430944487
2007-04-23,2437014261
2007-04-24,2428516577
2007-04-25,2433979374
2007-04-26,2461293357
2007-04-27,2470398018
2007-04-30,2455223583
2007-05-01,2472218950
2007-05-02,2532916690
2007-05-03,2506209684
2007-05-04,2518349232
2007-05-07,2537165532
2007-05-08,2549305080
2007-05-09,2561444628
2007-05-10,2555374854
2007-05-11,2580867904
2007-05-14,2514707368
2007-05-15,2518956210
2007-05-16,2508030616
2007-05-17,2438228215
2007-05-18,2412128187
2007-05-21,2427909600
2007-05-22,2384207227
2007-05-23,2290732707
2007-05-24,2336256012
2007-05-25,2350823470
2007-05-29,2374495588
2007-05-30,2447332876
2007-05-31,2464328244
2007-06-01,2466149176
2007-06-04,2511065503
2007-06-05,2467970108
2007-06-06,2465542198
2007-06-07,2409093300
2007-06-08,2443084035
2007-06-11,2433372396
2007-06-12,2388456069
2007-06-13,2415770052
2007-06-14,2398774684
2007-06-15,2427302622
2007-06-18,2365997905
2007-06-19,2359928131
2007-06-20,2290732707
2007-06-21,2275558272
2007-06-22,2300444346
2007-06-25,2251886154
2007-06-26,2282235024
2007-06-27,2334435080
2007-06-28,2336256012
2007-06-29,2287090843
2007-07-02,2377683711
2007-07-03,2386791284
2007-07-05,2414721174
2007-07-06,2455401667
2007-07-09,2437793692
2007-07-10,2338824733
2007-07-11,2354611193
2007-07-12,2395291685
2007-07-13,2397113200
2007-07-16,2338824733
2007-07-17,2317573730
2007-07-18,2292679697
2007-07-19,2298751412
2007-07-20,2232569715
2007-07-23,2150601559
2007-07-24,2217390427
2007-07-25,2194317909
2007-07-26,2134207927
2007-07-27,2072883603
2007-07-30,2041310683
2007-07-31,2012773621
2007-08-01,2021881194
2007-08-02,2100813493
2007-08-03,2074097946
2007-08-06,2143922672
2007-08-07,2209497197
2007-08-08,2364325937
2007-08-09,2376469368
2007-08-10,2277500409
2007-08-13,2276893237
2007-08-14,2210711540
2007-08-15,2127529041
2007-08-16,2125707526
2007-08-17,2148172873
2007-08-20,2230748201
2007-08-21,2282357781
2007-08-22,2314537872
2007-08-23,2335788875
2007-08-24,2366754623
2007-08-27,2338824733
2007-08-28,2258070920
2007-08-29,2271428693
2007-08-30,2270214350
2007-08-31,2367968967
2007-09-04,2431721977
2007-09-05,2341860591
2007-09-06,2297537069
2007-09-07,2237427088
2007-09-10,2213140226
2007-09-11,2262928292
2007-09-12,2213747398
2007-09-13,2253213547
2007-09-14,2244105974
2007-09-17,2218604770
2007-09-18,2273250208
2007-09-19,2382541083
2007-09-20,2325466959
2007-09-21,2290858182
2007-09-24,2307858985
2007-09-25,2291465354
2007-09-26,2349753821
2007-09-27,2404399258
2007-09-28,2391648656
2007-10-01,2627741562
2007-10-02,2625176034
2007-10-03,2562320610
2007-10-04,2598237995
2007-10-05,2642493345
2007-10-08,2629665708
2007-10-09,2640569199
2007-10-10,2612989779
2007-10-11,2603369050
2007-10-12,2533458426
2007-10-15,2538589481
2007-10-16,2525761843
2007-10-17,2632872617
2007-10-18,2725872990
2007-10-19,2654679601
2007-10-22,2619403597
2007-10-23,2674562439
2007-10-24,2633513999
2007-10-25,2614913924
2007-10-26,2673921057
2007-10-29,2650189928
2007-10-30,2729079899
2007-10-31,2821438890
2007-11-01,2668790002
2007-11-02,2663658947
2007-11-05,2661734802
2007-11-06,2769486957
2007-11-07,2639927818
2007-11-08,2577713775
2007-11-09,2543720536
2007-11-12,2469320238
2007-11-13,2554624028
2007-11-14,2526403225
2007-11-15,2543720536
2007-11-16,2527044607
2007-11-19,2494975513
2007-11-20,2459699509
2007-11-21,2373112956
2007-11-23,2421216597
2007-11-26,2289733311
2007-11-27,2319878259
2007-11-28,2446230490
2007-11-29,2411595868
2007-11-30,2447513254
2007-12-03,2421857978
2007-12-04,2333988661
2007-12-05,2418651069
2007-12-06,2453285691
2007-12-07,2501389332
2007-12-10,2597596614
2007-12-11,2565527520
2007-12-12,2612989779
2007-12-13,2500106568
2007-12-14,2436609762
2007-12-17,2341043862
2007-12-18,2401333758
2007-12-19,2439816671
2007-12-20,2443664962
2007-12-21,2456492600
2007-12-24,2571299956
2007-12-26,2585410358
2007-12-27,2501389332
2007-12-28,2446230490
2007-12-31,2510609954
2008-01-02,2519116061
2008-01-03,2436672262
2008-01-04,2301883195
2008-01-07,2294685721
2008-01-08,2214204870
2008-01-09,2278982140
2008-01-10,2285525298
2008-01-11,2268513086
2008-01-14,2327401514
2008-01-15,2235797293
2008-01-16,2279636456
2008-01-17,2225982555
2008-01-18,2156625074
2008-01-22,2252155190
2008-01-23,2406573733
2008-01-24,2417697102
2008-01-25,2409845312
2008-01-28,2498832269
2008-01-29,2462844897
2008-01-30,2413771207
2008-01-31,2339833515
2008-02-01,2388252889
2008-02-04,2420968682
2008-02-05,2351611200
2008-02-06,2316932460
2008-02-07,2361425938
2008-02-08,2284870983
2008-02-11,2248883610
2008-02-12,2277019192
2008-02-13,2307772038
2008-02-14,2305809090
2008-02-15,2309734985
2008-02-19,2314315196
2008-02-20,2369932044
2008-02-21,2352265516
2008-02-22,2355537096
2008-02-25,2449758579
2008-02-26,2453030159
2008-02-27,2365351833
2008-02-28,2419660050
2008-02-29,2348993937
2008-03-03,2396104679
2008-03-04,2257389717
2008-03-05,2254772453
2008-03-06,2178217497
2008-03-07,2191958131
2008-03-10,2098390963
2008-03-11,2271130350
2008-03-12,2231217082
2008-03-13,2207661711
2008-03-14,2132415387
2008-03-17,2122600649
2008-03-18,2242994768
2008-03-19,2250846558
2008-03-20,2333290356
2008-03-24,2437326578
2008-03-25,2449104263
2008-03-26,2373203624
2008-03-27,2361425938
2008-03-28,2310389301
2008-03-31,2339063831
2008-04-01,2443827534
2008-04-02,2453710903
2008-04-03,2483361008
2008-04-04,2478748769
2008-04-07,2447780882
2008-04-08,2431308601
2008-04-09,2387821781
2008-04-10,2436579731
2008-04-11,2406270735
2008-04-14,2405611844
2008-04-15,2422743015
2008-04-16,2555839042
2008-04-17,2561769063
2008-04-18,2610527013
2008-04-21,2613162578
2008-04-22,2583512473
2008-04-23,2672462788
2008-04-24,2717926282
2008-04-25,2715290717
2008-04-28,2613162578
2008-04-29,2602620319
2008-04-30,2553203477
2008-05-01,2582853582
2008-05-02,2554521259
2008-05-05,2508398874
2008-05-06,2530801176
2008-05-07,2480725443
2008-05-08,2611844796
2008-05-09,2599325862
2008-05-12,2675098353
2008-05-13,2696182872
2008-05-14,2750211952
2008-05-15,2772614253
2008-05-16,2780520948
2008-05-19,2798311011
2008-05-20,2762730885
2008-05-21,2708701805
2008-05-22,2661261637
2008-05-23,2707384022
2008-05-27,2715949608
2008-05-28,2793698772
2008-05-29,2822689986
2008-05-30,2787109860
2008-06-02,2705407349
2008-06-03,2739669692
2008-06-04,2754165299
2008-06-05,2824666660
2008-06-06,2717926282
2008-06-09,2704748458
2008-06-10,2764707559
2008-06-11,2676416135
2008-06-12,2702771784
2008-06-13,2750211952
2008-06-16,2824007768
2008-06-17,2757459755
2008-06-18,2768660906
2008-06-19,2848386744
2008-06-20,2720561847
2008-06-23,2696182872
2008-06-24,2626340402
2008-06-25,2642812683
2008-06-26,2580218017
2008-06-27,2675757244
2008-06-30,2901174337
2008-07-01,2961452953
2008-07-02,2913230060
2008-07-03,2901174337
2008-07-07,2763597260
2008-07-08,2990528521
2008-07-09,2746577415
2008-07-10,2745159095
2008-07-11,2796218629
2008-07-14,2740904134
2008-07-15,2752250697
2008-07-16,2812529313
2008-07-17,2865007167
2008-07-18,2843023201
2008-07-21,2893373575
2008-07-22,2971381196
2008-07-23,2989819361
2008-07-24,2845150682
2008-07-25,2879190371
2008-07-28,2819620915
2008-07-29,3029532331
2008-07-30,3047970496
2008-07-31,3043006375
2008-08-01,3045133855
2008-08-04,3020313249
2008-08-05,3114631554
2008-08-06,3136615520
2008-08-07,3116049874
2008-08-08,3249371990
2008-08-11,3308941446
2008-08-12,3291921601
2008-08-13,3233770466
2008-08-14,3256463592
2008-08-15,3245117029
2008-08-18,3216750621
2008-08-19,3198312456
2008-08-20,3148671243
2008-08-21,3075627744
2008-08-22,3167109408
2008-08-25,3084846826
2008-08-26,3093356748
2008-08-27,3169236889
2008-08-28,3237316267
2008-08-29,3252917791
2008-09-02,3249371990
2008-09-03,3327379611
2008-09-04,3189093374
2008-09-05,3199730777
2008-09-08,3270646796
2008-09-09,3144416282
2008-09-10,3154344525
2008-09-11,3221005582
2008-09-12,3274192597
2008-09-15,3036623933
2008-09-16,3199021617
2008-09-17,3051516297
2008-09-18,3403968912
2008-09-19,3494741416
2008-09-22,3128105598
2008-09-23,3147252923
2008-09-24,3114631554
2008-09-25,3230933825
2008-09-26,3323833810
2008-09-29,3148671243
2008-09-30,3451233460
2008-10-01,3359930988
2008-10-02,3118162040
2008-10-03,2964043467
2008-10-06,2866897636
2008-10-07,2706935704
2008-10-08,2812116153
2008-10-09,2702553186
2008-10-10,3250368021
2008-10-13,3020285790
2008-10-14,2918027021
2008-10-15,2438871645
2008-10-16,2518487401
2008-10-17,2569616786
2008-10-20,2552817131
2008-10-21,2506070265
2008-10-22,2392855199
2008-10-23,2231432427
2008-10-24,2106530645
2008-10-27,1996237258
2008-10-28,2135017016
2008-10-29,2193450599
2008-10-30,2403811495
2008-10-31,2445445423
2008-11-03,2346108333
2008-11-04,2487079350
2008-11-05,2378246803
2008-11-06,2233623687
2008-11-07,2412576533
2008-11-10,2164233808
2008-11-11,2168616326
2008-11-12,2152547091
2008-11-13,2384820581
2008-11-14,2117486942
2008-11-17,2007193555
2008-11-18,2007923975
2008-11-19,1735477397
2008-11-20,1555063711
2008-11-21,1555794131
2008-11-24,1853074981
2008-11-25,2002080616
2008-11-26,2046636223
2008-11-28,1998428518
2008-12-01,1715025643
2008-12-02,1919543181
2008-12-03,2062705458
2008-12-04,1956794590
2008-12-05,2196372278
2008-12-08,2199293957
2008-12-09,2045175384
2008-12-10,2151086252
2008-12-11,1910778144
2008-12-12,2063435878
2008-12-15,2053940421
2008-12-16,2298631047
2008-12-17,2308126504
2008-12-18,2292787689
2008-12-19,2378977223
2008-12-22,2213171933
2008-12-23,2225589069
2008-12-24,2230702008
2008-12-26,2240927885
2008-12-29,2164964227
2008-12-30,2315430702
2008-12-31,2454018351
2009-01-02,2344203831
2009-01-05,2270994152
2009-01-06,2386784972
2009-01-07,2361385695
2009-01-08,2382302746
2009-01-09,2337480493
2009-01-12,2215713373
2009-01-13,2313575292
2009-01-14,2249330063
2009-01-15,2234389312
2009-01-16,2417413511
2009-01-20,2150721106
2009-01-21,2350180132
2009-01-22,2266511926
2009-01-23,2349433094
2009-01-26,2417413511
2009-01-27,2431607225
2009-01-28,2622101800
2009-01-29,2511540243
2009-01-30,2383049784
2009-02-02,2465970952
2009-02-03,2523492843
2009-02-04,2477176515
2009-02-05,2470453177
2009-02-06,2619860687
2009-02-09,2643765889
2009-02-10,2455512426
2009-02-11,2483152816
2009-02-12,2436089450
2009-02-13,2312081217
2009-02-17,2128309979
2009-02-18,2132792205
2009-02-19,2009531009
2009-02-20,2237377462
2009-02-23,2049871037
2009-02-24,2167902970
2009-02-25,2161179632
2009-02-26,2145491843
2009-02-27,2232895236
2009-03-02,2014013234
2009-03-03,2084234764
2009-03-04,2089464027
2009-03-05,1989360995
2009-03-06,1966949869
2009-03-09,2067799938
2009-03-10,2333745306
2009-03-11,2348686057
2009-03-12,2436089450
2009-03-13,2425630924
2009-03-16,2212725223
2009-03-17,2362132733
2009-03-18,2459247614
2009-03-19,2415919436
2009-03-20,2253812288
2009-03-23,2584749923
2009-03-24,2362879770
2009-03-25,2436836488
2009-03-26,2529469144
2009-03-27,2478670590
2009-03-30,2371097183
2009-03-31,2525707388
2009-04-01,2530274671
2009-04-02,2691651996
2009-04-03,2938285268
2009-04-06,2816491060
2009-04-07,2576708713
2009-04-08,2637605817
2009-04-09,2955031971
2009-04-13,2991570234
2009-04-14,2727429045
2009-04-15,2807356494
2009-04-16,2801266784
2009-04-17,2776907942
2009-04-20,2592694202
2009-04-21,2733518755
2009-04-22,2670338010
2009-04-23,2838566260
2009-04-24,2922299778
2009-04-27,2834760191
2009-04-28,2786042508
2009-04-29,2847700825
2009-04-30,2741130893
2009-05-01,2658158589
2009-05-04,2868253598
2009-05-05,2881194233
2009-05-06,2921538564
2009-05-07,2691651996
2009-05-08,2770818232
2009-05-11,2629993679
2009-05-12,2731996328
2009-05-13,2601067554
2009-05-14,2656636162
2009-05-15,2567574147
2009-05-18,2796699501
2009-05-19,2676427720
2009-05-20,2684039858
2009-05-21,2671860438
2009-05-22,2619336685
2009-05-26,2768534590
2009-05-27,2615530616
2009-05-28,2640650672
2009-05-29,2722861762
2009-06-01,2838566260
2009-06-02,2814207418
2009-06-03,2767012163
2009-06-04,2863686315
2009-06-05,2808117708
2009-06-08,2787564935
2009-06-09,2816491060
2009-06-10,2783758866
2009-06-11,2709159914
2009-06-12,2809640135
2009-06-15,2677950148
2009-06-16,2640650672
2009-06-17,2540170450
2009-06-18,2565290506
2009-06-19,2639889458
2009-06-22,2503632188
2009-06-23,2521140105
2009-06-24,2570619002
2009-06-25,2623142754
2009-06-26,2591932989
2009-06-29,2642934313
2009-06-30,2735411535
2009-07-01,2750671850
2009-07-02,2685052494
2009-07-06,2774325339
2009-07-07,2678948368
2009-07-08,2696497731
2009-07-09,2660635989
2009-07-10,2643849643
2009-07-13,2755249945
2009-07-14,2822395333
2009-07-15,2897170878
2009-07-16,2903275004
2009-07-17,2836129617
2009-07-20,2912431194
2009-07-21,2913957225
2009-07-22,2942188809
2009-07-23,2998651976
2009-07-24,3050537048
2009-07-27,2984154676
2009-07-28,3036802764
2009-07-29,2984154676
2009-07-30,3033750701
2009-07-31,3094028947
2009-08-03,3155070208
2009-08-04,3226793691
2009-08-05,3370240656
2009-08-06,3356506372
2009-08-07,3509109526
