,GHC
2001-02-09,3459266260
2001-02-12,3464384920
2001-02-13,3466470300
2001-02-14,3436421869
2001-02-15,3427795980
2001-02-16,3518794380
2001-02-20,3562302990
2001-02-21,3549506340
2001-02-22,3533107670
2001-02-23,3535098260
2001-02-26,3552823990
2001-02-27,3550359450
2001-02-28,3559459290
2001-03-01,3579554770
2001-03-02,3624011280
2001-03-05,3581829730
2001-03-06,3563535260
2001-03-07,3562397780
2001-03-08,3601261680
2001-03-09,3555004160
2001-03-12,3427890770
2001-03-13,3439170780
2001-03-14,3411966050
2001-03-15,3412629580
2001-03-16,3408837980
2001-03-19,3212338310
2001-03-20,3191200140
2001-03-21,3117074360
2001-03-22,3064086750
2001-03-23,3062664900
2001-03-26,3114988980
2001-03-27,3190631400
2001-03-28,3144847830
2001-03-29,3176981640
2001-03-30,3310351170
2001-04-02,3296986000
2001-04-03,3276593250
2001-04-04,3294804450
2001-04-05,3352568100
2001-04-06,3337961200
2001-04-09,3369735950
2001-04-10,3428637800
2001-04-11,3358543650
2001-04-12,3388990500
2001-04-16,3380833400
2001-04-17,3409857500
2001-04-18,3424179850
2001-04-19,3430250250
2001-04-20,3423610750
2001-04-23,3416212450
2001-04-24,3422851950
2001-04-25,3427025350
2001-04-26,3455764900
2001-04-27,3457756750
2001-04-30,3329614400
2001-05-01,3361294300
2001-05-02,3367269850
2001-05-03,3337297250
2001-05-04,3432811200
2001-05-07,3373150550
2001-05-08,3366985300
2001-05-09,3365467700
2001-05-10,3386998650
2001-05-11,3375806350
2001-05-14,3372202049
2001-05-15,3384058299
2001-05-16,3420670400
2001-05-17,3432811200
2001-05-18,3430250250
2001-05-21,3467146900
2001-05-22,3451117250
2001-05-23,3371443250
2001-05-24,3376090900
2001-05-25,3374763000
2001-05-29,3380454000
2001-05-30,3307893750
2001-05-31,3337107550
2001-06-01,3349438050
2001-06-04,3353706300
2001-06-05,3376944549
2001-06-06,3376944549
2001-06-07,3370305050
2001-06-08,3298503600
2001-06-11,3300210900
2001-06-12,3271186800
2001-06-13,3270807400
2001-06-14,3228883700
2001-06-15,3106147800
2001-06-18,3132231550
2001-06-19,3145700250
2001-06-20,3201282350
2001-06-21,3226512450
2001-06-22,3190184900
2001-06-25,3174914050
2001-06-26,3180605050
2001-06-27,3239696600
2001-06-28,3296701450
2001-06-29,3289492850
2001-07-02,3285186690
2001-07-03,3290310750
2001-07-05,3299040630
2001-07-06,3247135800
2001-07-09,3242201520
2001-07-10,3212121390
2001-07-11,3219807480
2001-07-12,3229581150
2001-07-13,3266588250
2001-07-16,3240778169
2001-07-17,3396967110
2001-07-18,3304544250
2001-07-19,3353981940
2001-07-20,3365463630
2001-07-23,3347624310
2001-07-24,3282339990
2001-07-25,3281485980
2001-07-26,3318967530
2001-07-27,3315456600
2001-07-30,3323901810
2001-07-31,3351135240
2001-08-01,3342595140
2001-08-02,3372011040
2001-08-03,3366886980
2001-08-06,3348573210
2001-08-07,3408638580
2001-08-08,3377514660
2001-08-09,3359106000
2001-08-10,3372580380
2001-08-13,3402755400
2001-08-14,3371157030
2001-08-15,3349142550
2001-08-16,3338989320
2001-08-17,3296668380
2001-08-20,3343923600
2001-08-21,3358821330
2001-08-22,3335383500
2001-08-23,3376945320
2001-08-24,3394120410
2001-08-27,3385485419
2001-08-28,3345536730
2001-08-29,3324755820
2001-08-30,3262033530
2001-08-31,3288033390
2001-09-04,3321244890
2001-09-05,3323142690
2001-09-06,3282909330
2001-09-07,3185457300
2001-09-10,3190012020
2001-09-17,3053465310
2001-09-18,3073012650
2001-09-19,2949750540
2001-09-20,2835123419
2001-09-21,2867765580
2001-09-24,2952692130
2001-09-25,2960093550
2001-09-26,2888072040
2001-09-27,2880955290
2001-09-28,2980210230
2001-10-01,2899551583
2001-10-02,2894902585
2001-10-03,2894902585
2001-10-04,2923555593
2001-10-05,2921563165
2001-10-08,2818431312
2001-10-09,2876875858
2001-10-10,2892910157
2001-10-11,2969476307
2001-10-12,2978584548
2001-10-15,3054391679
2001-10-16,3009609494
2001-10-17,2963214392
2001-10-18,2996706153
2001-10-19,3007142679
2001-10-22,3021089673
2001-10-23,2980102589
2001-10-24,2998129316
2001-10-25,2987787667
2001-10-26,3009609494
2001-10-29,2948223745
2001-10-30,2912170291
2001-10-31,2926496795
2001-11-01,2913878087
2001-11-02,2939874524
2001-11-05,2974694571
2001-11-06,3023651366
2001-11-07,3009609494
2001-11-08,2999552478
2001-11-09,2991487890
2001-11-12,2980956486
2001-11-13,2963688779
2001-11-14,2968907042
2001-11-15,2976876753
2001-11-16,2980861609
2001-11-19,2979533324
2001-11-20,2972417510
2001-11-21,2949362275
2001-11-23,2969191675
2001-11-26,2969476307
2001-11-27,2961316842
2001-11-28,2963688779
2001-11-29,2969381430
2001-11-30,2923555593
2001-12-03,2959419291
2001-12-04,2926496795
2001-12-05,2924409490
2001-12-06,2929343121
2001-12-07,2964447799
2001-12-10,2943290115
2001-12-11,2951923968
2001-12-12,2958565394
2001-12-13,2917862942
2001-12-14,2948793010
2001-12-17,2961791229
2001-12-18,2969476307
2001-12-19,2965870962
2001-12-20,2960842454
2001-12-21,2970614838
2001-12-24,2969476307
2001-12-26,2982474526
2001-12-27,3026213058
2001-12-28,3073936446
2001-12-31,3041544540
2002-01-02,3031096740
2002-01-03,3061585320
2002-01-04,3023023439
2002-01-07,3031476660
2002-01-08,3038125260
2002-01-09,3059305800
2002-01-10,3087419880
2002-01-11,3081721080
2002-01-14,3084665460
2002-01-15,3116103840
2002-01-16,3085140360
2002-01-17,3111829740
2002-01-18,3104611260
2002-01-22,3141938400
2002-01-23,3144882780
2002-01-24,3173091840
2002-01-25,3186958920
2002-01-28,3205669980
2002-01-29,3213838260
2002-01-30,3220296900
2002-01-31,3208804320
2002-02-01,3217827420
2002-02-04,3194272380
2002-02-05,3201110939
2002-02-06,3250975439
2002-02-07,3242522220
2002-02-08,3259618620
2002-02-11,3265127460
2002-02-12,3256294320
2002-02-13,3262942920
2002-02-14,3296280900
2002-02-15,3283743540
2002-02-19,3295995960
2002-02-20,3387081780
2002-02-21,3312997380
2002-02-22,3274530480
2002-02-25,3316606620
2002-02-26,3333418080
2002-02-27,3335792580
2002-02-28,3281274060
2002-03-01,3304829100
2002-03-04,3328479120
2002-03-05,3360012480
2002-03-06,3411681600
2002-03-07,3428872980
2002-03-08,3425453700
2002-03-11,3404083200
2002-03-12,3394775160
2002-03-13,3405602880
2002-03-14,3428683020
2002-03-15,3449008740
2002-03-18,3488425439
2002-03-19,3534300780
2002-03-20,3498493320
2002-03-21,3460121400
2002-03-22,3437231220
2002-03-25,3469049520
2002-03-26,3489090300
2002-03-27,3487570620
2002-03-28,3483581460
2002-04-01,3480093630
2002-04-02,3447878460
2002-04-03,3383258060
2002-04-04,3453580260
2002-04-05,3472586260
2002-04-08,3481138960
2002-04-09,3501570410
2002-04-10,3547184810
2002-04-11,3548420200
2002-04-12,3564005120
2002-04-15,3582916089
2002-04-16,3590803580
2002-04-17,3601256880
2002-04-18,3623683960
2002-04-19,3631761510
2002-04-22,3633377020
2002-04-23,3621688330
2002-04-24,3623778990
2002-04-25,3612090300
2002-04-26,3615891500
2002-04-29,3616176589
2002-04-30,3627675220
2002-05-01,3605913350
2002-05-02,3589758250
2002-05-03,3562769730
2002-05-06,3502995860
2002-05-07,3491022080
2002-05-08,3543953790
2002-05-09,3534925940
2002-05-10,3508222510
2002-05-13,3536921570
2002-05-14,3605913350
2002-05-15,3582916089
2002-05-16,3585766990
2002-05-17,3591468790
2002-05-20,3571322430
2002-05-21,3533215400
2002-05-22,3533500490
2002-05-23,3567901350
2002-05-24,3554122000
2002-05-28,3542623370
2002-05-29,3543193550
2002-05-30,3522001860
2002-05-31,3544999120
2002-06-03,3516870240
2002-06-04,3496723880
2002-06-05,3502045560
2002-06-06,3439325760
2002-06-07,3482564410
2002-06-10,3459947270
2002-06-11,3387629440
2002-06-12,3356079480
2002-06-13,3322533890
2002-06-14,3341824980
2002-06-17,3341729950
2002-06-18,3406540410
2002-06-19,3378696620
2002-06-20,3365107330
2002-06-21,3183790089
2002-06-24,3229594550
2002-06-25,3163738760
2002-06-26,3166589660
2002-06-27,3165164210
2002-06-28,3129242870
2002-07-01,3111884160
2002-07-02,3104374420
2002-07-03,3078518100
2002-07-05,3170441120
2002-07-08,3158938860
2002-07-09,3118728480
2002-07-10,3061312240
2002-07-11,3038307720
2002-07-12,3021101860
2002-07-15,3015398260
2002-07-16,2975187880
2002-07-17,3021101860
2002-07-18,3044106380
2002-07-19,3204947900
2002-07-22,3146010700
2002-07-23,3170441120
2002-07-24,3285273600
2002-07-25,3377196620
2002-07-26,3446115120
2002-07-29,3526535880
2002-07-30,3556099540
2002-07-31,3589750780
2002-08-01,3538038140
2002-08-02,3520832280
2002-08-05,3474918300
2002-08-06,3515128679
2002-08-07,3630531520
2002-08-08,3658669280
2002-08-09,3756295900
2002-08-12,3776353560
2002-08-13,3725021160
2002-08-14,3760573600
2002-08-15,3727302600
2002-08-16,3793654480
2002-08-19,3856774320
2002-08-20,3845272060
2002-08-21,3851070720
2002-08-22,3852496620
2002-08-23,3823788500
2002-08-26,3814852860
2002-08-27,3704583260
2002-08-28,3710381920
2002-08-29,3750592300
2002-08-30,3716085520
2002-09-03,3629961160
2002-09-04,3644315220
2002-09-05,3617888540
2002-09-06,3633098140
2002-09-09,3595169200
2002-09-10,3612660240
2002-09-11,3617603360
2002-09-12,3592602580
2002-09-13,3624257560
2002-09-16,3739090040
2002-09-17,3805156740
2002-09-18,3733291380
2002-09-19,3647167020
2002-09-20,3690229200
2002-09-23,3727587780
2002-09-24,3772265980
2002-09-25,3796221100
2002-09-26,3848218920
2002-09-27,3819510800
2002-09-30,3725235000
2002-10-01,3874480000
2002-10-02,3756775000
2002-10-03,3776915000
2002-10-04,3776915000
2002-10-07,3748225000
2002-10-08,3800380000
2002-10-09,3748225000
2002-10-10,3851490000
2002-10-11,3929010000
2002-10-14,3995034999
2002-10-15,4026670000
2002-10-16,4017835000
2002-10-17,4050990000
2002-10-18,4046620000
2002-10-21,4035220000
2002-10-22,4063909999
2002-10-23,4121290000
2002-10-24,4088230000
2002-10-25,4234150000
2002-10-28,4218855000
2002-10-29,4190165000
2002-10-30,4238900000
2002-10-31,4178100000
2002-11-01,4156250000
2002-11-04,4167270000
2002-11-05,4197290000
2002-11-06,4168030000
2002-11-07,4158625000
2002-11-08,4121290000
2002-11-11,4086520000
2002-11-12,4083955000
2002-11-13,4086805000
2002-11-14,4086805000
2002-11-15,4216005000
2002-11-18,4172970000
2002-11-19,4170025000
2002-11-20,4219615000
2002-11-21,4147130000
2002-11-22,4144280000
2002-11-25,4110935000
2002-11-26,4086805000
2002-11-27,4164515000
2002-11-29,4155680000
2002-12-02,4204510000
2002-12-03,4187315000
2002-12-04,4190165000
2002-12-05,4168885000
2002-12-06,4138485000
2002-12-09,4110745000
2002-12-10,4135920000
2002-12-11,4179810000
2002-12-12,4162710000
2002-12-13,4117870000
2002-12-16,4134685000
2002-12-17,4133355000
2002-12-18,4081105000
2002-12-19,4125090000
2002-12-20,4218855000
2002-12-23,4218855000
2002-12-24,4221800000
2002-12-26,4232820000
2002-12-27,4122905000
2002-12-30,4192964160
2002-12-31,4247643400
2003-01-02,4313849100
2003-01-03,4322517760
2003-01-06,4368528340
2003-01-07,4342617620
2003-01-08,4319659960
2003-01-09,4359859680
2003-01-10,4328614400
2003-01-13,4299464840
2003-01-14,4276411920
2003-01-15,4224685740
2003-01-16,4216017080
2003-01-17,4192773640
2003-01-21,4161337840
2003-01-22,4089988100
2003-01-23,4082462560
2003-01-24,4017399980
2003-01-27,3959862940
2003-01-28,4034737300
2003-01-29,4138284920
2003-01-30,4145524680
2003-01-31,4227543540
2003-02-03,4204490620
2003-02-04,4195821960
2003-02-05,4211730380
2003-02-06,4253454260
2003-02-07,4195821960
2003-02-10,4208682060
2003-02-11,4181437700
2003-02-12,4097989940
2003-02-13,4005968779
2003-02-14,3982915860
2003-02-18,4040452900
2003-02-19,4028926440
2003-02-20,3988059900
2003-02-21,3983773200
2003-02-24,3909946700
2003-02-25,3961291840
2003-02-26,3962720740
2003-02-27,4066173100
2003-02-28,4106658600
2003-03-03,4034737300
2003-03-04,3893943020
2003-03-05,3875843620
2003-03-06,3873366860
2003-03-07,3906517340
2003-03-10,3867270220
2003-03-11,3876986740
2003-03-12,3911566120
2003-03-13,4023210840
2003-03-14,3957100400
2003-03-17,4051979360
2003-03-18,4005301960
2003-03-19,4045596940
2003-03-20,4066363620
2003-03-21,4189630060
2003-03-24,4057790220
2003-03-25,4016828420
2003-03-26,3981391700
2003-03-27,3961387100
2003-03-28,4008731320
2003-03-31,3922075360
2003-04-01,3926934130
2003-04-02,4085272870
2003-04-03,4106708620
2003-04-04,4108518750
2003-04-07,4115759270
2003-04-08,4088321510
2003-04-09,4015630500
2003-04-10,4063265500
2003-04-11,4090131640
2003-04-14,4153390920
2003-04-15,4218460330
2003-04-16,4142720680
2003-04-17,4089845830
2003-04-21,4042877720
2003-04-22,4098420130
2003-04-23,4084891790
2003-04-24,4102516740
2003-04-25,4102230930
2003-04-28,4152057140
2003-04-29,4155391590
2003-04-30,4196262420
2003-05-01,4223509640
2003-05-02,4214458990
2003-05-05,4174731400
2003-05-06,4173302350
2003-05-07,4180352330
2003-05-08,4174731400
2003-05-09,4205313070
2003-05-12,4213696830
2003-05-13,4252185910
2003-05-14,4225129230
2003-05-15,4232560290
2003-05-16,4176827340
2003-05-19,4093275550
2003-05-20,4053262150
2003-05-21,4016964280
2003-05-22,4032207480
2003-05-23,4017821710
2003-05-27,3989050170
2003-05-28,4040781780
2003-05-29,4020775080
2003-05-30,4170444250
2003-06-02,4171111140
2003-06-03,4133003140
2003-06-04,4144530809
2003-06-05,4144530809
2003-06-06,4175684100
2003-06-09,4127572750
2003-06-10,4146722020
2003-06-11,4218079250
2003-06-12,4180733410
2003-06-13,4123857220
2003-06-16,4190546220
2003-06-17,4145007160
2003-06-18,4173873970
2003-06-19,4120713309
2003-06-20,4089369480
2003-06-23,4093180280
2003-06-24,4144435540
2003-06-25,4146531480
2003-06-26,4184639480
2003-06-27,4219317760
2003-06-30,4220960240
2003-07-01,4261852520
2003-07-02,4290829800
2003-07-03,4287588920
2003-07-07,4227346680
2003-07-08,4209998440
2003-07-09,4138031840
2003-07-10,4123638520
2003-07-11,4189885920
2003-07-14,4178352200
2003-07-15,4132312640
2003-07-16,4123638520
2003-07-17,4097711480
2003-07-18,4221341520
2003-07-21,3973890800
2003-07-22,4048526360
2003-07-23,4019739720
2003-07-24,4050146800
2003-07-25,4002677440
2003-07-28,3979610000
2003-07-29,4008491959
2003-07-30,3997148880
2003-07-31,3893250080
2003-08-01,3832817200
2003-08-04,3845685400
2003-08-05,3859792760
2003-08-06,3841396000
2003-08-07,3894203280
2003-08-08,3889056000
2003-08-11,3893059440
2003-08-12,3965788600
2003-08-13,3979610000
2003-08-14,4008873240
2003-08-15,4030892160
2003-08-18,3919177120
2003-08-19,3912886000
2003-08-20,3886101080
2003-08-21,3924991640
2003-08-22,3910503000
2003-08-25,3933570440
2003-08-26,3919749040
2003-08-27,3945104160
2003-08-28,3964835400
2003-08-29,4008587280
2003-09-02,4020978880
2003-09-03,3999150600
2003-09-04,3921655440
2003-09-05,3919177120
2003-09-08,3922036720
2003-09-09,3939861560
2003-09-10,3852929720
2003-09-11,3894107959
2003-09-12,3892392200
2003-09-15,3872851600
2003-09-16,3858744240
2003-09-17,3894965840
2003-09-18,3934714280
2003-09-19,3937859840
2003-09-22,3918795840
2003-09-23,3890581120
2003-09-24,3829957600
2003-09-25,3786110400
2003-09-26,3804030560
2003-09-29,3894903445
2003-09-30,3831584086
2003-10-01,3929900741
2003-10-02,3969856782
2003-10-03,3917980681
2003-10-06,3922081181
2003-10-07,3981395400
2003-10-08,4018776708
2003-10-09,4005807683
2003-10-10,4006284485
2003-10-13,4006856648
2003-10-14,4015915894
2003-10-15,4038993130
2003-10-16,4051962155
2003-10-17,4088485219
2003-10-20,4066933751
2003-10-21,4033366862
2003-10-22,3992171134
2003-10-23,4087340893
2003-10-24,4079330613
2003-10-27,4049864225
2003-10-28,4044905480
2003-10-29,4031745733
2003-10-30,4077328043
2003-10-31,4248786186
2003-11-03,4217603309
2003-11-04,4203013156
2003-11-05,4246402174
2003-11-06,4226185752
2003-11-07,4286739657
2003-11-10,4411185083
2003-11-11,4346149236
2003-11-12,4343479143
2003-11-13,4449901438
2003-11-14,4380097567
2003-11-17,4370752240
2003-11-18,4355876005
2003-11-19,4367319263
2003-11-20,4381718695
2003-11-21,4355876005
2003-11-24,4569864922
2003-11-25,4612204975
2003-11-26,4607818393
2003-11-28,4629274501
2003-12-01,4691449534
2003-12-02,4694501069
2003-12-03,4614970429
2003-12-04,4664462518
2003-12-05,4565573700
2003-12-08,4587983413
2003-12-09,4557563420
2003-12-10,4554893327
2003-12-11,4588364855
2003-12-12,4546024802
2003-12-15,4473550837
2003-12-16,4499298167
2003-12-17,4465349836
2003-12-18,4458865323
2003-12-19,4450950404
2003-12-22,4453811218
2003-12-23,4538777406
2003-12-24,4553462920
2003-12-26,4545261918
2003-12-29,4604532500
2003-12-30,4588106500
2003-12-31,4566523500
2004-01-02,4559647500
2004-01-05,4595937500
2004-01-06,4645406500
2004-01-07,4661164000
2004-01-08,4769652000
2004-01-09,4812340500
2004-01-12,4987010000
2004-01-13,4921974500
2004-01-14,4867444000
2004-01-15,4869927000
2004-01-16,4803650000
2004-01-20,4904593500
2004-01-21,4855506500
2004-01-22,4848057500
2004-01-23,4814919000
2004-01-26,4904593500
2004-01-27,4873078500
2004-01-28,4838889500
2004-01-29,4815205500
2004-01-30,4878713000
2004-02-02,4996942000
2004-02-03,4962371000
2004-02-04,4957118500
2004-02-05,4897431000
2004-02-06,4944990000
2004-02-09,5033041000
2004-02-10,5030749000
2004-02-11,5112306000
2004-02-12,5204654500
2004-02-13,5247916000
2004-02-17,5251067500
2004-02-18,5247916000
2004-02-19,5242186000
2004-02-20,5248966500
2004-02-23,5132552000
2004-02-24,5139618999
2004-02-25,5111160000
2004-02-26,5141242500
2004-02-27,5168364500
2004-03-01,5198829000
2004-03-02,5183453500
2004-03-03,5181639000
2004-03-04,5242186000
2004-03-05,5211912500
2004-03-08,5190234000
2004-03-09,5179156000
2004-03-10,5100177500
2004-03-11,5170083500
2004-03-12,5198351500
2004-03-15,5172948500
2004-03-16,5123861500
2004-03-17,5171516000
2004-03-18,5158623500
2004-03-19,5174381000
2004-03-22,5077735000
2004-03-23,5103806499
2004-03-24,5008497500
2004-03-25,5048321000
2004-03-26,4979656499
2004-03-29,5090671790
2004-03-30,5090384900
2004-03-31,5110084680
2004-04-01,5262327640
2004-04-02,5431401480
2004-04-05,5378135570
2004-04-06,5317123630
2004-04-07,5425568050
2004-04-08,5454448310
2004-04-12,5393723260
2004-04-13,5334241400
2004-04-14,5384638410
2004-04-15,5393723260
2004-04-16,5384542779
2004-04-19,5405294490
2004-04-20,5297232589
2004-04-21,5298475779
2004-04-22,5396687790
2004-04-23,5382247660
2004-04-26,5367807529
2004-04-27,5402425589
2004-04-28,5298475779
2004-04-29,5278202220
2004-04-30,5315784810
2004-05-03,5376414230
2004-05-04,5396114010
2004-05-05,5402425589
2004-05-06,5505036580
2004-05-07,5408641540
2004-05-10,5315784810
2004-05-11,5333093839
2004-05-12,5295511250
2004-05-13,5307273740
2004-05-14,5292642350
2004-05-17,5269499890
2004-05-18,5287000180
2004-05-19,5234881830
2004-05-20,5281071120
2004-05-21,5279636670
2004-05-24,5285470100
2004-05-25,5312915910
2004-05-26,5361878470
2004-05-27,5361974100
2004-05-28,5493465350
2004-06-01,5517851000
2004-06-02,5471757339
2004-06-03,5460186110
2004-06-04,5580488650
2004-06-07,5567100450
2004-06-08,5587374010
2004-06-09,5511635050
2004-06-10,5520911160
2004-06-14,5512304460
2004-06-15,5500637600
2004-06-16,5445745980
2004-06-17,5471757339
2004-06-18,5413996820
2004-06-21,5373545330
2004-06-22,5303352910
2004-06-23,5307082480
2004-06-24,5217668430
2004-06-25,5177695089
2004-06-28,5318564160
2004-06-29,5376354880
2004-06-30,5376450560
2004-07-01,5363342400
2004-07-02,5353296000
2004-07-06,5266418560
2004-07-07,5257807360
2004-07-08,5231782400
2004-07-09,5260773440
2004-07-12,5209584640
2004-07-13,5202887040
2004-07-14,5132370880
2004-07-15,5106345920
2004-07-16,5054965760
2004-07-19,5051138560
2004-07-20,5087305600
2004-07-21,5003489920
2004-07-22,4963017280
2004-07-23,4931251520
2004-07-26,4913837760
2004-07-27,4918239040
2004-07-28,4887812800
2004-07-29,4893649280
2004-07-30,5017363520
2004-08-02,4991529920
2004-08-03,5006360320
2004-08-04,5058410239
2004-08-05,4989042239
2004-08-06,4955745600
2004-08-09,4968758079
2004-08-10,5098308800
2004-08-11,5007891200
2004-08-12,5047407040
2004-08-13,4989042239
2004-08-16,5038126079
2004-08-17,5202887040
2004-08-18,5214464320
2004-08-19,5220300800
2004-08-20,5200016640
2004-08-23,5087305600
