,XYL
2013-07-22,5346724000
2013-07-23,5317092000
2013-07-24,5294868000
2013-07-25,5339316000
2013-07-26,5309684000
2013-07-29,5270792000
2013-07-30,4730008000
2013-07-31,4617036000
2013-08-01,4665188000
2013-08-02,4680004000
2013-08-05,4681856000
2013-08-06,4709636000
2013-08-07,4611480000
2013-08-08,4626296000
2013-08-09,4626296000
2013-08-12,4598516000
2013-08-13,4624444000
2013-08-14,4628148000
2013-08-15,4578144000
2013-08-16,4541104000
2013-08-19,4559624000
2013-08-20,4500360000
2013-08-21,4479988000
2013-08-22,4515176000
2013-08-23,4500360000
2013-08-26,4552216000
2013-08-27,4494804000
2013-08-28,4539252000
2013-08-29,4620740000
2013-08-30,4589256000
2013-09-03,4644816000
2013-09-04,4722600000
2013-09-05,4798532000
2013-09-06,4846684000
2013-09-09,4959656000
2013-09-10,5013364000
2013-09-11,5020772000
2013-09-12,4992992000
2013-09-13,4991140000
2013-09-16,5030032000
2013-09-17,5046700000
2013-09-18,5091148000
2013-09-19,5094852000
2013-09-20,5031884000
2013-09-23,5000400000
2013-09-24,5067072000
2013-09-25,5098556000
2013-09-26,5228196000
2013-09-27,5183748000
2013-09-30,5153085000
2013-10-01,5210280000
2013-10-02,5188140000
2013-10-03,5147550000
2013-10-04,5199210000
2013-10-07,5166000000
2013-10-08,5055300000
2013-10-09,5020245000
2013-10-10,5153085000
2013-10-11,5184450000
2013-10-14,5197365000
2013-10-15,5151240000
2013-10-16,5151240000
2013-10-17,5071905000
2013-10-18,5134635000
2013-10-21,5226885000
2013-10-22,5204745000
2013-10-23,5228730000
2013-10-24,5293305000
2013-10-25,5348655000
2013-10-28,5337585000
2013-10-29,6001785000
2013-10-30,6177059999
2013-10-31,6365250000
2013-11-01,6129090000
2013-11-04,6256394999
2013-11-05,6226875000
2013-11-06,6182595000
2013-11-07,6108795000
2013-11-08,6269309999
2013-11-11,6265620000
2013-11-12,6261930000
2013-11-13,6332040000
2013-11-14,6343110000
2013-11-15,6359715000
2013-11-18,6261930000
2013-11-19,6300675000
2013-11-20,6328349999
2013-11-21,6380010000
2013-11-22,6380010000
2013-11-25,6370785000
2013-11-26,6396615000
2013-11-27,6415065000
2013-11-29,6376320000
2013-12-02,6256394999
2013-12-03,6195510000
2013-12-04,6191820000
2013-12-05,6232410000
2013-12-06,6182595000
2013-12-09,6204735000
2013-12-10,6188130000
2013-12-11,6071894999
2013-12-12,6182595000
2013-12-13,6237945000
2013-12-16,6252705000
2013-12-17,6291450000
2013-12-18,6402150000
2013-12-19,6302519999
2013-12-20,6287760000
2013-12-23,6308055000
2013-12-24,6333885000
2013-12-26,6400305000
2013-12-27,6374474999
2013-12-30,6380010000
2013-12-31,6383700000
2014-01-02,6302519999
2014-01-03,6359715000
2014-01-06,6348644999
2014-01-07,6367095000
2014-01-08,6363405000
2014-01-09,6389235000
2014-01-10,6440894999
2014-01-13,6461190000
2014-01-14,6564510000
2014-01-15,6710265000
2014-01-16,6760080000
2014-01-17,6747165000
2014-01-21,6627240000
2014-01-22,6732405000
2014-01-23,6538680000
2014-01-24,6213960000
2014-01-27,6160455000
2014-01-28,6256394999
2014-01-29,6132780000
2014-01-30,6154920000
2014-01-31,6154920000
2014-02-03,6051599999
2014-02-04,6691815000
2014-02-05,6553440000
2014-02-06,6726870000
2014-02-07,6819120000
2014-02-10,6804360000
2014-02-11,6844950000
2014-02-12,6900300000
2014-02-13,6981480000
2014-02-14,7020224999
2014-02-18,7116165000
2014-02-19,6940890000
2014-02-20,7141995000
2014-02-21,7169670000
2014-02-24,7269300000
2014-02-25,7151220000
2014-02-26,7241625000
2014-02-27,7263765000
2014-02-28,7260075000
2014-03-03,7121700000
2014-03-04,7156755000
2014-03-05,7103250000
2014-03-06,7066349999
2014-03-07,7129080000
2014-03-10,7020224999
2014-03-11,6983325000
2014-03-12,6900300000
2014-03-13,6778530000
2014-03-14,6787755000
2014-03-17,6791445000
2014-03-18,6785910000
2014-03-19,6723180000
2014-03-20,6704730000
2014-03-21,6693660000
2014-03-24,6588495000
2014-03-25,6756390000
2014-03-26,6612480000
2014-03-27,6601410000
2014-03-28,6642000000
2014-03-31,6679428000
2014-04-01,6813310000
2014-04-02,6927018000
2014-04-03,6835318000
2014-04-04,6840819999
2014-04-07,6672092000
2014-04-08,6609736000
2014-04-09,6787634000
2014-04-10,6585893999
2014-04-11,6459348000
2014-04-14,6441008000
2014-04-15,6398826000
2014-04-16,6508866000
2014-04-17,6474019999
2014-04-21,6514368000
2014-04-22,6549214000
2014-04-23,6543712000
2014-04-24,6565719999
2014-04-25,6494193999
2014-04-28,6485024000
2014-04-29,6683096000
2014-04-30,6894006000
2014-05-01,6778464000
2014-05-02,6760124000
2014-05-05,6743618000
2014-05-06,6772962000
2014-05-07,6826148000
2014-05-08,6840819999
2014-05-09,6820646000
2014-05-12,6974702000
2014-05-13,6961864000
2014-05-14,6925184000
2014-05-15,6827981999
2014-05-16,6767460000
2014-05-19,6950860000
2014-05-20,6837152000
2014-05-21,6936188000
2014-05-22,6960030000
2014-05-23,7046228000
2014-05-27,7068236000
2014-05-28,6998543999
2014-05-29,6739950000
2014-05-30,6840819999
2014-06-02,6883002000
2014-06-03,6827981999
2014-06-04,6763792000
2014-06-05,6853658000
2014-06-06,6923350000
2014-06-09,6989374000
2014-06-10,6993042000
2014-06-11,6961864000
2014-06-12,6927018000
2014-06-13,7079240000
2014-06-16,7055398000
2014-06-17,7075572000
2014-06-18,7137928000
2014-06-19,7214956000
2014-06-20,7275478000
2014-06-23,7295652000
2014-06-24,7194781999
2014-06-25,7220458000
2014-06-26,7176442000
2014-06-27,7198450000
2014-06-30,7120376000
2014-07-01,7129486000
2014-07-02,7042030000
2014-07-03,7109444000
2014-07-07,6923600000
2014-07-08,6806992000
2014-07-09,6839788000
2014-07-10,6785128000
2014-07-11,6759620000
2014-07-14,6836144000
2014-07-15,6783305999
2014-07-16,6848898000
2014-07-17,6692205999
2014-07-18,6823390000
2014-07-21,6859830000
2014-07-22,6850720000
