,SWKS
2000-07-19,1615657230
2000-07-20,1752402960
2000-07-21,1607512500
2000-07-24,1575362250
2000-07-25,1583506980
2000-07-26,1551356730
2000-07-27,1371744000
2000-07-28,1403894250
2000-07-31,1460050020
2000-08-01,1398750210
2000-08-02,1358455230
2000-08-03,1495200960
2000-08-04,1516634460
2000-08-07,1698819210
2000-08-08,1581363630
2000-08-09,1709535960
2000-08-10,1613085210
2000-08-11,1599367770
2000-08-14,1634518710
2000-08-15,1618229250
2000-08-16,1571932890
2000-08-17,1647807480
2000-08-18,1738685520
2000-08-21,1698819210
2000-08-22,1644378120
2000-08-23,1736113500
2000-08-24,1757547000
2000-08-25,1720252710
2000-08-28,1752402960
2000-08-29,1859570460
2000-08-30,2022893730
2000-08-31,2162211480
2000-09-01,2036182500
2000-09-05,1824419520
2000-09-06,1693246500
2000-09-07,1781552520
2000-09-08,1712107980
2000-09-11,1763119710
2000-09-12,1736113500
2000-09-13,1773836460
2000-09-14,1853997750
2000-09-15,1693246500
2000-09-18,1712107980
2000-09-19,1669240980
2000-09-20,1703963250
2000-09-21,1588651020
2000-09-22,1562073480
2000-09-25,1425327750
2000-09-26,1481483520
2000-09-27,1427899770
2000-09-28,1695818520
2000-09-29,1460050020
2000-10-02,1386313110
2000-10-03,1348343750
2000-10-04,1464409180
2000-10-05,1326770250
2000-10-06,1248674180
2000-10-09,1199918070
2000-10-10,1135197570
2000-10-11,1138217860
2000-10-12,1067888250
2000-10-13,1208116000
2000-10-16,1361719320
2000-10-17,1246085360
2000-10-18,1116644360
2000-10-19,1515754110
2000-10-20,1634408360
2000-10-23,1682733000
2000-10-24,1572276680
2000-10-25,1458800070
2000-10-26,1574865500
2000-10-27,1666768610
2000-10-30,1539916430
2000-10-31,1720702360
2000-11-01,1725880000
2000-11-02,1860930110
2000-11-03,1731489110
2000-11-06,1777224930
2000-11-07,1631388070
2000-11-08,1510145000
2000-11-09,1569687860
2000-11-10,1453622430
2000-11-13,1437226570
2000-11-14,1523520570
2000-11-15,1623621610
2000-11-16,1507556180
2000-11-17,1550703180
2000-11-20,1510145000
2000-11-21,1515754110
2000-11-22,1494180610
2000-11-24,1647783930
2000-11-27,1677555360
2000-11-28,1510145000
2000-11-29,1520931750
2000-11-30,1318572320
2000-12-01,1531718500
2000-12-04,1742275860
2000-12-05,2289379820
2000-12-06,2116791820
2000-12-07,2071056000
2000-12-08,2235446070
2000-12-11,2329938000
2000-12-12,2327349180
2000-12-13,2203085820
2000-12-14,2071056000
2000-12-15,2195319360
2000-12-18,1876894500
2000-12-19,1822960750
2000-12-20,1709915610
2000-12-21,1464409180
2000-12-22,1577454320
2000-12-26,1636997180
2000-12-27,1803976070
2000-12-28,1801387250
2000-12-29,1596439000
2001-01-02,1399299300
2001-01-03,1494498600
2001-01-04,1377564300
2001-01-05,1211943600
2001-01-08,1238895000
2001-01-09,1184557500
2001-01-10,1241503200
2001-01-11,1543185000
2001-01-12,1562311800
2001-01-16,1477980000
2001-01-17,1328443200
2001-01-18,1426250700
2001-01-19,1442769300
2001-01-22,1388431800
2001-01-23,1437118200
2001-01-24,1401907500
2001-01-25,1325835000
2001-01-26,1312359300
2001-01-29,1325835000
2001-01-30,1323226800
2001-01-31,1304100000
2001-02-01,1347570000
2001-02-02,1342353600
2001-02-05,1312359300
2001-02-06,1290624300
2001-02-07,1255413600
2001-02-08,1184557500
2001-02-09,1138479300
2001-02-12,1130220000
2001-02-13,1125003600
2001-02-14,1168473600
2001-02-15,1100225700
2001-02-16,986334300
2001-02-20,864183600
2001-02-21,804195000
2001-02-22,820713600
2001-02-23,782460000
2001-02-26,782460000
2001-02-27,722906100
2001-02-28,701171100
2001-03-01,611188200
2001-03-02,614231100
2001-03-05,657701100
2001-03-06,725514300
2001-03-07,687260700
2001-03-08,673785000
2001-03-09,660309300
2001-03-12,605971800
2001-03-13,672915600
2001-03-14,676393200
2001-03-15,654658200
2001-03-16,643790700
2001-03-19,643790700
2001-03-20,625098600
2001-03-21,662917500
2001-03-22,717255000
2001-03-23,777243600
2001-03-26,782460000
2001-03-27,779851800
2001-03-28,728122500
2001-03-29,692911800
2001-03-30,684652500
2001-04-02,1310545470
2001-04-03,1234320750
2001-04-04,1174553640
2001-04-05,1315742610
2001-04-06,1369446390
2001-04-09,1394565900
2001-04-10,1528825349
2001-04-11,1662218610
2001-04-12,1837188990
2001-04-16,1704661920
2001-04-17,1663084800
2001-04-18,2187129750
2001-04-19,2193193080
2001-04-20,2369029650
2001-04-23,2228706870
2001-04-24,2049405540
2001-04-25,2181932610
2001-04-26,2004363660
2001-04-27,2110038840
2001-04-30,2128228830
2001-05-01,2147285010
2001-05-02,2291072550
2001-05-03,2252960190
2001-05-04,2356036800
2001-05-07,2370762030
2001-05-08,2419268670
2001-05-09,2385487260
2001-05-10,2334382050
2001-05-11,2370762030
2001-05-14,2216580210
2001-05-15,2201854980
2001-05-16,2306663970
2001-05-17,2470373880
2001-05-18,2424465810
2001-05-21,2572584300
2001-05-22,2550063360
2001-05-23,2381156310
2001-05-24,2236502580
2001-05-25,2189728320
2001-05-29,2076257430
2001-05-30,1901287050
2001-05-31,1905618000
2001-06-01,2036412690
2001-06-04,1951526070
2001-06-05,2070194099
2001-06-06,2167207380
2001-06-07,2350839660
2001-06-08,2137756920
2001-06-11,2049405540
2001-06-12,2076257430
2001-06-13,1916878470
2001-06-14,1877033730
2001-06-15,1862308500
2001-06-18,1870970400
2001-06-19,1825062330
2001-06-20,1983575099
2001-06-21,2097045990
2001-06-22,2165475000
2001-06-25,2214847830
2001-06-26,2191460700
2001-06-27,2178467850
2001-06-28,2296269690
2001-06-29,2559591450
2001-07-02,1277073000
2001-07-03,1265623380
2001-07-05,1266944490
2001-07-06,1138796820
2001-07-09,1140558300
2001-07-10,1087713900
2001-07-11,1175787900
2001-07-12,1451899890
2001-07-13,1473918390
2001-07-16,1388926980
2001-07-17,1333440360
2001-07-18,1398174750
2001-07-19,1556707950
2001-07-20,1532487599
2001-07-23,1479202830
2001-07-24,1585332000
2001-07-25,1574322750
2001-07-26,1713039300
2001-07-27,1673406000
2001-07-30,1638176400
2001-07-31,1678690440
2001-08-01,1720965960
2001-08-02,1777333320
2001-08-03,1750470750
2001-08-06,1538212410
2001-08-07,1567276830
2001-08-08,1420193250
2001-08-09,1475679870
2001-08-10,1536891300
2001-08-13,1536010560
2001-08-14,1536010560
2001-08-15,1406982150
2001-08-16,1433844720
2001-08-17,1395972900
2001-08-20,1417551030
2001-08-21,1282357440
2001-08-22,1432963980
2001-08-23,1394651790
2001-08-24,1466432099
2001-08-27,1493735040
2001-08-28,1497258000
2001-08-29,1416229919
2001-08-30,1346211090
2001-08-31,1398615120
2001-09-04,1325073330
2001-09-05,1108411290
2001-09-06,1089915750
2001-09-07,1091236860
2001-09-10,1137035340
2001-09-17,1134393120
2001-09-18,1153769400
2001-09-19,1214540460
2001-09-20,1126026090
2001-09-21,1054686150
2001-09-24,1103126850
2001-09-25,1001401379
2001-09-26,846831510
2001-09-27,824372640
2001-09-28,852996690
2001-10-01,769743660
2001-10-02,730881100
2001-10-03,833336940
2001-10-04,949483000
2001-10-05,879707040
2001-10-08,933143060
2001-10-09,832012080
2001-10-10,1008660080
2001-10-11,1040015100
2001-10-12,1049730740
2001-10-15,1003360640
2001-10-16,1028974600
2001-10-17,898255080
2001-10-18,897371840
2001-10-19,880590280
2001-10-22,903112900
2001-10-23,972005620
2001-10-24,1013959520
2001-10-25,1168526520
2001-10-26,1197231820
2001-10-29,1074903080
2001-10-30,990112040
2001-10-31,1028091360
2001-11-01,1148212000
2001-11-02,1142029320
2001-11-05,1224612260
2001-11-06,1289530400
2001-11-07,1309844920
2001-11-08,1327068100
2001-11-09,1176034060
2001-11-12,1234327900
2001-11-13,1209597180
2001-11-14,1222845780
2001-11-15,1192374000
2001-11-16,1222404160
2001-11-19,1236977620
2001-11-20,1146887140
2001-11-21,1140262840
2001-11-23,1132755300
2001-11-26,1217104720
2001-11-27,1157044400
2001-11-28,1092567880
2001-11-29,1073578220
2001-11-30,1059888000
2001-12-03,1066512299
2001-12-04,1165435180
2001-12-05,1259500240
2001-12-06,1197231820
2001-12-07,1144679040
2001-12-10,1057679900
2001-12-11,1040015100
2001-12-12,1004685500
2001-12-13,953015959
2001-12-14,936234400
2001-12-17,1163668700
2001-12-18,1191932380
2001-12-19,1106258100
2001-12-20,998944440
2001-12-21,1013076280
2001-12-24,1000269299
2001-12-26,1034715660
2001-12-27,975096959
2001-12-28,1005568740
2001-12-31,2060514200
2002-01-02,2087924710
2002-01-03,2166375480
2002-01-04,2074692050
2002-01-07,1858243540
2002-01-08,1818545559
2002-01-09,1664479590
2002-01-10,1798696570
2002-01-11,1694725670
2002-01-14,1763724540
2002-01-15,1690944910
2002-01-16,1748601500
2002-01-17,1823271510
2002-01-18,1791135050
2002-01-22,1740094790
2002-01-23,1701342000
2002-01-24,1890380000
2002-01-25,1896996330
2002-01-28,2021761410
2002-01-29,1979227860
2002-01-30,2008528750
2002-01-31,1990570139
2002-02-01,2010419130
2002-02-04,1916845320
2002-02-05,1867695440
2002-02-06,1878092530
2002-02-07,1834613790
2002-02-08,1928187599
2002-02-11,1962214440
2002-02-12,1963159630
2002-02-13,1970721150
2002-02-14,1836504170
2002-02-15,1766560110
2002-02-19,1630452750
2002-02-20,1534988559
2002-02-21,1472606020
2002-02-22,1470715640
2002-02-25,1517029950
2002-02-26,1494345390
2002-02-27,1460318550
2002-02-28,1456537790
2002-03-01,1534988559
2002-03-04,1715519849
2002-03-05,1786409099
2002-03-06,1758998590
2002-03-07,1773176440
2002-03-08,1918735700
2002-03-11,2033103690
2002-03-12,1856353160
2002-03-13,1655027690
2002-03-14,1681493010
2002-03-15,1704177570
2002-03-18,1689054530
2002-03-19,1677712250
2002-03-20,1569015400
2002-03-21,1579412490
2002-03-22,1607768190
2002-03-25,1605877809
2002-03-26,1611548950
2002-03-27,1621000849
2002-03-28,1441414750
2002-04-01,1445195510
2002-04-02,1411168670
2002-04-03,1398881200
2002-04-04,1384703350
2002-04-05,1343114990
2002-04-08,1373361070
2002-04-09,1290184350
2002-04-10,1342169800
2002-04-11,1286403590
2002-04-12,1370525500
2002-04-15,1389429300
2002-04-16,1597371099
2002-04-17,1603987430
2002-04-18,1432908040
2002-04-19,1431962850
2002-04-22,1394155250
2002-04-23,1293019920
2002-04-24,1183377880
2002-04-25,1195665350
2002-04-26,1175816360
2002-04-29,1114379010
2002-04-30,1157857750
2002-05-01,1137063570
2002-05-02,1068064700
2002-05-03,1013243680
2002-05-06,949915950
2002-05-07,935738100
2002-05-08,1077516600
2002-05-09,1018914819
2002-05-10,945190000
2002-05-13,955587090
2002-05-14,1090749260
2002-05-15,1048215710
2002-05-16,1072790650
2002-05-17,1052941660
2002-05-20,993394690
2002-05-21,996230259
2002-05-22,954641900
2002-05-23,1088858880
2002-05-24,1088858880
2002-05-28,1059557990
2002-05-29,1008517730
2002-05-30,989613930
2002-05-31,963148610
2002-06-03,874300750
2002-06-04,890368980
2002-06-05,851616190
2002-06-06,756152000
2002-06-07,598305270
2002-06-10,557662100
2002-06-11,638003250
2002-06-12,604921600
2002-06-13,616263880
2002-06-14,604921600
2002-06-17,631386920
2002-06-18,627606160
2002-06-19,557662100
2002-06-20,525525639
2002-06-21,565223620
2002-06-24,548210200
2002-06-25,581291850
2002-06-26,471649810
2002-06-27,538758300
2002-06-28,765322800
2002-07-01,813586400
2002-07-02,769459680
2002-07-03,746017360
2002-07-05,781870320
2002-07-08,682585200
2002-07-09,580542160
2002-07-10,490909760
2002-07-11,541931280
2002-07-12,587436960
2002-07-15,627426800
2002-07-16,663279760
2002-07-17,693616880
2002-07-18,656384960
2002-07-19,595710720
2002-07-22,570889440
2002-07-23,489530800
2002-07-24,496425600
2002-07-25,493667680
2002-07-26,475741200
2002-07-29,467467440
2002-07-30,431614480
2002-07-31,399898400
2002-08-01,475741200
2002-08-02,472983280
2002-08-05,448162000
2002-08-06,468846400
2002-08-07,514352080
2002-08-08,489530800
2002-08-09,488151840
2002-08-12,471604320
2002-08-13,456435760
2002-08-14,485393920
2002-08-15,557099840
2002-08-16,653627040
2002-08-19,690858960
2002-08-20,704648560
2002-08-21,689480000
2002-08-22,699132720
2002-08-23,637079520
2002-08-26,688101040
2002-08-27,701890640
2002-08-28,678448320
2002-08-29,648111200
2002-08-30,579163200
2002-09-03,551584000
2002-09-04,586058000
2002-09-05,559857760
2002-09-06,630184720
2002-09-09,677069360
2002-09-10,752912160
2002-09-11,732227760
2002-09-12,677069360
2002-09-13,725332960
2002-09-16,634321600
2002-09-17,612258240
2002-09-18,631563680
2002-09-19,588815920
2002-09-20,620532000
2002-09-23,619153040
2002-09-24,681206240
2002-09-25,746017360
2002-09-26,762564880
2002-09-27,657763920
2002-09-30,624668880
2002-10-01,694995840
2002-10-02,707406480
2002-10-03,675690400
2002-10-04,635700560
2002-10-07,624668880
2002-10-08,563994640
2002-10-09,573647360
2002-10-10,619153040
2002-10-11,661900800
2002-10-14,639837440
2002-10-15,748775280
2002-10-16,649490160
2002-10-17,710164400
2002-10-18,688101040
2002-10-21,710164400
2002-10-22,773596560
2002-10-23,812207440
2002-10-24,827376000
2002-10-25,799796800
2002-10-28,799796800
2002-10-29,794280960
2002-10-30,907355680
2002-10-31,979061600
2002-11-01,987335360
2002-11-04,1119715520
2002-11-05,1089378400
2002-11-06,1136263040
2002-11-07,1104546960
2002-11-08,1122473440
2002-11-11,1041114800
2002-11-12,1133505120
2002-11-13,1234169200
2002-11-14,1191421440
2002-11-15,1245200880
2002-11-18,1322422640
2002-11-19,1272780080
2002-11-20,1425844640
2002-11-21,1592698800
2002-11-22,1595456720
2002-11-25,1588561920
2002-11-26,1603730480
2002-11-27,1685089120
2002-11-29,1661646800
2002-12-02,1606488400
2002-12-03,1486518880
2002-12-04,1425844640
2002-12-05,1344486000
2002-12-06,1436876320
2002-12-09,1352759760
2002-12-10,1399644400
2002-12-11,1374823120
2002-12-12,1374823120
2002-12-13,1350001840
2002-12-16,1456181760
2002-12-17,1362412480
2002-12-18,1231411280
2002-12-19,1169358080
2002-12-20,1221758560
2002-12-23,1281053840
2002-12-24,1274159040
2002-12-26,1212105840
2002-12-27,1223929260
2002-12-30,1208733750
2002-12-31,1190775420
2003-01-02,1277804250
2003-01-03,1287474120
2003-01-06,1230836310
2003-01-07,1121704920
2003-01-08,1080262620
2003-01-09,1221166440
2003-01-10,1225310670
2003-01-13,1215640800
2003-01-14,1299906810
2003-01-15,1243269000
2003-01-16,1160384400
2003-01-17,1127230560
2003-01-21,1153477350
2003-01-22,1128611970
2003-01-23,1037438910
2003-01-24,995996610
2003-01-27,969749820
2003-01-28,978038280
2003-01-29,1019480580
2003-01-30,961461360
2003-01-31,961461360
2003-02-03,973894050
2003-02-04,971131230
2003-02-05,946265850
2003-02-06,911730600
2003-02-07,885483810
2003-02-10,915874830
2003-02-11,906204960
2003-02-12,892390860
2003-02-13,888246630
2003-02-14,904823550
2003-02-18,1005666480
2003-02-19,973894050
2003-02-20,983563920
2003-02-21,969749820
2003-02-24,993233790
2003-02-25,982182510
2003-02-26,951791490
2003-02-27,973894050
2003-02-28,964224180
2003-03-03,940740210
2003-03-04,911730600
2003-03-05,897916500
2003-03-06,879958170
2003-03-07,896535090
2003-03-10,861999840
2003-03-11,846804330
2003-03-12,831608820
2003-03-13,885483810
2003-03-14,902060730
2003-03-17,982182510
2003-03-18,1016717760
2003-03-19,944884440
2003-03-20,964224180
2003-03-21,969749820
2003-03-24,921400470
2003-03-25,947647260
2003-03-26,975275460
2003-03-27,969749820
2003-03-28,919773270
2003-03-31,864281670
2003-04-01,846246900
2003-04-02,904513080
2003-04-03,901738500
2003-04-04,849021480
2003-04-07,836535870
2003-04-08,783818850
2003-04-09,782431560
2003-04-10,763009500
2003-04-11,753298470
2003-04-14,801853620
2003-04-15,817113810
2003-04-16,868443540
2003-04-17,738038280
2003-04-21,742200150
2003-04-22,775495110
2003-04-23,771333240
2003-04-24,789368010
2003-04-25,714454350
2003-04-28,728327250
2003-04-29,722778090
2003-04-30,742200150
2003-05-01,761622210
2003-05-02,828212130
2003-05-05,857345220
2003-05-06,853183350
2003-05-07,821275680
2003-05-08,790755300
2003-05-09,801853620
2003-05-12,804628200
2003-05-13,932258880
2003-05-14,954455520
2003-05-15,966941130
2003-05-16,984975900
2003-05-19,940582620
2003-05-20,943357200
2003-05-21,958617390
2003-05-22,987750480
2003-05-23,955842810
2003-05-27,1037692920
2003-05-28,1064051430
2003-05-29,1046016660
2003-05-30,1037692920
2003-06-02,1029369180
2003-06-03,1015496280
2003-06-04,1034918340
2003-06-05,1057114980
2003-06-06,983588610
2003-06-09,982201320
2003-06-10,986363190
2003-06-11,973877580
2003-06-12,944744490
2003-06-13,907287660
2003-06-16,950293650
2003-06-17,1011334410
2003-06-18,1055727690
2003-06-19,1062664140
2003-06-20,1008559830
2003-06-23,968328420
2003-06-24,1012721700
2003-06-25,971103000
2003-06-26,976652160
2003-06-27,1042975840
2003-06-30,1007267679
2003-07-01,1016194720
2003-07-02,1106952960
2003-07-03,1108440800
2003-07-07,1182832800
2003-07-08,1309299200
2003-07-09,1309299200
2003-07-10,1245322080
2003-07-11,1246809920
2003-07-14,1315250560
2003-07-15,1318226240
2003-07-16,1284005920
2003-07-17,1160515200
2003-07-18,1166466560
2003-07-21,1139685440
2003-07-22,1260200480
2003-07-23,1303347840
2003-07-24,1178369280
2003-07-25,1206638240
2003-07-28,1239370720
2003-07-29,1225980160
2003-07-30,1242346400
2003-07-31,1264664000
2003-08-01,1324177600
2003-08-04,1303347840
2003-08-05,1236395040
2003-08-06,1301860000
2003-08-07,1313762720
2003-08-08,1301860000
2003-08-11,1337568160
2003-08-12,1395593920
2003-08-13,1449156160
2003-08-14,1435765600
2003-08-15,1459571040
2003-08-18,1545865760
2003-08-19,1620257760
2003-08-20,1586037440
2003-08-21,1647038880
2003-08-22,1605379359
2003-08-25,1559256320
2003-08-26,1594964480
2003-08-27,1641087520
2003-08-28,1676795680
2003-08-29,1690186240
2003-09-02,1658941600
2003-09-03,1657453760
2003-09-04,1660429440
2003-09-05,1652990240
2003-09-08,1803262080
2003-09-09,1708040320
2003-09-10,1556280640
2003-09-11,1636624000
2003-09-12,1650014560
2003-09-15,1496767040
2003-09-16,1551817120
2003-09-17,1583061760
2003-09-18,1586037440
2003-09-19,1536938720
2003-09-22,1507181920
2003-09-23,1493791359
2003-09-24,1376252000
2003-09-25,1353934400
2003-09-26,1328641120
2003-09-29,1398569600
2003-09-30,1353934400
2003-10-01,1414935840
2003-10-02,1419399359
2003-10-03,1464034560
2003-10-06,1502718400
2003-10-07,1583061760
2003-10-08,1577110400
2003-10-09,1562232000
2003-10-10,1569671200
2003-10-13,1608355040
2003-10-14,1571159040
2003-10-15,1556280640
2003-10-16,1603891520
2003-10-17,1536938720
2003-10-20,1591988800
2003-10-21,1667868640
2003-10-22,1636624000
2003-10-23,1539914400
2003-10-24,1505694080
2003-10-27,1590500960
2003-10-28,1516108960
2003-10-29,1559256320
2003-10-30,1597940160
2003-10-31,1276566720
2003-11-03,1324177600
2003-11-04,1306323520
2003-11-05,1316738400
2003-11-06,1355422240
2003-11-07,1339056000
2003-11-10,1278054560
2003-11-11,1257224800
2003-11-12,1316738400
2003-11-13,1298884320
2003-11-14,1237882880
2003-11-17,1199199040
2003-11-18,1163490880
2003-11-19,1169442240
2003-11-20,1172417920
2003-11-21,1167954400
2003-11-24,1249785600
2003-11-25,1254249120
2003-11-26,1294420800
2003-11-28,1306323520
2003-12-01,1358397920
2003-12-02,1331616800
2003-12-03,1284005920
2003-12-04,1240858560
2003-12-05,1212589600
2003-12-08,1187296320
2003-12-09,1154563840
2003-12-10,1127782720
2003-12-11,1211101760
2003-12-12,1228955840
2003-12-15,1167954400
2003-12-16,1175393600
2003-12-17,1133734080
2003-12-18,1190272000
2003-12-19,1194735520
2003-12-22,1225980160
2003-12-23,1264664000
2003-12-24,1243834240
2003-12-26,1251273440
2003-12-29,1279542400
2003-12-30,1301860000
2003-12-31,1294420800
2004-01-02,1344564000
2004-01-05,1434201600
2004-01-06,1381913000
2004-01-07,1371455280
2004-01-08,1413286160
2004-01-09,1450635160
2004-01-12,1531309000
2004-01-13,1438683480
2004-01-14,1449141200
2004-01-15,1447647240
2004-01-16,1514875440
2004-01-20,1600031160
2004-01-21,1520851280
2004-01-22,1549236520
2004-01-23,1676223120
2004-01-26,1749427160
2004-01-27,1662777480
2004-01-28,1631404320
2004-01-29,1591067400
2004-01-30,1585091560
2004-02-02,1585091560
2004-02-03,1547742560
2004-02-04,1449141200
2004-02-05,1516369400
2004-02-06,1576127800
2004-02-09,1541766720
2004-02-10,1558200280
2004-02-11,1614970760
2004-02-12,1597043240
2004-02-13,1543260680
2004-02-17,1583597600
2004-02-18,1583597600
2004-02-19,1620946600
2004-02-20,1574633839
2004-02-23,1534296920
2004-02-24,1546248600
2004-02-25,1632898280
2004-02-26,1692656680
2004-02-27,1683692920
2004-03-01,1780800320
2004-03-02,1719547960
2004-03-03,1759884880
2004-03-04,1845040600
2004-03-05,1807691600
2004-03-08,1758390920
2004-03-09,1649331839
2004-03-10,1616464720
2004-03-11,1646343920
2004-03-12,1738969440
2004-03-15,1647837880
2004-03-16,1667259360
2004-03-17,1704608360
2004-03-18,1683692920
2004-03-19,1632898280
2004-03-22,1586585520
2004-03-23,1600031160
2004-03-24,1650825800
2004-03-25,1716560040
2004-03-26,1709090240
2004-03-29,1735981520
2004-03-30,1755403000
2004-03-31,1743451320
2004-04-01,1728511720
2004-04-02,1819907180
2004-04-05,1907152520
2004-04-06,1829090900
2004-04-07,1858172680
2004-04-08,1871948260
2004-04-12,1878070740
2004-04-13,1781641680
2004-04-14,1772457960
2004-04-15,1711233160
2004-04-16,1660722700
2004-04-19,1760213000
2004-04-20,1700518820
2004-04-21,1777049820
2004-04-22,1813784700
2004-04-23,1821437800
2004-04-26,1715825020
2004-04-27,1666845180
2004-04-28,1659192080
2004-04-29,1425007220
2004-04-30,1308680100
2004-05-03,1279598320
2004-05-04,1340823120
2004-05-05,1431129700
2004-05-06,1374496760
2004-05-07,1380619240
2004-05-10,1343884360
2004-05-11,1406639780
2004-05-12,1382149860
2004-05-13,1377558000
2004-05-14,1328578160
2004-05-17,1313271960
2004-05-18,1331639400
2004-05-19,1346945600
2004-05-20,1319394439
2004-05-21,1301027000
2004-05-24,1313271960
2004-05-25,1360721180
2004-05-26,1388272340
2004-05-27,1366843660
2004-05-28,1368374280
2004-06-01,1357659939
2004-06-02,1307149479
2004-06-03,1256639020
2004-06-04,1316333200
2004-06-07,1377558000
2004-06-08,1391333580
2004-06-09,1354598700
2004-06-10,1350006840
2004-06-14,1314802580
2004-06-15,1314802580
2004-06-16,1317863820
2004-06-17,1265822740
2004-06-18,1245924680
2004-06-21,1224496000
2004-06-22,1287251420
2004-06-23,1301027000
2004-06-24,1271945220
2004-06-25,1278067700
2004-06-28,1267353360
2004-06-29,1302557620
2004-06-30,1336231260
2004-07-01,1271945220
2004-07-02,1285936800
2004-07-06,1206152400
2004-07-07,1221796400
2004-07-08,1201459200
2004-07-09,1192072800
2004-07-12,1181122000
2004-07-13,1199894800
2004-07-14,1132625600
2004-07-15,1140447600
2004-07-16,1113852800
2004-07-19,1127932400
2004-07-20,1171735600
2004-07-21,1091951200
2004-07-22,1274986000
2004-07-23,1284372400
2004-07-26,1231182800
2004-07-27,1237440400
2004-07-28,1203023600
2004-07-29,1262470800
2004-07-30,1310967200
2004-08-02,1310967200
2004-08-03,1240569200
2004-08-04,1281243600
2004-08-05,1256213200
2004-08-06,1179557600
2004-08-09,1181122000
2004-08-10,1213974400
2004-08-11,1207716800
2004-08-12,1132625600
2004-08-13,1131061200
2004-08-16,1162349200
2004-08-17,1195201600
2004-08-18,1289065600
2004-08-19,1323482400
2004-08-20,1406395600
2004-08-23,1378236400
2004-08-24,1346948400
2004-08-25,1387622799
2004-08-26,1340690800
2004-08-27,1356334800
2004-08-30,1292194400
2004-08-31,1303145200
2004-09-01,1343819600
2004-09-02,1342255200
2004-09-03,1260906400
2004-09-07,1284372400
2004-09-08,1268728400
2004-09-09,1403266800
2004-09-10,1473664800
2004-09-13,1490873200
2004-09-14,1461149600
2004-09-15,1431426000
2004-09-16,1423604000
2004-09-17,1448634400
2004-09-20,1478358000
2004-09-21,1553449200
2004-09-22,1520596800
2004-09-23,1534676400
